# _root_ berrogei urte hor_nonbait kalkulatu zizkion , gizonak gaztaroa aspaldi utzi eta heldutasunaren goi_mailara heltzen direneko adina , nahiz_eta arintasun fisikoa jadanik gain_behera joan .
#goldHeads=2,4,4,0,4,5,10,10,10,11,16,13,14,11,14,2,16,0,23,19,23,23,4,23,
#predictedHeads=2,4,4,11,4,5,10,10,10,11,0,13,14,11,14,14,16,0,23,19,23,23,14,23,
(4,1),(4,2),-0.00650557 # DEPENDENCYPART_SIBL
(4,1),(4,3),-0.0218706 # DEPENDENCYPART_SIBL
(4,1),(4,5),0.030217 # DEPENDENCYPART_SIBL
(4,1),(4,6),0.0137746 # DEPENDENCYPART_SIBL
(4,1),(4,7),-0.00599488 # DEPENDENCYPART_SIBL
(4,1),(4,8),-0.00599488 # DEPENDENCYPART_SIBL
(4,1),(4,9),-0.0242458 # DEPENDENCYPART_SIBL
(4,1),(4,10),-0.0162421 # DEPENDENCYPART_SIBL
(4,1),(4,11),-0.0353622 # DEPENDENCYPART_SIBL
(4,1),(4,12),-0.00599488 # DEPENDENCYPART_SIBL
(4,1),(4,13),-0.00599488 # DEPENDENCYPART_SIBL
(4,1),(4,14),-0.0117121 # DEPENDENCYPART_SIBL
(4,1),(4,15),0.0223576 # DEPENDENCYPART_SIBL
(4,1),(4,16),-0.00692983 # DEPENDENCYPART_SIBL
(4,1),(4,19),-0.00599488 # DEPENDENCYPART_SIBL
(4,1),(4,23),-0.0115517 # DEPENDENCYPART_SIBL
(4,2),(4,3),-0.01351 # DEPENDENCYPART_SIBL
(4,2),(4,5),0.049629 # DEPENDENCYPART_SIBL
(4,2),(4,6),0.0119967 # DEPENDENCYPART_SIBL
(4,2),(4,7),-0.0354115 # DEPENDENCYPART_SIBL
(4,2),(4,8),-0.0354115 # DEPENDENCYPART_SIBL
(4,2),(4,9),-0.0202905 # DEPENDENCYPART_SIBL
(4,2),(4,10),-0.0039908 # DEPENDENCYPART_SIBL
(4,2),(4,11),-0.00620693 # DEPENDENCYPART_SIBL
(4,2),(4,12),-0.0354115 # DEPENDENCYPART_SIBL
(4,2),(4,13),-0.0354115 # DEPENDENCYPART_SIBL
(4,2),(4,14),0.00389444 # DEPENDENCYPART_SIBL
(4,2),(4,15),0.0213669 # DEPENDENCYPART_SIBL
(4,2),(4,16),-0.0354115 # DEPENDENCYPART_SIBL
(4,2),(4,19),-0.0354115 # DEPENDENCYPART_SIBL
(4,2),(4,23),0.00748592 # DEPENDENCYPART_SIBL
(4,3),(4,5),0.0313354 # DEPENDENCYPART_SIBL
(4,3),(4,6),-0.0200892 # DEPENDENCYPART_SIBL
(4,3),(4,7),-0.0100077 # DEPENDENCYPART_SIBL
(4,3),(4,8),-0.0100077 # DEPENDENCYPART_SIBL
(4,3),(4,9),-0.0323596 # DEPENDENCYPART_SIBL
(4,3),(4,10),-0.00786715 # DEPENDENCYPART_SIBL
(4,3),(4,11),-0.0188448 # DEPENDENCYPART_SIBL
(4,3),(4,12),-0.0100077 # DEPENDENCYPART_SIBL
(4,3),(4,13),-0.0100077 # DEPENDENCYPART_SIBL
(4,3),(4,14),-0.00251638 # DEPENDENCYPART_SIBL
(4,3),(4,15),0.0193902 # DEPENDENCYPART_SIBL
(4,3),(4,16),-0.0100077 # DEPENDENCYPART_SIBL
(4,3),(4,19),-0.0100077 # DEPENDENCYPART_SIBL
(4,3),(4,23),-0.00405711 # DEPENDENCYPART_SIBL
(4,5),(4,6),-0.0315583 # DEPENDENCYPART_SIBL
(4,5),(4,7),0.0226797 # DEPENDENCYPART_SIBL
(4,5),(4,8),0.0226797 # DEPENDENCYPART_SIBL
(4,5),(4,9),0.0546982 # DEPENDENCYPART_SIBL
(4,5),(4,10),0.0145527 # DEPENDENCYPART_SIBL
(4,5),(4,11),0.00679109 # DEPENDENCYPART_SIBL
(4,5),(4,12),0.0226797 # DEPENDENCYPART_SIBL
(4,5),(4,13),0.0226797 # DEPENDENCYPART_SIBL
(4,5),(4,14),0.0228197 # DEPENDENCYPART_SIBL
(4,5),(4,15),-0.132898 # DEPENDENCYPART_SIBL
(4,5),(4,16),0.0226784 # DEPENDENCYPART_SIBL
(4,5),(4,19),0.0226797 # DEPENDENCYPART_SIBL
(4,5),(4,23),0.0200687 # DEPENDENCYPART_SIBL
(4,6),(4,7),-0.0970364 # DEPENDENCYPART_SIBL
(4,6),(4,8),-0.0970364 # DEPENDENCYPART_SIBL
(4,6),(4,9),-0.183461 # DEPENDENCYPART_SIBL
(4,6),(4,10),-0.0382906 # DEPENDENCYPART_SIBL
(4,6),(4,11),-0.0468171 # DEPENDENCYPART_SIBL
(4,6),(4,12),-0.0970364 # DEPENDENCYPART_SIBL
(4,6),(4,13),-0.0970364 # DEPENDENCYPART_SIBL
(4,6),(4,14),-0.038407 # DEPENDENCYPART_SIBL
(4,6),(4,15),-0.0761894 # DEPENDENCYPART_SIBL
(4,6),(4,16),-0.0970364 # DEPENDENCYPART_SIBL
(4,6),(4,19),-0.0970364 # DEPENDENCYPART_SIBL
(4,6),(4,23),-0.0385745 # DEPENDENCYPART_SIBL
(4,7),(4,8),-0.0147462 # DEPENDENCYPART_SIBL
(4,7),(4,9),-0.00230077 # DEPENDENCYPART_SIBL
(4,7),(4,10),-0.0191565 # DEPENDENCYPART_SIBL
(4,7),(4,11),-0.0177629 # DEPENDENCYPART_SIBL
(4,7),(4,12),-0.0147462 # DEPENDENCYPART_SIBL
(4,7),(4,13),-0.0147462 # DEPENDENCYPART_SIBL
(4,7),(4,14),-0.0153158 # DEPENDENCYPART_SIBL
(4,7),(4,15),-0.0220064 # DEPENDENCYPART_SIBL
(4,7),(4,16),-0.0147484 # DEPENDENCYPART_SIBL
(4,7),(4,19),-0.0147462 # DEPENDENCYPART_SIBL
(4,7),(4,23),-0.0138809 # DEPENDENCYPART_SIBL
(4,8),(4,9),-0.00230077 # DEPENDENCYPART_SIBL
(4,8),(4,10),-0.0191565 # DEPENDENCYPART_SIBL
(4,8),(4,11),-0.0177629 # DEPENDENCYPART_SIBL
(4,8),(4,12),-0.0147462 # DEPENDENCYPART_SIBL
(4,8),(4,13),-0.0147462 # DEPENDENCYPART_SIBL
(4,8),(4,14),-0.0153158 # DEPENDENCYPART_SIBL
(4,8),(4,15),-0.0220064 # DEPENDENCYPART_SIBL
(4,8),(4,16),-0.0147484 # DEPENDENCYPART_SIBL
(4,8),(4,19),-0.0147462 # DEPENDENCYPART_SIBL
(4,8),(4,23),-0.0138809 # DEPENDENCYPART_SIBL
(4,9),(4,10),-0.0248355 # DEPENDENCYPART_SIBL
(4,9),(4,11),-0.0132896 # DEPENDENCYPART_SIBL
(4,9),(4,12),0.0119368 # DEPENDENCYPART_SIBL
(4,9),(4,13),0.0119368 # DEPENDENCYPART_SIBL
(4,9),(4,14),-0.0212246 # DEPENDENCYPART_SIBL
(4,9),(4,15),-0.0330999 # DEPENDENCYPART_SIBL
(4,9),(4,16),0.0119368 # DEPENDENCYPART_SIBL
(4,9),(4,19),0.0119368 # DEPENDENCYPART_SIBL
(4,9),(4,23),-0.0233274 # DEPENDENCYPART_SIBL
(4,10),(4,11),-0.0384936 # DEPENDENCYPART_SIBL
(4,10),(4,12),-0.0467188 # DEPENDENCYPART_SIBL
(4,10),(4,13),-0.0467188 # DEPENDENCYPART_SIBL
(4,10),(4,14),-0.0272196 # DEPENDENCYPART_SIBL
(4,10),(4,15),0.0279662 # DEPENDENCYPART_SIBL
(4,10),(4,16),-0.0467188 # DEPENDENCYPART_SIBL
(4,10),(4,19),-0.0467188 # DEPENDENCYPART_SIBL
(4,10),(4,23),-0.0254535 # DEPENDENCYPART_SIBL
(4,11),(4,12),0.00258793 # DEPENDENCYPART_SIBL
(4,11),(4,13),0.00258793 # DEPENDENCYPART_SIBL
(4,11),(4,14),-0.0256127 # DEPENDENCYPART_SIBL
(4,11),(4,15),-0.00712983 # DEPENDENCYPART_SIBL
(4,11),(4,16),0.00258793 # DEPENDENCYPART_SIBL
(4,11),(4,19),0.00258793 # DEPENDENCYPART_SIBL
(4,11),(4,23),-0.0293164 # DEPENDENCYPART_SIBL
(4,12),(4,13),-0.0147462 # DEPENDENCYPART_SIBL
(4,12),(4,14),-0.0153158 # DEPENDENCYPART_SIBL
(4,12),(4,15),-0.0220064 # DEPENDENCYPART_SIBL
(4,12),(4,16),-0.0147484 # DEPENDENCYPART_SIBL
(4,12),(4,19),-0.0147462 # DEPENDENCYPART_SIBL
(4,12),(4,23),-0.0138809 # DEPENDENCYPART_SIBL
(4,13),(4,14),-0.0153158 # DEPENDENCYPART_SIBL
(4,13),(4,15),-0.0220064 # DEPENDENCYPART_SIBL
(4,13),(4,16),-0.0147484 # DEPENDENCYPART_SIBL
(4,13),(4,19),-0.0147462 # DEPENDENCYPART_SIBL
(4,13),(4,23),-0.0138809 # DEPENDENCYPART_SIBL
(4,14),(4,15),0.0315311 # DEPENDENCYPART_SIBL
(4,14),(4,16),-0.0453893 # DEPENDENCYPART_SIBL
(4,14),(4,19),-0.0453893 # DEPENDENCYPART_SIBL
(4,14),(4,23),-0.0203054 # DEPENDENCYPART_SIBL
(4,15),(4,16),0.0111745 # DEPENDENCYPART_SIBL
(4,15),(4,19),0.0111758 # DEPENDENCYPART_SIBL
(4,15),(4,23),0.0111996 # DEPENDENCYPART_SIBL
(4,16),(4,19),-0.0147487 # DEPENDENCYPART_SIBL
(4,16),(4,23),-0.0138811 # DEPENDENCYPART_SIBL
(4,19),(4,23),-0.0138809 # DEPENDENCYPART_SIBL
(5,2),(5,3),0.0372441 # DEPENDENCYPART_SIBL
(5,2),(5,6),0.0396928 # DEPENDENCYPART_SIBL
(5,2),(5,7),0.0531614 # DEPENDENCYPART_SIBL
(5,2),(5,8),0.0531614 # DEPENDENCYPART_SIBL
(5,2),(5,9),0.0363733 # DEPENDENCYPART_SIBL
(5,2),(5,11),0.068459 # DEPENDENCYPART_SIBL
(5,3),(5,6),-0.00383317 # DEPENDENCYPART_SIBL
(5,3),(5,7),0.0241994 # DEPENDENCYPART_SIBL
(5,3),(5,8),0.0241994 # DEPENDENCYPART_SIBL
(5,3),(5,9),0.0307982 # DEPENDENCYPART_SIBL
(5,3),(5,11),0.0206312 # DEPENDENCYPART_SIBL
(5,6),(5,7),-0.0330925 # DEPENDENCYPART_SIBL
(5,6),(5,8),-0.0330925 # DEPENDENCYPART_SIBL
(5,6),(5,9),-0.16361 # DEPENDENCYPART_SIBL
(5,6),(5,11),-0.0864439 # DEPENDENCYPART_SIBL
(5,7),(5,8),0.0542741 # DEPENDENCYPART_SIBL
(5,7),(5,9),0.0371919 # DEPENDENCYPART_SIBL
(5,7),(5,11),-0.001572 # DEPENDENCYPART_SIBL
(5,8),(5,9),0.0371919 # DEPENDENCYPART_SIBL
(5,8),(5,11),-0.001572 # DEPENDENCYPART_SIBL
(5,9),(5,11),-0.0210084 # DEPENDENCYPART_SIBL
(6,4),(6,5),-0.0308262 # DEPENDENCYPART_SIBL
(6,4),(6,7),0.0961931 # DEPENDENCYPART_SIBL
(6,5),(6,7),0.0393022 # DEPENDENCYPART_SIBL
(7,1),(7,4),-0.0200814 # DEPENDENCYPART_SIBL
(7,1),(7,5),0.00565942 # DEPENDENCYPART_SIBL
(7,1),(7,6),-0.0347518 # DEPENDENCYPART_SIBL
(7,1),(7,8),-0.0713763 # DEPENDENCYPART_SIBL
(7,1),(7,9),-0.0571281 # DEPENDENCYPART_SIBL
(7,1),(7,12),-0.0713763 # DEPENDENCYPART_SIBL
(7,4),(7,5),-0.00744624 # DEPENDENCYPART_SIBL
(7,4),(7,6),-0.012718 # DEPENDENCYPART_SIBL
(7,4),(7,8),-0.000666955 # DEPENDENCYPART_SIBL
(7,4),(7,9),0.00788993 # DEPENDENCYPART_SIBL
(7,4),(7,12),-0.000666955 # DEPENDENCYPART_SIBL
(7,5),(7,6),-0.0171764 # DEPENDENCYPART_SIBL
(7,5),(7,8),-0.0300525 # DEPENDENCYPART_SIBL
(7,5),(7,9),-0.0304346 # DEPENDENCYPART_SIBL
(7,5),(7,12),-0.0300525 # DEPENDENCYPART_SIBL
(7,6),(7,8),-0.0562268 # DEPENDENCYPART_SIBL
(7,6),(7,9),-0.046404 # DEPENDENCYPART_SIBL
(7,6),(7,12),-0.0562268 # DEPENDENCYPART_SIBL
(7,8),(7,9),0.0221747 # DEPENDENCYPART_SIBL
(7,8),(7,12),-0.0073091 # DEPENDENCYPART_SIBL
(7,9),(7,12),0.0160502 # DEPENDENCYPART_SIBL
(8,1),(8,2),0.0538045 # DEPENDENCYPART_SIBL
(8,1),(8,3),0.000196607 # DEPENDENCYPART_SIBL
(8,1),(8,4),-0.0200814 # DEPENDENCYPART_SIBL
(8,1),(8,6),-0.0347518 # DEPENDENCYPART_SIBL
(8,1),(8,7),0.0306845 # DEPENDENCYPART_SIBL
(8,1),(8,9),-0.0571281 # DEPENDENCYPART_SIBL
(8,1),(8,12),-0.0713763 # DEPENDENCYPART_SIBL
(8,2),(8,3),0.0283284 # DEPENDENCYPART_SIBL
(8,2),(8,4),-0.00640442 # DEPENDENCYPART_SIBL
(8,2),(8,6),-0.0213839 # DEPENDENCYPART_SIBL
(8,2),(8,7),0.00450834 # DEPENDENCYPART_SIBL
(8,2),(8,9),-0.0211156 # DEPENDENCYPART_SIBL
(8,2),(8,12),-0.0192951 # DEPENDENCYPART_SIBL
(8,3),(8,4),-0.0372587 # DEPENDENCYPART_SIBL
(8,3),(8,6),-0.0135478 # DEPENDENCYPART_SIBL
(8,3),(8,7),0.0427683 # DEPENDENCYPART_SIBL
(8,3),(8,9),0.00303794 # DEPENDENCYPART_SIBL
(8,3),(8,12),-0.0307507 # DEPENDENCYPART_SIBL
(8,4),(8,6),-0.012718 # DEPENDENCYPART_SIBL
(8,4),(8,7),0.0281079 # DEPENDENCYPART_SIBL
(8,4),(8,9),0.00788993 # DEPENDENCYPART_SIBL
(8,4),(8,12),-0.000666955 # DEPENDENCYPART_SIBL
(8,6),(8,7),-0.115615 # DEPENDENCYPART_SIBL
(8,6),(8,9),-0.046404 # DEPENDENCYPART_SIBL
(8,6),(8,12),-0.0562268 # DEPENDENCYPART_SIBL
(8,7),(8,9),-0.0321379 # DEPENDENCYPART_SIBL
(8,7),(8,12),-0.00318643 # DEPENDENCYPART_SIBL
(8,9),(8,12),0.0160502 # DEPENDENCYPART_SIBL
(9,7),(9,8),0.011135 # DEPENDENCYPART_SIBL
(9,7),(9,10),0.0168564 # DEPENDENCYPART_SIBL
(9,7),(9,12),0.0290563 # DEPENDENCYPART_SIBL
(9,7),(9,21),-0.00853833 # DEPENDENCYPART_SIBL
(9,7),(9,22),-0.00175737 # DEPENDENCYPART_SIBL
(9,8),(9,10),0.018009 # DEPENDENCYPART_SIBL
(9,8),(9,12),0.0260326 # DEPENDENCYPART_SIBL
(9,8),(9,21),-0.00717338 # DEPENDENCYPART_SIBL
(9,8),(9,22),-0.000392428 # DEPENDENCYPART_SIBL
(9,10),(9,12),0.000493937 # DEPENDENCYPART_SIBL
(9,10),(9,21),-0.00803435 # DEPENDENCYPART_SIBL
(9,10),(9,22),-0.00803435 # DEPENDENCYPART_SIBL
(9,12),(9,21),0.0166462 # DEPENDENCYPART_SIBL
(9,12),(9,22),0.0166474 # DEPENDENCYPART_SIBL
(9,21),(9,22),-0.00672998 # DEPENDENCYPART_SIBL
(10,2),(10,3),0.0119365 # DEPENDENCYPART_SIBL
(10,2),(10,4),-0.00876281 # DEPENDENCYPART_SIBL
(10,2),(10,5),0.0254929 # DEPENDENCYPART_SIBL
(10,2),(10,6),-0.0666906 # DEPENDENCYPART_SIBL
(10,2),(10,7),-0.026286 # DEPENDENCYPART_SIBL
(10,2),(10,8),-0.0262854 # DEPENDENCYPART_SIBL
(10,2),(10,9),0.00803687 # DEPENDENCYPART_SIBL
(10,2),(10,11),0.0044264 # DEPENDENCYPART_SIBL
(10,2),(10,12),-0.0455859 # DEPENDENCYPART_SIBL
(10,2),(10,13),-0.0455859 # DEPENDENCYPART_SIBL
(10,2),(10,14),0.0113675 # DEPENDENCYPART_SIBL
(10,2),(10,15),0.0579471 # DEPENDENCYPART_SIBL
(10,2),(10,16),-0.0455859 # DEPENDENCYPART_SIBL
(10,2),(10,17),0.00696894 # DEPENDENCYPART_SIBL
(10,2),(10,20),-0.00907819 # DEPENDENCYPART_SIBL
(10,2),(10,21),-0.0285496 # DEPENDENCYPART_SIBL
(10,2),(10,22),-0.0203869 # DEPENDENCYPART_SIBL
(10,2),(10,23),0.014959 # DEPENDENCYPART_SIBL
(10,3),(10,4),-0.000223415 # DEPENDENCYPART_SIBL
(10,3),(10,5),0.0379445 # DEPENDENCYPART_SIBL
(10,3),(10,6),-0.03808 # DEPENDENCYPART_SIBL
(10,3),(10,7),-0.0054378 # DEPENDENCYPART_SIBL
(10,3),(10,8),-0.00543761 # DEPENDENCYPART_SIBL
(10,3),(10,9),-0.017969 # DEPENDENCYPART_SIBL
(10,3),(10,11),0.0013471 # DEPENDENCYPART_SIBL
(10,3),(10,12),-0.0132111 # DEPENDENCYPART_SIBL
(10,3),(10,13),-0.0132111 # DEPENDENCYPART_SIBL
(10,3),(10,14),0.0051113 # DEPENDENCYPART_SIBL
(10,3),(10,15),0.0612862 # DEPENDENCYPART_SIBL
(10,3),(10,16),-0.0132111 # DEPENDENCYPART_SIBL
(10,3),(10,17),-0.0122492 # DEPENDENCYPART_SIBL
(10,3),(10,20),0.00904213 # DEPENDENCYPART_SIBL
(10,3),(10,21),-0.0240571 # DEPENDENCYPART_SIBL
(10,3),(10,22),-0.022592 # DEPENDENCYPART_SIBL
(10,3),(10,23),0.00357057 # DEPENDENCYPART_SIBL
(10,4),(10,5),0.00721365 # DEPENDENCYPART_SIBL
(10,4),(10,6),-0.0716121 # DEPENDENCYPART_SIBL
(10,4),(10,7),0.00729863 # DEPENDENCYPART_SIBL
(10,4),(10,8),0.00729882 # DEPENDENCYPART_SIBL
(10,4),(10,9),0.014576 # DEPENDENCYPART_SIBL
(10,4),(10,11),0.00538369 # DEPENDENCYPART_SIBL
(10,4),(10,12),0.00386356 # DEPENDENCYPART_SIBL
(10,4),(10,13),0.00386356 # DEPENDENCYPART_SIBL
(10,4),(10,14),0.010864 # DEPENDENCYPART_SIBL
(10,4),(10,15),0.0874109 # DEPENDENCYPART_SIBL
(10,4),(10,16),0.00386356 # DEPENDENCYPART_SIBL
(10,4),(10,17),-0.00863506 # DEPENDENCYPART_SIBL
(10,4),(10,20),-0.00934947 # DEPENDENCYPART_SIBL
(10,4),(10,21),0.0429859 # DEPENDENCYPART_SIBL
(10,4),(10,22),0.046307 # DEPENDENCYPART_SIBL
(10,4),(10,23),0.0241868 # DEPENDENCYPART_SIBL
(10,5),(10,6),-0.0370226 # DEPENDENCYPART_SIBL
(10,5),(10,7),0.00754928 # DEPENDENCYPART_SIBL
(10,5),(10,8),0.00754947 # DEPENDENCYPART_SIBL
(10,5),(10,9),0.0328114 # DEPENDENCYPART_SIBL
(10,5),(10,11),-0.032869 # DEPENDENCYPART_SIBL
(10,5),(10,12),-0.0220942 # DEPENDENCYPART_SIBL
(10,5),(10,13),-0.0220942 # DEPENDENCYPART_SIBL
(10,5),(10,14),0.0438027 # DEPENDENCYPART_SIBL
(10,5),(10,15),-0.0303157 # DEPENDENCYPART_SIBL
(10,5),(10,16),-0.0220942 # DEPENDENCYPART_SIBL
(10,5),(10,17),0.0501797 # DEPENDENCYPART_SIBL
(10,5),(10,20),-0.0193377 # DEPENDENCYPART_SIBL
(10,5),(10,21),-0.0230709 # DEPENDENCYPART_SIBL
(10,5),(10,22),-0.0216898 # DEPENDENCYPART_SIBL
(10,5),(10,23),0.0441675 # DEPENDENCYPART_SIBL
(10,6),(10,7),-0.172376 # DEPENDENCYPART_SIBL
(10,6),(10,8),-0.172376 # DEPENDENCYPART_SIBL
(10,6),(10,9),-0.100919 # DEPENDENCYPART_SIBL
(10,6),(10,11),-0.0431865 # DEPENDENCYPART_SIBL
(10,6),(10,12),-0.0136147 # DEPENDENCYPART_SIBL
(10,6),(10,13),-0.0136147 # DEPENDENCYPART_SIBL
(10,6),(10,14),-0.0126724 # DEPENDENCYPART_SIBL
(10,6),(10,15),0.0310772 # DEPENDENCYPART_SIBL
(10,6),(10,16),-0.0136147 # DEPENDENCYPART_SIBL
(10,6),(10,17),-0.00893784 # DEPENDENCYPART_SIBL
(10,6),(10,20),-0.0208867 # DEPENDENCYPART_SIBL
(10,6),(10,21),-0.0161292 # DEPENDENCYPART_SIBL
(10,6),(10,22),-0.0128892 # DEPENDENCYPART_SIBL
(10,6),(10,23),-0.0115525 # DEPENDENCYPART_SIBL
(10,7),(10,8),-0.0232938 # DEPENDENCYPART_SIBL
(10,7),(10,9),0.00818334 # DEPENDENCYPART_SIBL
(10,7),(10,11),-0.0153514 # DEPENDENCYPART_SIBL
(10,7),(10,12),-0.019926 # DEPENDENCYPART_SIBL
(10,7),(10,13),-0.019926 # DEPENDENCYPART_SIBL
(10,7),(10,14),0.00370935 # DEPENDENCYPART_SIBL
(10,7),(10,15),0.0751263 # DEPENDENCYPART_SIBL
(10,7),(10,16),-0.019926 # DEPENDENCYPART_SIBL
(10,7),(10,17),0.00504081 # DEPENDENCYPART_SIBL
(10,7),(10,20),-0.0325942 # DEPENDENCYPART_SIBL
(10,7),(10,21),-0.0310304 # DEPENDENCYPART_SIBL
(10,7),(10,22),-0.0228677 # DEPENDENCYPART_SIBL
(10,7),(10,23),0.00730084 # DEPENDENCYPART_SIBL
(10,8),(10,9),0.00907979 # DEPENDENCYPART_SIBL
(10,8),(10,11),-0.0107717 # DEPENDENCYPART_SIBL
(10,8),(10,12),-0.0295764 # DEPENDENCYPART_SIBL
(10,8),(10,13),-0.0295764 # DEPENDENCYPART_SIBL
(10,8),(10,14),0.00241857 # DEPENDENCYPART_SIBL
(10,8),(10,15),0.0598646 # DEPENDENCYPART_SIBL
(10,8),(10,16),-0.0295764 # DEPENDENCYPART_SIBL
(10,8),(10,17),0.00162486 # DEPENDENCYPART_SIBL
(10,8),(10,20),-0.0361901 # DEPENDENCYPART_SIBL
(10,8),(10,21),-0.0318964 # DEPENDENCYPART_SIBL
(10,8),(10,22),-0.0237337 # DEPENDENCYPART_SIBL
(10,8),(10,23),0.00601005 # DEPENDENCYPART_SIBL
(10,9),(10,11),-0.00210858 # DEPENDENCYPART_SIBL
(10,9),(10,12),-0.0159088 # DEPENDENCYPART_SIBL
(10,9),(10,13),-0.0159088 # DEPENDENCYPART_SIBL
(10,9),(10,14),-5.55053e-06 # DEPENDENCYPART_SIBL
(10,9),(10,15),0.0520308 # DEPENDENCYPART_SIBL
(10,9),(10,16),-0.0159088 # DEPENDENCYPART_SIBL
(10,9),(10,17),-0.0164509 # DEPENDENCYPART_SIBL
(10,9),(10,20),0.010968 # DEPENDENCYPART_SIBL
(10,9),(10,21),-0.0267548 # DEPENDENCYPART_SIBL
(10,9),(10,22),-0.0252896 # DEPENDENCYPART_SIBL
(10,9),(10,23),-0.00154628 # DEPENDENCYPART_SIBL
(10,11),(10,12),0.00384872 # DEPENDENCYPART_SIBL
(10,11),(10,13),0.00384872 # DEPENDENCYPART_SIBL
(10,11),(10,14),-0.0332679 # DEPENDENCYPART_SIBL
(10,11),(10,15),-0.00348279 # DEPENDENCYPART_SIBL
(10,11),(10,16),0.00384872 # DEPENDENCYPART_SIBL
(10,11),(10,17),-0.0176925 # DEPENDENCYPART_SIBL
(10,11),(10,20),0.00102797 # DEPENDENCYPART_SIBL
(10,11),(10,21),0.0328651 # DEPENDENCYPART_SIBL
(10,11),(10,22),0.0218588 # DEPENDENCYPART_SIBL
(10,11),(10,23),-0.0369715 # DEPENDENCYPART_SIBL
(10,12),(10,13),-0.0180008 # DEPENDENCYPART_SIBL
(10,12),(10,14),-0.0297984 # DEPENDENCYPART_SIBL
(10,12),(10,15),-0.0218307 # DEPENDENCYPART_SIBL
(10,12),(10,16),-0.018003 # DEPENDENCYPART_SIBL
(10,12),(10,17),-0.0355142 # DEPENDENCYPART_SIBL
(10,12),(10,20),-0.0127774 # DEPENDENCYPART_SIBL
(10,12),(10,21),-0.00541393 # DEPENDENCYPART_SIBL
(10,12),(10,22),-0.0053239 # DEPENDENCYPART_SIBL
(10,12),(10,23),-0.0283635 # DEPENDENCYPART_SIBL
(10,13),(10,14),-0.0297984 # DEPENDENCYPART_SIBL
(10,13),(10,15),-0.0218307 # DEPENDENCYPART_SIBL
(10,13),(10,16),-0.018003 # DEPENDENCYPART_SIBL
(10,13),(10,17),-0.0355142 # DEPENDENCYPART_SIBL
(10,13),(10,20),-0.0127774 # DEPENDENCYPART_SIBL
(10,13),(10,21),-0.00541393 # DEPENDENCYPART_SIBL
(10,13),(10,22),-0.0053239 # DEPENDENCYPART_SIBL
(10,13),(10,23),-0.0283635 # DEPENDENCYPART_SIBL
(10,14),(10,15),0.0397203 # DEPENDENCYPART_SIBL
(10,14),(10,16),-0.0384464 # DEPENDENCYPART_SIBL
(10,14),(10,17),-0.048872 # DEPENDENCYPART_SIBL
(10,14),(10,20),-0.0316248 # DEPENDENCYPART_SIBL
(10,14),(10,21),-0.026445 # DEPENDENCYPART_SIBL
(10,14),(10,22),-0.0263568 # DEPENDENCYPART_SIBL
(10,14),(10,23),-0.0276754 # DEPENDENCYPART_SIBL
(10,15),(10,16),0.0216428 # DEPENDENCYPART_SIBL
(10,15),(10,17),-0.0288311 # DEPENDENCYPART_SIBL
(10,15),(10,20),-0.0137761 # DEPENDENCYPART_SIBL
(10,15),(10,21),0.0652107 # DEPENDENCYPART_SIBL
(10,15),(10,22),0.0653088 # DEPENDENCYPART_SIBL
(10,15),(10,23),0.00952817 # DEPENDENCYPART_SIBL
(10,16),(10,17),-0.0355142 # DEPENDENCYPART_SIBL
(10,16),(10,20),-0.0127774 # DEPENDENCYPART_SIBL
(10,16),(10,21),-0.00541393 # DEPENDENCYPART_SIBL
(10,16),(10,22),-0.0053239 # DEPENDENCYPART_SIBL
(10,16),(10,23),-0.0283637 # DEPENDENCYPART_SIBL
(10,17),(10,20),-0.0649967 # DEPENDENCYPART_SIBL
(10,17),(10,21),-0.18248 # DEPENDENCYPART_SIBL
(10,17),(10,22),-0.181895 # DEPENDENCYPART_SIBL
(10,17),(10,23),-0.0460828 # DEPENDENCYPART_SIBL
(10,20),(10,21),0.0351188 # DEPENDENCYPART_SIBL
(10,20),(10,22),0.0352071 # DEPENDENCYPART_SIBL
(10,20),(10,23),-0.0112388 # DEPENDENCYPART_SIBL
(10,21),(10,22),-0.00665309 # DEPENDENCYPART_SIBL
(10,21),(10,23),-0.0255373 # DEPENDENCYPART_SIBL
(10,22),(10,23),-0.0294599 # DEPENDENCYPART_SIBL
(11,1),(11,2),-0.0283678 # DEPENDENCYPART_SIBL
(11,1),(11,3),-0.0336349 # DEPENDENCYPART_SIBL
(11,1),(11,4),0.0235461 # DEPENDENCYPART_SIBL
(11,1),(11,5),-0.000229699 # DEPENDENCYPART_SIBL
(11,1),(11,6),-0.0640367 # DEPENDENCYPART_SIBL
(11,1),(11,7),-0.027098 # DEPENDENCYPART_SIBL
(11,1),(11,8),-0.027098 # DEPENDENCYPART_SIBL
(11,1),(11,9),-0.0336349 # DEPENDENCYPART_SIBL
(11,1),(11,10),0.0194244 # DEPENDENCYPART_SIBL
(11,1),(11,12),0.00771331 # DEPENDENCYPART_SIBL
(11,1),(11,13),0.00771331 # DEPENDENCYPART_SIBL
(11,1),(11,14),-0.00642787 # DEPENDENCYPART_SIBL
(11,1),(11,15),0.0110705 # DEPENDENCYPART_SIBL
(11,1),(11,16),0.00677837 # DEPENDENCYPART_SIBL
(11,1),(11,17),0.0131487 # DEPENDENCYPART_SIBL
