# _root_ horrela zeudela , john_wayne famatuarengana joatea erabaki zuten , beren loria egunetan john_wayne beren adiskidea izan zelako .
#goldHeads=2,7,2,6,4,7,0,7,8,12,12,16,16,15,16,7,16,17,
#predictedHeads=2,7,2,6,4,7,0,7,8,11,12,16,15,13,16,7,16,17,
(6,15),(6,17),-0.0197629 # DEPENDENCYPART_SIBL
(6,16),(6,17),0.17442 # DEPENDENCYPART_SIBL
(7,1),(7,2),-0.000625228 # DEPENDENCYPART_SIBL
(7,1),(7,3),-0.054778 # DEPENDENCYPART_SIBL
(7,1),(7,4),-0.0153744 # DEPENDENCYPART_SIBL
(7,1),(7,5),0.00823717 # DEPENDENCYPART_SIBL
(7,1),(7,6),0.0234141 # DEPENDENCYPART_SIBL
(7,1),(7,8),0.0254873 # DEPENDENCYPART_SIBL
(7,1),(7,9),0.00730754 # DEPENDENCYPART_SIBL
(7,1),(7,10),-0.0143944 # DEPENDENCYPART_SIBL
(7,1),(7,11),-0.0227765 # DEPENDENCYPART_SIBL
(7,1),(7,12),-0.0227899 # DEPENDENCYPART_SIBL
(7,1),(7,13),-0.0227765 # DEPENDENCYPART_SIBL
(7,1),(7,15),-0.0227765 # DEPENDENCYPART_SIBL
(7,1),(7,16),0.0281613 # DEPENDENCYPART_SIBL
(7,1),(7,17),0.0240072 # DEPENDENCYPART_SIBL
(7,2),(7,3),-0.0553577 # DEPENDENCYPART_SIBL
(7,2),(7,4),-0.0251292 # DEPENDENCYPART_SIBL
(7,2),(7,5),-0.00888991 # DEPENDENCYPART_SIBL
(7,2),(7,6),-0.0322052 # DEPENDENCYPART_SIBL
(7,2),(7,8),0.0635636 # DEPENDENCYPART_SIBL
(7,2),(7,9),-0.00579627 # DEPENDENCYPART_SIBL
(7,2),(7,10),-0.0113264 # DEPENDENCYPART_SIBL
(7,2),(7,11),0.0021495 # DEPENDENCYPART_SIBL
(7,2),(7,12),0.00213616 # DEPENDENCYPART_SIBL
(7,2),(7,13),0.0021495 # DEPENDENCYPART_SIBL
(7,2),(7,15),0.0021495 # DEPENDENCYPART_SIBL
(7,2),(7,16),0.029155 # DEPENDENCYPART_SIBL
(7,2),(7,17),0.0576527 # DEPENDENCYPART_SIBL
(7,3),(7,4),-0.17457 # DEPENDENCYPART_SIBL
(7,3),(7,5),-0.0960767 # DEPENDENCYPART_SIBL
(7,3),(7,6),-0.103137 # DEPENDENCYPART_SIBL
(7,3),(7,8),0.0164428 # DEPENDENCYPART_SIBL
(7,3),(7,9),-0.00897472 # DEPENDENCYPART_SIBL
(7,3),(7,10),-0.0164195 # DEPENDENCYPART_SIBL
(7,3),(7,11),-0.00790662 # DEPENDENCYPART_SIBL
(7,3),(7,12),-0.00796748 # DEPENDENCYPART_SIBL
(7,3),(7,13),-0.00790662 # DEPENDENCYPART_SIBL
(7,3),(7,15),-0.00790662 # DEPENDENCYPART_SIBL
(7,3),(7,16),-0.00283261 # DEPENDENCYPART_SIBL
(7,3),(7,17),0.0219642 # DEPENDENCYPART_SIBL
(7,4),(7,5),-0.0281949 # DEPENDENCYPART_SIBL
(7,4),(7,6),-0.0147455 # DEPENDENCYPART_SIBL
(7,4),(7,8),0.0261624 # DEPENDENCYPART_SIBL
(7,4),(7,9),-0.00862533 # DEPENDENCYPART_SIBL
(7,4),(7,10),-0.0537942 # DEPENDENCYPART_SIBL
(7,4),(7,11),-0.0396031 # DEPENDENCYPART_SIBL
(7,4),(7,12),-0.0398061 # DEPENDENCYPART_SIBL
(7,4),(7,13),-0.0396031 # DEPENDENCYPART_SIBL
(7,4),(7,15),-0.0396031 # DEPENDENCYPART_SIBL
(7,4),(7,16),0.0107506 # DEPENDENCYPART_SIBL
(7,4),(7,17),0.0187039 # DEPENDENCYPART_SIBL
(7,5),(7,6),0.000957164 # DEPENDENCYPART_SIBL
(7,5),(7,8),0.0811112 # DEPENDENCYPART_SIBL
(7,5),(7,9),-0.00113721 # DEPENDENCYPART_SIBL
(7,5),(7,10),0.0143577 # DEPENDENCYPART_SIBL
(7,5),(7,11),-0.017647 # DEPENDENCYPART_SIBL
(7,5),(7,12),-0.0176604 # DEPENDENCYPART_SIBL
(7,5),(7,13),-0.017647 # DEPENDENCYPART_SIBL
(7,5),(7,15),-0.017647 # DEPENDENCYPART_SIBL
(7,5),(7,16),0.0188144 # DEPENDENCYPART_SIBL
(7,5),(7,17),0.0501324 # DEPENDENCYPART_SIBL
(7,6),(7,8),0.159533 # DEPENDENCYPART_SIBL
(7,6),(7,9),0.0293258 # DEPENDENCYPART_SIBL
(7,6),(7,10),0.0200923 # DEPENDENCYPART_SIBL
(7,6),(7,11),0.0548136 # DEPENDENCYPART_SIBL
(7,6),(7,12),0.0547471 # DEPENDENCYPART_SIBL
(7,6),(7,13),0.0548136 # DEPENDENCYPART_SIBL
(7,6),(7,15),0.0548136 # DEPENDENCYPART_SIBL
(7,6),(7,16),0.0766291 # DEPENDENCYPART_SIBL
(7,6),(7,17),0.15256 # DEPENDENCYPART_SIBL
(7,8),(7,9),-0.0240881 # DEPENDENCYPART_SIBL
(7,8),(7,10),0.0118297 # DEPENDENCYPART_SIBL
(7,8),(7,11),-0.00755023 # DEPENDENCYPART_SIBL
(7,8),(7,12),-0.00756881 # DEPENDENCYPART_SIBL
(7,8),(7,13),-0.00755023 # DEPENDENCYPART_SIBL
(7,8),(7,15),-0.00755023 # DEPENDENCYPART_SIBL
(7,8),(7,16),0.00564967 # DEPENDENCYPART_SIBL
(7,8),(7,17),-0.138124 # DEPENDENCYPART_SIBL
(7,9),(7,10),-0.100509 # DEPENDENCYPART_SIBL
(7,9),(7,11),-0.098264 # DEPENDENCYPART_SIBL
(7,9),(7,12),-0.098276 # DEPENDENCYPART_SIBL
(7,9),(7,13),-0.098264 # DEPENDENCYPART_SIBL
(7,9),(7,15),-0.098264 # DEPENDENCYPART_SIBL
(7,9),(7,16),-0.0668606 # DEPENDENCYPART_SIBL
(7,9),(7,17),-0.0734696 # DEPENDENCYPART_SIBL
(7,10),(7,11),-0.0280645 # DEPENDENCYPART_SIBL
(7,10),(7,12),-0.0284367 # DEPENDENCYPART_SIBL
(7,10),(7,13),-0.0280645 # DEPENDENCYPART_SIBL
(7,10),(7,15),-0.0280645 # DEPENDENCYPART_SIBL
(7,10),(7,16),-0.0454949 # DEPENDENCYPART_SIBL
(7,10),(7,17),-0.00459397 # DEPENDENCYPART_SIBL
(7,11),(7,12),-0.0169077 # DEPENDENCYPART_SIBL
(7,11),(7,13),-0.0168824 # DEPENDENCYPART_SIBL
(7,11),(7,15),-0.0168824 # DEPENDENCYPART_SIBL
(7,11),(7,16),-0.0497165 # DEPENDENCYPART_SIBL
(7,11),(7,17),-0.0202275 # DEPENDENCYPART_SIBL
(7,12),(7,13),-0.0169115 # DEPENDENCYPART_SIBL
(7,12),(7,15),-0.0169115 # DEPENDENCYPART_SIBL
(7,12),(7,16),-0.0497365 # DEPENDENCYPART_SIBL
(7,12),(7,17),-0.0202367 # DEPENDENCYPART_SIBL
(7,13),(7,15),-0.0168824 # DEPENDENCYPART_SIBL
(7,13),(7,16),-0.0497165 # DEPENDENCYPART_SIBL
(7,13),(7,17),-0.0202275 # DEPENDENCYPART_SIBL
(7,15),(7,16),-0.0497165 # DEPENDENCYPART_SIBL
(7,15),(7,17),-0.0202275 # DEPENDENCYPART_SIBL
(7,16),(7,17),0.175063 # DEPENDENCYPART_SIBL
(8,4),(8,6),0.11227 # DEPENDENCYPART_SIBL
(8,4),(8,7),0.121701 # DEPENDENCYPART_SIBL
(8,4),(8,9),-0.00287451 # DEPENDENCYPART_SIBL
(8,4),(8,12),0.0473429 # DEPENDENCYPART_SIBL
(8,4),(8,16),0.038306 # DEPENDENCYPART_SIBL
(8,4),(8,17),0.0397194 # DEPENDENCYPART_SIBL
(8,6),(8,7),0.050257 # DEPENDENCYPART_SIBL
(8,6),(8,9),-0.0674717 # DEPENDENCYPART_SIBL
(8,6),(8,12),-0.0145 # DEPENDENCYPART_SIBL
(8,6),(8,16),0.0342772 # DEPENDENCYPART_SIBL
(8,6),(8,17),0.0191006 # DEPENDENCYPART_SIBL
(8,7),(8,9),-0.0645795 # DEPENDENCYPART_SIBL
(8,7),(8,12),-0.0137824 # DEPENDENCYPART_SIBL
(8,7),(8,16),0.0228002 # DEPENDENCYPART_SIBL
(8,7),(8,17),0.0179824 # DEPENDENCYPART_SIBL
(8,9),(8,12),-0.0360148 # DEPENDENCYPART_SIBL
(8,9),(8,16),-0.0785405 # DEPENDENCYPART_SIBL
(8,9),(8,17),-0.0814032 # DEPENDENCYPART_SIBL
(8,12),(8,16),-0.0240229 # DEPENDENCYPART_SIBL
(8,12),(8,17),0.0018442 # DEPENDENCYPART_SIBL
(8,16),(8,17),0.0749579 # DEPENDENCYPART_SIBL
(9,2),(9,4),0.00347602 # DEPENDENCYPART_SIBL
(9,2),(9,6),-0.0178775 # DEPENDENCYPART_SIBL
(9,2),(9,7),-0.0180161 # DEPENDENCYPART_SIBL
(9,2),(9,8),-0.00928571 # DEPENDENCYPART_SIBL
(9,2),(9,11),0.118254 # DEPENDENCYPART_SIBL
(9,2),(9,12),0.118254 # DEPENDENCYPART_SIBL
(9,2),(9,15),0.118254 # DEPENDENCYPART_SIBL
(9,2),(9,16),0.307026 # DEPENDENCYPART_SIBL
(9,4),(9,6),0.0355992 # DEPENDENCYPART_SIBL
(9,4),(9,7),0.0449983 # DEPENDENCYPART_SIBL
(9,4),(9,8),0.0124801 # DEPENDENCYPART_SIBL
(9,4),(9,11),0.289362 # DEPENDENCYPART_SIBL
(9,4),(9,12),0.289178 # DEPENDENCYPART_SIBL
(9,4),(9,15),0.289362 # DEPENDENCYPART_SIBL
(9,4),(9,16),0.182006 # DEPENDENCYPART_SIBL
(9,6),(9,7),-0.02177 # DEPENDENCYPART_SIBL
(9,6),(9,8),-0.0328353 # DEPENDENCYPART_SIBL
(9,6),(9,11),0.0961882 # DEPENDENCYPART_SIBL
(9,6),(9,12),0.0961402 # DEPENDENCYPART_SIBL
(9,6),(9,15),0.0961882 # DEPENDENCYPART_SIBL
(9,6),(9,16),0.417678 # DEPENDENCYPART_SIBL
(9,7),(9,8),-0.0328369 # DEPENDENCYPART_SIBL
(9,7),(9,11),0.0950682 # DEPENDENCYPART_SIBL
(9,7),(9,12),0.0950202 # DEPENDENCYPART_SIBL
(9,7),(9,15),0.0950682 # DEPENDENCYPART_SIBL
(9,7),(9,16),0.405074 # DEPENDENCYPART_SIBL
(9,8),(9,11),0.0335475 # DEPENDENCYPART_SIBL
(9,8),(9,12),0.0335475 # DEPENDENCYPART_SIBL
(9,8),(9,15),0.0335475 # DEPENDENCYPART_SIBL
(9,8),(9,16),0.13498 # DEPENDENCYPART_SIBL
(9,11),(9,12),0.07431 # DEPENDENCYPART_SIBL
(9,11),(9,15),0.0743167 # DEPENDENCYPART_SIBL
(9,11),(9,16),-0.0315769 # DEPENDENCYPART_SIBL
(9,12),(9,15),0.0742976 # DEPENDENCYPART_SIBL
(9,12),(9,16),-0.0315823 # DEPENDENCYPART_SIBL
(9,15),(9,16),-0.0315769 # DEPENDENCYPART_SIBL
(11,1),(11,4),0.0404295 # DEPENDENCYPART_SIBL
(11,1),(11,5),0.0129573 # DEPENDENCYPART_SIBL
(11,1),(11,6),-0.0338012 # DEPENDENCYPART_SIBL
(11,1),(11,7),-0.0347453 # DEPENDENCYPART_SIBL
(11,1),(11,9),-0.0203088 # DEPENDENCYPART_SIBL
(11,1),(11,10),0.0304999 # DEPENDENCYPART_SIBL
(11,1),(11,12),-0.0327706 # DEPENDENCYPART_SIBL
(11,1),(11,13),-0.0325491 # DEPENDENCYPART_SIBL
(11,1),(11,14),0.00289403 # DEPENDENCYPART_SIBL
(11,1),(11,15),-0.0325491 # DEPENDENCYPART_SIBL
(11,1),(11,17),0.00313925 # DEPENDENCYPART_SIBL
(11,4),(11,5),0.0143537 # DEPENDENCYPART_SIBL
(11,4),(11,6),-0.0133902 # DEPENDENCYPART_SIBL
(11,4),(11,7),-0.00398303 # DEPENDENCYPART_SIBL
(11,4),(11,9),-0.0259473 # DEPENDENCYPART_SIBL
(11,4),(11,10),-0.00286035 # DEPENDENCYPART_SIBL
(11,4),(11,12),-0.00679438 # DEPENDENCYPART_SIBL
(11,4),(11,13),-0.00621019 # DEPENDENCYPART_SIBL
(11,4),(11,14),-0.0061581 # DEPENDENCYPART_SIBL
(11,4),(11,15),-0.00621019 # DEPENDENCYPART_SIBL
(11,4),(11,17),0.0360308 # DEPENDENCYPART_SIBL
(11,5),(11,6),-0.0691823 # DEPENDENCYPART_SIBL
(11,5),(11,7),-0.0692444 # DEPENDENCYPART_SIBL
(11,5),(11,9),-0.0260689 # DEPENDENCYPART_SIBL
(11,5),(11,10),0.0150633 # DEPENDENCYPART_SIBL
(11,5),(11,12),-0.0359859 # DEPENDENCYPART_SIBL
(11,5),(11,13),-0.0357644 # DEPENDENCYPART_SIBL
(11,5),(11,14),0.0136733 # DEPENDENCYPART_SIBL
(11,5),(11,15),-0.0357644 # DEPENDENCYPART_SIBL
(11,5),(11,17),-0.0048524 # DEPENDENCYPART_SIBL
(11,6),(11,7),-0.0455328 # DEPENDENCYPART_SIBL
(11,6),(11,9),-0.012718 # DEPENDENCYPART_SIBL
(11,6),(11,10),0.0437613 # DEPENDENCYPART_SIBL
(11,6),(11,12),-0.000984298 # DEPENDENCYPART_SIBL
(11,6),(11,13),-0.00067193 # DEPENDENCYPART_SIBL
(11,6),(11,14),0.0294909 # DEPENDENCYPART_SIBL
(11,6),(11,15),-0.00067193 # DEPENDENCYPART_SIBL
(11,6),(11,17),0.0700917 # DEPENDENCYPART_SIBL
(11,7),(11,9),-0.0151554 # DEPENDENCYPART_SIBL
(11,7),(11,10),0.0383023 # DEPENDENCYPART_SIBL
(11,7),(11,12),-0.00156122 # DEPENDENCYPART_SIBL
(11,7),(11,13),-0.00124885 # DEPENDENCYPART_SIBL
(11,7),(11,14),0.0247599 # DEPENDENCYPART_SIBL
(11,7),(11,15),-0.00124885 # DEPENDENCYPART_SIBL
(11,7),(11,17),0.0676338 # DEPENDENCYPART_SIBL
(11,9),(11,10),-0.0547285 # DEPENDENCYPART_SIBL
(11,9),(11,12),-0.0564958 # DEPENDENCYPART_SIBL
(11,9),(11,13),-0.0562268 # DEPENDENCYPART_SIBL
(11,9),(11,14),-0.0154055 # DEPENDENCYPART_SIBL
(11,9),(11,15),-0.0562268 # DEPENDENCYPART_SIBL
(11,9),(11,17),-0.0148944 # DEPENDENCYPART_SIBL
(11,10),(11,12),-0.0741257 # DEPENDENCYPART_SIBL
(11,10),(11,13),-0.0739043 # DEPENDENCYPART_SIBL
(11,10),(11,14),-0.0360478 # DEPENDENCYPART_SIBL
(11,10),(11,15),-0.0739043 # DEPENDENCYPART_SIBL
(11,10),(11,17),-0.0380898 # DEPENDENCYPART_SIBL
(11,12),(11,13),-0.00733173 # DEPENDENCYPART_SIBL
(11,12),(11,14),-0.00416665 # DEPENDENCYPART_SIBL
(11,12),(11,15),-0.00733173 # DEPENDENCYPART_SIBL
(11,12),(11,17),-0.00205372 # DEPENDENCYPART_SIBL
(11,13),(11,14),-0.00416489 # DEPENDENCYPART_SIBL
(11,13),(11,15),-0.0073091 # DEPENDENCYPART_SIBL
(11,13),(11,17),-0.00205195 # DEPENDENCYPART_SIBL
(11,14),(11,15),-0.00998981 # DEPENDENCYPART_SIBL
(11,14),(11,17),-0.0442389 # DEPENDENCYPART_SIBL
(11,15),(11,17),-0.00205195 # DEPENDENCYPART_SIBL
(12,1),(12,5),0.0129573 # DEPENDENCYPART_SIBL
(12,1),(12,7),-0.0347453 # DEPENDENCYPART_SIBL
(12,1),(12,9),-0.0203088 # DEPENDENCYPART_SIBL
(12,1),(12,10),0.0323646 # DEPENDENCYPART_SIBL
(12,1),(12,11),0.0403377 # DEPENDENCYPART_SIBL
(12,1),(12,13),-0.0331912 # DEPENDENCYPART_SIBL
(12,1),(12,14),0.00289403 # DEPENDENCYPART_SIBL
(12,1),(12,15),-0.0331912 # DEPENDENCYPART_SIBL
(12,1),(12,16),0.0198559 # DEPENDENCYPART_SIBL
(12,1),(12,17),0.00313925 # DEPENDENCYPART_SIBL
(12,1),(12,18),0.0339185 # DEPENDENCYPART_SIBL
(12,5),(12,7),-0.0692444 # DEPENDENCYPART_SIBL
(12,5),(12,9),-0.0260689 # DEPENDENCYPART_SIBL
(12,5),(12,10),0.0169279 # DEPENDENCYPART_SIBL
(12,5),(12,11),0.015532 # DEPENDENCYPART_SIBL
(12,5),(12,13),-0.0381475 # DEPENDENCYPART_SIBL
(12,5),(12,14),0.0119323 # DEPENDENCYPART_SIBL
(12,5),(12,15),-0.0381475 # DEPENDENCYPART_SIBL
(12,5),(12,16),-0.0247582 # DEPENDENCYPART_SIBL
(12,5),(12,17),-0.00659345 # DEPENDENCYPART_SIBL
(12,5),(12,18),-0.09482 # DEPENDENCYPART_SIBL
(12,7),(12,9),-0.015804 # DEPENDENCYPART_SIBL
(12,7),(12,10),0.0389617 # DEPENDENCYPART_SIBL
(12,7),(12,11),0.0181214 # DEPENDENCYPART_SIBL
(12,7),(12,13),-0.00236499 # DEPENDENCYPART_SIBL
(12,7),(12,14),0.0242858 # DEPENDENCYPART_SIBL
(12,7),(12,15),-0.00236499 # DEPENDENCYPART_SIBL
(12,7),(12,16),0.00884168 # DEPENDENCYPART_SIBL
(12,7),(12,17),0.0671597 # DEPENDENCYPART_SIBL
(12,7),(12,18),-0.0311837 # DEPENDENCYPART_SIBL
(12,9),(12,10),-0.0528639 # DEPENDENCYPART_SIBL
(12,9),(12,11),-0.115706 # DEPENDENCYPART_SIBL
(12,9),(12,13),-0.0568689 # DEPENDENCYPART_SIBL
(12,9),(12,14),-0.0154055 # DEPENDENCYPART_SIBL
(12,9),(12,15),-0.0568689 # DEPENDENCYPART_SIBL
(12,9),(12,16),-0.0462765 # DEPENDENCYPART_SIBL
(12,9),(12,17),-0.0148944 # DEPENDENCYPART_SIBL
(12,9),(12,18),-0.0821427 # DEPENDENCYPART_SIBL
(12,10),(12,11),0.0268585 # DEPENDENCYPART_SIBL
(12,10),(12,13),-0.0778303 # DEPENDENCYPART_SIBL
(12,10),(12,14),-0.0393317 # DEPENDENCYPART_SIBL
(12,10),(12,15),-0.0778303 # DEPENDENCYPART_SIBL
(12,10),(12,16),-0.0401656 # DEPENDENCYPART_SIBL
(12,10),(12,17),-0.0413738 # DEPENDENCYPART_SIBL
(12,10),(12,18),-0.0124709 # DEPENDENCYPART_SIBL
(12,11),(12,13),-0.00774503 # DEPENDENCYPART_SIBL
(12,11),(12,14),-0.0070509 # DEPENDENCYPART_SIBL
(12,11),(12,15),-0.00774503 # DEPENDENCYPART_SIBL
(12,11),(12,16),0.0120307 # DEPENDENCYPART_SIBL
(12,11),(12,17),0.035138 # DEPENDENCYPART_SIBL
(12,11),(12,18),-0.0290736 # DEPENDENCYPART_SIBL
(12,13),(12,14),-0.00416489 # DEPENDENCYPART_SIBL
(12,13),(12,15),-0.00730922 # DEPENDENCYPART_SIBL
(12,13),(12,16),-0.0515624 # DEPENDENCYPART_SIBL
(12,13),(12,17),-0.00205195 # DEPENDENCYPART_SIBL
(12,13),(12,18),-0.0887528 # DEPENDENCYPART_SIBL
(12,14),(12,15),-0.00998992 # DEPENDENCYPART_SIBL
(12,14),(12,16),-0.0926472 # DEPENDENCYPART_SIBL
(12,14),(12,17),-0.0442389 # DEPENDENCYPART_SIBL
(12,14),(12,18),-0.130061 # DEPENDENCYPART_SIBL
(12,15),(12,16),-0.0515624 # DEPENDENCYPART_SIBL
(12,15),(12,17),-0.00205195 # DEPENDENCYPART_SIBL
(12,15),(12,18),-0.0887528 # DEPENDENCYPART_SIBL
(12,16),(12,17),0.0640426 # DEPENDENCYPART_SIBL
(12,16),(12,18),-0.0729448 # DEPENDENCYPART_SIBL
(12,17),(12,18),-0.0549272 # DEPENDENCYPART_SIBL
(13,11),(13,12),-0.00496775 # DEPENDENCYPART_SIBL
(13,11),(13,14),-0.0061581 # DEPENDENCYPART_SIBL
(13,11),(13,15),-0.00621019 # DEPENDENCYPART_SIBL
(13,12),(13,14),-0.010546 # DEPENDENCYPART_SIBL
(13,12),(13,15),-0.0081845 # DEPENDENCYPART_SIBL
(13,14),(13,15),-0.00998981 # DEPENDENCYPART_SIBL
(15,1),(15,5),0.0129573 # DEPENDENCYPART_SIBL
(15,1),(15,7),-0.0347453 # DEPENDENCYPART_SIBL
(15,1),(15,9),-0.0203088 # DEPENDENCYPART_SIBL
(15,1),(15,11),0.0404295 # DEPENDENCYPART_SIBL
(15,1),(15,12),0.0390623 # DEPENDENCYPART_SIBL
(15,1),(15,13),0.0404295 # DEPENDENCYPART_SIBL
(15,1),(15,14),0.0304999 # DEPENDENCYPART_SIBL
(15,1),(15,16),0.0198559 # DEPENDENCYPART_SIBL
(15,1),(15,17),0.00313925 # DEPENDENCYPART_SIBL
(15,1),(15,18),0.0338037 # DEPENDENCYPART_SIBL
(15,5),(15,7),-0.0692444 # DEPENDENCYPART_SIBL
(15,5),(15,9),-0.0260689 # DEPENDENCYPART_SIBL
(15,5),(15,11),0.0156237 # DEPENDENCYPART_SIBL
(15,5),(15,12),0.0138578 # DEPENDENCYPART_SIBL
(15,5),(15,13),0.0156237 # DEPENDENCYPART_SIBL
(15,5),(15,14),0.0150633 # DEPENDENCYPART_SIBL
(15,5),(15,16),-0.0230171 # DEPENDENCYPART_SIBL
(15,5),(15,17),-0.0048524 # DEPENDENCYPART_SIBL
(15,5),(15,18),-0.0931937 # DEPENDENCYPART_SIBL
(15,7),(15,9),-0.0151554 # DEPENDENCYPART_SIBL
(15,7),(15,11),0.0189534 # DEPENDENCYPART_SIBL
(15,7),(15,12),0.0175496 # DEPENDENCYPART_SIBL
(15,7),(15,13),0.0189534 # DEPENDENCYPART_SIBL
(15,7),(15,14),0.0383023 # DEPENDENCYPART_SIBL
(15,7),(15,16),0.00931577 # DEPENDENCYPART_SIBL
(15,7),(15,17),0.0676338 # DEPENDENCYPART_SIBL
(15,7),(15,18),-0.0308244 # DEPENDENCYPART_SIBL
(15,9),(15,11),-0.115615 # DEPENDENCYPART_SIBL
(15,9),(15,12),-0.116982 # DEPENDENCYPART_SIBL
(15,9),(15,13),-0.115615 # DEPENDENCYPART_SIBL
(15,9),(15,14),-0.0547285 # DEPENDENCYPART_SIBL
(15,9),(15,16),-0.0462765 # DEPENDENCYPART_SIBL
(15,9),(15,17),-0.0148944 # DEPENDENCYPART_SIBL
(15,9),(15,18),-0.0822575 # DEPENDENCYPART_SIBL
(15,11),(15,12),-0.00496775 # DEPENDENCYPART_SIBL
(15,11),(15,13),-0.00783131 # DEPENDENCYPART_SIBL
(15,11),(15,14),-0.00286035 # DEPENDENCYPART_SIBL
(15,11),(15,16),0.0129235 # DEPENDENCYPART_SIBL
(15,11),(15,17),0.0360308 # DEPENDENCYPART_SIBL
(15,11),(15,18),-0.0274133 # DEPENDENCYPART_SIBL
(15,12),(15,13),-0.00265404 # DEPENDENCYPART_SIBL
(15,12),(15,14),-0.00761427 # DEPENDENCYPART_SIBL
(15,12),(15,16),0.00818891 # DEPENDENCYPART_SIBL
(15,12),(15,17),0.0335538 # DEPENDENCYPART_SIBL
(15,12),(15,18),-0.031294 # DEPENDENCYPART_SIBL
(15,13),(15,14),-0.00286035 # DEPENDENCYPART_SIBL
(15,13),(15,16),0.0129235 # DEPENDENCYPART_SIBL
(15,13),(15,17),0.0360308 # DEPENDENCYPART_SIBL
(15,13),(15,18),-0.0274133 # DEPENDENCYPART_SIBL
(15,14),(15,16),-0.0368816 # DEPENDENCYPART_SIBL
(15,14),(15,17),-0.0380898 # DEPENDENCYPART_SIBL
(15,14),(15,18),-0.0102989 # DEPENDENCYPART_SIBL
(15,16),(15,17),0.0640426 # DEPENDENCYPART_SIBL
(15,16),(15,18),-0.0729448 # DEPENDENCYPART_SIBL
(15,17),(15,18),-0.0549272 # DEPENDENCYPART_SIBL
(16,1),(16,2),0.00714117 # DEPENDENCYPART_SIBL
(16,1),(16,3),-0.0576471 # DEPENDENCYPART_SIBL
(16,1),(16,4),-0.0280269 # DEPENDENCYPART_SIBL
(16,1),(16,5),0.01601 # DEPENDENCYPART_SIBL
(16,1),(16,6),-0.0137138 # DEPENDENCYPART_SIBL
(16,1),(16,7),-0.021147 # DEPENDENCYPART_SIBL
(16,1),(16,8),0.0357047 # DEPENDENCYPART_SIBL
(16,1),(16,9),-0.0576471 # DEPENDENCYPART_SIBL
(16,1),(16,10),-0.00731605 # DEPENDENCYPART_SIBL
(16,1),(16,11),-0.0280269 # DEPENDENCYPART_SIBL
(16,1),(16,12),-0.0232112 # DEPENDENCYPART_SIBL
(16,1),(16,13),-0.0280269 # DEPENDENCYPART_SIBL
(16,1),(16,14),-0.00731605 # DEPENDENCYPART_SIBL
(16,1),(16,15),-0.0280269 # DEPENDENCYPART_SIBL
(16,1),(16,17),-0.0152105 # DEPENDENCYPART_SIBL
(16,1),(16,18),0.122414 # DEPENDENCYPART_SIBL
(16,2),(16,3),-0.0578985 # DEPENDENCYPART_SIBL
(16,2),(16,4),-0.0438259 # DEPENDENCYPART_SIBL
(16,2),(16,5),0.00450529 # DEPENDENCYPART_SIBL
(16,2),(16,6),-0.0508722 # DEPENDENCYPART_SIBL
(16,2),(16,7),-0.0566933 # DEPENDENCYPART_SIBL
(16,2),(16,8),0.0226141 # DEPENDENCYPART_SIBL
(16,2),(16,9),-0.0578985 # DEPENDENCYPART_SIBL
(16,2),(16,10),-0.0570609 # DEPENDENCYPART_SIBL
(16,2),(16,11),-0.0438259 # DEPENDENCYPART_SIBL
(16,2),(16,12),-0.0390102 # DEPENDENCYPART_SIBL
(16,2),(16,13),-0.0438259 # DEPENDENCYPART_SIBL
(16,2),(16,14),-0.0570609 # DEPENDENCYPART_SIBL
(16,2),(16,15),-0.0438259 # DEPENDENCYPART_SIBL
(16,2),(16,17),0.019619 # DEPENDENCYPART_SIBL
(16,2),(16,18),0.0305355 # DEPENDENCYPART_SIBL
(16,3),(16,4),-0.18269 # DEPENDENCYPART_SIBL
(16,3),(16,5),-0.0834232 # DEPENDENCYPART_SIBL
(16,3),(16,6),-0.117818 # DEPENDENCYPART_SIBL
(16,3),(16,7),-0.12345 # DEPENDENCYPART_SIBL
(16,3),(16,8),-0.0351708 # DEPENDENCYPART_SIBL
(16,3),(16,9),-0.134284 # DEPENDENCYPART_SIBL
(16,3),(16,10),-0.117048 # DEPENDENCYPART_SIBL
(16,3),(16,11),-0.18269 # DEPENDENCYPART_SIBL
(16,3),(16,12),-0.177875 # DEPENDENCYPART_SIBL
(16,3),(16,13),-0.18269 # DEPENDENCYPART_SIBL
(16,3),(16,14),-0.117048 # DEPENDENCYPART_SIBL
(16,3),(16,15),-0.18269 # DEPENDENCYPART_SIBL
(16,3),(16,17),-0.00577996 # DEPENDENCYPART_SIBL
(16,3),(16,18),-0.0404038 # DEPENDENCYPART_SIBL
(16,4),(16,5),0.000458473 # DEPENDENCYPART_SIBL
(16,4),(16,6),-0.0230534 # DEPENDENCYPART_SIBL
(16,4),(16,7),-0.0178295 # DEPENDENCYPART_SIBL
(16,4),(16,8),0.0552738 # DEPENDENCYPART_SIBL
(16,4),(16,9),-0.0700111 # DEPENDENCYPART_SIBL
(16,4),(16,10),-0.0278767 # DEPENDENCYPART_SIBL
(16,4),(16,11),-0.0288103 # DEPENDENCYPART_SIBL
(16,4),(16,12),-0.0148915 # DEPENDENCYPART_SIBL
(16,4),(16,13),-0.0288103 # DEPENDENCYPART_SIBL
(16,4),(16,14),-0.0278767 # DEPENDENCYPART_SIBL
(16,4),(16,15),-0.0288103 # DEPENDENCYPART_SIBL
