# _root_ " garai benetan korapilatsu eta zailak bizitzen ari_gara , eta ezin_dugu horrela bizitzen jarraitu , elkarrekin bizitzen ikasi behar_dugu .
#goldHeads=0,7,4,5,2,5,8,10,8,0,10,13,14,11,14,17,18,19,10,19,
#predictedHeads=0,7,4,5,2,5,8,10,8,0,10,11,14,11,14,17,18,19,0,19,
(7,2),(7,6),-0.013472 # DEPENDENCYPART_SIBL
(7,2),(7,8),0.00363647 # DEPENDENCYPART_SIBL
(7,2),(7,9),0.021789 # DEPENDENCYPART_SIBL
(7,2),(7,10),-0.00893972 # DEPENDENCYPART_SIBL
(7,2),(7,11),0.00482131 # DEPENDENCYPART_SIBL
(7,2),(7,12),-0.0184569 # DEPENDENCYPART_SIBL
(7,2),(7,15),0.021789 # DEPENDENCYPART_SIBL
(7,3),(7,4),0.00361363 # DEPENDENCYPART_SIBL
(7,3),(7,5),0.0184215 # DEPENDENCYPART_SIBL
(7,3),(7,6),0.00556662 # DEPENDENCYPART_SIBL
(7,3),(7,8),0.01238 # DEPENDENCYPART_SIBL
(7,3),(7,9),-0.0417169 # DEPENDENCYPART_SIBL
(7,3),(7,10),-0.0213469 # DEPENDENCYPART_SIBL
(7,3),(7,11),0.0136686 # DEPENDENCYPART_SIBL
(7,3),(7,12),-0.0204657 # DEPENDENCYPART_SIBL
(7,3),(7,15),-0.0417169 # DEPENDENCYPART_SIBL
(7,4),(7,5),-0.013302 # DEPENDENCYPART_SIBL
(7,4),(7,6),-0.013543 # DEPENDENCYPART_SIBL
(7,4),(7,8),-0.00385441 # DEPENDENCYPART_SIBL
(7,4),(7,9),0.0017724 # DEPENDENCYPART_SIBL
(7,4),(7,10),-0.00184576 # DEPENDENCYPART_SIBL
(7,4),(7,11),-0.00282945 # DEPENDENCYPART_SIBL
(7,4),(7,12),0.00219075 # DEPENDENCYPART_SIBL
(7,4),(7,15),0.0017724 # DEPENDENCYPART_SIBL
(7,5),(7,6),-0.0565263 # DEPENDENCYPART_SIBL
(7,5),(7,8),-0.00690139 # DEPENDENCYPART_SIBL
(7,5),(7,9),0.0109203 # DEPENDENCYPART_SIBL
(7,5),(7,10),0.00499384 # DEPENDENCYPART_SIBL
(7,5),(7,11),-0.00587643 # DEPENDENCYPART_SIBL
(7,5),(7,12),-0.0226084 # DEPENDENCYPART_SIBL
(7,5),(7,15),0.0109203 # DEPENDENCYPART_SIBL
(7,6),(7,8),-0.00279605 # DEPENDENCYPART_SIBL
(7,6),(7,9),0.0017724 # DEPENDENCYPART_SIBL
(7,6),(7,10),-0.00184576 # DEPENDENCYPART_SIBL
(7,6),(7,11),-0.00177109 # DEPENDENCYPART_SIBL
(7,6),(7,12),0.00219075 # DEPENDENCYPART_SIBL
(7,6),(7,15),0.0017724 # DEPENDENCYPART_SIBL
(7,8),(7,9),-0.0484521 # DEPENDENCYPART_SIBL
(7,8),(7,10),-0.0409922 # DEPENDENCYPART_SIBL
(7,8),(7,11),-0.0220715 # DEPENDENCYPART_SIBL
(7,8),(7,12),-0.0235107 # DEPENDENCYPART_SIBL
(7,8),(7,15),-0.0484521 # DEPENDENCYPART_SIBL
(7,9),(7,10),-0.0468171 # DEPENDENCYPART_SIBL
(7,9),(7,11),-0.038407 # DEPENDENCYPART_SIBL
(7,9),(7,12),-0.184447 # DEPENDENCYPART_SIBL
(7,9),(7,15),-0.276255 # DEPENDENCYPART_SIBL
(7,10),(7,11),-0.0256127 # DEPENDENCYPART_SIBL
(7,10),(7,12),0.0418897 # DEPENDENCYPART_SIBL
(7,10),(7,15),-0.0146065 # DEPENDENCYPART_SIBL
(7,11),(7,12),-0.0235107 # DEPENDENCYPART_SIBL
(7,11),(7,15),-0.0484521 # DEPENDENCYPART_SIBL
(7,12),(7,15),-0.069639 # DEPENDENCYPART_SIBL
(8,2),(8,3),-0.0212229 # DEPENDENCYPART_SIBL
(8,2),(8,4),-0.0235172 # DEPENDENCYPART_SIBL
(8,2),(8,5),0.00763536 # DEPENDENCYPART_SIBL
(8,2),(8,6),-0.015709 # DEPENDENCYPART_SIBL
(8,2),(8,7),-0.00145109 # DEPENDENCYPART_SIBL
(8,2),(8,9),0.00431945 # DEPENDENCYPART_SIBL
(8,2),(8,10),-0.0112738 # DEPENDENCYPART_SIBL
(8,2),(8,11),0.00600767 # DEPENDENCYPART_SIBL
(8,2),(8,13),0.00600767 # DEPENDENCYPART_SIBL
(8,2),(8,14),-0.014291 # DEPENDENCYPART_SIBL
(8,2),(8,17),0.00600767 # DEPENDENCYPART_SIBL
(8,2),(8,18),0.00485677 # DEPENDENCYPART_SIBL
(8,2),(8,19),0.00335436 # DEPENDENCYPART_SIBL
(8,3),(8,4),0.00497353 # DEPENDENCYPART_SIBL
(8,3),(8,5),0.0166002 # DEPENDENCYPART_SIBL
(8,3),(8,6),0.00692651 # DEPENDENCYPART_SIBL
(8,3),(8,7),-0.0116722 # DEPENDENCYPART_SIBL
(8,3),(8,9),-0.0562726 # DEPENDENCYPART_SIBL
(8,3),(8,10),-0.0242058 # DEPENDENCYPART_SIBL
(8,3),(8,11),0.011512 # DEPENDENCYPART_SIBL
(8,3),(8,13),0.011512 # DEPENDENCYPART_SIBL
(8,3),(8,14),-0.00652065 # DEPENDENCYPART_SIBL
(8,3),(8,17),0.011512 # DEPENDENCYPART_SIBL
(8,3),(8,18),0.0111287 # DEPENDENCYPART_SIBL
(8,3),(8,19),0.00912478 # DEPENDENCYPART_SIBL
(8,4),(8,5),-0.0150825 # DEPENDENCYPART_SIBL
(8,4),(8,6),-0.013543 # DEPENDENCYPART_SIBL
(8,4),(8,7),-0.000299224 # DEPENDENCYPART_SIBL
(8,4),(8,9),-0.0114372 # DEPENDENCYPART_SIBL
(8,4),(8,10),-0.00335858 # DEPENDENCYPART_SIBL
(8,4),(8,11),-0.00229384 # DEPENDENCYPART_SIBL
(8,4),(8,13),-0.00229384 # DEPENDENCYPART_SIBL
(8,4),(8,14),-0.0142614 # DEPENDENCYPART_SIBL
(8,4),(8,17),-0.00229384 # DEPENDENCYPART_SIBL
(8,4),(8,18),-0.00267713 # DEPENDENCYPART_SIBL
(8,4),(8,19),-0.00538352 # DEPENDENCYPART_SIBL
(8,5),(8,6),-0.0637637 # DEPENDENCYPART_SIBL
(8,5),(8,7),-0.0527038 # DEPENDENCYPART_SIBL
(8,5),(8,9),-0.0208106 # DEPENDENCYPART_SIBL
(8,5),(8,10),-0.00542641 # DEPENDENCYPART_SIBL
(8,5),(8,11),-0.0142482 # DEPENDENCYPART_SIBL
(8,5),(8,13),-0.0142482 # DEPENDENCYPART_SIBL
(8,5),(8,14),-0.0280741 # DEPENDENCYPART_SIBL
(8,5),(8,17),-0.0142482 # DEPENDENCYPART_SIBL
(8,5),(8,18),-0.0146315 # DEPENDENCYPART_SIBL
(8,5),(8,19),-0.0167756 # DEPENDENCYPART_SIBL
(8,6),(8,7),-0.000299224 # DEPENDENCYPART_SIBL
(8,6),(8,9),-0.0114372 # DEPENDENCYPART_SIBL
(8,6),(8,10),-0.00335858 # DEPENDENCYPART_SIBL
(8,6),(8,11),-0.00123548 # DEPENDENCYPART_SIBL
(8,6),(8,13),-0.00123548 # DEPENDENCYPART_SIBL
(8,6),(8,14),-0.013203 # DEPENDENCYPART_SIBL
(8,6),(8,17),-0.00123548 # DEPENDENCYPART_SIBL
(8,6),(8,18),-0.00161877 # DEPENDENCYPART_SIBL
(8,6),(8,19),-0.00432515 # DEPENDENCYPART_SIBL
(8,7),(8,9),-0.016944 # DEPENDENCYPART_SIBL
(8,7),(8,10),0.00249677 # DEPENDENCYPART_SIBL
(8,7),(8,11),0.00834077 # DEPENDENCYPART_SIBL
(8,7),(8,13),0.00834077 # DEPENDENCYPART_SIBL
(8,7),(8,14),-0.00957231 # DEPENDENCYPART_SIBL
(8,7),(8,17),0.00834077 # DEPENDENCYPART_SIBL
(8,7),(8,18),0.00795748 # DEPENDENCYPART_SIBL
(8,7),(8,19),0.00529746 # DEPENDENCYPART_SIBL
(8,9),(8,10),-0.0453025 # DEPENDENCYPART_SIBL
(8,9),(8,11),-0.0368925 # DEPENDENCYPART_SIBL
(8,9),(8,13),-0.0368925 # DEPENDENCYPART_SIBL
(8,9),(8,14),-0.0427164 # DEPENDENCYPART_SIBL
(8,9),(8,17),-0.0368925 # DEPENDENCYPART_SIBL
(8,9),(8,18),-0.0368925 # DEPENDENCYPART_SIBL
(8,9),(8,19),-0.0326022 # DEPENDENCYPART_SIBL
(8,10),(8,11),-0.0256127 # DEPENDENCYPART_SIBL
(8,10),(8,13),-0.0256127 # DEPENDENCYPART_SIBL
(8,10),(8,14),-0.0286758 # DEPENDENCYPART_SIBL
(8,10),(8,17),-0.0256127 # DEPENDENCYPART_SIBL
(8,10),(8,18),-0.0137426 # DEPENDENCYPART_SIBL
(8,10),(8,19),-0.030176 # DEPENDENCYPART_SIBL
(8,11),(8,13),-0.0220715 # DEPENDENCYPART_SIBL
(8,11),(8,14),-0.0267601 # DEPENDENCYPART_SIBL
(8,11),(8,17),-0.0220715 # DEPENDENCYPART_SIBL
(8,11),(8,18),-0.0220715 # DEPENDENCYPART_SIBL
(8,11),(8,19),-0.0182534 # DEPENDENCYPART_SIBL
(8,13),(8,14),-0.0267601 # DEPENDENCYPART_SIBL
(8,13),(8,17),-0.0220715 # DEPENDENCYPART_SIBL
(8,13),(8,18),-0.0220715 # DEPENDENCYPART_SIBL
(8,13),(8,19),-0.0182534 # DEPENDENCYPART_SIBL
(8,14),(8,17),-0.0250975 # DEPENDENCYPART_SIBL
(8,14),(8,18),-0.0250975 # DEPENDENCYPART_SIBL
(8,14),(8,19),-0.0212959 # DEPENDENCYPART_SIBL
(8,17),(8,18),-0.0220715 # DEPENDENCYPART_SIBL
(8,17),(8,19),-0.0182534 # DEPENDENCYPART_SIBL
(8,18),(8,19),-0.0184332 # DEPENDENCYPART_SIBL
(9,7),(9,8),-0.0208616 # DEPENDENCYPART_SIBL
(10,2),(10,3),-0.0299565 # DEPENDENCYPART_SIBL
(10,2),(10,5),-0.0185551 # DEPENDENCYPART_SIBL
(10,2),(10,6),-0.100319 # DEPENDENCYPART_SIBL
(10,2),(10,7),-0.00887844 # DEPENDENCYPART_SIBL
(10,2),(10,8),-0.00904268 # DEPENDENCYPART_SIBL
(10,2),(10,9),-0.0617732 # DEPENDENCYPART_SIBL
(10,2),(10,11),-0.0889921 # DEPENDENCYPART_SIBL
(10,2),(10,12),-0.0288818 # DEPENDENCYPART_SIBL
(10,2),(10,13),-0.0889921 # DEPENDENCYPART_SIBL
(10,2),(10,14),-0.104822 # DEPENDENCYPART_SIBL
(10,2),(10,15),-0.0860311 # DEPENDENCYPART_SIBL
(10,2),(10,17),-0.0889921 # DEPENDENCYPART_SIBL
(10,2),(10,18),-0.0893764 # DEPENDENCYPART_SIBL
(10,2),(10,19),-0.0844335 # DEPENDENCYPART_SIBL
(10,3),(10,5),0.0287788 # DEPENDENCYPART_SIBL
(10,3),(10,6),-0.0722315 # DEPENDENCYPART_SIBL
(10,3),(10,7),0.000661304 # DEPENDENCYPART_SIBL
(10,3),(10,8),0.000255058 # DEPENDENCYPART_SIBL
(10,3),(10,9),-0.0333562 # DEPENDENCYPART_SIBL
(10,3),(10,11),-0.0113131 # DEPENDENCYPART_SIBL
(10,3),(10,12),0.122599 # DEPENDENCYPART_SIBL
(10,3),(10,13),-0.0113131 # DEPENDENCYPART_SIBL
(10,3),(10,14),-0.0259766 # DEPENDENCYPART_SIBL
(10,3),(10,15),-0.0509467 # DEPENDENCYPART_SIBL
(10,3),(10,17),-0.0113131 # DEPENDENCYPART_SIBL
(10,3),(10,18),-0.0113131 # DEPENDENCYPART_SIBL
(10,3),(10,19),-0.00664661 # DEPENDENCYPART_SIBL
(10,5),(10,6),-0.0358435 # DEPENDENCYPART_SIBL
(10,5),(10,7),-0.00316548 # DEPENDENCYPART_SIBL
(10,5),(10,8),-0.00332972 # DEPENDENCYPART_SIBL
(10,5),(10,9),-0.0227466 # DEPENDENCYPART_SIBL
(10,5),(10,11),0.00241906 # DEPENDENCYPART_SIBL
(10,5),(10,12),-0.0292423 # DEPENDENCYPART_SIBL
(10,5),(10,13),0.00241906 # DEPENDENCYPART_SIBL
(10,5),(10,14),-0.0146909 # DEPENDENCYPART_SIBL
(10,5),(10,15),-0.0253286 # DEPENDENCYPART_SIBL
(10,5),(10,17),0.00241906 # DEPENDENCYPART_SIBL
(10,5),(10,18),0.00241906 # DEPENDENCYPART_SIBL
(10,5),(10,19),0.0070543 # DEPENDENCYPART_SIBL
(10,6),(10,7),-0.00293221 # DEPENDENCYPART_SIBL
(10,6),(10,8),-0.00309644 # DEPENDENCYPART_SIBL
(10,6),(10,9),-0.0308057 # DEPENDENCYPART_SIBL
(10,6),(10,11),-0.0187625 # DEPENDENCYPART_SIBL
(10,6),(10,12),0.0530492 # DEPENDENCYPART_SIBL
(10,6),(10,13),-0.0187625 # DEPENDENCYPART_SIBL
(10,6),(10,14),-0.0305432 # DEPENDENCYPART_SIBL
(10,6),(10,15),0.00992325 # DEPENDENCYPART_SIBL
(10,6),(10,17),-0.0187625 # DEPENDENCYPART_SIBL
(10,6),(10,18),-0.0187625 # DEPENDENCYPART_SIBL
(10,6),(10,19),-0.0145802 # DEPENDENCYPART_SIBL
(10,7),(10,8),-0.0245505 # DEPENDENCYPART_SIBL
(10,7),(10,9),-0.124463 # DEPENDENCYPART_SIBL
(10,7),(10,11),0.0756479 # DEPENDENCYPART_SIBL
(10,7),(10,12),-0.0182439 # DEPENDENCYPART_SIBL
(10,7),(10,13),0.0756479 # DEPENDENCYPART_SIBL
(10,7),(10,14),0.0579289 # DEPENDENCYPART_SIBL
(10,7),(10,15),-0.00493908 # DEPENDENCYPART_SIBL
(10,7),(10,17),0.0756479 # DEPENDENCYPART_SIBL
(10,7),(10,18),0.0756479 # DEPENDENCYPART_SIBL
(10,7),(10,19),0.0850686 # DEPENDENCYPART_SIBL
(10,8),(10,9),-0.126972 # DEPENDENCYPART_SIBL
(10,8),(10,11),0.0783547 # DEPENDENCYPART_SIBL
(10,8),(10,12),-0.0170971 # DEPENDENCYPART_SIBL
(10,8),(10,13),0.0783547 # DEPENDENCYPART_SIBL
(10,8),(10,14),0.0606357 # DEPENDENCYPART_SIBL
(10,8),(10,15),-0.0054864 # DEPENDENCYPART_SIBL
(10,8),(10,17),0.0783547 # DEPENDENCYPART_SIBL
(10,8),(10,18),0.0783547 # DEPENDENCYPART_SIBL
(10,8),(10,19),0.0877754 # DEPENDENCYPART_SIBL
(10,9),(10,11),-0.0827801 # DEPENDENCYPART_SIBL
(10,9),(10,12),-0.0287041 # DEPENDENCYPART_SIBL
(10,9),(10,13),-0.0827801 # DEPENDENCYPART_SIBL
(10,9),(10,14),-0.0962719 # DEPENDENCYPART_SIBL
(10,9),(10,15),0.0253459 # DEPENDENCYPART_SIBL
(10,9),(10,17),-0.0827801 # DEPENDENCYPART_SIBL
(10,9),(10,18),-0.0827801 # DEPENDENCYPART_SIBL
(10,9),(10,19),-0.0780186 # DEPENDENCYPART_SIBL
(10,11),(10,12),0.00630646 # DEPENDENCYPART_SIBL
(10,11),(10,13),-0.117136 # DEPENDENCYPART_SIBL
(10,11),(10,14),-0.1202 # DEPENDENCYPART_SIBL
(10,11),(10,15),-0.0666458 # DEPENDENCYPART_SIBL
(10,11),(10,17),-0.117136 # DEPENDENCYPART_SIBL
(10,11),(10,18),-0.117136 # DEPENDENCYPART_SIBL
(10,11),(10,19),-0.107537 # DEPENDENCYPART_SIBL
(10,12),(10,13),-0.0802179 # DEPENDENCYPART_SIBL
(10,12),(10,14),-0.0819049 # DEPENDENCYPART_SIBL
(10,12),(10,15),-0.0938797 # DEPENDENCYPART_SIBL
(10,12),(10,17),-0.0802179 # DEPENDENCYPART_SIBL
(10,12),(10,18),-0.0802179 # DEPENDENCYPART_SIBL
(10,12),(10,19),-0.0744083 # DEPENDENCYPART_SIBL
(10,13),(10,14),-0.1202 # DEPENDENCYPART_SIBL
(10,13),(10,15),-0.0666458 # DEPENDENCYPART_SIBL
(10,13),(10,17),-0.117136 # DEPENDENCYPART_SIBL
(10,13),(10,18),-0.117136 # DEPENDENCYPART_SIBL
(10,13),(10,19),-0.107537 # DEPENDENCYPART_SIBL
(10,14),(10,15),-0.0702134 # DEPENDENCYPART_SIBL
(10,14),(10,17),-0.12008 # DEPENDENCYPART_SIBL
(10,14),(10,18),-0.12008 # DEPENDENCYPART_SIBL
(10,14),(10,19),-0.110514 # DEPENDENCYPART_SIBL
(10,15),(10,17),-0.0124629 # DEPENDENCYPART_SIBL
(10,15),(10,18),-0.0124629 # DEPENDENCYPART_SIBL
(10,15),(10,19),0.00656922 # DEPENDENCYPART_SIBL
(10,17),(10,18),-0.117136 # DEPENDENCYPART_SIBL
(10,17),(10,19),-0.107537 # DEPENDENCYPART_SIBL
(10,18),(10,19),-0.107597 # DEPENDENCYPART_SIBL
(11,2),(11,8),0.00678689 # DEPENDENCYPART_SIBL
(11,2),(11,10),0.0116528 # DEPENDENCYPART_SIBL
(11,2),(11,12),-0.0184569 # DEPENDENCYPART_SIBL
(11,2),(11,13),0.00482131 # DEPENDENCYPART_SIBL
(11,2),(11,14),-0.0154773 # DEPENDENCYPART_SIBL
(11,2),(11,17),0.00482131 # DEPENDENCYPART_SIBL
(11,2),(11,18),0.00367041 # DEPENDENCYPART_SIBL
(11,2),(11,19),0.002168 # DEPENDENCYPART_SIBL
(11,8),(11,10),0.00272436 # DEPENDENCYPART_SIBL
(11,8),(11,12),0.0414077 # DEPENDENCYPART_SIBL
(11,8),(11,13),0.00643095 # DEPENDENCYPART_SIBL
(11,8),(11,14),-0.0114821 # DEPENDENCYPART_SIBL
(11,8),(11,17),0.00643095 # DEPENDENCYPART_SIBL
(11,8),(11,18),0.00604766 # DEPENDENCYPART_SIBL
(11,8),(11,19),0.00338764 # DEPENDENCYPART_SIBL
(11,10),(11,12),-0.0226084 # DEPENDENCYPART_SIBL
(11,10),(11,13),-0.00587643 # DEPENDENCYPART_SIBL
(11,10),(11,14),-0.0197023 # DEPENDENCYPART_SIBL
(11,10),(11,17),-0.00587643 # DEPENDENCYPART_SIBL
(11,10),(11,18),-0.00625972 # DEPENDENCYPART_SIBL
(11,10),(11,19),-0.00840378 # DEPENDENCYPART_SIBL
(11,12),(11,13),-0.00940077 # DEPENDENCYPART_SIBL
(11,12),(11,14),-0.0136201 # DEPENDENCYPART_SIBL
(11,12),(11,17),-0.00940077 # DEPENDENCYPART_SIBL
(11,12),(11,18),-0.00940077 # DEPENDENCYPART_SIBL
(11,12),(11,19),-0.00940513 # DEPENDENCYPART_SIBL
(11,13),(11,14),-0.0267601 # DEPENDENCYPART_SIBL
(11,13),(11,17),-0.0220715 # DEPENDENCYPART_SIBL
(11,13),(11,18),-0.0220715 # DEPENDENCYPART_SIBL
(11,13),(11,19),-0.0182534 # DEPENDENCYPART_SIBL
(11,14),(11,17),-0.0250975 # DEPENDENCYPART_SIBL
(11,14),(11,18),-0.0250975 # DEPENDENCYPART_SIBL
(11,14),(11,19),-0.0212959 # DEPENDENCYPART_SIBL
(11,17),(11,18),-0.0220715 # DEPENDENCYPART_SIBL
(11,17),(11,19),-0.0182534 # DEPENDENCYPART_SIBL
(11,18),(11,19),-0.0184332 # DEPENDENCYPART_SIBL
(12,11),(12,13),0.0292898 # DEPENDENCYPART_SIBL
(12,11),(12,15),-0.0248167 # DEPENDENCYPART_SIBL
(12,13),(12,15),-0.0156052 # DEPENDENCYPART_SIBL
(13,2),(13,3),-0.0189859 # DEPENDENCYPART_SIBL
(13,2),(13,4),-0.0212802 # DEPENDENCYPART_SIBL
(13,2),(13,5),0.0116528 # DEPENDENCYPART_SIBL
(13,2),(13,6),-0.013472 # DEPENDENCYPART_SIBL
(13,2),(13,7),0.00678689 # DEPENDENCYPART_SIBL
(13,2),(13,8),0.00678689 # DEPENDENCYPART_SIBL
(13,2),(13,9),-0.0676617 # DEPENDENCYPART_SIBL
(13,2),(13,10),0.0116528 # DEPENDENCYPART_SIBL
(13,2),(13,11),0.00678689 # DEPENDENCYPART_SIBL
(13,2),(13,12),-0.00533564 # DEPENDENCYPART_SIBL
(13,2),(13,14),-0.0154773 # DEPENDENCYPART_SIBL
(13,2),(13,15),0.021789 # DEPENDENCYPART_SIBL
(13,2),(13,17),0.00482131 # DEPENDENCYPART_SIBL
(13,2),(13,18),0.00367041 # DEPENDENCYPART_SIBL
(13,2),(13,19),0.002168 # DEPENDENCYPART_SIBL
(13,3),(13,4),0.00361363 # DEPENDENCYPART_SIBL
(13,3),(13,5),0.0184215 # DEPENDENCYPART_SIBL
(13,3),(13,6),0.00556662 # DEPENDENCYPART_SIBL
(13,3),(13,7),-0.0121705 # DEPENDENCYPART_SIBL
(13,3),(13,8),-0.0122512 # DEPENDENCYPART_SIBL
(13,3),(13,9),-0.00424688 # DEPENDENCYPART_SIBL
(13,3),(13,10),0.0184215 # DEPENDENCYPART_SIBL
(13,3),(13,11),-0.0121705 # DEPENDENCYPART_SIBL
(13,3),(13,12),-0.0579876 # DEPENDENCYPART_SIBL
(13,3),(13,14),-0.00436408 # DEPENDENCYPART_SIBL
(13,3),(13,15),-0.0417169 # DEPENDENCYPART_SIBL
(13,3),(13,17),0.0136686 # DEPENDENCYPART_SIBL
(13,3),(13,18),0.0132853 # DEPENDENCYPART_SIBL
(13,3),(13,19),0.0112813 # DEPENDENCYPART_SIBL
(13,4),(13,5),-0.013302 # DEPENDENCYPART_SIBL
(13,4),(13,6),-0.013543 # DEPENDENCYPART_SIBL
(13,4),(13,7),0.00418764 # DEPENDENCYPART_SIBL
(13,4),(13,8),0.00418764 # DEPENDENCYPART_SIBL
(13,4),(13,9),-0.0494266 # DEPENDENCYPART_SIBL
(13,4),(13,10),-0.013302 # DEPENDENCYPART_SIBL
(13,4),(13,11),0.00418764 # DEPENDENCYPART_SIBL
(13,4),(13,12),-0.0211711 # DEPENDENCYPART_SIBL
(13,4),(13,14),-0.014797 # DEPENDENCYPART_SIBL
(13,4),(13,15),0.0017724 # DEPENDENCYPART_SIBL
(13,4),(13,17),-0.00282945 # DEPENDENCYPART_SIBL
(13,4),(13,18),-0.00321274 # DEPENDENCYPART_SIBL
(13,4),(13,19),-0.00591912 # DEPENDENCYPART_SIBL
(13,5),(13,6),-0.0565263 # DEPENDENCYPART_SIBL
(13,5),(13,7),-0.0348323 # DEPENDENCYPART_SIBL
(13,5),(13,8),-0.0348323 # DEPENDENCYPART_SIBL
(13,5),(13,9),-0.0888668 # DEPENDENCYPART_SIBL
(13,5),(13,10),0.00793731 # DEPENDENCYPART_SIBL
(13,5),(13,11),-0.0348323 # DEPENDENCYPART_SIBL
(13,5),(13,12),-0.0247201 # DEPENDENCYPART_SIBL
(13,5),(13,14),-0.0197023 # DEPENDENCYPART_SIBL
(13,5),(13,15),0.0109203 # DEPENDENCYPART_SIBL
(13,5),(13,17),-0.00587643 # DEPENDENCYPART_SIBL
(13,5),(13,18),-0.00625972 # DEPENDENCYPART_SIBL
(13,5),(13,19),-0.00840378 # DEPENDENCYPART_SIBL
(13,6),(13,7),0.00418764 # DEPENDENCYPART_SIBL
(13,6),(13,8),0.00418764 # DEPENDENCYPART_SIBL
(13,6),(13,9),-0.0494266 # DEPENDENCYPART_SIBL
(13,6),(13,10),-0.013302 # DEPENDENCYPART_SIBL
(13,6),(13,11),0.00418764 # DEPENDENCYPART_SIBL
(13,6),(13,12),-0.0211711 # DEPENDENCYPART_SIBL
(13,6),(13,14),-0.0137386 # DEPENDENCYPART_SIBL
(13,6),(13,15),0.0017724 # DEPENDENCYPART_SIBL
(13,6),(13,17),-0.00177109 # DEPENDENCYPART_SIBL
(13,6),(13,18),-0.00215438 # DEPENDENCYPART_SIBL
(13,6),(13,19),-0.00486076 # DEPENDENCYPART_SIBL
(13,7),(13,8),-0.0281429 # DEPENDENCYPART_SIBL
(13,7),(13,9),-0.0829989 # DEPENDENCYPART_SIBL
(13,7),(13,10),0.00272451 # DEPENDENCYPART_SIBL
(13,7),(13,11),-0.0281416 # DEPENDENCYPART_SIBL
(13,7),(13,12),-0.0145641 # DEPENDENCYPART_SIBL
(13,7),(13,14),-0.0120021 # DEPENDENCYPART_SIBL
(13,7),(13,15),-0.00472154 # DEPENDENCYPART_SIBL
(13,7),(13,17),0.00591096 # DEPENDENCYPART_SIBL
(13,7),(13,18),0.00552767 # DEPENDENCYPART_SIBL
(13,7),(13,19),0.00286765 # DEPENDENCYPART_SIBL
(13,8),(13,9),-0.0829989 # DEPENDENCYPART_SIBL
(13,8),(13,10),0.00272436 # DEPENDENCYPART_SIBL
(13,8),(13,11),-0.0281416 # DEPENDENCYPART_SIBL
(13,8),(13,12),-0.0145641 # DEPENDENCYPART_SIBL
(13,8),(13,14),-0.0114821 # DEPENDENCYPART_SIBL
(13,8),(13,15),-0.00641564 # DEPENDENCYPART_SIBL
(13,8),(13,17),0.00643095 # DEPENDENCYPART_SIBL
(13,8),(13,18),0.00604766 # DEPENDENCYPART_SIBL
(13,8),(13,19),0.00338764 # DEPENDENCYPART_SIBL
(13,9),(13,10),-0.0896274 # DEPENDENCYPART_SIBL
(13,9),(13,11),-0.102649 # DEPENDENCYPART_SIBL
(13,9),(13,12),-0.129557 # DEPENDENCYPART_SIBL
(13,9),(13,14),-0.02872 # DEPENDENCYPART_SIBL
(13,9),(13,15),-0.00549256 # DEPENDENCYPART_SIBL
(13,9),(13,17),-0.0159077 # DEPENDENCYPART_SIBL
(13,9),(13,18),-0.016291 # DEPENDENCYPART_SIBL
(13,9),(13,19),-0.0182633 # DEPENDENCYPART_SIBL
(13,10),(13,11),-0.0348323 # DEPENDENCYPART_SIBL
(13,10),(13,12),-0.0247201 # DEPENDENCYPART_SIBL
(13,10),(13,14),-0.0197023 # DEPENDENCYPART_SIBL
(13,10),(13,15),0.0109203 # DEPENDENCYPART_SIBL
(13,10),(13,17),-0.00587643 # DEPENDENCYPART_SIBL
(13,10),(13,18),-0.00625972 # DEPENDENCYPART_SIBL
(13,10),(13,19),-0.00840378 # DEPENDENCYPART_SIBL
(13,11),(13,12),-0.0145641 # DEPENDENCYPART_SIBL
(13,11),(13,14),-0.0120021 # DEPENDENCYPART_SIBL
(13,11),(13,15),-0.00472154 # DEPENDENCYPART_SIBL
(13,11),(13,17),0.00591096 # DEPENDENCYPART_SIBL
(13,11),(13,18),0.00552767 # DEPENDENCYPART_SIBL
(13,11),(13,19),0.00286765 # DEPENDENCYPART_SIBL
(13,12),(13,14),-0.0454866 # DEPENDENCYPART_SIBL
(13,12),(13,15),0.00564924 # DEPENDENCYPART_SIBL
(13,12),(13,17),-0.0215848 # DEPENDENCYPART_SIBL
(13,12),(13,18),-0.0219681 # DEPENDENCYPART_SIBL
(13,12),(13,19),-0.0240038 # DEPENDENCYPART_SIBL
(13,14),(13,15),-0.0523995 # DEPENDENCYPART_SIBL
(13,14),(13,17),-0.0250975 # DEPENDENCYPART_SIBL
(13,14),(13,18),-0.0250975 # DEPENDENCYPART_SIBL
(13,14),(13,19),-0.0212959 # DEPENDENCYPART_SIBL
(13,15),(13,17),-0.038407 # DEPENDENCYPART_SIBL
(13,15),(13,18),-0.038407 # DEPENDENCYPART_SIBL
(13,15),(13,19),-0.0341168 # DEPENDENCYPART_SIBL
(13,17),(13,18),-0.0220715 # DEPENDENCYPART_SIBL
(13,17),(13,19),-0.0182534 # DEPENDENCYPART_SIBL
(13,18),(13,19),-0.0184332 # DEPENDENCYPART_SIBL
(14,2),(14,3),-0.0272472 # DEPENDENCYPART_SIBL
(14,2),(14,4),-0.0268559 # DEPENDENCYPART_SIBL
(14,2),(14,5),0.00554972 # DEPENDENCYPART_SIBL
