# _root_ gogoan_dut beste batzuetan nola barneratzen ninduzun itsasoan txalupa koskor - niretzat , intxaur azal txikitxo - batean , atsegin bait zenuen nire izu-ikara zentzugabearen_aurrean zure segurtasun babeslea agertzea .
#goldHeads=0,3,5,5,1,5,5,5,8,9,14,11,14,8,14,15,8,17,0,21,19,23,28,23,26,28,26,21,28,
#predictedHeads=0,3,5,5,1,5,6,5,8,9,5,11,14,19,14,15,14,17,0,19,20,23,19,23,26,28,26,21,28,
(0,17),(0,21),-0.0675056 # DEPENDENCYPART_SIBL
(0,17),(0,22),-0.0166319 # DEPENDENCYPART_SIBL
(0,17),(0,24),-0.0409402 # DEPENDENCYPART_SIBL
(0,17),(0,25),-0.0141115 # DEPENDENCYPART_SIBL
(0,17),(0,26),-0.0108639 # DEPENDENCYPART_SIBL
(0,17),(0,27),-0.0409402 # DEPENDENCYPART_SIBL
(0,17),(0,28),-0.119974 # DEPENDENCYPART_SIBL
(0,17),(0,29),-0.133141 # DEPENDENCYPART_SIBL
(0,18),(0,19),-0.27443 # DEPENDENCYPART_SIBL
(0,18),(0,20),-0.169723 # DEPENDENCYPART_SIBL
(0,18),(0,21),-0.20423 # DEPENDENCYPART_SIBL
(0,18),(0,22),-0.192987 # DEPENDENCYPART_SIBL
(0,18),(0,24),-0.132739 # DEPENDENCYPART_SIBL
(0,18),(0,25),-0.192985 # DEPENDENCYPART_SIBL
(0,18),(0,26),-0.202045 # DEPENDENCYPART_SIBL
(0,18),(0,27),-0.132739 # DEPENDENCYPART_SIBL
(0,18),(0,28),-0.290604 # DEPENDENCYPART_SIBL
(0,18),(0,29),-0.340789 # DEPENDENCYPART_SIBL
(0,19),(0,20),-0.049039 # DEPENDENCYPART_SIBL
(0,19),(0,21),-0.069349 # DEPENDENCYPART_SIBL
(0,19),(0,22),-0.0119186 # DEPENDENCYPART_SIBL
(0,19),(0,24),-9.77891e-05 # DEPENDENCYPART_SIBL
(0,19),(0,25),-0.00915768 # DEPENDENCYPART_SIBL
(0,19),(0,26),-0.00562467 # DEPENDENCYPART_SIBL
(0,19),(0,27),-9.77891e-05 # DEPENDENCYPART_SIBL
(0,19),(0,28),-0.117777 # DEPENDENCYPART_SIBL
(0,19),(0,29),-0.0693041 # DEPENDENCYPART_SIBL
(0,20),(0,21),-0.0581266 # DEPENDENCYPART_SIBL
(0,20),(0,22),0.00607791 # DEPENDENCYPART_SIBL
(0,20),(0,24),0.0176299 # DEPENDENCYPART_SIBL
(0,20),(0,25),0.00859837 # DEPENDENCYPART_SIBL
(0,20),(0,26),0.0130042 # DEPENDENCYPART_SIBL
(0,20),(0,27),0.0176299 # DEPENDENCYPART_SIBL
(0,20),(0,28),-0.0372044 # DEPENDENCYPART_SIBL
(0,20),(0,29),-0.0823451 # DEPENDENCYPART_SIBL
(0,21),(0,22),-0.0676202 # DEPENDENCYPART_SIBL
(0,21),(0,24),-0.0378437 # DEPENDENCYPART_SIBL
(0,21),(0,25),-0.0651439 # DEPENDENCYPART_SIBL
(0,21),(0,26),-0.0286759 # DEPENDENCYPART_SIBL
(0,21),(0,27),-0.0378437 # DEPENDENCYPART_SIBL
(0,21),(0,28),-0.183674 # DEPENDENCYPART_SIBL
(0,21),(0,29),-0.116016 # DEPENDENCYPART_SIBL
(0,22),(0,24),0.0731441 # DEPENDENCYPART_SIBL
(0,22),(0,25),0.0613905 # DEPENDENCYPART_SIBL
(0,22),(0,26),0.0635602 # DEPENDENCYPART_SIBL
(0,22),(0,27),0.0731441 # DEPENDENCYPART_SIBL
(0,22),(0,28),-0.00129992 # DEPENDENCYPART_SIBL
(0,22),(0,29),0.0219797 # DEPENDENCYPART_SIBL
(0,24),(0,25),0.00442882 # DEPENDENCYPART_SIBL
(0,24),(0,26),-0.00442415 # DEPENDENCYPART_SIBL
(0,24),(0,27),0.0109805 # DEPENDENCYPART_SIBL
(0,24),(0,28),-0.0989758 # DEPENDENCYPART_SIBL
(0,24),(0,29),-0.0798058 # DEPENDENCYPART_SIBL
(0,25),(0,26),0.0544737 # DEPENDENCYPART_SIBL
(0,25),(0,27),0.0709497 # DEPENDENCYPART_SIBL
(0,25),(0,28),-0.0101172 # DEPENDENCYPART_SIBL
(0,25),(0,29),0.0196583 # DEPENDENCYPART_SIBL
(0,26),(0,27),0.0183413 # DEPENDENCYPART_SIBL
(0,26),(0,28),-0.112981 # DEPENDENCYPART_SIBL
(0,26),(0,29),-0.175033 # DEPENDENCYPART_SIBL
(0,27),(0,28),-0.0989758 # DEPENDENCYPART_SIBL
(0,27),(0,29),-0.0798058 # DEPENDENCYPART_SIBL
(0,28),(0,29),-0.0693053 # DEPENDENCYPART_SIBL
(1,5),(1,6),0.0315624 # DEPENDENCYPART_SIBL
(1,5),(1,7),-0.0453893 # DEPENDENCYPART_SIBL
(1,5),(1,8),-0.0453893 # DEPENDENCYPART_SIBL
(1,5),(1,19),-0.0182882 # DEPENDENCYPART_SIBL
(1,6),(1,7),0.0191796 # DEPENDENCYPART_SIBL
(1,6),(1,8),0.0191796 # DEPENDENCYPART_SIBL
(1,6),(1,19),0.0108981 # DEPENDENCYPART_SIBL
(1,7),(1,8),-0.0147462 # DEPENDENCYPART_SIBL
(1,7),(1,19),-0.0116819 # DEPENDENCYPART_SIBL
(1,8),(1,19),-0.0116819 # DEPENDENCYPART_SIBL
(2,3),(2,5),-0.0294789 # DEPENDENCYPART_SIBL
(3,2),(3,4),0.0236104 # DEPENDENCYPART_SIBL
(3,2),(3,5),0.0061682 # DEPENDENCYPART_SIBL
(3,4),(3,5),0.00175836 # DEPENDENCYPART_SIBL
(5,1),(5,2),-0.0274226 # DEPENDENCYPART_SIBL
(5,1),(5,3),-0.0117909 # DEPENDENCYPART_SIBL
(5,1),(5,4),-0.0108075 # DEPENDENCYPART_SIBL
(5,1),(5,6),0.0648408 # DEPENDENCYPART_SIBL
(5,1),(5,7),0.014658 # DEPENDENCYPART_SIBL
(5,1),(5,8),0.014658 # DEPENDENCYPART_SIBL
(5,1),(5,9),-0.00883422 # DEPENDENCYPART_SIBL
(5,1),(5,11),-0.000422455 # DEPENDENCYPART_SIBL
(5,1),(5,12),-0.00472154 # DEPENDENCYPART_SIBL
(5,1),(5,13),0.014658 # DEPENDENCYPART_SIBL
(5,1),(5,14),0.0179315 # DEPENDENCYPART_SIBL
(5,1),(5,15),-0.00883422 # DEPENDENCYPART_SIBL
(5,1),(5,19),-0.00157277 # DEPENDENCYPART_SIBL
(5,1),(5,20),0.081977 # DEPENDENCYPART_SIBL
(5,1),(5,21),0.064049 # DEPENDENCYPART_SIBL
(5,1),(5,23),0.014658 # DEPENDENCYPART_SIBL
(5,1),(5,26),0.0139003 # DEPENDENCYPART_SIBL
(5,1),(5,28),0.0163789 # DEPENDENCYPART_SIBL
(5,2),(5,3),0.00215885 # DEPENDENCYPART_SIBL
(5,2),(5,4),-0.0340766 # DEPENDENCYPART_SIBL
(5,2),(5,6),-0.0238857 # DEPENDENCYPART_SIBL
(5,2),(5,7),-0.0335337 # DEPENDENCYPART_SIBL
(5,2),(5,8),-0.0335337 # DEPENDENCYPART_SIBL
(5,2),(5,9),-0.0559746 # DEPENDENCYPART_SIBL
(5,2),(5,11),-0.00901165 # DEPENDENCYPART_SIBL
(5,2),(5,12),-0.011384 # DEPENDENCYPART_SIBL
(5,2),(5,13),-0.0335337 # DEPENDENCYPART_SIBL
(5,2),(5,14),-0.027017 # DEPENDENCYPART_SIBL
(5,2),(5,15),-0.0559746 # DEPENDENCYPART_SIBL
(5,2),(5,19),-0.044521 # DEPENDENCYPART_SIBL
(5,2),(5,20),0.0586495 # DEPENDENCYPART_SIBL
(5,2),(5,21),-0.035944 # DEPENDENCYPART_SIBL
(5,2),(5,23),-0.0335337 # DEPENDENCYPART_SIBL
(5,2),(5,26),-0.0335337 # DEPENDENCYPART_SIBL
(5,2),(5,28),-0.0370383 # DEPENDENCYPART_SIBL
(5,3),(5,4),-0.0241805 # DEPENDENCYPART_SIBL
(5,3),(5,6),0.0466084 # DEPENDENCYPART_SIBL
(5,3),(5,7),0.0270065 # DEPENDENCYPART_SIBL
(5,3),(5,8),0.0270065 # DEPENDENCYPART_SIBL
(5,3),(5,9),-0.023573 # DEPENDENCYPART_SIBL
(5,3),(5,11),0.025715 # DEPENDENCYPART_SIBL
(5,3),(5,12),0.0256424 # DEPENDENCYPART_SIBL
(5,3),(5,13),0.0270065 # DEPENDENCYPART_SIBL
(5,3),(5,14),0.0335231 # DEPENDENCYPART_SIBL
(5,3),(5,15),-0.023573 # DEPENDENCYPART_SIBL
(5,3),(5,19),-0.00810153 # DEPENDENCYPART_SIBL
(5,3),(5,20),0.0937464 # DEPENDENCYPART_SIBL
(5,3),(5,21),-0.00073045 # DEPENDENCYPART_SIBL
(5,3),(5,23),0.0270065 # DEPENDENCYPART_SIBL
(5,3),(5,26),0.0270065 # DEPENDENCYPART_SIBL
(5,3),(5,28),-0.000618872 # DEPENDENCYPART_SIBL
(5,4),(5,6),0.0464554 # DEPENDENCYPART_SIBL
(5,4),(5,7),0.024707 # DEPENDENCYPART_SIBL
(5,4),(5,8),0.024707 # DEPENDENCYPART_SIBL
(5,4),(5,9),0.0117771 # DEPENDENCYPART_SIBL
(5,4),(5,11),0.0331432 # DEPENDENCYPART_SIBL
(5,4),(5,12),-0.013525 # DEPENDENCYPART_SIBL
(5,4),(5,13),0.024707 # DEPENDENCYPART_SIBL
(5,4),(5,14),0.0403685 # DEPENDENCYPART_SIBL
(5,4),(5,15),0.0117771 # DEPENDENCYPART_SIBL
(5,4),(5,19),-0.00185224 # DEPENDENCYPART_SIBL
(5,4),(5,20),0.0589294 # DEPENDENCYPART_SIBL
(5,4),(5,21),-0.00263014 # DEPENDENCYPART_SIBL
(5,4),(5,23),0.024707 # DEPENDENCYPART_SIBL
(5,4),(5,26),0.024707 # DEPENDENCYPART_SIBL
(5,4),(5,28),0.00560313 # DEPENDENCYPART_SIBL
(5,6),(5,7),0.0191796 # DEPENDENCYPART_SIBL
(5,6),(5,8),0.0191796 # DEPENDENCYPART_SIBL
(5,6),(5,9),-0.0231813 # DEPENDENCYPART_SIBL
(5,6),(5,11),0.0447815 # DEPENDENCYPART_SIBL
(5,6),(5,12),-0.034946 # DEPENDENCYPART_SIBL
(5,6),(5,13),0.0191796 # DEPENDENCYPART_SIBL
(5,6),(5,14),0.0261181 # DEPENDENCYPART_SIBL
(5,6),(5,15),-0.0231813 # DEPENDENCYPART_SIBL
(5,6),(5,19),0.0108981 # DEPENDENCYPART_SIBL
(5,6),(5,20),-0.00278264 # DEPENDENCYPART_SIBL
(5,6),(5,21),-0.0160116 # DEPENDENCYPART_SIBL
(5,6),(5,23),0.0191796 # DEPENDENCYPART_SIBL
(5,6),(5,26),0.0191796 # DEPENDENCYPART_SIBL
(5,6),(5,28),0.0127566 # DEPENDENCYPART_SIBL
(5,7),(5,8),-0.0147462 # DEPENDENCYPART_SIBL
(5,7),(5,9),-0.00766809 # DEPENDENCYPART_SIBL
(5,7),(5,11),0.0487603 # DEPENDENCYPART_SIBL
(5,7),(5,12),-0.0287287 # DEPENDENCYPART_SIBL
(5,7),(5,13),-0.0147462 # DEPENDENCYPART_SIBL
(5,7),(5,14),-0.0127652 # DEPENDENCYPART_SIBL
(5,7),(5,15),-0.00766809 # DEPENDENCYPART_SIBL
(5,7),(5,19),-0.0116819 # DEPENDENCYPART_SIBL
(5,7),(5,20),-0.0216931 # DEPENDENCYPART_SIBL
(5,7),(5,21),-0.0397358 # DEPENDENCYPART_SIBL
(5,7),(5,23),-0.0147462 # DEPENDENCYPART_SIBL
(5,7),(5,26),-0.0148154 # DEPENDENCYPART_SIBL
(5,7),(5,28),-0.0153455 # DEPENDENCYPART_SIBL
(5,8),(5,9),-0.00766809 # DEPENDENCYPART_SIBL
(5,8),(5,11),0.0487603 # DEPENDENCYPART_SIBL
(5,8),(5,12),-0.0287287 # DEPENDENCYPART_SIBL
(5,8),(5,13),-0.0147462 # DEPENDENCYPART_SIBL
(5,8),(5,14),-0.0127652 # DEPENDENCYPART_SIBL
(5,8),(5,15),-0.00766809 # DEPENDENCYPART_SIBL
(5,8),(5,19),-0.0116819 # DEPENDENCYPART_SIBL
(5,8),(5,20),-0.0216931 # DEPENDENCYPART_SIBL
(5,8),(5,21),-0.0397358 # DEPENDENCYPART_SIBL
(5,8),(5,23),-0.0147462 # DEPENDENCYPART_SIBL
(5,8),(5,26),-0.0148154 # DEPENDENCYPART_SIBL
(5,8),(5,28),-0.0153455 # DEPENDENCYPART_SIBL
(5,9),(5,11),0.0424745 # DEPENDENCYPART_SIBL
(5,9),(5,12),-0.0392118 # DEPENDENCYPART_SIBL
(5,9),(5,13),-0.0221372 # DEPENDENCYPART_SIBL
(5,9),(5,14),-0.0201391 # DEPENDENCYPART_SIBL
(5,9),(5,15),0.00121239 # DEPENDENCYPART_SIBL
(5,9),(5,19),-0.00734006 # DEPENDENCYPART_SIBL
(5,9),(5,20),0.0089383 # DEPENDENCYPART_SIBL
(5,9),(5,21),-0.00319223 # DEPENDENCYPART_SIBL
(5,9),(5,23),-0.0221372 # DEPENDENCYPART_SIBL
(5,9),(5,26),-0.0221372 # DEPENDENCYPART_SIBL
(5,9),(5,28),-0.00515212 # DEPENDENCYPART_SIBL
(5,11),(5,12),-0.00469559 # DEPENDENCYPART_SIBL
(5,11),(5,13),-0.0140081 # DEPENDENCYPART_SIBL
(5,11),(5,14),-0.01201 # DEPENDENCYPART_SIBL
(5,11),(5,15),-0.00605058 # DEPENDENCYPART_SIBL
(5,11),(5,19),0.00950281 # DEPENDENCYPART_SIBL
(5,11),(5,20),0.000244123 # DEPENDENCYPART_SIBL
(5,11),(5,21),-0.0205853 # DEPENDENCYPART_SIBL
(5,11),(5,23),-0.0140081 # DEPENDENCYPART_SIBL
(5,11),(5,26),-0.0140081 # DEPENDENCYPART_SIBL
(5,11),(5,28),0.0113611 # DEPENDENCYPART_SIBL
(5,12),(5,13),-0.0970364 # DEPENDENCYPART_SIBL
(5,12),(5,14),-0.0952771 # DEPENDENCYPART_SIBL
(5,12),(5,15),-0.0643255 # DEPENDENCYPART_SIBL
(5,12),(5,19),-0.045866 # DEPENDENCYPART_SIBL
(5,12),(5,20),-0.024828 # DEPENDENCYPART_SIBL
(5,12),(5,21),-0.0307094 # DEPENDENCYPART_SIBL
(5,12),(5,23),-0.0970364 # DEPENDENCYPART_SIBL
(5,12),(5,26),-0.0970513 # DEPENDENCYPART_SIBL
(5,12),(5,28),-0.0353516 # DEPENDENCYPART_SIBL
(5,13),(5,14),-0.0127652 # DEPENDENCYPART_SIBL
(5,13),(5,15),-0.00766809 # DEPENDENCYPART_SIBL
(5,13),(5,19),-0.0116819 # DEPENDENCYPART_SIBL
(5,13),(5,20),-0.0216931 # DEPENDENCYPART_SIBL
(5,13),(5,21),-0.0397358 # DEPENDENCYPART_SIBL
(5,13),(5,23),-0.0147462 # DEPENDENCYPART_SIBL
(5,13),(5,26),-0.0148154 # DEPENDENCYPART_SIBL
(5,13),(5,28),-0.0153455 # DEPENDENCYPART_SIBL
(5,14),(5,15),-0.00790952 # DEPENDENCYPART_SIBL
(5,14),(5,19),-0.0119233 # DEPENDENCYPART_SIBL
(5,14),(5,20),-0.0219346 # DEPENDENCYPART_SIBL
(5,14),(5,21),-0.0399772 # DEPENDENCYPART_SIBL
(5,14),(5,23),-0.0149876 # DEPENDENCYPART_SIBL
(5,14),(5,26),-0.0150568 # DEPENDENCYPART_SIBL
(5,14),(5,28),-0.0155869 # DEPENDENCYPART_SIBL
(5,15),(5,19),-0.00734006 # DEPENDENCYPART_SIBL
(5,15),(5,20),0.0089383 # DEPENDENCYPART_SIBL
(5,15),(5,21),-0.00319223 # DEPENDENCYPART_SIBL
(5,15),(5,23),-0.0221372 # DEPENDENCYPART_SIBL
(5,15),(5,26),-0.0221372 # DEPENDENCYPART_SIBL
(5,15),(5,28),-0.00515212 # DEPENDENCYPART_SIBL
(5,19),(5,20),-0.00811897 # DEPENDENCYPART_SIBL
(5,19),(5,21),-0.0323553 # DEPENDENCYPART_SIBL
(5,19),(5,23),-0.0453893 # DEPENDENCYPART_SIBL
(5,19),(5,26),-0.0453893 # DEPENDENCYPART_SIBL
(5,19),(5,28),-0.0220841 # DEPENDENCYPART_SIBL
(5,20),(5,21),-0.0314866 # DEPENDENCYPART_SIBL
(5,20),(5,23),-0.00560127 # DEPENDENCYPART_SIBL
(5,20),(5,26),-0.00566995 # DEPENDENCYPART_SIBL
(5,20),(5,28),0.012082 # DEPENDENCYPART_SIBL
(5,21),(5,23),-6.1024e-05 # DEPENDENCYPART_SIBL
(5,21),(5,26),-6.1024e-05 # DEPENDENCYPART_SIBL
(5,21),(5,28),-0.010883 # DEPENDENCYPART_SIBL
(5,23),(5,26),-0.0148154 # DEPENDENCYPART_SIBL
(5,23),(5,28),-0.0153455 # DEPENDENCYPART_SIBL
(5,26),(5,28),-0.0153455 # DEPENDENCYPART_SIBL
(7,1),(7,5),-0.0446917 # DEPENDENCYPART_SIBL
(7,1),(7,6),-0.00744624 # DEPENDENCYPART_SIBL
(7,1),(7,8),-0.000666955 # DEPENDENCYPART_SIBL
(7,1),(7,9),0.0120224 # DEPENDENCYPART_SIBL
(7,1),(7,17),0.0453529 # DEPENDENCYPART_SIBL
(7,5),(7,6),-0.00744624 # DEPENDENCYPART_SIBL
(7,5),(7,8),-0.000666955 # DEPENDENCYPART_SIBL
(7,5),(7,9),0.0120224 # DEPENDENCYPART_SIBL
(7,5),(7,17),0.0453529 # DEPENDENCYPART_SIBL
(7,6),(7,8),-0.0300525 # DEPENDENCYPART_SIBL
(7,6),(7,9),-0.0278745 # DEPENDENCYPART_SIBL
(7,6),(7,17),-0.00316536 # DEPENDENCYPART_SIBL
(7,8),(7,9),-0.00483983 # DEPENDENCYPART_SIBL
(7,8),(7,17),0.0142149 # DEPENDENCYPART_SIBL
(7,9),(7,17),0.14086 # DEPENDENCYPART_SIBL
(8,5),(8,6),-0.00744624 # DEPENDENCYPART_SIBL
(8,5),(8,7),0.0281079 # DEPENDENCYPART_SIBL
(8,5),(8,9),0.0120224 # DEPENDENCYPART_SIBL
(8,5),(8,13),-0.000666955 # DEPENDENCYPART_SIBL
(8,5),(8,14),-0.00443507 # DEPENDENCYPART_SIBL
(8,5),(8,17),0.0453529 # DEPENDENCYPART_SIBL
(8,5),(8,28),0.0314568 # DEPENDENCYPART_SIBL
(8,6),(8,7),0.0106518 # DEPENDENCYPART_SIBL
(8,6),(8,9),-0.0278745 # DEPENDENCYPART_SIBL
(8,6),(8,13),-0.0300525 # DEPENDENCYPART_SIBL
(8,6),(8,14),-0.0304731 # DEPENDENCYPART_SIBL
(8,6),(8,17),-0.00316536 # DEPENDENCYPART_SIBL
(8,6),(8,28),0.0214541 # DEPENDENCYPART_SIBL
(8,7),(8,9),-0.0080158 # DEPENDENCYPART_SIBL
(8,7),(8,13),-0.00621019 # DEPENDENCYPART_SIBL
(8,7),(8,14),-0.00119592 # DEPENDENCYPART_SIBL
(8,7),(8,17),0.0425771 # DEPENDENCYPART_SIBL
(8,7),(8,28),0.0203521 # DEPENDENCYPART_SIBL
(8,9),(8,13),-0.00867562 # DEPENDENCYPART_SIBL
(8,9),(8,14),-0.00867562 # DEPENDENCYPART_SIBL
(8,9),(8,17),0.14086 # DEPENDENCYPART_SIBL
(8,9),(8,28),-0.0448741 # DEPENDENCYPART_SIBL
(8,13),(8,14),-0.00731769 # DEPENDENCYPART_SIBL
(8,13),(8,17),0.0142149 # DEPENDENCYPART_SIBL
(8,13),(8,28),-0.0358754 # DEPENDENCYPART_SIBL
(8,14),(8,17),0.0141646 # DEPENDENCYPART_SIBL
(8,14),(8,28),-0.0359258 # DEPENDENCYPART_SIBL
(8,17),(8,28),-0.0882873 # DEPENDENCYPART_SIBL
(9,7),(9,8),0.0538948 # DEPENDENCYPART_SIBL
(9,7),(9,10),-0.0896977 # DEPENDENCYPART_SIBL
(9,7),(9,12),-0.0174003 # DEPENDENCYPART_SIBL
(9,7),(9,14),0.0592518 # DEPENDENCYPART_SIBL
(9,7),(9,19),0.0199302 # DEPENDENCYPART_SIBL
(9,8),(9,10),-0.0896977 # DEPENDENCYPART_SIBL
(9,8),(9,12),-0.0174003 # DEPENDENCYPART_SIBL
(9,8),(9,14),0.0592518 # DEPENDENCYPART_SIBL
(9,8),(9,19),0.0199302 # DEPENDENCYPART_SIBL
(9,10),(9,12),-0.221128 # DEPENDENCYPART_SIBL
(9,10),(9,14),-0.0231451 # DEPENDENCYPART_SIBL
(9,10),(9,19),0.01502 # DEPENDENCYPART_SIBL
(9,12),(9,14),-0.0777183 # DEPENDENCYPART_SIBL
(9,12),(9,19),-0.0711943 # DEPENDENCYPART_SIBL
(9,14),(9,19),-0.021728 # DEPENDENCYPART_SIBL
(11,12),(11,13),0.0198476 # DEPENDENCYPART_SIBL
(11,12),(11,15),0.0358703 # DEPENDENCYPART_SIBL
(11,13),(11,15),0.00881163 # DEPENDENCYPART_SIBL
(12,13),(12,15),0.0473212 # DEPENDENCYPART_SIBL
(13,9),(13,11),0.00201067 # DEPENDENCYPART_SIBL
(13,9),(13,12),-0.0260689 # DEPENDENCYPART_SIBL
(13,9),(13,14),-0.0361816 # DEPENDENCYPART_SIBL
(13,9),(13,15),0.0295892 # DEPENDENCYPART_SIBL
(13,9),(13,17),0.0323851 # DEPENDENCYPART_SIBL
(13,11),(13,12),-0.032451 # DEPENDENCYPART_SIBL
(13,11),(13,14),0.015568 # DEPENDENCYPART_SIBL
(13,11),(13,15),0.0244643 # DEPENDENCYPART_SIBL
(13,11),(13,17),0.022226 # DEPENDENCYPART_SIBL
(13,12),(13,14),-0.056644 # DEPENDENCYPART_SIBL
(13,12),(13,15),-0.0288967 # DEPENDENCYPART_SIBL
(13,12),(13,17),-0.00228237 # DEPENDENCYPART_SIBL
(13,14),(13,15),-0.0048902 # DEPENDENCYPART_SIBL
(13,14),(13,17),0.0141646 # DEPENDENCYPART_SIBL
(13,15),(13,17),0.14086 # DEPENDENCYPART_SIBL
(14,5),(14,7),0.0279318 # DEPENDENCYPART_SIBL
(14,5),(14,8),0.0279318 # DEPENDENCYPART_SIBL
(14,5),(14,9),0.062025 # DEPENDENCYPART_SIBL
(14,5),(14,11),0.00260701 # DEPENDENCYPART_SIBL
(14,5),(14,12),-0.0127422 # DEPENDENCYPART_SIBL
(14,5),(14,13),0.0279318 # DEPENDENCYPART_SIBL
(14,5),(14,15),0.0105252 # DEPENDENCYPART_SIBL
(14,5),(14,17),0.0438557 # DEPENDENCYPART_SIBL
(14,5),(14,19),0.018253 # DEPENDENCYPART_SIBL
(14,5),(14,21),0.134561 # DEPENDENCYPART_SIBL
(14,5),(14,23),-0.00216414 # DEPENDENCYPART_SIBL
(14,5),(14,28),0.0299596 # DEPENDENCYPART_SIBL
(14,7),(14,8),-0.00800628 # DEPENDENCYPART_SIBL
(14,7),(14,9),0.0143276 # DEPENDENCYPART_SIBL
(14,7),(14,11),0.000279211 # DEPENDENCYPART_SIBL
(14,7),(14,12),-0.0259733 # DEPENDENCYPART_SIBL
(14,7),(14,13),-0.00800628 # DEPENDENCYPART_SIBL
(14,7),(14,15),-0.00207378 # DEPENDENCYPART_SIBL
(14,7),(14,17),0.0485191 # DEPENDENCYPART_SIBL
(14,7),(14,19),0.0213387 # DEPENDENCYPART_SIBL
(14,7),(14,21),-0.00948051 # DEPENDENCYPART_SIBL
(14,7),(14,23),-0.000268169 # DEPENDENCYPART_SIBL
(14,7),(14,28),0.0262941 # DEPENDENCYPART_SIBL
(14,8),(14,9),0.0143276 # DEPENDENCYPART_SIBL
(14,8),(14,11),0.000279211 # DEPENDENCYPART_SIBL
(14,8),(14,12),-0.0259733 # DEPENDENCYPART_SIBL
(14,8),(14,13),-0.00800628 # DEPENDENCYPART_SIBL
(14,8),(14,15),-0.00207378 # DEPENDENCYPART_SIBL
(14,8),(14,17),0.0485191 # DEPENDENCYPART_SIBL
(14,8),(14,19),0.0213387 # DEPENDENCYPART_SIBL
(14,8),(14,21),-0.00948051 # DEPENDENCYPART_SIBL
(14,8),(14,23),-0.000268169 # DEPENDENCYPART_SIBL
(14,8),(14,28),0.0262941 # DEPENDENCYPART_SIBL
(14,9),(14,11),0.00201067 # DEPENDENCYPART_SIBL
(14,9),(14,12),-0.0260689 # DEPENDENCYPART_SIBL
(14,9),(14,13),0.0154748 # DEPENDENCYPART_SIBL
(14,9),(14,15),0.0295892 # DEPENDENCYPART_SIBL
(14,9),(14,17),0.0323851 # DEPENDENCYPART_SIBL
(14,9),(14,19),-0.0210336 # DEPENDENCYPART_SIBL
(14,9),(14,21),-0.0101652 # DEPENDENCYPART_SIBL
(14,9),(14,23),-0.0357644 # DEPENDENCYPART_SIBL
(14,9),(14,28),-0.0197966 # DEPENDENCYPART_SIBL
(14,11),(14,12),-0.032451 # DEPENDENCYPART_SIBL
(14,11),(14,13),0.00180724 # DEPENDENCYPART_SIBL
(14,11),(14,15),0.0244643 # DEPENDENCYPART_SIBL
(14,11),(14,17),0.022226 # DEPENDENCYPART_SIBL
(14,11),(14,19),0.00313943 # DEPENDENCYPART_SIBL
(14,11),(14,21),0.0330002 # DEPENDENCYPART_SIBL
(14,11),(14,23),0.0159852 # DEPENDENCYPART_SIBL
(14,11),(14,28),0.00437651 # DEPENDENCYPART_SIBL
(14,12),(14,13),-0.115764 # DEPENDENCYPART_SIBL
(14,12),(14,15),-0.0288967 # DEPENDENCYPART_SIBL
(14,12),(14,17),-0.00228237 # DEPENDENCYPART_SIBL
(14,12),(14,19),-0.0386823 # DEPENDENCYPART_SIBL
(14,12),(14,21),-0.00518387 # DEPENDENCYPART_SIBL
(14,12),(14,23),-0.0562268 # DEPENDENCYPART_SIBL
(14,12),(14,28),-0.0374453 # DEPENDENCYPART_SIBL
(14,13),(14,15),-0.00207378 # DEPENDENCYPART_SIBL
(14,13),(14,17),0.0485191 # DEPENDENCYPART_SIBL
(14,13),(14,19),0.0213387 # DEPENDENCYPART_SIBL
(14,13),(14,21),-0.00948051 # DEPENDENCYPART_SIBL
(14,13),(14,23),-0.000268169 # DEPENDENCYPART_SIBL
(14,13),(14,28),0.0262941 # DEPENDENCYPART_SIBL
(14,15),(14,17),0.14086 # DEPENDENCYPART_SIBL
(14,15),(14,19),-0.0477088 # DEPENDENCYPART_SIBL
(14,15),(14,21),-0.00648731 # DEPENDENCYPART_SIBL
(14,15),(14,23),-0.00867562 # DEPENDENCYPART_SIBL
(14,15),(14,28),-0.0448741 # DEPENDENCYPART_SIBL
(14,17),(14,19),-0.0904151 # DEPENDENCYPART_SIBL
(14,17),(14,21),-0.0394258 # DEPENDENCYPART_SIBL
(14,17),(14,23),-0.011215 # DEPENDENCYPART_SIBL
(14,17),(14,28),-0.0882873 # DEPENDENCYPART_SIBL
(14,19),(14,21),0.00913991 # DEPENDENCYPART_SIBL
(14,19),(14,23),-0.00638306 # DEPENDENCYPART_SIBL
(14,19),(14,28),-0.0113514 # DEPENDENCYPART_SIBL
(14,21),(14,23),0.00197949 # DEPENDENCYPART_SIBL
(14,21),(14,28),-0.0316284 # DEPENDENCYPART_SIBL
(14,23),(14,28),-0.0358754 # DEPENDENCYPART_SIBL
(15,8),(15,13),0.0538948 # DEPENDENCYPART_SIBL
(15,8),(15,14),0.0538948 # DEPENDENCYPART_SIBL
(15,8),(15,16),-0.0896977 # DEPENDENCYPART_SIBL
(15,8),(15,17),0.0265914 # DEPENDENCYPART_SIBL
(15,8),(15,18),-0.0174003 # DEPENDENCYPART_SIBL
(15,8),(15,28),0.0229113 # DEPENDENCYPART_SIBL
(15,13),(15,14),0.0538948 # DEPENDENCYPART_SIBL
