# _root_ ehiztariek oihu_egin ziguten , otsoarengandik apartatzeko esanaz , eta eztarriek ez zieten bere belarriei gure lasaitzeko eta ez tiratzeko hitzik entzuten utzi .
#goldHeads=2,9,2,3,6,7,2,7,0,22,22,22,14,22,20,17,20,19,17,21,22,9,22,
#predictedHeads=2,9,2,3,6,7,9,7,0,16,22,22,14,16,16,17,22,19,20,21,22,9,22,
(6,1),(6,22),-0.0136563 # DEPENDENCYPART_SIBL
(6,2),(6,3),-0.014372 # DEPENDENCYPART_SIBL
(6,2),(6,4),-0.0829989 # DEPENDENCYPART_SIBL
(6,2),(6,5),-0.00703606 # DEPENDENCYPART_SIBL
(6,2),(6,7),0.00777914 # DEPENDENCYPART_SIBL
(6,2),(6,8),-0.00472154 # DEPENDENCYPART_SIBL
(6,2),(6,10),0.014658 # DEPENDENCYPART_SIBL
(6,2),(6,11),-0.0341121 # DEPENDENCYPART_SIBL
(6,2),(6,12),0.0780169 # DEPENDENCYPART_SIBL
(6,2),(6,14),0.014658 # DEPENDENCYPART_SIBL
(6,2),(6,15),-0.00800463 # DEPENDENCYPART_SIBL
(6,2),(6,16),0.00591096 # DEPENDENCYPART_SIBL
(6,2),(6,17),0.00437792 # DEPENDENCYPART_SIBL
(6,2),(6,20),0.014658 # DEPENDENCYPART_SIBL
(6,2),(6,21),0.00689845 # DEPENDENCYPART_SIBL
(6,2),(6,22),-0.000492374 # DEPENDENCYPART_SIBL
(6,3),(6,4),-0.041614 # DEPENDENCYPART_SIBL
(6,3),(6,5),-0.00153954 # DEPENDENCYPART_SIBL
(6,3),(6,7),0.0329179 # DEPENDENCYPART_SIBL
(6,3),(6,8),0.0493314 # DEPENDENCYPART_SIBL
(6,3),(6,10),-0.0137578 # DEPENDENCYPART_SIBL
(6,3),(6,11),0.0498033 # DEPENDENCYPART_SIBL
(6,3),(6,12),-0.056298 # DEPENDENCYPART_SIBL
(6,3),(6,14),-0.0137578 # DEPENDENCYPART_SIBL
(6,3),(6,15),-0.00899885 # DEPENDENCYPART_SIBL
(6,3),(6,16),0.031796 # DEPENDENCYPART_SIBL
(6,3),(6,17),-0.0341501 # DEPENDENCYPART_SIBL
(6,3),(6,20),-0.0137748 # DEPENDENCYPART_SIBL
(6,3),(6,21),0.031796 # DEPENDENCYPART_SIBL
(6,3),(6,22),0.0269478 # DEPENDENCYPART_SIBL
(6,4),(6,5),-0.174817 # DEPENDENCYPART_SIBL
(6,4),(6,7),-0.0147858 # DEPENDENCYPART_SIBL
(6,4),(6,8),-0.00549256 # DEPENDENCYPART_SIBL
(6,4),(6,10),-0.00323158 # DEPENDENCYPART_SIBL
(6,4),(6,11),-0.0158404 # DEPENDENCYPART_SIBL
(6,4),(6,12),0.00834505 # DEPENDENCYPART_SIBL
(6,4),(6,14),-0.00323158 # DEPENDENCYPART_SIBL
(6,4),(6,15),-0.00641675 # DEPENDENCYPART_SIBL
(6,4),(6,16),-0.0159077 # DEPENDENCYPART_SIBL
(6,4),(6,17),-0.0452097 # DEPENDENCYPART_SIBL
(6,4),(6,20),-0.00323158 # DEPENDENCYPART_SIBL
(6,4),(6,21),-0.0159077 # DEPENDENCYPART_SIBL
(6,4),(6,22),-0.0204368 # DEPENDENCYPART_SIBL
(6,5),(6,7),-0.00315175 # DEPENDENCYPART_SIBL
(6,5),(6,8),0.00593605 # DEPENDENCYPART_SIBL
(6,5),(6,10),-0.0201186 # DEPENDENCYPART_SIBL
(6,5),(6,11),0.00514746 # DEPENDENCYPART_SIBL
(6,5),(6,12),0.0186696 # DEPENDENCYPART_SIBL
(6,5),(6,14),-0.0201186 # DEPENDENCYPART_SIBL
(6,5),(6,15),-0.0586532 # DEPENDENCYPART_SIBL
(6,5),(6,16),-0.00577106 # DEPENDENCYPART_SIBL
(6,5),(6,17),-0.0221216 # DEPENDENCYPART_SIBL
(6,5),(6,20),-0.0201186 # DEPENDENCYPART_SIBL
(6,5),(6,21),-0.00577855 # DEPENDENCYPART_SIBL
(6,5),(6,22),-0.0136563 # DEPENDENCYPART_SIBL
(6,7),(6,8),-0.0493238 # DEPENDENCYPART_SIBL
(6,7),(6,10),-0.046261 # DEPENDENCYPART_SIBL
(6,7),(6,11),-0.0203682 # DEPENDENCYPART_SIBL
(6,7),(6,12),0.0283328 # DEPENDENCYPART_SIBL
(6,7),(6,14),-0.046261 # DEPENDENCYPART_SIBL
(6,7),(6,15),-0.00502082 # DEPENDENCYPART_SIBL
(6,7),(6,16),-0.0229432 # DEPENDENCYPART_SIBL
(6,7),(6,17),-0.0418639 # DEPENDENCYPART_SIBL
(6,7),(6,20),-0.046261 # DEPENDENCYPART_SIBL
(6,7),(6,21),-0.0229432 # DEPENDENCYPART_SIBL
(6,7),(6,22),-0.0268069 # DEPENDENCYPART_SIBL
(6,8),(6,10),-0.0970364 # DEPENDENCYPART_SIBL
(6,8),(6,11),-0.0880216 # DEPENDENCYPART_SIBL
(6,8),(6,12),-0.0772412 # DEPENDENCYPART_SIBL
(6,8),(6,14),-0.0970364 # DEPENDENCYPART_SIBL
(6,8),(6,15),-0.0538126 # DEPENDENCYPART_SIBL
(6,8),(6,16),-0.038407 # DEPENDENCYPART_SIBL
(6,8),(6,17),-0.0468171 # DEPENDENCYPART_SIBL
(6,8),(6,20),-0.0970364 # DEPENDENCYPART_SIBL
(6,8),(6,21),-0.038407 # DEPENDENCYPART_SIBL
(6,8),(6,22),-0.0382906 # DEPENDENCYPART_SIBL
(6,10),(6,11),-0.00796143 # DEPENDENCYPART_SIBL
(6,10),(6,12),-0.0230292 # DEPENDENCYPART_SIBL
(6,10),(6,14),-0.0147462 # DEPENDENCYPART_SIBL
(6,10),(6,15),0.023883 # DEPENDENCYPART_SIBL
(6,10),(6,16),-0.0153158 # DEPENDENCYPART_SIBL
(6,10),(6,17),-0.0177629 # DEPENDENCYPART_SIBL
(6,10),(6,20),-0.0154765 # DEPENDENCYPART_SIBL
(6,10),(6,21),-0.0153158 # DEPENDENCYPART_SIBL
(6,10),(6,22),-0.0191565 # DEPENDENCYPART_SIBL
(6,11),(6,12),0.0816093 # DEPENDENCYPART_SIBL
(6,11),(6,14),-0.00485697 # DEPENDENCYPART_SIBL
(6,11),(6,15),0.0508023 # DEPENDENCYPART_SIBL
(6,11),(6,16),-0.0100983 # DEPENDENCYPART_SIBL
(6,11),(6,17),0.0167442 # DEPENDENCYPART_SIBL
(6,11),(6,20),-0.004977 # DEPENDENCYPART_SIBL
(6,11),(6,21),-0.0100983 # DEPENDENCYPART_SIBL
(6,11),(6,22),-0.0132656 # DEPENDENCYPART_SIBL
(6,12),(6,14),0.0300682 # DEPENDENCYPART_SIBL
(6,12),(6,15),0.0238894 # DEPENDENCYPART_SIBL
(6,12),(6,16),0.0245284 # DEPENDENCYPART_SIBL
(6,12),(6,17),0.00677418 # DEPENDENCYPART_SIBL
(6,12),(6,20),0.0300081 # DEPENDENCYPART_SIBL
(6,12),(6,21),0.0244383 # DEPENDENCYPART_SIBL
(6,12),(6,22),0.0162613 # DEPENDENCYPART_SIBL
(6,14),(6,15),0.023883 # DEPENDENCYPART_SIBL
(6,14),(6,16),-0.0153158 # DEPENDENCYPART_SIBL
(6,14),(6,17),-0.0177629 # DEPENDENCYPART_SIBL
(6,14),(6,20),-0.0154765 # DEPENDENCYPART_SIBL
(6,14),(6,21),-0.0153158 # DEPENDENCYPART_SIBL
(6,14),(6,22),-0.0191565 # DEPENDENCYPART_SIBL
(6,15),(6,16),0.0102597 # DEPENDENCYPART_SIBL
(6,15),(6,17),-0.00538658 # DEPENDENCYPART_SIBL
(6,15),(6,20),-0.015439 # DEPENDENCYPART_SIBL
(6,15),(6,21),0.0102597 # DEPENDENCYPART_SIBL
(6,15),(6,22),0.00727189 # DEPENDENCYPART_SIBL
(6,16),(6,17),-0.0409922 # DEPENDENCYPART_SIBL
(6,16),(6,20),-0.0453893 # DEPENDENCYPART_SIBL
(6,16),(6,21),-0.0220715 # DEPENDENCYPART_SIBL
(6,16),(6,22),-0.0259352 # DEPENDENCYPART_SIBL
(6,17),(6,20),0.00258793 # DEPENDENCYPART_SIBL
(6,17),(6,21),-0.0261838 # DEPENDENCYPART_SIBL
(6,17),(6,22),-0.0253316 # DEPENDENCYPART_SIBL
(6,20),(6,21),-0.015333 # DEPENDENCYPART_SIBL
(6,20),(6,22),-0.0191736 # DEPENDENCYPART_SIBL
(6,21),(6,22),-0.0189186 # DEPENDENCYPART_SIBL
(7,1),(7,2),0.000257915 # DEPENDENCYPART_SIBL
(7,1),(7,3),0.00776479 # DEPENDENCYPART_SIBL
(7,1),(7,4),-0.0719618 # DEPENDENCYPART_SIBL
(7,1),(7,5),-0.0272033 # DEPENDENCYPART_SIBL
(7,1),(7,6),0.000257915 # DEPENDENCYPART_SIBL
(7,1),(7,8),0.00431524 # DEPENDENCYPART_SIBL
(7,1),(7,9),-0.0221219 # DEPENDENCYPART_SIBL
(7,1),(7,10),-0.0201459 # DEPENDENCYPART_SIBL
(7,1),(7,11),0.00514712 # DEPENDENCYPART_SIBL
(7,1),(7,12),0.0186693 # DEPENDENCYPART_SIBL
(7,1),(7,14),-0.0201459 # DEPENDENCYPART_SIBL
(7,1),(7,15),-0.0586536 # DEPENDENCYPART_SIBL
(7,1),(7,16),-0.00577141 # DEPENDENCYPART_SIBL
(7,1),(7,17),-0.0221219 # DEPENDENCYPART_SIBL
(7,1),(7,20),-0.0201459 # DEPENDENCYPART_SIBL
(7,1),(7,21),-0.0057789 # DEPENDENCYPART_SIBL
(7,1),(7,22),-0.0136566 # DEPENDENCYPART_SIBL
(7,2),(7,3),-0.014372 # DEPENDENCYPART_SIBL
(7,2),(7,4),-0.0829989 # DEPENDENCYPART_SIBL
(7,2),(7,5),-0.00703606 # DEPENDENCYPART_SIBL
(7,2),(7,6),-0.0281421 # DEPENDENCYPART_SIBL
(7,2),(7,8),-0.00970703 # DEPENDENCYPART_SIBL
(7,2),(7,9),0.00263232 # DEPENDENCYPART_SIBL
(7,2),(7,10),0.0128583 # DEPENDENCYPART_SIBL
(7,2),(7,11),-0.0358577 # DEPENDENCYPART_SIBL
(7,2),(7,12),0.0762713 # DEPENDENCYPART_SIBL
(7,2),(7,14),0.0128583 # DEPENDENCYPART_SIBL
(7,2),(7,15),-0.00975023 # DEPENDENCYPART_SIBL
(7,2),(7,16),0.00416536 # DEPENDENCYPART_SIBL
(7,2),(7,17),0.00263232 # DEPENDENCYPART_SIBL
(7,2),(7,20),0.0128583 # DEPENDENCYPART_SIBL
(7,2),(7,21),0.00515285 # DEPENDENCYPART_SIBL
(7,2),(7,22),-0.00223797 # DEPENDENCYPART_SIBL
(7,3),(7,4),-0.041614 # DEPENDENCYPART_SIBL
(7,3),(7,5),-0.00153955 # DEPENDENCYPART_SIBL
(7,3),(7,6),-0.0104265 # DEPENDENCYPART_SIBL
(7,3),(7,8),0.0477113 # DEPENDENCYPART_SIBL
(7,3),(7,9),-0.0341501 # DEPENDENCYPART_SIBL
(7,3),(7,10),-0.0137848 # DEPENDENCYPART_SIBL
(7,3),(7,11),0.0498033 # DEPENDENCYPART_SIBL
(7,3),(7,12),-0.056298 # DEPENDENCYPART_SIBL
(7,3),(7,14),-0.0137848 # DEPENDENCYPART_SIBL
(7,3),(7,15),-0.00899885 # DEPENDENCYPART_SIBL
(7,3),(7,16),0.031796 # DEPENDENCYPART_SIBL
(7,3),(7,17),-0.0341501 # DEPENDENCYPART_SIBL
(7,3),(7,20),-0.0138019 # DEPENDENCYPART_SIBL
(7,3),(7,21),0.031796 # DEPENDENCYPART_SIBL
(7,3),(7,22),0.0269478 # DEPENDENCYPART_SIBL
(7,4),(7,5),-0.174817 # DEPENDENCYPART_SIBL
(7,4),(7,6),-0.10265 # DEPENDENCYPART_SIBL
(7,4),(7,8),-0.00711271 # DEPENDENCYPART_SIBL
(7,4),(7,9),-0.0452098 # DEPENDENCYPART_SIBL
(7,4),(7,10),-0.00325865 # DEPENDENCYPART_SIBL
(7,4),(7,11),-0.0158404 # DEPENDENCYPART_SIBL
(7,4),(7,12),0.00834503 # DEPENDENCYPART_SIBL
(7,4),(7,14),-0.00325865 # DEPENDENCYPART_SIBL
(7,4),(7,15),-0.00641677 # DEPENDENCYPART_SIBL
(7,4),(7,16),-0.0159077 # DEPENDENCYPART_SIBL
(7,4),(7,17),-0.0452098 # DEPENDENCYPART_SIBL
(7,4),(7,20),-0.00325865 # DEPENDENCYPART_SIBL
(7,4),(7,21),-0.0159077 # DEPENDENCYPART_SIBL
(7,4),(7,22),-0.0204368 # DEPENDENCYPART_SIBL
(7,5),(7,6),0.000257915 # DEPENDENCYPART_SIBL
(7,5),(7,8),0.00431524 # DEPENDENCYPART_SIBL
(7,5),(7,9),-0.0221219 # DEPENDENCYPART_SIBL
(7,5),(7,10),-0.0201459 # DEPENDENCYPART_SIBL
(7,5),(7,11),0.00514712 # DEPENDENCYPART_SIBL
(7,5),(7,12),0.0186693 # DEPENDENCYPART_SIBL
(7,5),(7,14),-0.0201459 # DEPENDENCYPART_SIBL
(7,5),(7,15),-0.0586536 # DEPENDENCYPART_SIBL
(7,5),(7,16),-0.00577141 # DEPENDENCYPART_SIBL
(7,5),(7,17),-0.0221219 # DEPENDENCYPART_SIBL
(7,5),(7,20),-0.0201459 # DEPENDENCYPART_SIBL
(7,5),(7,21),-0.0057789 # DEPENDENCYPART_SIBL
(7,5),(7,22),-0.0136566 # DEPENDENCYPART_SIBL
(7,6),(7,8),-0.00970703 # DEPENDENCYPART_SIBL
(7,6),(7,9),0.00263232 # DEPENDENCYPART_SIBL
(7,6),(7,10),0.0128583 # DEPENDENCYPART_SIBL
(7,6),(7,11),-0.0358577 # DEPENDENCYPART_SIBL
(7,6),(7,12),0.0762713 # DEPENDENCYPART_SIBL
(7,6),(7,14),0.0128583 # DEPENDENCYPART_SIBL
(7,6),(7,15),-0.00975023 # DEPENDENCYPART_SIBL
(7,6),(7,16),0.00416536 # DEPENDENCYPART_SIBL
(7,6),(7,17),0.00263232 # DEPENDENCYPART_SIBL
(7,6),(7,20),0.0128583 # DEPENDENCYPART_SIBL
(7,6),(7,21),0.00515285 # DEPENDENCYPART_SIBL
(7,6),(7,22),-0.00223797 # DEPENDENCYPART_SIBL
(7,8),(7,9),-0.0426023 # DEPENDENCYPART_SIBL
(7,8),(7,10),-0.0928523 # DEPENDENCYPART_SIBL
(7,8),(7,11),-0.0838069 # DEPENDENCYPART_SIBL
(7,8),(7,12),-0.0730264 # DEPENDENCYPART_SIBL
(7,8),(7,14),-0.0928523 # DEPENDENCYPART_SIBL
(7,8),(7,15),-0.0495979 # DEPENDENCYPART_SIBL
(7,8),(7,16),-0.0341923 # DEPENDENCYPART_SIBL
(7,8),(7,17),-0.0426023 # DEPENDENCYPART_SIBL
(7,8),(7,20),-0.0928523 # DEPENDENCYPART_SIBL
(7,8),(7,21),-0.0341923 # DEPENDENCYPART_SIBL
(7,8),(7,22),-0.0340759 # DEPENDENCYPART_SIBL
(7,9),(7,10),0.00255823 # DEPENDENCYPART_SIBL
(7,9),(7,11),-0.0273455 # DEPENDENCYPART_SIBL
(7,9),(7,12),-0.00893568 # DEPENDENCYPART_SIBL
(7,9),(7,14),0.00255823 # DEPENDENCYPART_SIBL
(7,9),(7,15),0.0692222 # DEPENDENCYPART_SIBL
(7,9),(7,16),-0.0256127 # DEPENDENCYPART_SIBL
(7,9),(7,17),-0.0146909 # DEPENDENCYPART_SIBL
(7,9),(7,20),0.00255823 # DEPENDENCYPART_SIBL
(7,9),(7,21),-0.0261838 # DEPENDENCYPART_SIBL
(7,9),(7,22),-0.0253316 # DEPENDENCYPART_SIBL
(7,10),(7,11),-0.00796143 # DEPENDENCYPART_SIBL
(7,10),(7,12),-0.0230292 # DEPENDENCYPART_SIBL
(7,10),(7,14),-0.0147759 # DEPENDENCYPART_SIBL
(7,10),(7,15),0.023883 # DEPENDENCYPART_SIBL
(7,10),(7,16),-0.0153158 # DEPENDENCYPART_SIBL
(7,10),(7,17),-0.0177629 # DEPENDENCYPART_SIBL
(7,10),(7,20),-0.0155063 # DEPENDENCYPART_SIBL
(7,10),(7,21),-0.0153158 # DEPENDENCYPART_SIBL
(7,10),(7,22),-0.0191565 # DEPENDENCYPART_SIBL
(7,11),(7,12),0.0816093 # DEPENDENCYPART_SIBL
(7,11),(7,14),-0.00488667 # DEPENDENCYPART_SIBL
(7,11),(7,15),0.0508023 # DEPENDENCYPART_SIBL
(7,11),(7,16),-0.0100983 # DEPENDENCYPART_SIBL
(7,11),(7,17),0.0167442 # DEPENDENCYPART_SIBL
(7,11),(7,20),-0.00500671 # DEPENDENCYPART_SIBL
(7,11),(7,21),-0.0100983 # DEPENDENCYPART_SIBL
(7,11),(7,22),-0.0132656 # DEPENDENCYPART_SIBL
(7,12),(7,14),0.0300385 # DEPENDENCYPART_SIBL
(7,12),(7,15),0.0238894 # DEPENDENCYPART_SIBL
(7,12),(7,16),0.0245284 # DEPENDENCYPART_SIBL
(7,12),(7,17),0.00677418 # DEPENDENCYPART_SIBL
(7,12),(7,20),0.0299784 # DEPENDENCYPART_SIBL
(7,12),(7,21),0.0244383 # DEPENDENCYPART_SIBL
(7,12),(7,22),0.0162613 # DEPENDENCYPART_SIBL
(7,14),(7,15),0.023883 # DEPENDENCYPART_SIBL
(7,14),(7,16),-0.0153158 # DEPENDENCYPART_SIBL
(7,14),(7,17),-0.0177629 # DEPENDENCYPART_SIBL
(7,14),(7,20),-0.0155063 # DEPENDENCYPART_SIBL
(7,14),(7,21),-0.0153158 # DEPENDENCYPART_SIBL
(7,14),(7,22),-0.0191565 # DEPENDENCYPART_SIBL
(7,15),(7,16),0.0102597 # DEPENDENCYPART_SIBL
(7,15),(7,17),-0.00538658 # DEPENDENCYPART_SIBL
(7,15),(7,20),-0.0154687 # DEPENDENCYPART_SIBL
(7,15),(7,21),0.0102597 # DEPENDENCYPART_SIBL
(7,15),(7,22),0.00727189 # DEPENDENCYPART_SIBL
(7,16),(7,17),-0.0409922 # DEPENDENCYPART_SIBL
(7,16),(7,20),-0.045419 # DEPENDENCYPART_SIBL
(7,16),(7,21),-0.0220715 # DEPENDENCYPART_SIBL
(7,16),(7,22),-0.0259352 # DEPENDENCYPART_SIBL
(7,17),(7,20),0.00255823 # DEPENDENCYPART_SIBL
(7,17),(7,21),-0.0261838 # DEPENDENCYPART_SIBL
(7,17),(7,22),-0.0253316 # DEPENDENCYPART_SIBL
(7,20),(7,21),-0.015333 # DEPENDENCYPART_SIBL
(7,20),(7,22),-0.0191736 # DEPENDENCYPART_SIBL
(7,21),(7,22),-0.0189186 # DEPENDENCYPART_SIBL
(8,2),(8,3),-0.0308262 # DEPENDENCYPART_SIBL
(8,2),(8,6),-0.0208604 # DEPENDENCYPART_SIBL
(8,2),(8,7),-0.0208604 # DEPENDENCYPART_SIBL
(8,3),(8,6),-0.00159657 # DEPENDENCYPART_SIBL
(8,3),(8,7),-0.00159657 # DEPENDENCYPART_SIBL
(8,6),(8,7),-0.0208604 # DEPENDENCYPART_SIBL
(9,1),(9,2),0.000362169 # DEPENDENCYPART_SIBL
(9,1),(9,3),-0.00917546 # DEPENDENCYPART_SIBL
(9,1),(9,4),-0.0518421 # DEPENDENCYPART_SIBL
(9,1),(9,5),-0.00439628 # DEPENDENCYPART_SIBL
(9,1),(9,6),0.000362169 # DEPENDENCYPART_SIBL
(9,1),(9,7),-0.000561382 # DEPENDENCYPART_SIBL
(9,1),(9,8),-0.0518421 # DEPENDENCYPART_SIBL
(9,1),(9,10),0.0603005 # DEPENDENCYPART_SIBL
(9,1),(9,11),-0.144028 # DEPENDENCYPART_SIBL
(9,1),(9,12),-0.0418531 # DEPENDENCYPART_SIBL
(9,1),(9,14),0.0603005 # DEPENDENCYPART_SIBL
(9,1),(9,16),-0.0783019 # DEPENDENCYPART_SIBL
(9,1),(9,17),0.000114664 # DEPENDENCYPART_SIBL
(9,1),(9,19),-0.0783019 # DEPENDENCYPART_SIBL
(9,1),(9,20),0.0603005 # DEPENDENCYPART_SIBL
(9,1),(9,21),-0.0763344 # DEPENDENCYPART_SIBL
(9,1),(9,22),-0.0982068 # DEPENDENCYPART_SIBL
(9,2),(9,3),-0.0833809 # DEPENDENCYPART_SIBL
(9,2),(9,4),-0.124463 # DEPENDENCYPART_SIBL
(9,2),(9,5),-0.222361 # DEPENDENCYPART_SIBL
(9,2),(9,6),-0.0243826 # DEPENDENCYPART_SIBL
(9,2),(9,7),-0.0243826 # DEPENDENCYPART_SIBL
(9,2),(9,8),-0.124463 # DEPENDENCYPART_SIBL
(9,2),(9,10),-0.138392 # DEPENDENCYPART_SIBL
(9,2),(9,11),-0.0280543 # DEPENDENCYPART_SIBL
(9,2),(9,12),-0.00614295 # DEPENDENCYPART_SIBL
(9,2),(9,14),-0.138392 # DEPENDENCYPART_SIBL
(9,2),(9,16),0.0756479 # DEPENDENCYPART_SIBL
(9,2),(9,17),-0.00913131 # DEPENDENCYPART_SIBL
(9,2),(9,19),0.0756479 # DEPENDENCYPART_SIBL
(9,2),(9,20),-0.138392 # DEPENDENCYPART_SIBL
(9,2),(9,21),0.0805854 # DEPENDENCYPART_SIBL
(9,2),(9,22),0.0413746 # DEPENDENCYPART_SIBL
(9,3),(9,4),-0.0230141 # DEPENDENCYPART_SIBL
(9,3),(9,5),-0.0300491 # DEPENDENCYPART_SIBL
(9,3),(9,6),0.0120956 # DEPENDENCYPART_SIBL
(9,3),(9,7),0.0120956 # DEPENDENCYPART_SIBL
(9,3),(9,8),-0.0230141 # DEPENDENCYPART_SIBL
(9,3),(9,10),-0.0531352 # DEPENDENCYPART_SIBL
(9,3),(9,11),-0.0572373 # DEPENDENCYPART_SIBL
(9,3),(9,12),-0.0731955 # DEPENDENCYPART_SIBL
(9,3),(9,14),-0.0531352 # DEPENDENCYPART_SIBL
(9,3),(9,16),-0.0207854 # DEPENDENCYPART_SIBL
(9,3),(9,17),-0.0347894 # DEPENDENCYPART_SIBL
(9,3),(9,19),-0.0207854 # DEPENDENCYPART_SIBL
(9,3),(9,20),-0.0531523 # DEPENDENCYPART_SIBL
(9,3),(9,21),-0.0188104 # DEPENDENCYPART_SIBL
(9,3),(9,22),-0.0406471 # DEPENDENCYPART_SIBL
(9,4),(9,5),-0.108298 # DEPENDENCYPART_SIBL
(9,4),(9,6),-0.00626952 # DEPENDENCYPART_SIBL
(9,4),(9,7),-0.00626952 # DEPENDENCYPART_SIBL
(9,4),(9,8),-0.0402758 # DEPENDENCYPART_SIBL
(9,4),(9,10),-0.0723837 # DEPENDENCYPART_SIBL
(9,4),(9,11),-0.0939704 # DEPENDENCYPART_SIBL
(9,4),(9,12),-0.0569764 # DEPENDENCYPART_SIBL
(9,4),(9,14),-0.0723837 # DEPENDENCYPART_SIBL
(9,4),(9,16),-0.0827801 # DEPENDENCYPART_SIBL
(9,4),(9,17),-0.0649103 # DEPENDENCYPART_SIBL
(9,4),(9,19),-0.0827801 # DEPENDENCYPART_SIBL
(9,4),(9,20),-0.0723837 # DEPENDENCYPART_SIBL
(9,4),(9,21),-0.0808051 # DEPENDENCYPART_SIBL
(9,4),(9,22),-0.102052 # DEPENDENCYPART_SIBL
(9,5),(9,6),0.000362169 # DEPENDENCYPART_SIBL
(9,5),(9,7),-0.000561382 # DEPENDENCYPART_SIBL
(9,5),(9,8),-0.0518421 # DEPENDENCYPART_SIBL
(9,5),(9,10),0.0603005 # DEPENDENCYPART_SIBL
(9,5),(9,11),-0.144028 # DEPENDENCYPART_SIBL
(9,5),(9,12),-0.0418531 # DEPENDENCYPART_SIBL
(9,5),(9,14),0.0603005 # DEPENDENCYPART_SIBL
(9,5),(9,16),-0.0783019 # DEPENDENCYPART_SIBL
(9,5),(9,17),0.000114664 # DEPENDENCYPART_SIBL
(9,5),(9,19),-0.0783019 # DEPENDENCYPART_SIBL
(9,5),(9,20),0.0603005 # DEPENDENCYPART_SIBL
(9,5),(9,21),-0.0763344 # DEPENDENCYPART_SIBL
(9,5),(9,22),-0.0982068 # DEPENDENCYPART_SIBL
(9,6),(9,7),-0.0243826 # DEPENDENCYPART_SIBL
(9,6),(9,8),-0.124463 # DEPENDENCYPART_SIBL
(9,6),(9,10),-0.138392 # DEPENDENCYPART_SIBL
(9,6),(9,11),-0.0280543 # DEPENDENCYPART_SIBL
(9,6),(9,12),-0.00614295 # DEPENDENCYPART_SIBL
(9,6),(9,14),-0.138392 # DEPENDENCYPART_SIBL
(9,6),(9,16),0.0756479 # DEPENDENCYPART_SIBL
(9,6),(9,17),-0.00913131 # DEPENDENCYPART_SIBL
(9,6),(9,19),0.0756479 # DEPENDENCYPART_SIBL
(9,6),(9,20),-0.138392 # DEPENDENCYPART_SIBL
(9,6),(9,21),0.0805854 # DEPENDENCYPART_SIBL
(9,6),(9,22),0.0413746 # DEPENDENCYPART_SIBL
(9,7),(9,8),-0.124463 # DEPENDENCYPART_SIBL
(9,7),(9,10),-0.138902 # DEPENDENCYPART_SIBL
(9,7),(9,11),-0.0280543 # DEPENDENCYPART_SIBL
(9,7),(9,12),-0.00614295 # DEPENDENCYPART_SIBL
(9,7),(9,14),-0.138902 # DEPENDENCYPART_SIBL
(9,7),(9,16),0.0756479 # DEPENDENCYPART_SIBL
(9,7),(9,17),-0.00913131 # DEPENDENCYPART_SIBL
(9,7),(9,19),0.0756479 # DEPENDENCYPART_SIBL
(9,7),(9,20),-0.138902 # DEPENDENCYPART_SIBL
(9,7),(9,21),0.0805854 # DEPENDENCYPART_SIBL
(9,7),(9,22),0.0413746 # DEPENDENCYPART_SIBL
(9,8),(9,10),-0.0723837 # DEPENDENCYPART_SIBL
(9,8),(9,11),-0.0939704 # DEPENDENCYPART_SIBL
(9,8),(9,12),-0.0569764 # DEPENDENCYPART_SIBL
(9,8),(9,14),-0.0723837 # DEPENDENCYPART_SIBL
(9,8),(9,16),-0.0827801 # DEPENDENCYPART_SIBL
(9,8),(9,17),-0.0649103 # DEPENDENCYPART_SIBL
(9,8),(9,19),-0.0827801 # DEPENDENCYPART_SIBL
(9,8),(9,20),-0.0723837 # DEPENDENCYPART_SIBL
(9,8),(9,21),-0.0808051 # DEPENDENCYPART_SIBL
(9,8),(9,22),-0.102052 # DEPENDENCYPART_SIBL
(9,10),(9,11),0.108463 # DEPENDENCYPART_SIBL
(9,10),(9,12),-0.0542852 # DEPENDENCYPART_SIBL
(9,10),(9,14),-0.217701 # DEPENDENCYPART_SIBL
(9,10),(9,16),-0.146655 # DEPENDENCYPART_SIBL
(9,10),(9,17),-0.0323024 # DEPENDENCYPART_SIBL
(9,10),(9,19),-0.146655 # DEPENDENCYPART_SIBL
(9,10),(9,20),-0.218431 # DEPENDENCYPART_SIBL
(9,10),(9,21),-0.146655 # DEPENDENCYPART_SIBL
(9,10),(9,22),-0.148446 # DEPENDENCYPART_SIBL
(9,11),(9,12),-0.0287134 # DEPENDENCYPART_SIBL
(9,11),(9,14),-0.0992274 # DEPENDENCYPART_SIBL
(9,11),(9,16),-0.133185 # DEPENDENCYPART_SIBL
(9,11),(9,17),-0.0304468 # DEPENDENCYPART_SIBL
(9,11),(9,19),-0.133185 # DEPENDENCYPART_SIBL
(9,11),(9,20),-0.0993474 # DEPENDENCYPART_SIBL
(9,11),(9,21),-0.133185 # DEPENDENCYPART_SIBL
(9,11),(9,22),-0.134638 # DEPENDENCYPART_SIBL
(9,12),(9,14),-0.0599116 # DEPENDENCYPART_SIBL
(9,12),(9,16),-0.0387782 # DEPENDENCYPART_SIBL
(9,12),(9,17),-0.00276751 # DEPENDENCYPART_SIBL
(9,12),(9,19),-0.0387782 # DEPENDENCYPART_SIBL
(9,12),(9,20),-0.0599717 # DEPENDENCYPART_SIBL
(9,12),(9,21),-0.0388682 # DEPENDENCYPART_SIBL
