# _root_ jeltzaleen jarrerari_buruz mintzatu zen eta , adierazi zuenez , " konturatu behar_dute haien apustuak kale_egin duela eta estatutuaren bidera itzuli beharko dute " .
#goldHeads=2,3,5,3,0,5,17,7,8,9,17,11,14,15,11,15,0,19,20,17,20,21,22,23,
#predictedHeads=2,3,5,3,0,5,5,7,8,9,12,17,14,15,17,15,0,19,20,21,17,21,22,23,
(3,2),(3,6),0.0109231 # DEPENDENCYPART_SIBL
(3,2),(3,7),-0.0172735 # DEPENDENCYPART_SIBL
(3,2),(3,8),0.0425122 # DEPENDENCYPART_SIBL
(3,2),(3,9),0.0109231 # DEPENDENCYPART_SIBL
(3,2),(3,12),-0.0152983 # DEPENDENCYPART_SIBL
(3,2),(3,16),0.0242443 # DEPENDENCYPART_SIBL
(3,2),(3,17),-0.0158488 # DEPENDENCYPART_SIBL
(3,2),(3,20),-0.00116763 # DEPENDENCYPART_SIBL
(3,4),(3,5),-0.0549572 # DEPENDENCYPART_SIBL
(3,4),(3,6),-0.0379772 # DEPENDENCYPART_SIBL
(3,4),(3,7),0.0308255 # DEPENDENCYPART_SIBL
(3,4),(3,8),-0.150981 # DEPENDENCYPART_SIBL
(3,4),(3,9),-0.0379772 # DEPENDENCYPART_SIBL
(3,4),(3,12),0.0424448 # DEPENDENCYPART_SIBL
(3,4),(3,16),-0.162349 # DEPENDENCYPART_SIBL
(3,4),(3,17),-0.0549572 # DEPENDENCYPART_SIBL
(3,4),(3,20),0.0426368 # DEPENDENCYPART_SIBL
(3,5),(3,6),-0.0146065 # DEPENDENCYPART_SIBL
(3,5),(3,7),-0.0192985 # DEPENDENCYPART_SIBL
(3,5),(3,8),-0.0124884 # DEPENDENCYPART_SIBL
(3,5),(3,9),-0.0146065 # DEPENDENCYPART_SIBL
(3,5),(3,12),-0.0244995 # DEPENDENCYPART_SIBL
(3,5),(3,16),-0.0104212 # DEPENDENCYPART_SIBL
(3,5),(3,17),-0.0146909 # DEPENDENCYPART_SIBL
(3,5),(3,20),-0.0272774 # DEPENDENCYPART_SIBL
(3,6),(3,7),-0.0190875 # DEPENDENCYPART_SIBL
(3,6),(3,8),-0.0848033 # DEPENDENCYPART_SIBL
(3,6),(3,9),-0.276255 # DEPENDENCYPART_SIBL
(3,6),(3,12),-0.0416745 # DEPENDENCYPART_SIBL
(3,6),(3,16),-0.0691617 # DEPENDENCYPART_SIBL
(3,6),(3,17),-0.0468171 # DEPENDENCYPART_SIBL
(3,6),(3,20),-0.0388707 # DEPENDENCYPART_SIBL
(3,7),(3,8),0.013487 # DEPENDENCYPART_SIBL
(3,7),(3,9),-0.0569289 # DEPENDENCYPART_SIBL
(3,7),(3,12),-0.027668 # DEPENDENCYPART_SIBL
(3,7),(3,16),0.0425028 # DEPENDENCYPART_SIBL
(3,7),(3,17),-0.0524407 # DEPENDENCYPART_SIBL
(3,7),(3,20),-0.0276376 # DEPENDENCYPART_SIBL
(3,8),(3,9),-0.0547712 # DEPENDENCYPART_SIBL
(3,8),(3,12),-0.0233699 # DEPENDENCYPART_SIBL
(3,8),(3,16),-0.180592 # DEPENDENCYPART_SIBL
(3,8),(3,17),-0.0304745 # DEPENDENCYPART_SIBL
(3,8),(3,20),-0.0231779 # DEPENDENCYPART_SIBL
(3,9),(3,12),-0.0416745 # DEPENDENCYPART_SIBL
(3,9),(3,16),-0.0691617 # DEPENDENCYPART_SIBL
(3,9),(3,17),-0.0468171 # DEPENDENCYPART_SIBL
(3,9),(3,20),-0.0388707 # DEPENDENCYPART_SIBL
(3,12),(3,16),0.0477556 # DEPENDENCYPART_SIBL
(3,12),(3,17),-0.0474899 # DEPENDENCYPART_SIBL
(3,12),(3,20),-0.0250693 # DEPENDENCYPART_SIBL
(3,16),(3,17),-0.0104878 # DEPENDENCYPART_SIBL
(3,16),(3,20),-0.00882593 # DEPENDENCYPART_SIBL
(3,17),(3,20),-0.0272774 # DEPENDENCYPART_SIBL
(4,1),(4,2),0.061971 # DEPENDENCYPART_SIBL
(4,1),(4,5),0.056957 # DEPENDENCYPART_SIBL
(4,1),(4,8),0.0705082 # DEPENDENCYPART_SIBL
(4,2),(4,5),0.0569778 # DEPENDENCYPART_SIBL
(4,2),(4,8),0.070491 # DEPENDENCYPART_SIBL
(4,5),(4,8),-0.00930317 # DEPENDENCYPART_SIBL
(5,1),(5,2),-0.0060004 # DEPENDENCYPART_SIBL
(5,1),(5,3),-0.00108282 # DEPENDENCYPART_SIBL
(5,1),(5,4),-0.0266353 # DEPENDENCYPART_SIBL
(5,1),(5,6),-0.0795072 # DEPENDENCYPART_SIBL
(5,1),(5,7),-0.101208 # DEPENDENCYPART_SIBL
(5,1),(5,8),-0.0327255 # DEPENDENCYPART_SIBL
(5,1),(5,9),-0.0795072 # DEPENDENCYPART_SIBL
(5,1),(5,11),-0.0789619 # DEPENDENCYPART_SIBL
(5,1),(5,12),-0.0835131 # DEPENDENCYPART_SIBL
(5,1),(5,14),0.0586504 # DEPENDENCYPART_SIBL
(5,1),(5,15),-0.0789619 # DEPENDENCYPART_SIBL
(5,1),(5,17),-0.000566148 # DEPENDENCYPART_SIBL
(5,1),(5,19),0.0586504 # DEPENDENCYPART_SIBL
(5,1),(5,20),-0.0780937 # DEPENDENCYPART_SIBL
(5,1),(5,21),-0.0640677 # DEPENDENCYPART_SIBL
(5,2),(5,3),-0.00120502 # DEPENDENCYPART_SIBL
(5,2),(5,4),-0.0289937 # DEPENDENCYPART_SIBL
(5,2),(5,6),-0.0843584 # DEPENDENCYPART_SIBL
(5,2),(5,7),-0.104722 # DEPENDENCYPART_SIBL
(5,2),(5,8),-0.0362287 # DEPENDENCYPART_SIBL
(5,2),(5,9),-0.0843584 # DEPENDENCYPART_SIBL
(5,2),(5,11),-0.0824759 # DEPENDENCYPART_SIBL
(5,2),(5,12),-0.0870271 # DEPENDENCYPART_SIBL
(5,2),(5,14),0.0501003 # DEPENDENCYPART_SIBL
(5,2),(5,15),-0.0824759 # DEPENDENCYPART_SIBL
(5,2),(5,17),-0.00403139 # DEPENDENCYPART_SIBL
(5,2),(5,19),0.0501003 # DEPENDENCYPART_SIBL
(5,2),(5,20),-0.0816077 # DEPENDENCYPART_SIBL
(5,2),(5,21),-0.0675817 # DEPENDENCYPART_SIBL
(5,3),(5,4),-0.100302 # DEPENDENCYPART_SIBL
(5,3),(5,6),-0.00654139 # DEPENDENCYPART_SIBL
(5,3),(5,7),0.0647326 # DEPENDENCYPART_SIBL
(5,3),(5,8),-0.0231433 # DEPENDENCYPART_SIBL
(5,3),(5,9),-0.00654139 # DEPENDENCYPART_SIBL
(5,3),(5,11),0.0746054 # DEPENDENCYPART_SIBL
(5,3),(5,12),0.0741809 # DEPENDENCYPART_SIBL
(5,3),(5,14),-0.135976 # DEPENDENCYPART_SIBL
(5,3),(5,15),0.0746054 # DEPENDENCYPART_SIBL
(5,3),(5,17),-0.00913131 # DEPENDENCYPART_SIBL
(5,3),(5,19),-0.135976 # DEPENDENCYPART_SIBL
(5,3),(5,20),0.0787235 # DEPENDENCYPART_SIBL
(5,3),(5,21),0.154824 # DEPENDENCYPART_SIBL
(5,4),(5,6),-0.0689553 # DEPENDENCYPART_SIBL
(5,4),(5,7),-0.0888632 # DEPENDENCYPART_SIBL
(5,4),(5,8),-0.0980924 # DEPENDENCYPART_SIBL
(5,4),(5,9),-0.0689553 # DEPENDENCYPART_SIBL
(5,4),(5,11),-0.0786368 # DEPENDENCYPART_SIBL
(5,4),(5,12),-0.0786369 # DEPENDENCYPART_SIBL
(5,4),(5,14),-0.08197 # DEPENDENCYPART_SIBL
(5,4),(5,15),-0.0786368 # DEPENDENCYPART_SIBL
(5,4),(5,17),-0.0661488 # DEPENDENCYPART_SIBL
(5,4),(5,19),-0.08197 # DEPENDENCYPART_SIBL
(5,4),(5,20),-0.0773698 # DEPENDENCYPART_SIBL
(5,4),(5,21),-0.0414264 # DEPENDENCYPART_SIBL
(5,6),(5,7),0.0271188 # DEPENDENCYPART_SIBL
(5,6),(5,8),-0.00557184 # DEPENDENCYPART_SIBL
(5,6),(5,9),-0.234319 # DEPENDENCYPART_SIBL
(5,6),(5,11),-0.0124629 # DEPENDENCYPART_SIBL
(5,6),(5,12),-0.0152028 # DEPENDENCYPART_SIBL
(5,6),(5,14),-0.0273345 # DEPENDENCYPART_SIBL
(5,6),(5,15),-0.0124629 # DEPENDENCYPART_SIBL
(5,6),(5,17),0.0168617 # DEPENDENCYPART_SIBL
(5,6),(5,19),-0.0273345 # DEPENDENCYPART_SIBL
(5,6),(5,20),-0.0124644 # DEPENDENCYPART_SIBL
(5,6),(5,21),-0.0265404 # DEPENDENCYPART_SIBL
(5,7),(5,8),0.0162807 # DEPENDENCYPART_SIBL
(5,7),(5,9),-0.0588019 # DEPENDENCYPART_SIBL
(5,7),(5,11),-0.0971691 # DEPENDENCYPART_SIBL
(5,7),(5,12),-0.0971911 # DEPENDENCYPART_SIBL
(5,7),(5,14),-0.0999563 # DEPENDENCYPART_SIBL
(5,7),(5,15),-0.0971691 # DEPENDENCYPART_SIBL
(5,7),(5,17),-0.00766143 # DEPENDENCYPART_SIBL
(5,7),(5,19),-0.0999563 # DEPENDENCYPART_SIBL
(5,7),(5,20),-0.0972261 # DEPENDENCYPART_SIBL
(5,7),(5,21),-0.102365 # DEPENDENCYPART_SIBL
(5,8),(5,9),-0.0570908 # DEPENDENCYPART_SIBL
(5,8),(5,11),-0.0494469 # DEPENDENCYPART_SIBL
(5,8),(5,12),-0.0497103 # DEPENDENCYPART_SIBL
(5,8),(5,14),-0.0738065 # DEPENDENCYPART_SIBL
(5,8),(5,15),-0.0494469 # DEPENDENCYPART_SIBL
(5,8),(5,17),-0.0087947 # DEPENDENCYPART_SIBL
(5,8),(5,19),-0.0738065 # DEPENDENCYPART_SIBL
(5,8),(5,20),-0.0496494 # DEPENDENCYPART_SIBL
(5,8),(5,21),-0.0552146 # DEPENDENCYPART_SIBL
(5,9),(5,11),-0.0124629 # DEPENDENCYPART_SIBL
(5,9),(5,12),-0.0152028 # DEPENDENCYPART_SIBL
(5,9),(5,14),-0.0273345 # DEPENDENCYPART_SIBL
(5,9),(5,15),-0.0124629 # DEPENDENCYPART_SIBL
(5,9),(5,17),0.0168617 # DEPENDENCYPART_SIBL
(5,9),(5,19),-0.0273345 # DEPENDENCYPART_SIBL
(5,9),(5,20),-0.0124644 # DEPENDENCYPART_SIBL
(5,9),(5,21),-0.0265404 # DEPENDENCYPART_SIBL
(5,11),(5,12),-0.117158 # DEPENDENCYPART_SIBL
(5,11),(5,14),-0.102556 # DEPENDENCYPART_SIBL
(5,11),(5,15),-0.117136 # DEPENDENCYPART_SIBL
(5,11),(5,17),-0.0125337 # DEPENDENCYPART_SIBL
(5,11),(5,19),-0.102556 # DEPENDENCYPART_SIBL
(5,11),(5,20),-0.117193 # DEPENDENCYPART_SIBL
(5,11),(5,21),-0.122331 # DEPENDENCYPART_SIBL
(5,12),(5,14),-0.10256 # DEPENDENCYPART_SIBL
(5,12),(5,15),-0.119584 # DEPENDENCYPART_SIBL
(5,12),(5,17),-0.0190016 # DEPENDENCYPART_SIBL
(5,12),(5,19),-0.10256 # DEPENDENCYPART_SIBL
(5,12),(5,20),-0.119641 # DEPENDENCYPART_SIBL
(5,12),(5,21),-0.124779 # DEPENDENCYPART_SIBL
(5,14),(5,15),-0.146655 # DEPENDENCYPART_SIBL
(5,14),(5,17),-0.0323024 # DEPENDENCYPART_SIBL
(5,14),(5,19),-0.217701 # DEPENDENCYPART_SIBL
(5,14),(5,20),-0.147625 # DEPENDENCYPART_SIBL
(5,14),(5,21),-0.150617 # DEPENDENCYPART_SIBL
(5,15),(5,17),-0.0125337 # DEPENDENCYPART_SIBL
(5,15),(5,19),-0.102556 # DEPENDENCYPART_SIBL
(5,15),(5,20),-0.117193 # DEPENDENCYPART_SIBL
(5,15),(5,21),-0.122331 # DEPENDENCYPART_SIBL
(5,17),(5,19),-0.0640873 # DEPENDENCYPART_SIBL
(5,17),(5,20),-0.0944137 # DEPENDENCYPART_SIBL
(5,17),(5,21),-0.102667 # DEPENDENCYPART_SIBL
(5,19),(5,20),-0.147625 # DEPENDENCYPART_SIBL
(5,19),(5,21),-0.150617 # DEPENDENCYPART_SIBL
(5,20),(5,21),-0.12251 # DEPENDENCYPART_SIBL
(6,3),(6,4),-0.0360453 # DEPENDENCYPART_SIBL
(7,1),(7,2),-0.059143 # DEPENDENCYPART_SIBL
(7,1),(7,3),-0.0205651 # DEPENDENCYPART_SIBL
(7,1),(7,4),0.00063073 # DEPENDENCYPART_SIBL
(7,1),(7,5),-0.0157586 # DEPENDENCYPART_SIBL
(7,1),(7,6),-0.0794315 # DEPENDENCYPART_SIBL
(7,1),(7,8),-0.0177784 # DEPENDENCYPART_SIBL
(7,1),(7,9),-0.0254512 # DEPENDENCYPART_SIBL
(7,1),(7,11),-0.0296174 # DEPENDENCYPART_SIBL
(7,1),(7,12),-0.0448336 # DEPENDENCYPART_SIBL
(7,1),(7,15),-0.0296174 # DEPENDENCYPART_SIBL
(7,1),(7,16),-0.0351103 # DEPENDENCYPART_SIBL
(7,1),(7,17),-0.023251 # DEPENDENCYPART_SIBL
(7,1),(7,19),-0.0641421 # DEPENDENCYPART_SIBL
(7,1),(7,20),-0.0307029 # DEPENDENCYPART_SIBL
(7,2),(7,3),-0.0116537 # DEPENDENCYPART_SIBL
(7,2),(7,4),0.00506969 # DEPENDENCYPART_SIBL
(7,2),(7,5),-0.00246408 # DEPENDENCYPART_SIBL
(7,2),(7,6),-0.0749926 # DEPENDENCYPART_SIBL
(7,2),(7,8),-0.0156096 # DEPENDENCYPART_SIBL
(7,2),(7,9),-0.0246134 # DEPENDENCYPART_SIBL
(7,2),(7,11),-0.0274424 # DEPENDENCYPART_SIBL
(7,2),(7,12),-0.0426585 # DEPENDENCYPART_SIBL
(7,2),(7,15),-0.0274424 # DEPENDENCYPART_SIBL
(7,2),(7,16),-0.0329415 # DEPENDENCYPART_SIBL
(7,2),(7,17),-0.0210272 # DEPENDENCYPART_SIBL
(7,2),(7,19),-0.0636618 # DEPENDENCYPART_SIBL
(7,2),(7,20),-0.0285278 # DEPENDENCYPART_SIBL
(7,3),(7,4),-0.0236354 # DEPENDENCYPART_SIBL
(7,3),(7,5),-0.0183381 # DEPENDENCYPART_SIBL
(7,3),(7,6),-0.0887069 # DEPENDENCYPART_SIBL
(7,3),(7,8),-0.00402747 # DEPENDENCYPART_SIBL
(7,3),(7,9),-0.0209676 # DEPENDENCYPART_SIBL
(7,3),(7,11),-3.42951e-08 # DEPENDENCYPART_SIBL
(7,3),(7,12),-0.00694575 # DEPENDENCYPART_SIBL
(7,3),(7,15),-3.42951e-08 # DEPENDENCYPART_SIBL
(7,3),(7,16),-0.0126657 # DEPENDENCYPART_SIBL
(7,3),(7,17),0.00364767 # DEPENDENCYPART_SIBL
(7,3),(7,19),0.0096696 # DEPENDENCYPART_SIBL
(7,3),(7,20),0.000501894 # DEPENDENCYPART_SIBL
(7,4),(7,5),0.0302216 # DEPENDENCYPART_SIBL
(7,4),(7,6),-0.0245917 # DEPENDENCYPART_SIBL
(7,4),(7,8),-0.0854628 # DEPENDENCYPART_SIBL
(7,4),(7,9),0.0441401 # DEPENDENCYPART_SIBL
(7,4),(7,11),0.00962282 # DEPENDENCYPART_SIBL
(7,4),(7,12),0.00338086 # DEPENDENCYPART_SIBL
(7,4),(7,15),0.00962282 # DEPENDENCYPART_SIBL
(7,4),(7,16),-0.107102 # DEPENDENCYPART_SIBL
(7,4),(7,17),-0.0433973 # DEPENDENCYPART_SIBL
(7,4),(7,19),-0.0336635 # DEPENDENCYPART_SIBL
(7,4),(7,20),0.00923178 # DEPENDENCYPART_SIBL
(7,5),(7,6),-0.103592 # DEPENDENCYPART_SIBL
(7,5),(7,8),-0.0484177 # DEPENDENCYPART_SIBL
(7,5),(7,9),-0.0379531 # DEPENDENCYPART_SIBL
(7,5),(7,11),-0.0450811 # DEPENDENCYPART_SIBL
(7,5),(7,12),-0.051323 # DEPENDENCYPART_SIBL
(7,5),(7,15),-0.0450811 # DEPENDENCYPART_SIBL
(7,5),(7,16),-0.0913074 # DEPENDENCYPART_SIBL
(7,5),(7,17),-0.0268226 # DEPENDENCYPART_SIBL
(7,5),(7,19),-0.054376 # DEPENDENCYPART_SIBL
(7,5),(7,20),-0.0454692 # DEPENDENCYPART_SIBL
(7,6),(7,8),0.0321879 # DEPENDENCYPART_SIBL
(7,6),(7,9),0.0246169 # DEPENDENCYPART_SIBL
(7,6),(7,11),0.0313453 # DEPENDENCYPART_SIBL
(7,6),(7,12),0.0251035 # DEPENDENCYPART_SIBL
(7,6),(7,15),0.0313453 # DEPENDENCYPART_SIBL
(7,6),(7,16),0.0146474 # DEPENDENCYPART_SIBL
(7,6),(7,17),0.00161286 # DEPENDENCYPART_SIBL
(7,6),(7,19),0.0257969 # DEPENDENCYPART_SIBL
(7,6),(7,20),0.0309572 # DEPENDENCYPART_SIBL
(7,8),(7,9),-0.082417 # DEPENDENCYPART_SIBL
(7,8),(7,11),-0.0513278 # DEPENDENCYPART_SIBL
(7,8),(7,12),-0.0521182 # DEPENDENCYPART_SIBL
(7,8),(7,15),-0.0513278 # DEPENDENCYPART_SIBL
(7,8),(7,16),-0.208876 # DEPENDENCYPART_SIBL
(7,8),(7,17),-0.0230429 # DEPENDENCYPART_SIBL
(7,8),(7,19),-0.0816314 # DEPENDENCYPART_SIBL
(7,8),(7,20),-0.0519262 # DEPENDENCYPART_SIBL
(7,9),(7,11),-0.0407021 # DEPENDENCYPART_SIBL
(7,9),(7,12),-0.0437054 # DEPENDENCYPART_SIBL
(7,9),(7,15),-0.0407021 # DEPENDENCYPART_SIBL
(7,9),(7,16),-0.0721842 # DEPENDENCYPART_SIBL
(7,9),(7,17),-0.0298997 # DEPENDENCYPART_SIBL
(7,9),(7,19),-0.122629 # DEPENDENCYPART_SIBL
(7,9),(7,20),-0.0409016 # DEPENDENCYPART_SIBL
(7,11),(7,12),-0.0233521 # DEPENDENCYPART_SIBL
(7,11),(7,15),-0.0230667 # DEPENDENCYPART_SIBL
(7,11),(7,16),0.0470284 # DEPENDENCYPART_SIBL
(7,11),(7,17),-0.021713 # DEPENDENCYPART_SIBL
(7,11),(7,19),-0.0691915 # DEPENDENCYPART_SIBL
(7,11),(7,20),-0.0233216 # DEPENDENCYPART_SIBL
(7,12),(7,15),-0.0255454 # DEPENDENCYPART_SIBL
(7,12),(7,16),0.0468447 # DEPENDENCYPART_SIBL
(7,12),(7,17),-0.0282106 # DEPENDENCYPART_SIBL
(7,12),(7,19),-0.0692254 # DEPENDENCYPART_SIBL
(7,12),(7,20),-0.0258003 # DEPENDENCYPART_SIBL
(7,15),(7,16),0.0470284 # DEPENDENCYPART_SIBL
(7,15),(7,17),-0.021713 # DEPENDENCYPART_SIBL
(7,15),(7,19),-0.0691915 # DEPENDENCYPART_SIBL
(7,15),(7,20),-0.0233216 # DEPENDENCYPART_SIBL
(7,16),(7,17),-0.00298344 # DEPENDENCYPART_SIBL
(7,16),(7,19),-0.0535064 # DEPENDENCYPART_SIBL
(7,16),(7,20),-0.0364113 # DEPENDENCYPART_SIBL
(7,17),(7,19),-0.0218236 # DEPENDENCYPART_SIBL
(7,17),(7,20),-0.0294674 # DEPENDENCYPART_SIBL
(7,19),(7,20),-0.0239196 # DEPENDENCYPART_SIBL
(8,2),(8,9),0.0219784 # DEPENDENCYPART_SIBL
(9,4),(9,5),0.0150039 # DEPENDENCYPART_SIBL
(9,4),(9,8),-0.0163831 # DEPENDENCYPART_SIBL
(9,4),(9,10),-0.0507238 # DEPENDENCYPART_SIBL
(9,4),(9,12),0.099084 # DEPENDENCYPART_SIBL
(9,4),(9,21),0.107416 # DEPENDENCYPART_SIBL
(9,5),(9,8),-0.0117069 # DEPENDENCYPART_SIBL
(9,5),(9,10),0.0348323 # DEPENDENCYPART_SIBL
(9,5),(9,12),0.225403 # DEPENDENCYPART_SIBL
(9,5),(9,21),0.230286 # DEPENDENCYPART_SIBL
(9,8),(9,10),-0.0559474 # DEPENDENCYPART_SIBL
(9,8),(9,12),0.117945 # DEPENDENCYPART_SIBL
(9,8),(9,21),0.126946 # DEPENDENCYPART_SIBL
(9,10),(9,12),0.0420995 # DEPENDENCYPART_SIBL
(9,10),(9,21),0.0331734 # DEPENDENCYPART_SIBL
(9,12),(9,21),-0.000955187 # DEPENDENCYPART_SIBL
(11,1),(11,2),-0.0277737 # DEPENDENCYPART_SIBL
(11,1),(11,3),-0.00127013 # DEPENDENCYPART_SIBL
(11,1),(11,4),0.0160862 # DEPENDENCYPART_SIBL
(11,1),(11,5),0.010074 # DEPENDENCYPART_SIBL
(11,1),(11,6),-0.0721988 # DEPENDENCYPART_SIBL
(11,1),(11,7),-0.00218966 # DEPENDENCYPART_SIBL
(11,1),(11,8),0.00379372 # DEPENDENCYPART_SIBL
(11,1),(11,9),-0.0721988 # DEPENDENCYPART_SIBL
(11,1),(11,12),-0.0211588 # DEPENDENCYPART_SIBL
(11,1),(11,13),-0.04233 # DEPENDENCYPART_SIBL
(11,1),(11,14),-0.0206202 # DEPENDENCYPART_SIBL
(11,1),(11,15),-0.00594266 # DEPENDENCYPART_SIBL
(11,1),(11,16),0.00731205 # DEPENDENCYPART_SIBL
(11,1),(11,17),-0.0223139 # DEPENDENCYPART_SIBL
(11,1),(11,18),-0.0189849 # DEPENDENCYPART_SIBL
(11,1),(11,19),-0.0206202 # DEPENDENCYPART_SIBL
(11,1),(11,20),-0.00702811 # DEPENDENCYPART_SIBL
(11,1),(11,21),-0.0690424 # DEPENDENCYPART_SIBL
(11,1),(11,22),-0.0218325 # DEPENDENCYPART_SIBL
(11,2),(11,3),0.00764124 # DEPENDENCYPART_SIBL
(11,2),(11,4),0.0205252 # DEPENDENCYPART_SIBL
(11,2),(11,5),0.0233685 # DEPENDENCYPART_SIBL
(11,2),(11,6),-0.0677598 # DEPENDENCYPART_SIBL
(11,2),(11,7),0.00672171 # DEPENDENCYPART_SIBL
(11,2),(11,8),0.00823268 # DEPENDENCYPART_SIBL
(11,2),(11,9),-0.0677598 # DEPENDENCYPART_SIBL
(11,2),(11,12),-0.0189837 # DEPENDENCYPART_SIBL
(11,2),(11,13),-0.0401269 # DEPENDENCYPART_SIBL
(11,2),(11,14),-0.0201399 # DEPENDENCYPART_SIBL
(11,2),(11,15),-0.00376759 # DEPENDENCYPART_SIBL
(11,2),(11,16),0.0094808 # DEPENDENCYPART_SIBL
(11,2),(11,17),-0.0200901 # DEPENDENCYPART_SIBL
(11,2),(11,18),-0.0185046 # DEPENDENCYPART_SIBL
(11,2),(11,19),-0.0201399 # DEPENDENCYPART_SIBL
(11,2),(11,20),-0.00485304 # DEPENDENCYPART_SIBL
(11,2),(11,21),-0.0668673 # DEPENDENCYPART_SIBL
(11,2),(11,22),-0.0196637 # DEPENDENCYPART_SIBL
(11,3),(11,4),-0.0109418 # DEPENDENCYPART_SIBL
(11,3),(11,5),0.0033941 # DEPENDENCYPART_SIBL
(11,3),(11,6),-0.0823294 # DEPENDENCYPART_SIBL
(11,3),(11,7),-0.0248891 # DEPENDENCYPART_SIBL
(11,3),(11,8),-0.016897 # DEPENDENCYPART_SIBL
(11,3),(11,9),-0.0823294 # DEPENDENCYPART_SIBL
(11,3),(11,12),0.00208213 # DEPENDENCYPART_SIBL
(11,3),(11,13),-0.0143602 # DEPENDENCYPART_SIBL
(11,3),(11,14),0.0240863 # DEPENDENCYPART_SIBL
(11,3),(11,15),0.00902784 # DEPENDENCYPART_SIBL
(11,3),(11,16),0.0288293 # DEPENDENCYPART_SIBL
(11,3),(11,17),0.00895005 # DEPENDENCYPART_SIBL
(11,3),(11,18),0.0240863 # DEPENDENCYPART_SIBL
(11,3),(11,19),0.0240863 # DEPENDENCYPART_SIBL
(11,3),(11,20),0.00952977 # DEPENDENCYPART_SIBL
(11,3),(11,21),-0.00659941 # DEPENDENCYPART_SIBL
(11,3),(11,22),0.10805 # DEPENDENCYPART_SIBL
(11,4),(11,5),0.0434626 # DEPENDENCYPART_SIBL
(11,4),(11,6),-0.0238321 # DEPENDENCYPART_SIBL
(11,4),(11,7),0.00903662 # DEPENDENCYPART_SIBL
(11,4),(11,8),0.00578879 # DEPENDENCYPART_SIBL
(11,4),(11,9),-0.0238321 # DEPENDENCYPART_SIBL
(11,4),(11,12),0.00881196 # DEPENDENCYPART_SIBL
(11,4),(11,13),-0.0285356 # DEPENDENCYPART_SIBL
(11,4),(11,14),-0.0141336 # DEPENDENCYPART_SIBL
(11,4),(11,15),0.0150539 # DEPENDENCYPART_SIBL
(11,4),(11,16),-0.0890546 # DEPENDENCYPART_SIBL
(11,4),(11,17),-0.0480974 # DEPENDENCYPART_SIBL
(11,4),(11,18),-0.0141336 # DEPENDENCYPART_SIBL
(11,4),(11,19),-0.0141336 # DEPENDENCYPART_SIBL
(11,4),(11,20),0.0146629 # DEPENDENCYPART_SIBL
(11,4),(11,21),-0.0114319 # DEPENDENCYPART_SIBL
(11,4),(11,22),-0.0291668 # DEPENDENCYPART_SIBL
(11,5),(11,6),-0.0888668 # DEPENDENCYPART_SIBL
(11,5),(11,7),-0.0378253 # DEPENDENCYPART_SIBL
(11,5),(11,8),-0.0465211 # DEPENDENCYPART_SIBL
(11,5),(11,9),-0.0888668 # DEPENDENCYPART_SIBL
(11,5),(11,12),-0.0121183 # DEPENDENCYPART_SIBL
(11,5),(11,13),-0.00910462 # DEPENDENCYPART_SIBL
(11,5),(11,14),0.0165859 # DEPENDENCYPART_SIBL
(11,5),(11,15),-0.00587643 # DEPENDENCYPART_SIBL
(11,5),(11,16),-0.0275067 # DEPENDENCYPART_SIBL
(11,5),(11,17),0.00499384 # DEPENDENCYPART_SIBL
(11,5),(11,18),0.0165859 # DEPENDENCYPART_SIBL
(11,5),(11,19),0.0165859 # DEPENDENCYPART_SIBL
(11,5),(11,20),-0.00626456 # DEPENDENCYPART_SIBL
(11,5),(11,21),-0.0384658 # DEPENDENCYPART_SIBL
(11,5),(11,22),0.0688661 # DEPENDENCYPART_SIBL
(11,6),(11,7),-0.10409 # DEPENDENCYPART_SIBL
(11,6),(11,8),-0.0619103 # DEPENDENCYPART_SIBL
(11,6),(11,9),-0.13427 # DEPENDENCYPART_SIBL
(11,6),(11,12),-0.0221496 # DEPENDENCYPART_SIBL
(11,6),(11,13),-0.0166225 # DEPENDENCYPART_SIBL
(11,6),(11,14),-0.00323158 # DEPENDENCYPART_SIBL
(11,6),(11,15),-0.0159077 # DEPENDENCYPART_SIBL
(11,6),(11,16),-0.029452 # DEPENDENCYPART_SIBL
(11,6),(11,17),-0.0452097 # DEPENDENCYPART_SIBL
(11,6),(11,18),-0.00323158 # DEPENDENCYPART_SIBL
(11,6),(11,19),-0.00323158 # DEPENDENCYPART_SIBL
(11,6),(11,20),-0.0162958 # DEPENDENCYPART_SIBL
(11,6),(11,21),-0.0418558 # DEPENDENCYPART_SIBL
(11,6),(11,22),0.0119033 # DEPENDENCYPART_SIBL
(11,7),(11,8),0.00630841 # DEPENDENCYPART_SIBL
(11,7),(11,9),-0.0616688 # DEPENDENCYPART_SIBL
(11,7),(11,12),0.00766748 # DEPENDENCYPART_SIBL
(11,7),(11,13),-0.0129616 # DEPENDENCYPART_SIBL
(11,7),(11,14),0.00760114 # DEPENDENCYPART_SIBL
(11,7),(11,15),0.0146132 # DEPENDENCYPART_SIBL
(11,7),(11,16),0.030259 # DEPENDENCYPART_SIBL
(11,7),(11,17),0.00159791 # DEPENDENCYPART_SIBL
(11,7),(11,18),0.00760114 # DEPENDENCYPART_SIBL
(11,7),(11,19),0.00760114 # DEPENDENCYPART_SIBL
