# _root_ orain , sasoi hura udazkenean enarak_bezala ostendu eta urrundu denean , etxetxoak egiteari ekin diot berriro .
#goldHeads=14,3,7,3,7,7,8,14,8,9,10,13,14,0,14,14,16,
#predictedHeads=14,3,5,3,7,7,8,0,8,9,10,13,14,0,14,14,16,
(7,6),(7,9),-0.00577106 # DEPENDENCYPART_SIBL
(7,6),(7,10),0.0289109 # DEPENDENCYPART_SIBL
(7,6),(7,11),0.00593605 # DEPENDENCYPART_SIBL
(7,6),(7,12),-0.0201186 # DEPENDENCYPART_SIBL
(7,6),(7,13),-0.00944285 # DEPENDENCYPART_SIBL
(7,6),(7,14),-0.00633877 # DEPENDENCYPART_SIBL
(7,6),(7,15),-0.00478131 # DEPENDENCYPART_SIBL
(7,6),(7,16),-0.0145224 # DEPENDENCYPART_SIBL
(7,8),(7,9),-0.0256127 # DEPENDENCYPART_SIBL
(7,8),(7,10),-0.0089141 # DEPENDENCYPART_SIBL
(7,8),(7,11),-0.0146065 # DEPENDENCYPART_SIBL
(7,8),(7,12),0.00258793 # DEPENDENCYPART_SIBL
(7,8),(7,13),-0.0296362 # DEPENDENCYPART_SIBL
(7,8),(7,14),-0.0303853 # DEPENDENCYPART_SIBL
(7,8),(7,15),-0.0078948 # DEPENDENCYPART_SIBL
(7,8),(7,16),0.0194489 # DEPENDENCYPART_SIBL
(7,9),(7,10),0.0268233 # DEPENDENCYPART_SIBL
(7,9),(7,11),-0.0484521 # DEPENDENCYPART_SIBL
(7,9),(7,12),-0.0453893 # DEPENDENCYPART_SIBL
(7,9),(7,13),-0.028133 # DEPENDENCYPART_SIBL
(7,9),(7,14),-0.0220926 # DEPENDENCYPART_SIBL
(7,9),(7,15),0.0306541 # DEPENDENCYPART_SIBL
(7,9),(7,16),-0.0283583 # DEPENDENCYPART_SIBL
(7,10),(7,11),-0.0430481 # DEPENDENCYPART_SIBL
(7,10),(7,12),0.00882713 # DEPENDENCYPART_SIBL
(7,10),(7,13),-0.0106519 # DEPENDENCYPART_SIBL
(7,10),(7,14),-0.00246118 # DEPENDENCYPART_SIBL
(7,10),(7,15),-0.146649 # DEPENDENCYPART_SIBL
(7,10),(7,16),0.0503354 # DEPENDENCYPART_SIBL
(7,11),(7,12),-0.0970364 # DEPENDENCYPART_SIBL
(7,11),(7,13),-0.0424266 # DEPENDENCYPART_SIBL
(7,11),(7,14),-0.038407 # DEPENDENCYPART_SIBL
(7,11),(7,15),-0.0751272 # DEPENDENCYPART_SIBL
(7,11),(7,16),-0.182045 # DEPENDENCYPART_SIBL
(7,12),(7,13),-0.021233 # DEPENDENCYPART_SIBL
(7,12),(7,14),-0.0155337 # DEPENDENCYPART_SIBL
(7,12),(7,15),-0.0227449 # DEPENDENCYPART_SIBL
(7,12),(7,16),-0.00273922 # DEPENDENCYPART_SIBL
(7,13),(7,14),-0.0220926 # DEPENDENCYPART_SIBL
(7,13),(7,15),0.0306541 # DEPENDENCYPART_SIBL
(7,13),(7,16),-0.0283583 # DEPENDENCYPART_SIBL
(7,14),(7,15),0.0306524 # DEPENDENCYPART_SIBL
(7,14),(7,16),-0.0283583 # DEPENDENCYPART_SIBL
(7,15),(7,16),0.0614602 # DEPENDENCYPART_SIBL
(8,1),(8,3),-0.0830826 # DEPENDENCYPART_SIBL
(8,1),(8,4),-0.0135105 # DEPENDENCYPART_SIBL
(8,1),(8,5),-0.0830826 # DEPENDENCYPART_SIBL
(8,1),(8,6),-0.0830826 # DEPENDENCYPART_SIBL
(8,1),(8,7),0.0206237 # DEPENDENCYPART_SIBL
(8,1),(8,9),-0.0303064 # DEPENDENCYPART_SIBL
(8,1),(8,10),0.0034687 # DEPENDENCYPART_SIBL
(8,1),(8,11),-0.0365669 # DEPENDENCYPART_SIBL
(8,1),(8,12),-0.00528871 # DEPENDENCYPART_SIBL
(8,1),(8,13),-0.0271984 # DEPENDENCYPART_SIBL
(8,1),(8,14),-0.0349859 # DEPENDENCYPART_SIBL
(8,3),(8,4),-0.028623 # DEPENDENCYPART_SIBL
(8,3),(8,5),0.00390841 # DEPENDENCYPART_SIBL
(8,3),(8,6),-0.00439628 # DEPENDENCYPART_SIBL
(8,3),(8,7),0.000362169 # DEPENDENCYPART_SIBL
(8,3),(8,9),-0.0783019 # DEPENDENCYPART_SIBL
(8,3),(8,10),-0.0345077 # DEPENDENCYPART_SIBL
(8,3),(8,11),-0.0802123 # DEPENDENCYPART_SIBL
(8,3),(8,12),0.0603005 # DEPENDENCYPART_SIBL
(8,3),(8,13),-0.0759672 # DEPENDENCYPART_SIBL
(8,3),(8,14),-0.0846758 # DEPENDENCYPART_SIBL
(8,4),(8,5),-0.017782 # DEPENDENCYPART_SIBL
(8,4),(8,6),-0.017782 # DEPENDENCYPART_SIBL
(8,4),(8,7),0.0220977 # DEPENDENCYPART_SIBL
(8,4),(8,9),-0.00706971 # DEPENDENCYPART_SIBL
(8,4),(8,10),0.0181104 # DEPENDENCYPART_SIBL
(8,4),(8,11),0.00614095 # DEPENDENCYPART_SIBL
(8,4),(8,12),0.00742088 # DEPENDENCYPART_SIBL
(8,4),(8,13),-0.00396176 # DEPENDENCYPART_SIBL
(8,4),(8,14),-0.0117524 # DEPENDENCYPART_SIBL
(8,5),(8,6),0.003539 # DEPENDENCYPART_SIBL
(8,5),(8,7),0.000362169 # DEPENDENCYPART_SIBL
(8,5),(8,9),-0.0783019 # DEPENDENCYPART_SIBL
(8,5),(8,10),-0.0318635 # DEPENDENCYPART_SIBL
(8,5),(8,11),-0.0802123 # DEPENDENCYPART_SIBL
(8,5),(8,12),0.0602797 # DEPENDENCYPART_SIBL
(8,5),(8,13),-0.0759672 # DEPENDENCYPART_SIBL
(8,5),(8,14),-0.0846758 # DEPENDENCYPART_SIBL
(8,6),(8,7),0.000362169 # DEPENDENCYPART_SIBL
(8,6),(8,9),-0.0783019 # DEPENDENCYPART_SIBL
(8,6),(8,10),-0.0345077 # DEPENDENCYPART_SIBL
(8,6),(8,11),-0.0802123 # DEPENDENCYPART_SIBL
(8,6),(8,12),0.0603005 # DEPENDENCYPART_SIBL
(8,6),(8,13),-0.0759672 # DEPENDENCYPART_SIBL
(8,6),(8,14),-0.0846758 # DEPENDENCYPART_SIBL
(8,7),(8,9),0.0756479 # DEPENDENCYPART_SIBL
(8,7),(8,10),-0.00279455 # DEPENDENCYPART_SIBL
(8,7),(8,11),-0.00493908 # DEPENDENCYPART_SIBL
(8,7),(8,12),-0.138392 # DEPENDENCYPART_SIBL
(8,7),(8,13),0.0826233 # DEPENDENCYPART_SIBL
(8,7),(8,14),0.0656392 # DEPENDENCYPART_SIBL
(8,9),(8,10),0.0111049 # DEPENDENCYPART_SIBL
(8,9),(8,11),-0.0666458 # DEPENDENCYPART_SIBL
(8,9),(8,12),-0.102556 # DEPENDENCYPART_SIBL
(8,9),(8,13),-0.118479 # DEPENDENCYPART_SIBL
(8,9),(8,14),-0.117157 # DEPENDENCYPART_SIBL
(8,10),(8,11),-0.0568364 # DEPENDENCYPART_SIBL
(8,10),(8,12),-0.0633405 # DEPENDENCYPART_SIBL
(8,10),(8,13),-0.0472352 # DEPENDENCYPART_SIBL
(8,10),(8,14),-0.0450064 # DEPENDENCYPART_SIBL
(8,11),(8,12),-0.0273345 # DEPENDENCYPART_SIBL
(8,11),(8,13),-0.0126061 # DEPENDENCYPART_SIBL
(8,11),(8,14),-0.0124629 # DEPENDENCYPART_SIBL
(8,12),(8,13),-0.147747 # DEPENDENCYPART_SIBL
(8,12),(8,14),-0.146873 # DEPENDENCYPART_SIBL
(8,13),(8,14),-0.117157 # DEPENDENCYPART_SIBL
(9,1),(9,2),-0.0373874 # DEPENDENCYPART_SIBL
(9,1),(9,3),-0.0257427 # DEPENDENCYPART_SIBL
(9,1),(9,4),-0.0252504 # DEPENDENCYPART_SIBL
(9,1),(9,5),-0.0147723 # DEPENDENCYPART_SIBL
(9,1),(9,6),-0.0257427 # DEPENDENCYPART_SIBL
(9,1),(9,7),0.0473356 # DEPENDENCYPART_SIBL
(9,1),(9,8),0.0458152 # DEPENDENCYPART_SIBL
(9,1),(9,10),0.0731648 # DEPENDENCYPART_SIBL
(9,1),(9,11),0.00988163 # DEPENDENCYPART_SIBL
(9,1),(9,12),0.0137189 # DEPENDENCYPART_SIBL
(9,1),(9,13),-0.00294466 # DEPENDENCYPART_SIBL
(9,1),(9,14),-0.000688489 # DEPENDENCYPART_SIBL
(9,1),(9,15),0.0443644 # DEPENDENCYPART_SIBL
(9,1),(9,16),-0.0142795 # DEPENDENCYPART_SIBL
(9,2),(9,3),-0.174817 # DEPENDENCYPART_SIBL
(9,2),(9,4),-0.114626 # DEPENDENCYPART_SIBL
(9,2),(9,5),-0.163846 # DEPENDENCYPART_SIBL
(9,2),(9,6),-0.174817 # DEPENDENCYPART_SIBL
(9,2),(9,7),-0.102649 # DEPENDENCYPART_SIBL
(9,2),(9,8),-0.0896274 # DEPENDENCYPART_SIBL
(9,2),(9,10),0.00538991 # DEPENDENCYPART_SIBL
(9,2),(9,11),-0.00549256 # DEPENDENCYPART_SIBL
(9,2),(9,12),-0.00323158 # DEPENDENCYPART_SIBL
(9,2),(9,13),-0.0181639 # DEPENDENCYPART_SIBL
(9,2),(9,14),-0.0159077 # DEPENDENCYPART_SIBL
(9,2),(9,15),-0.0110623 # DEPENDENCYPART_SIBL
(9,2),(9,16),-0.00490238 # DEPENDENCYPART_SIBL
(9,3),(9,4),-0.028899 # DEPENDENCYPART_SIBL
(9,3),(9,5),0.000376939 # DEPENDENCYPART_SIBL
(9,3),(9,6),-0.0272028 # DEPENDENCYPART_SIBL
(9,3),(9,7),0.00025934 # DEPENDENCYPART_SIBL
(9,3),(9,8),0.0103114 # DEPENDENCYPART_SIBL
(9,3),(9,10),0.0289109 # DEPENDENCYPART_SIBL
(9,3),(9,11),0.00593605 # DEPENDENCYPART_SIBL
(9,3),(9,12),-0.0201186 # DEPENDENCYPART_SIBL
(9,3),(9,13),-0.00944285 # DEPENDENCYPART_SIBL
(9,3),(9,14),-0.00633877 # DEPENDENCYPART_SIBL
(9,3),(9,15),-0.00478131 # DEPENDENCYPART_SIBL
(9,3),(9,16),-0.0145224 # DEPENDENCYPART_SIBL
(9,4),(9,5),0.0346794 # DEPENDENCYPART_SIBL
(9,4),(9,6),0.023709 # DEPENDENCYPART_SIBL
(9,4),(9,7),0.0160254 # DEPENDENCYPART_SIBL
(9,4),(9,8),0.0255602 # DEPENDENCYPART_SIBL
(9,4),(9,10),0.0393078 # DEPENDENCYPART_SIBL
(9,4),(9,11),0.00344271 # DEPENDENCYPART_SIBL
(9,4),(9,12),-0.00384527 # DEPENDENCYPART_SIBL
(9,4),(9,13),-0.0125211 # DEPENDENCYPART_SIBL
(9,4),(9,14),-0.0102681 # DEPENDENCYPART_SIBL
(9,4),(9,15),0.0227334 # DEPENDENCYPART_SIBL
(9,4),(9,16),-0.0145401 # DEPENDENCYPART_SIBL
(9,5),(9,6),-0.00341391 # DEPENDENCYPART_SIBL
(9,5),(9,7),0.0081777 # DEPENDENCYPART_SIBL
(9,5),(9,8),0.0182298 # DEPENDENCYPART_SIBL
(9,5),(9,10),0.0394886 # DEPENDENCYPART_SIBL
(9,5),(9,11),0.0112252 # DEPENDENCYPART_SIBL
(9,5),(9,12),-0.0148711 # DEPENDENCYPART_SIBL
(9,5),(9,13),-0.00415374 # DEPENDENCYPART_SIBL
(9,5),(9,14),-0.00104966 # DEPENDENCYPART_SIBL
(9,5),(9,15),0.0057963 # DEPENDENCYPART_SIBL
(9,5),(9,16),-0.00923333 # DEPENDENCYPART_SIBL
(9,6),(9,7),0.00025934 # DEPENDENCYPART_SIBL
(9,6),(9,8),0.0103114 # DEPENDENCYPART_SIBL
(9,6),(9,10),0.0289109 # DEPENDENCYPART_SIBL
(9,6),(9,11),0.00593605 # DEPENDENCYPART_SIBL
(9,6),(9,12),-0.0201186 # DEPENDENCYPART_SIBL
(9,6),(9,13),-0.00944285 # DEPENDENCYPART_SIBL
(9,6),(9,14),-0.00633877 # DEPENDENCYPART_SIBL
(9,6),(9,15),-0.00478131 # DEPENDENCYPART_SIBL
(9,6),(9,16),-0.0145224 # DEPENDENCYPART_SIBL
(9,7),(9,8),0.00272451 # DEPENDENCYPART_SIBL
(9,7),(9,10),0.081636 # DEPENDENCYPART_SIBL
(9,7),(9,11),-0.00472154 # DEPENDENCYPART_SIBL
(9,7),(9,12),0.014658 # DEPENDENCYPART_SIBL
(9,7),(9,13),0.0037024 # DEPENDENCYPART_SIBL
(9,7),(9,14),0.00413456 # DEPENDENCYPART_SIBL
(9,7),(9,15),0.0635485 # DEPENDENCYPART_SIBL
(9,7),(9,16),0.0599647 # DEPENDENCYPART_SIBL
(9,8),(9,10),0.0427197 # DEPENDENCYPART_SIBL
(9,8),(9,11),0.0109203 # DEPENDENCYPART_SIBL
(9,8),(9,12),0.0165859 # DEPENDENCYPART_SIBL
(9,8),(9,13),-0.00823263 # DEPENDENCYPART_SIBL
(9,8),(9,14),-0.00587643 # DEPENDENCYPART_SIBL
(9,8),(9,15),0.0326762 # DEPENDENCYPART_SIBL
(9,8),(9,16),-0.00133135 # DEPENDENCYPART_SIBL
(9,10),(9,11),-0.0430481 # DEPENDENCYPART_SIBL
(9,10),(9,12),0.00882713 # DEPENDENCYPART_SIBL
(9,10),(9,13),-0.0106519 # DEPENDENCYPART_SIBL
(9,10),(9,14),-0.00246118 # DEPENDENCYPART_SIBL
(9,10),(9,15),-0.146649 # DEPENDENCYPART_SIBL
(9,10),(9,16),0.0503354 # DEPENDENCYPART_SIBL
(9,11),(9,12),-0.0970364 # DEPENDENCYPART_SIBL
(9,11),(9,13),-0.0424266 # DEPENDENCYPART_SIBL
(9,11),(9,14),-0.038407 # DEPENDENCYPART_SIBL
(9,11),(9,15),-0.0751272 # DEPENDENCYPART_SIBL
(9,11),(9,16),-0.182045 # DEPENDENCYPART_SIBL
(9,12),(9,13),-0.021233 # DEPENDENCYPART_SIBL
(9,12),(9,14),-0.0155337 # DEPENDENCYPART_SIBL
(9,12),(9,15),-0.0227449 # DEPENDENCYPART_SIBL
(9,12),(9,16),-0.00273922 # DEPENDENCYPART_SIBL
(9,13),(9,14),-0.0220926 # DEPENDENCYPART_SIBL
(9,13),(9,15),0.0306541 # DEPENDENCYPART_SIBL
(9,13),(9,16),-0.0283583 # DEPENDENCYPART_SIBL
(9,14),(9,15),0.0306524 # DEPENDENCYPART_SIBL
(9,14),(9,16),-0.0283583 # DEPENDENCYPART_SIBL
(9,15),(9,16),0.0614602 # DEPENDENCYPART_SIBL
(10,5),(10,6),0.0510688 # DEPENDENCYPART_SIBL
(10,5),(10,7),0.0889339 # DEPENDENCYPART_SIBL
(10,5),(10,8),0.0406062 # DEPENDENCYPART_SIBL
(10,5),(10,9),0.0889339 # DEPENDENCYPART_SIBL
(10,5),(10,11),0.0291962 # DEPENDENCYPART_SIBL
(10,5),(10,12),0.0712537 # DEPENDENCYPART_SIBL
(10,5),(10,13),0.0458653 # DEPENDENCYPART_SIBL
(10,5),(10,14),0.0460709 # DEPENDENCYPART_SIBL
(10,5),(10,15),0.0533162 # DEPENDENCYPART_SIBL
(10,5),(10,16),0.0338369 # DEPENDENCYPART_SIBL
(10,6),(10,7),0.0889339 # DEPENDENCYPART_SIBL
(10,6),(10,8),0.0406062 # DEPENDENCYPART_SIBL
(10,6),(10,9),0.0889339 # DEPENDENCYPART_SIBL
(10,6),(10,11),0.0291962 # DEPENDENCYPART_SIBL
(10,6),(10,12),0.0712746 # DEPENDENCYPART_SIBL
(10,6),(10,13),0.0458653 # DEPENDENCYPART_SIBL
(10,6),(10,14),0.0460709 # DEPENDENCYPART_SIBL
(10,6),(10,15),0.0506719 # DEPENDENCYPART_SIBL
(10,6),(10,16),0.0338369 # DEPENDENCYPART_SIBL
(10,7),(10,8),0.0376195 # DEPENDENCYPART_SIBL
(10,7),(10,9),0.0456898 # DEPENDENCYPART_SIBL
(10,7),(10,11),-0.0422072 # DEPENDENCYPART_SIBL
(10,7),(10,12),-0.00538549 # DEPENDENCYPART_SIBL
(10,7),(10,13),0.0352444 # DEPENDENCYPART_SIBL
(10,7),(10,14),0.0327085 # DEPENDENCYPART_SIBL
(10,7),(10,15),0.0269146 # DEPENDENCYPART_SIBL
(10,7),(10,16),0.0102723 # DEPENDENCYPART_SIBL
(10,8),(10,9),0.0150394 # DEPENDENCYPART_SIBL
(10,8),(10,11),0.00457696 # DEPENDENCYPART_SIBL
(10,8),(10,12),0.0208128 # DEPENDENCYPART_SIBL
(10,8),(10,13),0.0301565 # DEPENDENCYPART_SIBL
(10,8),(10,14),0.0302566 # DEPENDENCYPART_SIBL
(10,8),(10,15),0.0225635 # DEPENDENCYPART_SIBL
(10,8),(10,16),-0.00774897 # DEPENDENCYPART_SIBL
(10,9),(10,11),-0.0422072 # DEPENDENCYPART_SIBL
(10,9),(10,12),-0.00538549 # DEPENDENCYPART_SIBL
(10,9),(10,13),0.0352444 # DEPENDENCYPART_SIBL
(10,9),(10,14),0.0327085 # DEPENDENCYPART_SIBL
(10,9),(10,15),0.0269146 # DEPENDENCYPART_SIBL
(10,9),(10,16),0.0102723 # DEPENDENCYPART_SIBL
(10,11),(10,12),-0.0330925 # DEPENDENCYPART_SIBL
(10,11),(10,13),-0.0696912 # DEPENDENCYPART_SIBL
(10,11),(10,14),-0.0696912 # DEPENDENCYPART_SIBL
(10,11),(10,15),-0.0767933 # DEPENDENCYPART_SIBL
(10,11),(10,16),-0.163935 # DEPENDENCYPART_SIBL
(10,12),(10,13),-0.0114043 # DEPENDENCYPART_SIBL
(10,12),(10,14),-0.0106733 # DEPENDENCYPART_SIBL
(10,12),(10,15),0.00349113 # DEPENDENCYPART_SIBL
(10,12),(10,16),0.0351688 # DEPENDENCYPART_SIBL
(10,13),(10,14),0.00197263 # DEPENDENCYPART_SIBL
(10,13),(10,15),0.036585 # DEPENDENCYPART_SIBL
(10,13),(10,16),0.0128463 # DEPENDENCYPART_SIBL
(10,14),(10,15),0.0365833 # DEPENDENCYPART_SIBL
(10,14),(10,16),0.0128463 # DEPENDENCYPART_SIBL
(10,15),(10,16),0.0271269 # DEPENDENCYPART_SIBL
(11,7),(11,8),0.00430454 # DEPENDENCYPART_SIBL
(11,7),(11,9),-0.0208604 # DEPENDENCYPART_SIBL
(11,7),(11,10),-0.0318467 # DEPENDENCYPART_SIBL
(11,7),(11,12),0.0961931 # DEPENDENCYPART_SIBL
(11,7),(11,13),0.377972 # DEPENDENCYPART_SIBL
(11,7),(11,14),0.375436 # DEPENDENCYPART_SIBL
(11,8),(11,9),0.00387239 # DEPENDENCYPART_SIBL
(11,8),(11,10),-0.0117206 # DEPENDENCYPART_SIBL
(11,8),(11,12),0.10336 # DEPENDENCYPART_SIBL
(11,8),(11,13),0.22534 # DEPENDENCYPART_SIBL
(11,8),(11,14),0.22544 # DEPENDENCYPART_SIBL
(11,9),(11,10),-0.0318467 # DEPENDENCYPART_SIBL
(11,9),(11,12),0.0961931 # DEPENDENCYPART_SIBL
(11,9),(11,13),0.377972 # DEPENDENCYPART_SIBL
(11,9),(11,14),0.375436 # DEPENDENCYPART_SIBL
(11,10),(11,12),0.0391074 # DEPENDENCYPART_SIBL
(11,10),(11,13),0.125628 # DEPENDENCYPART_SIBL
(11,10),(11,14),0.125628 # DEPENDENCYPART_SIBL
(11,12),(11,13),-0.0166738 # DEPENDENCYPART_SIBL
(11,12),(11,14),-0.0159428 # DEPENDENCYPART_SIBL
(11,13),(11,14),0.00576528 # DEPENDENCYPART_SIBL
(12,1),(12,4),0.0266164 # DEPENDENCYPART_SIBL
(12,1),(12,7),-0.0261113 # DEPENDENCYPART_SIBL
(12,1),(12,8),0.0650935 # DEPENDENCYPART_SIBL
(12,1),(12,9),-0.0261113 # DEPENDENCYPART_SIBL
(12,1),(12,10),0.00762994 # DEPENDENCYPART_SIBL
(12,1),(12,11),-0.0164524 # DEPENDENCYPART_SIBL
(12,1),(12,13),0.0112249 # DEPENDENCYPART_SIBL
(12,1),(12,14),0.0114816 # DEPENDENCYPART_SIBL
(12,1),(12,15),0.0236613 # DEPENDENCYPART_SIBL
(12,1),(12,16),-0.00309 # DEPENDENCYPART_SIBL
(12,1),(12,17),0.0180432 # DEPENDENCYPART_SIBL
(12,4),(12,7),-0.0221553 # DEPENDENCYPART_SIBL
(12,4),(12,8),0.0442157 # DEPENDENCYPART_SIBL
(12,4),(12,9),-0.0221553 # DEPENDENCYPART_SIBL
(12,4),(12,10),0.00465998 # DEPENDENCYPART_SIBL
(12,4),(12,11),-0.0352178 # DEPENDENCYPART_SIBL
(12,4),(12,13),-0.0414049 # DEPENDENCYPART_SIBL
(12,4),(12,14),-0.0411546 # DEPENDENCYPART_SIBL
(12,4),(12,15),-0.024187 # DEPENDENCYPART_SIBL
(12,4),(12,16),-0.0573243 # DEPENDENCYPART_SIBL
(12,4),(12,17),-0.0327328 # DEPENDENCYPART_SIBL
(12,7),(12,8),0.0701331 # DEPENDENCYPART_SIBL
(12,7),(12,9),-0.0446917 # DEPENDENCYPART_SIBL
(12,7),(12,10),-0.00846676 # DEPENDENCYPART_SIBL
(12,7),(12,11),-0.012718 # DEPENDENCYPART_SIBL
(12,7),(12,13),0.0214006 # DEPENDENCYPART_SIBL
(12,7),(12,14),0.0192039 # DEPENDENCYPART_SIBL
(12,7),(12,15),0.0724808 # DEPENDENCYPART_SIBL
(12,7),(12,16),0.0120449 # DEPENDENCYPART_SIBL
(12,7),(12,17),-0.0371781 # DEPENDENCYPART_SIBL
(12,8),(12,9),-0.12615 # DEPENDENCYPART_SIBL
(12,8),(12,10),-0.0690648 # DEPENDENCYPART_SIBL
(12,8),(12,11),-0.0675343 # DEPENDENCYPART_SIBL
(12,8),(12,13),0.00323717 # DEPENDENCYPART_SIBL
(12,8),(12,14),0.0036939 # DEPENDENCYPART_SIBL
(12,8),(12,15),0.0217206 # DEPENDENCYPART_SIBL
(12,8),(12,16),-0.0372732 # DEPENDENCYPART_SIBL
(12,8),(12,17),-0.0591 # DEPENDENCYPART_SIBL
(12,9),(12,10),-0.00846676 # DEPENDENCYPART_SIBL
(12,9),(12,11),-0.012718 # DEPENDENCYPART_SIBL
(12,9),(12,13),0.0214006 # DEPENDENCYPART_SIBL
(12,9),(12,14),0.0192039 # DEPENDENCYPART_SIBL
(12,9),(12,15),0.0724808 # DEPENDENCYPART_SIBL
(12,9),(12,16),0.0120449 # DEPENDENCYPART_SIBL
(12,9),(12,17),-0.0371781 # DEPENDENCYPART_SIBL
(12,10),(12,11),-0.0171764 # DEPENDENCYPART_SIBL
(12,10),(12,13),0.0211243 # DEPENDENCYPART_SIBL
(12,10),(12,14),0.021381 # DEPENDENCYPART_SIBL
(12,10),(12,15),-0.0288389 # DEPENDENCYPART_SIBL
(12,10),(12,16),-0.0306243 # DEPENDENCYPART_SIBL
(12,10),(12,17),-0.030547 # DEPENDENCYPART_SIBL
(12,11),(12,13),-0.0377089 # DEPENDENCYPART_SIBL
(12,11),(12,14),-0.0374522 # DEPENDENCYPART_SIBL
(12,11),(12,15),-0.0147614 # DEPENDENCYPART_SIBL
(12,11),(12,16),-0.0464362 # DEPENDENCYPART_SIBL
(12,11),(12,17),-0.0822575 # DEPENDENCYPART_SIBL
(12,13),(12,14),-0.0113726 # DEPENDENCYPART_SIBL
(12,13),(12,15),0.0321576 # DEPENDENCYPART_SIBL
(12,13),(12,16),0.0111795 # DEPENDENCYPART_SIBL
(12,13),(12,17),-0.0694 # DEPENDENCYPART_SIBL
(12,14),(12,15),0.0321524 # DEPENDENCYPART_SIBL
(12,14),(12,16),0.0111778 # DEPENDENCYPART_SIBL
(12,14),(12,17),-0.07005 # DEPENDENCYPART_SIBL
(12,15),(12,16),0.0510261 # DEPENDENCYPART_SIBL
(12,15),(12,17),-0.0550928 # DEPENDENCYPART_SIBL
(12,16),(12,17),-0.0886227 # DEPENDENCYPART_SIBL
(13,1),(13,2),-0.0373874 # DEPENDENCYPART_SIBL
(13,1),(13,3),-0.0231156 # DEPENDENCYPART_SIBL
(13,1),(13,4),-0.0252504 # DEPENDENCYPART_SIBL
(13,1),(13,5),-0.0121452 # DEPENDENCYPART_SIBL
(13,1),(13,6),-0.0231156 # DEPENDENCYPART_SIBL
(13,1),(13,7),0.0472262 # DEPENDENCYPART_SIBL
(13,1),(13,8),0.0458115 # DEPENDENCYPART_SIBL
(13,1),(13,9),0.0472262 # DEPENDENCYPART_SIBL
(13,1),(13,10),0.0271427 # DEPENDENCYPART_SIBL
(13,1),(13,11),-0.0373874 # DEPENDENCYPART_SIBL
(13,1),(13,12),-0.0231156 # DEPENDENCYPART_SIBL
(13,1),(13,14),-0.000688489 # DEPENDENCYPART_SIBL
(13,1),(13,15),0.0443644 # DEPENDENCYPART_SIBL
(13,1),(13,16),-0.0142795 # DEPENDENCYPART_SIBL
(13,2),(13,3),-0.17219 # DEPENDENCYPART_SIBL
(13,2),(13,4),-0.114626 # DEPENDENCYPART_SIBL
(13,2),(13,5),-0.161219 # DEPENDENCYPART_SIBL
(13,2),(13,6),-0.17219 # DEPENDENCYPART_SIBL
(13,2),(13,7),-0.102759 # DEPENDENCYPART_SIBL
(13,2),(13,8),-0.0896311 # DEPENDENCYPART_SIBL
(13,2),(13,9),-0.102759 # DEPENDENCYPART_SIBL
(13,2),(13,10),-0.0624195 # DEPENDENCYPART_SIBL
(13,2),(13,11),-0.13427 # DEPENDENCYPART_SIBL
(13,2),(13,12),-0.17219 # DEPENDENCYPART_SIBL
(13,2),(13,14),-0.0159077 # DEPENDENCYPART_SIBL
(13,2),(13,15),-0.0110623 # DEPENDENCYPART_SIBL
(13,2),(13,16),-0.00490238 # DEPENDENCYPART_SIBL
(13,3),(13,4),-0.0263281 # DEPENDENCYPART_SIBL
(13,3),(13,5),0.00825709 # DEPENDENCYPART_SIBL
(13,3),(13,6),-0.0193227 # DEPENDENCYPART_SIBL
(13,3),(13,7),0.00261143 # DEPENDENCYPART_SIBL
(13,3),(13,8),0.0128749 # DEPENDENCYPART_SIBL
(13,3),(13,9),0.00261143 # DEPENDENCYPART_SIBL
(13,3),(13,10),0.00772936 # DEPENDENCYPART_SIBL
(13,3),(13,11),-0.0693905 # DEPENDENCYPART_SIBL
(13,3),(13,12),-0.0193227 # DEPENDENCYPART_SIBL
(13,3),(13,14),-0.00312449 # DEPENDENCYPART_SIBL
(13,3),(13,15),-0.00156703 # DEPENDENCYPART_SIBL
(13,3),(13,16),-0.0113082 # DEPENDENCYPART_SIBL
(13,4),(13,5),0.0373066 # DEPENDENCYPART_SIBL
(13,4),(13,6),0.0263362 # DEPENDENCYPART_SIBL
(13,4),(13,7),0.015916 # DEPENDENCYPART_SIBL
(13,4),(13,8),0.0255565 # DEPENDENCYPART_SIBL
(13,4),(13,9),0.015916 # DEPENDENCYPART_SIBL
(13,4),(13,10),0.0373578 # DEPENDENCYPART_SIBL
(13,4),(13,11),-0.0609633 # DEPENDENCYPART_SIBL
(13,4),(13,12),0.0263362 # DEPENDENCYPART_SIBL
(13,4),(13,14),-0.0102681 # DEPENDENCYPART_SIBL
(13,4),(13,15),0.0227334 # DEPENDENCYPART_SIBL
(13,4),(13,16),-0.0145401 # DEPENDENCYPART_SIBL
(13,5),(13,6),0.00446625 # DEPENDENCYPART_SIBL
(13,5),(13,7),0.0105298 # DEPENDENCYPART_SIBL
(13,5),(13,8),0.0207932 # DEPENDENCYPART_SIBL
(13,5),(13,9),0.0105298 # DEPENDENCYPART_SIBL
(13,5),(13,10),0.0156477 # DEPENDENCYPART_SIBL
(13,5),(13,11),-0.0614721 # DEPENDENCYPART_SIBL
(13,5),(13,12),0.00446625 # DEPENDENCYPART_SIBL
