# _root_ elkartasun taldeak ugaritu arren zeregin asko dagoela ere argi dute , eta beraz , jarraitu beharra dagoela .
#goldHeads=2,3,7,3,7,5,10,0,10,12,10,0,0,13,16,17,12,17,
#predictedHeads=2,3,12,0,7,5,10,0,10,12,10,0,0,13,16,17,12,17,
(7,4),(7,5),-0.0367444 # DEPENDENCYPART_SIBL
(7,4),(7,6),-0.0182793 # DEPENDENCYPART_SIBL
(7,4),(7,8),0.0196624 # DEPENDENCYPART_SIBL
(7,4),(7,9),-0.0338697 # DEPENDENCYPART_SIBL
(7,4),(7,10),-0.0250847 # DEPENDENCYPART_SIBL
(7,4),(7,12),0.018398 # DEPENDENCYPART_SIBL
(7,4),(7,15),-0.0349009 # DEPENDENCYPART_SIBL
(7,4),(7,16),-0.00457941 # DEPENDENCYPART_SIBL
(7,4),(7,17),-0.0257625 # DEPENDENCYPART_SIBL
(7,5),(7,6),-0.0152612 # DEPENDENCYPART_SIBL
(7,5),(7,8),0.0259955 # DEPENDENCYPART_SIBL
(7,5),(7,9),-0.0120093 # DEPENDENCYPART_SIBL
(7,5),(7,10),-0.043087 # DEPENDENCYPART_SIBL
(7,5),(7,12),0.00381703 # DEPENDENCYPART_SIBL
(7,5),(7,15),-0.0046262 # DEPENDENCYPART_SIBL
(7,5),(7,16),-0.0100538 # DEPENDENCYPART_SIBL
(7,5),(7,17),-0.0126848 # DEPENDENCYPART_SIBL
(7,6),(7,8),-0.0469897 # DEPENDENCYPART_SIBL
(7,6),(7,9),-0.0284047 # DEPENDENCYPART_SIBL
(7,6),(7,10),-0.0322839 # DEPENDENCYPART_SIBL
(7,6),(7,12),-0.0487032 # DEPENDENCYPART_SIBL
(7,6),(7,15),-0.019005 # DEPENDENCYPART_SIBL
(7,6),(7,16),-0.0306382 # DEPENDENCYPART_SIBL
(7,6),(7,17),-0.0248371 # DEPENDENCYPART_SIBL
(7,8),(7,9),0.0261506 # DEPENDENCYPART_SIBL
(7,8),(7,10),-0.0044454 # DEPENDENCYPART_SIBL
(7,8),(7,12),-0.0138289 # DEPENDENCYPART_SIBL
(7,8),(7,15),-0.0267387 # DEPENDENCYPART_SIBL
(7,8),(7,16),-0.0539328 # DEPENDENCYPART_SIBL
(7,8),(7,17),-0.00506149 # DEPENDENCYPART_SIBL
(7,9),(7,10),0.00357392 # DEPENDENCYPART_SIBL
(7,9),(7,12),-0.016068 # DEPENDENCYPART_SIBL
(7,9),(7,15),-0.0211855 # DEPENDENCYPART_SIBL
(7,9),(7,16),-0.00767021 # DEPENDENCYPART_SIBL
(7,9),(7,17),0.00423971 # DEPENDENCYPART_SIBL
(7,10),(7,12),-0.0160523 # DEPENDENCYPART_SIBL
(7,10),(7,15),-0.00012565 # DEPENDENCYPART_SIBL
(7,10),(7,16),-0.00302303 # DEPENDENCYPART_SIBL
(7,10),(7,17),-0.00582276 # DEPENDENCYPART_SIBL
(7,12),(7,15),-0.0601934 # DEPENDENCYPART_SIBL
(7,12),(7,16),-0.0435145 # DEPENDENCYPART_SIBL
(7,12),(7,17),-0.0462511 # DEPENDENCYPART_SIBL
(7,15),(7,16),-0.00159101 # DEPENDENCYPART_SIBL
(7,15),(7,17),-0.00708277 # DEPENDENCYPART_SIBL
(7,16),(7,17),0.00886157 # DEPENDENCYPART_SIBL
(8,3),(8,7),0.00622281 # DEPENDENCYPART_SIBL
(8,3),(8,10),0.061917 # DEPENDENCYPART_SIBL
(8,3),(8,12),-0.0403373 # DEPENDENCYPART_SIBL
(8,3),(8,13),-0.0607602 # DEPENDENCYPART_SIBL
(8,3),(8,15),-0.0366757 # DEPENDENCYPART_SIBL
(8,7),(8,10),0.118267 # DEPENDENCYPART_SIBL
(8,7),(8,12),-0.0253908 # DEPENDENCYPART_SIBL
(8,7),(8,13),-0.0280845 # DEPENDENCYPART_SIBL
(8,7),(8,15),-0.0159959 # DEPENDENCYPART_SIBL
(8,10),(8,12),-0.00282785 # DEPENDENCYPART_SIBL
(8,10),(8,13),-0.00324334 # DEPENDENCYPART_SIBL
(8,10),(8,15),-0.0353755 # DEPENDENCYPART_SIBL
(8,12),(8,13),0.0378893 # DEPENDENCYPART_SIBL
(8,12),(8,15),-0.0823638 # DEPENDENCYPART_SIBL
(8,13),(8,15),-0.0633303 # DEPENDENCYPART_SIBL
(9,5),(9,8),-0.0135522 # DEPENDENCYPART_SIBL
(9,5),(9,10),0.0305122 # DEPENDENCYPART_SIBL
(9,5),(9,11),0.0193039 # DEPENDENCYPART_SIBL
(9,5),(9,14),0.0193039 # DEPENDENCYPART_SIBL
(9,5),(9,16),0.0350573 # DEPENDENCYPART_SIBL
(9,8),(9,10),0.0312881 # DEPENDENCYPART_SIBL
(9,8),(9,11),-0.0235955 # DEPENDENCYPART_SIBL
(9,8),(9,14),-0.0235955 # DEPENDENCYPART_SIBL
(9,8),(9,16),-0.0103878 # DEPENDENCYPART_SIBL
(9,10),(9,11),0.0791937 # DEPENDENCYPART_SIBL
(9,10),(9,14),0.0791937 # DEPENDENCYPART_SIBL
(9,10),(9,16),0.0959581 # DEPENDENCYPART_SIBL
(9,11),(9,14),-0.218415 # DEPENDENCYPART_SIBL
(9,11),(9,16),-0.0543687 # DEPENDENCYPART_SIBL
(9,14),(9,16),-0.0543687 # DEPENDENCYPART_SIBL
(10,1),(10,2),-0.0201794 # DEPENDENCYPART_SIBL
(10,1),(10,3),0.00531782 # DEPENDENCYPART_SIBL
(10,1),(10,4),-0.0097365 # DEPENDENCYPART_SIBL
(10,1),(10,5),-0.020089 # DEPENDENCYPART_SIBL
(10,1),(10,6),-0.0252494 # DEPENDENCYPART_SIBL
(10,1),(10,7),-0.0223874 # DEPENDENCYPART_SIBL
(10,1),(10,8),-0.0539853 # DEPENDENCYPART_SIBL
(10,1),(10,9),-0.0759635 # DEPENDENCYPART_SIBL
(10,1),(10,11),0.0100019 # DEPENDENCYPART_SIBL
(10,1),(10,12),-0.0231059 # DEPENDENCYPART_SIBL
(10,1),(10,13),-0.0127334 # DEPENDENCYPART_SIBL
(10,1),(10,15),0.0391832 # DEPENDENCYPART_SIBL
(10,1),(10,16),0.0459083 # DEPENDENCYPART_SIBL
(10,1),(10,17),0.0209661 # DEPENDENCYPART_SIBL
(10,2),(10,3),0.00586853 # DEPENDENCYPART_SIBL
(10,2),(10,4),-0.00881244 # DEPENDENCYPART_SIBL
(10,2),(10,5),-0.0142548 # DEPENDENCYPART_SIBL
(10,2),(10,6),-0.0243474 # DEPENDENCYPART_SIBL
(10,2),(10,7),-0.0214854 # DEPENDENCYPART_SIBL
(10,2),(10,8),-0.0530613 # DEPENDENCYPART_SIBL
(10,2),(10,9),-0.0753791 # DEPENDENCYPART_SIBL
(10,2),(10,11),0.0098389 # DEPENDENCYPART_SIBL
(10,2),(10,12),-0.0227326 # DEPENDENCYPART_SIBL
(10,2),(10,13),-0.0120185 # DEPENDENCYPART_SIBL
(10,2),(10,15),0.0414905 # DEPENDENCYPART_SIBL
(10,2),(10,16),0.0489168 # DEPENDENCYPART_SIBL
(10,2),(10,17),0.0220299 # DEPENDENCYPART_SIBL
(10,3),(10,4),0.0312618 # DEPENDENCYPART_SIBL
(10,3),(10,5),0.00874519 # DEPENDENCYPART_SIBL
(10,3),(10,6),-0.00766866 # DEPENDENCYPART_SIBL
(10,3),(10,7),-0.0116084 # DEPENDENCYPART_SIBL
(10,3),(10,8),0.0317381 # DEPENDENCYPART_SIBL
(10,3),(10,9),-0.0207287 # DEPENDENCYPART_SIBL
(10,3),(10,11),-0.00692273 # DEPENDENCYPART_SIBL
(10,3),(10,12),-0.00300363 # DEPENDENCYPART_SIBL
(10,3),(10,13),-0.0269797 # DEPENDENCYPART_SIBL
(10,3),(10,15),0.0214179 # DEPENDENCYPART_SIBL
(10,3),(10,16),0.0391341 # DEPENDENCYPART_SIBL
(10,3),(10,17),0.0726114 # DEPENDENCYPART_SIBL
(10,4),(10,5),-0.0199843 # DEPENDENCYPART_SIBL
(10,4),(10,6),-0.0216519 # DEPENDENCYPART_SIBL
(10,4),(10,7),-0.0206257 # DEPENDENCYPART_SIBL
(10,4),(10,8),-0.00614235 # DEPENDENCYPART_SIBL
(10,4),(10,9),-0.0378526 # DEPENDENCYPART_SIBL
(10,4),(10,11),-0.0456653 # DEPENDENCYPART_SIBL
(10,4),(10,12),-0.00723968 # DEPENDENCYPART_SIBL
(10,4),(10,13),-0.0109836 # DEPENDENCYPART_SIBL
(10,4),(10,15),-0.0169362 # DEPENDENCYPART_SIBL
(10,4),(10,16),0.0236151 # DEPENDENCYPART_SIBL
(10,4),(10,17),-0.010963 # DEPENDENCYPART_SIBL
(10,5),(10,6),-0.0252376 # DEPENDENCYPART_SIBL
(10,5),(10,7),-0.0223756 # DEPENDENCYPART_SIBL
(10,5),(10,8),-0.0539501 # DEPENDENCYPART_SIBL
(10,5),(10,9),-0.0759517 # DEPENDENCYPART_SIBL
(10,5),(10,11),0.00896863 # DEPENDENCYPART_SIBL
(10,5),(10,12),-0.0230943 # DEPENDENCYPART_SIBL
(10,5),(10,13),-0.0127222 # DEPENDENCYPART_SIBL
(10,5),(10,15),0.0391941 # DEPENDENCYPART_SIBL
(10,5),(10,16),0.0459564 # DEPENDENCYPART_SIBL
(10,5),(10,17),0.020977 # DEPENDENCYPART_SIBL
(10,6),(10,7),-0.0288505 # DEPENDENCYPART_SIBL
(10,6),(10,8),-0.015205 # DEPENDENCYPART_SIBL
(10,6),(10,9),-0.12165 # DEPENDENCYPART_SIBL
(10,6),(10,11),0.00640273 # DEPENDENCYPART_SIBL
(10,6),(10,12),-0.0804105 # DEPENDENCYPART_SIBL
(10,6),(10,13),-0.0786597 # DEPENDENCYPART_SIBL
(10,6),(10,15),-0.00656383 # DEPENDENCYPART_SIBL
(10,6),(10,16),-0.00678739 # DEPENDENCYPART_SIBL
(10,6),(10,17),-0.0159967 # DEPENDENCYPART_SIBL
(10,7),(10,8),-0.0150169 # DEPENDENCYPART_SIBL
(10,7),(10,9),-0.0558323 # DEPENDENCYPART_SIBL
(10,7),(10,11),-0.0268706 # DEPENDENCYPART_SIBL
(10,7),(10,12),-0.0310719 # DEPENDENCYPART_SIBL
(10,7),(10,13),-0.0320439 # DEPENDENCYPART_SIBL
(10,7),(10,15),0.0260318 # DEPENDENCYPART_SIBL
(10,7),(10,16),0.00331257 # DEPENDENCYPART_SIBL
(10,7),(10,17),0.0735511 # DEPENDENCYPART_SIBL
(10,8),(10,9),-0.0497331 # DEPENDENCYPART_SIBL
(10,8),(10,11),-0.0793569 # DEPENDENCYPART_SIBL
(10,8),(10,12),-0.0318366 # DEPENDENCYPART_SIBL
(10,8),(10,13),-0.0348402 # DEPENDENCYPART_SIBL
(10,8),(10,15),-0.0370976 # DEPENDENCYPART_SIBL
(10,8),(10,16),-0.0102111 # DEPENDENCYPART_SIBL
(10,8),(10,17),-0.0269998 # DEPENDENCYPART_SIBL
(10,9),(10,11),-0.132218 # DEPENDENCYPART_SIBL
(10,9),(10,12),-0.0558342 # DEPENDENCYPART_SIBL
(10,9),(10,13),-0.0644221 # DEPENDENCYPART_SIBL
(10,9),(10,15),0.0034127 # DEPENDENCYPART_SIBL
(10,9),(10,16),-0.0544324 # DEPENDENCYPART_SIBL
(10,9),(10,17),-0.00365544 # DEPENDENCYPART_SIBL
(10,11),(10,12),-0.0451503 # DEPENDENCYPART_SIBL
(10,11),(10,13),-0.0452829 # DEPENDENCYPART_SIBL
(10,11),(10,15),-0.0121257 # DEPENDENCYPART_SIBL
(10,11),(10,16),-0.027176 # DEPENDENCYPART_SIBL
(10,11),(10,17),0.00384337 # DEPENDENCYPART_SIBL
(10,12),(10,13),0.00641852 # DEPENDENCYPART_SIBL
(10,12),(10,15),-0.0588878 # DEPENDENCYPART_SIBL
(10,12),(10,16),-0.0403441 # DEPENDENCYPART_SIBL
(10,12),(10,17),-0.0452244 # DEPENDENCYPART_SIBL
(10,13),(10,15),-0.0365785 # DEPENDENCYPART_SIBL
(10,13),(10,16),-0.0552469 # DEPENDENCYPART_SIBL
(10,13),(10,17),-0.0221429 # DEPENDENCYPART_SIBL
(10,15),(10,16),0.00105574 # DEPENDENCYPART_SIBL
(10,15),(10,17),-0.00657479 # DEPENDENCYPART_SIBL
(10,16),(10,17),0.0198898 # DEPENDENCYPART_SIBL
(11,7),(11,12),0.0897367 # DEPENDENCYPART_SIBL
(11,7),(11,17),0.291159 # DEPENDENCYPART_SIBL
(11,12),(11,17),-0.0452425 # DEPENDENCYPART_SIBL
(12,1),(12,2),-0.0045327 # DEPENDENCYPART_SIBL
(12,1),(12,3),0.000343788 # DEPENDENCYPART_SIBL
(12,1),(12,5),-0.00444223 # DEPENDENCYPART_SIBL
(12,1),(12,7),0.0117671 # DEPENDENCYPART_SIBL
(12,1),(12,9),-0.00463563 # DEPENDENCYPART_SIBL
(12,1),(12,10),-0.00904755 # DEPENDENCYPART_SIBL
(12,1),(12,11),-0.0518605 # DEPENDENCYPART_SIBL
(12,1),(12,13),0.00606639 # DEPENDENCYPART_SIBL
(12,1),(12,14),-0.0791998 # DEPENDENCYPART_SIBL
(12,1),(12,15),-0.0941633 # DEPENDENCYPART_SIBL
(12,1),(12,16),0.0783871 # DEPENDENCYPART_SIBL
(12,1),(12,17),-0.0875995 # DEPENDENCYPART_SIBL
(12,2),(12,3),1.08736e-05 # DEPENDENCYPART_SIBL
(12,2),(12,5),-0.000363527 # DEPENDENCYPART_SIBL
(12,2),(12,7),0.0117855 # DEPENDENCYPART_SIBL
(12,2),(12,9),-0.00493484 # DEPENDENCYPART_SIBL
(12,2),(12,10),-0.00902917 # DEPENDENCYPART_SIBL
(12,2),(12,11),-0.0518421 # DEPENDENCYPART_SIBL
(12,2),(12,13),0.00574932 # DEPENDENCYPART_SIBL
(12,2),(12,14),-0.081448 # DEPENDENCYPART_SIBL
(12,2),(12,15),-0.0928881 # DEPENDENCYPART_SIBL
(12,2),(12,16),0.0803848 # DEPENDENCYPART_SIBL
(12,2),(12,17),-0.0875677 # DEPENDENCYPART_SIBL
(12,3),(12,5),-0.222361 # DEPENDENCYPART_SIBL
(12,3),(12,7),-0.00308103 # DEPENDENCYPART_SIBL
(12,3),(12,9),-0.0665744 # DEPENDENCYPART_SIBL
(12,3),(12,10),-0.0321813 # DEPENDENCYPART_SIBL
(12,3),(12,11),-0.124463 # DEPENDENCYPART_SIBL
(12,3),(12,13),-0.0414869 # DEPENDENCYPART_SIBL
(12,3),(12,14),-0.00493908 # DEPENDENCYPART_SIBL
(12,3),(12,15),0.0579289 # DEPENDENCYPART_SIBL
(12,3),(12,16),-0.138745 # DEPENDENCYPART_SIBL
(12,3),(12,17),0.0917514 # DEPENDENCYPART_SIBL
(12,5),(12,7),0.0117855 # DEPENDENCYPART_SIBL
(12,5),(12,9),-0.00461725 # DEPENDENCYPART_SIBL
(12,5),(12,10),-0.00902917 # DEPENDENCYPART_SIBL
(12,5),(12,11),-0.0518421 # DEPENDENCYPART_SIBL
(12,5),(12,13),0.00609859 # DEPENDENCYPART_SIBL
(12,5),(12,14),-0.0802123 # DEPENDENCYPART_SIBL
(12,5),(12,15),-0.0941315 # DEPENDENCYPART_SIBL
(12,5),(12,16),0.0784774 # DEPENDENCYPART_SIBL
(12,5),(12,17),-0.0875677 # DEPENDENCYPART_SIBL
(12,7),(12,9),-0.0547277 # DEPENDENCYPART_SIBL
(12,7),(12,10),-0.017812 # DEPENDENCYPART_SIBL
(12,7),(12,11),-0.0690863 # DEPENDENCYPART_SIBL
(12,7),(12,13),-0.0264135 # DEPENDENCYPART_SIBL
(12,7),(12,14),-0.0254614 # DEPENDENCYPART_SIBL
(12,7),(12,15),0.0348508 # DEPENDENCYPART_SIBL
(12,7),(12,16),-0.0587759 # DEPENDENCYPART_SIBL
(12,7),(12,17),0.143874 # DEPENDENCYPART_SIBL
(12,9),(12,10),0.0267193 # DEPENDENCYPART_SIBL
(12,9),(12,11),-0.053411 # DEPENDENCYPART_SIBL
(12,9),(12,13),0.0111085 # DEPENDENCYPART_SIBL
(12,9),(12,14),-0.0424673 # DEPENDENCYPART_SIBL
(12,9),(12,15),-0.00484757 # DEPENDENCYPART_SIBL
(12,9),(12,16),4.76621e-05 # DEPENDENCYPART_SIBL
(12,9),(12,17),0.0225724 # DEPENDENCYPART_SIBL
(12,10),(12,11),-0.0668958 # DEPENDENCYPART_SIBL
(12,10),(12,13),-0.026277 # DEPENDENCYPART_SIBL
(12,10),(12,14),-0.0187677 # DEPENDENCYPART_SIBL
(12,10),(12,15),0.0136028 # DEPENDENCYPART_SIBL
(12,10),(12,16),-0.0556015 # DEPENDENCYPART_SIBL
(12,10),(12,17),0.172207 # DEPENDENCYPART_SIBL
(12,11),(12,13),-0.0681651 # DEPENDENCYPART_SIBL
(12,11),(12,14),0.0253459 # DEPENDENCYPART_SIBL
(12,11),(12,15),-0.0962719 # DEPENDENCYPART_SIBL
(12,11),(12,16),-0.0708524 # DEPENDENCYPART_SIBL
(12,11),(12,17),-0.0693588 # DEPENDENCYPART_SIBL
(12,13),(12,14),-0.0675473 # DEPENDENCYPART_SIBL
(12,13),(12,15),-0.076252 # DEPENDENCYPART_SIBL
(12,13),(12,16),-0.0795177 # DEPENDENCYPART_SIBL
(12,13),(12,17),-0.0230474 # DEPENDENCYPART_SIBL
(12,14),(12,15),-0.0172959 # DEPENDENCYPART_SIBL
(12,14),(12,16),-0.0191806 # DEPENDENCYPART_SIBL
(12,14),(12,17),0.0469383 # DEPENDENCYPART_SIBL
(12,15),(12,16),-0.103109 # DEPENDENCYPART_SIBL
(12,15),(12,17),-0.0437506 # DEPENDENCYPART_SIBL
(12,16),(12,17),-0.0466855 # DEPENDENCYPART_SIBL
(13,10),(13,14),-0.0152946 # DEPENDENCYPART_SIBL
(13,10),(13,15),0.0105167 # DEPENDENCYPART_SIBL
(13,10),(13,16),-0.0429975 # DEPENDENCYPART_SIBL
(13,10),(13,17),0.121196 # DEPENDENCYPART_SIBL
(13,14),(13,15),-0.0989596 # DEPENDENCYPART_SIBL
(13,14),(13,16),-0.0627772 # DEPENDENCYPART_SIBL
(13,14),(13,17),-0.00488571 # DEPENDENCYPART_SIBL
(13,15),(13,16),-0.0544752 # DEPENDENCYPART_SIBL
(13,15),(13,17),-0.024224 # DEPENDENCYPART_SIBL
(13,16),(13,17),-0.0122679 # DEPENDENCYPART_SIBL
(14,7),(14,10),-3.49811e-05 # DEPENDENCYPART_SIBL
(14,7),(14,12),-0.00849931 # DEPENDENCYPART_SIBL
(14,7),(14,15),0.275343 # DEPENDENCYPART_SIBL
(14,7),(14,16),0.112934 # DEPENDENCYPART_SIBL
(14,7),(14,17),0.291159 # DEPENDENCYPART_SIBL
(14,10),(14,12),-0.00709967 # DEPENDENCYPART_SIBL
(14,10),(14,15),0.267174 # DEPENDENCYPART_SIBL
(14,10),(14,16),0.107325 # DEPENDENCYPART_SIBL
(14,10),(14,17),0.288284 # DEPENDENCYPART_SIBL
(14,12),(14,15),0.223198 # DEPENDENCYPART_SIBL
(14,12),(14,16),0.102597 # DEPENDENCYPART_SIBL
(14,12),(14,17),0.0948514 # DEPENDENCYPART_SIBL
(14,15),(14,16),0.0017608 # DEPENDENCYPART_SIBL
(14,15),(14,17),-0.0135526 # DEPENDENCYPART_SIBL
(14,16),(14,17),0.00376187 # DEPENDENCYPART_SIBL
(15,1),(15,2),-0.0338732 # DEPENDENCYPART_SIBL
(15,1),(15,3),-0.00272744 # DEPENDENCYPART_SIBL
(15,1),(15,5),-0.040681 # DEPENDENCYPART_SIBL
(15,1),(15,6),-0.0266392 # DEPENDENCYPART_SIBL
(15,1),(15,7),-0.0151654 # DEPENDENCYPART_SIBL
(15,1),(15,8),-0.0782905 # DEPENDENCYPART_SIBL
(15,1),(15,9),0.00247657 # DEPENDENCYPART_SIBL
(15,1),(15,10),-0.027414 # DEPENDENCYPART_SIBL
(15,1),(15,11),-0.0777488 # DEPENDENCYPART_SIBL
(15,1),(15,12),0.00397278 # DEPENDENCYPART_SIBL
(15,1),(15,13),-0.00749569 # DEPENDENCYPART_SIBL
(15,1),(15,14),-0.0777488 # DEPENDENCYPART_SIBL
(15,1),(15,16),-0.0215742 # DEPENDENCYPART_SIBL
(15,1),(15,17),-0.0151786 # DEPENDENCYPART_SIBL
(15,2),(15,3),-0.00123114 # DEPENDENCYPART_SIBL
(15,2),(15,5),-0.0312976 # DEPENDENCYPART_SIBL
(15,2),(15,6),-0.0244403 # DEPENDENCYPART_SIBL
(15,2),(15,7),-0.0129665 # DEPENDENCYPART_SIBL
(15,2),(15,8),-0.0760827 # DEPENDENCYPART_SIBL
(15,2),(15,9),0.00404028 # DEPENDENCYPART_SIBL
(15,2),(15,10),-0.0252151 # DEPENDENCYPART_SIBL
(15,2),(15,11),-0.0755499 # DEPENDENCYPART_SIBL
(15,2),(15,12),0.00618934 # DEPENDENCYPART_SIBL
(15,2),(15,13),-0.00528797 # DEPENDENCYPART_SIBL
(15,2),(15,14),-0.0755499 # DEPENDENCYPART_SIBL
(15,2),(15,16),-0.0134714 # DEPENDENCYPART_SIBL
(15,2),(15,17),-0.0109172 # DEPENDENCYPART_SIBL
(15,3),(15,5),-0.00434879 # DEPENDENCYPART_SIBL
(15,3),(15,6),0.00252334 # DEPENDENCYPART_SIBL
(15,3),(15,7),-0.013444 # DEPENDENCYPART_SIBL
(15,3),(15,8),-0.00207043 # DEPENDENCYPART_SIBL
(15,3),(15,9),0.0204058 # DEPENDENCYPART_SIBL
(15,3),(15,10),-0.0216847 # DEPENDENCYPART_SIBL
(15,3),(15,11),-0.076303 # DEPENDENCYPART_SIBL
(15,3),(15,12),0.00888931 # DEPENDENCYPART_SIBL
(15,3),(15,13),0.00914974 # DEPENDENCYPART_SIBL
(15,3),(15,14),-0.076303 # DEPENDENCYPART_SIBL
(15,3),(15,16),0.00846756 # DEPENDENCYPART_SIBL
(15,3),(15,17),0.039051 # DEPENDENCYPART_SIBL
(15,5),(15,6),-0.0264272 # DEPENDENCYPART_SIBL
(15,5),(15,7),-0.0149534 # DEPENDENCYPART_SIBL
(15,5),(15,8),-0.0780667 # DEPENDENCYPART_SIBL
(15,5),(15,9),0.00268856 # DEPENDENCYPART_SIBL
(15,5),(15,10),-0.027202 # DEPENDENCYPART_SIBL
(15,5),(15,11),-0.0775368 # DEPENDENCYPART_SIBL
(15,5),(15,12),0.0042083 # DEPENDENCYPART_SIBL
(15,5),(15,13),-0.00727194 # DEPENDENCYPART_SIBL
(15,5),(15,14),-0.0775368 # DEPENDENCYPART_SIBL
(15,5),(15,16),-0.0225922 # DEPENDENCYPART_SIBL
(15,5),(15,17),-0.0162231 # DEPENDENCYPART_SIBL
(15,6),(15,7),-0.0321543 # DEPENDENCYPART_SIBL
(15,6),(15,8),-0.0196493 # DEPENDENCYPART_SIBL
(15,6),(15,9),-0.0283737 # DEPENDENCYPART_SIBL
(15,6),(15,10),-0.0225661 # DEPENDENCYPART_SIBL
(15,6),(15,11),-0.0717783 # DEPENDENCYPART_SIBL
(15,6),(15,12),0.014213 # DEPENDENCYPART_SIBL
(15,6),(15,13),0.0114594 # DEPENDENCYPART_SIBL
(15,6),(15,14),-0.0717783 # DEPENDENCYPART_SIBL
(15,6),(15,16),-0.0215809 # DEPENDENCYPART_SIBL
(15,6),(15,17),-0.021888 # DEPENDENCYPART_SIBL
(15,7),(15,8),-0.0286538 # DEPENDENCYPART_SIBL
(15,7),(15,9),-0.0207388 # DEPENDENCYPART_SIBL
(15,7),(15,10),-0.0536964 # DEPENDENCYPART_SIBL
(15,7),(15,11),-0.0670174 # DEPENDENCYPART_SIBL
(15,7),(15,12),-0.00560243 # DEPENDENCYPART_SIBL
(15,7),(15,13),0.00273005 # DEPENDENCYPART_SIBL
(15,7),(15,14),-0.0670174 # DEPENDENCYPART_SIBL
(15,7),(15,16),-0.0162156 # DEPENDENCYPART_SIBL
(15,7),(15,17),0.0397015 # DEPENDENCYPART_SIBL
(15,8),(15,9),-0.0310917 # DEPENDENCYPART_SIBL
(15,8),(15,10),-0.0670716 # DEPENDENCYPART_SIBL
(15,8),(15,11),-0.0886317 # DEPENDENCYPART_SIBL
(15,8),(15,12),0.00458634 # DEPENDENCYPART_SIBL
(15,8),(15,13),-0.018483 # DEPENDENCYPART_SIBL
(15,8),(15,14),-0.0886317 # DEPENDENCYPART_SIBL
(15,8),(15,16),-0.113673 # DEPENDENCYPART_SIBL
(15,8),(15,17),-0.120414 # DEPENDENCYPART_SIBL
(15,9),(15,10),-0.020546 # DEPENDENCYPART_SIBL
(15,9),(15,11),-0.0620506 # DEPENDENCYPART_SIBL
(15,9),(15,12),0.0020563 # DEPENDENCYPART_SIBL
(15,9),(15,13),0.0037654 # DEPENDENCYPART_SIBL
(15,9),(15,14),-0.0620506 # DEPENDENCYPART_SIBL
(15,9),(15,16),-0.0432545 # DEPENDENCYPART_SIBL
(15,9),(15,17),0.0250401 # DEPENDENCYPART_SIBL
(15,10),(15,11),-0.0494634 # DEPENDENCYPART_SIBL
(15,10),(15,12),0.0125475 # DEPENDENCYPART_SIBL
(15,10),(15,13),0.0199686 # DEPENDENCYPART_SIBL
(15,10),(15,14),-0.0494634 # DEPENDENCYPART_SIBL
(15,10),(15,16),-0.00796665 # DEPENDENCYPART_SIBL
(15,10),(15,17),0.0624569 # DEPENDENCYPART_SIBL
(15,11),(15,12),-0.0901539 # DEPENDENCYPART_SIBL
(15,11),(15,13),-0.0803887 # DEPENDENCYPART_SIBL
(15,11),(15,14),-0.13427 # DEPENDENCYPART_SIBL
(15,11),(15,16),-0.0126813 # DEPENDENCYPART_SIBL
(15,11),(15,17),-0.0129663 # DEPENDENCYPART_SIBL
(15,12),(15,13),-0.0229094 # DEPENDENCYPART_SIBL
(15,12),(15,14),-0.0893678 # DEPENDENCYPART_SIBL
(15,12),(15,16),-0.00561022 # DEPENDENCYPART_SIBL
(15,12),(15,17),-0.0494144 # DEPENDENCYPART_SIBL
(15,13),(15,14),-0.0816338 # DEPENDENCYPART_SIBL
(15,13),(15,16),-0.0452895 # DEPENDENCYPART_SIBL
(15,13),(15,17),-0.0632906 # DEPENDENCYPART_SIBL
(15,14),(15,16),-0.0126813 # DEPENDENCYPART_SIBL
(15,14),(15,17),-0.0129663 # DEPENDENCYPART_SIBL
(15,16),(15,17),-0.0520466 # DEPENDENCYPART_SIBL
(16,3),(16,9),0.0444153 # DEPENDENCYPART_SIBL
(16,3),(16,11),-0.0133605 # DEPENDENCYPART_SIBL
(16,3),(16,12),0.069473 # DEPENDENCYPART_SIBL
(16,3),(16,14),-0.0133605 # DEPENDENCYPART_SIBL
(16,3),(16,15),-0.0489829 # DEPENDENCYPART_SIBL
(16,3),(16,17),0.111738 # DEPENDENCYPART_SIBL
(16,3),(16,18),-0.0219389 # DEPENDENCYPART_SIBL
(16,9),(16,11),-0.0135851 # DEPENDENCYPART_SIBL
(16,9),(16,12),0.0513817 # DEPENDENCYPART_SIBL
(16,9),(16,14),-0.0135851 # DEPENDENCYPART_SIBL
(16,9),(16,15),-0.0516043 # DEPENDENCYPART_SIBL
(16,9),(16,17),0.0408088 # DEPENDENCYPART_SIBL
(16,9),(16,18),-0.0112421 # DEPENDENCYPART_SIBL
(16,11),(16,12),-0.0292267 # DEPENDENCYPART_SIBL
(16,11),(16,14),-0.0684877 # DEPENDENCYPART_SIBL
(16,11),(16,15),-0.106715 # DEPENDENCYPART_SIBL
(16,11),(16,17),-0.00847027 # DEPENDENCYPART_SIBL
(16,11),(16,18),-0.0717264 # DEPENDENCYPART_SIBL
(16,12),(16,14),-0.0678475 # DEPENDENCYPART_SIBL
(16,12),(16,15),-0.127951 # DEPENDENCYPART_SIBL
(16,12),(16,17),0.00367186 # DEPENDENCYPART_SIBL
