# _root_ " antidemokratiko " eta " baztertzailetzat " jo zuen udalbiltza erakundea , eta haren xedeak lurraldetasuna , subiranotasuna eta eraikuntza nazionala direla azpimarratu zuen .
#goldHeads=0,4,2,8,4,4,6,13,8,11,8,11,0,15,22,19,16,19,22,19,20,23,13,23,24,
#predictedHeads=0,4,2,8,4,8,6,13,8,11,8,11,0,15,22,19,16,19,22,19,22,23,13,23,24,
(0,17),(0,21),-0.132739 # DEPENDENCYPART_SIBL
(0,17),(0,22),-0.191606 # DEPENDENCYPART_SIBL
(0,17),(0,23),-0.265737 # DEPENDENCYPART_SIBL
(0,17),(0,24),-0.231843 # DEPENDENCYPART_SIBL
(0,17),(0,25),-0.340789 # DEPENDENCYPART_SIBL
(0,18),(0,19),-0.0875943 # DEPENDENCYPART_SIBL
(0,18),(0,20),0.116684 # DEPENDENCYPART_SIBL
(0,18),(0,21),0.0183951 # DEPENDENCYPART_SIBL
(0,18),(0,22),-0.0391876 # DEPENDENCYPART_SIBL
(0,18),(0,23),-0.114324 # DEPENDENCYPART_SIBL
(0,18),(0,24),-0.0808976 # DEPENDENCYPART_SIBL
(0,18),(0,25),-0.174982 # DEPENDENCYPART_SIBL
(0,19),(0,20),0.00164434 # DEPENDENCYPART_SIBL
(0,19),(0,21),0.0259329 # DEPENDENCYPART_SIBL
(0,19),(0,22),-0.0667702 # DEPENDENCYPART_SIBL
(0,19),(0,23),-0.0260641 # DEPENDENCYPART_SIBL
(0,19),(0,24),-0.0263214 # DEPENDENCYPART_SIBL
(0,19),(0,25),-0.0473547 # DEPENDENCYPART_SIBL
(0,20),(0,21),0.0451187 # DEPENDENCYPART_SIBL
(0,20),(0,22),-0.012464 # DEPENDENCYPART_SIBL
(0,20),(0,23),-0.0887545 # DEPENDENCYPART_SIBL
(0,20),(0,24),-0.054247 # DEPENDENCYPART_SIBL
(0,20),(0,25),-0.148259 # DEPENDENCYPART_SIBL
(0,21),(0,22),-0.0445277 # DEPENDENCYPART_SIBL
(0,21),(0,23),-0.0929457 # DEPENDENCYPART_SIBL
(0,21),(0,24),-0.0483271 # DEPENDENCYPART_SIBL
(0,21),(0,25),-0.0798058 # DEPENDENCYPART_SIBL
(0,22),(0,23),-0.191094 # DEPENDENCYPART_SIBL
(0,22),(0,24),-0.0881273 # DEPENDENCYPART_SIBL
(0,22),(0,25),-0.111486 # DEPENDENCYPART_SIBL
(0,23),(0,24),-0.00209609 # DEPENDENCYPART_SIBL
(0,23),(0,25),-0.0706828 # DEPENDENCYPART_SIBL
(0,24),(0,25),-0.114021 # DEPENDENCYPART_SIBL
(2,1),(2,3),-0.165457 # DEPENDENCYPART_SIBL
(2,1),(2,4),-0.0387187 # DEPENDENCYPART_SIBL
(2,1),(2,6),-0.00788309 # DEPENDENCYPART_SIBL
(2,3),(2,4),-0.0861544 # DEPENDENCYPART_SIBL
(2,3),(2,6),-0.0523114 # DEPENDENCYPART_SIBL
(2,4),(2,6),-0.0105934 # DEPENDENCYPART_SIBL
(4,2),(4,3),-0.0153747 # DEPENDENCYPART_SIBL
(4,2),(4,5),0.0811191 # DEPENDENCYPART_SIBL
(4,2),(4,6),0.260935 # DEPENDENCYPART_SIBL
(4,2),(4,8),-0.0127698 # DEPENDENCYPART_SIBL
(4,2),(4,11),0.000554116 # DEPENDENCYPART_SIBL
(4,2),(4,13),0.0239814 # DEPENDENCYPART_SIBL
(4,2),(4,16),0.000554116 # DEPENDENCYPART_SIBL
(4,2),(4,19),0.0239814 # DEPENDENCYPART_SIBL
(4,2),(4,23),-0.0250112 # DEPENDENCYPART_SIBL
(4,3),(4,5),-0.0626083 # DEPENDENCYPART_SIBL
(4,3),(4,6),-0.0150914 # DEPENDENCYPART_SIBL
(4,3),(4,8),-0.0579466 # DEPENDENCYPART_SIBL
(4,3),(4,11),-0.0464833 # DEPENDENCYPART_SIBL
(4,3),(4,13),-0.0388854 # DEPENDENCYPART_SIBL
(4,3),(4,16),-0.0464833 # DEPENDENCYPART_SIBL
(4,3),(4,19),-0.0388854 # DEPENDENCYPART_SIBL
(4,3),(4,23),-0.0832155 # DEPENDENCYPART_SIBL
(4,5),(4,6),0.0458747 # DEPENDENCYPART_SIBL
(4,5),(4,8),0.167967 # DEPENDENCYPART_SIBL
(4,5),(4,11),0.0157199 # DEPENDENCYPART_SIBL
(4,5),(4,13),-0.0193174 # DEPENDENCYPART_SIBL
(4,5),(4,16),0.0157199 # DEPENDENCYPART_SIBL
(4,5),(4,19),-0.0193174 # DEPENDENCYPART_SIBL
(4,5),(4,23),0.161572 # DEPENDENCYPART_SIBL
(4,6),(4,8),-0.184731 # DEPENDENCYPART_SIBL
(4,6),(4,11),-0.182881 # DEPENDENCYPART_SIBL
(4,6),(4,13),-0.111334 # DEPENDENCYPART_SIBL
(4,6),(4,16),-0.182881 # DEPENDENCYPART_SIBL
(4,6),(4,19),-0.111334 # DEPENDENCYPART_SIBL
(4,6),(4,23),-0.186627 # DEPENDENCYPART_SIBL
(4,8),(4,11),-0.103245 # DEPENDENCYPART_SIBL
(4,8),(4,13),-0.0170646 # DEPENDENCYPART_SIBL
(4,8),(4,16),-0.103245 # DEPENDENCYPART_SIBL
(4,8),(4,19),-0.0170646 # DEPENDENCYPART_SIBL
(4,8),(4,23),-0.121987 # DEPENDENCYPART_SIBL
(4,11),(4,13),-0.0323024 # DEPENDENCYPART_SIBL
(4,11),(4,16),-0.217701 # DEPENDENCYPART_SIBL
(4,11),(4,19),-0.0323024 # DEPENDENCYPART_SIBL
(4,11),(4,23),-0.149132 # DEPENDENCYPART_SIBL
(4,13),(4,16),-0.0640873 # DEPENDENCYPART_SIBL
(4,13),(4,19),0.0157442 # DEPENDENCYPART_SIBL
(4,13),(4,23),-0.0932993 # DEPENDENCYPART_SIBL
(4,16),(4,19),-0.0323024 # DEPENDENCYPART_SIBL
(4,16),(4,23),-0.149132 # DEPENDENCYPART_SIBL
(4,19),(4,23),-0.0932993 # DEPENDENCYPART_SIBL
(6,4),(6,5),-0.0127709 # DEPENDENCYPART_SIBL
(6,4),(6,7),0.0661199 # DEPENDENCYPART_SIBL
(6,4),(6,8),0.0475575 # DEPENDENCYPART_SIBL
(6,5),(6,7),-0.165457 # DEPENDENCYPART_SIBL
(6,5),(6,8),-0.0264134 # DEPENDENCYPART_SIBL
(6,7),(6,8),0.027017 # DEPENDENCYPART_SIBL
(7,8),(7,9),0.0226792 # DEPENDENCYPART_SIBL
(8,2),(8,4),-0.00611199 # DEPENDENCYPART_SIBL
(8,2),(8,6),0.000850945 # DEPENDENCYPART_SIBL
(8,2),(8,9),0.0227697 # DEPENDENCYPART_SIBL
(8,2),(8,10),0.00740361 # DEPENDENCYPART_SIBL
(8,2),(8,11),0.00955963 # DEPENDENCYPART_SIBL
(8,2),(8,12),0.0196322 # DEPENDENCYPART_SIBL
(8,2),(8,13),-0.0018885 # DEPENDENCYPART_SIBL
(8,2),(8,15),0.00955963 # DEPENDENCYPART_SIBL
(8,2),(8,16),0.00955963 # DEPENDENCYPART_SIBL
(8,2),(8,17),0.0196322 # DEPENDENCYPART_SIBL
(8,2),(8,18),0.00944792 # DEPENDENCYPART_SIBL
(8,2),(8,19),-0.0018885 # DEPENDENCYPART_SIBL
(8,2),(8,20),0.0168753 # DEPENDENCYPART_SIBL
(8,2),(8,22),-0.00123278 # DEPENDENCYPART_SIBL
(8,2),(8,23),0.0131602 # DEPENDENCYPART_SIBL
(8,2),(8,24),0.0227697 # DEPENDENCYPART_SIBL
(8,4),(8,6),-0.0461388 # DEPENDENCYPART_SIBL
(8,4),(8,9),-0.0449203 # DEPENDENCYPART_SIBL
(8,4),(8,10),0.0201077 # DEPENDENCYPART_SIBL
(8,4),(8,11),0.0245597 # DEPENDENCYPART_SIBL
(8,4),(8,12),0.0112081 # DEPENDENCYPART_SIBL
(8,4),(8,13),-0.00459459 # DEPENDENCYPART_SIBL
(8,4),(8,15),0.0245597 # DEPENDENCYPART_SIBL
(8,4),(8,16),0.0245597 # DEPENDENCYPART_SIBL
(8,4),(8,17),0.0112081 # DEPENDENCYPART_SIBL
(8,4),(8,18),0.0245597 # DEPENDENCYPART_SIBL
(8,4),(8,19),-0.00459459 # DEPENDENCYPART_SIBL
(8,4),(8,20),0.0540743 # DEPENDENCYPART_SIBL
(8,4),(8,22),-0.0771438 # DEPENDENCYPART_SIBL
(8,4),(8,23),-0.0055968 # DEPENDENCYPART_SIBL
(8,4),(8,24),-0.0449203 # DEPENDENCYPART_SIBL
(8,6),(8,9),0.0227697 # DEPENDENCYPART_SIBL
(8,6),(8,10),0.00740361 # DEPENDENCYPART_SIBL
(8,6),(8,11),0.00955963 # DEPENDENCYPART_SIBL
(8,6),(8,12),0.0196322 # DEPENDENCYPART_SIBL
(8,6),(8,13),-0.0018885 # DEPENDENCYPART_SIBL
(8,6),(8,15),0.00955963 # DEPENDENCYPART_SIBL
(8,6),(8,16),0.00955963 # DEPENDENCYPART_SIBL
(8,6),(8,17),0.0196322 # DEPENDENCYPART_SIBL
(8,6),(8,18),0.00944792 # DEPENDENCYPART_SIBL
(8,6),(8,19),-0.0018885 # DEPENDENCYPART_SIBL
(8,6),(8,20),0.0168753 # DEPENDENCYPART_SIBL
(8,6),(8,22),-0.00123278 # DEPENDENCYPART_SIBL
(8,6),(8,23),0.0131602 # DEPENDENCYPART_SIBL
(8,6),(8,24),0.0227697 # DEPENDENCYPART_SIBL
(8,9),(8,10),0.018214 # DEPENDENCYPART_SIBL
(8,9),(8,11),0.0190547 # DEPENDENCYPART_SIBL
(8,9),(8,12),-0.079025 # DEPENDENCYPART_SIBL
(8,9),(8,13),-0.00180144 # DEPENDENCYPART_SIBL
(8,9),(8,15),0.0190547 # DEPENDENCYPART_SIBL
(8,9),(8,16),0.0190547 # DEPENDENCYPART_SIBL
(8,9),(8,17),-0.079025 # DEPENDENCYPART_SIBL
(8,9),(8,18),0.0190547 # DEPENDENCYPART_SIBL
(8,9),(8,19),-0.00180144 # DEPENDENCYPART_SIBL
(8,9),(8,20),0.0503644 # DEPENDENCYPART_SIBL
(8,9),(8,22),-0.0287375 # DEPENDENCYPART_SIBL
(8,9),(8,23),-0.00950591 # DEPENDENCYPART_SIBL
(8,9),(8,24),-0.132643 # DEPENDENCYPART_SIBL
(8,10),(8,11),-0.0323991 # DEPENDENCYPART_SIBL
(8,10),(8,12),-0.0394725 # DEPENDENCYPART_SIBL
(8,10),(8,13),-0.0410688 # DEPENDENCYPART_SIBL
(8,10),(8,15),-0.0323991 # DEPENDENCYPART_SIBL
(8,10),(8,16),-0.0323999 # DEPENDENCYPART_SIBL
(8,10),(8,17),-0.0394725 # DEPENDENCYPART_SIBL
(8,10),(8,18),-0.0323991 # DEPENDENCYPART_SIBL
(8,10),(8,19),-0.0410688 # DEPENDENCYPART_SIBL
(8,10),(8,20),0.00490598 # DEPENDENCYPART_SIBL
(8,10),(8,22),-0.0588158 # DEPENDENCYPART_SIBL
(8,10),(8,23),-0.025656 # DEPENDENCYPART_SIBL
(8,10),(8,24),-0.03424 # DEPENDENCYPART_SIBL
(8,11),(8,12),-0.0392584 # DEPENDENCYPART_SIBL
(8,11),(8,13),-0.0407641 # DEPENDENCYPART_SIBL
(8,11),(8,15),-0.0344133 # DEPENDENCYPART_SIBL
(8,11),(8,16),-0.0344141 # DEPENDENCYPART_SIBL
(8,11),(8,17),-0.0392584 # DEPENDENCYPART_SIBL
(8,11),(8,18),-0.0344133 # DEPENDENCYPART_SIBL
(8,11),(8,19),-0.0407641 # DEPENDENCYPART_SIBL
(8,11),(8,20),0.00289174 # DEPENDENCYPART_SIBL
(8,11),(8,22),-0.0585999 # DEPENDENCYPART_SIBL
(8,11),(8,23),-0.0280384 # DEPENDENCYPART_SIBL
(8,11),(8,24),-0.0340259 # DEPENDENCYPART_SIBL
(8,12),(8,13),-0.060784 # DEPENDENCYPART_SIBL
(8,12),(8,15),-0.10676 # DEPENDENCYPART_SIBL
(8,12),(8,16),-0.10676 # DEPENDENCYPART_SIBL
(8,12),(8,17),-0.280457 # DEPENDENCYPART_SIBL
(8,12),(8,18),-0.10676 # DEPENDENCYPART_SIBL
(8,12),(8,19),-0.060784 # DEPENDENCYPART_SIBL
(8,12),(8,20),-0.0926185 # DEPENDENCYPART_SIBL
(8,12),(8,22),-0.0294142 # DEPENDENCYPART_SIBL
(8,12),(8,23),-0.0341168 # DEPENDENCYPART_SIBL
(8,12),(8,24),-0.112105 # DEPENDENCYPART_SIBL
(8,13),(8,15),-0.00704742 # DEPENDENCYPART_SIBL
(8,13),(8,16),-0.00704742 # DEPENDENCYPART_SIBL
(8,13),(8,17),-0.0187169 # DEPENDENCYPART_SIBL
(8,13),(8,18),-0.00704742 # DEPENDENCYPART_SIBL
(8,13),(8,19),-0.0288846 # DEPENDENCYPART_SIBL
(8,13),(8,20),0.00706708 # DEPENDENCYPART_SIBL
(8,13),(8,22),-0.0320218 # DEPENDENCYPART_SIBL
(8,13),(8,23),-0.0280797 # DEPENDENCYPART_SIBL
(8,13),(8,24),-0.0253057 # DEPENDENCYPART_SIBL
(8,15),(8,16),-0.0344141 # DEPENDENCYPART_SIBL
(8,15),(8,17),-0.0392584 # DEPENDENCYPART_SIBL
(8,15),(8,18),-0.0344133 # DEPENDENCYPART_SIBL
(8,15),(8,19),-0.0407641 # DEPENDENCYPART_SIBL
(8,15),(8,20),0.00289174 # DEPENDENCYPART_SIBL
(8,15),(8,22),-0.0585999 # DEPENDENCYPART_SIBL
(8,15),(8,23),-0.0280384 # DEPENDENCYPART_SIBL
(8,15),(8,24),-0.0340259 # DEPENDENCYPART_SIBL
(8,16),(8,17),-0.0392584 # DEPENDENCYPART_SIBL
(8,16),(8,18),-0.0344151 # DEPENDENCYPART_SIBL
(8,16),(8,19),-0.0407641 # DEPENDENCYPART_SIBL
(8,16),(8,20),0.00288996 # DEPENDENCYPART_SIBL
(8,16),(8,22),-0.0586006 # DEPENDENCYPART_SIBL
(8,16),(8,23),-0.0280384 # DEPENDENCYPART_SIBL
(8,16),(8,24),-0.0340277 # DEPENDENCYPART_SIBL
(8,17),(8,18),-0.10676 # DEPENDENCYPART_SIBL
(8,17),(8,19),-0.060784 # DEPENDENCYPART_SIBL
(8,17),(8,20),-0.0926185 # DEPENDENCYPART_SIBL
(8,17),(8,22),-0.0294142 # DEPENDENCYPART_SIBL
(8,17),(8,23),-0.0341168 # DEPENDENCYPART_SIBL
(8,17),(8,24),-0.112105 # DEPENDENCYPART_SIBL
(8,18),(8,19),-0.0407641 # DEPENDENCYPART_SIBL
(8,18),(8,20),0.00289144 # DEPENDENCYPART_SIBL
(8,18),(8,22),-0.0585999 # DEPENDENCYPART_SIBL
(8,18),(8,23),-0.0280384 # DEPENDENCYPART_SIBL
(8,18),(8,24),-0.0340259 # DEPENDENCYPART_SIBL
(8,19),(8,20),0.00706708 # DEPENDENCYPART_SIBL
(8,19),(8,22),-0.0320218 # DEPENDENCYPART_SIBL
(8,19),(8,23),-0.0280797 # DEPENDENCYPART_SIBL
(8,19),(8,24),-0.0253057 # DEPENDENCYPART_SIBL
(8,20),(8,22),-0.0603429 # DEPENDENCYPART_SIBL
(8,20),(8,23),-0.0317604 # DEPENDENCYPART_SIBL
(8,20),(8,24),-0.0357933 # DEPENDENCYPART_SIBL
(8,22),(8,23),-0.0314118 # DEPENDENCYPART_SIBL
(8,22),(8,24),-0.018422 # DEPENDENCYPART_SIBL
(8,23),(8,24),0.0125533 # DEPENDENCYPART_SIBL
(10,8),(10,11),-0.00469923 # DEPENDENCYPART_SIBL
(11,2),(11,4),0.0127207 # DEPENDENCYPART_SIBL
(11,2),(11,6),-0.00204744 # DEPENDENCYPART_SIBL
(11,2),(11,8),-0.0692001 # DEPENDENCYPART_SIBL
(11,2),(11,9),-0.00943204 # DEPENDENCYPART_SIBL
(11,2),(11,10),0.0156237 # DEPENDENCYPART_SIBL
(11,2),(11,12),-0.0215244 # DEPENDENCYPART_SIBL
(11,2),(11,13),0.0100007 # DEPENDENCYPART_SIBL
(11,2),(11,14),0.0134469 # DEPENDENCYPART_SIBL
(11,2),(11,22),-0.010169 # DEPENDENCYPART_SIBL
(11,2),(11,23),-0.0198244 # DEPENDENCYPART_SIBL
(11,4),(11,6),-0.043451 # DEPENDENCYPART_SIBL
(11,4),(11,8),-0.12775 # DEPENDENCYPART_SIBL
(11,4),(11,9),-0.0713148 # DEPENDENCYPART_SIBL
(11,4),(11,10),-0.108649 # DEPENDENCYPART_SIBL
(11,4),(11,12),0.051318 # DEPENDENCYPART_SIBL
(11,4),(11,13),0.0409109 # DEPENDENCYPART_SIBL
(11,4),(11,14),0.0645555 # DEPENDENCYPART_SIBL
(11,4),(11,22),-0.00557132 # DEPENDENCYPART_SIBL
(11,4),(11,23),0.00366008 # DEPENDENCYPART_SIBL
(11,6),(11,8),-0.0692001 # DEPENDENCYPART_SIBL
(11,6),(11,9),-0.00943204 # DEPENDENCYPART_SIBL
(11,6),(11,10),0.0156237 # DEPENDENCYPART_SIBL
(11,6),(11,12),-0.0215244 # DEPENDENCYPART_SIBL
(11,6),(11,13),0.0100007 # DEPENDENCYPART_SIBL
(11,6),(11,14),0.0134469 # DEPENDENCYPART_SIBL
(11,6),(11,22),-0.010169 # DEPENDENCYPART_SIBL
(11,6),(11,23),-0.0198244 # DEPENDENCYPART_SIBL
(11,8),(11,9),-0.015822 # DEPENDENCYPART_SIBL
(11,8),(11,10),0.0206551 # DEPENDENCYPART_SIBL
(11,8),(11,12),-0.00368951 # DEPENDENCYPART_SIBL
(11,8),(11,13),0.022328 # DEPENDENCYPART_SIBL
(11,8),(11,14),0.025624 # DEPENDENCYPART_SIBL
(11,8),(11,22),0.14463 # DEPENDENCYPART_SIBL
(11,8),(11,23),0.029218 # DEPENDENCYPART_SIBL
(11,9),(11,10),0.0125676 # DEPENDENCYPART_SIBL
(11,9),(11,12),0.00853163 # DEPENDENCYPART_SIBL
(11,9),(11,13),0.000859197 # DEPENDENCYPART_SIBL
(11,9),(11,14),-0.0148843 # DEPENDENCYPART_SIBL
(11,9),(11,22),0.062238 # DEPENDENCYPART_SIBL
(11,9),(11,23),0.0218674 # DEPENDENCYPART_SIBL
(11,10),(11,12),0.0449963 # DEPENDENCYPART_SIBL
(11,10),(11,13),0.00568411 # DEPENDENCYPART_SIBL
(11,10),(11,14),-0.00960532 # DEPENDENCYPART_SIBL
(11,10),(11,22),0.0286394 # DEPENDENCYPART_SIBL
(11,10),(11,23),0.0171535 # DEPENDENCYPART_SIBL
(11,12),(11,13),-0.0281902 # DEPENDENCYPART_SIBL
(11,12),(11,14),-0.0826506 # DEPENDENCYPART_SIBL
(11,12),(11,22),-0.014172 # DEPENDENCYPART_SIBL
(11,12),(11,23),-0.0299798 # DEPENDENCYPART_SIBL
(11,13),(11,14),0.0647479 # DEPENDENCYPART_SIBL
(11,13),(11,22),-0.01116 # DEPENDENCYPART_SIBL
(11,13),(11,23),-0.0232806 # DEPENDENCYPART_SIBL
(11,14),(11,22),-0.042599 # DEPENDENCYPART_SIBL
(11,14),(11,23),-0.0872366 # DEPENDENCYPART_SIBL
(11,22),(11,23),-0.0406187 # DEPENDENCYPART_SIBL
(13,4),(13,8),-0.012364 # DEPENDENCYPART_SIBL
(13,4),(13,9),-0.00302072 # DEPENDENCYPART_SIBL
(13,4),(13,10),-0.0310095 # DEPENDENCYPART_SIBL
(13,4),(13,11),-0.029788 # DEPENDENCYPART_SIBL
(13,4),(13,12),-0.0227466 # DEPENDENCYPART_SIBL
(13,4),(13,14),-0.00373435 # DEPENDENCYPART_SIBL
(13,4),(13,15),-0.0363367 # DEPENDENCYPART_SIBL
(13,4),(13,16),-0.0363367 # DEPENDENCYPART_SIBL
(13,4),(13,17),-0.0253286 # DEPENDENCYPART_SIBL
(13,4),(13,18),-0.024276 # DEPENDENCYPART_SIBL
(13,4),(13,19),0.033791 # DEPENDENCYPART_SIBL
(13,4),(13,20),-0.0253589 # DEPENDENCYPART_SIBL
(13,4),(13,22),-0.0755134 # DEPENDENCYPART_SIBL
(13,4),(13,23),-0.00384256 # DEPENDENCYPART_SIBL
(13,8),(13,9),-0.0890146 # DEPENDENCYPART_SIBL
(13,8),(13,10),-0.227523 # DEPENDENCYPART_SIBL
(13,8),(13,11),-0.225641 # DEPENDENCYPART_SIBL
(13,8),(13,12),-0.125041 # DEPENDENCYPART_SIBL
(13,8),(13,14),-0.0644028 # DEPENDENCYPART_SIBL
(13,8),(13,15),-0.133918 # DEPENDENCYPART_SIBL
(13,8),(13,16),-0.133918 # DEPENDENCYPART_SIBL
(13,8),(13,17),0.00857717 # DEPENDENCYPART_SIBL
(13,8),(13,18),-0.121857 # DEPENDENCYPART_SIBL
(13,8),(13,19),0.00361657 # DEPENDENCYPART_SIBL
(13,8),(13,20),-0.13435 # DEPENDENCYPART_SIBL
(13,8),(13,22),0.132521 # DEPENDENCYPART_SIBL
(13,8),(13,23),0.108709 # DEPENDENCYPART_SIBL
(13,9),(13,10),-0.0335197 # DEPENDENCYPART_SIBL
(13,9),(13,11),-0.0339129 # DEPENDENCYPART_SIBL
(13,9),(13,12),-0.0230394 # DEPENDENCYPART_SIBL
(13,9),(13,14),-0.0232089 # DEPENDENCYPART_SIBL
(13,9),(13,15),-0.0545928 # DEPENDENCYPART_SIBL
(13,9),(13,16),-0.0545928 # DEPENDENCYPART_SIBL
(13,9),(13,17),-0.0424032 # DEPENDENCYPART_SIBL
(13,9),(13,18),-0.0425323 # DEPENDENCYPART_SIBL
(13,9),(13,19),-0.0326175 # DEPENDENCYPART_SIBL
(13,9),(13,20),-0.0545957 # DEPENDENCYPART_SIBL
(13,9),(13,22),-0.00873581 # DEPENDENCYPART_SIBL
(13,9),(13,23),-0.0304094 # DEPENDENCYPART_SIBL
(13,10),(13,11),-0.00385256 # DEPENDENCYPART_SIBL
(13,10),(13,12),-0.0522374 # DEPENDENCYPART_SIBL
(13,10),(13,14),-0.0238383 # DEPENDENCYPART_SIBL
(13,10),(13,15),0.0589155 # DEPENDENCYPART_SIBL
(13,10),(13,16),0.0589148 # DEPENDENCYPART_SIBL
(13,10),(13,17),-0.0840569 # DEPENDENCYPART_SIBL
(13,10),(13,18),0.089402 # DEPENDENCYPART_SIBL
(13,10),(13,19),-0.00146047 # DEPENDENCYPART_SIBL
(13,10),(13,20),0.0510593 # DEPENDENCYPART_SIBL
(13,10),(13,22),-0.0811234 # DEPENDENCYPART_SIBL
(13,10),(13,23),-0.0881771 # DEPENDENCYPART_SIBL
(13,11),(13,12),-0.0518421 # DEPENDENCYPART_SIBL
(13,11),(13,14),-0.0233869 # DEPENDENCYPART_SIBL
(13,11),(13,15),0.0603005 # DEPENDENCYPART_SIBL
(13,11),(13,16),0.0602998 # DEPENDENCYPART_SIBL
(13,11),(13,17),-0.0802123 # DEPENDENCYPART_SIBL
(13,11),(13,18),0.0907871 # DEPENDENCYPART_SIBL
(13,11),(13,19),0.000114664 # DEPENDENCYPART_SIBL
(13,11),(13,20),0.0524443 # DEPENDENCYPART_SIBL
(13,11),(13,22),-0.0805991 # DEPENDENCYPART_SIBL
(13,11),(13,23),-0.0845722 # DEPENDENCYPART_SIBL
(13,12),(13,14),-0.0277065 # DEPENDENCYPART_SIBL
(13,12),(13,15),-0.0723837 # DEPENDENCYPART_SIBL
(13,12),(13,16),-0.0723837 # DEPENDENCYPART_SIBL
(13,12),(13,17),0.0253459 # DEPENDENCYPART_SIBL
(13,12),(13,18),-0.060323 # DEPENDENCYPART_SIBL
(13,12),(13,19),-0.0649103 # DEPENDENCYPART_SIBL
(13,12),(13,20),-0.072387 # DEPENDENCYPART_SIBL
(13,12),(13,22),-0.0688028 # DEPENDENCYPART_SIBL
(13,12),(13,23),-0.0890141 # DEPENDENCYPART_SIBL
(13,14),(13,15),-0.116544 # DEPENDENCYPART_SIBL
(13,14),(13,16),-0.116544 # DEPENDENCYPART_SIBL
(13,14),(13,17),-0.115585 # DEPENDENCYPART_SIBL
(13,14),(13,18),-0.116545 # DEPENDENCYPART_SIBL
(13,14),(13,19),-0.027331 # DEPENDENCYPART_SIBL
(13,14),(13,20),-0.116544 # DEPENDENCYPART_SIBL
(13,14),(13,22),-0.0644576 # DEPENDENCYPART_SIBL
(13,14),(13,23),-0.147505 # DEPENDENCYPART_SIBL
(13,15),(13,16),-0.217701 # DEPENDENCYPART_SIBL
(13,15),(13,17),-0.107775 # DEPENDENCYPART_SIBL
(13,15),(13,18),-0.217701 # DEPENDENCYPART_SIBL
(13,15),(13,19),-0.0323024 # DEPENDENCYPART_SIBL
(13,15),(13,20),-0.200093 # DEPENDENCYPART_SIBL
(13,15),(13,22),-0.0668535 # DEPENDENCYPART_SIBL
(13,15),(13,23),-0.149132 # DEPENDENCYPART_SIBL
(13,16),(13,17),-0.107775 # DEPENDENCYPART_SIBL
(13,16),(13,18),-0.217703 # DEPENDENCYPART_SIBL
(13,16),(13,19),-0.0323024 # DEPENDENCYPART_SIBL
(13,16),(13,20),-0.200094 # DEPENDENCYPART_SIBL
(13,16),(13,22),-0.0668543 # DEPENDENCYPART_SIBL
(13,16),(13,23),-0.149132 # DEPENDENCYPART_SIBL
(13,17),(13,18),-0.0273354 # DEPENDENCYPART_SIBL
(13,17),(13,19),0.0168617 # DEPENDENCYPART_SIBL
(13,17),(13,20),-0.0273345 # DEPENDENCYPART_SIBL
(13,17),(13,22),0.050644 # DEPENDENCYPART_SIBL
(13,17),(13,23),-0.00516886 # DEPENDENCYPART_SIBL
(13,18),(13,19),-0.0323024 # DEPENDENCYPART_SIBL
(13,18),(13,20),-0.200093 # DEPENDENCYPART_SIBL
(13,18),(13,22),-0.0668535 # DEPENDENCYPART_SIBL
(13,18),(13,23),-0.149132 # DEPENDENCYPART_SIBL
(13,19),(13,20),-0.0641007 # DEPENDENCYPART_SIBL
(13,19),(13,22),-0.0420799 # DEPENDENCYPART_SIBL
(13,19),(13,23),-0.0932993 # DEPENDENCYPART_SIBL
(13,20),(13,22),-0.0668535 # DEPENDENCYPART_SIBL
(13,20),(13,23),-0.150287 # DEPENDENCYPART_SIBL
(13,22),(13,23),-0.0803658 # DEPENDENCYPART_SIBL
(14,13),(14,15),0.00476482 # DEPENDENCYPART_SIBL
(14,13),(14,16),0.00476482 # DEPENDENCYPART_SIBL
(14,13),(14,23),0.00697862 # DEPENDENCYPART_SIBL
(14,15),(14,16),0.0462992 # DEPENDENCYPART_SIBL
(14,15),(14,23),-0.0221563 # DEPENDENCYPART_SIBL
(14,16),(14,23),-0.0221563 # DEPENDENCYPART_SIBL
(15,2),(15,6),-0.00204744 # DEPENDENCYPART_SIBL
(15,2),(15,10),0.0156237 # DEPENDENCYPART_SIBL
(15,2),(15,11),0.0156237 # DEPENDENCYPART_SIBL
(15,2),(15,12),-0.0260689 # DEPENDENCYPART_SIBL
(15,2),(15,13),0.0127207 # DEPENDENCYPART_SIBL
(15,2),(15,14),0.0183967 # DEPENDENCYPART_SIBL
(15,2),(15,16),-0.0357644 # DEPENDENCYPART_SIBL
(15,2),(15,17),-0.0215244 # DEPENDENCYPART_SIBL
(15,2),(15,21),0.0264775 # DEPENDENCYPART_SIBL
(15,6),(15,10),0.0156237 # DEPENDENCYPART_SIBL
(15,6),(15,11),0.0156237 # DEPENDENCYPART_SIBL
(15,6),(15,12),-0.0260689 # DEPENDENCYPART_SIBL
(15,6),(15,13),0.0127207 # DEPENDENCYPART_SIBL
(15,6),(15,14),0.0183967 # DEPENDENCYPART_SIBL
(15,6),(15,16),-0.0357644 # DEPENDENCYPART_SIBL
(15,6),(15,17),-0.0215244 # DEPENDENCYPART_SIBL
(15,6),(15,21),0.0264775 # DEPENDENCYPART_SIBL
(15,10),(15,11),-0.00690091 # DEPENDENCYPART_SIBL
