# _root_ proposamenak pse , pp eta uaren babesa jaso zuen ; eajk eta eak kontra bozkatu zuten , eta iu-eb abstenitu egin zen .
#goldHeads=8,5,2,5,15,7,8,0,8,9,12,15,12,15,18,15,16,0,20,18,20,21,22,
#predictedHeads=8,5,2,5,8,7,8,18,8,9,12,15,12,15,18,15,16,0,20,18,20,20,22,
(5,4),(5,18),-0.0116784 # DEPENDENCYPART_SIBL
(5,4),(5,20),-0.0918804 # DEPENDENCYPART_SIBL
(5,4),(5,21),-0.119303 # DEPENDENCYPART_SIBL
(5,6),(5,7),-0.219678 # DEPENDENCYPART_SIBL
(5,6),(5,8),-0.14707 # DEPENDENCYPART_SIBL
(5,6),(5,9),-0.0546883 # DEPENDENCYPART_SIBL
(5,6),(5,12),-0.0323024 # DEPENDENCYPART_SIBL
(5,6),(5,15),-0.148048 # DEPENDENCYPART_SIBL
(5,6),(5,18),-0.0323024 # DEPENDENCYPART_SIBL
(5,6),(5,20),-0.146655 # DEPENDENCYPART_SIBL
(5,6),(5,21),-0.159181 # DEPENDENCYPART_SIBL
(5,7),(5,8),-0.147071 # DEPENDENCYPART_SIBL
(5,7),(5,9),-0.0546883 # DEPENDENCYPART_SIBL
(5,7),(5,12),-0.0323024 # DEPENDENCYPART_SIBL
(5,7),(5,15),-0.148049 # DEPENDENCYPART_SIBL
(5,7),(5,18),-0.0323024 # DEPENDENCYPART_SIBL
(5,7),(5,20),-0.146656 # DEPENDENCYPART_SIBL
(5,7),(5,21),-0.159182 # DEPENDENCYPART_SIBL
(5,8),(5,9),0.0102579 # DEPENDENCYPART_SIBL
(5,8),(5,12),-0.0148716 # DEPENDENCYPART_SIBL
(5,8),(5,15),-0.1199 # DEPENDENCYPART_SIBL
(5,8),(5,18),-0.0148716 # DEPENDENCYPART_SIBL
(5,8),(5,20),-0.11854 # DEPENDENCYPART_SIBL
(5,8),(5,21),-0.0786418 # DEPENDENCYPART_SIBL
(5,9),(5,12),0.00704285 # DEPENDENCYPART_SIBL
(5,9),(5,15),-0.0592457 # DEPENDENCYPART_SIBL
(5,9),(5,18),0.00704285 # DEPENDENCYPART_SIBL
(5,9),(5,20),-0.0565285 # DEPENDENCYPART_SIBL
(5,9),(5,21),-0.033971 # DEPENDENCYPART_SIBL
(5,12),(5,15),-0.0946178 # DEPENDENCYPART_SIBL
(5,12),(5,18),0.0157442 # DEPENDENCYPART_SIBL
(5,12),(5,20),-0.0932112 # DEPENDENCYPART_SIBL
(5,12),(5,21),-0.0793325 # DEPENDENCYPART_SIBL
(5,15),(5,18),-0.0125337 # DEPENDENCYPART_SIBL
(5,15),(5,20),-0.117253 # DEPENDENCYPART_SIBL
(5,15),(5,21),-0.0773546 # DEPENDENCYPART_SIBL
(5,18),(5,20),-0.0932112 # DEPENDENCYPART_SIBL
(5,18),(5,21),-0.0793325 # DEPENDENCYPART_SIBL
(5,20),(5,21),-0.0772379 # DEPENDENCYPART_SIBL
(6,3),(6,7),-0.0562352 # DEPENDENCYPART_SIBL
(7,1),(7,2),-0.0241402 # DEPENDENCYPART_SIBL
(7,1),(7,3),-0.0326026 # DEPENDENCYPART_SIBL
(7,1),(7,4),-0.0253613 # DEPENDENCYPART_SIBL
(7,1),(7,5),0.0268829 # DEPENDENCYPART_SIBL
(7,1),(7,6),-0.0223112 # DEPENDENCYPART_SIBL
(7,1),(7,8),0.0219444 # DEPENDENCYPART_SIBL
(7,1),(7,9),0.061746 # DEPENDENCYPART_SIBL
(7,1),(7,11),-0.000544697 # DEPENDENCYPART_SIBL
(7,1),(7,13),-0.00632477 # DEPENDENCYPART_SIBL
(7,2),(7,3),-0.0326025 # DEPENDENCYPART_SIBL
(7,2),(7,4),-0.030039 # DEPENDENCYPART_SIBL
(7,2),(7,5),0.0267479 # DEPENDENCYPART_SIBL
(7,2),(7,6),-0.0279056 # DEPENDENCYPART_SIBL
(7,2),(7,8),0.0202254 # DEPENDENCYPART_SIBL
(7,2),(7,9),0.0656737 # DEPENDENCYPART_SIBL
(7,2),(7,11),-0.0080718 # DEPENDENCYPART_SIBL
(7,2),(7,13),-0.0110812 # DEPENDENCYPART_SIBL
(7,3),(7,4),-0.120724 # DEPENDENCYPART_SIBL
(7,3),(7,5),-0.0293106 # DEPENDENCYPART_SIBL
(7,3),(7,6),-0.120144 # DEPENDENCYPART_SIBL
(7,3),(7,8),-0.0383396 # DEPENDENCYPART_SIBL
(7,3),(7,9),0.0334694 # DEPENDENCYPART_SIBL
(7,3),(7,11),-0.0562735 # DEPENDENCYPART_SIBL
(7,3),(7,13),-0.056234 # DEPENDENCYPART_SIBL
(7,4),(7,5),0.0225866 # DEPENDENCYPART_SIBL
(7,4),(7,6),-0.03367 # DEPENDENCYPART_SIBL
(7,4),(7,8),0.019333 # DEPENDENCYPART_SIBL
(7,4),(7,9),0.0606757 # DEPENDENCYPART_SIBL
(7,4),(7,11),-0.00858015 # DEPENDENCYPART_SIBL
(7,4),(7,13),-0.0115896 # DEPENDENCYPART_SIBL
(7,5),(7,6),-0.11203 # DEPENDENCYPART_SIBL
(7,5),(7,8),0.00269276 # DEPENDENCYPART_SIBL
(7,5),(7,9),-0.0187221 # DEPENDENCYPART_SIBL
(7,5),(7,11),-0.0231199 # DEPENDENCYPART_SIBL
(7,5),(7,13),-0.0227625 # DEPENDENCYPART_SIBL
(7,6),(7,8),0.0202727 # DEPENDENCYPART_SIBL
(7,6),(7,9),0.0656826 # DEPENDENCYPART_SIBL
(7,6),(7,11),-0.00740355 # DEPENDENCYPART_SIBL
(7,6),(7,13),-0.010413 # DEPENDENCYPART_SIBL
(7,8),(7,9),0.0559015 # DEPENDENCYPART_SIBL
(7,8),(7,11),-0.00664038 # DEPENDENCYPART_SIBL
(7,8),(7,13),-0.00663916 # DEPENDENCYPART_SIBL
(7,9),(7,11),0.0493271 # DEPENDENCYPART_SIBL
(7,9),(7,13),0.0448745 # DEPENDENCYPART_SIBL
(7,11),(7,13),-0.00898094 # DEPENDENCYPART_SIBL
(8,1),(8,2),-0.0241331 # DEPENDENCYPART_SIBL
(8,1),(8,3),-0.0707465 # DEPENDENCYPART_SIBL
(8,1),(8,4),-0.0224872 # DEPENDENCYPART_SIBL
(8,1),(8,5),0.00821697 # DEPENDENCYPART_SIBL
(8,1),(8,6),-0.0223041 # DEPENDENCYPART_SIBL
(8,1),(8,7),-0.000402913 # DEPENDENCYPART_SIBL
(8,1),(8,9),-0.00769314 # DEPENDENCYPART_SIBL
(8,1),(8,11),-0.0560865 # DEPENDENCYPART_SIBL
(8,1),(8,12),-0.0591048 # DEPENDENCYPART_SIBL
(8,1),(8,13),-0.0645599 # DEPENDENCYPART_SIBL
(8,1),(8,14),-0.0321699 # DEPENDENCYPART_SIBL
(8,1),(8,15),-0.00605823 # DEPENDENCYPART_SIBL
(8,1),(8,16),0.0136105 # DEPENDENCYPART_SIBL
(8,1),(8,17),0.00700583 # DEPENDENCYPART_SIBL
(8,1),(8,18),-0.0591048 # DEPENDENCYPART_SIBL
(8,1),(8,19),-0.056331 # DEPENDENCYPART_SIBL
(8,1),(8,20),-0.0197996 # DEPENDENCYPART_SIBL
(8,1),(8,21),0.0386674 # DEPENDENCYPART_SIBL
(8,1),(8,22),-0.0252116 # DEPENDENCYPART_SIBL
(8,2),(8,3),-0.0750783 # DEPENDENCYPART_SIBL
(8,2),(8,4),-0.0354817 # DEPENDENCYPART_SIBL
(8,2),(8,5),0.0036151 # DEPENDENCYPART_SIBL
(8,2),(8,6),-0.0362154 # DEPENDENCYPART_SIBL
(8,2),(8,7),-0.0143142 # DEPENDENCYPART_SIBL
(8,2),(8,9),0.00138828 # DEPENDENCYPART_SIBL
(8,2),(8,11),-0.0672753 # DEPENDENCYPART_SIBL
(8,2),(8,12),-0.0578738 # DEPENDENCYPART_SIBL
(8,2),(8,13),-0.0702068 # DEPENDENCYPART_SIBL
(8,2),(8,14),-0.0308536 # DEPENDENCYPART_SIBL
(8,2),(8,15),-0.00568668 # DEPENDENCYPART_SIBL
(8,2),(8,16),0.0261964 # DEPENDENCYPART_SIBL
(8,2),(8,17),0.00338115 # DEPENDENCYPART_SIBL
(8,2),(8,18),-0.0578738 # DEPENDENCYPART_SIBL
(8,2),(8,19),-0.0619779 # DEPENDENCYPART_SIBL
(8,2),(8,20),-0.0194281 # DEPENDENCYPART_SIBL
(8,2),(8,21),0.039039 # DEPENDENCYPART_SIBL
(8,2),(8,22),-0.0164964 # DEPENDENCYPART_SIBL
(8,3),(8,4),-0.1655 # DEPENDENCYPART_SIBL
(8,3),(8,5),-0.0921329 # DEPENDENCYPART_SIBL
(8,3),(8,6),-0.166186 # DEPENDENCYPART_SIBL
(8,3),(8,7),-0.14802 # DEPENDENCYPART_SIBL
(8,3),(8,9),0.0896453 # DEPENDENCYPART_SIBL
(8,3),(8,11),-0.0179815 # DEPENDENCYPART_SIBL
(8,3),(8,12),-0.0560916 # DEPENDENCYPART_SIBL
(8,3),(8,13),-0.0167245 # DEPENDENCYPART_SIBL
(8,3),(8,14),-0.00864812 # DEPENDENCYPART_SIBL
(8,3),(8,15),0.00144545 # DEPENDENCYPART_SIBL
(8,3),(8,16),0.00809093 # DEPENDENCYPART_SIBL
(8,3),(8,17),0.0044926 # DEPENDENCYPART_SIBL
(8,3),(8,18),-0.0560916 # DEPENDENCYPART_SIBL
(8,3),(8,19),-0.0147475 # DEPENDENCYPART_SIBL
(8,3),(8,20),-0.00868978 # DEPENDENCYPART_SIBL
(8,3),(8,21),0.00412853 # DEPENDENCYPART_SIBL
(8,3),(8,22),0.03741 # DEPENDENCYPART_SIBL
(8,4),(8,5),0.00480675 # DEPENDENCYPART_SIBL
(8,4),(8,6),-0.0385756 # DEPENDENCYPART_SIBL
(8,4),(8,7),-0.0166744 # DEPENDENCYPART_SIBL
(8,4),(8,9),-0.00868413 # DEPENDENCYPART_SIBL
(8,4),(8,11),-0.0683441 # DEPENDENCYPART_SIBL
(8,4),(8,12),-0.0593278 # DEPENDENCYPART_SIBL
(8,4),(8,13),-0.0712756 # DEPENDENCYPART_SIBL
(8,4),(8,14),-0.0315335 # DEPENDENCYPART_SIBL
(8,4),(8,15),-0.00721245 # DEPENDENCYPART_SIBL
(8,4),(8,16),0.0161122 # DEPENDENCYPART_SIBL
(8,4),(8,17),0.0232002 # DEPENDENCYPART_SIBL
(8,4),(8,18),-0.0593278 # DEPENDENCYPART_SIBL
(8,4),(8,19),-0.0630468 # DEPENDENCYPART_SIBL
(8,4),(8,20),-0.0209538 # DEPENDENCYPART_SIBL
(8,4),(8,21),0.0375132 # DEPENDENCYPART_SIBL
(8,4),(8,22),-0.0265806 # DEPENDENCYPART_SIBL
(8,5),(8,6),-0.0890647 # DEPENDENCYPART_SIBL
(8,5),(8,7),-0.051193 # DEPENDENCYPART_SIBL
(8,5),(8,9),-0.0290738 # DEPENDENCYPART_SIBL
(8,5),(8,11),0.00541078 # DEPENDENCYPART_SIBL
(8,5),(8,12),-0.00108009 # DEPENDENCYPART_SIBL
(8,5),(8,13),0.00731241 # DEPENDENCYPART_SIBL
(8,5),(8,14),-0.00948984 # DEPENDENCYPART_SIBL
(8,5),(8,15),0.025357 # DEPENDENCYPART_SIBL
(8,5),(8,16),0.097333 # DEPENDENCYPART_SIBL
(8,5),(8,17),0.0283795 # DEPENDENCYPART_SIBL
(8,5),(8,18),-0.00108009 # DEPENDENCYPART_SIBL
(8,5),(8,19),0.00928222 # DEPENDENCYPART_SIBL
(8,5),(8,20),0.0168323 # DEPENDENCYPART_SIBL
(8,5),(8,21),0.0607431 # DEPENDENCYPART_SIBL
(8,5),(8,22),-0.0411867 # DEPENDENCYPART_SIBL
(8,6),(8,7),-0.00423505 # DEPENDENCYPART_SIBL
(8,6),(8,9),0.00159468 # DEPENDENCYPART_SIBL
(8,6),(8,11),-0.0664032 # DEPENDENCYPART_SIBL
(8,6),(8,12),-0.0575995 # DEPENDENCYPART_SIBL
(8,6),(8,13),-0.0693347 # DEPENDENCYPART_SIBL
(8,6),(8,14),-0.0306647 # DEPENDENCYPART_SIBL
(8,6),(8,15),-0.00540351 # DEPENDENCYPART_SIBL
(8,6),(8,16),0.026394 # DEPENDENCYPART_SIBL
(8,6),(8,17),0.00562363 # DEPENDENCYPART_SIBL
(8,6),(8,18),-0.0575995 # DEPENDENCYPART_SIBL
(8,6),(8,19),-0.0611058 # DEPENDENCYPART_SIBL
(8,6),(8,20),-0.0191449 # DEPENDENCYPART_SIBL
(8,6),(8,21),0.0393222 # DEPENDENCYPART_SIBL
(8,6),(8,22),-0.0162988 # DEPENDENCYPART_SIBL
(8,7),(8,9),0.00146344 # DEPENDENCYPART_SIBL
(8,7),(8,11),-0.0699685 # DEPENDENCYPART_SIBL
(8,7),(8,12),-0.0567552 # DEPENDENCYPART_SIBL
(8,7),(8,13),-0.0729 # DEPENDENCYPART_SIBL
(8,7),(8,14),-0.0298203 # DEPENDENCYPART_SIBL
(8,7),(8,15),-0.00112877 # DEPENDENCYPART_SIBL
(8,7),(8,16),0.0263674 # DEPENDENCYPART_SIBL
(8,7),(8,17),0.00278026 # DEPENDENCYPART_SIBL
(8,7),(8,18),-0.0567552 # DEPENDENCYPART_SIBL
(8,7),(8,19),-0.0646711 # DEPENDENCYPART_SIBL
(8,7),(8,20),-0.0148702 # DEPENDENCYPART_SIBL
(8,7),(8,21),0.0435804 # DEPENDENCYPART_SIBL
(8,7),(8,22),-0.0163254 # DEPENDENCYPART_SIBL
(8,9),(8,11),0.0262057 # DEPENDENCYPART_SIBL
(8,9),(8,12),0.00521568 # DEPENDENCYPART_SIBL
(8,9),(8,13),0.0184033 # DEPENDENCYPART_SIBL
(8,9),(8,14),0.0225968 # DEPENDENCYPART_SIBL
(8,9),(8,15),-0.0110913 # DEPENDENCYPART_SIBL
(8,9),(8,16),-0.172403 # DEPENDENCYPART_SIBL
(8,9),(8,17),-0.0708299 # DEPENDENCYPART_SIBL
(8,9),(8,18),0.00521568 # DEPENDENCYPART_SIBL
(8,9),(8,19),0.0214211 # DEPENDENCYPART_SIBL
(8,9),(8,20),-0.0110393 # DEPENDENCYPART_SIBL
(8,9),(8,21),0.0215935 # DEPENDENCYPART_SIBL
(8,9),(8,22),-0.148368 # DEPENDENCYPART_SIBL
(8,11),(8,12),-0.014668 # DEPENDENCYPART_SIBL
(8,11),(8,13),-0.0294783 # DEPENDENCYPART_SIBL
(8,11),(8,14),-0.011362 # DEPENDENCYPART_SIBL
(8,11),(8,15),-0.0299891 # DEPENDENCYPART_SIBL
(8,11),(8,16),-0.0522184 # DEPENDENCYPART_SIBL
(8,11),(8,17),-0.0354135 # DEPENDENCYPART_SIBL
(8,11),(8,18),-0.014668 # DEPENDENCYPART_SIBL
(8,11),(8,19),-0.0280381 # DEPENDENCYPART_SIBL
(8,11),(8,20),-0.0325864 # DEPENDENCYPART_SIBL
(8,11),(8,21),-0.036388 # DEPENDENCYPART_SIBL
(8,11),(8,22),-0.0339488 # DEPENDENCYPART_SIBL
(8,12),(8,13),-0.00796964 # DEPENDENCYPART_SIBL
(8,12),(8,14),0.0180184 # DEPENDENCYPART_SIBL
(8,12),(8,15),-0.0279815 # DEPENDENCYPART_SIBL
(8,12),(8,16),-0.028424 # DEPENDENCYPART_SIBL
(8,12),(8,17),-0.0174042 # DEPENDENCYPART_SIBL
(8,12),(8,18),-0.0262859 # DEPENDENCYPART_SIBL
(8,12),(8,19),-0.00653119 # DEPENDENCYPART_SIBL
(8,12),(8,20),-0.0306116 # DEPENDENCYPART_SIBL
(8,12),(8,21),-0.0130545 # DEPENDENCYPART_SIBL
(8,12),(8,22),-0.0196944 # DEPENDENCYPART_SIBL
(8,13),(8,14),-0.00693066 # DEPENDENCYPART_SIBL
(8,13),(8,15),-0.023287 # DEPENDENCYPART_SIBL
(8,13),(8,16),-0.0479866 # DEPENDENCYPART_SIBL
(8,13),(8,17),-0.0324197 # DEPENDENCYPART_SIBL
(8,13),(8,18),-0.0302514 # DEPENDENCYPART_SIBL
(8,13),(8,19),-0.0206765 # DEPENDENCYPART_SIBL
(8,13),(8,20),-0.0258843 # DEPENDENCYPART_SIBL
(8,13),(8,21),-0.0295445 # DEPENDENCYPART_SIBL
(8,13),(8,22),-0.029717 # DEPENDENCYPART_SIBL
(8,14),(8,15),-0.0200869 # DEPENDENCYPART_SIBL
(8,14),(8,16),-0.0565961 # DEPENDENCYPART_SIBL
(8,14),(8,17),-0.0609542 # DEPENDENCYPART_SIBL
(8,14),(8,18),-0.02212 # DEPENDENCYPART_SIBL
(8,14),(8,19),0.00834499 # DEPENDENCYPART_SIBL
(8,14),(8,20),-0.0227776 # DEPENDENCYPART_SIBL
(8,14),(8,21),-0.0116361 # DEPENDENCYPART_SIBL
(8,14),(8,22),-0.0373393 # DEPENDENCYPART_SIBL
(8,15),(8,16),-0.00546576 # DEPENDENCYPART_SIBL
(8,15),(8,17),-0.0512645 # DEPENDENCYPART_SIBL
(8,15),(8,18),-0.0526021 # DEPENDENCYPART_SIBL
(8,15),(8,19),-0.0517326 # DEPENDENCYPART_SIBL
(8,15),(8,20),-0.0272179 # DEPENDENCYPART_SIBL
(8,15),(8,21),-0.00811993 # DEPENDENCYPART_SIBL
(8,15),(8,22),0.0418616 # DEPENDENCYPART_SIBL
(8,16),(8,17),-0.0401214 # DEPENDENCYPART_SIBL
(8,16),(8,18),0.0387612 # DEPENDENCYPART_SIBL
(8,16),(8,19),-0.0319858 # DEPENDENCYPART_SIBL
(8,16),(8,20),-0.0101815 # DEPENDENCYPART_SIBL
(8,16),(8,21),0.0298574 # DEPENDENCYPART_SIBL
(8,16),(8,22),-0.181466 # DEPENDENCYPART_SIBL
(8,17),(8,18),-0.0549115 # DEPENDENCYPART_SIBL
(8,17),(8,19),-0.100392 # DEPENDENCYPART_SIBL
(8,17),(8,20),-0.0386727 # DEPENDENCYPART_SIBL
(8,17),(8,21),-0.0392378 # DEPENDENCYPART_SIBL
(8,17),(8,22),-0.0817938 # DEPENDENCYPART_SIBL
(8,18),(8,19),-0.00653119 # DEPENDENCYPART_SIBL
(8,18),(8,20),-0.0306116 # DEPENDENCYPART_SIBL
(8,18),(8,21),-0.0130545 # DEPENDENCYPART_SIBL
(8,18),(8,22),-0.0196944 # DEPENDENCYPART_SIBL
(8,19),(8,20),-0.0254884 # DEPENDENCYPART_SIBL
(8,19),(8,21),-0.0291486 # DEPENDENCYPART_SIBL
(8,19),(8,22),-0.0300164 # DEPENDENCYPART_SIBL
(8,20),(8,21),-0.00731369 # DEPENDENCYPART_SIBL
(8,20),(8,22),0.0439329 # DEPENDENCYPART_SIBL
(8,21),(8,22),0.269248 # DEPENDENCYPART_SIBL
(9,5),(9,6),-0.0418039 # DEPENDENCYPART_SIBL
(9,5),(9,7),-0.0319581 # DEPENDENCYPART_SIBL
(9,5),(9,10),0.0139535 # DEPENDENCYPART_SIBL
(9,5),(9,12),0.0283869 # DEPENDENCYPART_SIBL
(9,5),(9,14),-0.0180581 # DEPENDENCYPART_SIBL
(9,5),(9,16),0.0308037 # DEPENDENCYPART_SIBL
(9,5),(9,18),0.0283869 # DEPENDENCYPART_SIBL
(9,6),(9,7),0.0268281 # DEPENDENCYPART_SIBL
(9,6),(9,10),-0.0092856 # DEPENDENCYPART_SIBL
(9,6),(9,12),0.0513249 # DEPENDENCYPART_SIBL
(9,6),(9,14),0.0340102 # DEPENDENCYPART_SIBL
(9,6),(9,16),0.0603208 # DEPENDENCYPART_SIBL
(9,6),(9,18),0.0513249 # DEPENDENCYPART_SIBL
(9,7),(9,10),-0.0103344 # DEPENDENCYPART_SIBL
(9,7),(9,12),0.0513205 # DEPENDENCYPART_SIBL
(9,7),(9,14),0.0340058 # DEPENDENCYPART_SIBL
(9,7),(9,16),0.0598756 # DEPENDENCYPART_SIBL
(9,7),(9,18),0.0513205 # DEPENDENCYPART_SIBL
(9,10),(9,12),-0.0577336 # DEPENDENCYPART_SIBL
(9,10),(9,14),-0.0916299 # DEPENDENCYPART_SIBL
(9,10),(9,16),-0.0450539 # DEPENDENCYPART_SIBL
(9,10),(9,18),-0.0577336 # DEPENDENCYPART_SIBL
(9,12),(9,14),0.0149224 # DEPENDENCYPART_SIBL
(9,12),(9,16),-0.00482152 # DEPENDENCYPART_SIBL
(9,12),(9,18),0.0218288 # DEPENDENCYPART_SIBL
(9,14),(9,16),-0.0337027 # DEPENDENCYPART_SIBL
(9,14),(9,18),-0.022401 # DEPENDENCYPART_SIBL
(9,16),(9,18),0.0261498 # DEPENDENCYPART_SIBL
(10,8),(10,15),0.201161 # DEPENDENCYPART_SIBL
(10,8),(10,16),0.104137 # DEPENDENCYPART_SIBL
(10,8),(10,20),0.203532 # DEPENDENCYPART_SIBL
(10,8),(10,21),0.180935 # DEPENDENCYPART_SIBL
(10,15),(10,16),0.0228498 # DEPENDENCYPART_SIBL
(10,15),(10,20),0.00823153 # DEPENDENCYPART_SIBL
(10,15),(10,21),0.00789987 # DEPENDENCYPART_SIBL
(10,16),(10,20),-0.00604067 # DEPENDENCYPART_SIBL
(10,16),(10,21),0.00447029 # DEPENDENCYPART_SIBL
(10,20),(10,21),0.00801659 # DEPENDENCYPART_SIBL
(11,8),(11,13),-0.00422688 # DEPENDENCYPART_SIBL
(12,1),(12,2),-0.0123372 # DEPENDENCYPART_SIBL
(12,1),(12,4),-0.0273762 # DEPENDENCYPART_SIBL
(12,1),(12,5),-0.00714487 # DEPENDENCYPART_SIBL
(12,1),(12,6),-0.00319221 # DEPENDENCYPART_SIBL
(12,1),(12,7),0.0146204 # DEPENDENCYPART_SIBL
(12,1),(12,8),-0.00444392 # DEPENDENCYPART_SIBL
(12,1),(12,9),-0.00685703 # DEPENDENCYPART_SIBL
(12,1),(12,11),-0.0121516 # DEPENDENCYPART_SIBL
(12,1),(12,13),0.0526656 # DEPENDENCYPART_SIBL
(12,1),(12,14),-0.0162309 # DEPENDENCYPART_SIBL
(12,1),(12,15),-0.0779807 # DEPENDENCYPART_SIBL
(12,1),(12,16),-0.0322849 # DEPENDENCYPART_SIBL
(12,1),(12,17),-0.0789569 # DEPENDENCYPART_SIBL
(12,1),(12,18),0.000114664 # DEPENDENCYPART_SIBL
(12,1),(12,20),-0.0766299 # DEPENDENCYPART_SIBL
(12,1),(12,21),-0.104052 # DEPENDENCYPART_SIBL
(12,2),(12,4),-0.0299406 # DEPENDENCYPART_SIBL
(12,2),(12,5),-0.00697826 # DEPENDENCYPART_SIBL
(12,2),(12,6),-0.00759003 # DEPENDENCYPART_SIBL
(12,2),(12,7),0.0102226 # DEPENDENCYPART_SIBL
(12,2),(12,8),-0.00448079 # DEPENDENCYPART_SIBL
(12,2),(12,9),-0.00617188 # DEPENDENCYPART_SIBL
(12,2),(12,11),-0.0161931 # DEPENDENCYPART_SIBL
(12,2),(12,13),0.0403572 # DEPENDENCYPART_SIBL
(12,2),(12,14),-0.0224769 # DEPENDENCYPART_SIBL
(12,2),(12,15),-0.0859458 # DEPENDENCYPART_SIBL
(12,2),(12,16),-0.0328061 # DEPENDENCYPART_SIBL
(12,2),(12,17),-0.0883947 # DEPENDENCYPART_SIBL
(12,2),(12,18),-0.00621645 # DEPENDENCYPART_SIBL
(12,2),(12,20),-0.084595 # DEPENDENCYPART_SIBL
(12,2),(12,21),-0.112017 # DEPENDENCYPART_SIBL
(12,4),(12,5),-0.0067173 # DEPENDENCYPART_SIBL
(12,4),(12,6),-0.00815457 # DEPENDENCYPART_SIBL
(12,4),(12,7),0.00965808 # DEPENDENCYPART_SIBL
(12,4),(12,8),0.00310679 # DEPENDENCYPART_SIBL
(12,4),(12,9),-0.00474806 # DEPENDENCYPART_SIBL
(12,4),(12,11),-0.0167576 # DEPENDENCYPART_SIBL
(12,4),(12,13),0.0341018 # DEPENDENCYPART_SIBL
(12,4),(12,14),-0.0275532 # DEPENDENCYPART_SIBL
(12,4),(12,15),-0.0932312 # DEPENDENCYPART_SIBL
(12,4),(12,16),-0.0435615 # DEPENDENCYPART_SIBL
(12,4),(12,17),-0.0823669 # DEPENDENCYPART_SIBL
(12,4),(12,18),-0.0116784 # DEPENDENCYPART_SIBL
(12,4),(12,20),-0.0918804 # DEPENDENCYPART_SIBL
(12,4),(12,21),-0.119303 # DEPENDENCYPART_SIBL
(12,5),(12,6),-0.029788 # DEPENDENCYPART_SIBL
(12,5),(12,7),-0.0134482 # DEPENDENCYPART_SIBL
(12,5),(12,8),-0.00863445 # DEPENDENCYPART_SIBL
(12,5),(12,9),-0.00302072 # DEPENDENCYPART_SIBL
(12,5),(12,11),-0.0335276 # DEPENDENCYPART_SIBL
(12,5),(12,13),-0.0409077 # DEPENDENCYPART_SIBL
(12,5),(12,14),-0.0289247 # DEPENDENCYPART_SIBL
(12,5),(12,15),-0.00159281 # DEPENDENCYPART_SIBL
(12,5),(12,16),-0.00283079 # DEPENDENCYPART_SIBL
(12,5),(12,17),-0.0253286 # DEPENDENCYPART_SIBL
(12,5),(12,18),0.033791 # DEPENDENCYPART_SIBL
(12,5),(12,20),0.00241906 # DEPENDENCYPART_SIBL
(12,5),(12,21),-0.0152701 # DEPENDENCYPART_SIBL
(12,6),(12,7),0.0134164 # DEPENDENCYPART_SIBL
(12,6),(12,8),-0.00311599 # DEPENDENCYPART_SIBL
(12,6),(12,9),-0.00647351 # DEPENDENCYPART_SIBL
(12,6),(12,11),-0.0129993 # DEPENDENCYPART_SIBL
(12,6),(12,13),0.0485772 # DEPENDENCYPART_SIBL
(12,6),(12,14),-0.0162309 # DEPENDENCYPART_SIBL
(12,6),(12,15),-0.0796526 # DEPENDENCYPART_SIBL
(12,6),(12,16),-0.0265557 # DEPENDENCYPART_SIBL
(12,6),(12,17),-0.0802123 # DEPENDENCYPART_SIBL
(12,6),(12,18),0.000114664 # DEPENDENCYPART_SIBL
(12,6),(12,20),-0.0783019 # DEPENDENCYPART_SIBL
(12,6),(12,21),-0.105724 # DEPENDENCYPART_SIBL
(12,7),(12,8),-0.00571712 # DEPENDENCYPART_SIBL
(12,7),(12,9),-0.0064744 # DEPENDENCYPART_SIBL
(12,7),(12,11),-0.0132749 # DEPENDENCYPART_SIBL
(12,7),(12,13),0.049719 # DEPENDENCYPART_SIBL
(12,7),(12,14),-0.0151638 # DEPENDENCYPART_SIBL
(12,7),(12,15),-0.0780629 # DEPENDENCYPART_SIBL
(12,7),(12,16),-0.0259262 # DEPENDENCYPART_SIBL
(12,7),(12,17),-0.0809895 # DEPENDENCYPART_SIBL
(12,7),(12,18),0.00118178 # DEPENDENCYPART_SIBL
(12,7),(12,20),-0.0767121 # DEPENDENCYPART_SIBL
(12,7),(12,21),-0.104142 # DEPENDENCYPART_SIBL
(12,8),(12,9),-0.0840149 # DEPENDENCYPART_SIBL
(12,8),(12,11),-0.222601 # DEPENDENCYPART_SIBL
(12,8),(12,13),-0.145931 # DEPENDENCYPART_SIBL
(12,8),(12,14),-0.0162072 # DEPENDENCYPART_SIBL
(12,8),(12,15),0.0760707 # DEPENDENCYPART_SIBL
(12,8),(12,16),0.00291879 # DEPENDENCYPART_SIBL
(12,8),(12,17),-0.00361494 # DEPENDENCYPART_SIBL
(12,8),(12,18),-0.0171604 # DEPENDENCYPART_SIBL
(12,8),(12,20),0.0845422 # DEPENDENCYPART_SIBL
(12,8),(12,21),0.0446994 # DEPENDENCYPART_SIBL
(12,9),(12,11),-0.0385685 # DEPENDENCYPART_SIBL
(12,9),(12,13),-0.0595024 # DEPENDENCYPART_SIBL
(12,9),(12,14),-0.0146343 # DEPENDENCYPART_SIBL
(12,9),(12,15),-0.0241606 # DEPENDENCYPART_SIBL
(12,9),(12,16),-0.078653 # DEPENDENCYPART_SIBL
(12,9),(12,17),-0.0424032 # DEPENDENCYPART_SIBL
