# _root_ urtero bezalaxe jarri dira , ailegatu bezain agudo , plaza_erdian danborra eta turutarekin abisua emanez .
#goldHeads=3,1,0,3,4,3,6,7,8,15,12,15,12,15,3,15,
#predictedHeads=3,3,0,3,4,3,6,7,8,11,12,14,12,15,3,15,
(6,3),(6,12),-0.00947063 # DEPENDENCYPART_SIBL
(6,3),(6,13),-0.00654893 # DEPENDENCYPART_SIBL
(6,3),(6,14),-0.00654893 # DEPENDENCYPART_SIBL
(6,3),(6,15),0.00170934 # DEPENDENCYPART_SIBL
(6,4),(6,5),-0.0407068 # DEPENDENCYPART_SIBL
(6,4),(6,7),-0.00424989 # DEPENDENCYPART_SIBL
(6,4),(6,8),-0.0233488 # DEPENDENCYPART_SIBL
(6,4),(6,9),0.0617282 # DEPENDENCYPART_SIBL
(6,4),(6,10),-0.0216394 # DEPENDENCYPART_SIBL
(6,4),(6,11),-0.0155085 # DEPENDENCYPART_SIBL
(6,4),(6,12),-0.0349013 # DEPENDENCYPART_SIBL
(6,4),(6,13),-0.0216394 # DEPENDENCYPART_SIBL
(6,4),(6,14),-0.0216394 # DEPENDENCYPART_SIBL
(6,4),(6,15),0.0356872 # DEPENDENCYPART_SIBL
(6,5),(6,7),0.00491197 # DEPENDENCYPART_SIBL
(6,5),(6,8),-0.0124415 # DEPENDENCYPART_SIBL
(6,5),(6,9),-0.00549256 # DEPENDENCYPART_SIBL
(6,5),(6,10),-0.00412711 # DEPENDENCYPART_SIBL
(6,5),(6,11),0.00200375 # DEPENDENCYPART_SIBL
(6,5),(6,12),-0.0462538 # DEPENDENCYPART_SIBL
(6,5),(6,13),-0.00412711 # DEPENDENCYPART_SIBL
(6,5),(6,14),-0.00412711 # DEPENDENCYPART_SIBL
(6,5),(6,15),-0.0198565 # DEPENDENCYPART_SIBL
(6,7),(6,8),-0.0260143 # DEPENDENCYPART_SIBL
(6,7),(6,9),-0.067583 # DEPENDENCYPART_SIBL
(6,7),(6,10),0.00274646 # DEPENDENCYPART_SIBL
(6,7),(6,11),0.00627026 # DEPENDENCYPART_SIBL
(6,7),(6,12),-0.0234399 # DEPENDENCYPART_SIBL
(6,7),(6,13),0.00274646 # DEPENDENCYPART_SIBL
(6,7),(6,14),0.00274646 # DEPENDENCYPART_SIBL
(6,7),(6,15),-0.0289185 # DEPENDENCYPART_SIBL
(6,8),(6,9),-0.0609212 # DEPENDENCYPART_SIBL
(6,8),(6,10),0.0110426 # DEPENDENCYPART_SIBL
(6,8),(6,11),0.0145664 # DEPENDENCYPART_SIBL
(6,8),(6,12),-0.0162387 # DEPENDENCYPART_SIBL
(6,8),(6,13),0.0110426 # DEPENDENCYPART_SIBL
(6,8),(6,14),0.0110426 # DEPENDENCYPART_SIBL
(6,8),(6,15),-0.0207258 # DEPENDENCYPART_SIBL
(6,9),(6,10),-0.0979306 # DEPENDENCYPART_SIBL
(6,9),(6,11),-0.0938192 # DEPENDENCYPART_SIBL
(6,9),(6,12),-0.0497662 # DEPENDENCYPART_SIBL
(6,9),(6,13),-0.0979306 # DEPENDENCYPART_SIBL
(6,9),(6,14),-0.0979306 # DEPENDENCYPART_SIBL
(6,9),(6,15),-0.0385085 # DEPENDENCYPART_SIBL
(6,10),(6,11),-0.00661325 # DEPENDENCYPART_SIBL
(6,10),(6,12),-0.0226699 # DEPENDENCYPART_SIBL
(6,10),(6,13),-0.016517 # DEPENDENCYPART_SIBL
(6,10),(6,14),-0.016517 # DEPENDENCYPART_SIBL
(6,10),(6,15),-0.016294 # DEPENDENCYPART_SIBL
(6,11),(6,12),-0.0226699 # DEPENDENCYPART_SIBL
(6,11),(6,13),-0.016517 # DEPENDENCYPART_SIBL
(6,11),(6,14),-0.016517 # DEPENDENCYPART_SIBL
(6,11),(6,15),-0.016294 # DEPENDENCYPART_SIBL
(6,12),(6,13),-2.13519e-06 # DEPENDENCYPART_SIBL
(6,12),(6,14),-2.13519e-06 # DEPENDENCYPART_SIBL
(6,12),(6,15),-0.0272284 # DEPENDENCYPART_SIBL
(6,13),(6,14),-0.016517 # DEPENDENCYPART_SIBL
(6,13),(6,15),-0.016294 # DEPENDENCYPART_SIBL
(6,14),(6,15),-0.016294 # DEPENDENCYPART_SIBL
(7,3),(7,6),-0.00285451 # DEPENDENCYPART_SIBL
(7,3),(7,8),-0.0044464 # DEPENDENCYPART_SIBL
(7,3),(7,9),-0.0175567 # DEPENDENCYPART_SIBL
(7,3),(7,10),-0.0327253 # DEPENDENCYPART_SIBL
(7,3),(7,11),-0.0327253 # DEPENDENCYPART_SIBL
(7,3),(7,12),0.000655497 # DEPENDENCYPART_SIBL
(7,3),(7,13),-0.0327253 # DEPENDENCYPART_SIBL
(7,3),(7,14),-0.0327253 # DEPENDENCYPART_SIBL
(7,6),(7,8),-0.00443882 # DEPENDENCYPART_SIBL
(7,6),(7,9),-0.0210725 # DEPENDENCYPART_SIBL
(7,6),(7,10),-0.0269962 # DEPENDENCYPART_SIBL
(7,6),(7,11),-0.0269962 # DEPENDENCYPART_SIBL
(7,6),(7,12),0.00142763 # DEPENDENCYPART_SIBL
(7,6),(7,13),-0.0269962 # DEPENDENCYPART_SIBL
(7,6),(7,14),-0.0269962 # DEPENDENCYPART_SIBL
(7,8),(7,9),-0.0376808 # DEPENDENCYPART_SIBL
(7,8),(7,10),0.033675 # DEPENDENCYPART_SIBL
(7,8),(7,11),0.0330875 # DEPENDENCYPART_SIBL
(7,8),(7,12),0.00877933 # DEPENDENCYPART_SIBL
(7,8),(7,13),0.033675 # DEPENDENCYPART_SIBL
(7,8),(7,14),0.033675 # DEPENDENCYPART_SIBL
(7,9),(7,10),-0.0674051 # DEPENDENCYPART_SIBL
(7,9),(7,11),-0.0674051 # DEPENDENCYPART_SIBL
(7,9),(7,12),-0.0479067 # DEPENDENCYPART_SIBL
(7,9),(7,13),-0.0674051 # DEPENDENCYPART_SIBL
(7,9),(7,14),-0.0674051 # DEPENDENCYPART_SIBL
(7,10),(7,11),0.012414 # DEPENDENCYPART_SIBL
(7,10),(7,12),0.0194806 # DEPENDENCYPART_SIBL
(7,10),(7,13),0.00965728 # DEPENDENCYPART_SIBL
(7,10),(7,14),0.00965728 # DEPENDENCYPART_SIBL
(7,11),(7,12),0.0194806 # DEPENDENCYPART_SIBL
(7,11),(7,13),0.00965728 # DEPENDENCYPART_SIBL
(7,11),(7,14),0.00965728 # DEPENDENCYPART_SIBL
(7,12),(7,13),-0.00490311 # DEPENDENCYPART_SIBL
(7,12),(7,14),-0.00490311 # DEPENDENCYPART_SIBL
(7,13),(7,14),0.00965728 # DEPENDENCYPART_SIBL
(8,6),(8,7),0.0242562 # DEPENDENCYPART_SIBL
(8,6),(8,9),-0.0208631 # DEPENDENCYPART_SIBL
(8,6),(8,10),-0.0269445 # DEPENDENCYPART_SIBL
(8,6),(8,11),-0.0269445 # DEPENDENCYPART_SIBL
(8,6),(8,12),0.0014793 # DEPENDENCYPART_SIBL
(8,6),(8,13),-0.0269445 # DEPENDENCYPART_SIBL
(8,6),(8,14),-0.0269445 # DEPENDENCYPART_SIBL
(8,7),(8,9),-0.00737772 # DEPENDENCYPART_SIBL
(8,7),(8,10),0.00129443 # DEPENDENCYPART_SIBL
(8,7),(8,11),0.00333643 # DEPENDENCYPART_SIBL
(8,7),(8,12),0.0022128 # DEPENDENCYPART_SIBL
(8,7),(8,13),0.00129443 # DEPENDENCYPART_SIBL
(8,7),(8,14),0.00129443 # DEPENDENCYPART_SIBL
(8,9),(8,10),-0.0674049 # DEPENDENCYPART_SIBL
(8,9),(8,11),-0.0674049 # DEPENDENCYPART_SIBL
(8,9),(8,12),-0.0479067 # DEPENDENCYPART_SIBL
(8,9),(8,13),-0.0674049 # DEPENDENCYPART_SIBL
(8,9),(8,14),-0.0674049 # DEPENDENCYPART_SIBL
(8,10),(8,11),0.0124143 # DEPENDENCYPART_SIBL
(8,10),(8,12),0.0194806 # DEPENDENCYPART_SIBL
(8,10),(8,13),0.00965755 # DEPENDENCYPART_SIBL
(8,10),(8,14),0.00965755 # DEPENDENCYPART_SIBL
(8,11),(8,12),0.0194806 # DEPENDENCYPART_SIBL
(8,11),(8,13),0.00965755 # DEPENDENCYPART_SIBL
(8,11),(8,14),0.00965755 # DEPENDENCYPART_SIBL
(8,12),(8,13),-0.00490284 # DEPENDENCYPART_SIBL
(8,12),(8,14),-0.00490284 # DEPENDENCYPART_SIBL
(8,13),(8,14),0.00965755 # DEPENDENCYPART_SIBL
(9,4),(9,6),0.00837453 # DEPENDENCYPART_SIBL
(9,4),(9,10),0.0309147 # DEPENDENCYPART_SIBL
(9,4),(9,15),0.13753 # DEPENDENCYPART_SIBL
(9,6),(9,10),0.0961891 # DEPENDENCYPART_SIBL
(9,6),(9,15),0.382402 # DEPENDENCYPART_SIBL
(9,10),(9,15),-0.015725 # DEPENDENCYPART_SIBL
(10,1),(10,2),0.00631799 # DEPENDENCYPART_SIBL
(10,1),(10,5),-0.0135478 # DEPENDENCYPART_SIBL
(10,1),(10,7),0.00546976 # DEPENDENCYPART_SIBL
(10,1),(10,8),0.00631799 # DEPENDENCYPART_SIBL
(10,1),(10,9),-0.0135478 # DEPENDENCYPART_SIBL
(10,1),(10,11),-0.0295665 # DEPENDENCYPART_SIBL
(10,1),(10,13),-0.0316079 # DEPENDENCYPART_SIBL
(10,1),(10,14),-0.0316079 # DEPENDENCYPART_SIBL
(10,1),(10,15),0.0181487 # DEPENDENCYPART_SIBL
(10,1),(10,16),0.0082538 # DEPENDENCYPART_SIBL
(10,2),(10,5),-0.0135478 # DEPENDENCYPART_SIBL
(10,2),(10,7),0.00546976 # DEPENDENCYPART_SIBL
(10,2),(10,8),0.00631799 # DEPENDENCYPART_SIBL
(10,2),(10,9),-0.0135478 # DEPENDENCYPART_SIBL
(10,2),(10,11),-0.0287093 # DEPENDENCYPART_SIBL
(10,2),(10,13),-0.0307507 # DEPENDENCYPART_SIBL
(10,2),(10,14),-0.0307507 # DEPENDENCYPART_SIBL
(10,2),(10,15),0.0182114 # DEPENDENCYPART_SIBL
(10,2),(10,16),0.0121605 # DEPENDENCYPART_SIBL
(10,5),(10,7),-0.0486766 # DEPENDENCYPART_SIBL
(10,5),(10,8),-0.0486766 # DEPENDENCYPART_SIBL
(10,5),(10,9),-0.0684877 # DEPENDENCYPART_SIBL
(10,5),(10,11),-0.0562274 # DEPENDENCYPART_SIBL
(10,5),(10,13),-0.0562268 # DEPENDENCYPART_SIBL
(10,5),(10,14),-0.0562268 # DEPENDENCYPART_SIBL
(10,5),(10,15),-0.0374452 # DEPENDENCYPART_SIBL
(10,5),(10,16),-0.0822575 # DEPENDENCYPART_SIBL
(10,7),(10,8),0.00477422 # DEPENDENCYPART_SIBL
(10,7),(10,9),-0.0137233 # DEPENDENCYPART_SIBL
(10,7),(10,11),-0.0215278 # DEPENDENCYPART_SIBL
(10,7),(10,13),-0.0235692 # DEPENDENCYPART_SIBL
(10,7),(10,14),-0.0235692 # DEPENDENCYPART_SIBL
(10,7),(10,15),0.0180474 # DEPENDENCYPART_SIBL
(10,7),(10,16),0.0194437 # DEPENDENCYPART_SIBL
(10,8),(10,9),-0.0135478 # DEPENDENCYPART_SIBL
(10,8),(10,11),-0.0287093 # DEPENDENCYPART_SIBL
(10,8),(10,13),-0.0307507 # DEPENDENCYPART_SIBL
(10,8),(10,14),-0.0307507 # DEPENDENCYPART_SIBL
(10,8),(10,15),0.0182114 # DEPENDENCYPART_SIBL
(10,8),(10,16),0.0121605 # DEPENDENCYPART_SIBL
(10,9),(10,11),-0.0562274 # DEPENDENCYPART_SIBL
(10,9),(10,13),-0.0562268 # DEPENDENCYPART_SIBL
(10,9),(10,14),-0.0562268 # DEPENDENCYPART_SIBL
(10,9),(10,15),-0.0374452 # DEPENDENCYPART_SIBL
(10,9),(10,16),-0.0822575 # DEPENDENCYPART_SIBL
(10,11),(10,13),-0.0073091 # DEPENDENCYPART_SIBL
(10,11),(10,14),-0.0073091 # DEPENDENCYPART_SIBL
(10,11),(10,15),-0.0358669 # DEPENDENCYPART_SIBL
(10,11),(10,16),-0.0887528 # DEPENDENCYPART_SIBL
(10,13),(10,14),-0.0073091 # DEPENDENCYPART_SIBL
(10,13),(10,15),-0.0358669 # DEPENDENCYPART_SIBL
(10,13),(10,16),-0.0887528 # DEPENDENCYPART_SIBL
(10,14),(10,15),-0.0358669 # DEPENDENCYPART_SIBL
(10,14),(10,16),-0.0887528 # DEPENDENCYPART_SIBL
(10,15),(10,16),-0.0694 # DEPENDENCYPART_SIBL
(11,1),(11,2),0.00631799 # DEPENDENCYPART_SIBL
(11,1),(11,3),-0.0430234 # DEPENDENCYPART_SIBL
(11,1),(11,5),-0.0135478 # DEPENDENCYPART_SIBL
(11,1),(11,6),-0.0395807 # DEPENDENCYPART_SIBL
(11,1),(11,7),0.00546976 # DEPENDENCYPART_SIBL
(11,1),(11,8),0.00631799 # DEPENDENCYPART_SIBL
(11,1),(11,9),-0.0135478 # DEPENDENCYPART_SIBL
(11,1),(11,10),0.0427679 # DEPENDENCYPART_SIBL
(11,1),(11,12),0.0221276 # DEPENDENCYPART_SIBL
(11,1),(11,13),-0.0316079 # DEPENDENCYPART_SIBL
(11,1),(11,16),0.0061452 # DEPENDENCYPART_SIBL
(11,2),(11,3),-0.0410731 # DEPENDENCYPART_SIBL
(11,2),(11,5),-0.0135478 # DEPENDENCYPART_SIBL
(11,2),(11,6),-0.0376304 # DEPENDENCYPART_SIBL
(11,2),(11,7),0.00546976 # DEPENDENCYPART_SIBL
(11,2),(11,8),0.00631799 # DEPENDENCYPART_SIBL
(11,2),(11,9),-0.0135478 # DEPENDENCYPART_SIBL
(11,2),(11,10),0.0427679 # DEPENDENCYPART_SIBL
(11,2),(11,12),0.0234299 # DEPENDENCYPART_SIBL
(11,2),(11,13),-0.0307507 # DEPENDENCYPART_SIBL
(11,2),(11,16),0.0100519 # DEPENDENCYPART_SIBL
(11,3),(11,5),-0.0128912 # DEPENDENCYPART_SIBL
(11,3),(11,6),-0.0404934 # DEPENDENCYPART_SIBL
(11,3),(11,7),0.0423479 # DEPENDENCYPART_SIBL
(11,3),(11,8),0.0431279 # DEPENDENCYPART_SIBL
(11,3),(11,9),-0.0128912 # DEPENDENCYPART_SIBL
(11,3),(11,10),0.021359 # DEPENDENCYPART_SIBL
(11,3),(11,12),0.0191278 # DEPENDENCYPART_SIBL
(11,3),(11,13),-0.00959486 # DEPENDENCYPART_SIBL
(11,3),(11,16),-0.0371002 # DEPENDENCYPART_SIBL
(11,5),(11,6),-0.105313 # DEPENDENCYPART_SIBL
(11,5),(11,7),-0.0486766 # DEPENDENCYPART_SIBL
(11,5),(11,8),-0.0486766 # DEPENDENCYPART_SIBL
(11,5),(11,9),-0.0684877 # DEPENDENCYPART_SIBL
(11,5),(11,10),-0.115615 # DEPENDENCYPART_SIBL
(11,5),(11,12),-0.0342394 # DEPENDENCYPART_SIBL
(11,5),(11,13),-0.0562268 # DEPENDENCYPART_SIBL
(11,5),(11,16),-0.0843661 # DEPENDENCYPART_SIBL
(11,6),(11,7),0.0425195 # DEPENDENCYPART_SIBL
(11,6),(11,8),0.0432995 # DEPENDENCYPART_SIBL
(11,6),(11,9),-0.0127215 # DEPENDENCYPART_SIBL
(11,6),(11,10),0.0276763 # DEPENDENCYPART_SIBL
(11,6),(11,12),0.023208 # DEPENDENCYPART_SIBL
(11,6),(11,13),-0.000678508 # DEPENDENCYPART_SIBL
(11,6),(11,16),-0.0392985 # DEPENDENCYPART_SIBL
(11,7),(11,8),0.00477422 # DEPENDENCYPART_SIBL
(11,7),(11,9),-0.0137233 # DEPENDENCYPART_SIBL
(11,7),(11,10),0.0423059 # DEPENDENCYPART_SIBL
(11,7),(11,12),0.0233849 # DEPENDENCYPART_SIBL
(11,7),(11,13),-0.0235692 # DEPENDENCYPART_SIBL
(11,7),(11,16),0.0173351 # DEPENDENCYPART_SIBL
(11,8),(11,9),-0.0135478 # DEPENDENCYPART_SIBL
(11,8),(11,10),0.0427679 # DEPENDENCYPART_SIBL
(11,8),(11,12),0.0234299 # DEPENDENCYPART_SIBL
(11,8),(11,13),-0.0307507 # DEPENDENCYPART_SIBL
(11,8),(11,16),0.0100519 # DEPENDENCYPART_SIBL
(11,9),(11,10),-0.115615 # DEPENDENCYPART_SIBL
(11,9),(11,12),-0.0342394 # DEPENDENCYPART_SIBL
(11,9),(11,13),-0.0562268 # DEPENDENCYPART_SIBL
(11,9),(11,16),-0.0843661 # DEPENDENCYPART_SIBL
(11,10),(11,12),0.0066875 # DEPENDENCYPART_SIBL
(11,10),(11,13),-0.00663763 # DEPENDENCYPART_SIBL
(11,10),(11,16),-0.0308042 # DEPENDENCYPART_SIBL
(11,12),(11,13),-0.00388583 # DEPENDENCYPART_SIBL
(11,12),(11,16),-0.0546885 # DEPENDENCYPART_SIBL
(11,13),(11,16),-0.0887528 # DEPENDENCYPART_SIBL
(12,1),(12,2),-0.0246162 # DEPENDENCYPART_SIBL
(12,1),(12,3),0.00400657 # DEPENDENCYPART_SIBL
(12,1),(12,6),0.0186087 # DEPENDENCYPART_SIBL
(12,1),(12,7),-0.0254657 # DEPENDENCYPART_SIBL
(12,1),(12,8),-0.0246162 # DEPENDENCYPART_SIBL
(12,1),(12,9),-0.0521659 # DEPENDENCYPART_SIBL
(12,1),(12,10),-0.0721993 # DEPENDENCYPART_SIBL
(12,1),(12,11),-0.0721993 # DEPENDENCYPART_SIBL
(12,1),(12,13),-0.000677411 # DEPENDENCYPART_SIBL
(12,1),(12,14),-0.000677411 # DEPENDENCYPART_SIBL
(12,1),(12,15),-1.35749e-05 # DEPENDENCYPART_SIBL
(12,2),(12,3),0.00595688 # DEPENDENCYPART_SIBL
(12,2),(12,6),0.020559 # DEPENDENCYPART_SIBL
(12,2),(12,7),-0.0254657 # DEPENDENCYPART_SIBL
(12,2),(12,8),-0.0246162 # DEPENDENCYPART_SIBL
(12,2),(12,9),-0.0521659 # DEPENDENCYPART_SIBL
(12,2),(12,10),-0.0721993 # DEPENDENCYPART_SIBL
(12,2),(12,11),-0.0721993 # DEPENDENCYPART_SIBL
(12,2),(12,13),0.000179808 # DEPENDENCYPART_SIBL
(12,2),(12,14),0.000179808 # DEPENDENCYPART_SIBL
(12,2),(12,15),4.92055e-05 # DEPENDENCYPART_SIBL
(12,3),(12,6),-0.00452088 # DEPENDENCYPART_SIBL
(12,3),(12,7),-0.0712545 # DEPENDENCYPART_SIBL
(12,3),(12,8),-0.0704732 # DEPENDENCYPART_SIBL
(12,3),(12,9),-0.127612 # DEPENDENCYPART_SIBL
(12,3),(12,10),-0.234586 # DEPENDENCYPART_SIBL
(12,3),(12,11),-0.234586 # DEPENDENCYPART_SIBL
(12,3),(12,13),-0.130111 # DEPENDENCYPART_SIBL
(12,3),(12,14),-0.130111 # DEPENDENCYPART_SIBL
(12,3),(12,15),0.151912 # DEPENDENCYPART_SIBL
(12,6),(12,7),-0.0728715 # DEPENDENCYPART_SIBL
(12,6),(12,8),-0.0720902 # DEPENDENCYPART_SIBL
(12,6),(12,9),-0.129231 # DEPENDENCYPART_SIBL
(12,6),(12,10),-0.227555 # DEPENDENCYPART_SIBL
(12,6),(12,11),-0.227555 # DEPENDENCYPART_SIBL
(12,6),(12,13),-0.143048 # DEPENDENCYPART_SIBL
(12,6),(12,14),-0.143048 # DEPENDENCYPART_SIBL
(12,6),(12,15),0.101184 # DEPENDENCYPART_SIBL
(12,7),(12,8),-0.0261856 # DEPENDENCYPART_SIBL
(12,7),(12,9),-0.052367 # DEPENDENCYPART_SIBL
(12,7),(12,10),-0.0726868 # DEPENDENCYPART_SIBL
(12,7),(12,11),-0.0726868 # DEPENDENCYPART_SIBL
(12,7),(12,13),0.00695923 # DEPENDENCYPART_SIBL
(12,7),(12,14),0.00695923 # DEPENDENCYPART_SIBL
(12,7),(12,15),-0.000514121 # DEPENDENCYPART_SIBL
(12,8),(12,9),-0.0521659 # DEPENDENCYPART_SIBL
(12,8),(12,10),-0.0721993 # DEPENDENCYPART_SIBL
(12,8),(12,11),-0.0721993 # DEPENDENCYPART_SIBL
(12,8),(12,13),0.000179808 # DEPENDENCYPART_SIBL
(12,8),(12,14),0.000179808 # DEPENDENCYPART_SIBL
(12,8),(12,15),4.92055e-05 # DEPENDENCYPART_SIBL
(12,9),(12,10),-0.108298 # DEPENDENCYPART_SIBL
(12,9),(12,11),-0.108298 # DEPENDENCYPART_SIBL
(12,9),(12,13),-0.0723837 # DEPENDENCYPART_SIBL
(12,9),(12,14),-0.0723837 # DEPENDENCYPART_SIBL
(12,9),(12,15),-0.0681659 # DEPENDENCYPART_SIBL
(12,10),(12,11),-0.00439628 # DEPENDENCYPART_SIBL
(12,10),(12,13),0.0603005 # DEPENDENCYPART_SIBL
(12,10),(12,14),0.0603005 # DEPENDENCYPART_SIBL
(12,10),(12,15),-0.064925 # DEPENDENCYPART_SIBL
(12,11),(12,13),0.0603005 # DEPENDENCYPART_SIBL
(12,11),(12,14),0.0603005 # DEPENDENCYPART_SIBL
(12,11),(12,15),-0.064925 # DEPENDENCYPART_SIBL
(12,13),(12,14),-0.217701 # DEPENDENCYPART_SIBL
(12,13),(12,15),-0.146655 # DEPENDENCYPART_SIBL
(12,14),(12,15),-0.146655 # DEPENDENCYPART_SIBL
(13,1),(13,11),0.0427683 # DEPENDENCYPART_SIBL
(13,1),(13,12),0.0535334 # DEPENDENCYPART_SIBL
(13,1),(13,14),-0.0316079 # DEPENDENCYPART_SIBL
(13,1),(13,15),0.0181487 # DEPENDENCYPART_SIBL
(13,1),(13,16),0.0082538 # DEPENDENCYPART_SIBL
(13,11),(13,12),0.0337037 # DEPENDENCYPART_SIBL
(13,11),(13,14),-0.00621019 # DEPENDENCYPART_SIBL
(13,11),(13,15),0.0194393 # DEPENDENCYPART_SIBL
(13,11),(13,16),-0.0274133 # DEPENDENCYPART_SIBL
(13,12),(13,14),-0.0227569 # DEPENDENCYPART_SIBL
(13,12),(13,15),0.00331601 # DEPENDENCYPART_SIBL
(13,12),(13,16),-0.0591 # DEPENDENCYPART_SIBL
(13,14),(13,15),-0.0358669 # DEPENDENCYPART_SIBL
(13,14),(13,16),-0.0887528 # DEPENDENCYPART_SIBL
(13,15),(13,16),-0.0694 # DEPENDENCYPART_SIBL
(14,1),(14,2),0.00631799 # DEPENDENCYPART_SIBL
(14,1),(14,3),-0.0430234 # DEPENDENCYPART_SIBL
(14,1),(14,9),-0.0135478 # DEPENDENCYPART_SIBL
(14,1),(14,10),0.0427683 # DEPENDENCYPART_SIBL
(14,1),(14,11),0.0427683 # DEPENDENCYPART_SIBL
(14,1),(14,12),0.0535334 # DEPENDENCYPART_SIBL
(14,1),(14,13),0.0427683 # DEPENDENCYPART_SIBL
(14,1),(14,15),0.0181487 # DEPENDENCYPART_SIBL
(14,1),(14,16),0.0082538 # DEPENDENCYPART_SIBL
(14,2),(14,3),-0.041073 # DEPENDENCYPART_SIBL
(14,2),(14,9),-0.0135478 # DEPENDENCYPART_SIBL
(14,2),(14,10),0.0427683 # DEPENDENCYPART_SIBL
(14,2),(14,11),0.0427683 # DEPENDENCYPART_SIBL
(14,2),(14,12),0.0535334 # DEPENDENCYPART_SIBL
(14,2),(14,13),0.0427683 # DEPENDENCYPART_SIBL
(14,2),(14,15),0.0182114 # DEPENDENCYPART_SIBL
(14,2),(14,16),0.0121605 # DEPENDENCYPART_SIBL
(14,3),(14,9),-0.0128899 # DEPENDENCYPART_SIBL
(14,3),(14,10),0.0213612 # DEPENDENCYPART_SIBL
(14,3),(14,11),0.0213612 # DEPENDENCYPART_SIBL
(14,3),(14,12),0.0686968 # DEPENDENCYPART_SIBL
(14,3),(14,13),0.0213612 # DEPENDENCYPART_SIBL
(14,3),(14,15),0.0310204 # DEPENDENCYPART_SIBL
(14,3),(14,16),-0.0349916 # DEPENDENCYPART_SIBL
(14,9),(14,10),-0.115615 # DEPENDENCYPART_SIBL
(14,9),(14,11),-0.115615 # DEPENDENCYPART_SIBL
(14,9),(14,12),-0.029213 # DEPENDENCYPART_SIBL
(14,9),(14,13),-0.115615 # DEPENDENCYPART_SIBL
(14,9),(14,15),-0.0374452 # DEPENDENCYPART_SIBL
(14,9),(14,16),-0.0822575 # DEPENDENCYPART_SIBL
(14,10),(14,11),-0.00783131 # DEPENDENCYPART_SIBL
(14,10),(14,12),0.0337037 # DEPENDENCYPART_SIBL
(14,10),(14,13),-0.00783131 # DEPENDENCYPART_SIBL
(14,10),(14,15),0.0194393 # DEPENDENCYPART_SIBL
(14,10),(14,16),-0.0274133 # DEPENDENCYPART_SIBL
(14,11),(14,12),0.0337037 # DEPENDENCYPART_SIBL
(14,11),(14,13),-0.00783131 # DEPENDENCYPART_SIBL
(14,11),(14,15),0.0194393 # DEPENDENCYPART_SIBL
(14,11),(14,16),-0.0274133 # DEPENDENCYPART_SIBL
(14,12),(14,13),-0.107484 # DEPENDENCYPART_SIBL
(14,12),(14,15),0.00331601 # DEPENDENCYPART_SIBL
(14,12),(14,16),-0.0591 # DEPENDENCYPART_SIBL
(14,13),(14,15),0.0194393 # DEPENDENCYPART_SIBL
(14,13),(14,16),-0.0274133 # DEPENDENCYPART_SIBL
(14,15),(14,16),-0.0694 # DEPENDENCYPART_SIBL
(15,1),(15,2),-0.0415231 # DEPENDENCYPART_SIBL
(15,1),(15,3),-0.00501334 # DEPENDENCYPART_SIBL
(15,1),(15,4),0.0284576 # DEPENDENCYPART_SIBL
(15,1),(15,5),-0.0464271 # DEPENDENCYPART_SIBL
(15,1),(15,6),-0.000650894 # DEPENDENCYPART_SIBL
(15,1),(15,7),-0.0362804 # DEPENDENCYPART_SIBL
(15,1),(15,8),-0.0415231 # DEPENDENCYPART_SIBL
(15,1),(15,9),-0.0464271 # DEPENDENCYPART_SIBL
(15,1),(15,10),-0.016034 # DEPENDENCYPART_SIBL
(15,1),(15,11),-0.016034 # DEPENDENCYPART_SIBL
(15,1),(15,12),0.0148002 # DEPENDENCYPART_SIBL
(15,1),(15,13),-0.016034 # DEPENDENCYPART_SIBL
(15,1),(15,14),-0.016034 # DEPENDENCYPART_SIBL
(15,1),(15,16),0.0939187 # DEPENDENCYPART_SIBL
(15,2),(15,3),0.00083761 # DEPENDENCYPART_SIBL
(15,2),(15,4),0.0304079 # DEPENDENCYPART_SIBL
(15,2),(15,5),-0.0444768 # DEPENDENCYPART_SIBL
(15,2),(15,6),0.00520006 # DEPENDENCYPART_SIBL
(15,2),(15,7),-0.0343301 # DEPENDENCYPART_SIBL
(15,2),(15,8),-0.0395728 # DEPENDENCYPART_SIBL
(15,2),(15,9),-0.0444768 # DEPENDENCYPART_SIBL
(15,2),(15,10),-0.0140836 # DEPENDENCYPART_SIBL
(15,2),(15,11),-0.0140836 # DEPENDENCYPART_SIBL
(15,2),(15,12),0.0167506 # DEPENDENCYPART_SIBL
(15,2),(15,13),-0.0140836 # DEPENDENCYPART_SIBL
(15,2),(15,14),-0.0140836 # DEPENDENCYPART_SIBL
(15,2),(15,16),0.0967723 # DEPENDENCYPART_SIBL
(15,3),(15,4),-0.01337 # DEPENDENCYPART_SIBL
(15,3),(15,5),-0.088444 # DEPENDENCYPART_SIBL
(15,3),(15,6),-0.0299198 # DEPENDENCYPART_SIBL
(15,3),(15,7),-0.00547811 # DEPENDENCYPART_SIBL
(15,3),(15,8),-0.0108136 # DEPENDENCYPART_SIBL
(15,3),(15,9),-0.088444 # DEPENDENCYPART_SIBL
(15,3),(15,10),-0.020164 # DEPENDENCYPART_SIBL
(15,3),(15,11),-0.020164 # DEPENDENCYPART_SIBL
(15,3),(15,12),-0.00882182 # DEPENDENCYPART_SIBL
(15,3),(15,13),-0.020164 # DEPENDENCYPART_SIBL
