# _root_ hura ikustean arkitektoa izan behar_nuen burutazioa sartu zitzaion aitari , etxetxoak ganbarara bazterreratu eta traste_artean zapuztu , potortu eta hautsatu ziren arte .
#goldHeads=2,7,4,5,6,7,0,7,7,9,13,13,14,7,16,14,16,14,7,14,20,21,22,
#predictedHeads=2,5,4,5,6,7,0,7,7,9,13,13,14,7,16,14,16,19,0,19,20,20,22,
(13,8),(13,18),0.0422638 # DEPENDENCYPART_SIBL
(13,8),(13,20),0.0422638 # DEPENDENCYPART_SIBL
(13,8),(13,21),-0.0790001 # DEPENDENCYPART_SIBL
(13,8),(13,22),-0.0266614 # DEPENDENCYPART_SIBL
(13,9),(13,10),-0.0719613 # DEPENDENCYPART_SIBL
(13,9),(13,11),-0.0272028 # DEPENDENCYPART_SIBL
(13,9),(13,12),-0.02178 # DEPENDENCYPART_SIBL
(13,9),(13,14),-0.0221216 # DEPENDENCYPART_SIBL
(13,9),(13,15),-0.0201186 # DEPENDENCYPART_SIBL
(13,9),(13,16),-0.00577106 # DEPENDENCYPART_SIBL
(13,9),(13,17),0.00593605 # DEPENDENCYPART_SIBL
(13,9),(13,18),-0.00577106 # DEPENDENCYPART_SIBL
(13,9),(13,20),-0.00577106 # DEPENDENCYPART_SIBL
(13,9),(13,21),-0.0165688 # DEPENDENCYPART_SIBL
(13,9),(13,22),-0.0360376 # DEPENDENCYPART_SIBL
(13,10),(13,11),-0.174817 # DEPENDENCYPART_SIBL
(13,10),(13,12),-0.173009 # DEPENDENCYPART_SIBL
(13,10),(13,14),-0.0452097 # DEPENDENCYPART_SIBL
(13,10),(13,15),-0.00323158 # DEPENDENCYPART_SIBL
(13,10),(13,16),-0.0159077 # DEPENDENCYPART_SIBL
(13,10),(13,17),-0.00549256 # DEPENDENCYPART_SIBL
(13,10),(13,18),-0.0159077 # DEPENDENCYPART_SIBL
(13,10),(13,20),-0.0159077 # DEPENDENCYPART_SIBL
(13,10),(13,21),-0.0188516 # DEPENDENCYPART_SIBL
(13,10),(13,22),-0.015477 # DEPENDENCYPART_SIBL
(13,11),(13,12),-0.02178 # DEPENDENCYPART_SIBL
(13,11),(13,14),-0.0221216 # DEPENDENCYPART_SIBL
(13,11),(13,15),-0.0201186 # DEPENDENCYPART_SIBL
(13,11),(13,16),-0.00577106 # DEPENDENCYPART_SIBL
(13,11),(13,17),0.00593605 # DEPENDENCYPART_SIBL
(13,11),(13,18),-0.00577106 # DEPENDENCYPART_SIBL
(13,11),(13,20),-0.00577106 # DEPENDENCYPART_SIBL
(13,11),(13,21),-0.0165688 # DEPENDENCYPART_SIBL
(13,11),(13,22),-0.0360376 # DEPENDENCYPART_SIBL
(13,12),(13,14),-0.00930898 # DEPENDENCYPART_SIBL
(13,12),(13,15),-0.017043 # DEPENDENCYPART_SIBL
(13,12),(13,16),-0.00269087 # DEPENDENCYPART_SIBL
(13,12),(13,17),0.00901624 # DEPENDENCYPART_SIBL
(13,12),(13,18),-0.00269087 # DEPENDENCYPART_SIBL
(13,12),(13,20),-0.00269087 # DEPENDENCYPART_SIBL
(13,12),(13,21),-0.0121991 # DEPENDENCYPART_SIBL
(13,12),(13,22),-0.032962 # DEPENDENCYPART_SIBL
(13,14),(13,15),0.00258793 # DEPENDENCYPART_SIBL
(13,14),(13,16),-0.0256127 # DEPENDENCYPART_SIBL
(13,14),(13,17),-0.0146065 # DEPENDENCYPART_SIBL
(13,14),(13,18),-0.0256127 # DEPENDENCYPART_SIBL
(13,14),(13,20),-0.0256127 # DEPENDENCYPART_SIBL
(13,14),(13,21),-0.0231296 # DEPENDENCYPART_SIBL
(13,14),(13,22),-0.0247204 # DEPENDENCYPART_SIBL
(13,15),(13,16),-0.0153158 # DEPENDENCYPART_SIBL
(13,15),(13,17),-0.0287287 # DEPENDENCYPART_SIBL
(13,15),(13,18),-0.0153158 # DEPENDENCYPART_SIBL
(13,15),(13,20),-0.0153158 # DEPENDENCYPART_SIBL
(13,15),(13,21),-0.0338793 # DEPENDENCYPART_SIBL
(13,15),(13,22),-0.0445608 # DEPENDENCYPART_SIBL
(13,16),(13,17),-0.0484521 # DEPENDENCYPART_SIBL
(13,16),(13,18),-0.0220715 # DEPENDENCYPART_SIBL
(13,16),(13,20),-0.0220715 # DEPENDENCYPART_SIBL
(13,16),(13,21),0.00829476 # DEPENDENCYPART_SIBL
(13,16),(13,22),-0.0747446 # DEPENDENCYPART_SIBL
(13,17),(13,18),-0.038407 # DEPENDENCYPART_SIBL
(13,17),(13,20),-0.038407 # DEPENDENCYPART_SIBL
(13,17),(13,21),-0.0846646 # DEPENDENCYPART_SIBL
(13,17),(13,22),-0.124273 # DEPENDENCYPART_SIBL
(13,18),(13,20),-0.0220715 # DEPENDENCYPART_SIBL
(13,18),(13,21),0.00829476 # DEPENDENCYPART_SIBL
(13,18),(13,22),-0.0747446 # DEPENDENCYPART_SIBL
(13,20),(13,21),0.00829476 # DEPENDENCYPART_SIBL
(13,20),(13,22),-0.0747446 # DEPENDENCYPART_SIBL
(13,21),(13,22),-0.0552493 # DEPENDENCYPART_SIBL
(14,2),(14,3),-0.222961 # DEPENDENCYPART_SIBL
(14,2),(14,4),-0.0427479 # DEPENDENCYPART_SIBL
(14,2),(14,5),-0.0258833 # DEPENDENCYPART_SIBL
(14,2),(14,6),-0.222961 # DEPENDENCYPART_SIBL
(14,2),(14,7),-0.0158806 # DEPENDENCYPART_SIBL
(14,2),(14,9),-0.222961 # DEPENDENCYPART_SIBL
(14,2),(14,10),-0.12681 # DEPENDENCYPART_SIBL
(14,2),(14,11),-0.222961 # DEPENDENCYPART_SIBL
(14,2),(14,12),-0.222961 # DEPENDENCYPART_SIBL
(14,2),(14,13),-0.0258833 # DEPENDENCYPART_SIBL
(14,2),(14,15),-0.141498 # DEPENDENCYPART_SIBL
(14,2),(14,16),0.0699032 # DEPENDENCYPART_SIBL
(14,2),(14,17),-0.00804453 # DEPENDENCYPART_SIBL
(14,2),(14,18),0.0699032 # DEPENDENCYPART_SIBL
(14,2),(14,19),-0.0122377 # DEPENDENCYPART_SIBL
(14,2),(14,20),0.0699032 # DEPENDENCYPART_SIBL
(14,2),(14,22),-0.145599 # DEPENDENCYPART_SIBL
(14,3),(14,4),0.00351836 # DEPENDENCYPART_SIBL
(14,3),(14,5),0.000362169 # DEPENDENCYPART_SIBL
(14,3),(14,6),-0.00439628 # DEPENDENCYPART_SIBL
(14,3),(14,7),0.0132295 # DEPENDENCYPART_SIBL
(14,3),(14,9),-0.00439628 # DEPENDENCYPART_SIBL
(14,3),(14,10),-0.0518421 # DEPENDENCYPART_SIBL
(14,3),(14,11),-0.00439628 # DEPENDENCYPART_SIBL
(14,3),(14,12),-0.00258868 # DEPENDENCYPART_SIBL
(14,3),(14,13),0.000362169 # DEPENDENCYPART_SIBL
(14,3),(14,15),0.0603005 # DEPENDENCYPART_SIBL
(14,3),(14,16),-0.0783019 # DEPENDENCYPART_SIBL
(14,3),(14,17),-0.0802123 # DEPENDENCYPART_SIBL
(14,3),(14,18),-0.0783019 # DEPENDENCYPART_SIBL
(14,3),(14,19),0.000114664 # DEPENDENCYPART_SIBL
(14,3),(14,20),-0.0783019 # DEPENDENCYPART_SIBL
(14,3),(14,22),0.0569344 # DEPENDENCYPART_SIBL
(14,4),(14,5),-0.0372874 # DEPENDENCYPART_SIBL
(14,4),(14,6),-0.242577 # DEPENDENCYPART_SIBL
(14,4),(14,7),-0.0272846 # DEPENDENCYPART_SIBL
(14,4),(14,9),-0.242577 # DEPENDENCYPART_SIBL
(14,4),(14,10),-0.13933 # DEPENDENCYPART_SIBL
(14,4),(14,11),-0.242577 # DEPENDENCYPART_SIBL
(14,4),(14,12),-0.242577 # DEPENDENCYPART_SIBL
(14,4),(14,13),-0.0372874 # DEPENDENCYPART_SIBL
(14,4),(14,15),-0.171968 # DEPENDENCYPART_SIBL
(14,4),(14,16),0.0269399 # DEPENDENCYPART_SIBL
(14,4),(14,17),-0.0542434 # DEPENDENCYPART_SIBL
(14,4),(14,18),0.0269399 # DEPENDENCYPART_SIBL
(14,4),(14,19),-0.018213 # DEPENDENCYPART_SIBL
(14,4),(14,20),0.0269399 # DEPENDENCYPART_SIBL
(14,4),(14,22),-0.176732 # DEPENDENCYPART_SIBL
(14,5),(14,6),-0.222361 # DEPENDENCYPART_SIBL
(14,5),(14,7),-0.0143798 # DEPENDENCYPART_SIBL
(14,5),(14,9),-0.222361 # DEPENDENCYPART_SIBL
(14,5),(14,10),-0.124463 # DEPENDENCYPART_SIBL
(14,5),(14,11),-0.222361 # DEPENDENCYPART_SIBL
(14,5),(14,12),-0.222361 # DEPENDENCYPART_SIBL
(14,5),(14,13),-0.0243826 # DEPENDENCYPART_SIBL
(14,5),(14,15),-0.138392 # DEPENDENCYPART_SIBL
(14,5),(14,16),0.0756479 # DEPENDENCYPART_SIBL
(14,5),(14,17),-0.00493908 # DEPENDENCYPART_SIBL
(14,5),(14,18),0.0756479 # DEPENDENCYPART_SIBL
(14,5),(14,19),-0.00913131 # DEPENDENCYPART_SIBL
(14,5),(14,20),0.0756479 # DEPENDENCYPART_SIBL
(14,5),(14,22),-0.142493 # DEPENDENCYPART_SIBL
(14,6),(14,7),0.0132295 # DEPENDENCYPART_SIBL
(14,6),(14,9),-0.00439628 # DEPENDENCYPART_SIBL
(14,6),(14,10),-0.0518421 # DEPENDENCYPART_SIBL
(14,6),(14,11),-0.00439628 # DEPENDENCYPART_SIBL
(14,6),(14,12),-0.00258868 # DEPENDENCYPART_SIBL
(14,6),(14,13),0.000362169 # DEPENDENCYPART_SIBL
(14,6),(14,15),0.0603005 # DEPENDENCYPART_SIBL
(14,6),(14,16),-0.0783019 # DEPENDENCYPART_SIBL
(14,6),(14,17),-0.0802123 # DEPENDENCYPART_SIBL
(14,6),(14,18),-0.0783019 # DEPENDENCYPART_SIBL
(14,6),(14,19),0.000114664 # DEPENDENCYPART_SIBL
(14,6),(14,20),-0.0783019 # DEPENDENCYPART_SIBL
(14,6),(14,22),0.0569344 # DEPENDENCYPART_SIBL
(14,7),(14,9),-0.227799 # DEPENDENCYPART_SIBL
(14,7),(14,10),-0.132525 # DEPENDENCYPART_SIBL
(14,7),(14,11),-0.227799 # DEPENDENCYPART_SIBL
(14,7),(14,12),-0.227799 # DEPENDENCYPART_SIBL
(14,7),(14,13),-0.0422596 # DEPENDENCYPART_SIBL
(14,7),(14,15),-0.161181 # DEPENDENCYPART_SIBL
(14,7),(14,16),0.0952807 # DEPENDENCYPART_SIBL
(14,7),(14,17),-0.00926354 # DEPENDENCYPART_SIBL
(14,7),(14,18),0.0952807 # DEPENDENCYPART_SIBL
(14,7),(14,19),-0.0149669 # DEPENDENCYPART_SIBL
(14,7),(14,20),0.0952807 # DEPENDENCYPART_SIBL
(14,7),(14,22),-0.165281 # DEPENDENCYPART_SIBL
(14,9),(14,10),-0.0518421 # DEPENDENCYPART_SIBL
(14,9),(14,11),-0.00439628 # DEPENDENCYPART_SIBL
(14,9),(14,12),-0.00258868 # DEPENDENCYPART_SIBL
(14,9),(14,13),0.000362169 # DEPENDENCYPART_SIBL
(14,9),(14,15),0.0603005 # DEPENDENCYPART_SIBL
(14,9),(14,16),-0.0783019 # DEPENDENCYPART_SIBL
(14,9),(14,17),-0.0802123 # DEPENDENCYPART_SIBL
(14,9),(14,18),-0.0783019 # DEPENDENCYPART_SIBL
(14,9),(14,19),0.000114664 # DEPENDENCYPART_SIBL
(14,9),(14,20),-0.0783019 # DEPENDENCYPART_SIBL
(14,9),(14,22),0.0569344 # DEPENDENCYPART_SIBL
(14,10),(14,11),-0.108298 # DEPENDENCYPART_SIBL
(14,10),(14,12),-0.108298 # DEPENDENCYPART_SIBL
(14,10),(14,13),-0.00626952 # DEPENDENCYPART_SIBL
(14,10),(14,15),-0.0723837 # DEPENDENCYPART_SIBL
(14,10),(14,16),-0.0827801 # DEPENDENCYPART_SIBL
(14,10),(14,17),0.0253459 # DEPENDENCYPART_SIBL
(14,10),(14,18),-0.0827801 # DEPENDENCYPART_SIBL
(14,10),(14,19),-0.0649103 # DEPENDENCYPART_SIBL
(14,10),(14,20),-0.0827801 # DEPENDENCYPART_SIBL
(14,10),(14,22),-0.0730127 # DEPENDENCYPART_SIBL
(14,11),(14,12),-0.00258868 # DEPENDENCYPART_SIBL
(14,11),(14,13),0.000362169 # DEPENDENCYPART_SIBL
(14,11),(14,15),0.0603005 # DEPENDENCYPART_SIBL
(14,11),(14,16),-0.0783019 # DEPENDENCYPART_SIBL
(14,11),(14,17),-0.0802123 # DEPENDENCYPART_SIBL
(14,11),(14,18),-0.0783019 # DEPENDENCYPART_SIBL
(14,11),(14,19),0.000114664 # DEPENDENCYPART_SIBL
(14,11),(14,20),-0.0783019 # DEPENDENCYPART_SIBL
(14,11),(14,22),0.0569344 # DEPENDENCYPART_SIBL
(14,12),(14,13),0.00036056 # DEPENDENCYPART_SIBL
(14,12),(14,15),0.0602775 # DEPENDENCYPART_SIBL
(14,12),(14,16),-0.0783111 # DEPENDENCYPART_SIBL
(14,12),(14,17),-0.0802215 # DEPENDENCYPART_SIBL
(14,12),(14,18),-0.0783111 # DEPENDENCYPART_SIBL
(14,12),(14,19),0.004967 # DEPENDENCYPART_SIBL
(14,12),(14,20),-0.0783111 # DEPENDENCYPART_SIBL
(14,12),(14,22),0.0569114 # DEPENDENCYPART_SIBL
(14,13),(14,15),-0.138392 # DEPENDENCYPART_SIBL
(14,13),(14,16),0.0756479 # DEPENDENCYPART_SIBL
(14,13),(14,17),-0.00493908 # DEPENDENCYPART_SIBL
(14,13),(14,18),0.0756479 # DEPENDENCYPART_SIBL
(14,13),(14,19),-0.00913131 # DEPENDENCYPART_SIBL
(14,13),(14,20),0.0756479 # DEPENDENCYPART_SIBL
(14,13),(14,22),-0.142493 # DEPENDENCYPART_SIBL
(14,15),(14,16),-0.146655 # DEPENDENCYPART_SIBL
(14,15),(14,17),-0.107775 # DEPENDENCYPART_SIBL
(14,15),(14,18),-0.146655 # DEPENDENCYPART_SIBL
(14,15),(14,19),-0.0323024 # DEPENDENCYPART_SIBL
(14,15),(14,20),-0.146655 # DEPENDENCYPART_SIBL
(14,15),(14,22),-0.219547 # DEPENDENCYPART_SIBL
(14,16),(14,17),-0.0666458 # DEPENDENCYPART_SIBL
(14,16),(14,18),-0.117136 # DEPENDENCYPART_SIBL
(14,16),(14,19),-0.0125337 # DEPENDENCYPART_SIBL
(14,16),(14,20),-0.117136 # DEPENDENCYPART_SIBL
(14,16),(14,22),-0.104284 # DEPENDENCYPART_SIBL
(14,17),(14,18),-0.0124629 # DEPENDENCYPART_SIBL
(14,17),(14,19),0.0168617 # DEPENDENCYPART_SIBL
(14,17),(14,20),-0.0124629 # DEPENDENCYPART_SIBL
(14,17),(14,22),-0.0277944 # DEPENDENCYPART_SIBL
(14,18),(14,19),-0.0125337 # DEPENDENCYPART_SIBL
(14,18),(14,20),-0.117136 # DEPENDENCYPART_SIBL
(14,18),(14,22),-0.104284 # DEPENDENCYPART_SIBL
(14,19),(14,20),-0.0932112 # DEPENDENCYPART_SIBL
(14,19),(14,22),-0.0646186 # DEPENDENCYPART_SIBL
(14,20),(14,22),-0.104284 # DEPENDENCYPART_SIBL
(15,13),(15,14),0.0701331 # DEPENDENCYPART_SIBL
(15,13),(15,16),0.0209873 # DEPENDENCYPART_SIBL
(15,13),(15,17),-0.00298676 # DEPENDENCYPART_SIBL
(15,13),(15,21),0.0650127 # DEPENDENCYPART_SIBL
(15,13),(15,23),-0.0371781 # DEPENDENCYPART_SIBL
(15,14),(15,16),0.00370084 # DEPENDENCYPART_SIBL
(15,14),(15,17),0.051318 # DEPENDENCYPART_SIBL
(15,14),(15,21),0.00380127 # DEPENDENCYPART_SIBL
(15,14),(15,23),-0.0591 # DEPENDENCYPART_SIBL
(15,16),(15,17),-0.0764692 # DEPENDENCYPART_SIBL
(15,16),(15,21),0.0165774 # DEPENDENCYPART_SIBL
(15,16),(15,23),-0.0694 # DEPENDENCYPART_SIBL
(15,17),(15,21),-0.0663159 # DEPENDENCYPART_SIBL
(15,17),(15,23),-0.224837 # DEPENDENCYPART_SIBL
(15,21),(15,23),-0.0602663 # DEPENDENCYPART_SIBL
(16,1),(16,2),0.014718 # DEPENDENCYPART_SIBL
(16,1),(16,3),0.023709 # DEPENDENCYPART_SIBL
(16,1),(16,5),0.0160254 # DEPENDENCYPART_SIBL
(16,1),(16,6),0.023709 # DEPENDENCYPART_SIBL
(16,1),(16,7),0.0251067 # DEPENDENCYPART_SIBL
(16,1),(16,8),0.0405139 # DEPENDENCYPART_SIBL
(16,1),(16,9),0.023709 # DEPENDENCYPART_SIBL
(16,1),(16,10),-0.0609633 # DEPENDENCYPART_SIBL
(16,1),(16,11),0.023709 # DEPENDENCYPART_SIBL
(16,1),(16,12),0.0255166 # DEPENDENCYPART_SIBL
(16,1),(16,13),0.0160254 # DEPENDENCYPART_SIBL
(16,1),(16,14),0.0255602 # DEPENDENCYPART_SIBL
(16,1),(16,15),0.023709 # DEPENDENCYPART_SIBL
(16,1),(16,17),0.00344271 # DEPENDENCYPART_SIBL
(16,1),(16,18),-0.0102649 # DEPENDENCYPART_SIBL
(16,1),(16,19),-0.0331988 # DEPENDENCYPART_SIBL
(16,1),(16,20),-0.0102649 # DEPENDENCYPART_SIBL
(16,1),(16,21),-0.000908211 # DEPENDENCYPART_SIBL
(16,1),(16,22),-0.0118711 # DEPENDENCYPART_SIBL
(16,2),(16,3),-0.00530508 # DEPENDENCYPART_SIBL
(16,2),(16,5),-0.0267108 # DEPENDENCYPART_SIBL
(16,2),(16,6),-0.00530508 # DEPENDENCYPART_SIBL
(16,2),(16,7),-0.0237779 # DEPENDENCYPART_SIBL
(16,2),(16,8),-0.012012 # DEPENDENCYPART_SIBL
(16,2),(16,9),-0.00530508 # DEPENDENCYPART_SIBL
(16,2),(16,10),-0.0847631 # DEPENDENCYPART_SIBL
(16,2),(16,11),-0.00530508 # DEPENDENCYPART_SIBL
(16,2),(16,12),-0.00349747 # DEPENDENCYPART_SIBL
(16,2),(16,13),-0.0267108 # DEPENDENCYPART_SIBL
(16,2),(16,14),0.000341587 # DEPENDENCYPART_SIBL
(16,2),(16,15),-0.00530508 # DEPENDENCYPART_SIBL
(16,2),(16,17),0.00129026 # DEPENDENCYPART_SIBL
(16,2),(16,18),0.0110405 # DEPENDENCYPART_SIBL
(16,2),(16,19),0.0103888 # DEPENDENCYPART_SIBL
(16,2),(16,20),0.0110405 # DEPENDENCYPART_SIBL
(16,2),(16,21),0.0773336 # DEPENDENCYPART_SIBL
(16,2),(16,22),0.00149075 # DEPENDENCYPART_SIBL
(16,3),(16,5),0.00025934 # DEPENDENCYPART_SIBL
(16,3),(16,6),-0.0272028 # DEPENDENCYPART_SIBL
(16,3),(16,7),-0.00162924 # DEPENDENCYPART_SIBL
(16,3),(16,8),0.01905 # DEPENDENCYPART_SIBL
(16,3),(16,9),-0.0272028 # DEPENDENCYPART_SIBL
(16,3),(16,10),-0.0719613 # DEPENDENCYPART_SIBL
(16,3),(16,11),-0.0272028 # DEPENDENCYPART_SIBL
(16,3),(16,12),-0.02178 # DEPENDENCYPART_SIBL
(16,3),(16,13),0.00025934 # DEPENDENCYPART_SIBL
(16,3),(16,14),0.0103114 # DEPENDENCYPART_SIBL
(16,3),(16,15),-0.0272028 # DEPENDENCYPART_SIBL
(16,3),(16,17),0.00593605 # DEPENDENCYPART_SIBL
(16,3),(16,18),-0.00577106 # DEPENDENCYPART_SIBL
(16,3),(16,19),-0.0221216 # DEPENDENCYPART_SIBL
(16,3),(16,20),-0.00577106 # DEPENDENCYPART_SIBL
(16,3),(16,21),-0.0165688 # DEPENDENCYPART_SIBL
(16,3),(16,22),-0.0360376 # DEPENDENCYPART_SIBL
(16,5),(16,6),-0.00703606 # DEPENDENCYPART_SIBL
(16,5),(16,7),-0.0252088 # DEPENDENCYPART_SIBL
(16,5),(16,8),-0.013743 # DEPENDENCYPART_SIBL
(16,5),(16,9),-0.00703606 # DEPENDENCYPART_SIBL
(16,5),(16,10),-0.0829989 # DEPENDENCYPART_SIBL
(16,5),(16,11),-0.00703606 # DEPENDENCYPART_SIBL
(16,5),(16,12),-0.00522846 # DEPENDENCYPART_SIBL
(16,5),(16,13),-0.0281416 # DEPENDENCYPART_SIBL
(16,5),(16,14),0.00272451 # DEPENDENCYPART_SIBL
(16,5),(16,15),-0.00703606 # DEPENDENCYPART_SIBL
(16,5),(16,17),-0.00472154 # DEPENDENCYPART_SIBL
(16,5),(16,18),0.00591096 # DEPENDENCYPART_SIBL
(16,5),(16,19),0.00437792 # DEPENDENCYPART_SIBL
(16,5),(16,20),0.00591096 # DEPENDENCYPART_SIBL
(16,5),(16,21),0.0652623 # DEPENDENCYPART_SIBL
(16,5),(16,22),-0.00452106 # DEPENDENCYPART_SIBL
(16,6),(16,7),-0.00162924 # DEPENDENCYPART_SIBL
(16,6),(16,8),0.01905 # DEPENDENCYPART_SIBL
(16,6),(16,9),-0.0272028 # DEPENDENCYPART_SIBL
(16,6),(16,10),-0.0719613 # DEPENDENCYPART_SIBL
(16,6),(16,11),-0.0272028 # DEPENDENCYPART_SIBL
(16,6),(16,12),-0.02178 # DEPENDENCYPART_SIBL
(16,6),(16,13),0.00025934 # DEPENDENCYPART_SIBL
(16,6),(16,14),0.0103114 # DEPENDENCYPART_SIBL
(16,6),(16,15),-0.0272028 # DEPENDENCYPART_SIBL
(16,6),(16,17),0.00593605 # DEPENDENCYPART_SIBL
(16,6),(16,18),-0.00577106 # DEPENDENCYPART_SIBL
(16,6),(16,19),-0.0221216 # DEPENDENCYPART_SIBL
(16,6),(16,20),-0.00577106 # DEPENDENCYPART_SIBL
(16,6),(16,21),-0.0165688 # DEPENDENCYPART_SIBL
(16,6),(16,22),-0.0360376 # DEPENDENCYPART_SIBL
(16,7),(16,8),-0.00947455 # DEPENDENCYPART_SIBL
(16,7),(16,9),0.0078768 # DEPENDENCYPART_SIBL
(16,7),(16,10),-0.0776202 # DEPENDENCYPART_SIBL
(16,7),(16,11),0.0078768 # DEPENDENCYPART_SIBL
(16,7),(16,12),0.00968441 # DEPENDENCYPART_SIBL
(16,7),(16,13),-0.0250584 # DEPENDENCYPART_SIBL
(16,7),(16,14),0.000290057 # DEPENDENCYPART_SIBL
(16,7),(16,15),0.0078768 # DEPENDENCYPART_SIBL
(16,7),(16,17),-0.00751029 # DEPENDENCYPART_SIBL
(16,7),(16,18),0.0121131 # DEPENDENCYPART_SIBL
(16,7),(16,19),-0.00374014 # DEPENDENCYPART_SIBL
(16,7),(16,20),0.0121131 # DEPENDENCYPART_SIBL
(16,7),(16,21),0.0588689 # DEPENDENCYPART_SIBL
(16,7),(16,22),-0.0206071 # DEPENDENCYPART_SIBL
(16,8),(16,9),-0.00589471 # DEPENDENCYPART_SIBL
(16,8),(16,10),-0.0456548 # DEPENDENCYPART_SIBL
(16,8),(16,11),-0.00589471 # DEPENDENCYPART_SIBL
(16,8),(16,12),-0.0040871 # DEPENDENCYPART_SIBL
(16,8),(16,13),-0.0247723 # DEPENDENCYPART_SIBL
(16,8),(16,14),0.0192272 # DEPENDENCYPART_SIBL
(16,8),(16,15),-0.00589471 # DEPENDENCYPART_SIBL
(16,8),(16,17),0.0365941 # DEPENDENCYPART_SIBL
(16,8),(16,18),0.0422638 # DEPENDENCYPART_SIBL
(16,8),(16,19),-0.0347612 # DEPENDENCYPART_SIBL
(16,8),(16,20),0.0422638 # DEPENDENCYPART_SIBL
(16,8),(16,21),-0.0790001 # DEPENDENCYPART_SIBL
(16,8),(16,22),-0.0266614 # DEPENDENCYPART_SIBL
(16,9),(16,10),-0.0719613 # DEPENDENCYPART_SIBL
(16,9),(16,11),-0.0272028 # DEPENDENCYPART_SIBL
(16,9),(16,12),-0.02178 # DEPENDENCYPART_SIBL
(16,9),(16,13),0.00025934 # DEPENDENCYPART_SIBL
(16,9),(16,14),0.0103114 # DEPENDENCYPART_SIBL
(16,9),(16,15),-0.0272028 # DEPENDENCYPART_SIBL
(16,9),(16,17),0.00593605 # DEPENDENCYPART_SIBL
(16,9),(16,18),-0.00577106 # DEPENDENCYPART_SIBL
(16,9),(16,19),-0.0221216 # DEPENDENCYPART_SIBL
(16,9),(16,20),-0.00577106 # DEPENDENCYPART_SIBL
(16,9),(16,21),-0.0165688 # DEPENDENCYPART_SIBL
(16,9),(16,22),-0.0360376 # DEPENDENCYPART_SIBL
(16,10),(16,11),-0.174817 # DEPENDENCYPART_SIBL
(16,10),(16,12),-0.173009 # DEPENDENCYPART_SIBL
(16,10),(16,13),-0.102649 # DEPENDENCYPART_SIBL
(16,10),(16,14),-0.0896274 # DEPENDENCYPART_SIBL
(16,10),(16,15),-0.174817 # DEPENDENCYPART_SIBL
(16,10),(16,17),-0.00549256 # DEPENDENCYPART_SIBL
(16,10),(16,18),-0.0159077 # DEPENDENCYPART_SIBL
(16,10),(16,19),-0.0452097 # DEPENDENCYPART_SIBL
(16,10),(16,20),-0.0159077 # DEPENDENCYPART_SIBL
(16,10),(16,21),-0.0188516 # DEPENDENCYPART_SIBL
(16,10),(16,22),-0.015477 # DEPENDENCYPART_SIBL
(16,11),(16,12),-0.02178 # DEPENDENCYPART_SIBL
(16,11),(16,13),0.00025934 # DEPENDENCYPART_SIBL
(16,11),(16,14),0.0103114 # DEPENDENCYPART_SIBL
(16,11),(16,15),-0.0272028 # DEPENDENCYPART_SIBL
(16,11),(16,17),0.00593605 # DEPENDENCYPART_SIBL
(16,11),(16,18),-0.00577106 # DEPENDENCYPART_SIBL
(16,11),(16,19),-0.0221216 # DEPENDENCYPART_SIBL
(16,11),(16,20),-0.00577106 # DEPENDENCYPART_SIBL
(16,11),(16,21),-0.0165688 # DEPENDENCYPART_SIBL
(16,11),(16,22),-0.0360376 # DEPENDENCYPART_SIBL
(16,12),(16,13),0.00025934 # DEPENDENCYPART_SIBL
(16,12),(16,14),0.0103098 # DEPENDENCYPART_SIBL
(16,12),(16,15),-0.0272028 # DEPENDENCYPART_SIBL
(16,12),(16,17),0.00901624 # DEPENDENCYPART_SIBL
(16,12),(16,18),-0.00269087 # DEPENDENCYPART_SIBL
(16,12),(16,19),-0.00930898 # DEPENDENCYPART_SIBL
(16,12),(16,20),-0.00269087 # DEPENDENCYPART_SIBL
(16,12),(16,21),-0.0121991 # DEPENDENCYPART_SIBL
(16,12),(16,22),-0.032962 # DEPENDENCYPART_SIBL
(16,13),(16,14),0.00272451 # DEPENDENCYPART_SIBL
(16,13),(16,15),-0.00703606 # DEPENDENCYPART_SIBL
(16,13),(16,17),-0.00472154 # DEPENDENCYPART_SIBL
(16,13),(16,18),0.00591096 # DEPENDENCYPART_SIBL
(16,13),(16,19),0.00437792 # DEPENDENCYPART_SIBL
(16,13),(16,20),0.00591096 # DEPENDENCYPART_SIBL
(16,13),(16,21),0.0652623 # DEPENDENCYPART_SIBL
(16,13),(16,22),-0.00452106 # DEPENDENCYPART_SIBL
(16,14),(16,15),-0.113468 # DEPENDENCYPART_SIBL
(16,14),(16,17),0.0109203 # DEPENDENCYPART_SIBL
(16,14),(16,18),-0.00587643 # DEPENDENCYPART_SIBL
(16,14),(16,19),0.00499384 # DEPENDENCYPART_SIBL
(16,14),(16,20),-0.00587643 # DEPENDENCYPART_SIBL
(16,14),(16,21),0.00894984 # DEPENDENCYPART_SIBL
(16,14),(16,22),0.00200455 # DEPENDENCYPART_SIBL
(16,15),(16,17),0.00593605 # DEPENDENCYPART_SIBL
(16,15),(16,18),-0.00577106 # DEPENDENCYPART_SIBL
(16,15),(16,19),-0.0221216 # DEPENDENCYPART_SIBL
(16,15),(16,20),-0.00577106 # DEPENDENCYPART_SIBL
