# _root_ - abuztuaren 9an , berriozarren espainiako ejerzitoaren_aurka armaz burututako ekintza , zeinaren ondorioz francisco_casanova vicente tenienteordea hilik gertatu zen .
#goldHeads=0,3,9,3,9,7,9,9,10,0,10,13,18,16,14,18,18,10,18,19,
#predictedHeads=0,3,18,3,9,7,8,9,10,18,10,13,18,16,14,18,18,0,18,19,
(7,6),(7,14),-0.0111797 # DEPENDENCYPART_SIBL
(7,8),(7,14),-0.0073091 # DEPENDENCYPART_SIBL
(8,2),(8,4),-0.0267607 # DEPENDENCYPART_SIBL
(8,2),(8,5),-0.00390084 # DEPENDENCYPART_SIBL
(8,2),(8,6),-0.0124277 # DEPENDENCYPART_SIBL
(8,2),(8,7),-0.00390084 # DEPENDENCYPART_SIBL
(8,2),(8,9),0.0257426 # DEPENDENCYPART_SIBL
(8,2),(8,10),-0.0192856 # DEPENDENCYPART_SIBL
(8,2),(8,11),0.0429676 # DEPENDENCYPART_SIBL
(8,2),(8,12),-0.00375834 # DEPENDENCYPART_SIBL
(8,2),(8,14),-0.00802225 # DEPENDENCYPART_SIBL
(8,2),(8,18),0.0241563 # DEPENDENCYPART_SIBL
(8,4),(8,5),-0.115615 # DEPENDENCYPART_SIBL
(8,4),(8,6),-0.118073 # DEPENDENCYPART_SIBL
(8,4),(8,7),-0.115615 # DEPENDENCYPART_SIBL
(8,4),(8,9),-0.0374452 # DEPENDENCYPART_SIBL
(8,4),(8,10),-0.0599177 # DEPENDENCYPART_SIBL
(8,4),(8,11),0.00342551 # DEPENDENCYPART_SIBL
(8,4),(8,12),-0.0144277 # DEPENDENCYPART_SIBL
(8,4),(8,14),-0.0562268 # DEPENDENCYPART_SIBL
(8,4),(8,18),-0.0378709 # DEPENDENCYPART_SIBL
(8,5),(8,6),-0.0163582 # DEPENDENCYPART_SIBL
(8,5),(8,7),-0.00783131 # DEPENDENCYPART_SIBL
(8,5),(8,9),0.0206767 # DEPENDENCYPART_SIBL
(8,5),(8,10),-0.0174735 # DEPENDENCYPART_SIBL
(8,5),(8,11),0.0483478 # DEPENDENCYPART_SIBL
(8,5),(8,12),-0.00195913 # DEPENDENCYPART_SIBL
(8,5),(8,14),-0.00621019 # DEPENDENCYPART_SIBL
(8,5),(8,18),0.0190904 # DEPENDENCYPART_SIBL
(8,6),(8,7),0.00674474 # DEPENDENCYPART_SIBL
(8,6),(8,9),0.0195933 # DEPENDENCYPART_SIBL
(8,6),(8,10),-0.0224431 # DEPENDENCYPART_SIBL
(8,6),(8,11),0.0427823 # DEPENDENCYPART_SIBL
(8,6),(8,12),0.00761241 # DEPENDENCYPART_SIBL
(8,6),(8,14),-0.0111797 # DEPENDENCYPART_SIBL
(8,6),(8,18),0.018007 # DEPENDENCYPART_SIBL
(8,7),(8,9),0.0206767 # DEPENDENCYPART_SIBL
(8,7),(8,10),-0.0174735 # DEPENDENCYPART_SIBL
(8,7),(8,11),0.0483478 # DEPENDENCYPART_SIBL
(8,7),(8,12),-0.00195913 # DEPENDENCYPART_SIBL
(8,7),(8,14),-0.00621019 # DEPENDENCYPART_SIBL
(8,7),(8,18),0.0190904 # DEPENDENCYPART_SIBL
(8,9),(8,10),-0.00906981 # DEPENDENCYPART_SIBL
(8,9),(8,11),-0.0764702 # DEPENDENCYPART_SIBL
(8,9),(8,12),0.0280319 # DEPENDENCYPART_SIBL
(8,9),(8,14),-0.00638413 # DEPENDENCYPART_SIBL
(8,9),(8,18),-0.0116259 # DEPENDENCYPART_SIBL
(8,10),(8,11),-0.0817544 # DEPENDENCYPART_SIBL
(8,10),(8,12),0.00235399 # DEPENDENCYPART_SIBL
(8,10),(8,14),-0.00912035 # DEPENDENCYPART_SIBL
(8,10),(8,18),-0.0385391 # DEPENDENCYPART_SIBL
(8,11),(8,12),-0.0794997 # DEPENDENCYPART_SIBL
(8,11),(8,14),-0.049334 # DEPENDENCYPART_SIBL
(8,11),(8,18),-0.0363932 # DEPENDENCYPART_SIBL
(8,12),(8,14),-0.00916667 # DEPENDENCYPART_SIBL
(8,12),(8,18),-0.0862978 # DEPENDENCYPART_SIBL
(8,14),(8,18),-0.0376243 # DEPENDENCYPART_SIBL
(9,2),(9,3),-0.00324221 # DEPENDENCYPART_SIBL
(9,2),(9,4),-0.0592106 # DEPENDENCYPART_SIBL
(9,2),(9,5),-0.00324221 # DEPENDENCYPART_SIBL
(9,2),(9,6),-0.0102969 # DEPENDENCYPART_SIBL
(9,2),(9,7),-0.00324221 # DEPENDENCYPART_SIBL
(9,2),(9,8),-0.00324221 # DEPENDENCYPART_SIBL
(9,2),(9,10),-0.0425104 # DEPENDENCYPART_SIBL
(9,2),(9,11),0.0109644 # DEPENDENCYPART_SIBL
(9,2),(9,13),0.00821679 # DEPENDENCYPART_SIBL
(9,2),(9,14),-0.013341 # DEPENDENCYPART_SIBL
(9,2),(9,15),-0.013341 # DEPENDENCYPART_SIBL
(9,2),(9,16),-0.013341 # DEPENDENCYPART_SIBL
(9,2),(9,17),-0.0181275 # DEPENDENCYPART_SIBL
(9,2),(9,18),0.0139852 # DEPENDENCYPART_SIBL
(9,2),(9,19),0.000987045 # DEPENDENCYPART_SIBL
(9,3),(9,4),-0.0719613 # DEPENDENCYPART_SIBL
(9,3),(9,5),-0.0272028 # DEPENDENCYPART_SIBL
(9,3),(9,6),-0.0342575 # DEPENDENCYPART_SIBL
(9,3),(9,7),-0.0272028 # DEPENDENCYPART_SIBL
(9,3),(9,8),-0.0272028 # DEPENDENCYPART_SIBL
(9,3),(9,10),-0.0493315 # DEPENDENCYPART_SIBL
(9,3),(9,11),0.00591418 # DEPENDENCYPART_SIBL
(9,3),(9,13),0.00139572 # DEPENDENCYPART_SIBL
(9,3),(9,14),-0.020162 # DEPENDENCYPART_SIBL
(9,3),(9,15),-0.020162 # DEPENDENCYPART_SIBL
(9,3),(9,16),-0.020162 # DEPENDENCYPART_SIBL
(9,3),(9,17),-0.0249692 # DEPENDENCYPART_SIBL
(9,3),(9,18),-0.00658851 # DEPENDENCYPART_SIBL
(9,3),(9,19),-0.00583807 # DEPENDENCYPART_SIBL
(9,4),(9,5),-0.174817 # DEPENDENCYPART_SIBL
(9,4),(9,6),-0.177261 # DEPENDENCYPART_SIBL
(9,4),(9,7),-0.174817 # DEPENDENCYPART_SIBL
(9,4),(9,8),-0.174817 # DEPENDENCYPART_SIBL
(9,4),(9,10),-0.0133721 # DEPENDENCYPART_SIBL
(9,4),(9,11),-0.00549256 # DEPENDENCYPART_SIBL
(9,4),(9,13),0.00474922 # DEPENDENCYPART_SIBL
(9,4),(9,14),-0.00324238 # DEPENDENCYPART_SIBL
(9,4),(9,15),-0.00324238 # DEPENDENCYPART_SIBL
(9,4),(9,16),-0.00324238 # DEPENDENCYPART_SIBL
(9,4),(9,17),-0.0135244 # DEPENDENCYPART_SIBL
(9,4),(9,18),-0.0144358 # DEPENDENCYPART_SIBL
(9,4),(9,19),0.0304564 # DEPENDENCYPART_SIBL
(9,5),(9,6),-0.0342575 # DEPENDENCYPART_SIBL
(9,5),(9,7),-0.0272028 # DEPENDENCYPART_SIBL
(9,5),(9,8),-0.0272028 # DEPENDENCYPART_SIBL
(9,5),(9,10),-0.0493315 # DEPENDENCYPART_SIBL
(9,5),(9,11),0.00591418 # DEPENDENCYPART_SIBL
(9,5),(9,13),0.00139572 # DEPENDENCYPART_SIBL
(9,5),(9,14),-0.020162 # DEPENDENCYPART_SIBL
(9,5),(9,15),-0.020162 # DEPENDENCYPART_SIBL
(9,5),(9,16),-0.020162 # DEPENDENCYPART_SIBL
(9,5),(9,17),-0.0249692 # DEPENDENCYPART_SIBL
(9,5),(9,18),-0.00658851 # DEPENDENCYPART_SIBL
(9,5),(9,19),-0.00583807 # DEPENDENCYPART_SIBL
(9,6),(9,7),-0.0243462 # DEPENDENCYPART_SIBL
(9,6),(9,8),-0.0243462 # DEPENDENCYPART_SIBL
(9,6),(9,10),-0.0540105 # DEPENDENCYPART_SIBL
(9,6),(9,11),0.0016027 # DEPENDENCYPART_SIBL
(9,6),(9,13),-0.00328327 # DEPENDENCYPART_SIBL
(9,6),(9,14),-0.024841 # DEPENDENCYPART_SIBL
(9,6),(9,15),-0.024841 # DEPENDENCYPART_SIBL
(9,6),(9,16),-0.024841 # DEPENDENCYPART_SIBL
(9,6),(9,17),-0.0265715 # DEPENDENCYPART_SIBL
(9,6),(9,18),-0.00894173 # DEPENDENCYPART_SIBL
(9,6),(9,19),-0.0101866 # DEPENDENCYPART_SIBL
(9,7),(9,8),-0.0272028 # DEPENDENCYPART_SIBL
(9,7),(9,10),-0.0493315 # DEPENDENCYPART_SIBL
(9,7),(9,11),0.00591418 # DEPENDENCYPART_SIBL
(9,7),(9,13),0.00139572 # DEPENDENCYPART_SIBL
(9,7),(9,14),-0.020162 # DEPENDENCYPART_SIBL
(9,7),(9,15),-0.020162 # DEPENDENCYPART_SIBL
(9,7),(9,16),-0.020162 # DEPENDENCYPART_SIBL
(9,7),(9,17),-0.0249692 # DEPENDENCYPART_SIBL
(9,7),(9,18),-0.00658851 # DEPENDENCYPART_SIBL
(9,7),(9,19),-0.00583807 # DEPENDENCYPART_SIBL
(9,8),(9,10),-0.0493315 # DEPENDENCYPART_SIBL
(9,8),(9,11),0.00591418 # DEPENDENCYPART_SIBL
(9,8),(9,13),0.00139572 # DEPENDENCYPART_SIBL
(9,8),(9,14),-0.020162 # DEPENDENCYPART_SIBL
(9,8),(9,15),-0.020162 # DEPENDENCYPART_SIBL
(9,8),(9,16),-0.020162 # DEPENDENCYPART_SIBL
(9,8),(9,17),-0.0249692 # DEPENDENCYPART_SIBL
(9,8),(9,18),-0.00658851 # DEPENDENCYPART_SIBL
(9,8),(9,19),-0.00583807 # DEPENDENCYPART_SIBL
(9,10),(9,11),-0.0312034 # DEPENDENCYPART_SIBL
(9,10),(9,13),-0.0211005 # DEPENDENCYPART_SIBL
(9,10),(9,14),-0.0201847 # DEPENDENCYPART_SIBL
(9,10),(9,15),-0.0201847 # DEPENDENCYPART_SIBL
(9,10),(9,16),-0.0201847 # DEPENDENCYPART_SIBL
(9,10),(9,17),-0.0058092 # DEPENDENCYPART_SIBL
(9,10),(9,18),-0.0196272 # DEPENDENCYPART_SIBL
(9,10),(9,19),-0.0264024 # DEPENDENCYPART_SIBL
(9,11),(9,13),-0.106925 # DEPENDENCYPART_SIBL
(9,11),(9,14),-0.0970364 # DEPENDENCYPART_SIBL
(9,11),(9,15),-0.0970364 # DEPENDENCYPART_SIBL
(9,11),(9,16),-0.0970364 # DEPENDENCYPART_SIBL
(9,11),(9,17),-0.184605 # DEPENDENCYPART_SIBL
(9,11),(9,18),-0.03613 # DEPENDENCYPART_SIBL
(9,11),(9,19),-0.0803881 # DEPENDENCYPART_SIBL
(9,13),(9,14),-0.0165566 # DEPENDENCYPART_SIBL
(9,13),(9,15),-0.0165566 # DEPENDENCYPART_SIBL
(9,13),(9,16),-0.0165566 # DEPENDENCYPART_SIBL
(9,13),(9,17),-0.00366867 # DEPENDENCYPART_SIBL
(9,13),(9,18),-0.0175907 # DEPENDENCYPART_SIBL
(9,13),(9,19),-0.0242496 # DEPENDENCYPART_SIBL
(9,14),(9,15),-0.0147462 # DEPENDENCYPART_SIBL
(9,14),(9,16),-0.0147462 # DEPENDENCYPART_SIBL
(9,14),(9,17),-0.00333452 # DEPENDENCYPART_SIBL
(9,14),(9,18),-0.0159358 # DEPENDENCYPART_SIBL
(9,14),(9,19),-0.023916 # DEPENDENCYPART_SIBL
(9,15),(9,16),-0.0147462 # DEPENDENCYPART_SIBL
(9,15),(9,17),-0.00333452 # DEPENDENCYPART_SIBL
(9,15),(9,18),-0.0159358 # DEPENDENCYPART_SIBL
(9,15),(9,19),-0.023916 # DEPENDENCYPART_SIBL
(9,16),(9,17),-0.00333452 # DEPENDENCYPART_SIBL
(9,16),(9,18),-0.0159358 # DEPENDENCYPART_SIBL
(9,16),(9,19),-0.023916 # DEPENDENCYPART_SIBL
(9,17),(9,18),-0.0195727 # DEPENDENCYPART_SIBL
(9,17),(9,19),-0.0351976 # DEPENDENCYPART_SIBL
(9,18),(9,19),0.0488115 # DEPENDENCYPART_SIBL
(10,2),(10,4),-0.0275164 # DEPENDENCYPART_SIBL
(10,2),(10,5),0.00587505 # DEPENDENCYPART_SIBL
(10,2),(10,6),-0.00265179 # DEPENDENCYPART_SIBL
(10,2),(10,7),0.00587505 # DEPENDENCYPART_SIBL
(10,2),(10,8),0.00587505 # DEPENDENCYPART_SIBL
(10,2),(10,9),-0.00833842 # DEPENDENCYPART_SIBL
(10,2),(10,11),0.0459875 # DEPENDENCYPART_SIBL
(10,2),(10,12),0.013454 # DEPENDENCYPART_SIBL
(10,2),(10,13),0.0183923 # DEPENDENCYPART_SIBL
(10,2),(10,14),-0.00440307 # DEPENDENCYPART_SIBL
(10,2),(10,15),-0.00440307 # DEPENDENCYPART_SIBL
(10,2),(10,16),-0.00440307 # DEPENDENCYPART_SIBL
(10,2),(10,17),-0.0287127 # DEPENDENCYPART_SIBL
(10,2),(10,18),0.025752 # DEPENDENCYPART_SIBL
(10,2),(10,20),-0.0330538 # DEPENDENCYPART_SIBL
(10,4),(10,5),-0.104973 # DEPENDENCYPART_SIBL
(10,4),(10,6),-0.10743 # DEPENDENCYPART_SIBL
(10,4),(10,7),-0.104973 # DEPENDENCYPART_SIBL
(10,4),(10,8),-0.104973 # DEPENDENCYPART_SIBL
(10,4),(10,9),-0.105314 # DEPENDENCYPART_SIBL
(10,4),(10,11),0.00309135 # DEPENDENCYPART_SIBL
(10,4),(10,12),-0.00564957 # DEPENDENCYPART_SIBL
(10,4),(10,13),-0.0484096 # DEPENDENCYPART_SIBL
(10,4),(10,14),-0.0562306 # DEPENDENCYPART_SIBL
(10,4),(10,15),-0.0562306 # DEPENDENCYPART_SIBL
(10,4),(10,16),-0.0562306 # DEPENDENCYPART_SIBL
(10,4),(10,17),-0.0466613 # DEPENDENCYPART_SIBL
(10,4),(10,18),-0.0397576 # DEPENDENCYPART_SIBL
(10,4),(10,20),-0.0824247 # DEPENDENCYPART_SIBL
(10,5),(10,6),-0.00658226 # DEPENDENCYPART_SIBL
(10,5),(10,7),0.00194459 # DEPENDENCYPART_SIBL
(10,5),(10,8),0.00194459 # DEPENDENCYPART_SIBL
(10,5),(10,9),-0.0139049 # DEPENDENCYPART_SIBL
(10,5),(10,11),0.0513676 # DEPENDENCYPART_SIBL
(10,5),(10,12),0.0152532 # DEPENDENCYPART_SIBL
(10,5),(10,13),0.0202043 # DEPENDENCYPART_SIBL
(10,5),(10,14),-0.00259101 # DEPENDENCYPART_SIBL
(10,5),(10,15),-0.00259101 # DEPENDENCYPART_SIBL
(10,5),(10,16),-0.00259101 # DEPENDENCYPART_SIBL
(10,5),(10,17),-0.0269154 # DEPENDENCYPART_SIBL
(10,5),(10,18),0.0206862 # DEPENDENCYPART_SIBL
(10,5),(10,20),-0.0240907 # DEPENDENCYPART_SIBL
(10,6),(10,7),0.0165206 # DEPENDENCYPART_SIBL
(10,6),(10,8),0.0165206 # DEPENDENCYPART_SIBL
(10,6),(10,9),-0.0107545 # DEPENDENCYPART_SIBL
(10,6),(10,11),0.0458021 # DEPENDENCYPART_SIBL
(10,6),(10,12),0.0248248 # DEPENDENCYPART_SIBL
(10,6),(10,13),0.0152348 # DEPENDENCYPART_SIBL
(10,6),(10,14),-0.00756051 # DEPENDENCYPART_SIBL
(10,6),(10,15),-0.00756051 # DEPENDENCYPART_SIBL
(10,6),(10,16),-0.00756051 # DEPENDENCYPART_SIBL
(10,6),(10,17),-0.0271337 # DEPENDENCYPART_SIBL
(10,6),(10,18),0.0196028 # DEPENDENCYPART_SIBL
(10,6),(10,20),-0.0291576 # DEPENDENCYPART_SIBL
(10,7),(10,8),0.00194459 # DEPENDENCYPART_SIBL
(10,7),(10,9),-0.0139049 # DEPENDENCYPART_SIBL
(10,7),(10,11),0.0513676 # DEPENDENCYPART_SIBL
(10,7),(10,12),0.0152532 # DEPENDENCYPART_SIBL
(10,7),(10,13),0.0202043 # DEPENDENCYPART_SIBL
(10,7),(10,14),-0.00259101 # DEPENDENCYPART_SIBL
(10,7),(10,15),-0.00259101 # DEPENDENCYPART_SIBL
(10,7),(10,16),-0.00259101 # DEPENDENCYPART_SIBL
(10,7),(10,17),-0.0269154 # DEPENDENCYPART_SIBL
(10,7),(10,18),0.0206862 # DEPENDENCYPART_SIBL
(10,7),(10,20),-0.0240907 # DEPENDENCYPART_SIBL
(10,8),(10,9),-0.0139049 # DEPENDENCYPART_SIBL
(10,8),(10,11),0.0513676 # DEPENDENCYPART_SIBL
(10,8),(10,12),0.0152532 # DEPENDENCYPART_SIBL
(10,8),(10,13),0.0202043 # DEPENDENCYPART_SIBL
(10,8),(10,14),-0.00259101 # DEPENDENCYPART_SIBL
(10,8),(10,15),-0.00259101 # DEPENDENCYPART_SIBL
(10,8),(10,16),-0.00259101 # DEPENDENCYPART_SIBL
(10,8),(10,17),-0.0269154 # DEPENDENCYPART_SIBL
(10,8),(10,18),0.0206862 # DEPENDENCYPART_SIBL
(10,8),(10,20),-0.0240907 # DEPENDENCYPART_SIBL
(10,9),(10,11),-0.0014655 # DEPENDENCYPART_SIBL
(10,9),(10,12),0.041103 # DEPENDENCYPART_SIBL
(10,9),(10,13),0.0116365 # DEPENDENCYPART_SIBL
(10,9),(10,14),0.000418788 # DEPENDENCYPART_SIBL
(10,9),(10,15),0.000418788 # DEPENDENCYPART_SIBL
(10,9),(10,16),0.000418788 # DEPENDENCYPART_SIBL
(10,9),(10,17),0.00718162 # DEPENDENCYPART_SIBL
(10,9),(10,18),0.0153058 # DEPENDENCYPART_SIBL
(10,9),(10,20),-0.0358695 # DEPENDENCYPART_SIBL
(10,11),(10,12),-0.0795451 # DEPENDENCYPART_SIBL
(10,11),(10,13),-0.0597947 # DEPENDENCYPART_SIBL
(10,11),(10,14),-0.049564 # DEPENDENCYPART_SIBL
(10,11),(10,15),-0.049564 # DEPENDENCYPART_SIBL
(10,11),(10,16),-0.049564 # DEPENDENCYPART_SIBL
(10,11),(10,17),-0.136832 # DEPENDENCYPART_SIBL
(10,11),(10,18),-0.0376348 # DEPENDENCYPART_SIBL
(10,11),(10,20),-0.224882 # DEPENDENCYPART_SIBL
(10,12),(10,13),-0.0132063 # DEPENDENCYPART_SIBL
(10,12),(10,14),-0.0128977 # DEPENDENCYPART_SIBL
(10,12),(10,15),-0.0128977 # DEPENDENCYPART_SIBL
(10,12),(10,16),-0.0128977 # DEPENDENCYPART_SIBL
(10,12),(10,17),-0.00361186 # DEPENDENCYPART_SIBL
(10,12),(10,18),-0.0919841 # DEPENDENCYPART_SIBL
(10,12),(10,20),-0.132905 # DEPENDENCYPART_SIBL
(10,13),(10,14),-0.00890923 # DEPENDENCYPART_SIBL
(10,13),(10,15),-0.00890923 # DEPENDENCYPART_SIBL
(10,13),(10,16),-0.00890923 # DEPENDENCYPART_SIBL
(10,13),(10,17),0.0219742 # DEPENDENCYPART_SIBL
(10,13),(10,18),-0.0402359 # DEPENDENCYPART_SIBL
(10,13),(10,20),-0.0889359 # DEPENDENCYPART_SIBL
(10,14),(10,15),-0.00770914 # DEPENDENCYPART_SIBL
(10,14),(10,16),-0.00770914 # DEPENDENCYPART_SIBL
(10,14),(10,17),0.0219829 # DEPENDENCYPART_SIBL
(10,14),(10,18),-0.03895 # DEPENDENCYPART_SIBL
(10,14),(10,20),-0.0889278 # DEPENDENCYPART_SIBL
(10,15),(10,16),-0.00770914 # DEPENDENCYPART_SIBL
(10,15),(10,17),0.0219829 # DEPENDENCYPART_SIBL
(10,15),(10,18),-0.03895 # DEPENDENCYPART_SIBL
(10,15),(10,20),-0.0889278 # DEPENDENCYPART_SIBL
(10,16),(10,17),0.0219829 # DEPENDENCYPART_SIBL
(10,16),(10,18),-0.03895 # DEPENDENCYPART_SIBL
(10,16),(10,20),-0.0889278 # DEPENDENCYPART_SIBL
(10,17),(10,18),-0.0162002 # DEPENDENCYPART_SIBL
(10,17),(10,20),-0.0886444 # DEPENDENCYPART_SIBL
(10,18),(10,20),-0.0694165 # DEPENDENCYPART_SIBL
(11,9),(11,10),-0.0131951 # DEPENDENCYPART_SIBL
(11,9),(11,13),0.100007 # DEPENDENCYPART_SIBL
(11,9),(11,16),0.0961695 # DEPENDENCYPART_SIBL
(11,9),(11,18),0.373893 # DEPENDENCYPART_SIBL
(11,10),(11,13),0.312785 # DEPENDENCYPART_SIBL
(11,10),(11,16),0.306649 # DEPENDENCYPART_SIBL
(11,10),(11,18),0.163074 # DEPENDENCYPART_SIBL
(11,13),(11,16),0.0731297 # DEPENDENCYPART_SIBL
(11,13),(11,18),-0.0192863 # DEPENDENCYPART_SIBL
(11,16),(11,18),-0.0180085 # DEPENDENCYPART_SIBL
(12,11),(12,13),0.0122515 # DEPENDENCYPART_SIBL
(13,5),(13,6),-0.0185058 # DEPENDENCYPART_SIBL
(13,5),(13,7),-0.00997893 # DEPENDENCYPART_SIBL
(13,5),(13,8),-0.00997893 # DEPENDENCYPART_SIBL
(13,5),(13,9),-0.0159317 # DEPENDENCYPART_SIBL
(13,5),(13,10),-0.00927746 # DEPENDENCYPART_SIBL
(13,5),(13,11),-0.028546 # DEPENDENCYPART_SIBL
(13,5),(13,12),0.00644851 # DEPENDENCYPART_SIBL
(13,5),(13,14),-0.00950959 # DEPENDENCYPART_SIBL
(13,5),(13,15),-0.00950959 # DEPENDENCYPART_SIBL
(13,5),(13,16),-0.00950959 # DEPENDENCYPART_SIBL
(13,5),(13,17),-0.0337616 # DEPENDENCYPART_SIBL
(13,5),(13,19),0.0275558 # DEPENDENCYPART_SIBL
(13,6),(13,7),0.00459712 # DEPENDENCYPART_SIBL
(13,6),(13,8),0.00459712 # DEPENDENCYPART_SIBL
(13,6),(13,9),-0.0127813 # DEPENDENCYPART_SIBL
(13,6),(13,10),0.00529858 # DEPENDENCYPART_SIBL
(13,6),(13,11),-0.0243692 # DEPENDENCYPART_SIBL
(13,6),(13,12),0.0106253 # DEPENDENCYPART_SIBL
(13,6),(13,14),-0.0144791 # DEPENDENCYPART_SIBL
(13,6),(13,15),-0.0144791 # DEPENDENCYPART_SIBL
(13,6),(13,16),-0.0144791 # DEPENDENCYPART_SIBL
(13,6),(13,17),-0.0339798 # DEPENDENCYPART_SIBL
(13,6),(13,19),0.0258236 # DEPENDENCYPART_SIBL
(13,7),(13,8),-0.00997893 # DEPENDENCYPART_SIBL
(13,7),(13,9),-0.0159317 # DEPENDENCYPART_SIBL
(13,7),(13,10),-0.00927746 # DEPENDENCYPART_SIBL
(13,7),(13,11),-0.028546 # DEPENDENCYPART_SIBL
(13,7),(13,12),0.00644851 # DEPENDENCYPART_SIBL
(13,7),(13,14),-0.00950959 # DEPENDENCYPART_SIBL
(13,7),(13,15),-0.00950959 # DEPENDENCYPART_SIBL
(13,7),(13,16),-0.00950959 # DEPENDENCYPART_SIBL
(13,7),(13,17),-0.0337616 # DEPENDENCYPART_SIBL
(13,7),(13,19),0.0275558 # DEPENDENCYPART_SIBL
(13,8),(13,9),-0.0159317 # DEPENDENCYPART_SIBL
(13,8),(13,10),-0.00927746 # DEPENDENCYPART_SIBL
(13,8),(13,11),-0.028546 # DEPENDENCYPART_SIBL
(13,8),(13,12),0.00644851 # DEPENDENCYPART_SIBL
(13,8),(13,14),-0.00950959 # DEPENDENCYPART_SIBL
(13,8),(13,15),-0.00950959 # DEPENDENCYPART_SIBL
(13,8),(13,16),-0.00950959 # DEPENDENCYPART_SIBL
(13,8),(13,17),-0.0337616 # DEPENDENCYPART_SIBL
(13,8),(13,19),0.0275558 # DEPENDENCYPART_SIBL
(13,9),(13,10),0.0275401 # DEPENDENCYPART_SIBL
(13,9),(13,11),-0.0137818 # DEPENDENCYPART_SIBL
(13,9),(13,12),0.0543083 # DEPENDENCYPART_SIBL
(13,9),(13,14),-0.000532338 # DEPENDENCYPART_SIBL
(13,9),(13,15),-0.000532338 # DEPENDENCYPART_SIBL
(13,9),(13,16),-0.000532338 # DEPENDENCYPART_SIBL
(13,9),(13,17),0.00626495 # DEPENDENCYPART_SIBL
(13,9),(13,19),0.112965 # DEPENDENCYPART_SIBL
(13,10),(13,11),-0.0300446 # DEPENDENCYPART_SIBL
(13,10),(13,12),0.0035861 # DEPENDENCYPART_SIBL
(13,10),(13,14),0.0225943 # DEPENDENCYPART_SIBL
(13,10),(13,15),0.0225943 # DEPENDENCYPART_SIBL
(13,10),(13,16),0.0225943 # DEPENDENCYPART_SIBL
(13,10),(13,17),-0.0259368 # DEPENDENCYPART_SIBL
(13,10),(13,19),0.0517041 # DEPENDENCYPART_SIBL
(13,11),(13,12),-0.0471286 # DEPENDENCYPART_SIBL
(13,11),(13,14),-0.0583515 # DEPENDENCYPART_SIBL
(13,11),(13,15),-0.0583515 # DEPENDENCYPART_SIBL
(13,11),(13,16),-0.0583515 # DEPENDENCYPART_SIBL
(13,11),(13,17),-0.0487464 # DEPENDENCYPART_SIBL
(13,11),(13,19),0.00735325 # DEPENDENCYPART_SIBL
(13,12),(13,14),-0.0742699 # DEPENDENCYPART_SIBL
(13,12),(13,15),-0.0742699 # DEPENDENCYPART_SIBL
(13,12),(13,16),-0.0742699 # DEPENDENCYPART_SIBL
(13,12),(13,17),-0.0602395 # DEPENDENCYPART_SIBL
(13,12),(13,19),0.0112799 # DEPENDENCYPART_SIBL
(13,14),(13,15),-0.00879129 # DEPENDENCYPART_SIBL
(13,14),(13,16),-0.00879129 # DEPENDENCYPART_SIBL
(13,14),(13,17),0.0221254 # DEPENDENCYPART_SIBL
(13,14),(13,19),-0.007495 # DEPENDENCYPART_SIBL
(13,15),(13,16),-0.00879129 # DEPENDENCYPART_SIBL
(13,15),(13,17),0.0221254 # DEPENDENCYPART_SIBL
(13,15),(13,19),-0.007495 # DEPENDENCYPART_SIBL
(13,16),(13,17),0.0221254 # DEPENDENCYPART_SIBL
(13,16),(13,19),-0.007495 # DEPENDENCYPART_SIBL
(13,17),(13,19),-0.0298521 # DEPENDENCYPART_SIBL
(14,10),(14,11),-0.0274458 # DEPENDENCYPART_SIBL
(14,10),(14,13),-0.0154966 # DEPENDENCYPART_SIBL
(14,10),(14,15),0.0258937 # DEPENDENCYPART_SIBL
(14,10),(14,16),0.0258937 # DEPENDENCYPART_SIBL
(14,11),(14,13),-0.117833 # DEPENDENCYPART_SIBL
(14,11),(14,15),-0.0562268 # DEPENDENCYPART_SIBL
(14,11),(14,16),-0.0562268 # DEPENDENCYPART_SIBL
(14,13),(14,15),-0.0300614 # DEPENDENCYPART_SIBL
(14,13),(14,16),-0.0300614 # DEPENDENCYPART_SIBL
(14,15),(14,16),-0.0073091 # DEPENDENCYPART_SIBL
(15,10),(15,13),-0.0154966 # DEPENDENCYPART_SIBL
(15,10),(15,14),-0.0103979 # DEPENDENCYPART_SIBL
(15,10),(15,16),0.0258937 # DEPENDENCYPART_SIBL
(15,13),(15,14),-0.00634171 # DEPENDENCYPART_SIBL
(15,13),(15,16),-0.0300614 # DEPENDENCYPART_SIBL
(15,14),(15,16),-0.00621019 # DEPENDENCYPART_SIBL
(16,5),(16,6),-0.0163582 # DEPENDENCYPART_SIBL
(16,5),(16,9),-0.0131457 # DEPENDENCYPART_SIBL
(16,5),(16,10),-0.00712984 # DEPENDENCYPART_SIBL
(16,5),(16,11),-0.0259473 # DEPENDENCYPART_SIBL
(16,5),(16,12),0.0103071 # DEPENDENCYPART_SIBL
(16,5),(16,13),-0.0129299 # DEPENDENCYPART_SIBL
(16,5),(16,14),-0.00783131 # DEPENDENCYPART_SIBL
(16,5),(16,15),-0.00783131 # DEPENDENCYPART_SIBL
(16,5),(16,17),-0.0305406 # DEPENDENCYPART_SIBL
