# _root_ politikarien_artean , jordi pujol_kataluniako erkidegoko presidentea egon zen , eta pp eta pscko ordezkariak ere han ziren .
#goldHeads=7,1,6,3,6,7,10,7,8,0,12,14,12,17,0,17,10,17,
#predictedHeads=7,1,5,3,6,7,10,7,8,0,12,14,12,17,0,17,10,17,
(6,8),(6,9),-0.0757107 # DEPENDENCYPART_SIBL
(6,8),(6,10),-0.0227997 # DEPENDENCYPART_SIBL
(6,8),(6,11),0.0506152 # DEPENDENCYPART_SIBL
(6,8),(6,12),-0.0227997 # DEPENDENCYPART_SIBL
(6,8),(6,14),0.0487739 # DEPENDENCYPART_SIBL
(6,8),(6,17),0.011012 # DEPENDENCYPART_SIBL
(6,8),(6,18),-0.052143 # DEPENDENCYPART_SIBL
(6,9),(6,10),-0.0285224 # DEPENDENCYPART_SIBL
(6,9),(6,11),-0.0499195 # DEPENDENCYPART_SIBL
(6,9),(6,12),-0.0285224 # DEPENDENCYPART_SIBL
(6,9),(6,14),-0.0498232 # DEPENDENCYPART_SIBL
(6,9),(6,17),-0.0129929 # DEPENDENCYPART_SIBL
(6,9),(6,18),-0.225159 # DEPENDENCYPART_SIBL
(6,10),(6,11),-0.00409698 # DEPENDENCYPART_SIBL
(6,10),(6,12),0.0140445 # DEPENDENCYPART_SIBL
(6,10),(6,14),-0.00477278 # DEPENDENCYPART_SIBL
(6,10),(6,17),-0.0163961 # DEPENDENCYPART_SIBL
(6,10),(6,18),-0.0546885 # DEPENDENCYPART_SIBL
(6,11),(6,12),-0.00861301 # DEPENDENCYPART_SIBL
(6,11),(6,14),-0.00603512 # DEPENDENCYPART_SIBL
(6,11),(6,17),-0.0134696 # DEPENDENCYPART_SIBL
(6,11),(6,18),-0.088761 # DEPENDENCYPART_SIBL
(6,12),(6,14),-0.00477278 # DEPENDENCYPART_SIBL
(6,12),(6,17),-0.0163961 # DEPENDENCYPART_SIBL
(6,12),(6,18),-0.0546885 # DEPENDENCYPART_SIBL
(6,14),(6,17),-0.0133724 # DEPENDENCYPART_SIBL
(6,14),(6,18),-0.0887528 # DEPENDENCYPART_SIBL
(6,17),(6,18),-0.0684639 # DEPENDENCYPART_SIBL
(7,1),(7,2),-0.0517043 # DEPENDENCYPART_SIBL
(7,1),(7,3),-0.00447677 # DEPENDENCYPART_SIBL
(7,1),(7,4),-0.00447677 # DEPENDENCYPART_SIBL
(7,1),(7,5),-0.00447677 # DEPENDENCYPART_SIBL
(7,1),(7,6),-0.00637427 # DEPENDENCYPART_SIBL
(7,1),(7,8),0.0302144 # DEPENDENCYPART_SIBL
(7,1),(7,9),-0.0146625 # DEPENDENCYPART_SIBL
(7,1),(7,10),-0.00855587 # DEPENDENCYPART_SIBL
(7,1),(7,11),-0.0297171 # DEPENDENCYPART_SIBL
(7,1),(7,12),-0.00855587 # DEPENDENCYPART_SIBL
(7,1),(7,13),-0.0289504 # DEPENDENCYPART_SIBL
(7,1),(7,14),-0.0461117 # DEPENDENCYPART_SIBL
(7,1),(7,16),-0.012515 # DEPENDENCYPART_SIBL
(7,1),(7,17),-0.0171421 # DEPENDENCYPART_SIBL
(7,2),(7,3),-0.189282 # DEPENDENCYPART_SIBL
(7,2),(7,4),-0.189282 # DEPENDENCYPART_SIBL
(7,2),(7,5),-0.189282 # DEPENDENCYPART_SIBL
(7,2),(7,6),-0.189849 # DEPENDENCYPART_SIBL
(7,2),(7,8),0.0324726 # DEPENDENCYPART_SIBL
(7,2),(7,9),-0.0341852 # DEPENDENCYPART_SIBL
(7,2),(7,10),-0.0426316 # DEPENDENCYPART_SIBL
(7,2),(7,11),-0.019207 # DEPENDENCYPART_SIBL
(7,2),(7,12),-0.0426316 # DEPENDENCYPART_SIBL
(7,2),(7,13),-0.0186814 # DEPENDENCYPART_SIBL
(7,2),(7,14),-0.0259511 # DEPENDENCYPART_SIBL
(7,2),(7,16),-0.00714468 # DEPENDENCYPART_SIBL
(7,2),(7,17),-0.0334017 # DEPENDENCYPART_SIBL
(7,3),(7,4),-0.00447677 # DEPENDENCYPART_SIBL
(7,3),(7,5),-0.00447677 # DEPENDENCYPART_SIBL
(7,3),(7,6),-0.00637427 # DEPENDENCYPART_SIBL
(7,3),(7,8),0.0302144 # DEPENDENCYPART_SIBL
(7,3),(7,9),-0.0146625 # DEPENDENCYPART_SIBL
(7,3),(7,10),-0.00855587 # DEPENDENCYPART_SIBL
(7,3),(7,11),-0.0297171 # DEPENDENCYPART_SIBL
(7,3),(7,12),-0.00855587 # DEPENDENCYPART_SIBL
(7,3),(7,13),-0.0289504 # DEPENDENCYPART_SIBL
(7,3),(7,14),-0.0461117 # DEPENDENCYPART_SIBL
(7,3),(7,16),-0.012515 # DEPENDENCYPART_SIBL
(7,3),(7,17),-0.0171421 # DEPENDENCYPART_SIBL
(7,4),(7,5),-0.00447677 # DEPENDENCYPART_SIBL
(7,4),(7,6),-0.00637427 # DEPENDENCYPART_SIBL
(7,4),(7,8),0.0302144 # DEPENDENCYPART_SIBL
(7,4),(7,9),-0.0146625 # DEPENDENCYPART_SIBL
(7,4),(7,10),-0.00855587 # DEPENDENCYPART_SIBL
(7,4),(7,11),-0.0297171 # DEPENDENCYPART_SIBL
(7,4),(7,12),-0.00855587 # DEPENDENCYPART_SIBL
(7,4),(7,13),-0.0289504 # DEPENDENCYPART_SIBL
(7,4),(7,14),-0.0461117 # DEPENDENCYPART_SIBL
(7,4),(7,16),-0.012515 # DEPENDENCYPART_SIBL
(7,4),(7,17),-0.0171421 # DEPENDENCYPART_SIBL
(7,5),(7,6),-0.00637427 # DEPENDENCYPART_SIBL
(7,5),(7,8),0.0302144 # DEPENDENCYPART_SIBL
(7,5),(7,9),-0.0146625 # DEPENDENCYPART_SIBL
(7,5),(7,10),-0.00855587 # DEPENDENCYPART_SIBL
(7,5),(7,11),-0.0297171 # DEPENDENCYPART_SIBL
(7,5),(7,12),-0.00855587 # DEPENDENCYPART_SIBL
(7,5),(7,13),-0.0289504 # DEPENDENCYPART_SIBL
(7,5),(7,14),-0.0461117 # DEPENDENCYPART_SIBL
(7,5),(7,16),-0.012515 # DEPENDENCYPART_SIBL
(7,5),(7,17),-0.0171421 # DEPENDENCYPART_SIBL
(7,6),(7,8),0.0523035 # DEPENDENCYPART_SIBL
(7,6),(7,9),0.00756958 # DEPENDENCYPART_SIBL
(7,6),(7,10),0.00228586 # DEPENDENCYPART_SIBL
(7,6),(7,11),-0.0192282 # DEPENDENCYPART_SIBL
(7,6),(7,12),0.00228586 # DEPENDENCYPART_SIBL
(7,6),(7,13),-0.0184615 # DEPENDENCYPART_SIBL
(7,6),(7,14),-0.0356228 # DEPENDENCYPART_SIBL
(7,6),(7,16),-0.00203704 # DEPENDENCYPART_SIBL
(7,6),(7,17),-0.0057174 # DEPENDENCYPART_SIBL
(7,8),(7,9),-0.047737 # DEPENDENCYPART_SIBL
(7,8),(7,10),-0.0665685 # DEPENDENCYPART_SIBL
(7,8),(7,11),0.031802 # DEPENDENCYPART_SIBL
(7,8),(7,12),-0.0665685 # DEPENDENCYPART_SIBL
(7,8),(7,13),0.0318487 # DEPENDENCYPART_SIBL
(7,8),(7,14),0.0268977 # DEPENDENCYPART_SIBL
(7,8),(7,16),0.0572377 # DEPENDENCYPART_SIBL
(7,8),(7,17),-0.0430084 # DEPENDENCYPART_SIBL
(7,9),(7,10),-0.0491943 # DEPENDENCYPART_SIBL
(7,9),(7,11),-0.109035 # DEPENDENCYPART_SIBL
(7,9),(7,12),-0.0491943 # DEPENDENCYPART_SIBL
(7,9),(7,13),-0.108998 # DEPENDENCYPART_SIBL
(7,9),(7,14),-0.110132 # DEPENDENCYPART_SIBL
(7,9),(7,16),-0.199471 # DEPENDENCYPART_SIBL
(7,9),(7,17),-0.0453151 # DEPENDENCYPART_SIBL
(7,10),(7,11),-0.0119328 # DEPENDENCYPART_SIBL
(7,10),(7,12),-0.019802 # DEPENDENCYPART_SIBL
(7,10),(7,13),-0.0118092 # DEPENDENCYPART_SIBL
(7,10),(7,14),-0.0137743 # DEPENDENCYPART_SIBL
(7,10),(7,16),0.0197464 # DEPENDENCYPART_SIBL
(7,10),(7,17),-0.0581141 # DEPENDENCYPART_SIBL
(7,11),(7,12),-0.0240225 # DEPENDENCYPART_SIBL
(7,11),(7,13),-0.0300919 # DEPENDENCYPART_SIBL
(7,11),(7,14),-0.0263947 # DEPENDENCYPART_SIBL
(7,11),(7,16),0.000748991 # DEPENDENCYPART_SIBL
(7,11),(7,17),-0.0723609 # DEPENDENCYPART_SIBL
(7,12),(7,13),-0.0118092 # DEPENDENCYPART_SIBL
(7,12),(7,14),-0.0137743 # DEPENDENCYPART_SIBL
(7,12),(7,16),0.0197464 # DEPENDENCYPART_SIBL
(7,12),(7,17),-0.0581141 # DEPENDENCYPART_SIBL
(7,13),(7,14),-0.0262672 # DEPENDENCYPART_SIBL
(7,13),(7,16),0.000749254 # DEPENDENCYPART_SIBL
(7,13),(7,17),-0.0722746 # DEPENDENCYPART_SIBL
(7,14),(7,16),0.000471725 # DEPENDENCYPART_SIBL
(7,14),(7,17),-0.0725521 # DEPENDENCYPART_SIBL
(7,16),(7,17),-0.0170927 # DEPENDENCYPART_SIBL
(8,3),(8,5),0.0623044 # DEPENDENCYPART_SIBL
(8,3),(8,6),0.0605312 # DEPENDENCYPART_SIBL
(8,3),(8,9),0.032218 # DEPENDENCYPART_SIBL
(8,3),(8,10),0.0569778 # DEPENDENCYPART_SIBL
(8,3),(8,11),0.0826255 # DEPENDENCYPART_SIBL
(8,3),(8,12),0.0569778 # DEPENDENCYPART_SIBL
(8,5),(8,6),0.0605312 # DEPENDENCYPART_SIBL
(8,5),(8,9),0.032218 # DEPENDENCYPART_SIBL
(8,5),(8,10),0.0569778 # DEPENDENCYPART_SIBL
(8,5),(8,11),0.0826255 # DEPENDENCYPART_SIBL
(8,5),(8,12),0.0569778 # DEPENDENCYPART_SIBL
(8,6),(8,9),0.0352138 # DEPENDENCYPART_SIBL
(8,6),(8,10),0.0549078 # DEPENDENCYPART_SIBL
(8,6),(8,11),0.0783237 # DEPENDENCYPART_SIBL
(8,6),(8,12),0.0549078 # DEPENDENCYPART_SIBL
(8,9),(8,10),-0.0912779 # DEPENDENCYPART_SIBL
(8,9),(8,11),-0.0264072 # DEPENDENCYPART_SIBL
(8,9),(8,12),-0.0912779 # DEPENDENCYPART_SIBL
(8,10),(8,11),0.0205944 # DEPENDENCYPART_SIBL
(8,10),(8,12),0.0208508 # DEPENDENCYPART_SIBL
(8,11),(8,12),-0.0136283 # DEPENDENCYPART_SIBL
(9,3),(9,7),0.0365514 # DEPENDENCYPART_SIBL
(9,3),(9,8),0.000176617 # DEPENDENCYPART_SIBL
(9,3),(9,10),0.0912229 # DEPENDENCYPART_SIBL
(9,3),(9,12),0.0912229 # DEPENDENCYPART_SIBL
(9,7),(9,8),-0.0363167 # DEPENDENCYPART_SIBL
(9,7),(9,10),0.183424 # DEPENDENCYPART_SIBL
(9,7),(9,12),0.183424 # DEPENDENCYPART_SIBL
(9,8),(9,10),-0.0201754 # DEPENDENCYPART_SIBL
(9,8),(9,12),-0.0201754 # DEPENDENCYPART_SIBL
(9,10),(9,12),0.00521219 # DEPENDENCYPART_SIBL
(10,1),(10,3),-0.00439628 # DEPENDENCYPART_SIBL
(10,1),(10,4),-0.00439628 # DEPENDENCYPART_SIBL
(10,1),(10,5),-0.00439628 # DEPENDENCYPART_SIBL
(10,1),(10,6),-0.00517205 # DEPENDENCYPART_SIBL
(10,1),(10,7),-0.00411463 # DEPENDENCYPART_SIBL
(10,1),(10,8),-0.0260523 # DEPENDENCYPART_SIBL
(10,1),(10,9),-0.0518421 # DEPENDENCYPART_SIBL
(10,1),(10,11),0.0592193 # DEPENDENCYPART_SIBL
(10,1),(10,12),0.000114664 # DEPENDENCYPART_SIBL
(10,1),(10,13),0.0603005 # DEPENDENCYPART_SIBL
(10,1),(10,14),0.0251508 # DEPENDENCYPART_SIBL
(10,1),(10,17),-0.0917645 # DEPENDENCYPART_SIBL
(10,3),(10,4),-0.00439628 # DEPENDENCYPART_SIBL
(10,3),(10,5),-0.00439628 # DEPENDENCYPART_SIBL
(10,3),(10,6),-0.00517205 # DEPENDENCYPART_SIBL
(10,3),(10,7),-0.00411463 # DEPENDENCYPART_SIBL
(10,3),(10,8),-0.0260523 # DEPENDENCYPART_SIBL
(10,3),(10,9),-0.0518421 # DEPENDENCYPART_SIBL
(10,3),(10,11),0.0592193 # DEPENDENCYPART_SIBL
(10,3),(10,12),0.000114664 # DEPENDENCYPART_SIBL
(10,3),(10,13),0.0603005 # DEPENDENCYPART_SIBL
(10,3),(10,14),0.0251508 # DEPENDENCYPART_SIBL
(10,3),(10,17),-0.0917645 # DEPENDENCYPART_SIBL
(10,4),(10,5),-0.00439628 # DEPENDENCYPART_SIBL
(10,4),(10,6),-0.00517205 # DEPENDENCYPART_SIBL
(10,4),(10,7),-0.00411463 # DEPENDENCYPART_SIBL
(10,4),(10,8),-0.0260523 # DEPENDENCYPART_SIBL
(10,4),(10,9),-0.0518421 # DEPENDENCYPART_SIBL
(10,4),(10,11),0.0592193 # DEPENDENCYPART_SIBL
(10,4),(10,12),0.000114664 # DEPENDENCYPART_SIBL
(10,4),(10,13),0.0603005 # DEPENDENCYPART_SIBL
(10,4),(10,14),0.0251508 # DEPENDENCYPART_SIBL
(10,4),(10,17),-0.0917645 # DEPENDENCYPART_SIBL
(10,5),(10,6),-0.00517205 # DEPENDENCYPART_SIBL
(10,5),(10,7),-0.00411463 # DEPENDENCYPART_SIBL
(10,5),(10,8),-0.0260523 # DEPENDENCYPART_SIBL
(10,5),(10,9),-0.0518421 # DEPENDENCYPART_SIBL
(10,5),(10,11),0.0592193 # DEPENDENCYPART_SIBL
(10,5),(10,12),0.000114664 # DEPENDENCYPART_SIBL
(10,5),(10,13),0.0603005 # DEPENDENCYPART_SIBL
(10,5),(10,14),0.0251508 # DEPENDENCYPART_SIBL
(10,5),(10,17),-0.0917645 # DEPENDENCYPART_SIBL
(10,6),(10,7),0.00840353 # DEPENDENCYPART_SIBL
(10,6),(10,8),-0.0104137 # DEPENDENCYPART_SIBL
(10,6),(10,9),-0.0393238 # DEPENDENCYPART_SIBL
(10,6),(10,11),0.0644338 # DEPENDENCYPART_SIBL
(10,6),(10,12),0.00302717 # DEPENDENCYPART_SIBL
(10,6),(10,13),0.065515 # DEPENDENCYPART_SIBL
(10,6),(10,14),0.0303653 # DEPENDENCYPART_SIBL
(10,6),(10,17),-0.0885446 # DEPENDENCYPART_SIBL
(10,7),(10,8),-0.102789 # DEPENDENCYPART_SIBL
(10,7),(10,9),-0.126671 # DEPENDENCYPART_SIBL
(10,7),(10,11),-0.144 # DEPENDENCYPART_SIBL
(10,7),(10,12),-0.0227952 # DEPENDENCYPART_SIBL
(10,7),(10,13),-0.143791 # DEPENDENCYPART_SIBL
(10,7),(10,14),-0.169927 # DEPENDENCYPART_SIBL
(10,7),(10,17),0.103334 # DEPENDENCYPART_SIBL
(10,8),(10,9),-0.0314121 # DEPENDENCYPART_SIBL
(10,8),(10,11),-0.0821696 # DEPENDENCYPART_SIBL
(10,8),(10,12),-0.0661488 # DEPENDENCYPART_SIBL
(10,8),(10,13),-0.08197 # DEPENDENCYPART_SIBL
(10,8),(10,14),-0.10003 # DEPENDENCYPART_SIBL
(10,8),(10,17),-0.0289899 # DEPENDENCYPART_SIBL
(10,9),(10,11),-0.0731081 # DEPENDENCYPART_SIBL
(10,9),(10,12),-0.0649103 # DEPENDENCYPART_SIBL
(10,9),(10,13),-0.0723837 # DEPENDENCYPART_SIBL
(10,9),(10,14),-0.0904441 # DEPENDENCYPART_SIBL
(10,9),(10,17),-0.0640171 # DEPENDENCYPART_SIBL
(10,11),(10,12),-0.0323127 # DEPENDENCYPART_SIBL
(10,11),(10,13),-0.217828 # DEPENDENCYPART_SIBL
(10,11),(10,14),-0.223831 # DEPENDENCYPART_SIBL
(10,11),(10,17),-0.0661153 # DEPENDENCYPART_SIBL
(10,12),(10,13),-0.0640873 # DEPENDENCYPART_SIBL
(10,12),(10,14),-0.0686529 # DEPENDENCYPART_SIBL
(10,12),(10,17),-0.0477713 # DEPENDENCYPART_SIBL
(10,13),(10,14),-0.223704 # DEPENDENCYPART_SIBL
(10,13),(10,17),-0.0660293 # DEPENDENCYPART_SIBL
(10,14),(10,17),-0.0689647 # DEPENDENCYPART_SIBL
(11,9),(11,12),-0.03424 # DEPENDENCYPART_SIBL
(11,9),(11,14),-0.0563263 # DEPENDENCYPART_SIBL
(11,12),(11,14),-0.00665246 # DEPENDENCYPART_SIBL
(12,1),(12,3),-0.00439628 # DEPENDENCYPART_SIBL
(12,1),(12,4),-0.00439628 # DEPENDENCYPART_SIBL
(12,1),(12,5),-0.00439628 # DEPENDENCYPART_SIBL
(12,1),(12,6),-0.00517205 # DEPENDENCYPART_SIBL
(12,1),(12,7),-0.00411463 # DEPENDENCYPART_SIBL
(12,1),(12,8),-0.0260523 # DEPENDENCYPART_SIBL
(12,1),(12,9),-0.0518421 # DEPENDENCYPART_SIBL
(12,1),(12,10),-0.00714487 # DEPENDENCYPART_SIBL
(12,1),(12,11),-0.0285803 # DEPENDENCYPART_SIBL
(12,1),(12,13),0.0603005 # DEPENDENCYPART_SIBL
(12,1),(12,14),0.0251508 # DEPENDENCYPART_SIBL
(12,1),(12,15),0.0597726 # DEPENDENCYPART_SIBL
(12,1),(12,16),-0.035064 # DEPENDENCYPART_SIBL
(12,1),(12,17),-0.0917645 # DEPENDENCYPART_SIBL
(12,3),(12,4),-0.00439628 # DEPENDENCYPART_SIBL
(12,3),(12,5),-0.00439628 # DEPENDENCYPART_SIBL
(12,3),(12,6),-0.00517205 # DEPENDENCYPART_SIBL
(12,3),(12,7),-0.00411463 # DEPENDENCYPART_SIBL
(12,3),(12,8),-0.0260523 # DEPENDENCYPART_SIBL
(12,3),(12,9),-0.0518421 # DEPENDENCYPART_SIBL
(12,3),(12,10),-0.00714487 # DEPENDENCYPART_SIBL
(12,3),(12,11),-0.0285803 # DEPENDENCYPART_SIBL
(12,3),(12,13),0.0603005 # DEPENDENCYPART_SIBL
(12,3),(12,14),0.0251508 # DEPENDENCYPART_SIBL
(12,3),(12,15),0.0597726 # DEPENDENCYPART_SIBL
(12,3),(12,16),-0.035064 # DEPENDENCYPART_SIBL
(12,3),(12,17),-0.0917645 # DEPENDENCYPART_SIBL
(12,4),(12,5),-0.00439628 # DEPENDENCYPART_SIBL
(12,4),(12,6),-0.00517205 # DEPENDENCYPART_SIBL
(12,4),(12,7),-0.00411463 # DEPENDENCYPART_SIBL
(12,4),(12,8),-0.0260523 # DEPENDENCYPART_SIBL
(12,4),(12,9),-0.0518421 # DEPENDENCYPART_SIBL
(12,4),(12,10),-0.00714487 # DEPENDENCYPART_SIBL
(12,4),(12,11),-0.0285803 # DEPENDENCYPART_SIBL
(12,4),(12,13),0.0603005 # DEPENDENCYPART_SIBL
(12,4),(12,14),0.0251508 # DEPENDENCYPART_SIBL
(12,4),(12,15),0.0597726 # DEPENDENCYPART_SIBL
(12,4),(12,16),-0.035064 # DEPENDENCYPART_SIBL
(12,4),(12,17),-0.0917645 # DEPENDENCYPART_SIBL
(12,5),(12,6),-0.00517205 # DEPENDENCYPART_SIBL
(12,5),(12,7),-0.00411463 # DEPENDENCYPART_SIBL
(12,5),(12,8),-0.0260523 # DEPENDENCYPART_SIBL
(12,5),(12,9),-0.0518421 # DEPENDENCYPART_SIBL
(12,5),(12,10),-0.00714487 # DEPENDENCYPART_SIBL
(12,5),(12,11),-0.0285803 # DEPENDENCYPART_SIBL
(12,5),(12,13),0.0603005 # DEPENDENCYPART_SIBL
(12,5),(12,14),0.0251508 # DEPENDENCYPART_SIBL
(12,5),(12,15),0.0597726 # DEPENDENCYPART_SIBL
(12,5),(12,16),-0.035064 # DEPENDENCYPART_SIBL
(12,5),(12,17),-0.0917645 # DEPENDENCYPART_SIBL
(12,6),(12,7),0.00840353 # DEPENDENCYPART_SIBL
(12,6),(12,8),-0.0104137 # DEPENDENCYPART_SIBL
(12,6),(12,9),-0.0393238 # DEPENDENCYPART_SIBL
(12,6),(12,10),0.00537341 # DEPENDENCYPART_SIBL
(12,6),(12,11),0.00696873 # DEPENDENCYPART_SIBL
(12,6),(12,13),0.065515 # DEPENDENCYPART_SIBL
(12,6),(12,14),0.0303653 # DEPENDENCYPART_SIBL
(12,6),(12,15),0.062701 # DEPENDENCYPART_SIBL
(12,6),(12,16),-0.0323174 # DEPENDENCYPART_SIBL
(12,6),(12,17),-0.0885446 # DEPENDENCYPART_SIBL
(12,7),(12,8),-0.102789 # DEPENDENCYPART_SIBL
(12,7),(12,9),-0.126671 # DEPENDENCYPART_SIBL
(12,7),(12,10),-0.0131592 # DEPENDENCYPART_SIBL
(12,7),(12,11),-0.23584 # DEPENDENCYPART_SIBL
(12,7),(12,13),-0.143791 # DEPENDENCYPART_SIBL
(12,7),(12,14),-0.169927 # DEPENDENCYPART_SIBL
(12,7),(12,15),-0.0217026 # DEPENDENCYPART_SIBL
(12,7),(12,16),-0.0428894 # DEPENDENCYPART_SIBL
(12,7),(12,17),0.103334 # DEPENDENCYPART_SIBL
(12,8),(12,9),-0.0314121 # DEPENDENCYPART_SIBL
(12,8),(12,10),0.0411649 # DEPENDENCYPART_SIBL
(12,8),(12,11),-0.0434057 # DEPENDENCYPART_SIBL
(12,8),(12,13),-0.08197 # DEPENDENCYPART_SIBL
(12,8),(12,14),-0.10003 # DEPENDENCYPART_SIBL
(12,8),(12,15),-0.0628281 # DEPENDENCYPART_SIBL
(12,8),(12,16),-0.0449018 # DEPENDENCYPART_SIBL
(12,8),(12,17),-0.0289899 # DEPENDENCYPART_SIBL
(12,9),(12,10),0.00272613 # DEPENDENCYPART_SIBL
(12,9),(12,11),-0.121581 # DEPENDENCYPART_SIBL
(12,9),(12,13),-0.0723837 # DEPENDENCYPART_SIBL
(12,9),(12,14),-0.0904441 # DEPENDENCYPART_SIBL
(12,9),(12,15),-0.0603903 # DEPENDENCYPART_SIBL
(12,9),(12,16),-0.0310046 # DEPENDENCYPART_SIBL
(12,9),(12,17),-0.0640171 # DEPENDENCYPART_SIBL
(12,10),(12,11),-0.0416402 # DEPENDENCYPART_SIBL
(12,10),(12,13),-0.0363367 # DEPENDENCYPART_SIBL
(12,10),(12,14),-0.0584306 # DEPENDENCYPART_SIBL
(12,10),(12,15),0.0145865 # DEPENDENCYPART_SIBL
(12,10),(12,16),-0.0351967 # DEPENDENCYPART_SIBL
(12,10),(12,17),-0.0610528 # DEPENDENCYPART_SIBL
(12,11),(12,13),0.0458251 # DEPENDENCYPART_SIBL
(12,11),(12,14),0.0106754 # DEPENDENCYPART_SIBL
(12,11),(12,15),0.0479955 # DEPENDENCYPART_SIBL
(12,11),(12,16),-0.0463863 # DEPENDENCYPART_SIBL
(12,11),(12,17),-0.105684 # DEPENDENCYPART_SIBL
(12,13),(12,14),-0.223704 # DEPENDENCYPART_SIBL
(12,13),(12,15),-0.00223748 # DEPENDENCYPART_SIBL
(12,13),(12,16),-0.0107843 # DEPENDENCYPART_SIBL
(12,13),(12,17),-0.0660293 # DEPENDENCYPART_SIBL
(12,14),(12,15),-0.00531839 # DEPENDENCYPART_SIBL
(12,14),(12,16),-0.0137197 # DEPENDENCYPART_SIBL
(12,14),(12,17),-0.0689647 # DEPENDENCYPART_SIBL
(12,15),(12,16),0.0257601 # DEPENDENCYPART_SIBL
(12,15),(12,17),-0.0160828 # DEPENDENCYPART_SIBL
(12,16),(12,17),-0.025539 # DEPENDENCYPART_SIBL
(13,11),(13,14),-0.0157049 # DEPENDENCYPART_SIBL
(13,11),(13,17),-0.0180592 # DEPENDENCYPART_SIBL
(13,14),(13,17),-0.0133724 # DEPENDENCYPART_SIBL
(14,4),(14,6),-0.0127475 # DEPENDENCYPART_SIBL
(14,4),(14,7),-0.00435238 # DEPENDENCYPART_SIBL
(14,4),(14,9),-0.0178839 # DEPENDENCYPART_SIBL
(14,4),(14,10),0.0411369 # DEPENDENCYPART_SIBL
(14,4),(14,11),-0.0137199 # DEPENDENCYPART_SIBL
(14,4),(14,12),0.0411369 # DEPENDENCYPART_SIBL
(14,4),(14,13),-0.0106713 # DEPENDENCYPART_SIBL
(14,4),(14,15),0.0135351 # DEPENDENCYPART_SIBL
(14,4),(14,16),-0.0305558 # DEPENDENCYPART_SIBL
(14,4),(14,17),-0.00415782 # DEPENDENCYPART_SIBL
(14,4),(14,18),0.0235986 # DEPENDENCYPART_SIBL
(14,6),(14,7),-0.00600723 # DEPENDENCYPART_SIBL
(14,6),(14,9),-0.0195386 # DEPENDENCYPART_SIBL
(14,6),(14,10),0.0394822 # DEPENDENCYPART_SIBL
(14,6),(14,11),-0.00608454 # DEPENDENCYPART_SIBL
(14,6),(14,12),0.0394822 # DEPENDENCYPART_SIBL
(14,6),(14,13),-0.00303602 # DEPENDENCYPART_SIBL
(14,6),(14,15),0.0114615 # DEPENDENCYPART_SIBL
(14,6),(14,16),-0.0327953 # DEPENDENCYPART_SIBL
(14,6),(14,17),-0.00592391 # DEPENDENCYPART_SIBL
(14,6),(14,18),0.0236385 # DEPENDENCYPART_SIBL
(14,7),(14,9),-0.0105737 # DEPENDENCYPART_SIBL
(14,7),(14,10),0.0714539 # DEPENDENCYPART_SIBL
(14,7),(14,11),0.0246739 # DEPENDENCYPART_SIBL
(14,7),(14,12),0.0714539 # DEPENDENCYPART_SIBL
(14,7),(14,13),0.0256383 # DEPENDENCYPART_SIBL
(14,7),(14,15),-0.0169757 # DEPENDENCYPART_SIBL
(14,7),(14,16),0.000489008 # DEPENDENCYPART_SIBL
(14,7),(14,17),0.119193 # DEPENDENCYPART_SIBL
(14,7),(14,18),-0.0290294 # DEPENDENCYPART_SIBL
(14,9),(14,10),-0.0297391 # DEPENDENCYPART_SIBL
(14,9),(14,11),-0.123942 # DEPENDENCYPART_SIBL
(14,9),(14,12),-0.0297391 # DEPENDENCYPART_SIBL
(14,9),(14,13),-0.123364 # DEPENDENCYPART_SIBL
(14,9),(14,15),-0.0688016 # DEPENDENCYPART_SIBL
(14,9),(14,16),-0.0468794 # DEPENDENCYPART_SIBL
(14,9),(14,17),-0.0149093 # DEPENDENCYPART_SIBL
(14,9),(14,18),-0.060129 # DEPENDENCYPART_SIBL
(14,10),(14,11),-0.131214 # DEPENDENCYPART_SIBL
(14,10),(14,12),0.0524802 # DEPENDENCYPART_SIBL
(14,10),(14,13),-0.131208 # DEPENDENCYPART_SIBL
(14,10),(14,15),-0.00858536 # DEPENDENCYPART_SIBL
(14,10),(14,16),-0.0506021 # DEPENDENCYPART_SIBL
(14,10),(14,17),-0.0164351 # DEPENDENCYPART_SIBL
(14,10),(14,18),-0.0504175 # DEPENDENCYPART_SIBL
(14,11),(14,12),0.037161 # DEPENDENCYPART_SIBL
(14,11),(14,13),-0.0202873 # DEPENDENCYPART_SIBL
(14,11),(14,15),0.0129959 # DEPENDENCYPART_SIBL
(14,11),(14,16),-0.0306623 # DEPENDENCYPART_SIBL
(14,11),(14,17),-0.00543248 # DEPENDENCYPART_SIBL
(14,11),(14,18),0.0277525 # DEPENDENCYPART_SIBL
(14,12),(14,13),-0.131208 # DEPENDENCYPART_SIBL
(14,12),(14,15),-0.00858536 # DEPENDENCYPART_SIBL
(14,12),(14,16),-0.0506021 # DEPENDENCYPART_SIBL
(14,12),(14,17),-0.0164351 # DEPENDENCYPART_SIBL
(14,12),(14,18),-0.0504175 # DEPENDENCYPART_SIBL
(14,13),(14,15),0.0135351 # DEPENDENCYPART_SIBL
(14,13),(14,16),-0.0305558 # DEPENDENCYPART_SIBL
(14,13),(14,17),-0.00415782 # DEPENDENCYPART_SIBL
