# _root_ horren berri zuzena eta zehatza izateko asmoak bultzatuta , karrantzako_udaleko ordezkaritza bat langraizko kartzelan fernando_diezekin biltzen ahaleginduko da , eta horretarako egin dute eskaera .
#goldHeads=2,6,4,2,4,7,8,20,8,11,17,11,14,16,16,17,20,17,18,0,22,20,22,22,24,
#predictedHeads=2,6,4,2,4,7,8,17,8,11,17,11,14,16,16,17,20,17,18,0,22,20,22,22,24,
(14,11),(14,13),-0.00765397 # DEPENDENCYPART_SIBL
(14,11),(14,15),-0.00633794 # DEPENDENCYPART_SIBL
(14,11),(14,18),0.0339371 # DEPENDENCYPART_SIBL
(14,11),(14,25),-0.0280953 # DEPENDENCYPART_SIBL
(14,12),(14,13),0.0324478 # DEPENDENCYPART_SIBL
(14,12),(14,15),-0.0879656 # DEPENDENCYPART_SIBL
(14,12),(14,18),-0.06601 # DEPENDENCYPART_SIBL
(14,12),(14,25),-0.0540158 # DEPENDENCYPART_SIBL
(14,13),(14,15),-0.00621019 # DEPENDENCYPART_SIBL
(14,13),(14,18),0.0333623 # DEPENDENCYPART_SIBL
(14,13),(14,25),-0.0274133 # DEPENDENCYPART_SIBL
(14,15),(14,18),0.00352959 # DEPENDENCYPART_SIBL
(14,15),(14,25),-0.0887528 # DEPENDENCYPART_SIBL
(14,18),(14,25),-0.0430112 # DEPENDENCYPART_SIBL
(15,3),(15,10),0.0156237 # DEPENDENCYPART_SIBL
(15,3),(15,11),0.0156237 # DEPENDENCYPART_SIBL
(15,3),(15,12),0.00855376 # DEPENDENCYPART_SIBL
(15,3),(15,13),0.0156237 # DEPENDENCYPART_SIBL
(15,3),(15,14),0.0156237 # DEPENDENCYPART_SIBL
(15,3),(15,16),-0.00857121 # DEPENDENCYPART_SIBL
(15,3),(15,18),0.00782853 # DEPENDENCYPART_SIBL
(15,3),(15,25),-0.10233 # DEPENDENCYPART_SIBL
(15,10),(15,11),-0.00844037 # DEPENDENCYPART_SIBL
(15,10),(15,12),-0.0019262 # DEPENDENCYPART_SIBL
(15,10),(15,13),-0.00787268 # DEPENDENCYPART_SIBL
(15,10),(15,14),-0.00510426 # DEPENDENCYPART_SIBL
(15,10),(15,16),0.0568122 # DEPENDENCYPART_SIBL
(15,10),(15,18),0.0312748 # DEPENDENCYPART_SIBL
(15,10),(15,25),-0.0276722 # DEPENDENCYPART_SIBL
(15,11),(15,12),-0.000528208 # DEPENDENCYPART_SIBL
(15,11),(15,13),-0.00765397 # DEPENDENCYPART_SIBL
(15,11),(15,14),-0.00488555 # DEPENDENCYPART_SIBL
(15,11),(15,16),0.0602302 # DEPENDENCYPART_SIBL
(15,11),(15,18),0.0339371 # DEPENDENCYPART_SIBL
(15,11),(15,25),-0.0280953 # DEPENDENCYPART_SIBL
(15,12),(15,13),0.0324478 # DEPENDENCYPART_SIBL
(15,12),(15,14),0.0324477 # DEPENDENCYPART_SIBL
(15,12),(15,16),-0.0336885 # DEPENDENCYPART_SIBL
(15,12),(15,18),-0.06601 # DEPENDENCYPART_SIBL
(15,12),(15,25),-0.0540158 # DEPENDENCYPART_SIBL
(15,13),(15,14),-0.00506289 # DEPENDENCYPART_SIBL
(15,13),(15,16),0.0589186 # DEPENDENCYPART_SIBL
(15,13),(15,18),0.0333623 # DEPENDENCYPART_SIBL
(15,13),(15,25),-0.0274133 # DEPENDENCYPART_SIBL
(15,14),(15,16),0.0589185 # DEPENDENCYPART_SIBL
(15,14),(15,18),0.0333622 # DEPENDENCYPART_SIBL
(15,14),(15,25),-0.027671 # DEPENDENCYPART_SIBL
(15,16),(15,18),0.0202869 # DEPENDENCYPART_SIBL
(15,16),(15,25),-0.0698384 # DEPENDENCYPART_SIBL
(15,18),(15,25),-0.0430112 # DEPENDENCYPART_SIBL
(16,1),(16,2),-0.0388622 # DEPENDENCYPART_SIBL
(16,1),(16,3),-0.000572014 # DEPENDENCYPART_SIBL
(16,1),(16,4),0.00718246 # DEPENDENCYPART_SIBL
(16,1),(16,5),9.06463e-05 # DEPENDENCYPART_SIBL
(16,1),(16,6),-0.00374461 # DEPENDENCYPART_SIBL
(16,1),(16,7),-0.0426022 # DEPENDENCYPART_SIBL
(16,1),(16,8),-0.00107314 # DEPENDENCYPART_SIBL
(16,1),(16,10),-0.0375752 # DEPENDENCYPART_SIBL
(16,1),(16,11),-0.0381428 # DEPENDENCYPART_SIBL
(16,1),(16,12),-0.0194478 # DEPENDENCYPART_SIBL
(16,1),(16,13),-0.0375752 # DEPENDENCYPART_SIBL
(16,1),(16,14),-0.0346968 # DEPENDENCYPART_SIBL
(16,1),(16,15),-0.0375752 # DEPENDENCYPART_SIBL
(16,1),(16,17),-0.0216372 # DEPENDENCYPART_SIBL
(16,1),(16,18),-0.0556007 # DEPENDENCYPART_SIBL
(16,1),(16,19),-0.00750358 # DEPENDENCYPART_SIBL
(16,1),(16,20),-0.0322773 # DEPENDENCYPART_SIBL
(16,1),(16,22),0.0121052 # DEPENDENCYPART_SIBL
(16,1),(16,23),-0.00855694 # DEPENDENCYPART_SIBL
(16,1),(16,24),-0.0124564 # DEPENDENCYPART_SIBL
(16,2),(16,3),-0.0352487 # DEPENDENCYPART_SIBL
(16,2),(16,4),-0.00430641 # DEPENDENCYPART_SIBL
(16,2),(16,5),-0.0278582 # DEPENDENCYPART_SIBL
(16,2),(16,6),-0.0235681 # DEPENDENCYPART_SIBL
(16,2),(16,7),-0.0697778 # DEPENDENCYPART_SIBL
(16,2),(16,8),-0.0170458 # DEPENDENCYPART_SIBL
(16,2),(16,10),-0.0583451 # DEPENDENCYPART_SIBL
(16,2),(16,11),-0.0600478 # DEPENDENCYPART_SIBL
(16,2),(16,12),-0.0189898 # DEPENDENCYPART_SIBL
(16,2),(16,13),-0.0583451 # DEPENDENCYPART_SIBL
(16,2),(16,14),-0.0498185 # DEPENDENCYPART_SIBL
(16,2),(16,15),-0.0583451 # DEPENDENCYPART_SIBL
(16,2),(16,17),-0.0249122 # DEPENDENCYPART_SIBL
(16,2),(16,18),-0.0207612 # DEPENDENCYPART_SIBL
(16,2),(16,19),-0.0166181 # DEPENDENCYPART_SIBL
(16,2),(16,20),-0.0220944 # DEPENDENCYPART_SIBL
(16,2),(16,22),0.0321524 # DEPENDENCYPART_SIBL
(16,2),(16,23),-0.0581309 # DEPENDENCYPART_SIBL
(16,2),(16,24),-0.0305009 # DEPENDENCYPART_SIBL
(16,3),(16,4),-0.014733 # DEPENDENCYPART_SIBL
(16,3),(16,5),-0.0136937 # DEPENDENCYPART_SIBL
(16,3),(16,6),-0.00181319 # DEPENDENCYPART_SIBL
(16,3),(16,7),-0.0167493 # DEPENDENCYPART_SIBL
(16,3),(16,8),0.00353383 # DEPENDENCYPART_SIBL
(16,3),(16,10),-0.0117223 # DEPENDENCYPART_SIBL
(16,3),(16,11),-0.0122899 # DEPENDENCYPART_SIBL
(16,3),(16,12),-0.0267319 # DEPENDENCYPART_SIBL
(16,3),(16,13),-0.0117223 # DEPENDENCYPART_SIBL
(16,3),(16,14),-0.00884373 # DEPENDENCYPART_SIBL
(16,3),(16,15),-0.0117223 # DEPENDENCYPART_SIBL
(16,3),(16,17),-0.00486153 # DEPENDENCYPART_SIBL
(16,3),(16,18),0.0340554 # DEPENDENCYPART_SIBL
(16,3),(16,19),-0.00803696 # DEPENDENCYPART_SIBL
(16,3),(16,20),0.00295843 # DEPENDENCYPART_SIBL
(16,3),(16,22),0.024704 # DEPENDENCYPART_SIBL
(16,3),(16,23),0.081103 # DEPENDENCYPART_SIBL
(16,3),(16,24),-0.0128168 # DEPENDENCYPART_SIBL
(16,4),(16,5),-0.0570373 # DEPENDENCYPART_SIBL
(16,4),(16,6),-0.0389744 # DEPENDENCYPART_SIBL
(16,4),(16,7),-0.134065 # DEPENDENCYPART_SIBL
(16,4),(16,8),-0.0358511 # DEPENDENCYPART_SIBL
(16,4),(16,10),-0.129038 # DEPENDENCYPART_SIBL
(16,4),(16,11),-0.129605 # DEPENDENCYPART_SIBL
(16,4),(16,12),-0.0861394 # DEPENDENCYPART_SIBL
(16,4),(16,13),-0.129038 # DEPENDENCYPART_SIBL
(16,4),(16,14),-0.126159 # DEPENDENCYPART_SIBL
(16,4),(16,15),-0.129038 # DEPENDENCYPART_SIBL
(16,4),(16,17),-0.0288657 # DEPENDENCYPART_SIBL
(16,4),(16,18),-0.0325687 # DEPENDENCYPART_SIBL
(16,4),(16,19),-0.0100453 # DEPENDENCYPART_SIBL
(16,4),(16,20),-0.00817229 # DEPENDENCYPART_SIBL
(16,4),(16,22),0.0144556 # DEPENDENCYPART_SIBL
(16,4),(16,23),0.0183891 # DEPENDENCYPART_SIBL
(16,4),(16,24),-0.00420491 # DEPENDENCYPART_SIBL
(16,5),(16,6),-0.00181779 # DEPENDENCYPART_SIBL
(16,5),(16,7),-0.0167539 # DEPENDENCYPART_SIBL
(16,5),(16,8),0.00352923 # DEPENDENCYPART_SIBL
(16,5),(16,10),-0.0117269 # DEPENDENCYPART_SIBL
(16,5),(16,11),-0.0122945 # DEPENDENCYPART_SIBL
(16,5),(16,12),-0.0267365 # DEPENDENCYPART_SIBL
(16,5),(16,13),-0.0117269 # DEPENDENCYPART_SIBL
(16,5),(16,14),-0.00884833 # DEPENDENCYPART_SIBL
(16,5),(16,15),-0.0117269 # DEPENDENCYPART_SIBL
(16,5),(16,17),-0.00342513 # DEPENDENCYPART_SIBL
(16,5),(16,18),0.035521 # DEPENDENCYPART_SIBL
(16,5),(16,19),0.00150194 # DEPENDENCYPART_SIBL
(16,5),(16,20),0.00570971 # DEPENDENCYPART_SIBL
(16,5),(16,22),0.0261404 # DEPENDENCYPART_SIBL
(16,5),(16,23),0.0825686 # DEPENDENCYPART_SIBL
(16,5),(16,24),-0.011881 # DEPENDENCYPART_SIBL
(16,6),(16,7),-0.0324642 # DEPENDENCYPART_SIBL
(16,6),(16,8),-0.0319759 # DEPENDENCYPART_SIBL
(16,6),(16,10),-0.0273369 # DEPENDENCYPART_SIBL
(16,6),(16,11),-0.0279045 # DEPENDENCYPART_SIBL
(16,6),(16,12),-0.00616565 # DEPENDENCYPART_SIBL
(16,6),(16,13),-0.0273369 # DEPENDENCYPART_SIBL
(16,6),(16,14),-0.0244587 # DEPENDENCYPART_SIBL
(16,6),(16,15),-0.0273369 # DEPENDENCYPART_SIBL
(16,6),(16,17),0.0171689 # DEPENDENCYPART_SIBL
(16,6),(16,18),0.100952 # DEPENDENCYPART_SIBL
(16,6),(16,19),0.0074059 # DEPENDENCYPART_SIBL
(16,6),(16,20),0.0221595 # DEPENDENCYPART_SIBL
(16,6),(16,22),0.0333454 # DEPENDENCYPART_SIBL
(16,6),(16,23),0.108567 # DEPENDENCYPART_SIBL
(16,6),(16,24),0.0433229 # DEPENDENCYPART_SIBL
(16,7),(16,8),-0.0115166 # DEPENDENCYPART_SIBL
(16,7),(16,10),-0.0608183 # DEPENDENCYPART_SIBL
(16,7),(16,11),-0.062521 # DEPENDENCYPART_SIBL
(16,7),(16,12),-0.016521 # DEPENDENCYPART_SIBL
(16,7),(16,13),-0.0608183 # DEPENDENCYPART_SIBL
(16,7),(16,14),-0.0522917 # DEPENDENCYPART_SIBL
(16,7),(16,15),-0.0608183 # DEPENDENCYPART_SIBL
(16,7),(16,17),-0.0186101 # DEPENDENCYPART_SIBL
(16,7),(16,18),-0.0114999 # DEPENDENCYPART_SIBL
(16,7),(16,19),-0.00485432 # DEPENDENCYPART_SIBL
(16,7),(16,20),-0.0169485 # DEPENDENCYPART_SIBL
(16,7),(16,22),0.0386846 # DEPENDENCYPART_SIBL
(16,7),(16,23),-0.0490009 # DEPENDENCYPART_SIBL
(16,7),(16,24),-0.0251011 # DEPENDENCYPART_SIBL
(16,8),(16,10),-0.0248661 # DEPENDENCYPART_SIBL
(16,8),(16,11),-0.0254336 # DEPENDENCYPART_SIBL
(16,8),(16,12),-0.0053045 # DEPENDENCYPART_SIBL
(16,8),(16,13),-0.0248661 # DEPENDENCYPART_SIBL
(16,8),(16,14),-0.0219879 # DEPENDENCYPART_SIBL
(16,8),(16,15),-0.0248661 # DEPENDENCYPART_SIBL
(16,8),(16,17),0.003794 # DEPENDENCYPART_SIBL
(16,8),(16,18),0.0740177 # DEPENDENCYPART_SIBL
(16,8),(16,19),-0.00543187 # DEPENDENCYPART_SIBL
(16,8),(16,20),0.0113989 # DEPENDENCYPART_SIBL
(16,8),(16,22),0.0199705 # DEPENDENCYPART_SIBL
(16,8),(16,23),0.0814176 # DEPENDENCYPART_SIBL
(16,8),(16,24),0.0113802 # DEPENDENCYPART_SIBL
(16,10),(16,11),-0.0658731 # DEPENDENCYPART_SIBL
(16,10),(16,12),-0.02258 # DEPENDENCYPART_SIBL
(16,10),(16,13),-0.0641704 # DEPENDENCYPART_SIBL
(16,10),(16,14),-0.0556438 # DEPENDENCYPART_SIBL
(16,10),(16,15),-0.0641704 # DEPENDENCYPART_SIBL
(16,10),(16,17),-0.0245302 # DEPENDENCYPART_SIBL
(16,10),(16,18),-0.018098 # DEPENDENCYPART_SIBL
(16,10),(16,19),-0.00735573 # DEPENDENCYPART_SIBL
(16,10),(16,20),-0.0193705 # DEPENDENCYPART_SIBL
(16,10),(16,22),0.0327645 # DEPENDENCYPART_SIBL
(16,10),(16,23),-0.055599 # DEPENDENCYPART_SIBL
(16,10),(16,24),-0.0308192 # DEPENDENCYPART_SIBL
(16,11),(16,12),-0.0161511 # DEPENDENCYPART_SIBL
(16,11),(16,13),-0.0600992 # DEPENDENCYPART_SIBL
(16,11),(16,14),-0.0515727 # DEPENDENCYPART_SIBL
(16,11),(16,15),-0.0600992 # DEPENDENCYPART_SIBL
(16,11),(16,17),-0.0114488 # DEPENDENCYPART_SIBL
(16,11),(16,18),-0.0058122 # DEPENDENCYPART_SIBL
(16,11),(16,19),-0.000817473 # DEPENDENCYPART_SIBL
(16,11),(16,20),-0.017768 # DEPENDENCYPART_SIBL
(16,11),(16,22),0.0458458 # DEPENDENCYPART_SIBL
(16,11),(16,23),-0.0433132 # DEPENDENCYPART_SIBL
(16,11),(16,24),-0.0224177 # DEPENDENCYPART_SIBL
(16,12),(16,13),-0.0281614 # DEPENDENCYPART_SIBL
(16,12),(16,14),-0.025283 # DEPENDENCYPART_SIBL
(16,12),(16,15),-0.0281614 # DEPENDENCYPART_SIBL
(16,12),(16,17),-0.0129233 # DEPENDENCYPART_SIBL
(16,12),(16,18),-0.051563 # DEPENDENCYPART_SIBL
(16,12),(16,19),-0.00724841 # DEPENDENCYPART_SIBL
(16,12),(16,20),-0.0335212 # DEPENDENCYPART_SIBL
(16,12),(16,22),0.020762 # DEPENDENCYPART_SIBL
(16,12),(16,23),-0.00965477 # DEPENDENCYPART_SIBL
(16,12),(16,24),-0.0199406 # DEPENDENCYPART_SIBL
(16,13),(16,14),-0.0521071 # DEPENDENCYPART_SIBL
(16,13),(16,15),-0.0606336 # DEPENDENCYPART_SIBL
(16,13),(16,17),-0.0153385 # DEPENDENCYPART_SIBL
(16,13),(16,18),-0.00822833 # DEPENDENCYPART_SIBL
(16,13),(16,19),-0.00140222 # DEPENDENCYPART_SIBL
(16,13),(16,20),-0.0136759 # DEPENDENCYPART_SIBL
(16,13),(16,22),0.0419562 # DEPENDENCYPART_SIBL
(16,13),(16,23),-0.0457293 # DEPENDENCYPART_SIBL
(16,13),(16,24),-0.0235217 # DEPENDENCYPART_SIBL
(16,14),(16,15),-0.0606339 # DEPENDENCYPART_SIBL
(16,14),(16,17),-0.0153413 # DEPENDENCYPART_SIBL
(16,14),(16,18),-0.00823114 # DEPENDENCYPART_SIBL
(16,14),(16,19),-0.00153359 # DEPENDENCYPART_SIBL
(16,14),(16,20),-0.0136949 # DEPENDENCYPART_SIBL
(16,14),(16,22),0.0419533 # DEPENDENCYPART_SIBL
(16,14),(16,23),-0.0457321 # DEPENDENCYPART_SIBL
(16,14),(16,24),-0.0235283 # DEPENDENCYPART_SIBL
(16,15),(16,17),-0.0153385 # DEPENDENCYPART_SIBL
(16,15),(16,18),-0.00822833 # DEPENDENCYPART_SIBL
(16,15),(16,19),-0.00140222 # DEPENDENCYPART_SIBL
(16,15),(16,20),-0.0136759 # DEPENDENCYPART_SIBL
(16,15),(16,22),0.0419562 # DEPENDENCYPART_SIBL
(16,15),(16,23),-0.0457293 # DEPENDENCYPART_SIBL
(16,15),(16,24),-0.0235217 # DEPENDENCYPART_SIBL
(16,17),(16,18),0.0161028 # DEPENDENCYPART_SIBL
(16,17),(16,19),-0.0491133 # DEPENDENCYPART_SIBL
(16,17),(16,20),-0.0396151 # DEPENDENCYPART_SIBL
(16,17),(16,22),-0.00481725 # DEPENDENCYPART_SIBL
(16,17),(16,23),9.97818e-05 # DEPENDENCYPART_SIBL
(16,17),(16,24),-0.0568262 # DEPENDENCYPART_SIBL
(16,18),(16,19),0.0012933 # DEPENDENCYPART_SIBL
(16,18),(16,20),0.00522392 # DEPENDENCYPART_SIBL
(16,18),(16,22),0.101902 # DEPENDENCYPART_SIBL
(16,18),(16,23),-0.143932 # DEPENDENCYPART_SIBL
(16,18),(16,24),0.0666042 # DEPENDENCYPART_SIBL
(16,19),(16,20),-0.0445926 # DEPENDENCYPART_SIBL
(16,19),(16,22),-0.0401543 # DEPENDENCYPART_SIBL
(16,19),(16,23),-0.0978433 # DEPENDENCYPART_SIBL
(16,19),(16,24),-0.108746 # DEPENDENCYPART_SIBL
(16,20),(16,22),-0.0115281 # DEPENDENCYPART_SIBL
(16,20),(16,23),-0.0379179 # DEPENDENCYPART_SIBL
(16,20),(16,24),-0.0126184 # DEPENDENCYPART_SIBL
(16,22),(16,23),0.21271 # DEPENDENCYPART_SIBL
(16,22),(16,24),-0.000571509 # DEPENDENCYPART_SIBL
(16,23),(16,24),0.027571 # DEPENDENCYPART_SIBL
(17,1),(17,2),-0.0236264 # DEPENDENCYPART_SIBL
(17,1),(17,3),-0.000408245 # DEPENDENCYPART_SIBL
(17,1),(17,4),0.00862529 # DEPENDENCYPART_SIBL
(17,1),(17,5),0.000254415 # DEPENDENCYPART_SIBL
(17,1),(17,6),-0.00306836 # DEPENDENCYPART_SIBL
(17,1),(17,7),-0.0273664 # DEPENDENCYPART_SIBL
(17,1),(17,8),-0.00039689 # DEPENDENCYPART_SIBL
(17,1),(17,9),-0.0778971 # DEPENDENCYPART_SIBL
(17,1),(17,10),-0.0223395 # DEPENDENCYPART_SIBL
(17,1),(17,11),-0.022907 # DEPENDENCYPART_SIBL
(17,1),(17,12),-0.0194217 # DEPENDENCYPART_SIBL
(17,1),(17,13),-0.0223395 # DEPENDENCYPART_SIBL
(17,1),(17,14),-0.0194611 # DEPENDENCYPART_SIBL
(17,1),(17,15),-0.0223395 # DEPENDENCYPART_SIBL
(17,1),(17,16),-0.00139016 # DEPENDENCYPART_SIBL
(17,1),(17,18),-0.0397272 # DEPENDENCYPART_SIBL
(17,1),(17,19),-0.00737254 # DEPENDENCYPART_SIBL
(17,1),(17,20),-0.039977 # DEPENDENCYPART_SIBL
(17,1),(17,22),0.01422 # DEPENDENCYPART_SIBL
(17,1),(17,23),0.00731656 # DEPENDENCYPART_SIBL
(17,1),(17,24),-0.00463369 # DEPENDENCYPART_SIBL
(17,2),(17,3),-0.023896 # DEPENDENCYPART_SIBL
(17,2),(17,4),0.00959344 # DEPENDENCYPART_SIBL
(17,2),(17,5),-0.0165055 # DEPENDENCYPART_SIBL
(17,2),(17,6),-0.0118416 # DEPENDENCYPART_SIBL
(17,2),(17,7),-0.036347 # DEPENDENCYPART_SIBL
(17,2),(17,8),-0.00531936 # DEPENDENCYPART_SIBL
(17,2),(17,9),-0.0723276 # DEPENDENCYPART_SIBL
(17,2),(17,10),-0.0249143 # DEPENDENCYPART_SIBL
(17,2),(17,11),-0.026617 # DEPENDENCYPART_SIBL
(17,2),(17,12),-0.00791246 # DEPENDENCYPART_SIBL
(17,2),(17,13),-0.0249143 # DEPENDENCYPART_SIBL
(17,2),(17,14),-0.0163877 # DEPENDENCYPART_SIBL
(17,2),(17,15),-0.0249143 # DEPENDENCYPART_SIBL
(17,2),(17,16),-0.00758064 # DEPENDENCYPART_SIBL
(17,2),(17,18),0.00379186 # DEPENDENCYPART_SIBL
(17,2),(17,19),-0.00927982 # DEPENDENCYPART_SIBL
(17,2),(17,20),-0.0305401 # DEPENDENCYPART_SIBL
(17,2),(17,22),0.0428922 # DEPENDENCYPART_SIBL
(17,2),(17,23),-0.0335778 # DEPENDENCYPART_SIBL
(17,2),(17,24),-0.00943514 # DEPENDENCYPART_SIBL
(17,3),(17,4),-0.0133162 # DEPENDENCYPART_SIBL
(17,3),(17,5),-0.013556 # DEPENDENCYPART_SIBL
(17,3),(17,6),-0.00116412 # DEPENDENCYPART_SIBL
(17,3),(17,7),-0.00154903 # DEPENDENCYPART_SIBL
(17,3),(17,8),0.0041829 # DEPENDENCYPART_SIBL
(17,3),(17,9),-0.0494314 # DEPENDENCYPART_SIBL
(17,3),(17,10),0.00347792 # DEPENDENCYPART_SIBL
(17,3),(17,11),0.00291038 # DEPENDENCYPART_SIBL
(17,3),(17,12),-0.0267319 # DEPENDENCYPART_SIBL
(17,3),(17,13),0.00347792 # DEPENDENCYPART_SIBL
(17,3),(17,14),0.00635652 # DEPENDENCYPART_SIBL
(17,3),(17,15),0.00347792 # DEPENDENCYPART_SIBL
(17,3),(17,16),0.00343017 # DEPENDENCYPART_SIBL
(17,3),(17,18),0.05018 # DEPENDENCYPART_SIBL
(17,3),(17,19),-0.00778783 # DEPENDENCYPART_SIBL
(17,3),(17,20),-0.0046141 # DEPENDENCYPART_SIBL
(17,3),(17,22),0.0269277 # DEPENDENCYPART_SIBL
(17,3),(17,23),0.0972275 # DEPENDENCYPART_SIBL
(17,3),(17,24),-0.0048758 # DEPENDENCYPART_SIBL
(17,4),(17,5),-0.0565299 # DEPENDENCYPART_SIBL
(17,4),(17,6),-0.0379557 # DEPENDENCYPART_SIBL
(17,4),(17,7),-0.118495 # DEPENDENCYPART_SIBL
(17,4),(17,8),-0.0348323 # DEPENDENCYPART_SIBL
(17,4),(17,9),-0.0888668 # DEPENDENCYPART_SIBL
(17,4),(17,10),-0.113468 # DEPENDENCYPART_SIBL
(17,4),(17,11),-0.114036 # DEPENDENCYPART_SIBL
(17,4),(17,12),-0.0857697 # DEPENDENCYPART_SIBL
(17,4),(17,13),-0.113468 # DEPENDENCYPART_SIBL
(17,4),(17,14),-0.110589 # DEPENDENCYPART_SIBL
(17,4),(17,15),-0.113468 # DEPENDENCYPART_SIBL
(17,4),(17,16),-0.035585 # DEPENDENCYPART_SIBL
(17,4),(17,18),0.0182213 # DEPENDENCYPART_SIBL
(17,4),(17,19),0.0109203 # DEPENDENCYPART_SIBL
(17,4),(17,20),0.00499384 # DEPENDENCYPART_SIBL
(17,4),(17,22),0.0380343 # DEPENDENCYPART_SIBL
(17,4),(17,23),0.0691791 # DEPENDENCYPART_SIBL
(17,4),(17,24),0.0244525 # DEPENDENCYPART_SIBL
(17,5),(17,6),-0.00116872 # DEPENDENCYPART_SIBL
(17,5),(17,7),-0.00155363 # DEPENDENCYPART_SIBL
(17,5),(17,8),0.0041783 # DEPENDENCYPART_SIBL
(17,5),(17,9),-0.049436 # DEPENDENCYPART_SIBL
(17,5),(17,10),0.00347332 # DEPENDENCYPART_SIBL
(17,5),(17,11),0.00290578 # DEPENDENCYPART_SIBL
(17,5),(17,12),-0.0267365 # DEPENDENCYPART_SIBL
(17,5),(17,13),0.00347332 # DEPENDENCYPART_SIBL
(17,5),(17,14),0.00635191 # DEPENDENCYPART_SIBL
(17,5),(17,15),0.00347332 # DEPENDENCYPART_SIBL
(17,5),(17,16),0.00342557 # DEPENDENCYPART_SIBL
(17,5),(17,18),0.0516456 # DEPENDENCYPART_SIBL
(17,5),(17,19),0.00175106 # DEPENDENCYPART_SIBL
(17,5),(17,20),-0.00186281 # DEPENDENCYPART_SIBL
(17,5),(17,22),0.0283641 # DEPENDENCYPART_SIBL
(17,5),(17,23),0.0986931 # DEPENDENCYPART_SIBL
(17,5),(17,24),-0.00394004 # DEPENDENCYPART_SIBL
(17,6),(17,7),-0.0146342 # DEPENDENCYPART_SIBL
(17,6),(17,8),-0.0296602 # DEPENDENCYPART_SIBL
(17,6),(17,9),-0.0838601 # DEPENDENCYPART_SIBL
(17,6),(17,10),-0.0095069 # DEPENDENCYPART_SIBL
(17,6),(17,11),-0.0100744 # DEPENDENCYPART_SIBL
(17,6),(17,12),-0.00449907 # DEPENDENCYPART_SIBL
(17,6),(17,13),-0.0095069 # DEPENDENCYPART_SIBL
(17,6),(17,14),-0.00662868 # DEPENDENCYPART_SIBL
(17,6),(17,15),-0.0095069 # DEPENDENCYPART_SIBL
(17,6),(17,16),-0.0323078 # DEPENDENCYPART_SIBL
(17,6),(17,18),0.117904 # DEPENDENCYPART_SIBL
(17,6),(17,19),0.00811623 # DEPENDENCYPART_SIBL
(17,6),(17,20),0.0151385 # DEPENDENCYPART_SIBL
(17,6),(17,22),0.0360519 # DEPENDENCYPART_SIBL
(17,6),(17,23),0.12552 # DEPENDENCYPART_SIBL
(17,6),(17,24),0.0517446 # DEPENDENCYPART_SIBL
(17,7),(17,8),0.000209889 # DEPENDENCYPART_SIBL
(17,7),(17,9),-0.0719614 # DEPENDENCYPART_SIBL
(17,7),(17,10),-0.0273875 # DEPENDENCYPART_SIBL
(17,7),(17,11),-0.0290902 # DEPENDENCYPART_SIBL
(17,7),(17,12),-0.0054437 # DEPENDENCYPART_SIBL
(17,7),(17,13),-0.0273875 # DEPENDENCYPART_SIBL
(17,7),(17,14),-0.0188609 # DEPENDENCYPART_SIBL
(17,7),(17,15),-0.0273875 # DEPENDENCYPART_SIBL
(17,7),(17,16),-0.00205139 # DEPENDENCYPART_SIBL
(17,7),(17,18),0.0130531 # DEPENDENCYPART_SIBL
(17,7),(17,19),0.00248394 # DEPENDENCYPART_SIBL
(17,7),(17,20),-0.0253942 # DEPENDENCYPART_SIBL
(17,7),(17,22),0.0494244 # DEPENDENCYPART_SIBL
(17,7),(17,23),-0.0244479 # DEPENDENCYPART_SIBL
(17,7),(17,24),-0.00403529 # DEPENDENCYPART_SIBL
(17,8),(17,9),-0.0829989 # DEPENDENCYPART_SIBL
(17,8),(17,10),-0.00703606 # DEPENDENCYPART_SIBL
(17,8),(17,11),-0.0076036 # DEPENDENCYPART_SIBL
(17,8),(17,12),-0.00363792 # DEPENDENCYPART_SIBL
(17,8),(17,13),-0.00703606 # DEPENDENCYPART_SIBL
(17,8),(17,14),-0.00415784 # DEPENDENCYPART_SIBL
(17,8),(17,15),-0.00703606 # DEPENDENCYPART_SIBL
(17,8),(17,16),-0.0307893 # DEPENDENCYPART_SIBL
(17,8),(17,18),0.0909702 # DEPENDENCYPART_SIBL
(17,8),(17,19),-0.00472154 # DEPENDENCYPART_SIBL
(17,8),(17,20),0.00437792 # DEPENDENCYPART_SIBL
(17,8),(17,22),0.0226769 # DEPENDENCYPART_SIBL
(17,8),(17,23),0.09837 # DEPENDENCYPART_SIBL
(17,8),(17,24),0.0198019 # DEPENDENCYPART_SIBL
(17,9),(17,10),-0.174817 # DEPENDENCYPART_SIBL
(17,9),(17,11),-0.175384 # DEPENDENCYPART_SIBL
(17,9),(17,12),-0.102688 # DEPENDENCYPART_SIBL
(17,9),(17,13),-0.174817 # DEPENDENCYPART_SIBL
(17,9),(17,14),-0.171938 # DEPENDENCYPART_SIBL
(17,9),(17,15),-0.174817 # DEPENDENCYPART_SIBL
(17,9),(17,16),-0.103402 # DEPENDENCYPART_SIBL
(17,9),(17,18),-0.0117287 # DEPENDENCYPART_SIBL
(17,9),(17,19),-0.00549256 # DEPENDENCYPART_SIBL
(17,9),(17,20),-0.0452097 # DEPENDENCYPART_SIBL
