# _root_ ybarra eta gonzalezen_arabera , bbvak banku bakar bezala egingo du lan bere unitate eta negozio guztietan , " espainiako merkatuan jada ezagunenetakoa den marka bakarrarekin " .
#goldHeads=2,9,2,3,9,9,6,7,0,9,9,13,2,9,2,15,16,17,20,23,23,23,24,9,24,25,26,
#predictedHeads=2,9,2,3,9,9,6,7,0,9,9,13,14,9,14,15,16,17,20,23,23,0,24,9,24,25,26,
(0,22),(0,23),-0.0416695 # DEPENDENCYPART_SIBL
(0,22),(0,24),0.00239705 # DEPENDENCYPART_SIBL
(0,22),(0,25),0.0133124 # DEPENDENCYPART_SIBL
(0,22),(0,26),-0.09386 # DEPENDENCYPART_SIBL
(0,22),(0,27),-0.0745267 # DEPENDENCYPART_SIBL
(0,23),(0,24),-0.0467199 # DEPENDENCYPART_SIBL
(0,23),(0,25),-0.0366244 # DEPENDENCYPART_SIBL
(0,23),(0,26),-0.132493 # DEPENDENCYPART_SIBL
(0,23),(0,27),-0.10801 # DEPENDENCYPART_SIBL
(0,24),(0,25),0.0183958 # DEPENDENCYPART_SIBL
(0,24),(0,26),-0.198273 # DEPENDENCYPART_SIBL
(0,24),(0,27),-0.174982 # DEPENDENCYPART_SIBL
(0,25),(0,26),-0.0966864 # DEPENDENCYPART_SIBL
(0,25),(0,27),-0.0798058 # DEPENDENCYPART_SIBL
(0,26),(0,27),-0.161528 # DEPENDENCYPART_SIBL
(2,1),(2,3),0.0603005 # DEPENDENCYPART_SIBL
(2,1),(2,4),-0.0802123 # DEPENDENCYPART_SIBL
(2,1),(2,5),0.0603005 # DEPENDENCYPART_SIBL
(2,1),(2,6),0.0554906 # DEPENDENCYPART_SIBL
(2,1),(2,9),-0.101526 # DEPENDENCYPART_SIBL
(2,1),(2,11),0.0539254 # DEPENDENCYPART_SIBL
(2,1),(2,13),0.0603005 # DEPENDENCYPART_SIBL
(2,1),(2,14),0.000114664 # DEPENDENCYPART_SIBL
(2,1),(2,15),0.0602973 # DEPENDENCYPART_SIBL
(2,1),(2,20),0.0632578 # DEPENDENCYPART_SIBL
(2,1),(2,24),0.0603005 # DEPENDENCYPART_SIBL
(2,3),(2,4),-0.107775 # DEPENDENCYPART_SIBL
(2,3),(2,5),-0.217701 # DEPENDENCYPART_SIBL
(2,3),(2,6),-0.218342 # DEPENDENCYPART_SIBL
(2,3),(2,9),-0.157694 # DEPENDENCYPART_SIBL
(2,3),(2,11),-0.214199 # DEPENDENCYPART_SIBL
(2,3),(2,13),-0.217701 # DEPENDENCYPART_SIBL
(2,3),(2,14),-0.0323024 # DEPENDENCYPART_SIBL
(2,3),(2,15),-0.217701 # DEPENDENCYPART_SIBL
(2,3),(2,20),-0.217703 # DEPENDENCYPART_SIBL
(2,3),(2,24),-0.217701 # DEPENDENCYPART_SIBL
(2,4),(2,5),-0.0273345 # DEPENDENCYPART_SIBL
(2,4),(2,6),-0.0273345 # DEPENDENCYPART_SIBL
(2,4),(2,9),-0.0149295 # DEPENDENCYPART_SIBL
(2,4),(2,11),-0.0219576 # DEPENDENCYPART_SIBL
(2,4),(2,13),-0.0273345 # DEPENDENCYPART_SIBL
(2,4),(2,14),0.0168617 # DEPENDENCYPART_SIBL
(2,4),(2,15),-0.0273345 # DEPENDENCYPART_SIBL
(2,4),(2,20),-0.0273345 # DEPENDENCYPART_SIBL
(2,4),(2,24),-0.0273345 # DEPENDENCYPART_SIBL
(2,5),(2,6),-0.218342 # DEPENDENCYPART_SIBL
(2,5),(2,9),-0.157694 # DEPENDENCYPART_SIBL
(2,5),(2,11),-0.214199 # DEPENDENCYPART_SIBL
(2,5),(2,13),-0.217701 # DEPENDENCYPART_SIBL
(2,5),(2,14),-0.0323024 # DEPENDENCYPART_SIBL
(2,5),(2,15),-0.217701 # DEPENDENCYPART_SIBL
(2,5),(2,20),-0.217703 # DEPENDENCYPART_SIBL
(2,5),(2,24),-0.217701 # DEPENDENCYPART_SIBL
(2,6),(2,9),-0.157737 # DEPENDENCYPART_SIBL
(2,6),(2,11),-0.214715 # DEPENDENCYPART_SIBL
(2,6),(2,13),-0.218217 # DEPENDENCYPART_SIBL
(2,6),(2,14),-0.0323121 # DEPENDENCYPART_SIBL
(2,6),(2,15),-0.218217 # DEPENDENCYPART_SIBL
(2,6),(2,20),-0.218219 # DEPENDENCYPART_SIBL
(2,6),(2,24),-0.218217 # DEPENDENCYPART_SIBL
(2,9),(2,11),-0.107177 # DEPENDENCYPART_SIBL
(2,9),(2,13),-0.106604 # DEPENDENCYPART_SIBL
(2,9),(2,14),-0.0136217 # DEPENDENCYPART_SIBL
(2,9),(2,15),-0.106604 # DEPENDENCYPART_SIBL
(2,9),(2,20),-0.106609 # DEPENDENCYPART_SIBL
(2,9),(2,24),-0.106604 # DEPENDENCYPART_SIBL
(2,11),(2,13),-0.221751 # DEPENDENCYPART_SIBL
(2,11),(2,14),-0.0325971 # DEPENDENCYPART_SIBL
(2,11),(2,15),-0.221751 # DEPENDENCYPART_SIBL
(2,11),(2,20),-0.221754 # DEPENDENCYPART_SIBL
(2,11),(2,24),-0.221751 # DEPENDENCYPART_SIBL
(2,13),(2,14),-0.0323024 # DEPENDENCYPART_SIBL
(2,13),(2,15),-0.217701 # DEPENDENCYPART_SIBL
(2,13),(2,20),-0.217703 # DEPENDENCYPART_SIBL
(2,13),(2,24),-0.217701 # DEPENDENCYPART_SIBL
(2,14),(2,15),-0.0640873 # DEPENDENCYPART_SIBL
(2,14),(2,20),-0.0640904 # DEPENDENCYPART_SIBL
(2,14),(2,24),-0.0640873 # DEPENDENCYPART_SIBL
(2,15),(2,20),-0.217796 # DEPENDENCYPART_SIBL
(2,15),(2,24),-0.217794 # DEPENDENCYPART_SIBL
(2,20),(2,24),-0.218362 # DEPENDENCYPART_SIBL
(3,4),(3,5),-0.049334 # DEPENDENCYPART_SIBL
(3,4),(3,6),-0.0493369 # DEPENDENCYPART_SIBL
(3,5),(3,6),-0.00795318 # DEPENDENCYPART_SIBL
(4,1),(4,2),0.0226187 # DEPENDENCYPART_SIBL
(4,1),(4,3),0.0141349 # DEPENDENCYPART_SIBL
(4,1),(4,7),0.0910297 # DEPENDENCYPART_SIBL
(4,1),(4,9),0.160607 # DEPENDENCYPART_SIBL
(4,2),(4,3),-0.0235703 # DEPENDENCYPART_SIBL
(4,2),(4,7),0.0693618 # DEPENDENCYPART_SIBL
(4,2),(4,9),0.235824 # DEPENDENCYPART_SIBL
(4,3),(4,7),0.0910297 # DEPENDENCYPART_SIBL
(4,3),(4,9),0.160607 # DEPENDENCYPART_SIBL
(4,7),(4,9),-0.0102634 # DEPENDENCYPART_SIBL
(5,3),(5,4),-0.0259473 # DEPENDENCYPART_SIBL
(5,3),(5,6),-0.00950373 # DEPENDENCYPART_SIBL
(5,4),(5,6),-0.0562618 # DEPENDENCYPART_SIBL
(6,1),(6,2),0.0336062 # DEPENDENCYPART_SIBL
(6,1),(6,3),-0.00811823 # DEPENDENCYPART_SIBL
(6,1),(6,4),-0.0260447 # DEPENDENCYPART_SIBL
(6,1),(6,5),-0.00811823 # DEPENDENCYPART_SIBL
(6,1),(6,7),-0.0257956 # DEPENDENCYPART_SIBL
(6,1),(6,8),0.0117707 # DEPENDENCYPART_SIBL
(6,1),(6,9),0.016935 # DEPENDENCYPART_SIBL
(6,1),(6,10),0.0115917 # DEPENDENCYPART_SIBL
(6,1),(6,11),-0.0145968 # DEPENDENCYPART_SIBL
(6,1),(6,12),-0.0363973 # DEPENDENCYPART_SIBL
(6,1),(6,13),-0.00663868 # DEPENDENCYPART_SIBL
(6,1),(6,14),0.00668645 # DEPENDENCYPART_SIBL
(6,1),(6,15),-0.00665266 # DEPENDENCYPART_SIBL
(6,1),(6,16),-0.00609325 # DEPENDENCYPART_SIBL
(6,2),(6,3),-0.10758 # DEPENDENCYPART_SIBL
(6,2),(6,4),-0.0675343 # DEPENDENCYPART_SIBL
(6,2),(6,5),-0.10758 # DEPENDENCYPART_SIBL
(6,2),(6,7),-0.0643586 # DEPENDENCYPART_SIBL
(6,2),(6,8),-0.0272257 # DEPENDENCYPART_SIBL
(6,2),(6,9),0.00404219 # DEPENDENCYPART_SIBL
(6,2),(6,10),0.0101153 # DEPENDENCYPART_SIBL
(6,2),(6,11),-0.0266552 # DEPENDENCYPART_SIBL
(6,2),(6,12),0.0586185 # DEPENDENCYPART_SIBL
(6,2),(6,13),-0.0237121 # DEPENDENCYPART_SIBL
(6,2),(6,14),0.0399558 # DEPENDENCYPART_SIBL
(6,2),(6,15),-0.0237229 # DEPENDENCYPART_SIBL
(6,2),(6,16),0.0636821 # DEPENDENCYPART_SIBL
(6,3),(6,4),-0.0260447 # DEPENDENCYPART_SIBL
(6,3),(6,5),-0.00811823 # DEPENDENCYPART_SIBL
(6,3),(6,7),-0.0257956 # DEPENDENCYPART_SIBL
(6,3),(6,8),0.0117707 # DEPENDENCYPART_SIBL
(6,3),(6,9),0.016935 # DEPENDENCYPART_SIBL
(6,3),(6,10),0.0115917 # DEPENDENCYPART_SIBL
(6,3),(6,11),-0.0145968 # DEPENDENCYPART_SIBL
(6,3),(6,12),-0.0363973 # DEPENDENCYPART_SIBL
(6,3),(6,13),-0.00663868 # DEPENDENCYPART_SIBL
(6,3),(6,14),0.00668645 # DEPENDENCYPART_SIBL
(6,3),(6,15),-0.00665266 # DEPENDENCYPART_SIBL
(6,3),(6,16),-0.00609325 # DEPENDENCYPART_SIBL
(6,4),(6,5),-0.115711 # DEPENDENCYPART_SIBL
(6,4),(6,7),-0.0398735 # DEPENDENCYPART_SIBL
(6,4),(6,8),-0.0277859 # DEPENDENCYPART_SIBL
(6,4),(6,9),-0.0357254 # DEPENDENCYPART_SIBL
(6,4),(6,10),-0.0382558 # DEPENDENCYPART_SIBL
(6,4),(6,11),-0.0576604 # DEPENDENCYPART_SIBL
(6,4),(6,12),-0.029658 # DEPENDENCYPART_SIBL
(6,4),(6,13),-0.0562268 # DEPENDENCYPART_SIBL
(6,4),(6,14),-0.0342394 # DEPENDENCYPART_SIBL
(6,4),(6,15),-0.0562376 # DEPENDENCYPART_SIBL
(6,4),(6,16),-0.0329547 # DEPENDENCYPART_SIBL
(6,5),(6,7),-0.0257956 # DEPENDENCYPART_SIBL
(6,5),(6,8),0.0117707 # DEPENDENCYPART_SIBL
(6,5),(6,9),0.016935 # DEPENDENCYPART_SIBL
(6,5),(6,10),0.0115917 # DEPENDENCYPART_SIBL
(6,5),(6,11),-0.0145968 # DEPENDENCYPART_SIBL
(6,5),(6,12),-0.0363973 # DEPENDENCYPART_SIBL
(6,5),(6,13),-0.00663868 # DEPENDENCYPART_SIBL
(6,5),(6,14),0.00668645 # DEPENDENCYPART_SIBL
(6,5),(6,15),-0.00665266 # DEPENDENCYPART_SIBL
(6,5),(6,16),-0.00609325 # DEPENDENCYPART_SIBL
(6,7),(6,8),0.0510768 # DEPENDENCYPART_SIBL
(6,7),(6,9),-0.0494326 # DEPENDENCYPART_SIBL
(6,7),(6,10),-0.00137999 # DEPENDENCYPART_SIBL
(6,7),(6,11),-0.0165937 # DEPENDENCYPART_SIBL
(6,7),(6,12),0.00827285 # DEPENDENCYPART_SIBL
(6,7),(6,13),-0.0159811 # DEPENDENCYPART_SIBL
(6,7),(6,14),-0.079759 # DEPENDENCYPART_SIBL
(6,7),(6,15),-0.0159811 # DEPENDENCYPART_SIBL
(6,7),(6,16),0.0930264 # DEPENDENCYPART_SIBL
(6,8),(6,9),-0.0247979 # DEPENDENCYPART_SIBL
(6,8),(6,10),-0.0208743 # DEPENDENCYPART_SIBL
(6,8),(6,11),0.0126306 # DEPENDENCYPART_SIBL
(6,8),(6,12),0.0025646 # DEPENDENCYPART_SIBL
(6,8),(6,13),0.0129978 # DEPENDENCYPART_SIBL
(6,8),(6,14),-0.0143747 # DEPENDENCYPART_SIBL
(6,8),(6,15),0.0129978 # DEPENDENCYPART_SIBL
(6,8),(6,16),0.0341549 # DEPENDENCYPART_SIBL
(6,9),(6,10),0.0522035 # DEPENDENCYPART_SIBL
(6,9),(6,11),-0.0103444 # DEPENDENCYPART_SIBL
(6,9),(6,12),-0.00463426 # DEPENDENCYPART_SIBL
(6,9),(6,13),-0.00940678 # DEPENDENCYPART_SIBL
(6,9),(6,14),-0.00873772 # DEPENDENCYPART_SIBL
(6,9),(6,15),-0.00940678 # DEPENDENCYPART_SIBL
(6,9),(6,16),0.0272458 # DEPENDENCYPART_SIBL
(6,10),(6,11),0.0415607 # DEPENDENCYPART_SIBL
(6,10),(6,12),-0.0078073 # DEPENDENCYPART_SIBL
(6,10),(6,13),0.0421037 # DEPENDENCYPART_SIBL
(6,10),(6,14),0.027656 # DEPENDENCYPART_SIBL
(6,10),(6,15),0.0421037 # DEPENDENCYPART_SIBL
(6,10),(6,16),0.0285367 # DEPENDENCYPART_SIBL
(6,11),(6,12),-0.029351 # DEPENDENCYPART_SIBL
(6,11),(6,13),-0.011486 # DEPENDENCYPART_SIBL
(6,11),(6,14),-0.00893812 # DEPENDENCYPART_SIBL
(6,11),(6,15),-0.011486 # DEPENDENCYPART_SIBL
(6,11),(6,16),0.00241579 # DEPENDENCYPART_SIBL
(6,12),(6,13),-0.019624 # DEPENDENCYPART_SIBL
(6,12),(6,14),-0.0136144 # DEPENDENCYPART_SIBL
(6,12),(6,15),-0.019624 # DEPENDENCYPART_SIBL
(6,12),(6,16),-0.0618626 # DEPENDENCYPART_SIBL
(6,13),(6,14),-0.00858012 # DEPENDENCYPART_SIBL
(6,13),(6,15),-0.0073091 # DEPENDENCYPART_SIBL
(6,13),(6,16),0.00247909 # DEPENDENCYPART_SIBL
(6,14),(6,15),-0.00388583 # DEPENDENCYPART_SIBL
(6,14),(6,16),0.0682805 # DEPENDENCYPART_SIBL
(6,15),(6,16),0.00247905 # DEPENDENCYPART_SIBL
(7,5),(7,6),0.0550482 # DEPENDENCYPART_SIBL
(7,5),(7,8),0.0318264 # DEPENDENCYPART_SIBL
(7,5),(7,9),0.0229366 # DEPENDENCYPART_SIBL
(7,6),(7,8),0.0316662 # DEPENDENCYPART_SIBL
(7,6),(7,9),0.0226285 # DEPENDENCYPART_SIBL
(7,8),(7,9),-0.0223858 # DEPENDENCYPART_SIBL
(8,6),(8,9),0.015573 # DEPENDENCYPART_SIBL
(8,6),(8,11),0.0227073 # DEPENDENCYPART_SIBL
(8,6),(8,13),0.0278035 # DEPENDENCYPART_SIBL
(8,6),(8,14),0.00905265 # DEPENDENCYPART_SIBL
(8,6),(8,21),0.000790419 # DEPENDENCYPART_SIBL
(8,9),(8,11),-0.00215631 # DEPENDENCYPART_SIBL
(8,9),(8,13),-0.00158357 # DEPENDENCYPART_SIBL
(8,9),(8,14),0.00130186 # DEPENDENCYPART_SIBL
(8,9),(8,21),-0.00816927 # DEPENDENCYPART_SIBL
(8,11),(8,13),0.00556682 # DEPENDENCYPART_SIBL
(8,11),(8,14),0.0188671 # DEPENDENCYPART_SIBL
(8,11),(8,21),0.0162653 # DEPENDENCYPART_SIBL
(8,13),(8,14),0.0191617 # DEPENDENCYPART_SIBL
(8,13),(8,21),0.0162683 # DEPENDENCYPART_SIBL
(8,14),(8,21),0.00935094 # DEPENDENCYPART_SIBL
(9,1),(9,2),-0.00674401 # DEPENDENCYPART_SIBL
(9,1),(9,3),0.00716873 # DEPENDENCYPART_SIBL
(9,1),(9,4),-0.076585 # DEPENDENCYPART_SIBL
(9,1),(9,5),0.00716873 # DEPENDENCYPART_SIBL
(9,1),(9,6),0.00975123 # DEPENDENCYPART_SIBL
(9,1),(9,7),0.00291601 # DEPENDENCYPART_SIBL
(9,1),(9,8),-0.139796 # DEPENDENCYPART_SIBL
(9,1),(9,10),0.0525492 # DEPENDENCYPART_SIBL
(9,1),(9,11),0.049124 # DEPENDENCYPART_SIBL
(9,1),(9,12),-0.0244541 # DEPENDENCYPART_SIBL
(9,1),(9,13),0.0569631 # DEPENDENCYPART_SIBL
(9,1),(9,14),0.00200352 # DEPENDENCYPART_SIBL
(9,1),(9,15),0.0569598 # DEPENDENCYPART_SIBL
(9,1),(9,17),0.0424941 # DEPENDENCYPART_SIBL
(9,1),(9,19),0.0592127 # DEPENDENCYPART_SIBL
(9,1),(9,20),0.0655724 # DEPENDENCYPART_SIBL
(9,1),(9,21),0.0179724 # DEPENDENCYPART_SIBL
(9,1),(9,23),-0.00653294 # DEPENDENCYPART_SIBL
(9,1),(9,24),0.0569631 # DEPENDENCYPART_SIBL
(9,2),(9,3),-0.106668 # DEPENDENCYPART_SIBL
(9,2),(9,4),-0.105441 # DEPENDENCYPART_SIBL
(9,2),(9,5),-0.106668 # DEPENDENCYPART_SIBL
(9,2),(9,6),-0.106413 # DEPENDENCYPART_SIBL
(9,2),(9,7),-0.0618959 # DEPENDENCYPART_SIBL
(9,2),(9,8),-0.0935968 # DEPENDENCYPART_SIBL
(9,2),(9,10),0.00198202 # DEPENDENCYPART_SIBL
(9,2),(9,11),0.0322713 # DEPENDENCYPART_SIBL
(9,2),(9,12),-0.0216832 # DEPENDENCYPART_SIBL
(9,2),(9,13),0.037315 # DEPENDENCYPART_SIBL
(9,2),(9,14),-0.00593742 # DEPENDENCYPART_SIBL
(9,2),(9,15),0.037315 # DEPENDENCYPART_SIBL
(9,2),(9,17),0.0102675 # DEPENDENCYPART_SIBL
(9,2),(9,19),0.0369195 # DEPENDENCYPART_SIBL
(9,2),(9,20),0.0399613 # DEPENDENCYPART_SIBL
(9,2),(9,21),-0.0266727 # DEPENDENCYPART_SIBL
(9,2),(9,23),-0.0686112 # DEPENDENCYPART_SIBL
(9,2),(9,24),0.037315 # DEPENDENCYPART_SIBL
(9,3),(9,4),-0.076585 # DEPENDENCYPART_SIBL
(9,3),(9,5),0.00716873 # DEPENDENCYPART_SIBL
(9,3),(9,6),0.00975123 # DEPENDENCYPART_SIBL
(9,3),(9,7),0.00291601 # DEPENDENCYPART_SIBL
(9,3),(9,8),-0.139796 # DEPENDENCYPART_SIBL
(9,3),(9,10),0.0525492 # DEPENDENCYPART_SIBL
(9,3),(9,11),0.049124 # DEPENDENCYPART_SIBL
(9,3),(9,12),-0.0244541 # DEPENDENCYPART_SIBL
(9,3),(9,13),0.0569631 # DEPENDENCYPART_SIBL
(9,3),(9,14),0.00200352 # DEPENDENCYPART_SIBL
(9,3),(9,15),0.0569598 # DEPENDENCYPART_SIBL
(9,3),(9,17),0.0424941 # DEPENDENCYPART_SIBL
(9,3),(9,19),0.0592127 # DEPENDENCYPART_SIBL
(9,3),(9,20),0.0655724 # DEPENDENCYPART_SIBL
(9,3),(9,21),0.0179724 # DEPENDENCYPART_SIBL
(9,3),(9,23),-0.00653294 # DEPENDENCYPART_SIBL
(9,3),(9,24),0.0569631 # DEPENDENCYPART_SIBL
(9,4),(9,5),-0.152321 # DEPENDENCYPART_SIBL
(9,4),(9,6),-0.152066 # DEPENDENCYPART_SIBL
(9,4),(9,7),-0.0892681 # DEPENDENCYPART_SIBL
(9,4),(9,8),-0.168753 # DEPENDENCYPART_SIBL
(9,4),(9,10),-0.0102793 # DEPENDENCYPART_SIBL
(9,4),(9,11),0.0232643 # DEPENDENCYPART_SIBL
(9,4),(9,12),-0.0159972 # DEPENDENCYPART_SIBL
(9,4),(9,13),0.0252889 # DEPENDENCYPART_SIBL
(9,4),(9,14),-0.043049 # DEPENDENCYPART_SIBL
(9,4),(9,15),0.0252889 # DEPENDENCYPART_SIBL
(9,4),(9,17),0.00949541 # DEPENDENCYPART_SIBL
(9,4),(9,19),0.024957 # DEPENDENCYPART_SIBL
(9,4),(9,20),0.0279305 # DEPENDENCYPART_SIBL
(9,4),(9,21),-0.00357315 # DEPENDENCYPART_SIBL
(9,4),(9,23),0.00786399 # DEPENDENCYPART_SIBL
(9,4),(9,24),0.0252889 # DEPENDENCYPART_SIBL
(9,5),(9,6),0.00975123 # DEPENDENCYPART_SIBL
(9,5),(9,7),0.00291601 # DEPENDENCYPART_SIBL
(9,5),(9,8),-0.139796 # DEPENDENCYPART_SIBL
(9,5),(9,10),0.0525492 # DEPENDENCYPART_SIBL
(9,5),(9,11),0.049124 # DEPENDENCYPART_SIBL
(9,5),(9,12),-0.0244541 # DEPENDENCYPART_SIBL
(9,5),(9,13),0.0569631 # DEPENDENCYPART_SIBL
(9,5),(9,14),0.00200352 # DEPENDENCYPART_SIBL
(9,5),(9,15),0.0569598 # DEPENDENCYPART_SIBL
(9,5),(9,17),0.0424941 # DEPENDENCYPART_SIBL
(9,5),(9,19),0.0592127 # DEPENDENCYPART_SIBL
(9,5),(9,20),0.0655724 # DEPENDENCYPART_SIBL
(9,5),(9,21),0.0179724 # DEPENDENCYPART_SIBL
(9,5),(9,23),-0.00653294 # DEPENDENCYPART_SIBL
(9,5),(9,24),0.0569631 # DEPENDENCYPART_SIBL
(9,6),(9,7),0.0016927 # DEPENDENCYPART_SIBL
(9,6),(9,8),-0.140084 # DEPENDENCYPART_SIBL
(9,6),(9,10),0.0666553 # DEPENDENCYPART_SIBL
(9,6),(9,11),0.0622245 # DEPENDENCYPART_SIBL
(9,6),(9,12),-0.0180008 # DEPENDENCYPART_SIBL
(9,6),(9,13),0.0700636 # DEPENDENCYPART_SIBL
(9,6),(9,14),0.0084568 # DEPENDENCYPART_SIBL
(9,6),(9,15),0.0700604 # DEPENDENCYPART_SIBL
(9,6),(9,17),0.0474469 # DEPENDENCYPART_SIBL
(9,6),(9,19),0.0723132 # DEPENDENCYPART_SIBL
(9,6),(9,20),0.0786729 # DEPENDENCYPART_SIBL
(9,6),(9,21),0.0244257 # DEPENDENCYPART_SIBL
(9,6),(9,23),-7.96442e-05 # DEPENDENCYPART_SIBL
(9,6),(9,24),0.0700636 # DEPENDENCYPART_SIBL
(9,7),(9,8),-0.0581562 # DEPENDENCYPART_SIBL
(9,7),(9,10),0.0115726 # DEPENDENCYPART_SIBL
(9,7),(9,11),0.0170957 # DEPENDENCYPART_SIBL
(9,7),(9,12),0.0144567 # DEPENDENCYPART_SIBL
(9,7),(9,13),0.0191169 # DEPENDENCYPART_SIBL
(9,7),(9,14),0.000728607 # DEPENDENCYPART_SIBL
(9,7),(9,15),0.0191169 # DEPENDENCYPART_SIBL
(9,7),(9,17),0.0273214 # DEPENDENCYPART_SIBL
(9,7),(9,19),0.0187859 # DEPENDENCYPART_SIBL
(9,7),(9,20),0.0213479 # DEPENDENCYPART_SIBL
(9,7),(9,21),0.0106236 # DEPENDENCYPART_SIBL
(9,7),(9,23),-0.0462876 # DEPENDENCYPART_SIBL
(9,7),(9,24),0.0191169 # DEPENDENCYPART_SIBL
(9,8),(9,10),-0.0930199 # DEPENDENCYPART_SIBL
(9,8),(9,11),-0.0611526 # DEPENDENCYPART_SIBL
(9,8),(9,12),-0.0816844 # DEPENDENCYPART_SIBL
(9,8),(9,13),-0.0591314 # DEPENDENCYPART_SIBL
(9,8),(9,14),-0.0920831 # DEPENDENCYPART_SIBL
(9,8),(9,15),-0.0591314 # DEPENDENCYPART_SIBL
(9,8),(9,17),-0.107191 # DEPENDENCYPART_SIBL
(9,8),(9,19),-0.0594625 # DEPENDENCYPART_SIBL
(9,8),(9,20),-0.0564851 # DEPENDENCYPART_SIBL
(9,8),(9,21),-0.0874657 # DEPENDENCYPART_SIBL
(9,8),(9,23),-0.105314 # DEPENDENCYPART_SIBL
(9,8),(9,24),-0.0591314 # DEPENDENCYPART_SIBL
(9,10),(9,11),0.0799635 # DEPENDENCYPART_SIBL
(9,10),(9,12),0.0502844 # DEPENDENCYPART_SIBL
(9,10),(9,13),0.0809184 # DEPENDENCYPART_SIBL
(9,10),(9,14),0.0610151 # DEPENDENCYPART_SIBL
(9,10),(9,15),0.0809184 # DEPENDENCYPART_SIBL
(9,10),(9,17),-0.00122377 # DEPENDENCYPART_SIBL
(9,10),(9,19),0.0799485 # DEPENDENCYPART_SIBL
(9,10),(9,20),0.0885607 # DEPENDENCYPART_SIBL
(9,10),(9,21),0.0787831 # DEPENDENCYPART_SIBL
(9,10),(9,23),0.029101 # DEPENDENCYPART_SIBL
(9,10),(9,24),0.0809184 # DEPENDENCYPART_SIBL
(9,11),(9,12),0.00460262 # DEPENDENCYPART_SIBL
(9,11),(9,13),-0.0143298 # DEPENDENCYPART_SIBL
(9,11),(9,14),-0.019564 # DEPENDENCYPART_SIBL
(9,11),(9,15),-0.0143298 # DEPENDENCYPART_SIBL
(9,11),(9,17),-0.0291455 # DEPENDENCYPART_SIBL
(9,11),(9,19),-0.0146542 # DEPENDENCYPART_SIBL
(9,11),(9,20),-0.0129215 # DEPENDENCYPART_SIBL
(9,11),(9,21),-0.000527239 # DEPENDENCYPART_SIBL
(9,11),(9,23),-0.0450733 # DEPENDENCYPART_SIBL
(9,11),(9,24),-0.0143298 # DEPENDENCYPART_SIBL
(9,12),(9,13),-0.0287702 # DEPENDENCYPART_SIBL
(9,12),(9,14),0.00508041 # DEPENDENCYPART_SIBL
(9,12),(9,15),-0.0287702 # DEPENDENCYPART_SIBL
(9,12),(9,17),-0.0595961 # DEPENDENCYPART_SIBL
(9,12),(9,19),-0.0290934 # DEPENDENCYPART_SIBL
(9,12),(9,20),-0.0273598 # DEPENDENCYPART_SIBL
(9,12),(9,21),0.00888299 # DEPENDENCYPART_SIBL
(9,12),(9,23),-0.019557 # DEPENDENCYPART_SIBL
(9,12),(9,24),-0.0287702 # DEPENDENCYPART_SIBL
(9,13),(9,14),-0.0187734 # DEPENDENCYPART_SIBL
(9,13),(9,15),-0.0100239 # DEPENDENCYPART_SIBL
(9,13),(9,17),-0.0289443 # DEPENDENCYPART_SIBL
(9,13),(9,19),-0.0103484 # DEPENDENCYPART_SIBL
(9,13),(9,20),-0.00861568 # DEPENDENCYPART_SIBL
(9,13),(9,21),-0.00032303 # DEPENDENCYPART_SIBL
(9,13),(9,23),-0.0448721 # DEPENDENCYPART_SIBL
(9,13),(9,24),-0.0100239 # DEPENDENCYPART_SIBL
(9,14),(9,15),0.0055438 # DEPENDENCYPART_SIBL
(9,14),(9,17),-0.0151425 # DEPENDENCYPART_SIBL
(9,14),(9,19),0.00522052 # DEPENDENCYPART_SIBL
(9,14),(9,20),0.00695109 # DEPENDENCYPART_SIBL
(9,14),(9,21),0.0232024 # DEPENDENCYPART_SIBL
(9,14),(9,23),-0.0387617 # DEPENDENCYPART_SIBL
(9,14),(9,24),0.0055438 # DEPENDENCYPART_SIBL
(9,15),(9,17),-0.0289443 # DEPENDENCYPART_SIBL
(9,15),(9,19),-0.0104415 # DEPENDENCYPART_SIBL
(9,15),(9,20),-0.00870879 # DEPENDENCYPART_SIBL
(9,15),(9,21),-0.00032303 # DEPENDENCYPART_SIBL
(9,15),(9,23),-0.0448721 # DEPENDENCYPART_SIBL
(9,15),(9,24),-0.0101171 # DEPENDENCYPART_SIBL
(9,17),(9,19),-0.0939188 # DEPENDENCYPART_SIBL
(9,17),(9,20),-0.0921852 # DEPENDENCYPART_SIBL
(9,17),(9,21),-0.181008 # DEPENDENCYPART_SIBL
(9,17),(9,23),-0.0103816 # DEPENDENCYPART_SIBL
(9,17),(9,24),-0.0935956 # DEPENDENCYPART_SIBL
(9,19),(9,20),-0.010321 # DEPENDENCYPART_SIBL
(9,19),(9,21),-0.000338237 # DEPENDENCYPART_SIBL
(9,19),(9,23),-0.0448873 # DEPENDENCYPART_SIBL
(9,19),(9,24),-0.0117293 # DEPENDENCYPART_SIBL
(9,20),(9,21),-0.00337017 # DEPENDENCYPART_SIBL
(9,20),(9,23),-0.0490562 # DEPENDENCYPART_SIBL
(9,20),(9,24),-0.0138926 # DEPENDENCYPART_SIBL
(9,21),(9,23),-0.0139648 # DEPENDENCYPART_SIBL
(9,21),(9,24),0.0158087 # DEPENDENCYPART_SIBL
(9,23),(9,24),-0.0948317 # DEPENDENCYPART_SIBL
