# _root_ jarritako helburuetan lan_egiteko , hamabost kidek osatutako batzorde iraunkorra izendatu zen , eta horiek bost lan batzordetan lan_egin dute ordutik_hona .
#goldHeads=2,3,10,3,6,7,8,10,8,13,10,11,0,16,17,18,16,13,18,18,20,
#predictedHeads=2,3,10,3,6,7,8,10,8,13,10,11,0,18,16,17,18,13,18,18,20,
(6,1),(6,7),0.0204986 # DEPENDENCYPART_SIBL
(6,1),(6,8),-0.000906829 # DEPENDENCYPART_SIBL
(6,1),(6,9),0.00877142 # DEPENDENCYPART_SIBL
(6,1),(6,11),0.115239 # DEPENDENCYPART_SIBL
(6,1),(6,15),0.0182751 # DEPENDENCYPART_SIBL
(6,2),(6,3),-0.00603404 # DEPENDENCYPART_SIBL
(6,2),(6,4),-0.0244959 # DEPENDENCYPART_SIBL
(6,2),(6,5),0.0341924 # DEPENDENCYPART_SIBL
(6,2),(6,7),0.0231067 # DEPENDENCYPART_SIBL
(6,2),(6,8),-0.00447515 # DEPENDENCYPART_SIBL
(6,2),(6,9),-0.00274577 # DEPENDENCYPART_SIBL
(6,2),(6,11),0.033533 # DEPENDENCYPART_SIBL
(6,2),(6,15),-0.0134124 # DEPENDENCYPART_SIBL
(6,3),(6,4),-0.01283 # DEPENDENCYPART_SIBL
(6,3),(6,5),0.0719415 # DEPENDENCYPART_SIBL
(6,3),(6,7),0.0188504 # DEPENDENCYPART_SIBL
(6,3),(6,8),-0.00217575 # DEPENDENCYPART_SIBL
(6,3),(6,9),0.00204048 # DEPENDENCYPART_SIBL
(6,3),(6,11),0.113012 # DEPENDENCYPART_SIBL
(6,3),(6,15),0.0150143 # DEPENDENCYPART_SIBL
(6,4),(6,5),-0.030491 # DEPENDENCYPART_SIBL
(6,4),(6,7),-0.0376727 # DEPENDENCYPART_SIBL
(6,4),(6,8),-0.0562268 # DEPENDENCYPART_SIBL
(6,4),(6,9),-0.030543 # DEPENDENCYPART_SIBL
(6,4),(6,11),0.00960198 # DEPENDENCYPART_SIBL
(6,4),(6,15),-0.0290756 # DEPENDENCYPART_SIBL
(6,5),(6,7),-0.0433728 # DEPENDENCYPART_SIBL
(6,5),(6,8),-0.074452 # DEPENDENCYPART_SIBL
(6,5),(6,9),-0.0894791 # DEPENDENCYPART_SIBL
(6,5),(6,11),0.0121656 # DEPENDENCYPART_SIBL
(6,5),(6,15),-0.0630484 # DEPENDENCYPART_SIBL
(6,7),(6,8),-0.00423033 # DEPENDENCYPART_SIBL
(6,7),(6,9),-0.0016896 # DEPENDENCYPART_SIBL
(6,7),(6,11),0.0329467 # DEPENDENCYPART_SIBL
(6,7),(6,15),0.028022 # DEPENDENCYPART_SIBL
(6,8),(6,9),-0.00500055 # DEPENDENCYPART_SIBL
(6,8),(6,11),-0.00745053 # DEPENDENCYPART_SIBL
(6,8),(6,15),0.0024761 # DEPENDENCYPART_SIBL
(6,9),(6,11),-0.0136271 # DEPENDENCYPART_SIBL
(6,9),(6,15),0.0921434 # DEPENDENCYPART_SIBL
(6,11),(6,15),0.0225527 # DEPENDENCYPART_SIBL
(7,1),(7,2),-0.0112922 # DEPENDENCYPART_SIBL
(7,1),(7,3),-0.0233434 # DEPENDENCYPART_SIBL
(7,1),(7,4),-0.0834686 # DEPENDENCYPART_SIBL
(7,1),(7,5),-0.0180093 # DEPENDENCYPART_SIBL
(7,1),(7,6),-0.012656 # DEPENDENCYPART_SIBL
(7,1),(7,8),0.00939608 # DEPENDENCYPART_SIBL
(7,1),(7,9),-0.0120098 # DEPENDENCYPART_SIBL
(7,1),(7,10),0.00255291 # DEPENDENCYPART_SIBL
(7,1),(7,11),0.10139 # DEPENDENCYPART_SIBL
(7,1),(7,12),-0.000547404 # DEPENDENCYPART_SIBL
(7,1),(7,16),0.00950444 # DEPENDENCYPART_SIBL
(7,1),(7,17),0.0124495 # DEPENDENCYPART_SIBL
(7,1),(7,18),-0.00594992 # DEPENDENCYPART_SIBL
(7,1),(7,19),0.0964822 # DEPENDENCYPART_SIBL
(7,2),(7,3),0.00190144 # DEPENDENCYPART_SIBL
(7,2),(7,4),-0.0769946 # DEPENDENCYPART_SIBL
(7,2),(7,5),-0.030803 # DEPENDENCYPART_SIBL
(7,2),(7,6),-0.0428132 # DEPENDENCYPART_SIBL
(7,2),(7,8),-0.0198383 # DEPENDENCYPART_SIBL
(7,2),(7,9),-0.0384089 # DEPENDENCYPART_SIBL
(7,2),(7,10),-0.00683229 # DEPENDENCYPART_SIBL
(7,2),(7,11),-0.00711863 # DEPENDENCYPART_SIBL
(7,2),(7,12),-0.00294098 # DEPENDENCYPART_SIBL
(7,2),(7,16),-0.0295346 # DEPENDENCYPART_SIBL
(7,2),(7,17),-0.0216955 # DEPENDENCYPART_SIBL
(7,2),(7,18),-0.0102663 # DEPENDENCYPART_SIBL
(7,2),(7,19),-0.0224799 # DEPENDENCYPART_SIBL
(7,3),(7,4),-0.0823352 # DEPENDENCYPART_SIBL
(7,3),(7,5),-0.015614 # DEPENDENCYPART_SIBL
(7,3),(7,6),-0.00927402 # DEPENDENCYPART_SIBL
(7,3),(7,8),0.0164138 # DEPENDENCYPART_SIBL
(7,3),(7,9),-0.0109079 # DEPENDENCYPART_SIBL
(7,3),(7,10),0.00702947 # DEPENDENCYPART_SIBL
(7,3),(7,11),0.107345 # DEPENDENCYPART_SIBL
(7,3),(7,12),-0.00396893 # DEPENDENCYPART_SIBL
(7,3),(7,16),0.0165221 # DEPENDENCYPART_SIBL
(7,3),(7,17),0.0194672 # DEPENDENCYPART_SIBL
(7,3),(7,18),-0.00147336 # DEPENDENCYPART_SIBL
(7,3),(7,19),0.102438 # DEPENDENCYPART_SIBL
(7,4),(7,5),-0.115509 # DEPENDENCYPART_SIBL
(7,4),(7,6),-0.178875 # DEPENDENCYPART_SIBL
(7,4),(7,8),-0.00349881 # DEPENDENCYPART_SIBL
(7,4),(7,9),-0.020701 # DEPENDENCYPART_SIBL
(7,4),(7,10),-0.0160905 # DEPENDENCYPART_SIBL
(7,4),(7,11),0.0304572 # DEPENDENCYPART_SIBL
(7,4),(7,12),-0.00549256 # DEPENDENCYPART_SIBL
(7,4),(7,16),-0.00535983 # DEPENDENCYPART_SIBL
(7,4),(7,17),-0.00333527 # DEPENDENCYPART_SIBL
(7,4),(7,18),-0.0164029 # DEPENDENCYPART_SIBL
(7,4),(7,19),0.0122163 # DEPENDENCYPART_SIBL
(7,5),(7,6),-0.0134613 # DEPENDENCYPART_SIBL
(7,5),(7,8),-0.00679451 # DEPENDENCYPART_SIBL
(7,5),(7,9),-0.0362138 # DEPENDENCYPART_SIBL
(7,5),(7,10),-0.0118949 # DEPENDENCYPART_SIBL
(7,5),(7,11),0.0636519 # DEPENDENCYPART_SIBL
(7,5),(7,12),0.0144145 # DEPENDENCYPART_SIBL
(7,5),(7,16),-0.00553178 # DEPENDENCYPART_SIBL
(7,5),(7,17),-0.0065098 # DEPENDENCYPART_SIBL
(7,5),(7,18),-0.0122073 # DEPENDENCYPART_SIBL
(7,5),(7,19),0.0195964 # DEPENDENCYPART_SIBL
(7,6),(7,8),-0.0354877 # DEPENDENCYPART_SIBL
(7,6),(7,9),-0.0467501 # DEPENDENCYPART_SIBL
(7,6),(7,10),-0.0197914 # DEPENDENCYPART_SIBL
(7,6),(7,11),-0.0214695 # DEPENDENCYPART_SIBL
(7,6),(7,12),-0.00327917 # DEPENDENCYPART_SIBL
(7,6),(7,16),-0.045184 # DEPENDENCYPART_SIBL
(7,6),(7,17),-0.0373449 # DEPENDENCYPART_SIBL
(7,6),(7,18),-0.0232254 # DEPENDENCYPART_SIBL
(7,6),(7,19),-0.0368308 # DEPENDENCYPART_SIBL
(7,8),(7,9),-0.00820822 # DEPENDENCYPART_SIBL
(7,8),(7,10),-0.0157818 # DEPENDENCYPART_SIBL
(7,8),(7,11),-0.024116 # DEPENDENCYPART_SIBL
(7,8),(7,12),-0.0289267 # DEPENDENCYPART_SIBL
(7,8),(7,16),-0.0141683 # DEPENDENCYPART_SIBL
(7,8),(7,17),-0.0170292 # DEPENDENCYPART_SIBL
(7,8),(7,18),-0.0221942 # DEPENDENCYPART_SIBL
(7,8),(7,19),-0.0393639 # DEPENDENCYPART_SIBL
(7,9),(7,10),-0.00519155 # DEPENDENCYPART_SIBL
(7,9),(7,11),0.0156564 # DEPENDENCYPART_SIBL
(7,9),(7,12),-0.0392118 # DEPENDENCYPART_SIBL
(7,9),(7,16),-0.0238598 # DEPENDENCYPART_SIBL
(7,9),(7,17),-0.0230946 # DEPENDENCYPART_SIBL
(7,9),(7,18),-0.0101849 # DEPENDENCYPART_SIBL
(7,9),(7,19),0.00169688 # DEPENDENCYPART_SIBL
(7,10),(7,11),0.0500839 # DEPENDENCYPART_SIBL
(7,10),(7,12),-0.0484542 # DEPENDENCYPART_SIBL
(7,10),(7,16),-0.0469342 # DEPENDENCYPART_SIBL
(7,10),(7,17),-0.0453987 # DEPENDENCYPART_SIBL
(7,10),(7,18),-0.0260202 # DEPENDENCYPART_SIBL
(7,10),(7,19),0.0013736 # DEPENDENCYPART_SIBL
(7,11),(7,12),-0.0417814 # DEPENDENCYPART_SIBL
(7,11),(7,16),0.0626287 # DEPENDENCYPART_SIBL
(7,11),(7,17),0.0635837 # DEPENDENCYPART_SIBL
(7,11),(7,18),0.0306979 # DEPENDENCYPART_SIBL
(7,11),(7,19),-0.177455 # DEPENDENCYPART_SIBL
(7,12),(7,16),-0.0923007 # DEPENDENCYPART_SIBL
(7,12),(7,17),-0.0970364 # DEPENDENCYPART_SIBL
(7,12),(7,18),-0.0480195 # DEPENDENCYPART_SIBL
(7,12),(7,19),-0.0973656 # DEPENDENCYPART_SIBL
(7,16),(7,17),-0.0191041 # DEPENDENCYPART_SIBL
(7,16),(7,18),-0.0220863 # DEPENDENCYPART_SIBL
(7,16),(7,19),-0.0394193 # DEPENDENCYPART_SIBL
(7,17),(7,18),-0.0218845 # DEPENDENCYPART_SIBL
(7,17),(7,19),-0.0392181 # DEPENDENCYPART_SIBL
(7,18),(7,19),0.00132846 # DEPENDENCYPART_SIBL
(8,1),(8,3),-0.0449379 # DEPENDENCYPART_SIBL
(8,1),(8,4),-0.0141336 # DEPENDENCYPART_SIBL
(8,1),(8,5),0.0548816 # DEPENDENCYPART_SIBL
(8,1),(8,6),0.0256699 # DEPENDENCYPART_SIBL
(8,1),(8,7),-0.0468715 # DEPENDENCYPART_SIBL
(8,1),(8,9),-0.000455995 # DEPENDENCYPART_SIBL
(8,1),(8,10),0.0211616 # DEPENDENCYPART_SIBL
(8,1),(8,11),0.116388 # DEPENDENCYPART_SIBL
(8,1),(8,13),0.0270939 # DEPENDENCYPART_SIBL
(8,1),(8,15),0.0230727 # DEPENDENCYPART_SIBL
(8,1),(8,16),0.0189367 # DEPENDENCYPART_SIBL
(8,1),(8,17),0.0211357 # DEPENDENCYPART_SIBL
(8,1),(8,18),0.0143617 # DEPENDENCYPART_SIBL
(8,3),(8,4),-0.0131243 # DEPENDENCYPART_SIBL
(8,3),(8,5),0.0583063 # DEPENDENCYPART_SIBL
(8,3),(8,6),0.0277941 # DEPENDENCYPART_SIBL
(8,3),(8,7),-0.0450393 # DEPENDENCYPART_SIBL
(8,3),(8,9),-0.00718694 # DEPENDENCYPART_SIBL
(8,3),(8,10),0.0195135 # DEPENDENCYPART_SIBL
(8,3),(8,11),0.11416 # DEPENDENCYPART_SIBL
(8,3),(8,13),0.0224223 # DEPENDENCYPART_SIBL
(8,3),(8,15),0.0198119 # DEPENDENCYPART_SIBL
(8,3),(8,16),0.0176678 # DEPENDENCYPART_SIBL
(8,3),(8,17),0.0198668 # DEPENDENCYPART_SIBL
(8,3),(8,18),0.0127136 # DEPENDENCYPART_SIBL
(8,4),(8,5),-0.0438326 # DEPENDENCYPART_SIBL
(8,4),(8,6),-0.115844 # DEPENDENCYPART_SIBL
(8,4),(8,7),-0.105326 # DEPENDENCYPART_SIBL
(8,4),(8,9),-0.0318651 # DEPENDENCYPART_SIBL
(8,4),(8,10),-0.0378945 # DEPENDENCYPART_SIBL
(8,4),(8,11),0.00955663 # DEPENDENCYPART_SIBL
(8,4),(8,13),-0.0344803 # DEPENDENCYPART_SIBL
(8,4),(8,15),-0.023236 # DEPENDENCYPART_SIBL
(8,4),(8,16),-0.0483634 # DEPENDENCYPART_SIBL
(8,4),(8,17),-0.0469298 # DEPENDENCYPART_SIBL
(8,4),(8,18),-0.0381803 # DEPENDENCYPART_SIBL
(8,5),(8,6),0.0301973 # DEPENDENCYPART_SIBL
(8,5),(8,7),-0.0213328 # DEPENDENCYPART_SIBL
(8,5),(8,9),-0.0894345 # DEPENDENCYPART_SIBL
(8,5),(8,10),-0.0418231 # DEPENDENCYPART_SIBL
(8,5),(8,11),0.013487 # DEPENDENCYPART_SIBL
(8,5),(8,13),-0.0141712 # DEPENDENCYPART_SIBL
(8,5),(8,15),-0.0502363 # DEPENDENCYPART_SIBL
(8,5),(8,16),-0.0620997 # DEPENDENCYPART_SIBL
(8,5),(8,17),-0.0636671 # DEPENDENCYPART_SIBL
(8,5),(8,18),-0.0421089 # DEPENDENCYPART_SIBL
(8,6),(8,7),-0.013188 # DEPENDENCYPART_SIBL
(8,6),(8,9),0.00753897 # DEPENDENCYPART_SIBL
(8,6),(8,10),0.0240145 # DEPENDENCYPART_SIBL
(8,6),(8,11),0.0339471 # DEPENDENCYPART_SIBL
(8,6),(8,13),0.0129414 # DEPENDENCYPART_SIBL
(8,6),(8,15),-0.00341917 # DEPENDENCYPART_SIBL
(8,6),(8,16),-0.00379828 # DEPENDENCYPART_SIBL
(8,6),(8,17),0.00415985 # DEPENDENCYPART_SIBL
(8,6),(8,18),0.0221679 # DEPENDENCYPART_SIBL
(8,7),(8,9),0.0127898 # DEPENDENCYPART_SIBL
(8,7),(8,10),0.0397181 # DEPENDENCYPART_SIBL
(8,7),(8,11),0.130685 # DEPENDENCYPART_SIBL
(8,7),(8,13),0.0432132 # DEPENDENCYPART_SIBL
(8,7),(8,15),0.039374 # DEPENDENCYPART_SIBL
(8,7),(8,16),0.0646847 # DEPENDENCYPART_SIBL
(8,7),(8,17),0.0668837 # DEPENDENCYPART_SIBL
(8,7),(8,18),0.0329182 # DEPENDENCYPART_SIBL
(8,9),(8,10),-0.0594456 # DEPENDENCYPART_SIBL
(8,9),(8,11),-0.0256945 # DEPENDENCYPART_SIBL
(8,9),(8,13),-0.0933631 # DEPENDENCYPART_SIBL
(8,9),(8,15),0.0646939 # DEPENDENCYPART_SIBL
(8,9),(8,16),-0.0277457 # DEPENDENCYPART_SIBL
(8,9),(8,17),-0.0271331 # DEPENDENCYPART_SIBL
(8,9),(8,18),-0.0601436 # DEPENDENCYPART_SIBL
(8,10),(8,11),0.0329465 # DEPENDENCYPART_SIBL
(8,10),(8,13),-0.00935769 # DEPENDENCYPART_SIBL
(8,10),(8,15),0.0201604 # DEPENDENCYPART_SIBL
(8,10),(8,16),-0.00877619 # DEPENDENCYPART_SIBL
(8,10),(8,17),-0.00783854 # DEPENDENCYPART_SIBL
(8,10),(8,18),-0.0110637 # DEPENDENCYPART_SIBL
(8,11),(8,13),-0.0243732 # DEPENDENCYPART_SIBL
(8,11),(8,15),0.0145209 # DEPENDENCYPART_SIBL
(8,11),(8,16),0.0485758 # DEPENDENCYPART_SIBL
(8,11),(8,17),0.0491189 # DEPENDENCYPART_SIBL
(8,11),(8,18),0.038214 # DEPENDENCYPART_SIBL
(8,13),(8,15),0.0601728 # DEPENDENCYPART_SIBL
(8,13),(8,16),-0.0060128 # DEPENDENCYPART_SIBL
(8,13),(8,17),-0.00554255 # DEPENDENCYPART_SIBL
(8,13),(8,18),-0.0293044 # DEPENDENCYPART_SIBL
(8,15),(8,16),-0.011288 # DEPENDENCYPART_SIBL
(8,15),(8,17),-0.0109234 # DEPENDENCYPART_SIBL
(8,15),(8,18),-0.0894447 # DEPENDENCYPART_SIBL
(8,16),(8,17),-0.0129305 # DEPENDENCYPART_SIBL
(8,16),(8,18),-0.0383215 # DEPENDENCYPART_SIBL
(8,17),(8,18),-0.0382575 # DEPENDENCYPART_SIBL
(9,2),(9,6),0.0513139 # DEPENDENCYPART_SIBL
(9,2),(9,7),0.0443593 # DEPENDENCYPART_SIBL
(9,2),(9,8),0.0599299 # DEPENDENCYPART_SIBL
(9,2),(9,10),0.0211495 # DEPENDENCYPART_SIBL
(9,2),(9,12),-0.0317004 # DEPENDENCYPART_SIBL
(9,6),(9,7),0.044353 # DEPENDENCYPART_SIBL
(9,6),(9,8),0.0550106 # DEPENDENCYPART_SIBL
(9,6),(9,10),0.0188638 # DEPENDENCYPART_SIBL
(9,6),(9,12),-0.0235731 # DEPENDENCYPART_SIBL
(9,7),(9,8),-0.0204861 # DEPENDENCYPART_SIBL
(9,7),(9,10),0.05638 # DEPENDENCYPART_SIBL
(9,7),(9,12),0.0205896 # DEPENDENCYPART_SIBL
(9,8),(9,10),0.0140611 # DEPENDENCYPART_SIBL
(9,8),(9,12),-0.0209312 # DEPENDENCYPART_SIBL
(9,10),(9,12),-0.0268092 # DEPENDENCYPART_SIBL
(10,1),(10,2),-0.00181991 # DEPENDENCYPART_SIBL
(10,1),(10,3),-0.0233462 # DEPENDENCYPART_SIBL
(10,1),(10,4),-0.0834697 # DEPENDENCYPART_SIBL
(10,1),(10,5),-0.0160246 # DEPENDENCYPART_SIBL
(10,1),(10,6),-0.00318369 # DEPENDENCYPART_SIBL
(10,1),(10,7),-0.0306031 # DEPENDENCYPART_SIBL
(10,1),(10,8),0.0089665 # DEPENDENCYPART_SIBL
(10,1),(10,9),-0.000940681 # DEPENDENCYPART_SIBL
(10,1),(10,11),0.101382 # DEPENDENCYPART_SIBL
(10,1),(10,12),-0.000556075 # DEPENDENCYPART_SIBL
(10,1),(10,13),0.00292485 # DEPENDENCYPART_SIBL
(10,1),(10,15),-0.0214424 # DEPENDENCYPART_SIBL
(10,1),(10,16),0.00959539 # DEPENDENCYPART_SIBL
(10,1),(10,17),0.0125404 # DEPENDENCYPART_SIBL
(10,1),(10,18),-0.00577351 # DEPENDENCYPART_SIBL
(10,1),(10,19),0.0964747 # DEPENDENCYPART_SIBL
(10,1),(10,20),0.0430635 # DEPENDENCYPART_SIBL
(10,2),(10,3),0.0121287 # DEPENDENCYPART_SIBL
(10,2),(10,4),-0.0667639 # DEPENDENCYPART_SIBL
(10,2),(10,5),-0.0172708 # DEPENDENCYPART_SIBL
(10,2),(10,6),-0.0137224 # DEPENDENCYPART_SIBL
(10,2),(10,7),0.00421076 # DEPENDENCYPART_SIBL
(10,2),(10,8),0.0304021 # DEPENDENCYPART_SIBL
(10,2),(10,9),-0.00782575 # DEPENDENCYPART_SIBL
(10,2),(10,11),-0.00969933 # DEPENDENCYPART_SIBL
(10,2),(10,12),-0.0055212 # DEPENDENCYPART_SIBL
(10,2),(10,13),-0.0262119 # DEPENDENCYPART_SIBL
(10,2),(10,15),-0.0482027 # DEPENDENCYPART_SIBL
(10,2),(10,16),-0.0319085 # DEPENDENCYPART_SIBL
(10,2),(10,17),-0.0240694 # DEPENDENCYPART_SIBL
(10,2),(10,18),-0.012481 # DEPENDENCYPART_SIBL
(10,2),(10,19),-0.0250606 # DEPENDENCYPART_SIBL
(10,2),(10,20),-0.0270674 # DEPENDENCYPART_SIBL
(10,3),(10,4),-0.0823362 # DEPENDENCYPART_SIBL
(10,3),(10,5),-0.0136293 # DEPENDENCYPART_SIBL
(10,3),(10,6),0.00019831 # DEPENDENCYPART_SIBL
(10,3),(10,7),-0.0286827 # DEPENDENCYPART_SIBL
(10,3),(10,8),0.0123485 # DEPENDENCYPART_SIBL
(10,3),(10,9),0.000230923 # DEPENDENCYPART_SIBL
(10,3),(10,11),0.107338 # DEPENDENCYPART_SIBL
(10,3),(10,12),-0.0039776 # DEPENDENCYPART_SIBL
(10,3),(10,13),0.0034223 # DEPENDENCYPART_SIBL
(10,3),(10,15),-0.0182971 # DEPENDENCYPART_SIBL
(10,3),(10,16),0.0166131 # DEPENDENCYPART_SIBL
(10,3),(10,17),0.0195581 # DEPENDENCYPART_SIBL
(10,3),(10,18),-0.00129694 # DEPENDENCYPART_SIBL
(10,3),(10,19),0.10243 # DEPENDENCYPART_SIBL
(10,3),(10,20),0.0460075 # DEPENDENCYPART_SIBL
(10,4),(10,5),-0.113524 # DEPENDENCYPART_SIBL
(10,4),(10,6),-0.169402 # DEPENDENCYPART_SIBL
(10,4),(10,7),-0.103889 # DEPENDENCYPART_SIBL
(10,4),(10,8),-0.148238 # DEPENDENCYPART_SIBL
(10,4),(10,9),-0.0946055 # DEPENDENCYPART_SIBL
(10,4),(10,11),0.0304552 # DEPENDENCYPART_SIBL
(10,4),(10,12),-0.00549533 # DEPENDENCYPART_SIBL
(10,4),(10,13),-0.045699 # DEPENDENCYPART_SIBL
(10,4),(10,15),-0.0187683 # DEPENDENCYPART_SIBL
(10,4),(10,16),-0.00526003 # DEPENDENCYPART_SIBL
(10,4),(10,17),-0.00323547 # DEPENDENCYPART_SIBL
(10,4),(10,18),-0.0162215 # DEPENDENCYPART_SIBL
(10,4),(10,19),0.0122144 # DEPENDENCYPART_SIBL
(10,4),(10,20),-0.0124415 # DEPENDENCYPART_SIBL
(10,5),(10,6),-0.00314479 # DEPENDENCYPART_SIBL
(10,5),(10,7),0.00213638 # DEPENDENCYPART_SIBL
(10,5),(10,8),0.0347928 # DEPENDENCYPART_SIBL
(10,5),(10,9),0.00391757 # DEPENDENCYPART_SIBL
(10,5),(10,11),0.06365 # DEPENDENCYPART_SIBL
(10,5),(10,12),0.0144117 # DEPENDENCYPART_SIBL
(10,5),(10,13),-0.0371996 # DEPENDENCYPART_SIBL
(10,5),(10,15),-0.0105793 # DEPENDENCYPART_SIBL
(10,5),(10,16),-0.00543197 # DEPENDENCYPART_SIBL
(10,5),(10,17),-0.00641 # DEPENDENCYPART_SIBL
(10,5),(10,18),-0.012026 # DEPENDENCYPART_SIBL
(10,5),(10,19),0.0195945 # DEPENDENCYPART_SIBL
(10,5),(10,20),-0.0242458 # DEPENDENCYPART_SIBL
(10,6),(10,7),0.00139762 # DEPENDENCYPART_SIBL
(10,6),(10,8),0.0192052 # DEPENDENCYPART_SIBL
(10,6),(10,9),-0.0122529 # DEPENDENCYPART_SIBL
(10,6),(10,11),-0.0240502 # DEPENDENCYPART_SIBL
(10,6),(10,12),-0.00585939 # DEPENDENCYPART_SIBL
(10,6),(10,13),-0.0343603 # DEPENDENCYPART_SIBL
(10,6),(10,15),-0.056544 # DEPENDENCYPART_SIBL
(10,6),(10,16),-0.0475579 # DEPENDENCYPART_SIBL
(10,6),(10,17),-0.0397188 # DEPENDENCYPART_SIBL
(10,6),(10,18),-0.0254401 # DEPENDENCYPART_SIBL
(10,6),(10,19),-0.0394115 # DEPENDENCYPART_SIBL
(10,6),(10,20),-0.0354086 # DEPENDENCYPART_SIBL
(10,7),(10,8),-0.0056312 # DEPENDENCYPART_SIBL
(10,7),(10,9),-0.00269965 # DEPENDENCYPART_SIBL
(10,7),(10,11),0.0965112 # DEPENDENCYPART_SIBL
(10,7),(10,12),-0.00697982 # DEPENDENCYPART_SIBL
(10,7),(10,13),0.00163406 # DEPENDENCYPART_SIBL
(10,7),(10,15),-0.0225432 # DEPENDENCYPART_SIBL
(10,7),(10,16),0.0190752 # DEPENDENCYPART_SIBL
(10,7),(10,17),0.0220202 # DEPENDENCYPART_SIBL
(10,7),(10,18),-0.00503597 # DEPENDENCYPART_SIBL
(10,7),(10,19),0.0916035 # DEPENDENCYPART_SIBL
(10,7),(10,20),0.0417614 # DEPENDENCYPART_SIBL
(10,8),(10,9),-0.00261528 # DEPENDENCYPART_SIBL
(10,8),(10,11),0.0157138 # DEPENDENCYPART_SIBL
(10,8),(10,12),0.0236739 # DEPENDENCYPART_SIBL
(10,8),(10,13),-0.017108 # DEPENDENCYPART_SIBL
(10,8),(10,15),-0.0399017 # DEPENDENCYPART_SIBL
(10,8),(10,16),-0.0243458 # DEPENDENCYPART_SIBL
(10,8),(10,17),-0.0165067 # DEPENDENCYPART_SIBL
(10,8),(10,18),-0.0116204 # DEPENDENCYPART_SIBL
(10,8),(10,19),0.000352501 # DEPENDENCYPART_SIBL
(10,8),(10,20),-0.0181564 # DEPENDENCYPART_SIBL
(10,9),(10,11),0.0391706 # DEPENDENCYPART_SIBL
(10,9),(10,12),0.00160526 # DEPENDENCYPART_SIBL
(10,9),(10,13),-0.00278167 # DEPENDENCYPART_SIBL
(10,9),(10,15),0.0106165 # DEPENDENCYPART_SIBL
(10,9),(10,16),-0.0145863 # DEPENDENCYPART_SIBL
(10,9),(10,17),-0.0125651 # DEPENDENCYPART_SIBL
(10,9),(10,18),-0.00283289 # DEPENDENCYPART_SIBL
(10,9),(10,19),0.0985565 # DEPENDENCYPART_SIBL
(10,9),(10,20),0.000850175 # DEPENDENCYPART_SIBL
(10,11),(10,12),-0.0417814 # DEPENDENCYPART_SIBL
(10,11),(10,13),-0.0587614 # DEPENDENCYPART_SIBL
(10,11),(10,15),0.00866886 # DEPENDENCYPART_SIBL
(10,11),(10,16),0.0626165 # DEPENDENCYPART_SIBL
(10,11),(10,17),0.0635714 # DEPENDENCYPART_SIBL
(10,11),(10,18),0.0307445 # DEPENDENCYPART_SIBL
(10,11),(10,19),-0.177453 # DEPENDENCYPART_SIBL
(10,11),(10,20),0.0521548 # DEPENDENCYPART_SIBL
(10,12),(10,13),-0.0468171 # DEPENDENCYPART_SIBL
(10,12),(10,15),-0.0994937 # DEPENDENCYPART_SIBL
(10,12),(10,16),-0.0923129 # DEPENDENCYPART_SIBL
(10,12),(10,17),-0.0970487 # DEPENDENCYPART_SIBL
(10,12),(10,18),-0.047973 # DEPENDENCYPART_SIBL
(10,12),(10,19),-0.0973637 # DEPENDENCYPART_SIBL
(10,12),(10,20),-0.183461 # DEPENDENCYPART_SIBL
(10,13),(10,15),0.0232288 # DEPENDENCYPART_SIBL
(10,13),(10,16),0.00178237 # DEPENDENCYPART_SIBL
(10,13),(10,17),0.00252922 # DEPENDENCYPART_SIBL
(10,13),(10,18),-0.0356854 # DEPENDENCYPART_SIBL
(10,13),(10,19),-0.035128 # DEPENDENCYPART_SIBL
(10,13),(10,20),0.0209756 # DEPENDENCYPART_SIBL
(10,15),(10,16),-0.024695 # DEPENDENCYPART_SIBL
(10,15),(10,17),-0.0240539 # DEPENDENCYPART_SIBL
(10,15),(10,18),-0.0313619 # DEPENDENCYPART_SIBL
(10,15),(10,19),-0.0216181 # DEPENDENCYPART_SIBL
(10,15),(10,20),0.00883741 # DEPENDENCYPART_SIBL
(10,16),(10,17),-0.0190701 # DEPENDENCYPART_SIBL
(10,16),(10,18),-0.0219454 # DEPENDENCYPART_SIBL
(10,16),(10,19),-0.0393705 # DEPENDENCYPART_SIBL
(10,16),(10,20),-0.00251019 # DEPENDENCYPART_SIBL
(10,17),(10,18),-0.0217435 # DEPENDENCYPART_SIBL
(10,17),(10,19),-0.0391693 # DEPENDENCYPART_SIBL
(10,17),(10,20),-0.00230599 # DEPENDENCYPART_SIBL
(10,18),(10,19),0.00133433 # DEPENDENCYPART_SIBL
(10,18),(10,20),-0.0301078 # DEPENDENCYPART_SIBL
(10,19),(10,20),0.062312 # DEPENDENCYPART_SIBL
(11,8),(11,9),0.0469753 # DEPENDENCYPART_SIBL
(11,8),(11,12),0.0394197 # DEPENDENCYPART_SIBL
(11,8),(11,13),0.0569237 # DEPENDENCYPART_SIBL
(11,8),(11,19),0.0402407 # DEPENDENCYPART_SIBL
(11,9),(11,12),-0.0215816 # DEPENDENCYPART_SIBL
(11,9),(11,13),0.00231519 # DEPENDENCYPART_SIBL
(11,9),(11,19),0.0370285 # DEPENDENCYPART_SIBL
