# _root_ eh abstenitu egin zen , eta beste idazki bat aurkeztu zuen , " politikoa den arazoak behingoz irtenbide politikoa " behar_duela argudiatuz .
#goldHeads=2,6,2,2,4,0,8,10,8,6,10,10,11,15,16,21,21,21,18,18,22,10,22,
#predictedHeads=2,6,2,2,4,0,8,10,8,6,10,11,12,16,14,21,21,21,18,19,22,10,22,
(3,2),(3,14),-0.0451575 # DEPENDENCYPART_SIBL
(3,2),(3,15),-0.0601777 # DEPENDENCYPART_SIBL
(3,2),(3,18),-0.00699453 # DEPENDENCYPART_SIBL
(3,2),(3,22),-0.0276084 # DEPENDENCYPART_SIBL
(3,4),(3,5),-0.0215939 # DEPENDENCYPART_SIBL
(3,4),(3,6),-0.0106801 # DEPENDENCYPART_SIBL
(3,4),(3,7),0.0409256 # DEPENDENCYPART_SIBL
(3,4),(3,8),0.140132 # DEPENDENCYPART_SIBL
(3,4),(3,10),0.0530967 # DEPENDENCYPART_SIBL
(3,4),(3,11),-0.133889 # DEPENDENCYPART_SIBL
(3,4),(3,12),-0.0215939 # DEPENDENCYPART_SIBL
(3,4),(3,14),-0.0179871 # DEPENDENCYPART_SIBL
(3,4),(3,15),-0.109762 # DEPENDENCYPART_SIBL
(3,4),(3,18),0.1368 # DEPENDENCYPART_SIBL
(3,4),(3,22),0.0531283 # DEPENDENCYPART_SIBL
(3,5),(3,6),-0.0371555 # DEPENDENCYPART_SIBL
(3,5),(3,7),-0.0938334 # DEPENDENCYPART_SIBL
(3,5),(3,8),-0.0717642 # DEPENDENCYPART_SIBL
(3,5),(3,10),-0.0298094 # DEPENDENCYPART_SIBL
(3,5),(3,11),-0.103273 # DEPENDENCYPART_SIBL
(3,5),(3,12),-0.278129 # DEPENDENCYPART_SIBL
(3,5),(3,14),-0.0694871 # DEPENDENCYPART_SIBL
(3,5),(3,15),-0.0398418 # DEPENDENCYPART_SIBL
(3,5),(3,18),-0.0731798 # DEPENDENCYPART_SIBL
(3,5),(3,22),-0.0398871 # DEPENDENCYPART_SIBL
(3,6),(3,7),0.032107 # DEPENDENCYPART_SIBL
(3,6),(3,8),0.0221772 # DEPENDENCYPART_SIBL
(3,6),(3,10),-0.0245587 # DEPENDENCYPART_SIBL
(3,6),(3,11),-0.0158411 # DEPENDENCYPART_SIBL
(3,6),(3,12),-0.0156877 # DEPENDENCYPART_SIBL
(3,6),(3,14),0.000888889 # DEPENDENCYPART_SIBL
(3,6),(3,15),0.0051093 # DEPENDENCYPART_SIBL
(3,6),(3,18),0.0210342 # DEPENDENCYPART_SIBL
(3,6),(3,22),-0.0268599 # DEPENDENCYPART_SIBL
(3,7),(3,8),-0.0111368 # DEPENDENCYPART_SIBL
(3,7),(3,10),-0.0336664 # DEPENDENCYPART_SIBL
(3,7),(3,11),-0.0165587 # DEPENDENCYPART_SIBL
(3,7),(3,12),-0.0660885 # DEPENDENCYPART_SIBL
(3,7),(3,14),-0.0558516 # DEPENDENCYPART_SIBL
(3,7),(3,15),0.00967833 # DEPENDENCYPART_SIBL
(3,7),(3,18),-0.0122798 # DEPENDENCYPART_SIBL
(3,7),(3,22),-0.0336648 # DEPENDENCYPART_SIBL
(3,8),(3,10),-0.000910939 # DEPENDENCYPART_SIBL
(3,8),(3,11),-0.00465456 # DEPENDENCYPART_SIBL
(3,8),(3,12),-0.0162225 # DEPENDENCYPART_SIBL
(3,8),(3,14),0.00148437 # DEPENDENCYPART_SIBL
(3,8),(3,15),0.0147992 # DEPENDENCYPART_SIBL
(3,8),(3,18),0.0294479 # DEPENDENCYPART_SIBL
(3,8),(3,22),0.00170538 # DEPENDENCYPART_SIBL
(3,10),(3,11),0.0264774 # DEPENDENCYPART_SIBL
(3,10),(3,12),-0.0449086 # DEPENDENCYPART_SIBL
(3,10),(3,14),-0.0300971 # DEPENDENCYPART_SIBL
(3,10),(3,15),0.0481668 # DEPENDENCYPART_SIBL
(3,10),(3,18),-0.0170931 # DEPENDENCYPART_SIBL
(3,10),(3,22),-0.0154774 # DEPENDENCYPART_SIBL
(3,11),(3,12),-0.0457021 # DEPENDENCYPART_SIBL
(3,11),(3,14),-0.0173423 # DEPENDENCYPART_SIBL
(3,11),(3,15),-0.0889484 # DEPENDENCYPART_SIBL
(3,11),(3,18),0.112079 # DEPENDENCYPART_SIBL
(3,11),(3,22),0.00409674 # DEPENDENCYPART_SIBL
(3,12),(3,14),-0.0694871 # DEPENDENCYPART_SIBL
(3,12),(3,15),-0.0398418 # DEPENDENCYPART_SIBL
(3,12),(3,18),-0.0731798 # DEPENDENCYPART_SIBL
(3,12),(3,22),-0.0398871 # DEPENDENCYPART_SIBL
(3,14),(3,15),0.0366481 # DEPENDENCYPART_SIBL
(3,14),(3,18),-0.00124881 # DEPENDENCYPART_SIBL
(3,14),(3,22),-0.0055461 # DEPENDENCYPART_SIBL
(3,15),(3,18),0.0176735 # DEPENDENCYPART_SIBL
(3,15),(3,22),-0.030217 # DEPENDENCYPART_SIBL
(3,18),(3,22),-0.00155504 # DEPENDENCYPART_SIBL
(4,1),(4,2),0.0896486 # DEPENDENCYPART_SIBL
(4,1),(4,3),0.071801 # DEPENDENCYPART_SIBL
(4,1),(4,5),0.0243217 # DEPENDENCYPART_SIBL
(4,1),(4,6),0.0563822 # DEPENDENCYPART_SIBL
(4,1),(4,11),0.093792 # DEPENDENCYPART_SIBL
(4,2),(4,3),0.0576944 # DEPENDENCYPART_SIBL
(4,2),(4,5),-0.0361318 # DEPENDENCYPART_SIBL
(4,2),(4,6),0.00431857 # DEPENDENCYPART_SIBL
(4,2),(4,11),0.0164842 # DEPENDENCYPART_SIBL
(4,3),(4,5),-0.0747113 # DEPENDENCYPART_SIBL
(4,3),(4,6),0.00747013 # DEPENDENCYPART_SIBL
(4,3),(4,11),0.00595754 # DEPENDENCYPART_SIBL
(4,5),(4,6),-0.0912779 # DEPENDENCYPART_SIBL
(4,5),(4,11),-0.0960688 # DEPENDENCYPART_SIBL
(4,6),(4,11),-0.0120814 # DEPENDENCYPART_SIBL
(5,2),(5,3),-0.00927517 # DEPENDENCYPART_SIBL
(5,2),(5,4),-0.0360381 # DEPENDENCYPART_SIBL
(5,2),(5,6),0.185992 # DEPENDENCYPART_SIBL
(5,2),(5,7),0.0676987 # DEPENDENCYPART_SIBL
(5,2),(5,10),0.375763 # DEPENDENCYPART_SIBL
(5,2),(5,21),0.401975 # DEPENDENCYPART_SIBL
(5,3),(5,4),-0.0437872 # DEPENDENCYPART_SIBL
(5,3),(5,6),0.227272 # DEPENDENCYPART_SIBL
(5,3),(5,7),0.0790044 # DEPENDENCYPART_SIBL
(5,3),(5,10),0.392701 # DEPENDENCYPART_SIBL
(5,3),(5,21),0.418913 # DEPENDENCYPART_SIBL
(5,4),(5,6),-0.0201754 # DEPENDENCYPART_SIBL
(5,4),(5,7),-0.0536458 # DEPENDENCYPART_SIBL
(5,4),(5,10),0.0982558 # DEPENDENCYPART_SIBL
(5,4),(5,21),0.108506 # DEPENDENCYPART_SIBL
(5,6),(5,7),0.00114691 # DEPENDENCYPART_SIBL
(5,6),(5,10),-0.0348806 # DEPENDENCYPART_SIBL
(5,6),(5,21),-0.0363514 # DEPENDENCYPART_SIBL
(5,7),(5,10),-0.0445258 # DEPENDENCYPART_SIBL
(5,7),(5,21),-0.043642 # DEPENDENCYPART_SIBL
(5,10),(5,21),0.00133012 # DEPENDENCYPART_SIBL
(6,1),(6,2),0.00347378 # DEPENDENCYPART_SIBL
(6,1),(6,3),-0.0372102 # DEPENDENCYPART_SIBL
(6,1),(6,4),-0.0214722 # DEPENDENCYPART_SIBL
(6,1),(6,5),-0.0469439 # DEPENDENCYPART_SIBL
(6,1),(6,7),-0.0768651 # DEPENDENCYPART_SIBL
(6,1),(6,8),0.0552887 # DEPENDENCYPART_SIBL
(6,1),(6,9),0.00537869 # DEPENDENCYPART_SIBL
(6,1),(6,10),-0.0857372 # DEPENDENCYPART_SIBL
(6,1),(6,12),-0.0896592 # DEPENDENCYPART_SIBL
(6,1),(6,16),0.0443185 # DEPENDENCYPART_SIBL
(6,1),(6,18),0.0679923 # DEPENDENCYPART_SIBL
(6,1),(6,21),-0.0826494 # DEPENDENCYPART_SIBL
(6,1),(6,22),-0.0836476 # DEPENDENCYPART_SIBL
(6,2),(6,3),-0.0410432 # DEPENDENCYPART_SIBL
(6,2),(6,4),-0.100302 # DEPENDENCYPART_SIBL
(6,2),(6,5),-0.124463 # DEPENDENCYPART_SIBL
(6,2),(6,7),-0.089339 # DEPENDENCYPART_SIBL
(6,2),(6,8),-0.138392 # DEPENDENCYPART_SIBL
(6,2),(6,9),-0.0594583 # DEPENDENCYPART_SIBL
(6,2),(6,10),0.0734826 # DEPENDENCYPART_SIBL
(6,2),(6,12),-0.00493908 # DEPENDENCYPART_SIBL
(6,2),(6,16),-0.143122 # DEPENDENCYPART_SIBL
(6,2),(6,18),-0.132877 # DEPENDENCYPART_SIBL
(6,2),(6,21),0.077794 # DEPENDENCYPART_SIBL
(6,2),(6,22),0.0756479 # DEPENDENCYPART_SIBL
(6,3),(6,4),-0.111329 # DEPENDENCYPART_SIBL
(6,3),(6,5),-0.127759 # DEPENDENCYPART_SIBL
(6,3),(6,7),-0.0909682 # DEPENDENCYPART_SIBL
(6,3),(6,8),-0.142421 # DEPENDENCYPART_SIBL
(6,3),(6,9),-0.0555839 # DEPENDENCYPART_SIBL
(6,3),(6,10),0.066592 # DEPENDENCYPART_SIBL
(6,3),(6,12),-0.0375548 # DEPENDENCYPART_SIBL
(6,3),(6,16),-0.147151 # DEPENDENCYPART_SIBL
(6,3),(6,18),-0.136906 # DEPENDENCYPART_SIBL
(6,3),(6,21),0.0709033 # DEPENDENCYPART_SIBL
(6,3),(6,22),0.0687573 # DEPENDENCYPART_SIBL
(6,4),(6,5),-0.0314121 # DEPENDENCYPART_SIBL
(6,4),(6,7),-0.0603466 # DEPENDENCYPART_SIBL
(6,4),(6,8),-0.08197 # DEPENDENCYPART_SIBL
(6,4),(6,9),-0.0208353 # DEPENDENCYPART_SIBL
(6,4),(6,10),-0.0794592 # DEPENDENCYPART_SIBL
(6,4),(6,12),-0.0689553 # DEPENDENCYPART_SIBL
(6,4),(6,16),-0.0865844 # DEPENDENCYPART_SIBL
(6,4),(6,18),-0.076454 # DEPENDENCYPART_SIBL
(6,4),(6,21),-0.0805598 # DEPENDENCYPART_SIBL
(6,4),(6,22),-0.0786368 # DEPENDENCYPART_SIBL
(6,5),(6,7),-0.0407072 # DEPENDENCYPART_SIBL
(6,5),(6,8),-0.0723837 # DEPENDENCYPART_SIBL
(6,5),(6,9),0.0069801 # DEPENDENCYPART_SIBL
(6,5),(6,10),-0.0835829 # DEPENDENCYPART_SIBL
(6,5),(6,12),0.0253459 # DEPENDENCYPART_SIBL
(6,5),(6,16),-0.0769981 # DEPENDENCYPART_SIBL
(6,5),(6,18),-0.0684013 # DEPENDENCYPART_SIBL
(6,5),(6,21),-0.0847143 # DEPENDENCYPART_SIBL
(6,5),(6,22),-0.0827801 # DEPENDENCYPART_SIBL
(6,7),(6,8),-0.118398 # DEPENDENCYPART_SIBL
(6,7),(6,9),-0.0673583 # DEPENDENCYPART_SIBL
(6,7),(6,10),-0.147375 # DEPENDENCYPART_SIBL
(6,7),(6,12),-0.113549 # DEPENDENCYPART_SIBL
(6,7),(6,16),-0.118398 # DEPENDENCYPART_SIBL
(6,7),(6,18),-0.118398 # DEPENDENCYPART_SIBL
(6,7),(6,21),-0.147375 # DEPENDENCYPART_SIBL
(6,7),(6,22),-0.147375 # DEPENDENCYPART_SIBL
(6,8),(6,9),0.0435823 # DEPENDENCYPART_SIBL
(6,8),(6,10),-0.14927 # DEPENDENCYPART_SIBL
(6,8),(6,12),-0.107775 # DEPENDENCYPART_SIBL
(6,8),(6,16),-0.217701 # DEPENDENCYPART_SIBL
(6,8),(6,18),-0.21774 # DEPENDENCYPART_SIBL
(6,8),(6,21),-0.146659 # DEPENDENCYPART_SIBL
(6,8),(6,22),-0.146655 # DEPENDENCYPART_SIBL
(6,9),(6,10),-0.149426 # DEPENDENCYPART_SIBL
(6,9),(6,12),-0.111088 # DEPENDENCYPART_SIBL
(6,9),(6,16),-0.110384 # DEPENDENCYPART_SIBL
(6,9),(6,18),-0.110384 # DEPENDENCYPART_SIBL
(6,9),(6,21),-0.149426 # DEPENDENCYPART_SIBL
(6,9),(6,22),-0.149426 # DEPENDENCYPART_SIBL
(6,10),(6,12),-0.0666898 # DEPENDENCYPART_SIBL
(6,10),(6,16),-0.10314 # DEPENDENCYPART_SIBL
(6,10),(6,18),-0.10314 # DEPENDENCYPART_SIBL
(6,10),(6,21),-0.12124 # DEPENDENCYPART_SIBL
(6,10),(6,22),-0.11745 # DEPENDENCYPART_SIBL
(6,12),(6,16),-0.0273345 # DEPENDENCYPART_SIBL
(6,12),(6,18),-0.0276072 # DEPENDENCYPART_SIBL
(6,12),(6,21),-0.0124629 # DEPENDENCYPART_SIBL
(6,12),(6,22),-0.0124629 # DEPENDENCYPART_SIBL
(6,16),(6,18),-0.217835 # DEPENDENCYPART_SIBL
(6,16),(6,21),-0.146662 # DEPENDENCYPART_SIBL
(6,16),(6,22),-0.146658 # DEPENDENCYPART_SIBL
(6,18),(6,21),-0.147745 # DEPENDENCYPART_SIBL
(6,18),(6,22),-0.147742 # DEPENDENCYPART_SIBL
(6,21),(6,22),-0.117148 # DEPENDENCYPART_SIBL
(7,6),(7,8),0.00460768 # DEPENDENCYPART_SIBL
(7,6),(7,9),0.0263271 # DEPENDENCYPART_SIBL
(7,8),(7,9),0.0116901 # DEPENDENCYPART_SIBL
(8,1),(8,2),-0.016186 # DEPENDENCYPART_SIBL
(8,1),(8,3),-0.0393838 # DEPENDENCYPART_SIBL
(8,1),(8,5),-0.0272716 # DEPENDENCYPART_SIBL
(8,1),(8,6),0.0271043 # DEPENDENCYPART_SIBL
(8,1),(8,7),0.0720323 # DEPENDENCYPART_SIBL
(8,1),(8,9),-0.00166198 # DEPENDENCYPART_SIBL
(8,1),(8,11),0.0881656 # DEPENDENCYPART_SIBL
(8,1),(8,14),-0.0277952 # DEPENDENCYPART_SIBL
(8,1),(8,21),0.013774 # DEPENDENCYPART_SIBL
(8,1),(8,22),0.0108945 # DEPENDENCYPART_SIBL
(8,2),(8,3),-0.0374595 # DEPENDENCYPART_SIBL
(8,2),(8,5),-0.012718 # DEPENDENCYPART_SIBL
(8,2),(8,6),0.0701331 # DEPENDENCYPART_SIBL
(8,2),(8,7),0.0945151 # DEPENDENCYPART_SIBL
(8,2),(8,9),0.0190278 # DEPENDENCYPART_SIBL
(8,2),(8,11),0.0688428 # DEPENDENCYPART_SIBL
(8,2),(8,14),0.00566176 # DEPENDENCYPART_SIBL
(8,2),(8,21),0.0268959 # DEPENDENCYPART_SIBL
(8,2),(8,22),0.0209873 # DEPENDENCYPART_SIBL
(8,3),(8,5),0.00100536 # DEPENDENCYPART_SIBL
(8,3),(8,6),0.0792563 # DEPENDENCYPART_SIBL
(8,3),(8,7),0.126899 # DEPENDENCYPART_SIBL
(8,3),(8,9),0.0265264 # DEPENDENCYPART_SIBL
(8,3),(8,11),0.052633 # DEPENDENCYPART_SIBL
(8,3),(8,14),0.00650493 # DEPENDENCYPART_SIBL
(8,3),(8,21),0.0250493 # DEPENDENCYPART_SIBL
(8,3),(8,22),0.0191407 # DEPENDENCYPART_SIBL
(8,5),(8,6),-0.029213 # DEPENDENCYPART_SIBL
(8,5),(8,7),-0.0212282 # DEPENDENCYPART_SIBL
(8,5),(8,9),0.000292042 # DEPENDENCYPART_SIBL
(8,5),(8,11),0.0334705 # DEPENDENCYPART_SIBL
(8,5),(8,14),-0.0449284 # DEPENDENCYPART_SIBL
(8,5),(8,21),-0.0374981 # DEPENDENCYPART_SIBL
(8,5),(8,22),-0.0374452 # DEPENDENCYPART_SIBL
(8,6),(8,7),-0.0484762 # DEPENDENCYPART_SIBL
(8,6),(8,9),0.118212 # DEPENDENCYPART_SIBL
(8,6),(8,11),-0.0187156 # DEPENDENCYPART_SIBL
(8,6),(8,14),-0.0599681 # DEPENDENCYPART_SIBL
(8,6),(8,21),0.0022626 # DEPENDENCYPART_SIBL
(8,6),(8,22),0.00370084 # DEPENDENCYPART_SIBL
(8,7),(8,9),0.165472 # DEPENDENCYPART_SIBL
(8,7),(8,11),0.0377132 # DEPENDENCYPART_SIBL
(8,7),(8,14),-0.0319423 # DEPENDENCYPART_SIBL
(8,7),(8,21),0.0183169 # DEPENDENCYPART_SIBL
(8,7),(8,22),0.0183568 # DEPENDENCYPART_SIBL
(8,9),(8,11),-0.0198763 # DEPENDENCYPART_SIBL
(8,9),(8,14),-0.101729 # DEPENDENCYPART_SIBL
(8,9),(8,21),-0.073731 # DEPENDENCYPART_SIBL
(8,9),(8,22),-0.0735217 # DEPENDENCYPART_SIBL
(8,11),(8,14),0.0115286 # DEPENDENCYPART_SIBL
(8,11),(8,21),0.0294547 # DEPENDENCYPART_SIBL
(8,11),(8,22),0.0297334 # DEPENDENCYPART_SIBL
(8,14),(8,21),-0.0467619 # DEPENDENCYPART_SIBL
(8,14),(8,22),-0.046134 # DEPENDENCYPART_SIBL
(8,21),(8,22),-0.0113648 # DEPENDENCYPART_SIBL
(10,1),(10,2),0.00488466 # DEPENDENCYPART_SIBL
(10,1),(10,3),0.0021337 # DEPENDENCYPART_SIBL
(10,1),(10,4),0.0172722 # DEPENDENCYPART_SIBL
(10,1),(10,5),-0.0674142 # DEPENDENCYPART_SIBL
(10,1),(10,6),0.00199255 # DEPENDENCYPART_SIBL
(10,1),(10,7),-0.0203414 # DEPENDENCYPART_SIBL
(10,1),(10,8),-0.030454 # DEPENDENCYPART_SIBL
(10,1),(10,9),-0.00284137 # DEPENDENCYPART_SIBL
(10,1),(10,11),0.0612275 # DEPENDENCYPART_SIBL
(10,1),(10,12),0.0124771 # DEPENDENCYPART_SIBL
(10,1),(10,14),-0.0200579 # DEPENDENCYPART_SIBL
(10,1),(10,15),0.0464276 # DEPENDENCYPART_SIBL
(10,1),(10,16),0.000443825 # DEPENDENCYPART_SIBL
(10,1),(10,17),-0.0121469 # DEPENDENCYPART_SIBL
(10,1),(10,18),0.00284787 # DEPENDENCYPART_SIBL
(10,1),(10,19),-0.0200579 # DEPENDENCYPART_SIBL
(10,1),(10,21),0.0107141 # DEPENDENCYPART_SIBL
(10,1),(10,22),-0.00358271 # DEPENDENCYPART_SIBL
(10,2),(10,3),0.0262991 # DEPENDENCYPART_SIBL
(10,2),(10,4),-0.0111903 # DEPENDENCYPART_SIBL
(10,2),(10,5),-0.0796183 # DEPENDENCYPART_SIBL
(10,2),(10,6),0.000390773 # DEPENDENCYPART_SIBL
(10,2),(10,7),-0.0251119 # DEPENDENCYPART_SIBL
(10,2),(10,8),-0.013115 # DEPENDENCYPART_SIBL
(10,2),(10,9),-0.0013272 # DEPENDENCYPART_SIBL
(10,2),(10,11),0.0527487 # DEPENDENCYPART_SIBL
(10,2),(10,12),0.00454509 # DEPENDENCYPART_SIBL
(10,2),(10,14),0.00363127 # DEPENDENCYPART_SIBL
(10,2),(10,15),0.0225159 # DEPENDENCYPART_SIBL
(10,2),(10,16),0.0306157 # DEPENDENCYPART_SIBL
(10,2),(10,17),0.0515474 # DEPENDENCYPART_SIBL
(10,2),(10,18),0.0301605 # DEPENDENCYPART_SIBL
(10,2),(10,19),0.00363127 # DEPENDENCYPART_SIBL
(10,2),(10,21),0.0274661 # DEPENDENCYPART_SIBL
(10,2),(10,22),0.0107243 # DEPENDENCYPART_SIBL
(10,3),(10,4),-0.0541799 # DEPENDENCYPART_SIBL
(10,3),(10,5),-0.107817 # DEPENDENCYPART_SIBL
(10,3),(10,6),-0.0332401 # DEPENDENCYPART_SIBL
(10,3),(10,7),-0.0442563 # DEPENDENCYPART_SIBL
(10,3),(10,8),-0.0416132 # DEPENDENCYPART_SIBL
(10,3),(10,9),-0.0256871 # DEPENDENCYPART_SIBL
(10,3),(10,11),0.0146437 # DEPENDENCYPART_SIBL
(10,3),(10,12),-0.054472 # DEPENDENCYPART_SIBL
(10,3),(10,14),-0.0180421 # DEPENDENCYPART_SIBL
(10,3),(10,15),-0.028242 # DEPENDENCYPART_SIBL
(10,3),(10,16),-0.0112692 # DEPENDENCYPART_SIBL
(10,3),(10,17),0.0243172 # DEPENDENCYPART_SIBL
(10,3),(10,18),-0.0117244 # DEPENDENCYPART_SIBL
(10,3),(10,19),-0.0180421 # DEPENDENCYPART_SIBL
(10,3),(10,21),0.0271115 # DEPENDENCYPART_SIBL
(10,3),(10,22),0.0103697 # DEPENDENCYPART_SIBL
(10,4),(10,5),-0.0272404 # DEPENDENCYPART_SIBL
(10,4),(10,6),0.0343398 # DEPENDENCYPART_SIBL
(10,4),(10,7),-0.0337281 # DEPENDENCYPART_SIBL
(10,4),(10,8),0.0188888 # DEPENDENCYPART_SIBL
(10,4),(10,9),-0.00247716 # DEPENDENCYPART_SIBL
(10,4),(10,11),-0.114069 # DEPENDENCYPART_SIBL
(10,4),(10,12),0.054604 # DEPENDENCYPART_SIBL
(10,4),(10,14),-0.0247798 # DEPENDENCYPART_SIBL
(10,4),(10,15),-0.0703612 # DEPENDENCYPART_SIBL
(10,4),(10,16),-0.0146639 # DEPENDENCYPART_SIBL
(10,4),(10,17),-0.0360002 # DEPENDENCYPART_SIBL
(10,4),(10,18),-0.0153483 # DEPENDENCYPART_SIBL
(10,4),(10,19),-0.0247798 # DEPENDENCYPART_SIBL
(10,4),(10,21),0.0162088 # DEPENDENCYPART_SIBL
(10,4),(10,22),0.00775447 # DEPENDENCYPART_SIBL
(10,5),(10,6),-0.0974913 # DEPENDENCYPART_SIBL
(10,5),(10,7),-0.135184 # DEPENDENCYPART_SIBL
(10,5),(10,8),-0.190993 # DEPENDENCYPART_SIBL
(10,5),(10,9),-0.105908 # DEPENDENCYPART_SIBL
(10,5),(10,11),0.0657002 # DEPENDENCYPART_SIBL
(10,5),(10,12),-0.00715225 # DEPENDENCYPART_SIBL
(10,5),(10,14),-0.0235276 # DEPENDENCYPART_SIBL
(10,5),(10,15),0.0172074 # DEPENDENCYPART_SIBL
(10,5),(10,16),-0.0034715 # DEPENDENCYPART_SIBL
(10,5),(10,17),-0.0158364 # DEPENDENCYPART_SIBL
(10,5),(10,18),-0.00568951 # DEPENDENCYPART_SIBL
(10,5),(10,19),-0.0235276 # DEPENDENCYPART_SIBL
(10,5),(10,21),-0.013585 # DEPENDENCYPART_SIBL
(10,5),(10,22),-0.0220171 # DEPENDENCYPART_SIBL
(10,6),(10,7),-0.116388 # DEPENDENCYPART_SIBL
(10,6),(10,8),-0.139115 # DEPENDENCYPART_SIBL
(10,6),(10,9),-0.0996468 # DEPENDENCYPART_SIBL
(10,6),(10,11),-0.080371 # DEPENDENCYPART_SIBL
(10,6),(10,12),-0.00162875 # DEPENDENCYPART_SIBL
(10,6),(10,14),-0.00730019 # DEPENDENCYPART_SIBL
(10,6),(10,15),0.0129893 # DEPENDENCYPART_SIBL
(10,6),(10,16),-0.000311812 # DEPENDENCYPART_SIBL
(10,6),(10,17),-0.0347291 # DEPENDENCYPART_SIBL
(10,6),(10,18),-0.000304095 # DEPENDENCYPART_SIBL
(10,6),(10,19),-0.00730019 # DEPENDENCYPART_SIBL
(10,6),(10,21),-0.0172138 # DEPENDENCYPART_SIBL
(10,6),(10,22),-0.0228751 # DEPENDENCYPART_SIBL
(10,7),(10,8),-0.0124215 # DEPENDENCYPART_SIBL
(10,7),(10,9),0.00747855 # DEPENDENCYPART_SIBL
(10,7),(10,11),-0.0201178 # DEPENDENCYPART_SIBL
(10,7),(10,12),-0.0148264 # DEPENDENCYPART_SIBL
(10,7),(10,14),-0.0601978 # DEPENDENCYPART_SIBL
(10,7),(10,15),-0.0593811 # DEPENDENCYPART_SIBL
(10,7),(10,16),-0.037132 # DEPENDENCYPART_SIBL
(10,7),(10,17),-0.0426129 # DEPENDENCYPART_SIBL
(10,7),(10,18),-0.0378173 # DEPENDENCYPART_SIBL
(10,7),(10,19),-0.0601978 # DEPENDENCYPART_SIBL
(10,7),(10,21),-0.0364713 # DEPENDENCYPART_SIBL
(10,7),(10,22),-0.0449293 # DEPENDENCYPART_SIBL
(10,8),(10,9),-0.00879527 # DEPENDENCYPART_SIBL
(10,8),(10,11),-0.0170696 # DEPENDENCYPART_SIBL
(10,8),(10,12),0.00039672 # DEPENDENCYPART_SIBL
(10,8),(10,14),-0.0431549 # DEPENDENCYPART_SIBL
(10,8),(10,15),-0.00633652 # DEPENDENCYPART_SIBL
(10,8),(10,16),-0.0228601 # DEPENDENCYPART_SIBL
(10,8),(10,17),-0.0328741 # DEPENDENCYPART_SIBL
(10,8),(10,18),-0.0204561 # DEPENDENCYPART_SIBL
(10,8),(10,19),-0.0431549 # DEPENDENCYPART_SIBL
(10,8),(10,21),-0.00338895 # DEPENDENCYPART_SIBL
(10,8),(10,22),-0.0176857 # DEPENDENCYPART_SIBL
(10,9),(10,11),0.0202945 # DEPENDENCYPART_SIBL
(10,9),(10,12),-0.0105598 # DEPENDENCYPART_SIBL
(10,9),(10,14),-0.0447772 # DEPENDENCYPART_SIBL
(10,9),(10,15),-0.0194427 # DEPENDENCYPART_SIBL
(10,9),(10,16),-0.0236536 # DEPENDENCYPART_SIBL
(10,9),(10,17),-0.0368858 # DEPENDENCYPART_SIBL
(10,9),(10,18),-0.0243389 # DEPENDENCYPART_SIBL
(10,9),(10,19),-0.0447772 # DEPENDENCYPART_SIBL
(10,9),(10,21),-0.0108321 # DEPENDENCYPART_SIBL
(10,9),(10,22),-0.0192901 # DEPENDENCYPART_SIBL
(10,11),(10,12),-0.0625751 # DEPENDENCYPART_SIBL
(10,11),(10,14),-0.0319086 # DEPENDENCYPART_SIBL
(10,11),(10,15),-0.117111 # DEPENDENCYPART_SIBL
(10,11),(10,16),0.0547342 # DEPENDENCYPART_SIBL
(10,11),(10,17),0.0343661 # DEPENDENCYPART_SIBL
(10,11),(10,18),0.0514091 # DEPENDENCYPART_SIBL
(10,11),(10,19),-0.0319086 # DEPENDENCYPART_SIBL
(10,11),(10,21),-0.0115463 # DEPENDENCYPART_SIBL
(10,11),(10,22),-0.00761745 # DEPENDENCYPART_SIBL
(10,12),(10,14),-0.0666556 # DEPENDENCYPART_SIBL
(10,12),(10,15),-0.0481911 # DEPENDENCYPART_SIBL
(10,12),(10,16),-0.0836567 # DEPENDENCYPART_SIBL
(10,12),(10,17),-0.181886 # DEPENDENCYPART_SIBL
(10,12),(10,18),-0.085068 # DEPENDENCYPART_SIBL
(10,12),(10,19),-0.0666556 # DEPENDENCYPART_SIBL
(10,12),(10,21),-0.045381 # DEPENDENCYPART_SIBL
(10,12),(10,22),-0.0415909 # DEPENDENCYPART_SIBL
(10,14),(10,15),0.0272282 # DEPENDENCYPART_SIBL
(10,14),(10,16),-0.0144935 # DEPENDENCYPART_SIBL
(10,14),(10,17),0.0324416 # DEPENDENCYPART_SIBL
(10,14),(10,18),-0.0156322 # DEPENDENCYPART_SIBL
(10,14),(10,19),-0.00143632 # DEPENDENCYPART_SIBL
(10,14),(10,21),-0.0123466 # DEPENDENCYPART_SIBL
(10,14),(10,22),-0.0083472 # DEPENDENCYPART_SIBL
(10,15),(10,16),-0.0353552 # DEPENDENCYPART_SIBL
(10,15),(10,17),0.00193882 # DEPENDENCYPART_SIBL
(10,15),(10,18),-0.0386802 # DEPENDENCYPART_SIBL
(10,15),(10,19),-0.0639709 # DEPENDENCYPART_SIBL
(10,15),(10,21),-0.0518594 # DEPENDENCYPART_SIBL
(10,15),(10,22),-0.0479306 # DEPENDENCYPART_SIBL
(10,16),(10,17),0.00584032 # DEPENDENCYPART_SIBL
(10,16),(10,18),0.0121455 # DEPENDENCYPART_SIBL
