# _root_ plangintzak lan arloan dauden arazoei ez die aurre_egiten , ugtko kidearen ustez , eta ppk estatu mailan duen plangintza jarraitzen duela gehitu zuen .
#goldHeads=8,3,4,5,8,8,8,14,8,11,12,8,12,0,20,17,18,19,20,22,20,14,22,23,
#predictedHeads=8,3,4,5,8,8,8,14,8,11,12,8,12,0,16,17,18,19,20,22,20,14,22,23,
(17,13),(17,19),-0.0562302 # DEPENDENCYPART_SIBL
(17,13),(17,21),-0.000376767 # DEPENDENCYPART_SIBL
(17,13),(17,23),0.0334705 # DEPENDENCYPART_SIBL
(17,13),(17,24),-0.0809241 # DEPENDENCYPART_SIBL
(17,14),(17,15),-0.112094 # DEPENDENCYPART_SIBL
(17,14),(17,16),-0.0945461 # DEPENDENCYPART_SIBL
(17,14),(17,18),0.0194935 # DEPENDENCYPART_SIBL
(17,14),(17,19),-0.0264599 # DEPENDENCYPART_SIBL
(17,14),(17,21),0.0130217 # DEPENDENCYPART_SIBL
(17,14),(17,23),-0.0187156 # DEPENDENCYPART_SIBL
(17,14),(17,24),-0.0577666 # DEPENDENCYPART_SIBL
(17,15),(17,16),0.00167572 # DEPENDENCYPART_SIBL
(17,15),(17,18),0.00978076 # DEPENDENCYPART_SIBL
(17,15),(17,19),0.000741844 # DEPENDENCYPART_SIBL
(17,15),(17,21),0.127359 # DEPENDENCYPART_SIBL
(17,15),(17,23),0.0926816 # DEPENDENCYPART_SIBL
(17,15),(17,24),-0.0142223 # DEPENDENCYPART_SIBL
(17,16),(17,18),0.0160573 # DEPENDENCYPART_SIBL
(17,16),(17,19),0.0378974 # DEPENDENCYPART_SIBL
(17,16),(17,21),0.0920079 # DEPENDENCYPART_SIBL
(17,16),(17,23),0.0787918 # DEPENDENCYPART_SIBL
(17,16),(17,24),-0.0173871 # DEPENDENCYPART_SIBL
(17,18),(17,19),-0.0247369 # DEPENDENCYPART_SIBL
(17,18),(17,21),-0.0104941 # DEPENDENCYPART_SIBL
(17,18),(17,23),-3.7986e-05 # DEPENDENCYPART_SIBL
(17,18),(17,24),-0.0638275 # DEPENDENCYPART_SIBL
(17,19),(17,21),-0.00647651 # DEPENDENCYPART_SIBL
(17,19),(17,23),0.00869516 # DEPENDENCYPART_SIBL
(17,19),(17,24),-0.0887632 # DEPENDENCYPART_SIBL
(17,21),(17,23),-0.0558547 # DEPENDENCYPART_SIBL
(17,21),(17,24),-0.0579055 # DEPENDENCYPART_SIBL
(17,23),(17,24),-0.0642661 # DEPENDENCYPART_SIBL
(18,1),(18,2),-0.0749482 # DEPENDENCYPART_SIBL
(18,1),(18,3),-0.0702524 # DEPENDENCYPART_SIBL
(18,1),(18,4),-0.0295632 # DEPENDENCYPART_SIBL
(18,1),(18,5),-0.070252 # DEPENDENCYPART_SIBL
(18,1),(18,8),0.00767708 # DEPENDENCYPART_SIBL
(18,1),(18,9),-0.0386667 # DEPENDENCYPART_SIBL
(18,1),(18,10),-0.070252 # DEPENDENCYPART_SIBL
(18,1),(18,11),-0.070252 # DEPENDENCYPART_SIBL
(18,1),(18,12),-0.0773293 # DEPENDENCYPART_SIBL
(18,1),(18,13),-0.0386667 # DEPENDENCYPART_SIBL
(18,1),(18,14),0.0518168 # DEPENDENCYPART_SIBL
(18,1),(18,15),-0.0777657 # DEPENDENCYPART_SIBL
(18,1),(18,16),-0.0618816 # DEPENDENCYPART_SIBL
(18,1),(18,17),-0.0716878 # DEPENDENCYPART_SIBL
(18,1),(18,19),-0.0448725 # DEPENDENCYPART_SIBL
(18,1),(18,20),-0.0118754 # DEPENDENCYPART_SIBL
(18,1),(18,21),0.00567052 # DEPENDENCYPART_SIBL
(18,1),(18,22),-0.0273769 # DEPENDENCYPART_SIBL
(18,1),(18,23),-0.0082553 # DEPENDENCYPART_SIBL
(18,2),(18,3),-0.074607 # DEPENDENCYPART_SIBL
(18,2),(18,4),-0.0272666 # DEPENDENCYPART_SIBL
(18,2),(18,5),-0.0746066 # DEPENDENCYPART_SIBL
(18,2),(18,8),0.00950175 # DEPENDENCYPART_SIBL
(18,2),(18,9),-0.0363701 # DEPENDENCYPART_SIBL
(18,2),(18,10),-0.0746066 # DEPENDENCYPART_SIBL
(18,2),(18,11),-0.0746066 # DEPENDENCYPART_SIBL
(18,2),(18,12),-0.0816839 # DEPENDENCYPART_SIBL
(18,2),(18,13),-0.0363701 # DEPENDENCYPART_SIBL
(18,2),(18,14),0.0544296 # DEPENDENCYPART_SIBL
(18,2),(18,15),-0.0821202 # DEPENDENCYPART_SIBL
(18,2),(18,16),-0.0662362 # DEPENDENCYPART_SIBL
(18,2),(18,17),-0.0760424 # DEPENDENCYPART_SIBL
(18,2),(18,19),-0.0480573 # DEPENDENCYPART_SIBL
(18,2),(18,20),-0.00747181 # DEPENDENCYPART_SIBL
(18,2),(18,21),-0.000329326 # DEPENDENCYPART_SIBL
(18,2),(18,22),-0.0229734 # DEPENDENCYPART_SIBL
(18,2),(18,23),-0.0142552 # DEPENDENCYPART_SIBL
(18,3),(18,4),-0.0244479 # DEPENDENCYPART_SIBL
(18,3),(18,5),-0.0631349 # DEPENDENCYPART_SIBL
(18,3),(18,8),0.0105527 # DEPENDENCYPART_SIBL
(18,3),(18,9),-0.0357911 # DEPENDENCYPART_SIBL
(18,3),(18,10),-0.0631349 # DEPENDENCYPART_SIBL
(18,3),(18,11),-0.0631349 # DEPENDENCYPART_SIBL
(18,3),(18,12),-0.0702121 # DEPENDENCYPART_SIBL
(18,3),(18,13),-0.0357911 # DEPENDENCYPART_SIBL
(18,3),(18,14),0.057116 # DEPENDENCYPART_SIBL
(18,3),(18,15),-0.0706485 # DEPENDENCYPART_SIBL
(18,3),(18,16),-0.0547644 # DEPENDENCYPART_SIBL
(18,3),(18,17),-0.0645706 # DEPENDENCYPART_SIBL
(18,3),(18,19),-0.0422411 # DEPENDENCYPART_SIBL
(18,3),(18,20),-0.00773738 # DEPENDENCYPART_SIBL
(18,3),(18,21),0.0113533 # DEPENDENCYPART_SIBL
(18,3),(18,22),-0.0232389 # DEPENDENCYPART_SIBL
(18,3),(18,23),-0.0025725 # DEPENDENCYPART_SIBL
(18,4),(18,5),-0.0268555 # DEPENDENCYPART_SIBL
(18,4),(18,8),-0.0201973 # DEPENDENCYPART_SIBL
(18,4),(18,9),-0.0187538 # DEPENDENCYPART_SIBL
(18,4),(18,10),-0.0268555 # DEPENDENCYPART_SIBL
(18,4),(18,11),-0.0268555 # DEPENDENCYPART_SIBL
(18,4),(18,12),-0.0286813 # DEPENDENCYPART_SIBL
(18,4),(18,13),-0.0187538 # DEPENDENCYPART_SIBL
(18,4),(18,14),0.0303608 # DEPENDENCYPART_SIBL
(18,4),(18,15),-0.0268944 # DEPENDENCYPART_SIBL
(18,4),(18,16),-0.0232395 # DEPENDENCYPART_SIBL
(18,4),(18,17),-0.0268555 # DEPENDENCYPART_SIBL
(18,4),(18,19),-0.00665128 # DEPENDENCYPART_SIBL
(18,4),(18,20),0.0155085 # DEPENDENCYPART_SIBL
(18,4),(18,21),0.00824533 # DEPENDENCYPART_SIBL
(18,4),(18,22),0.0123748 # DEPENDENCYPART_SIBL
(18,4),(18,23),0.0279717 # DEPENDENCYPART_SIBL
(18,5),(18,8),0.00738665 # DEPENDENCYPART_SIBL
(18,5),(18,9),-0.0386667 # DEPENDENCYPART_SIBL
(18,5),(18,10),-0.0703422 # DEPENDENCYPART_SIBL
(18,5),(18,11),-0.0703422 # DEPENDENCYPART_SIBL
(18,5),(18,12),-0.0774194 # DEPENDENCYPART_SIBL
(18,5),(18,13),-0.0386667 # DEPENDENCYPART_SIBL
(18,5),(18,14),0.0522569 # DEPENDENCYPART_SIBL
(18,5),(18,15),-0.0778558 # DEPENDENCYPART_SIBL
(18,5),(18,16),-0.0619718 # DEPENDENCYPART_SIBL
(18,5),(18,17),-0.0717779 # DEPENDENCYPART_SIBL
(18,5),(18,19),-0.0448725 # DEPENDENCYPART_SIBL
(18,5),(18,20),-0.0118777 # DEPENDENCYPART_SIBL
(18,5),(18,21),0.00602952 # DEPENDENCYPART_SIBL
(18,5),(18,22),-0.0273793 # DEPENDENCYPART_SIBL
(18,5),(18,23),-0.00789629 # DEPENDENCYPART_SIBL
(18,8),(18,9),-0.031952 # DEPENDENCYPART_SIBL
(18,8),(18,10),-0.0208955 # DEPENDENCYPART_SIBL
(18,8),(18,11),-0.0208955 # DEPENDENCYPART_SIBL
(18,8),(18,12),-0.0226732 # DEPENDENCYPART_SIBL
(18,8),(18,13),-0.031952 # DEPENDENCYPART_SIBL
(18,8),(18,14),0.0796481 # DEPENDENCYPART_SIBL
(18,8),(18,15),-0.0235055 # DEPENDENCYPART_SIBL
(18,8),(18,16),-0.013556 # DEPENDENCYPART_SIBL
(18,8),(18,17),-0.0213483 # DEPENDENCYPART_SIBL
(18,8),(18,19),-0.00666045 # DEPENDENCYPART_SIBL
(18,8),(18,20),-0.0148006 # DEPENDENCYPART_SIBL
(18,8),(18,21),0.0154661 # DEPENDENCYPART_SIBL
(18,8),(18,22),-0.0105829 # DEPENDENCYPART_SIBL
(18,8),(18,23),0.00373707 # DEPENDENCYPART_SIBL
(18,9),(18,10),-0.120423 # DEPENDENCYPART_SIBL
(18,9),(18,11),-0.120423 # DEPENDENCYPART_SIBL
(18,9),(18,12),-0.121276 # DEPENDENCYPART_SIBL
(18,9),(18,13),-0.0520868 # DEPENDENCYPART_SIBL
(18,9),(18,14),-0.00383936 # DEPENDENCYPART_SIBL
(18,9),(18,15),-0.120425 # DEPENDENCYPART_SIBL
(18,9),(18,16),-0.116242 # DEPENDENCYPART_SIBL
(18,9),(18,17),-0.120423 # DEPENDENCYPART_SIBL
(18,9),(18,19),-0.0700298 # DEPENDENCYPART_SIBL
(18,9),(18,20),-0.0351634 # DEPENDENCYPART_SIBL
(18,9),(18,21),-0.0263659 # DEPENDENCYPART_SIBL
(18,9),(18,22),-0.0410872 # DEPENDENCYPART_SIBL
(18,9),(18,23),0.0111216 # DEPENDENCYPART_SIBL
(18,10),(18,11),-0.0702673 # DEPENDENCYPART_SIBL
(18,10),(18,12),-0.0773446 # DEPENDENCYPART_SIBL
(18,10),(18,13),-0.0386667 # DEPENDENCYPART_SIBL
(18,10),(18,14),0.0522569 # DEPENDENCYPART_SIBL
(18,10),(18,15),-0.077781 # DEPENDENCYPART_SIBL
(18,10),(18,16),-0.0618969 # DEPENDENCYPART_SIBL
(18,10),(18,17),-0.0717031 # DEPENDENCYPART_SIBL
(18,10),(18,19),-0.0411093 # DEPENDENCYPART_SIBL
(18,10),(18,20),-0.0123912 # DEPENDENCYPART_SIBL
(18,10),(18,21),0.00602952 # DEPENDENCYPART_SIBL
(18,10),(18,22),-0.0278928 # DEPENDENCYPART_SIBL
(18,10),(18,23),-0.00789629 # DEPENDENCYPART_SIBL
(18,11),(18,12),-0.0771175 # DEPENDENCYPART_SIBL
(18,11),(18,13),-0.0386667 # DEPENDENCYPART_SIBL
(18,11),(18,14),0.0522569 # DEPENDENCYPART_SIBL
(18,11),(18,15),-0.0775539 # DEPENDENCYPART_SIBL
(18,11),(18,16),-0.0616698 # DEPENDENCYPART_SIBL
(18,11),(18,17),-0.071476 # DEPENDENCYPART_SIBL
(18,11),(18,19),-0.0448725 # DEPENDENCYPART_SIBL
(18,11),(18,20),-0.0118754 # DEPENDENCYPART_SIBL
(18,11),(18,21),0.00602952 # DEPENDENCYPART_SIBL
(18,11),(18,22),-0.0273769 # DEPENDENCYPART_SIBL
(18,11),(18,23),-0.00789629 # DEPENDENCYPART_SIBL
(18,12),(18,13),-0.0206705 # DEPENDENCYPART_SIBL
(18,12),(18,14),0.0837093 # DEPENDENCYPART_SIBL
(18,12),(18,15),-0.0311457 # DEPENDENCYPART_SIBL
(18,12),(18,16),-0.0129533 # DEPENDENCYPART_SIBL
(18,12),(18,17),-0.0227594 # DEPENDENCYPART_SIBL
(18,12),(18,19),-0.0067461 # DEPENDENCYPART_SIBL
(18,12),(18,20),0.0467991 # DEPENDENCYPART_SIBL
(18,12),(18,21),0.0404985 # DEPENDENCYPART_SIBL
(18,12),(18,22),0.0312975 # DEPENDENCYPART_SIBL
(18,12),(18,23),0.0242746 # DEPENDENCYPART_SIBL
(18,13),(18,14),-0.00383936 # DEPENDENCYPART_SIBL
(18,13),(18,15),-0.120425 # DEPENDENCYPART_SIBL
(18,13),(18,16),-0.116242 # DEPENDENCYPART_SIBL
(18,13),(18,17),-0.120423 # DEPENDENCYPART_SIBL
(18,13),(18,19),-0.0700298 # DEPENDENCYPART_SIBL
(18,13),(18,20),-0.0351634 # DEPENDENCYPART_SIBL
(18,13),(18,21),-0.0263659 # DEPENDENCYPART_SIBL
(18,13),(18,22),-0.0410872 # DEPENDENCYPART_SIBL
(18,13),(18,23),0.0111216 # DEPENDENCYPART_SIBL
(18,14),(18,15),-0.1053 # DEPENDENCYPART_SIBL
(18,14),(18,16),-0.0945298 # DEPENDENCYPART_SIBL
(18,14),(18,17),-0.0990734 # DEPENDENCYPART_SIBL
(18,14),(18,19),-0.0140579 # DEPENDENCYPART_SIBL
(18,14),(18,20),-0.0303332 # DEPENDENCYPART_SIBL
(18,14),(18,21),-0.0291873 # DEPENDENCYPART_SIBL
(18,14),(18,22),-0.0358113 # DEPENDENCYPART_SIBL
(18,14),(18,23),-0.0567763 # DEPENDENCYPART_SIBL
(18,15),(18,16),-0.0840126 # DEPENDENCYPART_SIBL
(18,15),(18,17),-0.0938187 # DEPENDENCYPART_SIBL
(18,15),(18,19),-0.0502737 # DEPENDENCYPART_SIBL
(18,15),(18,20),-0.00511074 # DEPENDENCYPART_SIBL
(18,15),(18,21),0.0288477 # DEPENDENCYPART_SIBL
(18,15),(18,22),-0.0204779 # DEPENDENCYPART_SIBL
(18,15),(18,23),0.00191174 # DEPENDENCYPART_SIBL
(18,16),(18,17),-0.0790236 # DEPENDENCYPART_SIBL
(18,16),(18,19),-0.0415382 # DEPENDENCYPART_SIBL
(18,16),(18,20),-0.0142993 # DEPENDENCYPART_SIBL
(18,16),(18,21),-0.0050712 # DEPENDENCYPART_SIBL
(18,16),(18,22),-0.0298008 # DEPENDENCYPART_SIBL
(18,16),(18,23),-0.018997 # DEPENDENCYPART_SIBL
(18,17),(18,19),-0.0448909 # DEPENDENCYPART_SIBL
(18,17),(18,20),-0.0137247 # DEPENDENCYPART_SIBL
(18,17),(18,21),0.00602947 # DEPENDENCYPART_SIBL
(18,17),(18,22),-0.0292262 # DEPENDENCYPART_SIBL
(18,17),(18,23),-0.00789634 # DEPENDENCYPART_SIBL
(18,19),(18,20),0.0118762 # DEPENDENCYPART_SIBL
(18,19),(18,21),-0.010462 # DEPENDENCYPART_SIBL
(18,19),(18,22),-0.00470788 # DEPENDENCYPART_SIBL
(18,19),(18,23),-0.0064386 # DEPENDENCYPART_SIBL
(18,20),(18,21),0.0341756 # DEPENDENCYPART_SIBL
(18,20),(18,22),0.000774138 # DEPENDENCYPART_SIBL
(18,20),(18,23),0.0225572 # DEPENDENCYPART_SIBL
(18,21),(18,22),-0.00849299 # DEPENDENCYPART_SIBL
(18,21),(18,23),-0.0904116 # DEPENDENCYPART_SIBL
(18,22),(18,23),0.0245704 # DEPENDENCYPART_SIBL
(19,13),(19,14),-0.0292212 # DEPENDENCYPART_SIBL
(19,13),(19,15),-0.112566 # DEPENDENCYPART_SIBL
(19,13),(19,16),-0.101606 # DEPENDENCYPART_SIBL
(19,13),(19,17),-0.113282 # DEPENDENCYPART_SIBL
(19,13),(19,18),0.000175245 # DEPENDENCYPART_SIBL
(19,13),(19,20),-0.0378965 # DEPENDENCYPART_SIBL
(19,13),(19,21),-0.000381682 # DEPENDENCYPART_SIBL
(19,13),(19,22),-0.0381942 # DEPENDENCYPART_SIBL
(19,13),(19,23),0.0334655 # DEPENDENCYPART_SIBL
(19,13),(19,24),-0.0822756 # DEPENDENCYPART_SIBL
(19,14),(19,15),-0.111035 # DEPENDENCYPART_SIBL
(19,14),(19,16),-0.0934871 # DEPENDENCYPART_SIBL
(19,14),(19,17),-0.105525 # DEPENDENCYPART_SIBL
(19,14),(19,18),-0.0274119 # DEPENDENCYPART_SIBL
(19,14),(19,20),0.00278163 # DEPENDENCYPART_SIBL
(19,14),(19,21),0.0130056 # DEPENDENCYPART_SIBL
(19,14),(19,22),0.00294446 # DEPENDENCYPART_SIBL
(19,14),(19,23),-0.0187317 # DEPENDENCYPART_SIBL
(19,14),(19,24),-0.0591237 # DEPENDENCYPART_SIBL
(19,15),(19,16),-0.00267134 # DEPENDENCYPART_SIBL
(19,15),(19,17),-0.0162941 # DEPENDENCYPART_SIBL
(19,15),(19,18),0.0994092 # DEPENDENCYPART_SIBL
(19,15),(19,20),0.0410264 # DEPENDENCYPART_SIBL
(19,15),(19,21),0.126994 # DEPENDENCYPART_SIBL
(19,15),(19,22),0.0325817 # DEPENDENCYPART_SIBL
(19,15),(19,23),0.092316 # DEPENDENCYPART_SIBL
(19,15),(19,24),-0.0172692 # DEPENDENCYPART_SIBL
(19,16),(19,17),-0.0152573 # DEPENDENCYPART_SIBL
(19,16),(19,18),0.0825067 # DEPENDENCYPART_SIBL
(19,16),(19,20),0.0464026 # DEPENDENCYPART_SIBL
(19,16),(19,21),0.0916423 # DEPENDENCYPART_SIBL
(19,16),(19,22),0.0378234 # DEPENDENCYPART_SIBL
(19,16),(19,23),0.0784262 # DEPENDENCYPART_SIBL
(19,16),(19,24),-0.020434 # DEPENDENCYPART_SIBL
(19,17),(19,18),0.0841794 # DEPENDENCYPART_SIBL
(19,17),(19,20),0.0225433 # DEPENDENCYPART_SIBL
(19,17),(19,21),0.0779041 # DEPENDENCYPART_SIBL
(19,17),(19,22),0.0139641 # DEPENDENCYPART_SIBL
(19,17),(19,23),0.064688 # DEPENDENCYPART_SIBL
(19,17),(19,24),-0.0164076 # DEPENDENCYPART_SIBL
(19,18),(19,20),0.0481937 # DEPENDENCYPART_SIBL
(19,18),(19,21),0.0641819 # DEPENDENCYPART_SIBL
(19,18),(19,22),0.0509579 # DEPENDENCYPART_SIBL
(19,18),(19,23),0.0799899 # DEPENDENCYPART_SIBL
(19,18),(19,24),0.0157757 # DEPENDENCYPART_SIBL
(19,20),(19,21),0.0381794 # DEPENDENCYPART_SIBL
(19,20),(19,22),-0.0106573 # DEPENDENCYPART_SIBL
(19,20),(19,23),0.0535532 # DEPENDENCYPART_SIBL
(19,20),(19,24),-0.0694598 # DEPENDENCYPART_SIBL
(19,21),(19,22),0.0200252 # DEPENDENCYPART_SIBL
(19,21),(19,23),-0.0558547 # DEPENDENCYPART_SIBL
(19,21),(19,24),-0.0579055 # DEPENDENCYPART_SIBL
(19,22),(19,23),0.0549838 # DEPENDENCYPART_SIBL
(19,22),(19,24),-0.0696466 # DEPENDENCYPART_SIBL
(19,23),(19,24),-0.0642661 # DEPENDENCYPART_SIBL
(20,1),(20,2),-0.0322189 # DEPENDENCYPART_SIBL
(20,1),(20,3),-0.0202125 # DEPENDENCYPART_SIBL
(20,1),(20,4),-0.0205671 # DEPENDENCYPART_SIBL
(20,1),(20,5),-0.0200972 # DEPENDENCYPART_SIBL
(20,1),(20,6),0.0334669 # DEPENDENCYPART_SIBL
(20,1),(20,8),-0.0100512 # DEPENDENCYPART_SIBL
(20,1),(20,9),-0.0753356 # DEPENDENCYPART_SIBL
(20,1),(20,10),-0.0200972 # DEPENDENCYPART_SIBL
(20,1),(20,11),-0.0200972 # DEPENDENCYPART_SIBL
(20,1),(20,12),-0.0330438 # DEPENDENCYPART_SIBL
(20,1),(20,13),-0.0753356 # DEPENDENCYPART_SIBL
(20,1),(20,14),-0.00101661 # DEPENDENCYPART_SIBL
(20,1),(20,15),-0.0500229 # DEPENDENCYPART_SIBL
(20,1),(20,16),-0.0255383 # DEPENDENCYPART_SIBL
(20,1),(20,17),-0.0206736 # DEPENDENCYPART_SIBL
(20,1),(20,18),0.00232185 # DEPENDENCYPART_SIBL
(20,1),(20,19),-0.032588 # DEPENDENCYPART_SIBL
(20,1),(20,21),0.0113282 # DEPENDENCYPART_SIBL
(20,1),(20,22),-0.0178865 # DEPENDENCYPART_SIBL
(20,1),(20,23),0.0079384 # DEPENDENCYPART_SIBL
(20,2),(20,3),-0.0340944 # DEPENDENCYPART_SIBL
(20,2),(20,4),-0.0250147 # DEPENDENCYPART_SIBL
(20,2),(20,5),-0.0339791 # DEPENDENCYPART_SIBL
(20,2),(20,6),0.0290193 # DEPENDENCYPART_SIBL
(20,2),(20,8),-0.0154116 # DEPENDENCYPART_SIBL
(20,2),(20,9),-0.0797832 # DEPENDENCYPART_SIBL
(20,2),(20,10),-0.0339791 # DEPENDENCYPART_SIBL
(20,2),(20,11),-0.0339791 # DEPENDENCYPART_SIBL
(20,2),(20,12),-0.0469257 # DEPENDENCYPART_SIBL
(20,2),(20,13),-0.0797832 # DEPENDENCYPART_SIBL
(20,2),(20,14),-0.00475799 # DEPENDENCYPART_SIBL
(20,2),(20,15),-0.0639048 # DEPENDENCYPART_SIBL
(20,2),(20,16),-0.0394202 # DEPENDENCYPART_SIBL
(20,2),(20,17),-0.0345555 # DEPENDENCYPART_SIBL
(20,2),(20,18),-0.00212574 # DEPENDENCYPART_SIBL
(20,2),(20,19),-0.0464698 # DEPENDENCYPART_SIBL
(20,2),(20,21),-0.0134296 # DEPENDENCYPART_SIBL
(20,2),(20,22),-0.0248082 # DEPENDENCYPART_SIBL
(20,2),(20,23),-0.0168194 # DEPENDENCYPART_SIBL
(20,3),(20,4),-0.011564 # DEPENDENCYPART_SIBL
(20,3),(20,5),-0.0157474 # DEPENDENCYPART_SIBL
(20,3),(20,6),0.0379906 # DEPENDENCYPART_SIBL
(20,3),(20,8),-0.0055275 # DEPENDENCYPART_SIBL
(20,3),(20,9),-0.0708119 # DEPENDENCYPART_SIBL
(20,3),(20,10),-0.0157474 # DEPENDENCYPART_SIBL
(20,3),(20,11),-0.0157474 # DEPENDENCYPART_SIBL
(20,3),(20,12),-0.028694 # DEPENDENCYPART_SIBL
(20,3),(20,13),-0.0708119 # DEPENDENCYPART_SIBL
(20,3),(20,14),0.00998632 # DEPENDENCYPART_SIBL
(20,3),(20,15),-0.0456731 # DEPENDENCYPART_SIBL
(20,3),(20,16),-0.0211885 # DEPENDENCYPART_SIBL
(20,3),(20,17),-0.0163238 # DEPENDENCYPART_SIBL
(20,3),(20,18),0.011325 # DEPENDENCYPART_SIBL
(20,3),(20,19),-0.0282381 # DEPENDENCYPART_SIBL
(20,3),(20,21),0.0142506 # DEPENDENCYPART_SIBL
(20,3),(20,22),-0.017783 # DEPENDENCYPART_SIBL
(20,3),(20,23),0.0108608 # DEPENDENCYPART_SIBL
(20,4),(20,5),-0.0156739 # DEPENDENCYPART_SIBL
(20,4),(20,6),0.00751234 # DEPENDENCYPART_SIBL
(20,4),(20,8),-0.0373638 # DEPENDENCYPART_SIBL
(20,4),(20,9),-0.0593016 # DEPENDENCYPART_SIBL
(20,4),(20,10),-0.0156739 # DEPENDENCYPART_SIBL
(20,4),(20,11),-0.0156739 # DEPENDENCYPART_SIBL
(20,4),(20,12),-0.0192745 # DEPENDENCYPART_SIBL
(20,4),(20,13),-0.0593016 # DEPENDENCYPART_SIBL
(20,4),(20,14),0.00247611 # DEPENDENCYPART_SIBL
(20,4),(20,15),-0.0305519 # DEPENDENCYPART_SIBL
(20,4),(20,16),-0.0191 # DEPENDENCYPART_SIBL
(20,4),(20,17),-0.0140941 # DEPENDENCYPART_SIBL
(20,4),(20,18),-0.0401147 # DEPENDENCYPART_SIBL
(20,4),(20,19),-0.00472056 # DEPENDENCYPART_SIBL
(20,4),(20,21),-0.0104201 # DEPENDENCYPART_SIBL
(20,4),(20,22),-0.00703568 # DEPENDENCYPART_SIBL
(20,4),(20,23),0.0564617 # DEPENDENCYPART_SIBL
(20,5),(20,6),0.0330985 # DEPENDENCYPART_SIBL
(20,5),(20,8),-0.0109965 # DEPENDENCYPART_SIBL
(20,5),(20,9),-0.075704 # DEPENDENCYPART_SIBL
(20,5),(20,10),-0.0208578 # DEPENDENCYPART_SIBL
(20,5),(20,11),-0.0208578 # DEPENDENCYPART_SIBL
(20,5),(20,12),-0.0338043 # DEPENDENCYPART_SIBL
(20,5),(20,13),-0.075704 # DEPENDENCYPART_SIBL
(20,5),(20,14),-0.000504827 # DEPENDENCYPART_SIBL
(20,5),(20,15),-0.0507834 # DEPENDENCYPART_SIBL
(20,5),(20,16),-0.0262988 # DEPENDENCYPART_SIBL
(20,5),(20,17),-0.0214341 # DEPENDENCYPART_SIBL
(20,5),(20,18),0.00195344 # DEPENDENCYPART_SIBL
(20,5),(20,19),-0.0333485 # DEPENDENCYPART_SIBL
(20,5),(20,21),0.0108997 # DEPENDENCYPART_SIBL
(20,5),(20,22),-0.0188964 # DEPENDENCYPART_SIBL
(20,5),(20,23),0.00750992 # DEPENDENCYPART_SIBL
(20,6),(20,8),0.0127227 # DEPENDENCYPART_SIBL
(20,6),(20,9),-0.010122 # DEPENDENCYPART_SIBL
(20,6),(20,10),0.0318287 # DEPENDENCYPART_SIBL
(20,6),(20,11),0.0318287 # DEPENDENCYPART_SIBL
(20,6),(20,12),0.0254465 # DEPENDENCYPART_SIBL
(20,6),(20,13),-0.010122 # DEPENDENCYPART_SIBL
(20,6),(20,14),0.0629602 # DEPENDENCYPART_SIBL
(20,6),(20,15),0.0167481 # DEPENDENCYPART_SIBL
(20,6),(20,16),0.028968 # DEPENDENCYPART_SIBL
(20,6),(20,17),0.0334085 # DEPENDENCYPART_SIBL
(20,6),(20,18),0.075015 # DEPENDENCYPART_SIBL
(20,6),(20,19),0.0321584 # DEPENDENCYPART_SIBL
(20,6),(20,21),-0.255346 # DEPENDENCYPART_SIBL
(20,6),(20,22),0.0189657 # DEPENDENCYPART_SIBL
(20,6),(20,23),-0.265872 # DEPENDENCYPART_SIBL
(20,8),(20,9),-0.0857511 # DEPENDENCYPART_SIBL
(20,8),(20,10),-0.0023182 # DEPENDENCYPART_SIBL
(20,8),(20,11),-0.0023182 # DEPENDENCYPART_SIBL
(20,8),(20,12),-0.00631203 # DEPENDENCYPART_SIBL
(20,8),(20,13),-0.0857511 # DEPENDENCYPART_SIBL
(20,8),(20,14),-0.00615929 # DEPENDENCYPART_SIBL
(20,8),(20,15),-0.0209216 # DEPENDENCYPART_SIBL
(20,8),(20,16),-0.00229371 # DEPENDENCYPART_SIBL
(20,8),(20,17),-0.00164403 # DEPENDENCYPART_SIBL
(20,8),(20,18),-0.0295812 # DEPENDENCYPART_SIBL
(20,8),(20,19),0.00169843 # DEPENDENCYPART_SIBL
(20,8),(20,21),0.0277114 # DEPENDENCYPART_SIBL
(20,8),(20,22),-0.000422838 # DEPENDENCYPART_SIBL
(20,8),(20,23),0.0548172 # DEPENDENCYPART_SIBL
(20,9),(20,10),-0.167138 # DEPENDENCYPART_SIBL
(20,9),(20,11),-0.167138 # DEPENDENCYPART_SIBL
(20,9),(20,12),-0.170248 # DEPENDENCYPART_SIBL
(20,9),(20,13),-0.134841 # DEPENDENCYPART_SIBL
(20,9),(20,14),-0.0954196 # DEPENDENCYPART_SIBL
(20,9),(20,15),-0.181942 # DEPENDENCYPART_SIBL
(20,9),(20,16),-0.169999 # DEPENDENCYPART_SIBL
(20,9),(20,17),-0.165558 # DEPENDENCYPART_SIBL
(20,9),(20,18),-0.079303 # DEPENDENCYPART_SIBL
(20,9),(20,19),-0.166809 # DEPENDENCYPART_SIBL
(20,9),(20,21),-0.0344235 # DEPENDENCYPART_SIBL
(20,9),(20,22),-0.0278239 # DEPENDENCYPART_SIBL
(20,9),(20,23),0.0700314 # DEPENDENCYPART_SIBL
(20,10),(20,11),-0.0198925 # DEPENDENCYPART_SIBL
(20,10),(20,12),-0.0328391 # DEPENDENCYPART_SIBL
