# _root_ ez zuen denbora asko behar_izan , ez zuen senitarteko askorekin hitzegin behar_izan , guztien arretaren iturria non zegoen zehazki asmatzeko .
#goldHeads=5,5,5,3,0,5,5,5,11,9,12,0,12,15,16,18,18,20,20,12,20,
#predictedHeads=5,5,5,3,0,5,12,12,11,9,12,0,12,15,16,18,18,12,20,12,20,
(5,2),(5,8),-0.121495 # DEPENDENCYPART_SIBL
(5,2),(5,9),-0.0238504 # DEPENDENCYPART_SIBL
(5,2),(5,11),0.0123939 # DEPENDENCYPART_SIBL
(5,2),(5,12),0.00543435 # DEPENDENCYPART_SIBL
(5,2),(5,15),-0.0238504 # DEPENDENCYPART_SIBL
(5,2),(5,16),-0.0268422 # DEPENDENCYPART_SIBL
(5,2),(5,20),0.0123939 # DEPENDENCYPART_SIBL
(5,3),(5,4),-0.0330483 # DEPENDENCYPART_SIBL
(5,3),(5,6),0.00242944 # DEPENDENCYPART_SIBL
(5,3),(5,7),-0.00633617 # DEPENDENCYPART_SIBL
(5,3),(5,8),-0.00498569 # DEPENDENCYPART_SIBL
(5,3),(5,9),-0.0280412 # DEPENDENCYPART_SIBL
(5,3),(5,11),-0.0345947 # DEPENDENCYPART_SIBL
(5,3),(5,12),-0.0526452 # DEPENDENCYPART_SIBL
(5,3),(5,15),-0.0280412 # DEPENDENCYPART_SIBL
(5,3),(5,16),-0.0342799 # DEPENDENCYPART_SIBL
(5,3),(5,20),-0.0345212 # DEPENDENCYPART_SIBL
(5,4),(5,6),-0.0241257 # DEPENDENCYPART_SIBL
(5,4),(5,7),0.000336846 # DEPENDENCYPART_SIBL
(5,4),(5,8),0.032522 # DEPENDENCYPART_SIBL
(5,4),(5,9),-0.0141111 # DEPENDENCYPART_SIBL
(5,4),(5,11),-0.0276151 # DEPENDENCYPART_SIBL
(5,4),(5,12),-0.0345737 # DEPENDENCYPART_SIBL
(5,4),(5,15),-0.0141111 # DEPENDENCYPART_SIBL
(5,4),(5,16),-0.0171038 # DEPENDENCYPART_SIBL
(5,4),(5,20),-0.0276161 # DEPENDENCYPART_SIBL
(5,6),(5,7),-0.0880216 # DEPENDENCYPART_SIBL
(5,6),(5,8),-0.110546 # DEPENDENCYPART_SIBL
(5,6),(5,9),-0.0939036 # DEPENDENCYPART_SIBL
(5,6),(5,11),-0.0424799 # DEPENDENCYPART_SIBL
(5,6),(5,12),-0.0364826 # DEPENDENCYPART_SIBL
(5,6),(5,15),-0.0939036 # DEPENDENCYPART_SIBL
(5,6),(5,16),-0.0954576 # DEPENDENCYPART_SIBL
(5,6),(5,20),-0.0424799 # DEPENDENCYPART_SIBL
(5,7),(5,8),0.0643997 # DEPENDENCYPART_SIBL
(5,7),(5,9),-0.00172419 # DEPENDENCYPART_SIBL
(5,7),(5,11),-0.0141711 # DEPENDENCYPART_SIBL
(5,7),(5,12),-0.0145375 # DEPENDENCYPART_SIBL
(5,7),(5,15),-0.00172419 # DEPENDENCYPART_SIBL
(5,7),(5,16),-0.00215577 # DEPENDENCYPART_SIBL
(5,7),(5,20),-0.0141711 # DEPENDENCYPART_SIBL
(5,8),(5,9),0.0378149 # DEPENDENCYPART_SIBL
(5,8),(5,11),-0.0121573 # DEPENDENCYPART_SIBL
(5,8),(5,12),-0.0125527 # DEPENDENCYPART_SIBL
(5,8),(5,15),0.0378149 # DEPENDENCYPART_SIBL
(5,8),(5,16),0.0365265 # DEPENDENCYPART_SIBL
(5,8),(5,20),-0.0121573 # DEPENDENCYPART_SIBL
(5,9),(5,11),-0.0201409 # DEPENDENCYPART_SIBL
(5,9),(5,12),-0.0151248 # DEPENDENCYPART_SIBL
(5,9),(5,15),-0.0119895 # DEPENDENCYPART_SIBL
(5,9),(5,16),-0.0127215 # DEPENDENCYPART_SIBL
(5,9),(5,20),-0.0201409 # DEPENDENCYPART_SIBL
(5,11),(5,12),-0.0276619 # DEPENDENCYPART_SIBL
(5,11),(5,15),-0.0422565 # DEPENDENCYPART_SIBL
(5,11),(5,16),-0.0429285 # DEPENDENCYPART_SIBL
(5,11),(5,20),-0.0261443 # DEPENDENCYPART_SIBL
(5,12),(5,15),-0.0581865 # DEPENDENCYPART_SIBL
(5,12),(5,16),-0.0588585 # DEPENDENCYPART_SIBL
(5,12),(5,20),-0.0348887 # DEPENDENCYPART_SIBL
(5,15),(5,16),-0.0127215 # DEPENDENCYPART_SIBL
(5,15),(5,20),-0.0201409 # DEPENDENCYPART_SIBL
(5,16),(5,20),-0.0201409 # DEPENDENCYPART_SIBL
(6,2),(6,5),-0.00414312 # DEPENDENCYPART_SIBL
(6,2),(6,10),-0.0289989 # DEPENDENCYPART_SIBL
(6,2),(6,11),0.129237 # DEPENDENCYPART_SIBL
(6,2),(6,12),0.129008 # DEPENDENCYPART_SIBL
(6,2),(6,20),0.129234 # DEPENDENCYPART_SIBL
(6,5),(6,10),0.0787731 # DEPENDENCYPART_SIBL
(6,5),(6,11),0.376921 # DEPENDENCYPART_SIBL
(6,5),(6,12),0.373505 # DEPENDENCYPART_SIBL
(6,5),(6,20),0.377151 # DEPENDENCYPART_SIBL
(6,10),(6,11),-0.041255 # DEPENDENCYPART_SIBL
(6,10),(6,12),-0.041255 # DEPENDENCYPART_SIBL
(6,10),(6,20),-0.041255 # DEPENDENCYPART_SIBL
(6,11),(6,12),0.00463531 # DEPENDENCYPART_SIBL
(6,11),(6,20),0.00578644 # DEPENDENCYPART_SIBL
(6,12),(6,20),0.00545508 # DEPENDENCYPART_SIBL
(7,3),(7,6),-0.00997016 # DEPENDENCYPART_SIBL
(7,3),(7,9),0.107839 # DEPENDENCYPART_SIBL
(7,6),(7,9),-0.00348492 # DEPENDENCYPART_SIBL
(8,1),(8,7),-0.0164948 # DEPENDENCYPART_SIBL
(8,1),(8,9),0.0312611 # DEPENDENCYPART_SIBL
(8,7),(8,9),0.0312611 # DEPENDENCYPART_SIBL
(9,5),(9,6),-0.0127272 # DEPENDENCYPART_SIBL
(9,5),(9,7),0.0653648 # DEPENDENCYPART_SIBL
(9,5),(9,8),-0.0130714 # DEPENDENCYPART_SIBL
(9,5),(9,10),0.0305069 # DEPENDENCYPART_SIBL
(9,5),(9,11),0.0204317 # DEPENDENCYPART_SIBL
(9,5),(9,14),0.0282146 # DEPENDENCYPART_SIBL
(9,5),(9,15),-0.000750263 # DEPENDENCYPART_SIBL
(9,5),(9,16),-0.000901562 # DEPENDENCYPART_SIBL
(9,5),(9,18),0.123648 # DEPENDENCYPART_SIBL
(9,5),(9,21),-0.037337 # DEPENDENCYPART_SIBL
(9,6),(9,7),0.00693978 # DEPENDENCYPART_SIBL
(9,6),(9,8),-0.0514473 # DEPENDENCYPART_SIBL
(9,6),(9,10),-0.0144277 # DEPENDENCYPART_SIBL
(9,6),(9,11),-0.0375697 # DEPENDENCYPART_SIBL
(9,6),(9,14),-0.024891 # DEPENDENCYPART_SIBL
(9,6),(9,15),-0.0562268 # DEPENDENCYPART_SIBL
(9,6),(9,16),-0.0562268 # DEPENDENCYPART_SIBL
(9,6),(9,18),-0.00569203 # DEPENDENCYPART_SIBL
(9,6),(9,21),-0.0822575 # DEPENDENCYPART_SIBL
(9,7),(9,8),0.134078 # DEPENDENCYPART_SIBL
(9,7),(9,10),-0.00821544 # DEPENDENCYPART_SIBL
(9,7),(9,11),0.0913763 # DEPENDENCYPART_SIBL
(9,7),(9,14),-0.0160169 # DEPENDENCYPART_SIBL
(9,7),(9,15),-0.00329801 # DEPENDENCYPART_SIBL
(9,7),(9,16),-0.00329801 # DEPENDENCYPART_SIBL
(9,7),(9,18),0.0880801 # DEPENDENCYPART_SIBL
(9,7),(9,21),-0.0456719 # DEPENDENCYPART_SIBL
(9,8),(9,10),-0.0129239 # DEPENDENCYPART_SIBL
(9,8),(9,11),0.0217598 # DEPENDENCYPART_SIBL
(9,8),(9,14),-0.0207441 # DEPENDENCYPART_SIBL
(9,8),(9,15),-0.0279697 # DEPENDENCYPART_SIBL
(9,8),(9,16),-0.0279697 # DEPENDENCYPART_SIBL
(9,8),(9,18),0.0552827 # DEPENDENCYPART_SIBL
(9,8),(9,21),-0.0237258 # DEPENDENCYPART_SIBL
(9,10),(9,11),-0.0861927 # DEPENDENCYPART_SIBL
(9,10),(9,14),-0.0566982 # DEPENDENCYPART_SIBL
(9,10),(9,15),-0.00916667 # DEPENDENCYPART_SIBL
(9,10),(9,16),-0.00963511 # DEPENDENCYPART_SIBL
(9,10),(9,18),-0.0374765 # DEPENDENCYPART_SIBL
(9,10),(9,21),-0.129497 # DEPENDENCYPART_SIBL
(9,11),(9,14),0.0296446 # DEPENDENCYPART_SIBL
(9,11),(9,15),-0.00638306 # DEPENDENCYPART_SIBL
(9,11),(9,16),-0.00709824 # DEPENDENCYPART_SIBL
(9,11),(9,18),0.0181262 # DEPENDENCYPART_SIBL
(9,11),(9,21),-0.0694 # DEPENDENCYPART_SIBL
(9,14),(9,15),-0.013367 # DEPENDENCYPART_SIBL
(9,14),(9,16),-0.0138354 # DEPENDENCYPART_SIBL
(9,14),(9,18),-0.0404319 # DEPENDENCYPART_SIBL
(9,14),(9,21),-0.132453 # DEPENDENCYPART_SIBL
(9,15),(9,16),-0.0080779 # DEPENDENCYPART_SIBL
(9,15),(9,18),-0.0115602 # DEPENDENCYPART_SIBL
(9,15),(9,21),-0.0887528 # DEPENDENCYPART_SIBL
(9,16),(9,18),-0.0115602 # DEPENDENCYPART_SIBL
(9,16),(9,21),-0.0887528 # DEPENDENCYPART_SIBL
(9,18),(9,21),-0.0631244 # DEPENDENCYPART_SIBL
(10,1),(10,7),-0.0269642 # DEPENDENCYPART_SIBL
(10,1),(10,9),0.0136431 # DEPENDENCYPART_SIBL
(10,7),(10,9),0.0136431 # DEPENDENCYPART_SIBL
(11,2),(11,3),-0.0299239 # DEPENDENCYPART_SIBL
(11,2),(11,4),-0.0434738 # DEPENDENCYPART_SIBL
(11,2),(11,5),-0.0272816 # DEPENDENCYPART_SIBL
(11,2),(11,7),-0.0308874 # DEPENDENCYPART_SIBL
(11,2),(11,8),-0.0219517 # DEPENDENCYPART_SIBL
(11,2),(11,9),-0.0278617 # DEPENDENCYPART_SIBL
(11,2),(11,10),-0.0438632 # DEPENDENCYPART_SIBL
(11,2),(11,12),0.0100908 # DEPENDENCYPART_SIBL
(11,2),(11,15),-0.0240201 # DEPENDENCYPART_SIBL
(11,2),(11,16),-0.0270118 # DEPENDENCYPART_SIBL
(11,2),(11,18),0.00422903 # DEPENDENCYPART_SIBL
(11,2),(11,20),0.0170504 # DEPENDENCYPART_SIBL
(11,3),(11,4),-0.0258655 # DEPENDENCYPART_SIBL
(11,3),(11,5),-0.00397731 # DEPENDENCYPART_SIBL
(11,3),(11,7),0.0337079 # DEPENDENCYPART_SIBL
(11,3),(11,8),0.0154491 # DEPENDENCYPART_SIBL
(11,3),(11,9),-0.0351054 # DEPENDENCYPART_SIBL
(11,3),(11,10),-0.0276495 # DEPENDENCYPART_SIBL
(11,3),(11,12),-0.037213 # DEPENDENCYPART_SIBL
(11,3),(11,15),-0.0190493 # DEPENDENCYPART_SIBL
(11,3),(11,16),-0.025288 # DEPENDENCYPART_SIBL
(11,3),(11,18),-0.0234626 # DEPENDENCYPART_SIBL
(11,3),(11,20),-0.019089 # DEPENDENCYPART_SIBL
(11,4),(11,5),0.00638055 # DEPENDENCYPART_SIBL
(11,4),(11,7),0.0145491 # DEPENDENCYPART_SIBL
(11,4),(11,8),0.0289582 # DEPENDENCYPART_SIBL
(11,4),(11,9),-0.00207762 # DEPENDENCYPART_SIBL
(11,4),(11,10),-0.0252877 # DEPENDENCYPART_SIBL
(11,4),(11,12),-0.0318343 # DEPENDENCYPART_SIBL
(11,4),(11,15),-0.0164751 # DEPENDENCYPART_SIBL
(11,4),(11,16),-0.0194678 # DEPENDENCYPART_SIBL
(11,4),(11,18),-0.0321452 # DEPENDENCYPART_SIBL
(11,4),(11,20),-0.0248767 # DEPENDENCYPART_SIBL
(11,5),(11,7),0.0172827 # DEPENDENCYPART_SIBL
(11,5),(11,8),-0.0187454 # DEPENDENCYPART_SIBL
(11,5),(11,9),-0.00955732 # DEPENDENCYPART_SIBL
(11,5),(11,10),-0.0144266 # DEPENDENCYPART_SIBL
(11,5),(11,12),-0.00611079 # DEPENDENCYPART_SIBL
(11,5),(11,15),0.015188 # DEPENDENCYPART_SIBL
(11,5),(11,16),0.012045 # DEPENDENCYPART_SIBL
(11,5),(11,18),0.0286047 # DEPENDENCYPART_SIBL
(11,5),(11,20),0.00405363 # DEPENDENCYPART_SIBL
(11,7),(11,8),0.325771 # DEPENDENCYPART_SIBL
(11,7),(11,9),0.0249641 # DEPENDENCYPART_SIBL
(11,7),(11,10),-0.0332176 # DEPENDENCYPART_SIBL
(11,7),(11,12),0.0278024 # DEPENDENCYPART_SIBL
(11,7),(11,15),-0.0213468 # DEPENDENCYPART_SIBL
(11,7),(11,16),-0.0243386 # DEPENDENCYPART_SIBL
(11,7),(11,18),0.012672 # DEPENDENCYPART_SIBL
(11,7),(11,20),0.0347612 # DEPENDENCYPART_SIBL
(11,8),(11,9),-0.0278617 # DEPENDENCYPART_SIBL
(11,8),(11,10),-0.0438632 # DEPENDENCYPART_SIBL
(11,8),(11,12),0.0100908 # DEPENDENCYPART_SIBL
(11,8),(11,15),-0.0240201 # DEPENDENCYPART_SIBL
(11,8),(11,16),-0.0270118 # DEPENDENCYPART_SIBL
(11,8),(11,18),0.00422903 # DEPENDENCYPART_SIBL
(11,8),(11,20),0.0170504 # DEPENDENCYPART_SIBL
(11,9),(11,10),-0.0249639 # DEPENDENCYPART_SIBL
(11,9),(11,12),-0.0252549 # DEPENDENCYPART_SIBL
(11,9),(11,15),-0.0158347 # DEPENDENCYPART_SIBL
(11,9),(11,16),-0.0220734 # DEPENDENCYPART_SIBL
(11,9),(11,18),-0.021522 # DEPENDENCYPART_SIBL
(11,9),(11,20),-0.00713091 # DEPENDENCYPART_SIBL
(11,10),(11,12),-0.0215904 # DEPENDENCYPART_SIBL
(11,10),(11,15),-0.00694866 # DEPENDENCYPART_SIBL
(11,10),(11,16),-0.00994138 # DEPENDENCYPART_SIBL
(11,10),(11,18),-0.0215722 # DEPENDENCYPART_SIBL
(11,10),(11,20),-0.0146328 # DEPENDENCYPART_SIBL
(11,12),(11,15),-0.0623011 # DEPENDENCYPART_SIBL
(11,12),(11,16),-0.0629731 # DEPENDENCYPART_SIBL
(11,12),(11,18),-0.0436115 # DEPENDENCYPART_SIBL
(11,12),(11,20),-0.0310912 # DEPENDENCYPART_SIBL
(11,15),(11,16),-0.0162209 # DEPENDENCYPART_SIBL
(11,15),(11,18),-0.0659646 # DEPENDENCYPART_SIBL
(11,15),(11,20),-0.0154716 # DEPENDENCYPART_SIBL
(11,16),(11,18),-0.0659646 # DEPENDENCYPART_SIBL
(11,16),(11,20),-0.0154716 # DEPENDENCYPART_SIBL
(11,18),(11,20),-0.0117106 # DEPENDENCYPART_SIBL
(12,2),(12,3),-0.0329912 # DEPENDENCYPART_SIBL
(12,2),(12,4),-0.0442102 # DEPENDENCYPART_SIBL
(12,2),(12,7),-0.031669 # DEPENDENCYPART_SIBL
(12,2),(12,8),-0.0227935 # DEPENDENCYPART_SIBL
(12,2),(12,9),-0.030929 # DEPENDENCYPART_SIBL
(12,2),(12,10),-0.0445996 # DEPENDENCYPART_SIBL
(12,2),(12,11),-0.021746 # DEPENDENCYPART_SIBL
(12,2),(12,13),0.0484525 # DEPENDENCYPART_SIBL
(12,2),(12,15),-0.0238504 # DEPENDENCYPART_SIBL
(12,2),(12,16),-0.0268422 # DEPENDENCYPART_SIBL
(12,2),(12,18),0.00982832 # DEPENDENCYPART_SIBL
(12,2),(12,20),0.0123939 # DEPENDENCYPART_SIBL
(12,3),(12,4),-0.0330483 # DEPENDENCYPART_SIBL
(12,3),(12,7),0.026448 # DEPENDENCYPART_SIBL
(12,3),(12,8),0.00814693 # DEPENDENCYPART_SIBL
(12,3),(12,9),-0.0462294 # DEPENDENCYPART_SIBL
(12,3),(12,10),-0.0348323 # DEPENDENCYPART_SIBL
(12,3),(12,11),-0.0105115 # DEPENDENCYPART_SIBL
(12,3),(12,13),0.00242944 # DEPENDENCYPART_SIBL
(12,3),(12,15),-0.0280412 # DEPENDENCYPART_SIBL
(12,3),(12,16),-0.0342799 # DEPENDENCYPART_SIBL
(12,3),(12,18),-0.027048 # DEPENDENCYPART_SIBL
(12,3),(12,20),-0.0345212 # DEPENDENCYPART_SIBL
(12,4),(12,7),0.0136796 # DEPENDENCYPART_SIBL
(12,4),(12,8),0.0280285 # DEPENDENCYPART_SIBL
(12,4),(12,9),-0.00523409 # DEPENDENCYPART_SIBL
(12,4),(12,10),-0.026112 # DEPENDENCYPART_SIBL
(12,4),(12,11),0.0158631 # DEPENDENCYPART_SIBL
(12,4),(12,13),-0.0241257 # DEPENDENCYPART_SIBL
(12,4),(12,15),-0.0141111 # DEPENDENCYPART_SIBL
(12,4),(12,16),-0.0171038 # DEPENDENCYPART_SIBL
(12,4),(12,18),-0.0253863 # DEPENDENCYPART_SIBL
(12,4),(12,20),-0.0276161 # DEPENDENCYPART_SIBL
(12,7),(12,8),0.324918 # DEPENDENCYPART_SIBL
(12,7),(12,9),0.0220659 # DEPENDENCYPART_SIBL
(12,7),(12,10),-0.0337849 # DEPENDENCYPART_SIBL
(12,7),(12,11),0.0233874 # DEPENDENCYPART_SIBL
(12,7),(12,13),0.0600624 # DEPENDENCYPART_SIBL
(12,7),(12,15),-0.0210131 # DEPENDENCYPART_SIBL
(12,7),(12,16),-0.0240049 # DEPENDENCYPART_SIBL
(12,7),(12,18),0.0184334 # DEPENDENCYPART_SIBL
(12,7),(12,20),0.0302315 # DEPENDENCYPART_SIBL
(12,8),(12,9),-0.030929 # DEPENDENCYPART_SIBL
(12,8),(12,10),-0.0445996 # DEPENDENCYPART_SIBL
(12,8),(12,11),-0.021746 # DEPENDENCYPART_SIBL
(12,8),(12,13),0.0484525 # DEPENDENCYPART_SIBL
(12,8),(12,15),-0.0238504 # DEPENDENCYPART_SIBL
(12,8),(12,16),-0.0268422 # DEPENDENCYPART_SIBL
(12,8),(12,18),0.00982832 # DEPENDENCYPART_SIBL
(12,8),(12,20),0.0123939 # DEPENDENCYPART_SIBL
(12,9),(12,10),-0.0321467 # DEPENDENCYPART_SIBL
(12,9),(12,11),-0.00629339 # DEPENDENCYPART_SIBL
(12,9),(12,13),-0.00360698 # DEPENDENCYPART_SIBL
(12,9),(12,15),-0.0248267 # DEPENDENCYPART_SIBL
(12,9),(12,16),-0.0310654 # DEPENDENCYPART_SIBL
(12,9),(12,18),-0.0251074 # DEPENDENCYPART_SIBL
(12,9),(12,20),-0.0225632 # DEPENDENCYPART_SIBL
(12,10),(12,11),0.0153108 # DEPENDENCYPART_SIBL
(12,10),(12,13),0.0129338 # DEPENDENCYPART_SIBL
(12,10),(12,15),-0.00458462 # DEPENDENCYPART_SIBL
(12,10),(12,16),-0.00757734 # DEPENDENCYPART_SIBL
(12,10),(12,18),-0.0148133 # DEPENDENCYPART_SIBL
(12,10),(12,20),-0.0173721 # DEPENDENCYPART_SIBL
(12,11),(12,13),0.0123527 # DEPENDENCYPART_SIBL
(12,11),(12,15),0.0294318 # DEPENDENCYPART_SIBL
(12,11),(12,16),0.0262887 # DEPENDENCYPART_SIBL
(12,11),(12,18),0.0549831 # DEPENDENCYPART_SIBL
(12,11),(12,20),0.0165931 # DEPENDENCYPART_SIBL
(12,13),(12,15),-0.0939036 # DEPENDENCYPART_SIBL
(12,13),(12,16),-0.0954576 # DEPENDENCYPART_SIBL
(12,13),(12,18),-0.0436938 # DEPENDENCYPART_SIBL
(12,13),(12,20),-0.0424799 # DEPENDENCYPART_SIBL
(12,15),(12,16),-0.0127215 # DEPENDENCYPART_SIBL
(12,15),(12,18),-0.0661849 # DEPENDENCYPART_SIBL
(12,15),(12,20),-0.0201409 # DEPENDENCYPART_SIBL
(12,16),(12,18),-0.0661849 # DEPENDENCYPART_SIBL
(12,16),(12,20),-0.0201409 # DEPENDENCYPART_SIBL
(12,18),(12,20),-0.0126263 # DEPENDENCYPART_SIBL
(13,8),(13,11),-0.00414312 # DEPENDENCYPART_SIBL
(13,8),(13,12),-0.00414312 # DEPENDENCYPART_SIBL
(13,8),(13,15),0.0472339 # DEPENDENCYPART_SIBL
(13,8),(13,16),0.0472339 # DEPENDENCYPART_SIBL
(13,8),(13,18),0.118773 # DEPENDENCYPART_SIBL
(13,8),(13,20),0.129234 # DEPENDENCYPART_SIBL
(13,11),(13,12),-0.0213513 # DEPENDENCYPART_SIBL
(13,11),(13,15),0.0925319 # DEPENDENCYPART_SIBL
(13,11),(13,16),0.0923806 # DEPENDENCYPART_SIBL
(13,11),(13,18),0.315303 # DEPENDENCYPART_SIBL
(13,11),(13,20),0.377209 # DEPENDENCYPART_SIBL
(13,12),(13,15),0.0961923 # DEPENDENCYPART_SIBL
(13,12),(13,16),0.096041 # DEPENDENCYPART_SIBL
(13,12),(13,18),0.315302 # DEPENDENCYPART_SIBL
(13,12),(13,20),0.377151 # DEPENDENCYPART_SIBL
(13,15),(13,16),0.0740163 # DEPENDENCYPART_SIBL
(13,15),(13,18),-0.00312571 # DEPENDENCYPART_SIBL
(13,15),(13,20),-0.015725 # DEPENDENCYPART_SIBL
(13,16),(13,18),-0.00312571 # DEPENDENCYPART_SIBL
(13,16),(13,20),-0.015725 # DEPENDENCYPART_SIBL
(13,18),(13,20),-0.00989844 # DEPENDENCYPART_SIBL
(15,11),(15,12),-0.0451826 # DEPENDENCYPART_SIBL
(15,11),(15,13),-0.012718 # DEPENDENCYPART_SIBL
(15,11),(15,14),0.0535158 # DEPENDENCYPART_SIBL
(15,11),(15,16),-0.0044794 # DEPENDENCYPART_SIBL
(15,11),(15,18),0.123731 # DEPENDENCYPART_SIBL
(15,11),(15,19),0.0077413 # DEPENDENCYPART_SIBL
(15,11),(15,21),-0.0363985 # DEPENDENCYPART_SIBL
(15,12),(15,13),-0.0127272 # DEPENDENCYPART_SIBL
(15,12),(15,14),0.0535067 # DEPENDENCYPART_SIBL
(15,12),(15,16),-0.000901562 # DEPENDENCYPART_SIBL
(15,12),(15,18),0.123648 # DEPENDENCYPART_SIBL
(15,12),(15,19),0.00497687 # DEPENDENCYPART_SIBL
(15,12),(15,21),-0.037337 # DEPENDENCYPART_SIBL
(15,13),(15,14),-0.048419 # DEPENDENCYPART_SIBL
(15,13),(15,16),-0.0562268 # DEPENDENCYPART_SIBL
(15,13),(15,18),-0.00569203 # DEPENDENCYPART_SIBL
(15,13),(15,19),-0.046404 # DEPENDENCYPART_SIBL
(15,13),(15,21),-0.0822575 # DEPENDENCYPART_SIBL
(15,14),(15,16),-0.0768775 # DEPENDENCYPART_SIBL
(15,14),(15,18),-0.0218084 # DEPENDENCYPART_SIBL
(15,14),(15,19),-0.0625982 # DEPENDENCYPART_SIBL
(15,14),(15,21),-0.0378312 # DEPENDENCYPART_SIBL
(15,16),(15,18),-0.0115602 # DEPENDENCYPART_SIBL
(15,16),(15,19),0.0221256 # DEPENDENCYPART_SIBL
(15,16),(15,21),-0.0887528 # DEPENDENCYPART_SIBL
(15,18),(15,19),0.0124757 # DEPENDENCYPART_SIBL
(15,18),(15,21),-0.0631244 # DEPENDENCYPART_SIBL
(15,19),(15,21),-0.0886223 # DEPENDENCYPART_SIBL
(16,9),(16,11),-0.014352 # DEPENDENCYPART_SIBL
(16,9),(16,12),-0.0131677 # DEPENDENCYPART_SIBL
(16,9),(16,13),-0.0259592 # DEPENDENCYPART_SIBL
(16,9),(16,15),-0.00784328 # DEPENDENCYPART_SIBL
(16,9),(16,18),-0.000990069 # DEPENDENCYPART_SIBL
(16,9),(16,19),-0.0314928 # DEPENDENCYPART_SIBL
(16,9),(16,20),0.0199459 # DEPENDENCYPART_SIBL
(16,9),(16,21),-0.0279236 # DEPENDENCYPART_SIBL
(16,11),(16,12),-0.0452045 # DEPENDENCYPART_SIBL
(16,11),(16,13),-0.0127351 # DEPENDENCYPART_SIBL
(16,11),(16,15),0.0280909 # DEPENDENCYPART_SIBL
(16,11),(16,18),0.123725 # DEPENDENCYPART_SIBL
(16,11),(16,19),0.00773469 # DEPENDENCYPART_SIBL
(16,11),(16,20),0.0209769 # DEPENDENCYPART_SIBL
(16,11),(16,21),-0.0369192 # DEPENDENCYPART_SIBL
(16,12),(16,13),-0.0127442 # DEPENDENCYPART_SIBL
(16,12),(16,15),0.0279362 # DEPENDENCYPART_SIBL
(16,12),(16,18),0.123641 # DEPENDENCYPART_SIBL
(16,12),(16,19),0.00497027 # DEPENDENCYPART_SIBL
(16,12),(16,20),0.020779 # DEPENDENCYPART_SIBL
(16,12),(16,21),-0.0378577 # DEPENDENCYPART_SIBL
(16,13),(16,15),-0.115615 # DEPENDENCYPART_SIBL
(16,13),(16,18),-0.00569203 # DEPENDENCYPART_SIBL
(16,13),(16,19),-0.046404 # DEPENDENCYPART_SIBL
(16,13),(16,20),-0.037449 # DEPENDENCYPART_SIBL
(16,13),(16,21),-0.0827584 # DEPENDENCYPART_SIBL
(16,15),(16,18),-0.000990065 # DEPENDENCYPART_SIBL
(16,15),(16,19),-0.0314928 # DEPENDENCYPART_SIBL
(16,15),(16,20),0.0206618 # DEPENDENCYPART_SIBL
(16,15),(16,21),-0.0279236 # DEPENDENCYPART_SIBL
(16,18),(16,19),0.0124757 # DEPENDENCYPART_SIBL
(16,18),(16,20),-0.032323 # DEPENDENCYPART_SIBL
(16,18),(16,21),-0.0631244 # DEPENDENCYPART_SIBL
(16,19),(16,20),-0.0150665 # DEPENDENCYPART_SIBL
(16,19),(16,21),-0.0886223 # DEPENDENCYPART_SIBL
(16,20),(16,21),-0.0694 # DEPENDENCYPART_SIBL
(18,3),(18,9),-0.0553032 # DEPENDENCYPART_SIBL
(18,3),(18,11),0.00181722 # DEPENDENCYPART_SIBL
(18,3),(18,12),0.00251061 # DEPENDENCYPART_SIBL
(18,3),(18,13),-0.0337254 # DEPENDENCYPART_SIBL
(18,3),(18,14),-0.016389 # DEPENDENCYPART_SIBL
(18,3),(18,15),-0.0553032 # DEPENDENCYPART_SIBL
(18,3),(18,16),-0.0553032 # DEPENDENCYPART_SIBL
(18,3),(18,17),-0.0563944 # DEPENDENCYPART_SIBL
(18,3),(18,19),-0.00419508 # DEPENDENCYPART_SIBL
(18,3),(18,20),-0.00151657 # DEPENDENCYPART_SIBL
(18,9),(18,11),0.00283967 # DEPENDENCYPART_SIBL
(18,9),(18,12),0.00353306 # DEPENDENCYPART_SIBL
(18,9),(18,13),-0.0337254 # DEPENDENCYPART_SIBL
(18,9),(18,14),-0.0163655 # DEPENDENCYPART_SIBL
(18,9),(18,15),-0.0537356 # DEPENDENCYPART_SIBL
(18,9),(18,16),-0.0537356 # DEPENDENCYPART_SIBL
(18,9),(18,17),-0.0563944 # DEPENDENCYPART_SIBL
(18,9),(18,19),-0.00419508 # DEPENDENCYPART_SIBL
(18,9),(18,20),0.00313429 # DEPENDENCYPART_SIBL
(18,11),(18,12),-0.0371441 # DEPENDENCYPART_SIBL
(18,11),(18,13),-0.0347158 # DEPENDENCYPART_SIBL
(18,11),(18,14),-0.0097588 # DEPENDENCYPART_SIBL
(18,11),(18,15),-0.0198332 # DEPENDENCYPART_SIBL
(18,11),(18,16),-0.0198332 # DEPENDENCYPART_SIBL
(18,11),(18,17),-0.00670603 # DEPENDENCYPART_SIBL
(18,11),(18,19),0.0121946 # DEPENDENCYPART_SIBL
(18,11),(18,20),-0.00503711 # DEPENDENCYPART_SIBL
(18,12),(18,13),-0.0347158 # DEPENDENCYPART_SIBL
(18,12),(18,14),-0.0097588 # DEPENDENCYPART_SIBL
(18,12),(18,15),-0.0199697 # DEPENDENCYPART_SIBL
