# _root_ pisu baten erosteko , beren seme-alaben ikasketen pagatzeko edo erretreta gehigarri baten segurtatzeko erabil daiteke , ministerioak eman zituen adibideen_arabera .
#goldHeads=3,1,9,3,6,7,8,9,14,13,10,10,9,0,14,15,18,20,18,14,20,
#predictedHeads=3,1,9,3,6,7,8,9,14,13,10,10,14,0,14,15,18,20,18,14,20,
(3,9),(3,13),0.0111706 # DEPENDENCYPART_SIBL
(3,9),(3,14),0.0104344 # DEPENDENCYPART_SIBL
(3,9),(3,15),0.0129428 # DEPENDENCYPART_SIBL
(3,9),(3,18),0.0184378 # DEPENDENCYPART_SIBL
(3,9),(3,19),0.000203263 # DEPENDENCYPART_SIBL
(3,9),(3,20),-0.000684666 # DEPENDENCYPART_SIBL
(3,10),(3,11),-0.00766809 # DEPENDENCYPART_SIBL
(3,10),(3,13),-0.0153158 # DEPENDENCYPART_SIBL
(3,10),(3,14),-0.0153158 # DEPENDENCYPART_SIBL
(3,10),(3,15),-0.0245765 # DEPENDENCYPART_SIBL
(3,10),(3,18),0.00041334 # DEPENDENCYPART_SIBL
(3,10),(3,19),-0.0366591 # DEPENDENCYPART_SIBL
(3,10),(3,20),-0.0147462 # DEPENDENCYPART_SIBL
(3,11),(3,13),-0.00513947 # DEPENDENCYPART_SIBL
(3,11),(3,14),-0.00513947 # DEPENDENCYPART_SIBL
(3,11),(3,15),0.015743 # DEPENDENCYPART_SIBL
(3,11),(3,18),0.009274 # DEPENDENCYPART_SIBL
(3,11),(3,19),0.00674121 # DEPENDENCYPART_SIBL
(3,11),(3,20),-0.0221372 # DEPENDENCYPART_SIBL
(3,13),(3,14),-0.0220715 # DEPENDENCYPART_SIBL
(3,13),(3,15),0.0238584 # DEPENDENCYPART_SIBL
(3,13),(3,18),-0.0123569 # DEPENDENCYPART_SIBL
(3,13),(3,19),0.0143858 # DEPENDENCYPART_SIBL
(3,13),(3,20),-0.0453893 # DEPENDENCYPART_SIBL
(3,14),(3,15),0.0238584 # DEPENDENCYPART_SIBL
(3,14),(3,18),-0.0126851 # DEPENDENCYPART_SIBL
(3,14),(3,19),0.0143858 # DEPENDENCYPART_SIBL
(3,14),(3,20),-0.0453893 # DEPENDENCYPART_SIBL
(3,15),(3,18),0.0414871 # DEPENDENCYPART_SIBL
(3,15),(3,19),-0.145446 # DEPENDENCYPART_SIBL
(3,15),(3,20),0.0289109 # DEPENDENCYPART_SIBL
(3,18),(3,19),0.0157464 # DEPENDENCYPART_SIBL
(3,18),(3,20),-0.0484524 # DEPENDENCYPART_SIBL
(3,19),(3,20),0.0834726 # DEPENDENCYPART_SIBL
(4,3),(4,6),0.104159 # DEPENDENCYPART_SIBL
(4,3),(4,8),0.376909 # DEPENDENCYPART_SIBL
(4,6),(4,8),-0.015725 # DEPENDENCYPART_SIBL
(6,1),(6,2),-0.0468294 # DEPENDENCYPART_SIBL
(6,1),(6,3),-0.0133127 # DEPENDENCYPART_SIBL
(6,1),(6,4),-0.0259473 # DEPENDENCYPART_SIBL
(6,1),(6,5),-0.00286035 # DEPENDENCYPART_SIBL
(6,1),(6,7),-0.00632594 # DEPENDENCYPART_SIBL
(6,1),(6,11),-0.0080158 # DEPENDENCYPART_SIBL
(6,1),(6,12),0.0867262 # DEPENDENCYPART_SIBL
(6,2),(6,3),-0.0232037 # DEPENDENCYPART_SIBL
(6,2),(6,4),-0.0378706 # DEPENDENCYPART_SIBL
(6,2),(6,5),0.00108614 # DEPENDENCYPART_SIBL
(6,2),(6,7),-0.0811618 # DEPENDENCYPART_SIBL
(6,2),(6,11),-0.0965504 # DEPENDENCYPART_SIBL
(6,2),(6,12),-0.0132287 # DEPENDENCYPART_SIBL
(6,3),(6,4),-0.0155444 # DEPENDENCYPART_SIBL
(6,3),(6,5),0.040935 # DEPENDENCYPART_SIBL
(6,3),(6,7),0.00707373 # DEPENDENCYPART_SIBL
(6,3),(6,11),0.0119125 # DEPENDENCYPART_SIBL
(6,3),(6,12),0.0828745 # DEPENDENCYPART_SIBL
(6,4),(6,5),-0.0547285 # DEPENDENCYPART_SIBL
(6,4),(6,7),-0.0563426 # DEPENDENCYPART_SIBL
(6,4),(6,11),-0.0288967 # DEPENDENCYPART_SIBL
(6,4),(6,12),0.0122209 # DEPENDENCYPART_SIBL
(6,5),(6,7),-0.07402 # DEPENDENCYPART_SIBL
(6,5),(6,11),-0.102443 # DEPENDENCYPART_SIBL
(6,5),(6,12),0.00147169 # DEPENDENCYPART_SIBL
(6,7),(6,11),-0.00483983 # DEPENDENCYPART_SIBL
(6,7),(6,12),0.0115928 # DEPENDENCYPART_SIBL
(6,11),(6,12),0.120235 # DEPENDENCYPART_SIBL
(7,1),(7,2),-0.0468294 # DEPENDENCYPART_SIBL
(7,1),(7,3),-0.0133127 # DEPENDENCYPART_SIBL
(7,1),(7,4),-0.0259473 # DEPENDENCYPART_SIBL
(7,1),(7,5),-0.00286035 # DEPENDENCYPART_SIBL
(7,1),(7,6),-0.00802886 # DEPENDENCYPART_SIBL
(7,1),(7,8),0.0206767 # DEPENDENCYPART_SIBL
(7,1),(7,9),0.00060383 # DEPENDENCYPART_SIBL
(7,1),(7,10),-0.00626675 # DEPENDENCYPART_SIBL
(7,1),(7,11),-0.0080158 # DEPENDENCYPART_SIBL
(7,1),(7,12),0.0867262 # DEPENDENCYPART_SIBL
(7,2),(7,3),-0.0232037 # DEPENDENCYPART_SIBL
(7,2),(7,4),-0.0378706 # DEPENDENCYPART_SIBL
(7,2),(7,5),0.00108614 # DEPENDENCYPART_SIBL
(7,2),(7,6),0.020172 # DEPENDENCYPART_SIBL
(7,2),(7,8),-0.0515496 # DEPENDENCYPART_SIBL
(7,2),(7,9),-0.0489165 # DEPENDENCYPART_SIBL
(7,2),(7,10),-0.0811024 # DEPENDENCYPART_SIBL
(7,2),(7,11),-0.0965504 # DEPENDENCYPART_SIBL
(7,2),(7,12),-0.0132287 # DEPENDENCYPART_SIBL
(7,3),(7,4),-0.0155444 # DEPENDENCYPART_SIBL
(7,3),(7,5),0.040935 # DEPENDENCYPART_SIBL
(7,3),(7,6),0.0236256 # DEPENDENCYPART_SIBL
(7,3),(7,8),0.0204639 # DEPENDENCYPART_SIBL
(7,3),(7,9),-0.00475253 # DEPENDENCYPART_SIBL
(7,3),(7,10),0.00703908 # DEPENDENCYPART_SIBL
(7,3),(7,11),0.0119125 # DEPENDENCYPART_SIBL
(7,3),(7,12),0.0828745 # DEPENDENCYPART_SIBL
(7,4),(7,5),-0.0547285 # DEPENDENCYPART_SIBL
(7,4),(7,6),-0.115812 # DEPENDENCYPART_SIBL
(7,4),(7,8),-0.0374452 # DEPENDENCYPART_SIBL
(7,4),(7,9),-0.0473502 # DEPENDENCYPART_SIBL
(7,4),(7,10),-0.056277 # DEPENDENCYPART_SIBL
(7,4),(7,11),-0.0288967 # DEPENDENCYPART_SIBL
(7,4),(7,12),0.0122209 # DEPENDENCYPART_SIBL
(7,5),(7,6),0.0267583 # DEPENDENCYPART_SIBL
(7,5),(7,8),-0.0341011 # DEPENDENCYPART_SIBL
(7,5),(7,9),-0.0400785 # DEPENDENCYPART_SIBL
(7,5),(7,10),-0.0739606 # DEPENDENCYPART_SIBL
(7,5),(7,11),-0.102443 # DEPENDENCYPART_SIBL
(7,5),(7,12),0.00147169 # DEPENDENCYPART_SIBL
(7,6),(7,8),0.0152407 # DEPENDENCYPART_SIBL
(7,6),(7,9),-0.00345232 # DEPENDENCYPART_SIBL
(7,6),(7,10),-0.0156076 # DEPENDENCYPART_SIBL
(7,6),(7,11),-0.0120629 # DEPENDENCYPART_SIBL
(7,6),(7,12),0.0826791 # DEPENDENCYPART_SIBL
(7,8),(7,9),0.00107757 # DEPENDENCYPART_SIBL
(7,8),(7,10),-0.0063842 # DEPENDENCYPART_SIBL
(7,8),(7,11),-0.00150936 # DEPENDENCYPART_SIBL
(7,8),(7,12),0.0391497 # DEPENDENCYPART_SIBL
(7,9),(7,10),-0.0204643 # DEPENDENCYPART_SIBL
(7,9),(7,11),0.00747775 # DEPENDENCYPART_SIBL
(7,9),(7,12),0.0557562 # DEPENDENCYPART_SIBL
(7,10),(7,11),-0.00483983 # DEPENDENCYPART_SIBL
(7,10),(7,12),0.0115928 # DEPENDENCYPART_SIBL
(7,11),(7,12),0.120235 # DEPENDENCYPART_SIBL
(8,1),(8,2),-0.0466321 # DEPENDENCYPART_SIBL
(8,1),(8,3),-0.000224806 # DEPENDENCYPART_SIBL
(8,1),(8,4),-0.0719613 # DEPENDENCYPART_SIBL
(8,1),(8,5),-0.0330856 # DEPENDENCYPART_SIBL
(8,1),(8,6),-0.0272028 # DEPENDENCYPART_SIBL
(8,1),(8,7),-0.0272028 # DEPENDENCYPART_SIBL
(8,1),(8,9),-0.000739252 # DEPENDENCYPART_SIBL
(8,1),(8,10),-0.0201441 # DEPENDENCYPART_SIBL
(8,1),(8,11),-0.03974 # DEPENDENCYPART_SIBL
(8,1),(8,12),-0.0108643 # DEPENDENCYPART_SIBL
(8,1),(8,13),-0.00577106 # DEPENDENCYPART_SIBL
(8,1),(8,14),-0.0057753 # DEPENDENCYPART_SIBL
(8,1),(8,15),0.0252388 # DEPENDENCYPART_SIBL
(8,1),(8,16),0.00593605 # DEPENDENCYPART_SIBL
(8,1),(8,18),-0.00617935 # DEPENDENCYPART_SIBL
(8,1),(8,19),-9.55879e-05 # DEPENDENCYPART_SIBL
(8,1),(8,20),-0.0201186 # DEPENDENCYPART_SIBL
(8,2),(8,3),0.00465623 # DEPENDENCYPART_SIBL
(8,2),(8,4),-0.074906 # DEPENDENCYPART_SIBL
(8,2),(8,5),-0.0340104 # DEPENDENCYPART_SIBL
(8,2),(8,6),-0.0142201 # DEPENDENCYPART_SIBL
(8,2),(8,7),-0.0142201 # DEPENDENCYPART_SIBL
(8,2),(8,9),-0.0217964 # DEPENDENCYPART_SIBL
(8,2),(8,10),-0.00761488 # DEPENDENCYPART_SIBL
(8,2),(8,11),-0.038262 # DEPENDENCYPART_SIBL
(8,2),(8,12),-0.00959233 # DEPENDENCYPART_SIBL
(8,2),(8,13),-0.0153487 # DEPENDENCYPART_SIBL
(8,2),(8,14),-0.0153499 # DEPENDENCYPART_SIBL
(8,2),(8,15),0.0280437 # DEPENDENCYPART_SIBL
(8,2),(8,16),0.00323057 # DEPENDENCYPART_SIBL
(8,2),(8,18),-0.00530541 # DEPENDENCYPART_SIBL
(8,2),(8,19),0.0488345 # DEPENDENCYPART_SIBL
(8,2),(8,20),-0.00758978 # DEPENDENCYPART_SIBL
(8,3),(8,4),-0.0862123 # DEPENDENCYPART_SIBL
(8,3),(8,5),-0.0218218 # DEPENDENCYPART_SIBL
(8,3),(8,6),-0.0131663 # DEPENDENCYPART_SIBL
(8,3),(8,7),-0.0131663 # DEPENDENCYPART_SIBL
(8,3),(8,9),-0.0106256 # DEPENDENCYPART_SIBL
(8,3),(8,10),0.0211647 # DEPENDENCYPART_SIBL
(8,3),(8,11),-0.00962946 # DEPENDENCYPART_SIBL
(8,3),(8,12),-0.0106549 # DEPENDENCYPART_SIBL
(8,3),(8,13),0.00461841 # DEPENDENCYPART_SIBL
(8,3),(8,14),0.00461841 # DEPENDENCYPART_SIBL
(8,3),(8,15),0.0878169 # DEPENDENCYPART_SIBL
(8,3),(8,16),-0.00551678 # DEPENDENCYPART_SIBL
(8,3),(8,18),0.0202609 # DEPENDENCYPART_SIBL
(8,3),(8,19),0.118956 # DEPENDENCYPART_SIBL
(8,3),(8,20),0.0212275 # DEPENDENCYPART_SIBL
(8,4),(8,5),-0.115812 # DEPENDENCYPART_SIBL
(8,4),(8,6),-0.174817 # DEPENDENCYPART_SIBL
(8,4),(8,7),-0.174817 # DEPENDENCYPART_SIBL
(8,4),(8,9),-0.0405879 # DEPENDENCYPART_SIBL
(8,4),(8,10),-0.00324423 # DEPENDENCYPART_SIBL
(8,4),(8,11),-0.0206542 # DEPENDENCYPART_SIBL
(8,4),(8,12),-0.0213244 # DEPENDENCYPART_SIBL
(8,4),(8,13),-0.0159077 # DEPENDENCYPART_SIBL
(8,4),(8,14),-0.0159077 # DEPENDENCYPART_SIBL
(8,4),(8,15),0.0100658 # DEPENDENCYPART_SIBL
(8,4),(8,16),-0.00549256 # DEPENDENCYPART_SIBL
(8,4),(8,18),-0.0144601 # DEPENDENCYPART_SIBL
(8,4),(8,19),0.0214741 # DEPENDENCYPART_SIBL
(8,4),(8,20),-0.00323158 # DEPENDENCYPART_SIBL
(8,5),(8,6),-0.0236862 # DEPENDENCYPART_SIBL
(8,5),(8,7),-0.0236862 # DEPENDENCYPART_SIBL
(8,5),(8,9),-0.0301284 # DEPENDENCYPART_SIBL
(8,5),(8,10),-0.0180165 # DEPENDENCYPART_SIBL
(8,5),(8,11),-0.0523882 # DEPENDENCYPART_SIBL
(8,5),(8,12),-0.0138404 # DEPENDENCYPART_SIBL
(8,5),(8,13),-0.0164947 # DEPENDENCYPART_SIBL
(8,5),(8,14),-0.0164959 # DEPENDENCYPART_SIBL
(8,5),(8,15),0.0127539 # DEPENDENCYPART_SIBL
(8,5),(8,16),0.0173308 # DEPENDENCYPART_SIBL
(8,5),(8,18),-0.00645139 # DEPENDENCYPART_SIBL
(8,5),(8,19),0.0321621 # DEPENDENCYPART_SIBL
(8,5),(8,20),-0.0179914 # DEPENDENCYPART_SIBL
(8,6),(8,7),-0.0272141 # DEPENDENCYPART_SIBL
(8,6),(8,9),-0.000762279 # DEPENDENCYPART_SIBL
(8,6),(8,10),-0.0228175 # DEPENDENCYPART_SIBL
(8,6),(8,11),-0.0397548 # DEPENDENCYPART_SIBL
(8,6),(8,12),-0.010879 # DEPENDENCYPART_SIBL
(8,6),(8,13),-0.00648506 # DEPENDENCYPART_SIBL
(8,6),(8,14),-0.0064893 # DEPENDENCYPART_SIBL
(8,6),(8,15),0.024521 # DEPENDENCYPART_SIBL
(8,6),(8,16),0.00590631 # DEPENDENCYPART_SIBL
(8,6),(8,18),-0.00689335 # DEPENDENCYPART_SIBL
(8,6),(8,19),-0.000813403 # DEPENDENCYPART_SIBL
(8,6),(8,20),-0.0227919 # DEPENDENCYPART_SIBL
(8,7),(8,9),-0.000739252 # DEPENDENCYPART_SIBL
(8,7),(8,10),-0.0201441 # DEPENDENCYPART_SIBL
(8,7),(8,11),-0.03974 # DEPENDENCYPART_SIBL
(8,7),(8,12),-0.0108643 # DEPENDENCYPART_SIBL
(8,7),(8,13),-0.00577106 # DEPENDENCYPART_SIBL
(8,7),(8,14),-0.0057753 # DEPENDENCYPART_SIBL
(8,7),(8,15),0.0252388 # DEPENDENCYPART_SIBL
(8,7),(8,16),0.00593605 # DEPENDENCYPART_SIBL
(8,7),(8,18),-0.00617935 # DEPENDENCYPART_SIBL
(8,7),(8,19),-9.55879e-05 # DEPENDENCYPART_SIBL
(8,7),(8,20),-0.0201186 # DEPENDENCYPART_SIBL
(8,9),(8,10),-0.000710807 # DEPENDENCYPART_SIBL
(8,9),(8,11),0.0234223 # DEPENDENCYPART_SIBL
(8,9),(8,12),0.0360276 # DEPENDENCYPART_SIBL
(8,9),(8,13),0.0111706 # DEPENDENCYPART_SIBL
(8,9),(8,14),0.0104344 # DEPENDENCYPART_SIBL
(8,9),(8,15),0.0129428 # DEPENDENCYPART_SIBL
(8,9),(8,16),-0.0201314 # DEPENDENCYPART_SIBL
(8,9),(8,18),0.0184378 # DEPENDENCYPART_SIBL
(8,9),(8,19),0.000203263 # DEPENDENCYPART_SIBL
(8,9),(8,20),-0.000684666 # DEPENDENCYPART_SIBL
(8,10),(8,11),-0.00766809 # DEPENDENCYPART_SIBL
(8,10),(8,12),0.00340715 # DEPENDENCYPART_SIBL
(8,10),(8,13),-0.0153158 # DEPENDENCYPART_SIBL
(8,10),(8,14),-0.0153158 # DEPENDENCYPART_SIBL
(8,10),(8,15),-0.0245765 # DEPENDENCYPART_SIBL
(8,10),(8,16),-0.0287287 # DEPENDENCYPART_SIBL
(8,10),(8,18),0.00041334 # DEPENDENCYPART_SIBL
(8,10),(8,19),-0.0366591 # DEPENDENCYPART_SIBL
(8,10),(8,20),-0.0147462 # DEPENDENCYPART_SIBL
(8,11),(8,12),0.0613372 # DEPENDENCYPART_SIBL
(8,11),(8,13),-0.00513947 # DEPENDENCYPART_SIBL
(8,11),(8,14),-0.00513947 # DEPENDENCYPART_SIBL
(8,11),(8,15),0.015743 # DEPENDENCYPART_SIBL
(8,11),(8,16),-0.0392118 # DEPENDENCYPART_SIBL
(8,11),(8,18),0.009274 # DEPENDENCYPART_SIBL
(8,11),(8,19),0.00674121 # DEPENDENCYPART_SIBL
(8,11),(8,20),-0.0221372 # DEPENDENCYPART_SIBL
(8,12),(8,13),-0.0265057 # DEPENDENCYPART_SIBL
(8,12),(8,14),-0.0265057 # DEPENDENCYPART_SIBL
(8,12),(8,15),-0.00758233 # DEPENDENCYPART_SIBL
(8,12),(8,16),-0.0569011 # DEPENDENCYPART_SIBL
(8,12),(8,18),-0.0211258 # DEPENDENCYPART_SIBL
(8,12),(8,19),-0.0161752 # DEPENDENCYPART_SIBL
(8,12),(8,20),-0.0192217 # DEPENDENCYPART_SIBL
(8,13),(8,14),-0.0220715 # DEPENDENCYPART_SIBL
(8,13),(8,15),0.0238584 # DEPENDENCYPART_SIBL
(8,13),(8,16),-0.0484521 # DEPENDENCYPART_SIBL
(8,13),(8,18),-0.0123569 # DEPENDENCYPART_SIBL
(8,13),(8,19),0.0143858 # DEPENDENCYPART_SIBL
(8,13),(8,20),-0.0453893 # DEPENDENCYPART_SIBL
(8,14),(8,15),0.0238584 # DEPENDENCYPART_SIBL
(8,14),(8,16),-0.0484521 # DEPENDENCYPART_SIBL
(8,14),(8,18),-0.0126851 # DEPENDENCYPART_SIBL
(8,14),(8,19),0.0143858 # DEPENDENCYPART_SIBL
(8,14),(8,20),-0.0453893 # DEPENDENCYPART_SIBL
(8,15),(8,16),-0.0255201 # DEPENDENCYPART_SIBL
(8,15),(8,18),0.0414871 # DEPENDENCYPART_SIBL
(8,15),(8,19),-0.145446 # DEPENDENCYPART_SIBL
(8,15),(8,20),0.0289109 # DEPENDENCYPART_SIBL
(8,16),(8,18),-0.0408412 # DEPENDENCYPART_SIBL
(8,16),(8,19),-0.0888656 # DEPENDENCYPART_SIBL
(8,16),(8,20),-0.0970364 # DEPENDENCYPART_SIBL
(8,18),(8,19),0.0157464 # DEPENDENCYPART_SIBL
(8,18),(8,20),-0.0484524 # DEPENDENCYPART_SIBL
(8,19),(8,20),0.0834726 # DEPENDENCYPART_SIBL
(9,1),(9,2),-0.0238086 # DEPENDENCYPART_SIBL
(9,1),(9,3),0.0443722 # DEPENDENCYPART_SIBL
(9,1),(9,4),-0.0298325 # DEPENDENCYPART_SIBL
(9,1),(9,6),-0.00418985 # DEPENDENCYPART_SIBL
(9,1),(9,7),-0.00418985 # DEPENDENCYPART_SIBL
(9,1),(9,8),0.0445392 # DEPENDENCYPART_SIBL
(9,1),(9,10),0.0405416 # DEPENDENCYPART_SIBL
(9,1),(9,11),0.0222299 # DEPENDENCYPART_SIBL
(9,1),(9,12),0.0244793 # DEPENDENCYPART_SIBL
(9,1),(9,13),-0.00639498 # DEPENDENCYPART_SIBL
(9,1),(9,14),-0.00640387 # DEPENDENCYPART_SIBL
(9,1),(9,16),-0.0254196 # DEPENDENCYPART_SIBL
(9,1),(9,17),0.040548 # DEPENDENCYPART_SIBL
(9,1),(9,18),0.00197158 # DEPENDENCYPART_SIBL
(9,1),(9,20),0.040548 # DEPENDENCYPART_SIBL
(9,2),(9,3),0.034972 # DEPENDENCYPART_SIBL
(9,2),(9,4),-0.0582513 # DEPENDENCYPART_SIBL
(9,2),(9,6),-0.0256306 # DEPENDENCYPART_SIBL
(9,2),(9,7),-0.0256306 # DEPENDENCYPART_SIBL
(9,2),(9,8),0.034972 # DEPENDENCYPART_SIBL
(9,2),(9,10),-0.00931733 # DEPENDENCYPART_SIBL
(9,2),(9,11),0.00907759 # DEPENDENCYPART_SIBL
(9,2),(9,12),0.0868164 # DEPENDENCYPART_SIBL
(9,2),(9,13),0.0103609 # DEPENDENCYPART_SIBL
(9,2),(9,14),0.0103574 # DEPENDENCYPART_SIBL
(9,2),(9,16),0.0101007 # DEPENDENCYPART_SIBL
(9,2),(9,17),-0.00931111 # DEPENDENCYPART_SIBL
(9,2),(9,18),0.0168041 # DEPENDENCYPART_SIBL
(9,2),(9,20),-0.00931111 # DEPENDENCYPART_SIBL
(9,3),(9,4),-0.0909615 # DEPENDENCYPART_SIBL
(9,3),(9,6),-0.135822 # DEPENDENCYPART_SIBL
(9,3),(9,7),-0.135822 # DEPENDENCYPART_SIBL
(9,3),(9,8),-0.00236391 # DEPENDENCYPART_SIBL
(9,3),(9,10),-0.108614 # DEPENDENCYPART_SIBL
(9,3),(9,11),-0.0521843 # DEPENDENCYPART_SIBL
(9,3),(9,12),-0.0538977 # DEPENDENCYPART_SIBL
(9,3),(9,13),0.0486115 # DEPENDENCYPART_SIBL
(9,3),(9,14),0.0486091 # DEPENDENCYPART_SIBL
(9,3),(9,16),-0.0490827 # DEPENDENCYPART_SIBL
(9,3),(9,17),-0.108564 # DEPENDENCYPART_SIBL
(9,3),(9,18),0.0724702 # DEPENDENCYPART_SIBL
(9,3),(9,20),-0.108564 # DEPENDENCYPART_SIBL
(9,4),(9,6),-0.0891221 # DEPENDENCYPART_SIBL
(9,4),(9,7),-0.0891221 # DEPENDENCYPART_SIBL
(9,4),(9,8),0.0117605 # DEPENDENCYPART_SIBL
(9,4),(9,10),-0.0399908 # DEPENDENCYPART_SIBL
(9,4),(9,11),0.0170772 # DEPENDENCYPART_SIBL
(9,4),(9,12),0.00640342 # DEPENDENCYPART_SIBL
(9,4),(9,13),-0.0147703 # DEPENDENCYPART_SIBL
(9,4),(9,14),-0.0147726 # DEPENDENCYPART_SIBL
(9,4),(9,16),0.0973265 # DEPENDENCYPART_SIBL
(9,4),(9,17),-0.0399908 # DEPENDENCYPART_SIBL
(9,4),(9,18),-0.0136236 # DEPENDENCYPART_SIBL
(9,4),(9,20),-0.0399908 # DEPENDENCYPART_SIBL
(9,6),(9,7),-0.00419859 # DEPENDENCYPART_SIBL
(9,6),(9,8),0.0445392 # DEPENDENCYPART_SIBL
(9,6),(9,10),0.0378908 # DEPENDENCYPART_SIBL
(9,6),(9,11),0.0222299 # DEPENDENCYPART_SIBL
(9,6),(9,12),0.0244793 # DEPENDENCYPART_SIBL
(9,6),(9,13),-0.00709105 # DEPENDENCYPART_SIBL
(9,6),(9,14),-0.00709993 # DEPENDENCYPART_SIBL
(9,6),(9,16),-0.0254346 # DEPENDENCYPART_SIBL
(9,6),(9,17),0.0378972 # DEPENDENCYPART_SIBL
(9,6),(9,18),0.00127552 # DEPENDENCYPART_SIBL
(9,6),(9,20),0.0378972 # DEPENDENCYPART_SIBL
(9,7),(9,8),0.0445392 # DEPENDENCYPART_SIBL
(9,7),(9,10),0.0405416 # DEPENDENCYPART_SIBL
(9,7),(9,11),0.0222299 # DEPENDENCYPART_SIBL
(9,7),(9,12),0.0244793 # DEPENDENCYPART_SIBL
(9,7),(9,13),-0.00639498 # DEPENDENCYPART_SIBL
(9,7),(9,14),-0.00640387 # DEPENDENCYPART_SIBL
(9,7),(9,16),-0.0254196 # DEPENDENCYPART_SIBL
(9,7),(9,17),0.040548 # DEPENDENCYPART_SIBL
(9,7),(9,18),0.00197158 # DEPENDENCYPART_SIBL
(9,7),(9,20),0.040548 # DEPENDENCYPART_SIBL
(9,8),(9,10),-0.11658 # DEPENDENCYPART_SIBL
(9,8),(9,11),-0.0521843 # DEPENDENCYPART_SIBL
(9,8),(9,12),-0.0538977 # DEPENDENCYPART_SIBL
(9,8),(9,13),0.0489151 # DEPENDENCYPART_SIBL
(9,8),(9,14),0.0489127 # DEPENDENCYPART_SIBL
(9,8),(9,16),-0.0490827 # DEPENDENCYPART_SIBL
(9,8),(9,17),-0.11653 # DEPENDENCYPART_SIBL
(9,8),(9,18),0.0727738 # DEPENDENCYPART_SIBL
(9,8),(9,20),-0.11653 # DEPENDENCYPART_SIBL
(9,10),(9,11),0.00176603 # DEPENDENCYPART_SIBL
(9,10),(9,12),0.00935298 # DEPENDENCYPART_SIBL
(9,10),(9,13),-0.102134 # DEPENDENCYPART_SIBL
(9,10),(9,14),-0.102134 # DEPENDENCYPART_SIBL
(9,10),(9,16),-0.0695666 # DEPENDENCYPART_SIBL
(9,10),(9,17),-0.111523 # DEPENDENCYPART_SIBL
(9,10),(9,18),-0.102977 # DEPENDENCYPART_SIBL
(9,10),(9,20),-0.111523 # DEPENDENCYPART_SIBL
(9,11),(9,12),0.00488978 # DEPENDENCYPART_SIBL
(9,11),(9,13),-0.129347 # DEPENDENCYPART_SIBL
(9,11),(9,14),-0.129347 # DEPENDENCYPART_SIBL
(9,11),(9,16),-0.107378 # DEPENDENCYPART_SIBL
(9,11),(9,17),-0.115008 # DEPENDENCYPART_SIBL
(9,11),(9,18),-0.128712 # DEPENDENCYPART_SIBL
(9,11),(9,20),-0.115008 # DEPENDENCYPART_SIBL
(9,12),(9,13),-0.115743 # DEPENDENCYPART_SIBL
(9,12),(9,14),-0.115743 # DEPENDENCYPART_SIBL
(9,12),(9,16),-0.087132 # DEPENDENCYPART_SIBL
(9,12),(9,17),-0.0692228 # DEPENDENCYPART_SIBL
(9,12),(9,18),-0.119968 # DEPENDENCYPART_SIBL
(9,12),(9,20),-0.0692228 # DEPENDENCYPART_SIBL
(9,13),(9,14),-0.0862799 # DEPENDENCYPART_SIBL
(9,13),(9,16),-0.0495622 # DEPENDENCYPART_SIBL
(9,13),(9,17),-0.0684371 # DEPENDENCYPART_SIBL
(9,13),(9,18),-0.089278 # DEPENDENCYPART_SIBL
(9,13),(9,20),-0.0684371 # DEPENDENCYPART_SIBL
(9,14),(9,16),-0.0495622 # DEPENDENCYPART_SIBL
(9,14),(9,17),-0.0684371 # DEPENDENCYPART_SIBL
(9,14),(9,18),-0.0896062 # DEPENDENCYPART_SIBL
(9,14),(9,20),-0.0684371 # DEPENDENCYPART_SIBL
(9,16),(9,17),-0.0624101 # DEPENDENCYPART_SIBL
(9,16),(9,18),-0.0785335 # DEPENDENCYPART_SIBL
(9,16),(9,20),-0.0624101 # DEPENDENCYPART_SIBL
(9,17),(9,18),-0.102977 # DEPENDENCYPART_SIBL
(9,17),(9,20),-0.111523 # DEPENDENCYPART_SIBL
(9,18),(9,20),-0.0721446 # DEPENDENCYPART_SIBL
(10,7),(10,8),-0.0131459 # DEPENDENCYPART_SIBL
(10,7),(10,9),0.0109708 # DEPENDENCYPART_SIBL
(10,7),(10,11),-0.017267 # DEPENDENCYPART_SIBL
(10,7),(10,12),0.0837862 # DEPENDENCYPART_SIBL
(10,7),(10,13),0.0174186 # DEPENDENCYPART_SIBL
(10,7),(10,15),0.0357471 # DEPENDENCYPART_SIBL
(10,7),(10,17),-0.00924599 # DEPENDENCYPART_SIBL
(10,7),(10,20),-0.00924599 # DEPENDENCYPART_SIBL
(10,7),(10,21),-0.0303532 # DEPENDENCYPART_SIBL
(10,8),(10,9),0.0648621 # DEPENDENCYPART_SIBL
(10,8),(10,11),0.00720596 # DEPENDENCYPART_SIBL
(10,8),(10,12),0.0821545 # DEPENDENCYPART_SIBL
(10,8),(10,13),0.0196565 # DEPENDENCYPART_SIBL
(10,8),(10,15),0.0738053 # DEPENDENCYPART_SIBL
(10,8),(10,17),-0.00162481 # DEPENDENCYPART_SIBL
(10,8),(10,20),-0.00162481 # DEPENDENCYPART_SIBL
(10,8),(10,21),-0.038008 # DEPENDENCYPART_SIBL
(10,9),(10,11),-0.0299903 # DEPENDENCYPART_SIBL
(10,9),(10,12),0.0918411 # DEPENDENCYPART_SIBL
