# _root_ honi oxidazio-prozesu bat eta , ondoren kondentsazioko beste bat jarraikitzen bazaio , hortik konposatu kimiko edo eraldaketaren produktu mugatu bat sortuko da .
#goldHeads=10,10,2,21,4,10,10,9,10,4,10,11,21,16,14,21,18,16,18,18,0,21,22,
#predictedHeads=10,4,2,0,4,10,10,7,7,21,10,11,21,16,14,18,16,21,18,18,0,21,22,
(2,3),(2,20),-0.0256884 # DEPENDENCYPART_SIBL
(2,4),(2,5),-0.0533908 # DEPENDENCYPART_SIBL
(2,4),(2,8),0.0429489 # DEPENDENCYPART_SIBL
(2,4),(2,9),0.140534 # DEPENDENCYPART_SIBL
(2,4),(2,20),0.140534 # DEPENDENCYPART_SIBL
(2,5),(2,8),-0.110341 # DEPENDENCYPART_SIBL
(2,5),(2,9),-0.00897212 # DEPENDENCYPART_SIBL
(2,5),(2,20),-0.00897212 # DEPENDENCYPART_SIBL
(2,8),(2,9),-0.0847065 # DEPENDENCYPART_SIBL
(2,8),(2,20),-0.0847065 # DEPENDENCYPART_SIBL
(2,9),(2,20),-0.0256884 # DEPENDENCYPART_SIBL
(3,2),(3,4),0.0214416 # DEPENDENCYPART_SIBL
(4,1),(4,2),-0.0271189 # DEPENDENCYPART_SIBL
(4,1),(4,3),-0.025736 # DEPENDENCYPART_SIBL
(4,1),(4,5),0.0176886 # DEPENDENCYPART_SIBL
(4,1),(4,6),0.0420072 # DEPENDENCYPART_SIBL
(4,1),(4,7),0.00479737 # DEPENDENCYPART_SIBL
(4,1),(4,8),0.0961217 # DEPENDENCYPART_SIBL
(4,1),(4,9),0.177995 # DEPENDENCYPART_SIBL
(4,1),(4,10),-0.00826336 # DEPENDENCYPART_SIBL
(4,1),(4,14),0.00479737 # DEPENDENCYPART_SIBL
(4,1),(4,16),0.0295142 # DEPENDENCYPART_SIBL
(4,1),(4,17),0.00479737 # DEPENDENCYPART_SIBL
(4,1),(4,18),0.00479737 # DEPENDENCYPART_SIBL
(4,1),(4,19),-0.0122962 # DEPENDENCYPART_SIBL
(4,1),(4,21),-0.00902562 # DEPENDENCYPART_SIBL
(4,2),(4,3),-0.0367049 # DEPENDENCYPART_SIBL
(4,2),(4,5),-0.0802123 # DEPENDENCYPART_SIBL
(4,2),(4,6),0.000777376 # DEPENDENCYPART_SIBL
(4,2),(4,7),0.0603005 # DEPENDENCYPART_SIBL
(4,2),(4,8),-0.0753118 # DEPENDENCYPART_SIBL
(4,2),(4,9),0.00693392 # DEPENDENCYPART_SIBL
(4,2),(4,10),-0.0783019 # DEPENDENCYPART_SIBL
(4,2),(4,14),0.0603005 # DEPENDENCYPART_SIBL
(4,2),(4,16),0.0316314 # DEPENDENCYPART_SIBL
(4,2),(4,17),0.0603005 # DEPENDENCYPART_SIBL
(4,2),(4,18),0.0603005 # DEPENDENCYPART_SIBL
(4,2),(4,19),-0.0840113 # DEPENDENCYPART_SIBL
(4,2),(4,21),-0.0839098 # DEPENDENCYPART_SIBL
(4,3),(4,5),-0.00924228 # DEPENDENCYPART_SIBL
(4,3),(4,6),0.0257363 # DEPENDENCYPART_SIBL
(4,3),(4,7),-0.0145952 # DEPENDENCYPART_SIBL
(4,3),(4,8),0.0789237 # DEPENDENCYPART_SIBL
(4,3),(4,9),0.156532 # DEPENDENCYPART_SIBL
(4,3),(4,10),-0.0207245 # DEPENDENCYPART_SIBL
(4,3),(4,14),-0.0145952 # DEPENDENCYPART_SIBL
(4,3),(4,16),0.0154047 # DEPENDENCYPART_SIBL
(4,3),(4,17),-0.0145952 # DEPENDENCYPART_SIBL
(4,3),(4,18),-0.0145952 # DEPENDENCYPART_SIBL
(4,3),(4,19),-0.0247574 # DEPENDENCYPART_SIBL
(4,3),(4,21),-0.0201587 # DEPENDENCYPART_SIBL
(4,5),(4,6),-0.0739467 # DEPENDENCYPART_SIBL
(4,5),(4,7),-0.0273345 # DEPENDENCYPART_SIBL
(4,5),(4,8),-0.0198016 # DEPENDENCYPART_SIBL
(4,5),(4,9),0.00605891 # DEPENDENCYPART_SIBL
(4,5),(4,10),-0.0124629 # DEPENDENCYPART_SIBL
(4,5),(4,14),-0.0273345 # DEPENDENCYPART_SIBL
(4,5),(4,16),0.027533 # DEPENDENCYPART_SIBL
(4,5),(4,17),-0.0273345 # DEPENDENCYPART_SIBL
(4,5),(4,18),-0.0273345 # DEPENDENCYPART_SIBL
(4,5),(4,19),-0.0126981 # DEPENDENCYPART_SIBL
(4,5),(4,21),-0.0124713 # DEPENDENCYPART_SIBL
(4,6),(4,7),-0.0668212 # DEPENDENCYPART_SIBL
(4,6),(4,8),0.0110308 # DEPENDENCYPART_SIBL
(4,6),(4,9),0.03309 # DEPENDENCYPART_SIBL
(4,6),(4,10),-0.100881 # DEPENDENCYPART_SIBL
(4,6),(4,14),-0.0668212 # DEPENDENCYPART_SIBL
(4,6),(4,16),-0.0264298 # DEPENDENCYPART_SIBL
(4,6),(4,17),-0.0668212 # DEPENDENCYPART_SIBL
(4,6),(4,18),-0.0668212 # DEPENDENCYPART_SIBL
(4,6),(4,19),-0.100881 # DEPENDENCYPART_SIBL
(4,6),(4,21),-0.0931768 # DEPENDENCYPART_SIBL
(4,7),(4,8),0.00585849 # DEPENDENCYPART_SIBL
(4,7),(4,9),0.0435823 # DEPENDENCYPART_SIBL
(4,7),(4,10),-0.146836 # DEPENDENCYPART_SIBL
(4,7),(4,14),-0.217701 # DEPENDENCYPART_SIBL
(4,7),(4,16),-0.0415614 # DEPENDENCYPART_SIBL
(4,7),(4,17),-0.217701 # DEPENDENCYPART_SIBL
(4,7),(4,18),-0.217701 # DEPENDENCYPART_SIBL
(4,7),(4,19),-0.146694 # DEPENDENCYPART_SIBL
(4,7),(4,21),-0.146655 # DEPENDENCYPART_SIBL
(4,8),(4,9),-0.0673583 # DEPENDENCYPART_SIBL
(4,8),(4,10),-0.147375 # DEPENDENCYPART_SIBL
(4,8),(4,14),-0.118398 # DEPENDENCYPART_SIBL
(4,8),(4,16),-0.025625 # DEPENDENCYPART_SIBL
(4,8),(4,17),-0.118398 # DEPENDENCYPART_SIBL
(4,8),(4,18),-0.118398 # DEPENDENCYPART_SIBL
(4,8),(4,19),-0.147376 # DEPENDENCYPART_SIBL
(4,8),(4,21),-0.147516 # DEPENDENCYPART_SIBL
(4,9),(4,10),-0.149426 # DEPENDENCYPART_SIBL
(4,9),(4,14),-0.110384 # DEPENDENCYPART_SIBL
(4,9),(4,16),-0.0248834 # DEPENDENCYPART_SIBL
(4,9),(4,17),-0.110384 # DEPENDENCYPART_SIBL
(4,9),(4,18),-0.110384 # DEPENDENCYPART_SIBL
(4,9),(4,19),-0.149428 # DEPENDENCYPART_SIBL
(4,9),(4,21),-0.149569 # DEPENDENCYPART_SIBL
(4,10),(4,14),-0.102556 # DEPENDENCYPART_SIBL
(4,10),(4,16),-0.0116504 # DEPENDENCYPART_SIBL
(4,10),(4,17),-0.102556 # DEPENDENCYPART_SIBL
(4,10),(4,18),-0.102556 # DEPENDENCYPART_SIBL
(4,10),(4,19),-0.119774 # DEPENDENCYPART_SIBL
(4,10),(4,21),-0.119774 # DEPENDENCYPART_SIBL
(4,14),(4,16),-0.0415614 # DEPENDENCYPART_SIBL
(4,14),(4,17),-0.217701 # DEPENDENCYPART_SIBL
(4,14),(4,18),-0.217701 # DEPENDENCYPART_SIBL
(4,14),(4,19),-0.146694 # DEPENDENCYPART_SIBL
(4,14),(4,21),-0.146655 # DEPENDENCYPART_SIBL
(4,16),(4,17),-0.078927 # DEPENDENCYPART_SIBL
(4,16),(4,18),-0.078927 # DEPENDENCYPART_SIBL
(4,16),(4,19),-0.0852021 # DEPENDENCYPART_SIBL
(4,16),(4,21),-0.0862666 # DEPENDENCYPART_SIBL
(4,17),(4,18),-0.217701 # DEPENDENCYPART_SIBL
(4,17),(4,19),-0.146694 # DEPENDENCYPART_SIBL
(4,17),(4,21),-0.146655 # DEPENDENCYPART_SIBL
(4,18),(4,19),-0.146694 # DEPENDENCYPART_SIBL
(4,18),(4,21),-0.146655 # DEPENDENCYPART_SIBL
(4,19),(4,21),-0.114783 # DEPENDENCYPART_SIBL
(5,8),(5,21),-0.0436251 # DEPENDENCYPART_SIBL
(6,2),(6,4),0.0343936 # DEPENDENCYPART_SIBL
(6,2),(6,5),-0.00476054 # DEPENDENCYPART_SIBL
(6,2),(6,7),0.0285853 # DEPENDENCYPART_SIBL
(6,2),(6,12),0.0627853 # DEPENDENCYPART_SIBL
(6,4),(6,5),-0.012113 # DEPENDENCYPART_SIBL
(6,4),(6,7),0.000686162 # DEPENDENCYPART_SIBL
(6,4),(6,12),0.0378729 # DEPENDENCYPART_SIBL
(6,5),(6,7),0.0088106 # DEPENDENCYPART_SIBL
(6,5),(6,12),0.132376 # DEPENDENCYPART_SIBL
(6,7),(6,12),-0.0236342 # DEPENDENCYPART_SIBL
(7,1),(7,2),0.0316164 # DEPENDENCYPART_SIBL
(7,1),(7,3),0.00303482 # DEPENDENCYPART_SIBL
(7,1),(7,4),0.0446737 # DEPENDENCYPART_SIBL
(7,1),(7,5),-0.034756 # DEPENDENCYPART_SIBL
(7,1),(7,6),-0.00176991 # DEPENDENCYPART_SIBL
(7,1),(7,8),-0.0995673 # DEPENDENCYPART_SIBL
(7,1),(7,9),-0.00390526 # DEPENDENCYPART_SIBL
(7,1),(7,11),-0.0376678 # DEPENDENCYPART_SIBL
(7,1),(7,20),-0.00390526 # DEPENDENCYPART_SIBL
(7,2),(7,3),-0.000527742 # DEPENDENCYPART_SIBL
(7,2),(7,4),0.0337037 # DEPENDENCYPART_SIBL
(7,2),(7,5),-0.0259473 # DEPENDENCYPART_SIBL
(7,2),(7,6),0.0194356 # DEPENDENCYPART_SIBL
(7,2),(7,8),-0.108182 # DEPENDENCYPART_SIBL
(7,2),(7,9),0.00464779 # DEPENDENCYPART_SIBL
(7,2),(7,11),0.0454237 # DEPENDENCYPART_SIBL
(7,2),(7,20),0.00464779 # DEPENDENCYPART_SIBL
(7,3),(7,4),0.0407509 # DEPENDENCYPART_SIBL
(7,3),(7,5),-0.0356565 # DEPENDENCYPART_SIBL
(7,3),(7,6),-0.00267362 # DEPENDENCYPART_SIBL
(7,3),(7,8),-0.109607 # DEPENDENCYPART_SIBL
(7,3),(7,9),-0.0203044 # DEPENDENCYPART_SIBL
(7,3),(7,11),-0.0459866 # DEPENDENCYPART_SIBL
(7,3),(7,20),-0.0203044 # DEPENDENCYPART_SIBL
(7,4),(7,5),-0.0675343 # DEPENDENCYPART_SIBL
(7,4),(7,6),-0.0248648 # DEPENDENCYPART_SIBL
(7,4),(7,8),0.019615 # DEPENDENCYPART_SIBL
(7,4),(7,9),0.118212 # DEPENDENCYPART_SIBL
(7,4),(7,11),0.0217206 # DEPENDENCYPART_SIBL
(7,4),(7,20),0.118212 # DEPENDENCYPART_SIBL
(7,5),(7,6),-0.0506389 # DEPENDENCYPART_SIBL
(7,5),(7,8),-0.0637841 # DEPENDENCYPART_SIBL
(7,5),(7,9),0.000292042 # DEPENDENCYPART_SIBL
(7,5),(7,11),-0.0166115 # DEPENDENCYPART_SIBL
(7,5),(7,20),0.000292042 # DEPENDENCYPART_SIBL
(7,6),(7,8),-0.0463558 # DEPENDENCYPART_SIBL
(7,6),(7,9),0.00201626 # DEPENDENCYPART_SIBL
(7,6),(7,11),0.0322166 # DEPENDENCYPART_SIBL
(7,6),(7,20),0.00201626 # DEPENDENCYPART_SIBL
(7,8),(7,9),-0.0847065 # DEPENDENCYPART_SIBL
(7,8),(7,11),-0.0521042 # DEPENDENCYPART_SIBL
(7,8),(7,20),-0.0847065 # DEPENDENCYPART_SIBL
(7,9),(7,11),-0.0270235 # DEPENDENCYPART_SIBL
(7,9),(7,20),-0.0256884 # DEPENDENCYPART_SIBL
(7,11),(7,20),0.0814228 # DEPENDENCYPART_SIBL
(8,6),(8,7),0.0115836 # DEPENDENCYPART_SIBL
(8,6),(8,9),-0.0258953 # DEPENDENCYPART_SIBL
(8,6),(8,10),0.00759699 # DEPENDENCYPART_SIBL
(8,7),(8,9),-0.0230304 # DEPENDENCYPART_SIBL
(8,7),(8,10),0.00391 # DEPENDENCYPART_SIBL
(8,9),(8,10),-0.0330928 # DEPENDENCYPART_SIBL
(9,6),(9,7),0.0143042 # DEPENDENCYPART_SIBL
(9,6),(9,8),-0.00536336 # DEPENDENCYPART_SIBL
(9,7),(9,8),0.0211723 # DEPENDENCYPART_SIBL
(10,1),(10,2),0.00653631 # DEPENDENCYPART_SIBL
(10,1),(10,3),-0.0134841 # DEPENDENCYPART_SIBL
(10,1),(10,4),0.0197683 # DEPENDENCYPART_SIBL
(10,1),(10,5),-0.0667477 # DEPENDENCYPART_SIBL
(10,1),(10,6),-0.0192422 # DEPENDENCYPART_SIBL
(10,1),(10,7),0.00653631 # DEPENDENCYPART_SIBL
(10,1),(10,8),-0.040261 # DEPENDENCYPART_SIBL
(10,1),(10,9),-0.0134841 # DEPENDENCYPART_SIBL
(10,1),(10,11),0.00720081 # DEPENDENCYPART_SIBL
(10,1),(10,12),0.0203567 # DEPENDENCYPART_SIBL
(10,1),(10,13),-0.0277584 # DEPENDENCYPART_SIBL
(10,1),(10,14),-0.0141843 # DEPENDENCYPART_SIBL
(10,1),(10,15),-0.0350414 # DEPENDENCYPART_SIBL
(10,1),(10,16),-0.0181819 # DEPENDENCYPART_SIBL
(10,1),(10,17),-0.0141843 # DEPENDENCYPART_SIBL
(10,1),(10,18),-0.0141843 # DEPENDENCYPART_SIBL
(10,1),(10,19),-0.0181242 # DEPENDENCYPART_SIBL
(10,1),(10,21),-0.031051 # DEPENDENCYPART_SIBL
(10,1),(10,22),-0.0348462 # DEPENDENCYPART_SIBL
(10,2),(10,3),-0.00580444 # DEPENDENCYPART_SIBL
(10,2),(10,4),0.0186629 # DEPENDENCYPART_SIBL
(10,2),(10,5),-0.0636099 # DEPENDENCYPART_SIBL
(10,2),(10,6),-0.010503 # DEPENDENCYPART_SIBL
(10,2),(10,7),-0.00289791 # DEPENDENCYPART_SIBL
(10,2),(10,8),-0.019779 # DEPENDENCYPART_SIBL
(10,2),(10,9),-0.00580444 # DEPENDENCYPART_SIBL
(10,2),(10,11),0.0962614 # DEPENDENCYPART_SIBL
(10,2),(10,12),0.0436971 # DEPENDENCYPART_SIBL
(10,2),(10,13),0.0138967 # DEPENDENCYPART_SIBL
(10,2),(10,14),0.0149352 # DEPENDENCYPART_SIBL
(10,2),(10,15),-0.003629 # DEPENDENCYPART_SIBL
(10,2),(10,16),0.0575243 # DEPENDENCYPART_SIBL
(10,2),(10,17),0.0149352 # DEPENDENCYPART_SIBL
(10,2),(10,18),0.0149352 # DEPENDENCYPART_SIBL
(10,2),(10,19),0.0241207 # DEPENDENCYPART_SIBL
(10,2),(10,21),0.00273205 # DEPENDENCYPART_SIBL
(10,2),(10,22),0.0757371 # DEPENDENCYPART_SIBL
(10,3),(10,4),0.00208574 # DEPENDENCYPART_SIBL
(10,3),(10,5),-0.0806329 # DEPENDENCYPART_SIBL
(10,3),(10,6),-0.0331339 # DEPENDENCYPART_SIBL
(10,3),(10,7),-0.00782984 # DEPENDENCYPART_SIBL
(10,3),(10,8),-0.0569559 # DEPENDENCYPART_SIBL
(10,3),(10,9),-0.0301753 # DEPENDENCYPART_SIBL
(10,3),(10,11),-0.00600159 # DEPENDENCYPART_SIBL
(10,3),(10,12),-0.0147654 # DEPENDENCYPART_SIBL
(10,3),(10,13),-0.0393564 # DEPENDENCYPART_SIBL
(10,3),(10,14),-0.0290581 # DEPENDENCYPART_SIBL
(10,3),(10,15),-0.043564 # DEPENDENCYPART_SIBL
(10,3),(10,16),-0.0266366 # DEPENDENCYPART_SIBL
(10,3),(10,17),-0.0290581 # DEPENDENCYPART_SIBL
(10,3),(10,18),-0.0290581 # DEPENDENCYPART_SIBL
(10,3),(10,19),-0.0206176 # DEPENDENCYPART_SIBL
(10,3),(10,21),-0.0322163 # DEPENDENCYPART_SIBL
(10,3),(10,22),-0.0462035 # DEPENDENCYPART_SIBL
(10,4),(10,5),-0.0888668 # DEPENDENCYPART_SIBL
(10,4),(10,6),-0.0306238 # DEPENDENCYPART_SIBL
(10,4),(10,7),-0.108372 # DEPENDENCYPART_SIBL
(10,4),(10,8),-0.106037 # DEPENDENCYPART_SIBL
(10,4),(10,9),-0.0910589 # DEPENDENCYPART_SIBL
(10,4),(10,11),0.0489746 # DEPENDENCYPART_SIBL
(10,4),(10,12),0.0108783 # DEPENDENCYPART_SIBL
(10,4),(10,13),-0.020487 # DEPENDENCYPART_SIBL
(10,4),(10,14),0.0151892 # DEPENDENCYPART_SIBL
(10,4),(10,15),0.00378545 # DEPENDENCYPART_SIBL
(10,4),(10,16),-0.0075812 # DEPENDENCYPART_SIBL
(10,4),(10,17),0.0151892 # DEPENDENCYPART_SIBL
(10,4),(10,18),0.0151892 # DEPENDENCYPART_SIBL
(10,4),(10,19),-0.00754404 # DEPENDENCYPART_SIBL
(10,4),(10,21),-0.0177634 # DEPENDENCYPART_SIBL
(10,4),(10,22),0.0218108 # DEPENDENCYPART_SIBL
(10,5),(10,6),-0.117816 # DEPENDENCYPART_SIBL
(10,5),(10,7),-0.169721 # DEPENDENCYPART_SIBL
(10,5),(10,8),-0.135492 # DEPENDENCYPART_SIBL
(10,5),(10,9),-0.107978 # DEPENDENCYPART_SIBL
(10,5),(10,11),-0.00303049 # DEPENDENCYPART_SIBL
(10,5),(10,12),-0.00734675 # DEPENDENCYPART_SIBL
(10,5),(10,13),-0.0142957 # DEPENDENCYPART_SIBL
(10,5),(10,14),-0.00644449 # DEPENDENCYPART_SIBL
(10,5),(10,15),-0.0225084 # DEPENDENCYPART_SIBL
(10,5),(10,16),-0.0338089 # DEPENDENCYPART_SIBL
(10,5),(10,17),-0.00644449 # DEPENDENCYPART_SIBL
(10,5),(10,18),-0.00644449 # DEPENDENCYPART_SIBL
(10,5),(10,19),-0.0194715 # DEPENDENCYPART_SIBL
(10,5),(10,21),-0.0296041 # DEPENDENCYPART_SIBL
(10,5),(10,22),-0.0117804 # DEPENDENCYPART_SIBL
(10,6),(10,7),-0.00390469 # DEPENDENCYPART_SIBL
(10,6),(10,8),-0.0547211 # DEPENDENCYPART_SIBL
(10,6),(10,9),-0.0105821 # DEPENDENCYPART_SIBL
(10,6),(10,11),0.0720108 # DEPENDENCYPART_SIBL
(10,6),(10,12),0.00647058 # DEPENDENCYPART_SIBL
(10,6),(10,13),-0.00862494 # DEPENDENCYPART_SIBL
(10,6),(10,14),0.0275228 # DEPENDENCYPART_SIBL
(10,6),(10,15),0.0152183 # DEPENDENCYPART_SIBL
(10,6),(10,16),0.00118435 # DEPENDENCYPART_SIBL
(10,6),(10,17),0.0275228 # DEPENDENCYPART_SIBL
(10,6),(10,18),0.0275228 # DEPENDENCYPART_SIBL
(10,6),(10,19),-0.000759446 # DEPENDENCYPART_SIBL
(10,6),(10,21),-0.0156284 # DEPENDENCYPART_SIBL
(10,6),(10,22),0.0978179 # DEPENDENCYPART_SIBL
(10,7),(10,8),-0.019779 # DEPENDENCYPART_SIBL
(10,7),(10,9),-0.00580444 # DEPENDENCYPART_SIBL
(10,7),(10,11),0.0962614 # DEPENDENCYPART_SIBL
(10,7),(10,12),0.0436971 # DEPENDENCYPART_SIBL
(10,7),(10,13),0.0138967 # DEPENDENCYPART_SIBL
(10,7),(10,14),0.0149352 # DEPENDENCYPART_SIBL
(10,7),(10,15),-0.003629 # DEPENDENCYPART_SIBL
(10,7),(10,16),0.0575243 # DEPENDENCYPART_SIBL
(10,7),(10,17),0.0149352 # DEPENDENCYPART_SIBL
(10,7),(10,18),0.0149352 # DEPENDENCYPART_SIBL
(10,7),(10,19),0.0241207 # DEPENDENCYPART_SIBL
(10,7),(10,21),0.00273205 # DEPENDENCYPART_SIBL
(10,7),(10,22),0.0757371 # DEPENDENCYPART_SIBL
(10,8),(10,9),0.00325936 # DEPENDENCYPART_SIBL
(10,8),(10,11),-0.0383511 # DEPENDENCYPART_SIBL
(10,8),(10,12),-0.0166981 # DEPENDENCYPART_SIBL
(10,8),(10,13),-0.0427495 # DEPENDENCYPART_SIBL
(10,8),(10,14),-0.0402024 # DEPENDENCYPART_SIBL
(10,8),(10,15),-0.0566505 # DEPENDENCYPART_SIBL
(10,8),(10,16),-0.0294728 # DEPENDENCYPART_SIBL
(10,8),(10,17),-0.0402024 # DEPENDENCYPART_SIBL
(10,8),(10,18),-0.0402024 # DEPENDENCYPART_SIBL
(10,8),(10,19),-0.0439228 # DEPENDENCYPART_SIBL
(10,8),(10,21),-0.0555215 # DEPENDENCYPART_SIBL
(10,8),(10,22),-0.0789648 # DEPENDENCYPART_SIBL
(10,9),(10,11),-0.00600159 # DEPENDENCYPART_SIBL
(10,9),(10,12),-0.0147654 # DEPENDENCYPART_SIBL
(10,9),(10,13),-0.0393564 # DEPENDENCYPART_SIBL
(10,9),(10,14),-0.0290581 # DEPENDENCYPART_SIBL
(10,9),(10,15),-0.043564 # DEPENDENCYPART_SIBL
(10,9),(10,16),-0.0266366 # DEPENDENCYPART_SIBL
(10,9),(10,17),-0.0290581 # DEPENDENCYPART_SIBL
(10,9),(10,18),-0.0290581 # DEPENDENCYPART_SIBL
(10,9),(10,19),-0.0206176 # DEPENDENCYPART_SIBL
(10,9),(10,21),-0.0322163 # DEPENDENCYPART_SIBL
(10,9),(10,22),-0.0462035 # DEPENDENCYPART_SIBL
(10,11),(10,12),-0.0103958 # DEPENDENCYPART_SIBL
(10,11),(10,13),0.075855 # DEPENDENCYPART_SIBL
(10,11),(10,14),0.0400188 # DEPENDENCYPART_SIBL
(10,11),(10,15),0.00136889 # DEPENDENCYPART_SIBL
(10,11),(10,16),0.0804718 # DEPENDENCYPART_SIBL
(10,11),(10,17),0.0400188 # DEPENDENCYPART_SIBL
(10,11),(10,18),0.0400188 # DEPENDENCYPART_SIBL
(10,11),(10,19),0.0339127 # DEPENDENCYPART_SIBL
(10,11),(10,21),0.0212168 # DEPENDENCYPART_SIBL
(10,11),(10,22),-0.136587 # DEPENDENCYPART_SIBL
(10,12),(10,13),-0.183919 # DEPENDENCYPART_SIBL
(10,12),(10,14),-0.0983798 # DEPENDENCYPART_SIBL
(10,12),(10,15),-0.0643255 # DEPENDENCYPART_SIBL
(10,12),(10,16),-0.0291201 # DEPENDENCYPART_SIBL
(10,12),(10,17),-0.0983798 # DEPENDENCYPART_SIBL
(10,12),(10,18),-0.0983798 # DEPENDENCYPART_SIBL
(10,12),(10,19),-0.0415288 # DEPENDENCYPART_SIBL
(10,12),(10,21),-0.0459283 # DEPENDENCYPART_SIBL
(10,12),(10,22),-0.0892735 # DEPENDENCYPART_SIBL
(10,13),(10,14),0.0104944 # DEPENDENCYPART_SIBL
(10,13),(10,15),0.00150869 # DEPENDENCYPART_SIBL
(10,13),(10,16),0.00482499 # DEPENDENCYPART_SIBL
(10,13),(10,17),0.0104944 # DEPENDENCYPART_SIBL
(10,13),(10,18),0.0104944 # DEPENDENCYPART_SIBL
(10,13),(10,19),-0.0243517 # DEPENDENCYPART_SIBL
(10,13),(10,21),-0.0224118 # DEPENDENCYPART_SIBL
(10,13),(10,22),-0.0248071 # DEPENDENCYPART_SIBL
(10,14),(10,15),-0.00821389 # DEPENDENCYPART_SIBL
(10,14),(10,16),-0.0124614 # DEPENDENCYPART_SIBL
(10,14),(10,17),-0.016845 # DEPENDENCYPART_SIBL
(10,14),(10,18),-0.016845 # DEPENDENCYPART_SIBL
(10,14),(10,19),-0.018547 # DEPENDENCYPART_SIBL
(10,14),(10,21),-0.0233321 # DEPENDENCYPART_SIBL
(10,14),(10,22),-0.0212791 # DEPENDENCYPART_SIBL
(10,15),(10,16),0.0212076 # DEPENDENCYPART_SIBL
(10,15),(10,17),-0.0198891 # DEPENDENCYPART_SIBL
(10,15),(10,18),-0.0198891 # DEPENDENCYPART_SIBL
(10,15),(10,19),-0.00795679 # DEPENDENCYPART_SIBL
(10,15),(10,21),-0.0149094 # DEPENDENCYPART_SIBL
(10,15),(10,22),0.00181836 # DEPENDENCYPART_SIBL
(10,16),(10,17),-0.00282886 # DEPENDENCYPART_SIBL
(10,16),(10,18),-0.00282886 # DEPENDENCYPART_SIBL
(10,16),(10,19),0.0078145 # DEPENDENCYPART_SIBL
(10,16),(10,21),0.00188742 # DEPENDENCYPART_SIBL
(10,16),(10,22),0.00441995 # DEPENDENCYPART_SIBL
(10,17),(10,18),-0.016845 # DEPENDENCYPART_SIBL
(10,17),(10,19),-0.018547 # DEPENDENCYPART_SIBL
(10,17),(10,21),-0.0233321 # DEPENDENCYPART_SIBL
(10,17),(10,22),-0.0212791 # DEPENDENCYPART_SIBL
(10,18),(10,19),-0.018547 # DEPENDENCYPART_SIBL
(10,18),(10,21),-0.0233321 # DEPENDENCYPART_SIBL
(10,18),(10,22),-0.0212791 # DEPENDENCYPART_SIBL
(10,19),(10,21),-0.0225362 # DEPENDENCYPART_SIBL
(10,19),(10,22),0.0198912 # DEPENDENCYPART_SIBL
(10,21),(10,22),0.0143542 # DEPENDENCYPART_SIBL
(11,7),(11,9),0.0376153 # DEPENDENCYPART_SIBL
(11,7),(11,12),0.029705 # DEPENDENCYPART_SIBL
(11,7),(11,13),0.0329862 # DEPENDENCYPART_SIBL
(11,7),(11,16),0.058745 # DEPENDENCYPART_SIBL
(11,7),(11,21),0.0391379 # DEPENDENCYPART_SIBL
(11,9),(11,12),0.0375173 # DEPENDENCYPART_SIBL
(11,9),(11,13),0.0125246 # DEPENDENCYPART_SIBL
(11,9),(11,16),0.0126505 # DEPENDENCYPART_SIBL
(11,9),(11,21),0.0284898 # DEPENDENCYPART_SIBL
(11,12),(11,13),-0.164067 # DEPENDENCYPART_SIBL
(11,12),(11,16),-0.0705173 # DEPENDENCYPART_SIBL
(11,12),(11,21),-0.0696996 # DEPENDENCYPART_SIBL
(11,13),(11,16),-0.0249958 # DEPENDENCYPART_SIBL
(11,13),(11,21),-0.0133134 # DEPENDENCYPART_SIBL
(11,16),(11,21),-0.0186482 # DEPENDENCYPART_SIBL
(12,10),(12,11),-0.0312824 # DEPENDENCYPART_SIBL
(12,10),(12,15),0.128975 # DEPENDENCYPART_SIBL
(12,10),(12,21),0.377782 # DEPENDENCYPART_SIBL
(12,11),(12,15),0.0181942 # DEPENDENCYPART_SIBL
(12,11),(12,21),0.126002 # DEPENDENCYPART_SIBL
(12,15),(12,21),-0.00988095 # DEPENDENCYPART_SIBL
(13,10),(13,12),-0.0226286 # DEPENDENCYPART_SIBL
(13,10),(13,14),-0.0286423 # DEPENDENCYPART_SIBL
(13,10),(13,17),-0.0286423 # DEPENDENCYPART_SIBL
(13,10),(13,18),-0.0286423 # DEPENDENCYPART_SIBL
(13,12),(13,14),0.0101743 # DEPENDENCYPART_SIBL
(13,12),(13,17),0.0101743 # DEPENDENCYPART_SIBL
(13,12),(13,18),0.0101743 # DEPENDENCYPART_SIBL
(13,14),(13,17),0.00931019 # DEPENDENCYPART_SIBL
(13,14),(13,18),0.00931019 # DEPENDENCYPART_SIBL
(13,17),(13,18),0.00931019 # DEPENDENCYPART_SIBL
(14,9),(14,10),-0.0245339 # DEPENDENCYPART_SIBL
(14,9),(14,12),-0.0356565 # DEPENDENCYPART_SIBL
(14,9),(14,13),0.00329354 # DEPENDENCYPART_SIBL
(14,9),(14,15),-0.083872 # DEPENDENCYPART_SIBL
(14,9),(14,16),-0.0511213 # DEPENDENCYPART_SIBL
(14,9),(14,17),-0.0879656 # DEPENDENCYPART_SIBL
(14,9),(14,18),-0.0879656 # DEPENDENCYPART_SIBL
(14,9),(14,19),-0.0388863 # DEPENDENCYPART_SIBL
(14,9),(14,20),-0.0203044 # DEPENDENCYPART_SIBL
