# _root_ haren ustez , euskal_gizarteak aldaketa edo alternatiba bat eskatzen du gobernuan , eta hori ppk bete behar_du .
#goldHeads=2,9,2,9,6,9,6,7,13,17,9,11,0,16,17,17,13,17,
#predictedHeads=2,9,2,9,6,9,6,7,13,9,9,11,0,17,17,17,13,17,
(6,7),(6,16),-0.104798 # DEPENDENCYPART_SIBL
(6,7),(6,17),-0.103788 # DEPENDENCYPART_SIBL
(6,8),(6,9),-0.119978 # DEPENDENCYPART_SIBL
(6,8),(6,10),-0.0444279 # DEPENDENCYPART_SIBL
(6,8),(6,11),-0.0710363 # DEPENDENCYPART_SIBL
(6,8),(6,12),-0.0871419 # DEPENDENCYPART_SIBL
(6,8),(6,13),-0.0166645 # DEPENDENCYPART_SIBL
(6,8),(6,16),-0.118514 # DEPENDENCYPART_SIBL
(6,8),(6,17),-0.11998 # DEPENDENCYPART_SIBL
(6,9),(6,10),0.00588617 # DEPENDENCYPART_SIBL
(6,9),(6,11),-0.0686366 # DEPENDENCYPART_SIBL
(6,9),(6,12),-0.0495622 # DEPENDENCYPART_SIBL
(6,9),(6,13),-0.017452 # DEPENDENCYPART_SIBL
(6,9),(6,16),-0.0867674 # DEPENDENCYPART_SIBL
(6,9),(6,17),-0.0870186 # DEPENDENCYPART_SIBL
(6,10),(6,11),-0.0356198 # DEPENDENCYPART_SIBL
(6,10),(6,12),-0.0475003 # DEPENDENCYPART_SIBL
(6,10),(6,13),0.00831062 # DEPENDENCYPART_SIBL
(6,10),(6,16),-0.0251314 # DEPENDENCYPART_SIBL
(6,10),(6,17),-0.0201157 # DEPENDENCYPART_SIBL
(6,11),(6,12),-0.0695666 # DEPENDENCYPART_SIBL
(6,11),(6,13),-0.0230165 # DEPENDENCYPART_SIBL
(6,11),(6,16),-0.104798 # DEPENDENCYPART_SIBL
(6,11),(6,17),-0.103788 # DEPENDENCYPART_SIBL
(6,12),(6,13),-0.0238115 # DEPENDENCYPART_SIBL
(6,12),(6,16),-0.0668299 # DEPENDENCYPART_SIBL
(6,12),(6,17),-0.0748131 # DEPENDENCYPART_SIBL
(6,13),(6,16),-0.0838594 # DEPENDENCYPART_SIBL
(6,13),(6,17),-0.0843828 # DEPENDENCYPART_SIBL
(6,16),(6,17),-0.0869316 # DEPENDENCYPART_SIBL
(7,1),(7,3),-0.0345407 # DEPENDENCYPART_SIBL
(7,1),(7,5),0.0291614 # DEPENDENCYPART_SIBL
(7,1),(7,6),0.0465582 # DEPENDENCYPART_SIBL
(7,1),(7,8),0.0025817 # DEPENDENCYPART_SIBL
(7,1),(7,9),-0.0399715 # DEPENDENCYPART_SIBL
(7,1),(7,10),-0.03327 # DEPENDENCYPART_SIBL
(7,1),(7,11),-0.0718693 # DEPENDENCYPART_SIBL
(7,1),(7,13),-0.00834674 # DEPENDENCYPART_SIBL
(7,1),(7,15),-0.0729907 # DEPENDENCYPART_SIBL
(7,1),(7,17),-0.039791 # DEPENDENCYPART_SIBL
(7,1),(7,18),0.00440013 # DEPENDENCYPART_SIBL
(7,3),(7,5),-0.115615 # DEPENDENCYPART_SIBL
(7,3),(7,6),-0.03003 # DEPENDENCYPART_SIBL
(7,3),(7,8),0.000292042 # DEPENDENCYPART_SIBL
(7,3),(7,9),-0.0375425 # DEPENDENCYPART_SIBL
(7,3),(7,10),-0.0382558 # DEPENDENCYPART_SIBL
(7,3),(7,11),-0.0562268 # DEPENDENCYPART_SIBL
(7,3),(7,13),-0.0342394 # DEPENDENCYPART_SIBL
(7,3),(7,15),-0.0563047 # DEPENDENCYPART_SIBL
(7,3),(7,17),-0.0374658 # DEPENDENCYPART_SIBL
(7,3),(7,18),-0.0822575 # DEPENDENCYPART_SIBL
(7,5),(7,6),0.010971 # DEPENDENCYPART_SIBL
(7,5),(7,8),0.00993703 # DEPENDENCYPART_SIBL
(7,5),(7,9),0.0167886 # DEPENDENCYPART_SIBL
(7,5),(7,10),0.0159807 # DEPENDENCYPART_SIBL
(7,5),(7,11),-0.00457594 # DEPENDENCYPART_SIBL
(7,5),(7,13),0.00887803 # DEPENDENCYPART_SIBL
(7,5),(7,15),0.00275478 # DEPENDENCYPART_SIBL
(7,5),(7,17),0.0197068 # DEPENDENCYPART_SIBL
(7,5),(7,18),-0.027059 # DEPENDENCYPART_SIBL
(7,6),(7,8),0.0734395 # DEPENDENCYPART_SIBL
(7,6),(7,9),-0.00589554 # DEPENDENCYPART_SIBL
(7,6),(7,10),0.0204237 # DEPENDENCYPART_SIBL
(7,6),(7,11),-1.24604e-05 # DEPENDENCYPART_SIBL
(7,6),(7,13),0.035445 # DEPENDENCYPART_SIBL
(7,6),(7,15),-0.00024949 # DEPENDENCYPART_SIBL
(7,6),(7,17),-0.00582108 # DEPENDENCYPART_SIBL
(7,6),(7,18),-0.0577131 # DEPENDENCYPART_SIBL
(7,8),(7,9),-0.0722122 # DEPENDENCYPART_SIBL
(7,8),(7,10),-0.0208717 # DEPENDENCYPART_SIBL
(7,8),(7,11),0.0164415 # DEPENDENCYPART_SIBL
(7,8),(7,13),0.00677388 # DEPENDENCYPART_SIBL
(7,8),(7,15),0.0162406 # DEPENDENCYPART_SIBL
(7,8),(7,17),-0.0735218 # DEPENDENCYPART_SIBL
(7,8),(7,18),-0.111541 # DEPENDENCYPART_SIBL
(7,9),(7,10),0.0423735 # DEPENDENCYPART_SIBL
(7,9),(7,11),-0.00652443 # DEPENDENCYPART_SIBL
(7,9),(7,13),-0.0080104 # DEPENDENCYPART_SIBL
(7,9),(7,15),-0.00668406 # DEPENDENCYPART_SIBL
(7,9),(7,17),-0.00920567 # DEPENDENCYPART_SIBL
(7,9),(7,18),-0.0694456 # DEPENDENCYPART_SIBL
(7,10),(7,11),0.0421037 # DEPENDENCYPART_SIBL
(7,10),(7,13),0.027656 # DEPENDENCYPART_SIBL
(7,10),(7,15),0.0390235 # DEPENDENCYPART_SIBL
(7,10),(7,17),0.044466 # DEPENDENCYPART_SIBL
(7,10),(7,18),-0.0495952 # DEPENDENCYPART_SIBL
(7,11),(7,13),-0.00858012 # DEPENDENCYPART_SIBL
(7,11),(7,15),-0.00769515 # DEPENDENCYPART_SIBL
(7,11),(7,17),-0.0360536 # DEPENDENCYPART_SIBL
(7,11),(7,18),-0.0887528 # DEPENDENCYPART_SIBL
(7,13),(7,15),-0.00400674 # DEPENDENCYPART_SIBL
(7,13),(7,17),-0.0230206 # DEPENDENCYPART_SIBL
(7,13),(7,18),-0.0546885 # DEPENDENCYPART_SIBL
(7,15),(7,17),-0.0383697 # DEPENDENCYPART_SIBL
(7,15),(7,18),-0.0887528 # DEPENDENCYPART_SIBL
(7,17),(7,18),-0.0694017 # DEPENDENCYPART_SIBL
(8,2),(8,4),0.0272934 # DEPENDENCYPART_SIBL
(8,2),(8,5),0.0272936 # DEPENDENCYPART_SIBL
(8,2),(8,7),0.0272936 # DEPENDENCYPART_SIBL
(8,4),(8,5),0.00470143 # DEPENDENCYPART_SIBL
(8,4),(8,7),0.010728 # DEPENDENCYPART_SIBL
(8,5),(8,7),0.00524734 # DEPENDENCYPART_SIBL
(9,1),(9,2),-0.0346907 # DEPENDENCYPART_SIBL
(9,1),(9,3),-0.0802793 # DEPENDENCYPART_SIBL
(9,1),(9,4),-0.0241317 # DEPENDENCYPART_SIBL
(9,1),(9,5),-0.0285295 # DEPENDENCYPART_SIBL
(9,1),(9,6),0.0028325 # DEPENDENCYPART_SIBL
(9,1),(9,7),-0.0223147 # DEPENDENCYPART_SIBL
(9,1),(9,8),-0.0233292 # DEPENDENCYPART_SIBL
(9,1),(9,10),0.0234229 # DEPENDENCYPART_SIBL
(9,1),(9,11),-0.0092143 # DEPENDENCYPART_SIBL
(9,1),(9,12),0.025327 # DEPENDENCYPART_SIBL
(9,1),(9,13),-0.0415724 # DEPENDENCYPART_SIBL
(9,1),(9,15),-0.0130922 # DEPENDENCYPART_SIBL
(9,1),(9,16),0.0103723 # DEPENDENCYPART_SIBL
(9,1),(9,17),-0.00783065 # DEPENDENCYPART_SIBL
(9,2),(9,3),-0.0153329 # DEPENDENCYPART_SIBL
(9,2),(9,4),0.0428656 # DEPENDENCYPART_SIBL
(9,2),(9,5),0.0384681 # DEPENDENCYPART_SIBL
(9,2),(9,6),0.0488673 # DEPENDENCYPART_SIBL
(9,2),(9,7),0.044683 # DEPENDENCYPART_SIBL
(9,2),(9,8),0.0234087 # DEPENDENCYPART_SIBL
(9,2),(9,10),0.13326 # DEPENDENCYPART_SIBL
(9,2),(9,11),0.0403282 # DEPENDENCYPART_SIBL
(9,2),(9,12),-0.00201183 # DEPENDENCYPART_SIBL
(9,2),(9,13),0.0220601 # DEPENDENCYPART_SIBL
(9,2),(9,15),0.0375997 # DEPENDENCYPART_SIBL
(9,2),(9,16),0.0806175 # DEPENDENCYPART_SIBL
(9,2),(9,17),0.067044 # DEPENDENCYPART_SIBL
(9,3),(9,4),-0.178597 # DEPENDENCYPART_SIBL
(9,3),(9,5),-0.182995 # DEPENDENCYPART_SIBL
(9,3),(9,6),-0.0814042 # DEPENDENCYPART_SIBL
(9,3),(9,7),-0.17678 # DEPENDENCYPART_SIBL
(9,3),(9,8),-0.103392 # DEPENDENCYPART_SIBL
(9,3),(9,10),-0.0207252 # DEPENDENCYPART_SIBL
(9,3),(9,11),0.000249735 # DEPENDENCYPART_SIBL
(9,3),(9,12),-0.00935042 # DEPENDENCYPART_SIBL
(9,3),(9,13),-0.0481225 # DEPENDENCYPART_SIBL
(9,3),(9,15),-0.0015945 # DEPENDENCYPART_SIBL
(9,3),(9,16),0.00450998 # DEPENDENCYPART_SIBL
(9,3),(9,17),-0.0100061 # DEPENDENCYPART_SIBL
(9,4),(9,5),-0.0518193 # DEPENDENCYPART_SIBL
(9,4),(9,6),0.000831447 # DEPENDENCYPART_SIBL
(9,4),(9,7),-0.0335662 # DEPENDENCYPART_SIBL
(9,4),(9,8),-0.0114917 # DEPENDENCYPART_SIBL
(9,4),(9,10),0.0115311 # DEPENDENCYPART_SIBL
(9,4),(9,11),-0.00485383 # DEPENDENCYPART_SIBL
(9,4),(9,12),0.00413824 # DEPENDENCYPART_SIBL
(9,4),(9,13),-0.021303 # DEPENDENCYPART_SIBL
(9,4),(9,15),-0.00188021 # DEPENDENCYPART_SIBL
(9,4),(9,16),0.0354767 # DEPENDENCYPART_SIBL
(9,4),(9,17),0.0053249 # DEPENDENCYPART_SIBL
(9,5),(9,6),-0.00511834 # DEPENDENCYPART_SIBL
(9,5),(9,7),-0.0482968 # DEPENDENCYPART_SIBL
(9,5),(9,8),-0.0174415 # DEPENDENCYPART_SIBL
(9,5),(9,10),0.0198927 # DEPENDENCYPART_SIBL
(9,5),(9,11),-0.000786057 # DEPENDENCYPART_SIBL
(9,5),(9,12),0.00900293 # DEPENDENCYPART_SIBL
(9,5),(9,13),-0.0174108 # DEPENDENCYPART_SIBL
(9,5),(9,15),0.00218756 # DEPENDENCYPART_SIBL
(9,5),(9,16),0.040105 # DEPENDENCYPART_SIBL
(9,5),(9,17),0.00995312 # DEPENDENCYPART_SIBL
(9,6),(9,7),-0.128587 # DEPENDENCYPART_SIBL
(9,6),(9,8),-0.0798899 # DEPENDENCYPART_SIBL
(9,6),(9,10),0.0255381 # DEPENDENCYPART_SIBL
(9,6),(9,11),0.0443887 # DEPENDENCYPART_SIBL
(9,6),(9,12),-0.0341383 # DEPENDENCYPART_SIBL
(9,6),(9,13),-0.00242243 # DEPENDENCYPART_SIBL
(9,6),(9,15),0.0423306 # DEPENDENCYPART_SIBL
(9,6),(9,16),0.00594157 # DEPENDENCYPART_SIBL
(9,6),(9,17),-0.00666776 # DEPENDENCYPART_SIBL
(9,7),(9,8),-0.0163418 # DEPENDENCYPART_SIBL
(9,7),(9,10),0.0135365 # DEPENDENCYPART_SIBL
(9,7),(9,11),-0.0027472 # DEPENDENCYPART_SIBL
(9,7),(9,12),0.00798256 # DEPENDENCYPART_SIBL
(9,7),(9,13),-0.0193719 # DEPENDENCYPART_SIBL
(9,7),(9,15),0.000226416 # DEPENDENCYPART_SIBL
(9,7),(9,16),0.0381438 # DEPENDENCYPART_SIBL
(9,7),(9,17),0.00799198 # DEPENDENCYPART_SIBL
(9,8),(9,10),0.0284576 # DEPENDENCYPART_SIBL
(9,8),(9,11),-0.012612 # DEPENDENCYPART_SIBL
(9,8),(9,12),-0.00665681 # DEPENDENCYPART_SIBL
(9,8),(9,13),-0.039909 # DEPENDENCYPART_SIBL
(9,8),(9,15),-0.01649 # DEPENDENCYPART_SIBL
(9,8),(9,16),0.0200835 # DEPENDENCYPART_SIBL
(9,8),(9,17),0.00188083 # DEPENDENCYPART_SIBL
(9,10),(9,11),0.0616947 # DEPENDENCYPART_SIBL
(9,10),(9,12),-0.00337861 # DEPENDENCYPART_SIBL
(9,10),(9,13),0.0588084 # DEPENDENCYPART_SIBL
(9,10),(9,15),0.0508164 # DEPENDENCYPART_SIBL
(9,10),(9,16),0.0852312 # DEPENDENCYPART_SIBL
(9,10),(9,17),0.106115 # DEPENDENCYPART_SIBL
(9,11),(9,12),-0.0286021 # DEPENDENCYPART_SIBL
(9,11),(9,13),-0.0187413 # DEPENDENCYPART_SIBL
(9,11),(9,15),-0.0248775 # DEPENDENCYPART_SIBL
(9,11),(9,16),-0.0158923 # DEPENDENCYPART_SIBL
(9,11),(9,17),-0.00340086 # DEPENDENCYPART_SIBL
(9,12),(9,13),-0.0478788 # DEPENDENCYPART_SIBL
(9,12),(9,15),-0.105816 # DEPENDENCYPART_SIBL
(9,12),(9,16),-0.0374165 # DEPENDENCYPART_SIBL
(9,12),(9,17),-0.0357942 # DEPENDENCYPART_SIBL
(9,13),(9,15),-0.00648756 # DEPENDENCYPART_SIBL
(9,13),(9,16),-0.0247559 # DEPENDENCYPART_SIBL
(9,13),(9,17),-0.0156739 # DEPENDENCYPART_SIBL
(9,15),(9,16),-0.0274993 # DEPENDENCYPART_SIBL
(9,15),(9,17),-0.0122864 # DEPENDENCYPART_SIBL
(9,16),(9,17),-0.0108141 # DEPENDENCYPART_SIBL
(10,8),(10,11),0.0074672 # DEPENDENCYPART_SIBL
(10,8),(10,13),-0.00327036 # DEPENDENCYPART_SIBL
(10,8),(10,15),0.00644119 # DEPENDENCYPART_SIBL
(10,11),(10,13),0.00357485 # DEPENDENCYPART_SIBL
(10,11),(10,15),0.0367347 # DEPENDENCYPART_SIBL
(10,13),(10,15),0.00661159 # DEPENDENCYPART_SIBL
(11,1),(11,2),-0.00382434 # DEPENDENCYPART_SIBL
(11,1),(11,6),0.0465582 # DEPENDENCYPART_SIBL
(11,1),(11,7),0.0291615 # DEPENDENCYPART_SIBL
(11,1),(11,8),0.00128935 # DEPENDENCYPART_SIBL
(11,1),(11,9),-0.0216662 # DEPENDENCYPART_SIBL
(11,1),(11,10),0.0282506 # DEPENDENCYPART_SIBL
(11,1),(11,12),0.0752582 # DEPENDENCYPART_SIBL
(11,1),(11,13),-0.00834674 # DEPENDENCYPART_SIBL
(11,1),(11,14),-0.00821333 # DEPENDENCYPART_SIBL
(11,1),(11,15),-0.0729907 # DEPENDENCYPART_SIBL
(11,1),(11,16),-0.0419124 # DEPENDENCYPART_SIBL
(11,1),(11,17),-0.039791 # DEPENDENCYPART_SIBL
(11,1),(11,18),0.00440013 # DEPENDENCYPART_SIBL
(11,2),(11,6),0.0406547 # DEPENDENCYPART_SIBL
(11,2),(11,7),0.0578118 # DEPENDENCYPART_SIBL
(11,2),(11,8),0.028439 # DEPENDENCYPART_SIBL
(11,2),(11,9),-0.0397275 # DEPENDENCYPART_SIBL
(11,2),(11,10),0.0243776 # DEPENDENCYPART_SIBL
(11,2),(11,12),-0.0205908 # DEPENDENCYPART_SIBL
(11,2),(11,13),0.0210822 # DEPENDENCYPART_SIBL
(11,2),(11,14),0.0261889 # DEPENDENCYPART_SIBL
(11,2),(11,15),-0.0333296 # DEPENDENCYPART_SIBL
(11,2),(11,16),0.0283782 # DEPENDENCYPART_SIBL
(11,2),(11,17),0.0327512 # DEPENDENCYPART_SIBL
(11,2),(11,18),-0.0166008 # DEPENDENCYPART_SIBL
(11,6),(11,7),-0.0592957 # DEPENDENCYPART_SIBL
(11,6),(11,8),-0.0237233 # DEPENDENCYPART_SIBL
(11,6),(11,9),-0.0932274 # DEPENDENCYPART_SIBL
(11,6),(11,10),-0.0280198 # DEPENDENCYPART_SIBL
(11,6),(11,12),-0.00142449 # DEPENDENCYPART_SIBL
(11,6),(11,13),0.035445 # DEPENDENCYPART_SIBL
(11,6),(11,14),0.0636917 # DEPENDENCYPART_SIBL
(11,6),(11,15),-0.00024949 # DEPENDENCYPART_SIBL
(11,6),(11,16),-0.0106704 # DEPENDENCYPART_SIBL
(11,6),(11,17),-0.00582108 # DEPENDENCYPART_SIBL
(11,6),(11,18),-0.0577131 # DEPENDENCYPART_SIBL
(11,7),(11,8),-0.000527742 # DEPENDENCYPART_SIBL
(11,7),(11,9),-0.00664784 # DEPENDENCYPART_SIBL
(11,7),(11,10),0.0288327 # DEPENDENCYPART_SIBL
(11,7),(11,12),0.0483478 # DEPENDENCYPART_SIBL
(11,7),(11,13),0.00711494 # DEPENDENCYPART_SIBL
(11,7),(11,14),0.00461661 # DEPENDENCYPART_SIBL
(11,7),(11,15),0.000991696 # DEPENDENCYPART_SIBL
(11,7),(11,16),0.0202752 # DEPENDENCYPART_SIBL
(11,7),(11,17),0.0179438 # DEPENDENCYPART_SIBL
(11,7),(11,18),-0.0274133 # DEPENDENCYPART_SIBL
(11,8),(11,9),-0.0248153 # DEPENDENCYPART_SIBL
(11,8),(11,10),0.0270639 # DEPENDENCYPART_SIBL
(11,8),(11,12),0.017434 # DEPENDENCYPART_SIBL
(11,8),(11,13),-0.0221214 # DEPENDENCYPART_SIBL
(11,8),(11,14),-0.0243333 # DEPENDENCYPART_SIBL
(11,8),(11,15),-0.089087 # DEPENDENCYPART_SIBL
(11,8),(11,16),-0.0507198 # DEPENDENCYPART_SIBL
(11,8),(11,17),-0.0485983 # DEPENDENCYPART_SIBL
(11,8),(11,18),-0.0540158 # DEPENDENCYPART_SIBL
(11,9),(11,10),0.0113429 # DEPENDENCYPART_SIBL
(11,9),(11,12),-0.00317822 # DEPENDENCYPART_SIBL
(11,9),(11,13),0.0226289 # DEPENDENCYPART_SIBL
(11,9),(11,14),0.0690556 # DEPENDENCYPART_SIBL
(11,9),(11,15),-0.000253436 # DEPENDENCYPART_SIBL
(11,9),(11,16),0.0162957 # DEPENDENCYPART_SIBL
(11,9),(11,17),0.0210218 # DEPENDENCYPART_SIBL
(11,9),(11,18),-0.0343857 # DEPENDENCYPART_SIBL
(11,10),(11,12),0.0114823 # DEPENDENCYPART_SIBL
(11,10),(11,13),-0.00699868 # DEPENDENCYPART_SIBL
(11,10),(11,14),-0.0025289 # DEPENDENCYPART_SIBL
(11,10),(11,15),-0.0347761 # DEPENDENCYPART_SIBL
(11,10),(11,16),0.0359752 # DEPENDENCYPART_SIBL
(11,10),(11,17),0.0335514 # DEPENDENCYPART_SIBL
(11,10),(11,18),-0.004621 # DEPENDENCYPART_SIBL
(11,12),(11,13),-0.0281902 # DEPENDENCYPART_SIBL
(11,12),(11,14),-0.0702749 # DEPENDENCYPART_SIBL
(11,12),(11,15),-0.0497189 # DEPENDENCYPART_SIBL
(11,12),(11,16),-0.0385116 # DEPENDENCYPART_SIBL
(11,12),(11,17),-0.0448717 # DEPENDENCYPART_SIBL
(11,12),(11,18),-0.224837 # DEPENDENCYPART_SIBL
(11,13),(11,14),0.0724736 # DEPENDENCYPART_SIBL
(11,13),(11,15),-0.00400674 # DEPENDENCYPART_SIBL
(11,13),(11,16),-0.0241184 # DEPENDENCYPART_SIBL
(11,13),(11,17),-0.0230206 # DEPENDENCYPART_SIBL
(11,13),(11,18),-0.0546885 # DEPENDENCYPART_SIBL
(11,14),(11,15),0.00259521 # DEPENDENCYPART_SIBL
(11,14),(11,16),-0.0804949 # DEPENDENCYPART_SIBL
(11,14),(11,17),-0.0803407 # DEPENDENCYPART_SIBL
(11,14),(11,18),-0.138997 # DEPENDENCYPART_SIBL
(11,15),(11,16),-0.0423624 # DEPENDENCYPART_SIBL
(11,15),(11,17),-0.0383697 # DEPENDENCYPART_SIBL
(11,15),(11,18),-0.0887528 # DEPENDENCYPART_SIBL
(11,16),(11,17),-0.00908551 # DEPENDENCYPART_SIBL
(11,16),(11,18),-0.0694133 # DEPENDENCYPART_SIBL
(11,17),(11,18),-0.0694017 # DEPENDENCYPART_SIBL
(12,9),(12,10),-0.0266198 # DEPENDENCYPART_SIBL
(12,9),(12,11),-0.0145216 # DEPENDENCYPART_SIBL
(12,9),(12,13),0.184943 # DEPENDENCYPART_SIBL
(12,9),(12,16),0.393467 # DEPENDENCYPART_SIBL
(12,9),(12,17),0.375631 # DEPENDENCYPART_SIBL
(12,10),(12,11),0.0201402 # DEPENDENCYPART_SIBL
(12,10),(12,13),-0.0036204 # DEPENDENCYPART_SIBL
(12,10),(12,16),0.159805 # DEPENDENCYPART_SIBL
(12,10),(12,17),0.144954 # DEPENDENCYPART_SIBL
(12,11),(12,13),0.0912191 # DEPENDENCYPART_SIBL
(12,11),(12,16),0.165697 # DEPENDENCYPART_SIBL
(12,11),(12,17),0.150582 # DEPENDENCYPART_SIBL
(12,13),(12,16),-0.0374657 # DEPENDENCYPART_SIBL
(12,13),(12,17),-0.0359846 # DEPENDENCYPART_SIBL
(12,16),(12,17),0.00804976 # DEPENDENCYPART_SIBL
(13,1),(13,2),-0.037149 # DEPENDENCYPART_SIBL
(13,1),(13,4),-0.0337718 # DEPENDENCYPART_SIBL
(13,1),(13,5),-0.0337718 # DEPENDENCYPART_SIBL
(13,1),(13,6),0.0052946 # DEPENDENCYPART_SIBL
(13,1),(13,7),-0.0337718 # DEPENDENCYPART_SIBL
(13,1),(13,8),-0.0284395 # DEPENDENCYPART_SIBL
(13,1),(13,9),0.0382429 # DEPENDENCYPART_SIBL
(13,1),(13,10),0.00711317 # DEPENDENCYPART_SIBL
(13,1),(13,11),-0.0337718 # DEPENDENCYPART_SIBL
(13,1),(13,12),-0.0662408 # DEPENDENCYPART_SIBL
(13,1),(13,14),0.109038 # DEPENDENCYPART_SIBL
(13,1),(13,15),0.0178198 # DEPENDENCYPART_SIBL
(13,1),(13,16),-0.00219763 # DEPENDENCYPART_SIBL
(13,1),(13,17),-0.00427668 # DEPENDENCYPART_SIBL
(13,2),(13,4),-0.0513681 # DEPENDENCYPART_SIBL
(13,2),(13,5),-0.0513679 # DEPENDENCYPART_SIBL
(13,2),(13,6),0.0179339 # DEPENDENCYPART_SIBL
(13,2),(13,7),-0.0513679 # DEPENDENCYPART_SIBL
(13,2),(13,8),-0.00814045 # DEPENDENCYPART_SIBL
(13,2),(13,9),0.0389377 # DEPENDENCYPART_SIBL
(13,2),(13,10),0.00600151 # DEPENDENCYPART_SIBL
(13,2),(13,11),-0.0522394 # DEPENDENCYPART_SIBL
(13,2),(13,12),-0.0508612 # DEPENDENCYPART_SIBL
(13,2),(13,14),0.0116563 # DEPENDENCYPART_SIBL
(13,2),(13,15),0.0172717 # DEPENDENCYPART_SIBL
(13,2),(13,16),0.019335 # DEPENDENCYPART_SIBL
(13,2),(13,17),0.0195474 # DEPENDENCYPART_SIBL
(13,4),(13,5),-0.00604187 # DEPENDENCYPART_SIBL
(13,4),(13,6),-0.0232857 # DEPENDENCYPART_SIBL
(13,4),(13,7),-1.52864e-05 # DEPENDENCYPART_SIBL
(13,4),(13,8),-0.0367049 # DEPENDENCYPART_SIBL
(13,4),(13,9),0.0389771 # DEPENDENCYPART_SIBL
(13,4),(13,10),-0.000104876 # DEPENDENCYPART_SIBL
(13,4),(13,11),-0.000123182 # DEPENDENCYPART_SIBL
(13,4),(13,12),-0.0518421 # DEPENDENCYPART_SIBL
(13,4),(13,14),-0.0470213 # DEPENDENCYPART_SIBL
(13,4),(13,15),0.10561 # DEPENDENCYPART_SIBL
(13,4),(13,16),-0.0704159 # DEPENDENCYPART_SIBL
(13,4),(13,17),-0.0752166 # DEPENDENCYPART_SIBL
(13,5),(13,6),-0.0232857 # DEPENDENCYPART_SIBL
(13,5),(13,7),-0.00549595 # DEPENDENCYPART_SIBL
(13,5),(13,8),-0.0367049 # DEPENDENCYPART_SIBL
(13,5),(13,9),0.0399939 # DEPENDENCYPART_SIBL
(13,5),(13,10),-0.000104416 # DEPENDENCYPART_SIBL
(13,5),(13,11),-0.00560385 # DEPENDENCYPART_SIBL
(13,5),(13,12),-0.0518421 # DEPENDENCYPART_SIBL
(13,5),(13,14),-0.0452582 # DEPENDENCYPART_SIBL
(13,5),(13,15),0.105698 # DEPENDENCYPART_SIBL
(13,5),(13,16),-0.0700477 # DEPENDENCYPART_SIBL
(13,5),(13,17),-0.0748484 # DEPENDENCYPART_SIBL
(13,6),(13,7),-0.0645758 # DEPENDENCYPART_SIBL
(13,6),(13,8),-0.0245734 # DEPENDENCYPART_SIBL
(13,6),(13,9),-0.00899773 # DEPENDENCYPART_SIBL
(13,6),(13,10),-0.0227898 # DEPENDENCYPART_SIBL
(13,6),(13,11),-0.064818 # DEPENDENCYPART_SIBL
(13,6),(13,12),-0.0359593 # DEPENDENCYPART_SIBL
(13,6),(13,14),-0.00449198 # DEPENDENCYPART_SIBL
(13,6),(13,15),0.000771443 # DEPENDENCYPART_SIBL
(13,6),(13,16),-0.000685145 # DEPENDENCYPART_SIBL
(13,6),(13,17),7.20809e-06 # DEPENDENCYPART_SIBL
(13,7),(13,8),-0.0367049 # DEPENDENCYPART_SIBL
(13,7),(13,9),0.040462 # DEPENDENCYPART_SIBL
(13,7),(13,10),-0.000104416 # DEPENDENCYPART_SIBL
(13,7),(13,11),-0.00450418 # DEPENDENCYPART_SIBL
(13,7),(13,12),-0.0518421 # DEPENDENCYPART_SIBL
(13,7),(13,14),-0.0470213 # DEPENDENCYPART_SIBL
(13,7),(13,15),0.105698 # DEPENDENCYPART_SIBL
(13,7),(13,16),-0.0700477 # DEPENDENCYPART_SIBL
(13,7),(13,17),-0.0748484 # DEPENDENCYPART_SIBL
(13,8),(13,9),0.0322989 # DEPENDENCYPART_SIBL
(13,8),(13,10),0.00549917 # DEPENDENCYPART_SIBL
(13,8),(13,11),-0.0281249 # DEPENDENCYPART_SIBL
(13,8),(13,12),-0.0676618 # DEPENDENCYPART_SIBL
(13,8),(13,14),0.0936609 # DEPENDENCYPART_SIBL
(13,8),(13,15),0.00206776 # DEPENDENCYPART_SIBL
(13,8),(13,16),-0.0124634 # DEPENDENCYPART_SIBL
(13,8),(13,17),-0.0145423 # DEPENDENCYPART_SIBL
(13,9),(13,10),-0.0656948 # DEPENDENCYPART_SIBL
(13,9),(13,11),-0.219738 # DEPENDENCYPART_SIBL
(13,9),(13,12),-0.119705 # DEPENDENCYPART_SIBL
(13,9),(13,14),-0.0703644 # DEPENDENCYPART_SIBL
(13,9),(13,15),-0.118802 # DEPENDENCYPART_SIBL
(13,9),(13,16),0.0932714 # DEPENDENCYPART_SIBL
(13,9),(13,17),0.0893734 # DEPENDENCYPART_SIBL
(13,10),(13,11),-0.0183861 # DEPENDENCYPART_SIBL
(13,10),(13,12),-0.0171419 # DEPENDENCYPART_SIBL
(13,10),(13,14),-0.0449957 # DEPENDENCYPART_SIBL
(13,10),(13,15),-0.0573321 # DEPENDENCYPART_SIBL
(13,10),(13,16),-0.0345218 # DEPENDENCYPART_SIBL
(13,10),(13,17),-0.0410167 # DEPENDENCYPART_SIBL
(13,11),(13,12),-0.0518421 # DEPENDENCYPART_SIBL
(13,11),(13,14),-0.0470213 # DEPENDENCYPART_SIBL
(13,11),(13,15),0.105657 # DEPENDENCYPART_SIBL
(13,11),(13,16),-0.0713285 # DEPENDENCYPART_SIBL
