# _root_ haren iritziz , irtenbide onena " hemengo jendea lortzea da " ; eta hori erdietsi ezean , kanpotik ekartzeko aukera ez du baztertzen .
#goldHeads=10,1,2,10,4,5,8,9,10,13,10,11,0,15,23,15,16,19,20,23,23,23,13,23,
#predictedHeads=2,10,2,10,4,5,8,9,10,13,10,11,0,15,13,15,16,19,20,23,23,23,13,23,
(0,16),(0,23),-0.112634 # DEPENDENCYPART_SIBL
(0,16),(0,24),-0.174982 # DEPENDENCYPART_SIBL
(0,17),(0,18),-0.202026 # DEPENDENCYPART_SIBL
(0,17),(0,19),-0.293028 # DEPENDENCYPART_SIBL
(0,17),(0,20),-0.200132 # DEPENDENCYPART_SIBL
(0,17),(0,21),-0.107489 # DEPENDENCYPART_SIBL
(0,17),(0,22),-0.254856 # DEPENDENCYPART_SIBL
(0,17),(0,23),-0.286961 # DEPENDENCYPART_SIBL
(0,17),(0,24),-0.340789 # DEPENDENCYPART_SIBL
(0,18),(0,19),-0.112346 # DEPENDENCYPART_SIBL
(0,18),(0,20),0.0485788 # DEPENDENCYPART_SIBL
(0,18),(0,21),0.0553242 # DEPENDENCYPART_SIBL
(0,18),(0,22),-0.0730113 # DEPENDENCYPART_SIBL
(0,18),(0,23),-0.112699 # DEPENDENCYPART_SIBL
(0,18),(0,24),-0.174982 # DEPENDENCYPART_SIBL
(0,19),(0,20),-0.007757 # DEPENDENCYPART_SIBL
(0,19),(0,21),0.00430564 # DEPENDENCYPART_SIBL
(0,19),(0,22),-0.0101621 # DEPENDENCYPART_SIBL
(0,19),(0,23),-0.117486 # DEPENDENCYPART_SIBL
(0,19),(0,24),-0.0693041 # DEPENDENCYPART_SIBL
(0,20),(0,21),0.055276 # DEPENDENCYPART_SIBL
(0,20),(0,22),-0.0730502 # DEPENDENCYPART_SIBL
(0,20),(0,23),-0.113125 # DEPENDENCYPART_SIBL
(0,20),(0,24),-0.175021 # DEPENDENCYPART_SIBL
(0,21),(0,22),-0.0690317 # DEPENDENCYPART_SIBL
(0,21),(0,23),-0.0929403 # DEPENDENCYPART_SIBL
(0,21),(0,24),-0.0912671 # DEPENDENCYPART_SIBL
(0,22),(0,23),0.00580068 # DEPENDENCYPART_SIBL
(0,22),(0,24),-0.0585579 # DEPENDENCYPART_SIBL
(0,23),(0,24),-0.0699135 # DEPENDENCYPART_SIBL
(2,1),(2,3),0.0957867 # DEPENDENCYPART_SIBL
(2,1),(2,4),-0.0703807 # DEPENDENCYPART_SIBL
(2,1),(2,5),-0.0828938 # DEPENDENCYPART_SIBL
(2,3),(2,4),-0.0509835 # DEPENDENCYPART_SIBL
(2,3),(2,5),-0.0287797 # DEPENDENCYPART_SIBL
(2,4),(2,5),-0.00484008 # DEPENDENCYPART_SIBL
(3,4),(3,5),0.0473212 # DEPENDENCYPART_SIBL
(4,1),(4,2),0.0291167 # DEPENDENCYPART_SIBL
(4,1),(4,3),-0.0345407 # DEPENDENCYPART_SIBL
(4,1),(4,5),-0.0847676 # DEPENDENCYPART_SIBL
(4,1),(4,7),-0.05564 # DEPENDENCYPART_SIBL
(4,1),(4,8),-0.0722409 # DEPENDENCYPART_SIBL
(4,1),(4,9),-0.0407923 # DEPENDENCYPART_SIBL
(4,1),(4,13),-0.00844994 # DEPENDENCYPART_SIBL
(4,2),(4,3),-0.0215433 # DEPENDENCYPART_SIBL
(4,2),(4,5),-0.00988199 # DEPENDENCYPART_SIBL
(4,2),(4,7),-0.0315553 # DEPENDENCYPART_SIBL
(4,2),(4,8),-0.00964714 # DEPENDENCYPART_SIBL
(4,2),(4,9),0.0200981 # DEPENDENCYPART_SIBL
(4,2),(4,13),0.00577155 # DEPENDENCYPART_SIBL
(4,3),(4,5),-0.0283817 # DEPENDENCYPART_SIBL
(4,3),(4,7),-0.046404 # DEPENDENCYPART_SIBL
(4,3),(4,8),-0.056497 # DEPENDENCYPART_SIBL
(4,3),(4,9),-0.0382854 # DEPENDENCYPART_SIBL
(4,3),(4,13),-0.0342394 # DEPENDENCYPART_SIBL
(4,5),(4,7),0.0836858 # DEPENDENCYPART_SIBL
(4,5),(4,8),0.00301227 # DEPENDENCYPART_SIBL
(4,5),(4,9),-0.0329872 # DEPENDENCYPART_SIBL
(4,5),(4,13),-0.0651218 # DEPENDENCYPART_SIBL
(4,7),(4,8),0.0219422 # DEPENDENCYPART_SIBL
(4,7),(4,9),-0.00865431 # DEPENDENCYPART_SIBL
(4,7),(4,13),-0.000746532 # DEPENDENCYPART_SIBL
(4,8),(4,9),-0.0368367 # DEPENDENCYPART_SIBL
(4,8),(4,13),-0.00858744 # DEPENDENCYPART_SIBL
(4,9),(4,13),-0.00817209 # DEPENDENCYPART_SIBL
(5,2),(5,4),0.0603993 # DEPENDENCYPART_SIBL
(5,2),(5,6),-0.104386 # DEPENDENCYPART_SIBL
(5,2),(5,7),0.0206037 # DEPENDENCYPART_SIBL
(5,2),(5,8),0.0515064 # DEPENDENCYPART_SIBL
(5,4),(5,6),-0.100958 # DEPENDENCYPART_SIBL
(5,4),(5,7),0.0205928 # DEPENDENCYPART_SIBL
(5,4),(5,8),0.05004 # DEPENDENCYPART_SIBL
(5,6),(5,7),-0.0975994 # DEPENDENCYPART_SIBL
(5,6),(5,8),-0.0633636 # DEPENDENCYPART_SIBL
(5,7),(5,8),0.0243141 # DEPENDENCYPART_SIBL
(7,2),(7,4),0.0191668 # DEPENDENCYPART_SIBL
(7,2),(7,6),0.00776828 # DEPENDENCYPART_SIBL
(7,2),(7,8),0.0241358 # DEPENDENCYPART_SIBL
(7,4),(7,6),0.00776828 # DEPENDENCYPART_SIBL
(7,4),(7,8),0.0226746 # DEPENDENCYPART_SIBL
(7,6),(7,8),-0.00465233 # DEPENDENCYPART_SIBL
(8,1),(8,3),-0.0352792 # DEPENDENCYPART_SIBL
(8,1),(8,4),0.0268985 # DEPENDENCYPART_SIBL
(8,1),(8,5),0.0292858 # DEPENDENCYPART_SIBL
(8,1),(8,7),-0.00137305 # DEPENDENCYPART_SIBL
(8,1),(8,9),-0.0400528 # DEPENDENCYPART_SIBL
(8,1),(8,13),-0.00834676 # DEPENDENCYPART_SIBL
(8,3),(8,4),-0.116354 # DEPENDENCYPART_SIBL
(8,3),(8,5),-0.0404959 # DEPENDENCYPART_SIBL
(8,3),(8,7),-0.0486766 # DEPENDENCYPART_SIBL
(8,3),(8,9),-0.0378437 # DEPENDENCYPART_SIBL
(8,3),(8,13),-0.0342851 # DEPENDENCYPART_SIBL
(8,4),(8,5),0.00807831 # DEPENDENCYPART_SIBL
(8,4),(8,7),0.024695 # DEPENDENCYPART_SIBL
(8,4),(8,9),0.0212793 # DEPENDENCYPART_SIBL
(8,4),(8,13),0.0070985 # DEPENDENCYPART_SIBL
(8,5),(8,7),-0.00364223 # DEPENDENCYPART_SIBL
(8,5),(8,9),-0.0201036 # DEPENDENCYPART_SIBL
(8,5),(8,13),0.0100007 # DEPENDENCYPART_SIBL
(8,7),(8,9),0.0179043 # DEPENDENCYPART_SIBL
(8,7),(8,13),0.0234299 # DEPENDENCYPART_SIBL
(8,9),(8,13),-0.00815079 # DEPENDENCYPART_SIBL
(9,1),(9,2),-0.0259694 # DEPENDENCYPART_SIBL
(9,1),(9,3),-0.0784353 # DEPENDENCYPART_SIBL
(9,1),(9,4),-0.0249205 # DEPENDENCYPART_SIBL
(9,1),(9,5),-0.00138259 # DEPENDENCYPART_SIBL
(9,1),(9,7),-0.028518 # DEPENDENCYPART_SIBL
(9,1),(9,8),-0.0248913 # DEPENDENCYPART_SIBL
(9,1),(9,10),-0.0718068 # DEPENDENCYPART_SIBL
(9,1),(9,13),-0.0428916 # DEPENDENCYPART_SIBL
(9,1),(9,16),-0.0168653 # DEPENDENCYPART_SIBL
(9,1),(9,17),0.0216922 # DEPENDENCYPART_SIBL
(9,1),(9,19),-0.021159 # DEPENDENCYPART_SIBL
(9,1),(9,22),0.0182171 # DEPENDENCYPART_SIBL
(9,1),(9,23),-0.021566 # DEPENDENCYPART_SIBL
(9,2),(9,3),-0.0783074 # DEPENDENCYPART_SIBL
(9,2),(9,4),-0.0333308 # DEPENDENCYPART_SIBL
(9,2),(9,5),-0.0144518 # DEPENDENCYPART_SIBL
(9,2),(9,7),-0.0195296 # DEPENDENCYPART_SIBL
(9,2),(9,8),-0.0373546 # DEPENDENCYPART_SIBL
(9,2),(9,10),-0.0151042 # DEPENDENCYPART_SIBL
(9,2),(9,13),-0.0263964 # DEPENDENCYPART_SIBL
(9,2),(9,16),-0.0226401 # DEPENDENCYPART_SIBL
(9,2),(9,17),-0.00715062 # DEPENDENCYPART_SIBL
(9,2),(9,19),-0.00954638 # DEPENDENCYPART_SIBL
(9,2),(9,22),0.0176024 # DEPENDENCYPART_SIBL
(9,2),(9,23),-0.010289 # DEPENDENCYPART_SIBL
(9,3),(9,4),-0.181202 # DEPENDENCYPART_SIBL
(9,3),(9,5),-0.0941399 # DEPENDENCYPART_SIBL
(9,3),(9,7),-0.113318 # DEPENDENCYPART_SIBL
(9,3),(9,8),-0.181126 # DEPENDENCYPART_SIBL
(9,3),(9,10),-0.0313032 # DEPENDENCYPART_SIBL
(9,3),(9,13),-0.0452161 # DEPENDENCYPART_SIBL
(9,3),(9,16),-0.00343846 # DEPENDENCYPART_SIBL
(9,3),(9,17),-0.00866596 # DEPENDENCYPART_SIBL
(9,3),(9,19),-0.0159568 # DEPENDENCYPART_SIBL
(9,3),(9,22),-0.020448 # DEPENDENCYPART_SIBL
(9,3),(9,23),-0.0163646 # DEPENDENCYPART_SIBL
(9,4),(9,5),-0.0308017 # DEPENDENCYPART_SIBL
(9,4),(9,7),-0.0225236 # DEPENDENCYPART_SIBL
(9,4),(9,8),-0.049654 # DEPENDENCYPART_SIBL
(9,4),(9,10),-0.0267185 # DEPENDENCYPART_SIBL
(9,4),(9,13),-0.0303457 # DEPENDENCYPART_SIBL
(9,4),(9,16),-0.0293124 # DEPENDENCYPART_SIBL
(9,4),(9,17),-0.00536272 # DEPENDENCYPART_SIBL
(9,4),(9,19),-0.0137876 # DEPENDENCYPART_SIBL
(9,4),(9,22),0.00244574 # DEPENDENCYPART_SIBL
(9,4),(9,23),-0.0145302 # DEPENDENCYPART_SIBL
(9,5),(9,7),-0.0174991 # DEPENDENCYPART_SIBL
(9,5),(9,8),-0.00289785 # DEPENDENCYPART_SIBL
(9,5),(9,10),0.0167395 # DEPENDENCYPART_SIBL
(9,5),(9,13),-0.00185985 # DEPENDENCYPART_SIBL
(9,5),(9,16),-0.0125929 # DEPENDENCYPART_SIBL
(9,5),(9,17),-0.00140875 # DEPENDENCYPART_SIBL
(9,5),(9,19),-0.00183506 # DEPENDENCYPART_SIBL
(9,5),(9,22),0.00795747 # DEPENDENCYPART_SIBL
(9,5),(9,23),-0.00224267 # DEPENDENCYPART_SIBL
(9,7),(9,8),-0.0234691 # DEPENDENCYPART_SIBL
(9,7),(9,10),0.00399225 # DEPENDENCYPART_SIBL
(9,7),(9,13),-0.0188503 # DEPENDENCYPART_SIBL
(9,7),(9,16),-0.0104261 # DEPENDENCYPART_SIBL
(9,7),(9,17),-0.0232618 # DEPENDENCYPART_SIBL
(9,7),(9,19),-0.00256088 # DEPENDENCYPART_SIBL
(9,7),(9,22),0.0644256 # DEPENDENCYPART_SIBL
(9,7),(9,23),-0.00296786 # DEPENDENCYPART_SIBL
(9,8),(9,10),-0.0263442 # DEPENDENCYPART_SIBL
(9,8),(9,13),-0.0112351 # DEPENDENCYPART_SIBL
(9,8),(9,16),-0.0252252 # DEPENDENCYPART_SIBL
(9,8),(9,17),0.00453605 # DEPENDENCYPART_SIBL
(9,8),(9,19),-0.00896162 # DEPENDENCYPART_SIBL
(9,8),(9,22),0.00639494 # DEPENDENCYPART_SIBL
(9,8),(9,23),-0.00970422 # DEPENDENCYPART_SIBL
(9,10),(9,13),-0.0190534 # DEPENDENCYPART_SIBL
(9,10),(9,16),0.0639677 # DEPENDENCYPART_SIBL
(9,10),(9,17),0.0386069 # DEPENDENCYPART_SIBL
(9,10),(9,19),0.0545494 # DEPENDENCYPART_SIBL
(9,10),(9,22),0.0547844 # DEPENDENCYPART_SIBL
(9,10),(9,23),0.0545026 # DEPENDENCYPART_SIBL
(9,13),(9,16),0.00254334 # DEPENDENCYPART_SIBL
(9,13),(9,17),-0.0146065 # DEPENDENCYPART_SIBL
(9,13),(9,19),-0.0256206 # DEPENDENCYPART_SIBL
(9,13),(9,22),-0.00749703 # DEPENDENCYPART_SIBL
(9,13),(9,23),-0.0257467 # DEPENDENCYPART_SIBL
(9,16),(9,17),-0.0288352 # DEPENDENCYPART_SIBL
(9,16),(9,19),-0.0154352 # DEPENDENCYPART_SIBL
(9,16),(9,22),-0.00532082 # DEPENDENCYPART_SIBL
(9,16),(9,23),-0.0154813 # DEPENDENCYPART_SIBL
(9,17),(9,19),-0.0384297 # DEPENDENCYPART_SIBL
(9,17),(9,22),-0.0869888 # DEPENDENCYPART_SIBL
(9,17),(9,23),-0.0319055 # DEPENDENCYPART_SIBL
(9,19),(9,22),0.0638161 # DEPENDENCYPART_SIBL
(9,19),(9,23),-0.0221521 # DEPENDENCYPART_SIBL
(9,22),(9,23),0.0819266 # DEPENDENCYPART_SIBL
(10,1),(10,2),0.00272072 # DEPENDENCYPART_SIBL
(10,1),(10,3),-0.0338062 # DEPENDENCYPART_SIBL
(10,1),(10,4),0.0200259 # DEPENDENCYPART_SIBL
(10,1),(10,5),-0.00534898 # DEPENDENCYPART_SIBL
(10,1),(10,7),-0.0441515 # DEPENDENCYPART_SIBL
(10,1),(10,8),0.0036803 # DEPENDENCYPART_SIBL
(10,1),(10,9),0.00172241 # DEPENDENCYPART_SIBL
(10,1),(10,11),0.078194 # DEPENDENCYPART_SIBL
(10,1),(10,13),-0.0258757 # DEPENDENCYPART_SIBL
(10,1),(10,15),0.0319375 # DEPENDENCYPART_SIBL
(10,1),(10,16),0.0269008 # DEPENDENCYPART_SIBL
(10,1),(10,18),0.0262014 # DEPENDENCYPART_SIBL
(10,1),(10,19),0.0319375 # DEPENDENCYPART_SIBL
(10,1),(10,20),0.0423611 # DEPENDENCYPART_SIBL
(10,1),(10,22),-0.0112521 # DEPENDENCYPART_SIBL
(10,1),(10,23),0.0319337 # DEPENDENCYPART_SIBL
(10,2),(10,3),-0.0288948 # DEPENDENCYPART_SIBL
(10,2),(10,4),0.00378793 # DEPENDENCYPART_SIBL
(10,2),(10,5),-0.0238644 # DEPENDENCYPART_SIBL
(10,2),(10,7),-0.0369373 # DEPENDENCYPART_SIBL
(10,2),(10,8),-0.0146948 # DEPENDENCYPART_SIBL
(10,2),(10,9),-0.0101049 # DEPENDENCYPART_SIBL
(10,2),(10,11),-0.0796783 # DEPENDENCYPART_SIBL
(10,2),(10,13),-0.029148 # DEPENDENCYPART_SIBL
(10,2),(10,15),0.0329393 # DEPENDENCYPART_SIBL
(10,2),(10,16),0.00129896 # DEPENDENCYPART_SIBL
(10,2),(10,18),-0.00166298 # DEPENDENCYPART_SIBL
(10,2),(10,19),0.0329393 # DEPENDENCYPART_SIBL
(10,2),(10,20),0.00515422 # DEPENDENCYPART_SIBL
(10,2),(10,22),-0.0134901 # DEPENDENCYPART_SIBL
(10,2),(10,23),0.0326619 # DEPENDENCYPART_SIBL
(10,3),(10,4),-0.088757 # DEPENDENCYPART_SIBL
(10,3),(10,5),-0.0726761 # DEPENDENCYPART_SIBL
(10,3),(10,7),-0.0643145 # DEPENDENCYPART_SIBL
(10,3),(10,8),-0.105079 # DEPENDENCYPART_SIBL
(10,3),(10,9),-0.0820637 # DEPENDENCYPART_SIBL
(10,3),(10,11),-0.0852095 # DEPENDENCYPART_SIBL
(10,3),(10,13),-0.0668875 # DEPENDENCYPART_SIBL
(10,3),(10,15),-0.0359046 # DEPENDENCYPART_SIBL
(10,3),(10,16),-0.0598747 # DEPENDENCYPART_SIBL
(10,3),(10,18),-0.0605738 # DEPENDENCYPART_SIBL
(10,3),(10,19),-0.0359046 # DEPENDENCYPART_SIBL
(10,3),(10,20),-0.0511103 # DEPENDENCYPART_SIBL
(10,3),(10,22),-0.0668186 # DEPENDENCYPART_SIBL
(10,3),(10,23),-0.0359092 # DEPENDENCYPART_SIBL
(10,4),(10,5),-0.0549559 # DEPENDENCYPART_SIBL
(10,4),(10,7),-0.0512471 # DEPENDENCYPART_SIBL
(10,4),(10,8),-0.0410588 # DEPENDENCYPART_SIBL
(10,4),(10,9),-0.0144332 # DEPENDENCYPART_SIBL
(10,4),(10,11),-0.0771832 # DEPENDENCYPART_SIBL
(10,4),(10,13),-0.0347658 # DEPENDENCYPART_SIBL
(10,4),(10,15),0.0206083 # DEPENDENCYPART_SIBL
(10,4),(10,16),-0.0103972 # DEPENDENCYPART_SIBL
(10,4),(10,18),-0.0133591 # DEPENDENCYPART_SIBL
(10,4),(10,19),0.0206083 # DEPENDENCYPART_SIBL
(10,4),(10,20),-0.00654193 # DEPENDENCYPART_SIBL
(10,4),(10,22),-0.0247129 # DEPENDENCYPART_SIBL
(10,4),(10,23),0.0203309 # DEPENDENCYPART_SIBL
(10,5),(10,7),-0.00578204 # DEPENDENCYPART_SIBL
(10,5),(10,8),-0.00763951 # DEPENDENCYPART_SIBL
(10,5),(10,9),-0.0227573 # DEPENDENCYPART_SIBL
(10,5),(10,11),0.00212608 # DEPENDENCYPART_SIBL
(10,5),(10,13),-0.0180484 # DEPENDENCYPART_SIBL
(10,5),(10,15),0.0587167 # DEPENDENCYPART_SIBL
(10,5),(10,16),-0.0122629 # DEPENDENCYPART_SIBL
(10,5),(10,18),-0.012962 # DEPENDENCYPART_SIBL
(10,5),(10,19),0.0587167 # DEPENDENCYPART_SIBL
(10,5),(10,20),-0.00401946 # DEPENDENCYPART_SIBL
(10,5),(10,22),-0.0204223 # DEPENDENCYPART_SIBL
(10,5),(10,23),0.058711 # DEPENDENCYPART_SIBL
(10,7),(10,8),-0.0137045 # DEPENDENCYPART_SIBL
(10,7),(10,9),-0.0622445 # DEPENDENCYPART_SIBL
(10,7),(10,11),-0.0640111 # DEPENDENCYPART_SIBL
(10,7),(10,13),-0.0171312 # DEPENDENCYPART_SIBL
(10,7),(10,15),0.0103111 # DEPENDENCYPART_SIBL
(10,7),(10,16),0.0029412 # DEPENDENCYPART_SIBL
(10,7),(10,18),0.00234833 # DEPENDENCYPART_SIBL
(10,7),(10,19),0.0103111 # DEPENDENCYPART_SIBL
(10,7),(10,20),0.0180628 # DEPENDENCYPART_SIBL
(10,7),(10,22),-0.0139585 # DEPENDENCYPART_SIBL
(10,7),(10,23),0.0103073 # DEPENDENCYPART_SIBL
(10,8),(10,9),-0.0183748 # DEPENDENCYPART_SIBL
(10,8),(10,11),-0.0878493 # DEPENDENCYPART_SIBL
(10,8),(10,13),-0.0350276 # DEPENDENCYPART_SIBL
(10,8),(10,15),0.00849767 # DEPENDENCYPART_SIBL
(10,8),(10,16),-0.0163026 # DEPENDENCYPART_SIBL
(10,8),(10,18),-0.0192646 # DEPENDENCYPART_SIBL
(10,8),(10,19),0.00849767 # DEPENDENCYPART_SIBL
(10,8),(10,20),-0.0124474 # DEPENDENCYPART_SIBL
(10,8),(10,22),-0.0325554 # DEPENDENCYPART_SIBL
(10,8),(10,23),0.00822026 # DEPENDENCYPART_SIBL
(10,9),(10,11),0.0514508 # DEPENDENCYPART_SIBL
(10,9),(10,13),0.0477102 # DEPENDENCYPART_SIBL
(10,9),(10,15),0.000460446 # DEPENDENCYPART_SIBL
(10,9),(10,16),0.0147752 # DEPENDENCYPART_SIBL
(10,9),(10,18),0.0140555 # DEPENDENCYPART_SIBL
(10,9),(10,19),0.000460446 # DEPENDENCYPART_SIBL
(10,9),(10,20),0.0254941 # DEPENDENCYPART_SIBL
(10,9),(10,22),0.0140892 # DEPENDENCYPART_SIBL
(10,9),(10,23),0.00195734 # DEPENDENCYPART_SIBL
(10,11),(10,13),-0.0388484 # DEPENDENCYPART_SIBL
(10,11),(10,15),0.0419382 # DEPENDENCYPART_SIBL
(10,11),(10,16),-0.0201424 # DEPENDENCYPART_SIBL
(10,11),(10,18),-0.0204203 # DEPENDENCYPART_SIBL
(10,11),(10,19),0.0436081 # DEPENDENCYPART_SIBL
(10,11),(10,20),-0.00145618 # DEPENDENCYPART_SIBL
(10,11),(10,22),-0.0123196 # DEPENDENCYPART_SIBL
(10,11),(10,23),0.0467787 # DEPENDENCYPART_SIBL
(10,13),(10,15),-0.0845947 # DEPENDENCYPART_SIBL
(10,13),(10,16),-0.0251335 # DEPENDENCYPART_SIBL
(10,13),(10,18),-0.0266842 # DEPENDENCYPART_SIBL
(10,13),(10,19),-0.0741646 # DEPENDENCYPART_SIBL
(10,13),(10,20),-0.022101 # DEPENDENCYPART_SIBL
(10,13),(10,22),-0.0386333 # DEPENDENCYPART_SIBL
(10,13),(10,23),-0.074246 # DEPENDENCYPART_SIBL
(10,15),(10,16),0.0041444 # DEPENDENCYPART_SIBL
(10,15),(10,18),0.00386648 # DEPENDENCYPART_SIBL
(10,15),(10,19),-0.027361 # DEPENDENCYPART_SIBL
(10,15),(10,20),0.00662366 # DEPENDENCYPART_SIBL
(10,15),(10,22),0.0137512 # DEPENDENCYPART_SIBL
(10,15),(10,23),-0.0273623 # DEPENDENCYPART_SIBL
(10,16),(10,18),-0.00882074 # DEPENDENCYPART_SIBL
(10,16),(10,19),-0.0272028 # DEPENDENCYPART_SIBL
(10,16),(10,20),-0.00545296 # DEPENDENCYPART_SIBL
(10,16),(10,22),-0.00963126 # DEPENDENCYPART_SIBL
(10,16),(10,23),-0.027204 # DEPENDENCYPART_SIBL
(10,18),(10,19),-0.0272691 # DEPENDENCYPART_SIBL
(10,18),(10,20),-0.00556289 # DEPENDENCYPART_SIBL
(10,18),(10,22),-0.00963236 # DEPENDENCYPART_SIBL
(10,18),(10,23),-0.0272704 # DEPENDENCYPART_SIBL
(10,19),(10,20),0.00662366 # DEPENDENCYPART_SIBL
(10,19),(10,22),0.0139768 # DEPENDENCYPART_SIBL
(10,19),(10,23),-0.0264105 # DEPENDENCYPART_SIBL
(10,20),(10,22),-0.0102632 # DEPENDENCYPART_SIBL
(10,20),(10,23),-0.0287363 # DEPENDENCYPART_SIBL
(10,22),(10,23),0.00182468 # DEPENDENCYPART_SIBL
(11,10),(11,12),0.0403925 # DEPENDENCYPART_SIBL
(11,10),(11,23),0.186079 # DEPENDENCYPART_SIBL
(11,12),(11,23),0.0125423 # DEPENDENCYPART_SIBL
(12,9),(12,10),-0.0161639 # DEPENDENCYPART_SIBL
(12,9),(12,23),0.205709 # DEPENDENCYPART_SIBL
(12,10),(12,23),0.254063 # DEPENDENCYPART_SIBL
(13,1),(13,2),-0.0338108 # DEPENDENCYPART_SIBL
(13,1),(13,4),-0.033818 # DEPENDENCYPART_SIBL
(13,1),(13,7),-0.0368817 # DEPENDENCYPART_SIBL
(13,1),(13,8),-0.033847 # DEPENDENCYPART_SIBL
(13,1),(13,9),0.0180818 # DEPENDENCYPART_SIBL
(13,1),(13,10),-0.00873397 # DEPENDENCYPART_SIBL
(13,1),(13,14),0.109038 # DEPENDENCYPART_SIBL
(13,1),(13,15),-0.0104589 # DEPENDENCYPART_SIBL
(13,1),(13,16),0.00115684 # DEPENDENCYPART_SIBL
(13,1),(13,17),0.0316012 # DEPENDENCYPART_SIBL
(13,1),(13,18),-0.00106879 # DEPENDENCYPART_SIBL
(13,1),(13,19),-0.0104589 # DEPENDENCYPART_SIBL
(13,1),(13,20),-0.000243901 # DEPENDENCYPART_SIBL
(13,1),(13,23),-0.00176849 # DEPENDENCYPART_SIBL
(13,2),(13,4),-0.00066817 # DEPENDENCYPART_SIBL
(13,2),(13,7),-0.00958075 # DEPENDENCYPART_SIBL
(13,2),(13,8),-0.00284092 # DEPENDENCYPART_SIBL
(13,2),(13,9),0.00186294 # DEPENDENCYPART_SIBL
(13,2),(13,10),-0.0138515 # DEPENDENCYPART_SIBL
(13,2),(13,14),-0.0491817 # DEPENDENCYPART_SIBL
(13,2),(13,15),-0.0794196 # DEPENDENCYPART_SIBL
(13,2),(13,16),0.0574809 # DEPENDENCYPART_SIBL
(13,2),(13,17),-0.0831973 # DEPENDENCYPART_SIBL
(13,2),(13,18),0.0513398 # DEPENDENCYPART_SIBL
(13,2),(13,19),-0.0794196 # DEPENDENCYPART_SIBL
(13,2),(13,20),0.0416439 # DEPENDENCYPART_SIBL
(13,2),(13,23),-0.0714106 # DEPENDENCYPART_SIBL
(13,4),(13,7),-0.00781057 # DEPENDENCYPART_SIBL
(13,4),(13,8),-0.00611181 # DEPENDENCYPART_SIBL
(13,4),(13,9),0.00935376 # DEPENDENCYPART_SIBL
(13,4),(13,10),-0.0118905 # DEPENDENCYPART_SIBL
(13,4),(13,14),-0.0470213 # DEPENDENCYPART_SIBL
(13,4),(13,15),-0.0772341 # DEPENDENCYPART_SIBL
(13,4),(13,16),0.0595499 # DEPENDENCYPART_SIBL
(13,4),(13,17),-0.0769411 # DEPENDENCYPART_SIBL
(13,4),(13,18),0.0534088 # DEPENDENCYPART_SIBL
(13,4),(13,19),-0.0772341 # DEPENDENCYPART_SIBL
(13,4),(13,20),0.0437128 # DEPENDENCYPART_SIBL
(13,4),(13,23),-0.069225 # DEPENDENCYPART_SIBL
(13,7),(13,8),-0.0734733 # DEPENDENCYPART_SIBL
(13,7),(13,9),0.00973349 # DEPENDENCYPART_SIBL
(13,7),(13,10),0.0245309 # DEPENDENCYPART_SIBL
(13,7),(13,14),0.0014872 # DEPENDENCYPART_SIBL
(13,7),(13,15),-0.014565 # DEPENDENCYPART_SIBL
(13,7),(13,16),7.36019e-05 # DEPENDENCYPART_SIBL
(13,7),(13,17),-0.0375423 # DEPENDENCYPART_SIBL
(13,7),(13,18),-0.00204541 # DEPENDENCYPART_SIBL
(13,7),(13,19),-0.014565 # DEPENDENCYPART_SIBL
(13,7),(13,20),0.00231915 # DEPENDENCYPART_SIBL
(13,7),(13,23),-0.00587458 # DEPENDENCYPART_SIBL
(13,8),(13,9),0.00539926 # DEPENDENCYPART_SIBL
(13,8),(13,10),-0.0126959 # DEPENDENCYPART_SIBL
(13,8),(13,14),-0.0488905 # DEPENDENCYPART_SIBL
(13,8),(13,15),-0.0785712 # DEPENDENCYPART_SIBL
(13,8),(13,16),0.0591427 # DEPENDENCYPART_SIBL
(13,8),(13,17),-0.0771843 # DEPENDENCYPART_SIBL
(13,8),(13,18),0.0530016 # DEPENDENCYPART_SIBL
(13,8),(13,19),-0.0785712 # DEPENDENCYPART_SIBL
(13,8),(13,20),0.0433057 # DEPENDENCYPART_SIBL
(13,8),(13,23),-0.0705621 # DEPENDENCYPART_SIBL
(13,9),(13,10),-0.0469004 # DEPENDENCYPART_SIBL
(13,9),(13,14),-0.0765919 # DEPENDENCYPART_SIBL
(13,9),(13,15),0.0712369 # DEPENDENCYPART_SIBL
(13,9),(13,16),-0.145296 # DEPENDENCYPART_SIBL
(13,9),(13,17),0.000618628 # DEPENDENCYPART_SIBL
(13,9),(13,18),-0.147531 # DEPENDENCYPART_SIBL
(13,9),(13,19),0.0712369 # DEPENDENCYPART_SIBL
(13,9),(13,20),-0.150084 # DEPENDENCYPART_SIBL
(13,9),(13,23),0.0845009 # DEPENDENCYPART_SIBL
(13,10),(13,14),-0.00556292 # DEPENDENCYPART_SIBL
(13,10),(13,15),0.0516008 # DEPENDENCYPART_SIBL
(13,10),(13,16),-0.0234227 # DEPENDENCYPART_SIBL
(13,10),(13,17),0.0117248 # DEPENDENCYPART_SIBL
(13,10),(13,18),-0.0256479 # DEPENDENCYPART_SIBL
(13,10),(13,19),0.0516008 # DEPENDENCYPART_SIBL
(13,10),(13,20),-0.027755 # DEPENDENCYPART_SIBL
