# _root_ bestalde , donostiako manifestaldian izan zen " batasuna " azpimarratu zuen elortzak , eta " demokraten batasun hori berriz eskuratu " behar dela uste_du .
#goldHeads=0,3,4,5,8,5,6,10,8,14,10,10,12,0,14,17,20,17,20,22,20,24,22,14,24,
#predictedHeads=0,3,4,5,0,5,6,10,8,14,10,10,12,0,14,17,20,17,20,24,20,23,24,14,24,
(0,18),(0,25),-0.152674 # DEPENDENCYPART_SIBL
(0,19),(0,20),0.0500824 # DEPENDENCYPART_SIBL
(0,19),(0,21),-0.0858801 # DEPENDENCYPART_SIBL
(0,19),(0,22),0.0950967 # DEPENDENCYPART_SIBL
(0,19),(0,23),0.0396008 # DEPENDENCYPART_SIBL
(0,19),(0,24),0.0245292 # DEPENDENCYPART_SIBL
(0,19),(0,25),-0.0658691 # DEPENDENCYPART_SIBL
(0,20),(0,21),-0.0808903 # DEPENDENCYPART_SIBL
(0,20),(0,22),0.0211855 # DEPENDENCYPART_SIBL
(0,20),(0,23),-0.0517706 # DEPENDENCYPART_SIBL
(0,20),(0,24),-0.143297 # DEPENDENCYPART_SIBL
(0,20),(0,25),-0.0693041 # DEPENDENCYPART_SIBL
(0,21),(0,22),-0.00906607 # DEPENDENCYPART_SIBL
(0,21),(0,23),-0.0787469 # DEPENDENCYPART_SIBL
(0,21),(0,24),-0.105182 # DEPENDENCYPART_SIBL
(0,21),(0,25),-0.161528 # DEPENDENCYPART_SIBL
(0,22),(0,23),-0.0534703 # DEPENDENCYPART_SIBL
(0,22),(0,24),-0.133531 # DEPENDENCYPART_SIBL
(0,22),(0,25),-0.0850975 # DEPENDENCYPART_SIBL
(0,23),(0,24),-0.213473 # DEPENDENCYPART_SIBL
(0,23),(0,25),-0.112069 # DEPENDENCYPART_SIBL
(0,24),(0,25),-0.0710332 # DEPENDENCYPART_SIBL
(1,2),(1,4),-0.0581947 # DEPENDENCYPART_SIBL
(1,2),(1,5),-0.0969375 # DEPENDENCYPART_SIBL
(1,4),(1,5),-0.120076 # DEPENDENCYPART_SIBL
(2,5),(2,24),0.0126846 # DEPENDENCYPART_SIBL
(3,2),(3,4),-0.0562268 # DEPENDENCYPART_SIBL
(4,2),(4,3),-0.115618 # DEPENDENCYPART_SIBL
(4,2),(4,5),-0.0462765 # DEPENDENCYPART_SIBL
(4,2),(4,6),0.00960198 # DEPENDENCYPART_SIBL
(4,2),(4,8),-0.0562285 # DEPENDENCYPART_SIBL
(4,2),(4,11),0.0334705 # DEPENDENCYPART_SIBL
(4,2),(4,24),-0.0377173 # DEPENDENCYPART_SIBL
(4,3),(4,5),0.0131279 # DEPENDENCYPART_SIBL
(4,3),(4,6),0.0313076 # DEPENDENCYPART_SIBL
(4,3),(4,8),-0.00883078 # DEPENDENCYPART_SIBL
(4,3),(4,11),0.0658952 # DEPENDENCYPART_SIBL
(4,3),(4,24),0.0184338 # DEPENDENCYPART_SIBL
(4,5),(4,6),0.0735482 # DEPENDENCYPART_SIBL
(4,5),(4,8),0.0204561 # DEPENDENCYPART_SIBL
(4,5),(4,11),0.0878789 # DEPENDENCYPART_SIBL
(4,5),(4,24),-0.0226571 # DEPENDENCYPART_SIBL
(4,6),(4,8),0.0495731 # DEPENDENCYPART_SIBL
(4,6),(4,11),-0.0591334 # DEPENDENCYPART_SIBL
(4,6),(4,24),0.0406949 # DEPENDENCYPART_SIBL
(4,8),(4,11),0.00871144 # DEPENDENCYPART_SIBL
(4,8),(4,24),-0.0325269 # DEPENDENCYPART_SIBL
(4,11),(4,24),0.0281953 # DEPENDENCYPART_SIBL
(5,1),(5,2),-0.0685031 # DEPENDENCYPART_SIBL
(5,1),(5,3),-0.0971377 # DEPENDENCYPART_SIBL
(5,1),(5,4),-0.0971377 # DEPENDENCYPART_SIBL
(5,1),(5,6),-0.0326999 # DEPENDENCYPART_SIBL
(5,1),(5,8),0.0272079 # DEPENDENCYPART_SIBL
(5,1),(5,10),-0.0048747 # DEPENDENCYPART_SIBL
(5,1),(5,11),-0.041743 # DEPENDENCYPART_SIBL
(5,1),(5,12),0.0295412 # DEPENDENCYPART_SIBL
(5,1),(5,13),-0.0195147 # DEPENDENCYPART_SIBL
(5,1),(5,14),-0.0165451 # DEPENDENCYPART_SIBL
(5,1),(5,20),-0.00478309 # DEPENDENCYPART_SIBL
(5,1),(5,23),-0.0699202 # DEPENDENCYPART_SIBL
(5,2),(5,3),-0.18269 # DEPENDENCYPART_SIBL
(5,2),(5,4),-0.18269 # DEPENDENCYPART_SIBL
(5,2),(5,6),-0.00178959 # DEPENDENCYPART_SIBL
(5,2),(5,8),0.00198321 # DEPENDENCYPART_SIBL
(5,2),(5,10),-0.011682 # DEPENDENCYPART_SIBL
(5,2),(5,11),0.0631517 # DEPENDENCYPART_SIBL
(5,2),(5,12),0.00364072 # DEPENDENCYPART_SIBL
(5,2),(5,13),-0.0109306 # DEPENDENCYPART_SIBL
(5,2),(5,14),-0.0634214 # DEPENDENCYPART_SIBL
(5,2),(5,20),-0.0116172 # DEPENDENCYPART_SIBL
(5,2),(5,23),-0.0354483 # DEPENDENCYPART_SIBL
(5,3),(5,4),-0.0288112 # DEPENDENCYPART_SIBL
(5,3),(5,6),-0.0156723 # DEPENDENCYPART_SIBL
(5,3),(5,8),-0.0109684 # DEPENDENCYPART_SIBL
(5,3),(5,10),0.0310884 # DEPENDENCYPART_SIBL
(5,3),(5,11),0.0248781 # DEPENDENCYPART_SIBL
(5,3),(5,12),-0.00509501 # DEPENDENCYPART_SIBL
(5,3),(5,13),0.0393143 # DEPENDENCYPART_SIBL
(5,3),(5,14),-0.0288563 # DEPENDENCYPART_SIBL
(5,3),(5,20),0.0312194 # DEPENDENCYPART_SIBL
(5,3),(5,23),-0.0140073 # DEPENDENCYPART_SIBL
(5,4),(5,6),-0.0156709 # DEPENDENCYPART_SIBL
(5,4),(5,8),-0.0109645 # DEPENDENCYPART_SIBL
(5,4),(5,10),0.0310892 # DEPENDENCYPART_SIBL
(5,4),(5,11),0.0248795 # DEPENDENCYPART_SIBL
(5,4),(5,12),-0.00509113 # DEPENDENCYPART_SIBL
(5,4),(5,13),0.0391094 # DEPENDENCYPART_SIBL
(5,4),(5,14),-0.0288558 # DEPENDENCYPART_SIBL
(5,4),(5,20),0.0312201 # DEPENDENCYPART_SIBL
(5,4),(5,23),-0.0140068 # DEPENDENCYPART_SIBL
(5,6),(5,8),0.0215589 # DEPENDENCYPART_SIBL
(5,6),(5,10),0.0555624 # DEPENDENCYPART_SIBL
(5,6),(5,11),-0.189993 # DEPENDENCYPART_SIBL
(5,6),(5,12),0.0250832 # DEPENDENCYPART_SIBL
(5,6),(5,13),-0.0581796 # DEPENDENCYPART_SIBL
(5,6),(5,14),-0.0887708 # DEPENDENCYPART_SIBL
(5,6),(5,20),0.0556131 # DEPENDENCYPART_SIBL
(5,6),(5,23),-0.032193 # DEPENDENCYPART_SIBL
(5,8),(5,10),-0.0201875 # DEPENDENCYPART_SIBL
(5,8),(5,11),-0.053744 # DEPENDENCYPART_SIBL
(5,8),(5,12),-0.0560679 # DEPENDENCYPART_SIBL
(5,8),(5,13),-0.0458699 # DEPENDENCYPART_SIBL
(5,8),(5,14),-0.0353554 # DEPENDENCYPART_SIBL
(5,8),(5,20),-0.0176943 # DEPENDENCYPART_SIBL
(5,8),(5,23),-0.10641 # DEPENDENCYPART_SIBL
(5,10),(5,11),-0.0171144 # DEPENDENCYPART_SIBL
(5,10),(5,12),-0.0683343 # DEPENDENCYPART_SIBL
(5,10),(5,13),-0.0611112 # DEPENDENCYPART_SIBL
(5,10),(5,14),-0.0567162 # DEPENDENCYPART_SIBL
(5,10),(5,20),-0.0225672 # DEPENDENCYPART_SIBL
(5,10),(5,23),-0.0635778 # DEPENDENCYPART_SIBL
(5,11),(5,12),-0.0105118 # DEPENDENCYPART_SIBL
(5,11),(5,13),-0.0955142 # DEPENDENCYPART_SIBL
(5,11),(5,14),-0.0138652 # DEPENDENCYPART_SIBL
(5,11),(5,20),-0.0125729 # DEPENDENCYPART_SIBL
(5,11),(5,23),-0.0394429 # DEPENDENCYPART_SIBL
(5,12),(5,13),-0.0449954 # DEPENDENCYPART_SIBL
(5,12),(5,14),-0.0337222 # DEPENDENCYPART_SIBL
(5,12),(5,20),-0.0161784 # DEPENDENCYPART_SIBL
(5,12),(5,23),-0.105535 # DEPENDENCYPART_SIBL
(5,13),(5,14),-0.0576156 # DEPENDENCYPART_SIBL
(5,13),(5,20),-0.0331751 # DEPENDENCYPART_SIBL
(5,13),(5,23),-0.061561 # DEPENDENCYPART_SIBL
(5,14),(5,20),-0.0260743 # DEPENDENCYPART_SIBL
(5,14),(5,23),-0.0699959 # DEPENDENCYPART_SIBL
(5,20),(5,23),-0.0635778 # DEPENDENCYPART_SIBL
(6,3),(6,4),0.0623041 # DEPENDENCYPART_SIBL
(6,3),(6,7),-0.0142305 # DEPENDENCYPART_SIBL
(6,3),(6,8),0.0805728 # DEPENDENCYPART_SIBL
(6,3),(6,11),0.0650047 # DEPENDENCYPART_SIBL
(6,4),(6,7),-0.0144332 # DEPENDENCYPART_SIBL
(6,4),(6,8),0.0805816 # DEPENDENCYPART_SIBL
(6,4),(6,11),0.0650079 # DEPENDENCYPART_SIBL
(6,7),(6,8),-0.0242952 # DEPENDENCYPART_SIBL
(6,7),(6,11),-0.0375648 # DEPENDENCYPART_SIBL
(6,8),(6,11),-0.00495101 # DEPENDENCYPART_SIBL
(7,3),(7,8),0.161573 # DEPENDENCYPART_SIBL
(7,3),(7,10),0.0865019 # DEPENDENCYPART_SIBL
(7,8),(7,10),-0.0173999 # DEPENDENCYPART_SIBL
(8,2),(8,3),-0.116008 # DEPENDENCYPART_SIBL
(8,2),(8,4),-0.116005 # DEPENDENCYPART_SIBL
(8,2),(8,5),-0.107122 # DEPENDENCYPART_SIBL
(8,2),(8,6),-0.0529587 # DEPENDENCYPART_SIBL
(8,2),(8,7),-0.0615541 # DEPENDENCYPART_SIBL
(8,2),(8,9),0.0377383 # DEPENDENCYPART_SIBL
(8,2),(8,10),-0.0385509 # DEPENDENCYPART_SIBL
(8,2),(8,11),0.033408 # DEPENDENCYPART_SIBL
(8,2),(8,12),-0.0562332 # DEPENDENCYPART_SIBL
(8,2),(8,24),-0.0388098 # DEPENDENCYPART_SIBL
(8,3),(8,4),-0.00888076 # DEPENDENCYPART_SIBL
(8,3),(8,5),0.00167762 # DEPENDENCYPART_SIBL
(8,3),(8,6),-0.00845261 # DEPENDENCYPART_SIBL
(8,3),(8,7),0.0112901 # DEPENDENCYPART_SIBL
(8,3),(8,9),0.108956 # DEPENDENCYPART_SIBL
(8,3),(8,10),0.0193102 # DEPENDENCYPART_SIBL
(8,3),(8,11),0.0661886 # DEPENDENCYPART_SIBL
(8,3),(8,12),-0.00490929 # DEPENDENCYPART_SIBL
(8,3),(8,24),0.0169182 # DEPENDENCYPART_SIBL
(8,4),(8,5),0.00167766 # DEPENDENCYPART_SIBL
(8,4),(8,6),-0.00845259 # DEPENDENCYPART_SIBL
(8,4),(8,7),0.0112901 # DEPENDENCYPART_SIBL
(8,4),(8,9),0.10834 # DEPENDENCYPART_SIBL
(8,4),(8,10),0.0191058 # DEPENDENCYPART_SIBL
(8,4),(8,11),0.0659842 # DEPENDENCYPART_SIBL
(8,4),(8,12),-0.00511071 # DEPENDENCYPART_SIBL
(8,4),(8,24),0.0167138 # DEPENDENCYPART_SIBL
(8,5),(8,6),-0.0252737 # DEPENDENCYPART_SIBL
(8,5),(8,7),-0.00413699 # DEPENDENCYPART_SIBL
(8,5),(8,9),0.152409 # DEPENDENCYPART_SIBL
(8,5),(8,10),-0.0251098 # DEPENDENCYPART_SIBL
(8,5),(8,11),0.0606796 # DEPENDENCYPART_SIBL
(8,5),(8,12),-0.0235922 # DEPENDENCYPART_SIBL
(8,5),(8,24),-0.0263646 # DEPENDENCYPART_SIBL
(8,6),(8,7),-0.00616693 # DEPENDENCYPART_SIBL
(8,6),(8,9),0.0913012 # DEPENDENCYPART_SIBL
(8,6),(8,10),0.000851038 # DEPENDENCYPART_SIBL
(8,6),(8,11),-0.0411569 # DEPENDENCYPART_SIBL
(8,6),(8,12),-0.0349633 # DEPENDENCYPART_SIBL
(8,6),(8,24),0.000595582 # DEPENDENCYPART_SIBL
(8,7),(8,9),0.0364391 # DEPENDENCYPART_SIBL
(8,7),(8,10),-0.0274039 # DEPENDENCYPART_SIBL
(8,7),(8,11),0.0324204 # DEPENDENCYPART_SIBL
(8,7),(8,12),-0.0442232 # DEPENDENCYPART_SIBL
(8,7),(8,24),-0.0276629 # DEPENDENCYPART_SIBL
(8,9),(8,10),0.0579703 # DEPENDENCYPART_SIBL
(8,9),(8,11),-0.0135125 # DEPENDENCYPART_SIBL
(8,9),(8,12),-0.0233971 # DEPENDENCYPART_SIBL
(8,9),(8,24),0.0317989 # DEPENDENCYPART_SIBL
(8,10),(8,11),0.0554504 # DEPENDENCYPART_SIBL
(8,10),(8,12),-0.00661895 # DEPENDENCYPART_SIBL
(8,10),(8,24),-0.0105401 # DEPENDENCYPART_SIBL
(8,11),(8,12),0.0456645 # DEPENDENCYPART_SIBL
(8,11),(8,24),0.0281942 # DEPENDENCYPART_SIBL
(8,12),(8,24),-0.0322071 # DEPENDENCYPART_SIBL
(9,10),(9,11),0.0256828 # DEPENDENCYPART_SIBL
(10,1),(10,2),-0.0706342 # DEPENDENCYPART_SIBL
(10,1),(10,3),-0.102877 # DEPENDENCYPART_SIBL
(10,1),(10,4),-0.102877 # DEPENDENCYPART_SIBL
(10,1),(10,5),-0.0025318 # DEPENDENCYPART_SIBL
(10,1),(10,6),-0.022228 # DEPENDENCYPART_SIBL
(10,1),(10,8),-0.104879 # DEPENDENCYPART_SIBL
(10,1),(10,11),-0.0205164 # DEPENDENCYPART_SIBL
(10,1),(10,12),0.00215537 # DEPENDENCYPART_SIBL
(10,1),(10,13),-0.00629929 # DEPENDENCYPART_SIBL
(10,1),(10,14),-0.000201986 # DEPENDENCYPART_SIBL
(10,1),(10,16),0.00126963 # DEPENDENCYPART_SIBL
(10,1),(10,17),0.000256443 # DEPENDENCYPART_SIBL
(10,1),(10,19),0.0044889 # DEPENDENCYPART_SIBL
(10,1),(10,20),0.00237814 # DEPENDENCYPART_SIBL
(10,1),(10,23),-0.0228858 # DEPENDENCYPART_SIBL
(10,1),(10,24),0.000170414 # DEPENDENCYPART_SIBL
(10,2),(10,3),-0.178961 # DEPENDENCYPART_SIBL
(10,2),(10,4),-0.178961 # DEPENDENCYPART_SIBL
(10,2),(10,5),-0.126083 # DEPENDENCYPART_SIBL
(10,2),(10,6),-0.0531011 # DEPENDENCYPART_SIBL
(10,2),(10,8),-0.180944 # DEPENDENCYPART_SIBL
(10,2),(10,11),0.0670577 # DEPENDENCYPART_SIBL
(10,2),(10,12),-0.0197048 # DEPENDENCYPART_SIBL
(10,2),(10,13),-0.00527424 # DEPENDENCYPART_SIBL
(10,2),(10,14),-0.0519218 # DEPENDENCYPART_SIBL
(10,2),(10,16),-0.0205051 # DEPENDENCYPART_SIBL
(10,2),(10,17),-0.0216037 # DEPENDENCYPART_SIBL
(10,2),(10,19),-0.0144562 # DEPENDENCYPART_SIBL
(10,2),(10,20),-0.0158354 # DEPENDENCYPART_SIBL
(10,2),(10,23),0.000940379 # DEPENDENCYPART_SIBL
(10,2),(10,24),-0.0180309 # DEPENDENCYPART_SIBL
(10,3),(10,4),-0.0208977 # DEPENDENCYPART_SIBL
(10,3),(10,5),-0.0170245 # DEPENDENCYPART_SIBL
(10,3),(10,6),0.0156728 # DEPENDENCYPART_SIBL
(10,3),(10,8),-0.0261989 # DEPENDENCYPART_SIBL
(10,3),(10,11),0.0370207 # DEPENDENCYPART_SIBL
(10,3),(10,12),-0.0189963 # DEPENDENCYPART_SIBL
(10,3),(10,13),0.0254495 # DEPENDENCYPART_SIBL
(10,3),(10,14),-0.0097407 # DEPENDENCYPART_SIBL
(10,3),(10,16),-0.021191 # DEPENDENCYPART_SIBL
(10,3),(10,17),-0.0247027 # DEPENDENCYPART_SIBL
(10,3),(10,19),-0.00620835 # DEPENDENCYPART_SIBL
(10,3),(10,20),0.0256877 # DEPENDENCYPART_SIBL
(10,3),(10,23),0.0390729 # DEPENDENCYPART_SIBL
(10,3),(10,24),0.0197461 # DEPENDENCYPART_SIBL
(10,4),(10,5),-0.0170241 # DEPENDENCYPART_SIBL
(10,4),(10,6),0.0156731 # DEPENDENCYPART_SIBL
(10,4),(10,8),-0.026198 # DEPENDENCYPART_SIBL
(10,4),(10,11),0.0370221 # DEPENDENCYPART_SIBL
(10,4),(10,12),-0.0189924 # DEPENDENCYPART_SIBL
(10,4),(10,13),0.0252446 # DEPENDENCYPART_SIBL
(10,4),(10,14),-0.00974024 # DEPENDENCYPART_SIBL
(10,4),(10,16),-0.0211871 # DEPENDENCYPART_SIBL
(10,4),(10,17),-0.0246988 # DEPENDENCYPART_SIBL
(10,4),(10,19),-0.00620789 # DEPENDENCYPART_SIBL
(10,4),(10,20),0.0256884 # DEPENDENCYPART_SIBL
(10,4),(10,23),0.0390734 # DEPENDENCYPART_SIBL
(10,4),(10,24),0.0197468 # DEPENDENCYPART_SIBL
(10,5),(10,6),-0.0396649 # DEPENDENCYPART_SIBL
(10,5),(10,8),-0.0287022 # DEPENDENCYPART_SIBL
(10,5),(10,11),0.0528995 # DEPENDENCYPART_SIBL
(10,5),(10,12),-0.00547908 # DEPENDENCYPART_SIBL
(10,5),(10,13),-0.0242902 # DEPENDENCYPART_SIBL
(10,5),(10,14),-0.0113572 # DEPENDENCYPART_SIBL
(10,5),(10,16),-0.00627374 # DEPENDENCYPART_SIBL
(10,5),(10,17),-0.0073723 # DEPENDENCYPART_SIBL
(10,5),(10,19),0.0268811 # DEPENDENCYPART_SIBL
(10,5),(10,20),-0.0354348 # DEPENDENCYPART_SIBL
(10,5),(10,23),0.0382201 # DEPENDENCYPART_SIBL
(10,5),(10,24),-0.0396038 # DEPENDENCYPART_SIBL
(10,6),(10,8),0.0300301 # DEPENDENCYPART_SIBL
(10,6),(10,11),-0.101329 # DEPENDENCYPART_SIBL
(10,6),(10,12),-0.0223282 # DEPENDENCYPART_SIBL
(10,6),(10,13),0.0632386 # DEPENDENCYPART_SIBL
(10,6),(10,14),-0.0489065 # DEPENDENCYPART_SIBL
(10,6),(10,16),-0.0231286 # DEPENDENCYPART_SIBL
(10,6),(10,17),-0.0242272 # DEPENDENCYPART_SIBL
(10,6),(10,19),-0.0266588 # DEPENDENCYPART_SIBL
(10,6),(10,20),0.0210293 # DEPENDENCYPART_SIBL
(10,6),(10,23),0.0325679 # DEPENDENCYPART_SIBL
(10,6),(10,24),0.0188334 # DEPENDENCYPART_SIBL
(10,8),(10,11),0.0446287 # DEPENDENCYPART_SIBL
(10,8),(10,12),-0.0109664 # DEPENDENCYPART_SIBL
(10,8),(10,13),0.0276735 # DEPENDENCYPART_SIBL
(10,8),(10,14),-0.00670495 # DEPENDENCYPART_SIBL
(10,8),(10,16),-0.0131611 # DEPENDENCYPART_SIBL
(10,8),(10,17),-0.0166728 # DEPENDENCYPART_SIBL
(10,8),(10,19),-0.0032478 # DEPENDENCYPART_SIBL
(10,8),(10,20),0.0266675 # DEPENDENCYPART_SIBL
(10,8),(10,23),0.0421087 # DEPENDENCYPART_SIBL
(10,8),(10,24),0.0207259 # DEPENDENCYPART_SIBL
(10,11),(10,12),0.0412894 # DEPENDENCYPART_SIBL
(10,11),(10,13),-0.031637 # DEPENDENCYPART_SIBL
(10,11),(10,14),0.0411885 # DEPENDENCYPART_SIBL
(10,11),(10,16),0.0411637 # DEPENDENCYPART_SIBL
(10,11),(10,17),0.038143 # DEPENDENCYPART_SIBL
(10,11),(10,19),0.0490022 # DEPENDENCYPART_SIBL
(10,11),(10,20),0.0140472 # DEPENDENCYPART_SIBL
(10,11),(10,23),0.0450925 # DEPENDENCYPART_SIBL
(10,11),(10,24),0.0105431 # DEPENDENCYPART_SIBL
(10,12),(10,13),-0.0167185 # DEPENDENCYPART_SIBL
(10,12),(10,14),-0.0196268 # DEPENDENCYPART_SIBL
(10,12),(10,16),-0.0186208 # DEPENDENCYPART_SIBL
(10,12),(10,17),-0.0192081 # DEPENDENCYPART_SIBL
(10,12),(10,19),-0.00881106 # DEPENDENCYPART_SIBL
(10,12),(10,20),-0.0189167 # DEPENDENCYPART_SIBL
(10,12),(10,23),-0.0637143 # DEPENDENCYPART_SIBL
(10,12),(10,24),-0.0162373 # DEPENDENCYPART_SIBL
(10,13),(10,14),-0.0468171 # DEPENDENCYPART_SIBL
(10,13),(10,16),-0.0978233 # DEPENDENCYPART_SIBL
(10,13),(10,17),-0.0984105 # DEPENDENCYPART_SIBL
(10,13),(10,19),-0.189358 # DEPENDENCYPART_SIBL
(10,13),(10,20),-0.0389123 # DEPENDENCYPART_SIBL
(10,13),(10,23),-0.0273222 # DEPENDENCYPART_SIBL
(10,13),(10,24),-0.0630932 # DEPENDENCYPART_SIBL
(10,14),(10,16),0.00180107 # DEPENDENCYPART_SIBL
(10,14),(10,17),0.00121381 # DEPENDENCYPART_SIBL
(10,14),(10,19),0.0210226 # DEPENDENCYPART_SIBL
(10,14),(10,20),-0.026118 # DEPENDENCYPART_SIBL
(10,14),(10,23),-0.0310756 # DEPENDENCYPART_SIBL
(10,14),(10,24),-0.0316816 # DEPENDENCYPART_SIBL
(10,16),(10,17),-0.0174776 # DEPENDENCYPART_SIBL
(10,16),(10,19),-0.00991305 # DEPENDENCYPART_SIBL
(10,16),(10,20),-0.0183687 # DEPENDENCYPART_SIBL
(10,16),(10,23),-0.0631658 # DEPENDENCYPART_SIBL
(10,16),(10,24),-0.0156893 # DEPENDENCYPART_SIBL
(10,17),(10,19),-0.010765 # DEPENDENCYPART_SIBL
(10,17),(10,20),-0.0209955 # DEPENDENCYPART_SIBL
(10,17),(10,23),-0.0640178 # DEPENDENCYPART_SIBL
(10,17),(10,24),-0.0183161 # DEPENDENCYPART_SIBL
(10,19),(10,20),-0.00258676 # DEPENDENCYPART_SIBL
(10,19),(10,23),-0.00689692 # DEPENDENCYPART_SIBL
(10,19),(10,24),-0.00408051 # DEPENDENCYPART_SIBL
(10,20),(10,23),-0.0111847 # DEPENDENCYPART_SIBL
(10,20),(10,24),-0.0214099 # DEPENDENCYPART_SIBL
(10,23),(10,24),-0.00905764 # DEPENDENCYPART_SIBL
(11,5),(11,8),0.0193843 # DEPENDENCYPART_SIBL
(11,5),(11,12),-0.016618 # DEPENDENCYPART_SIBL
(11,8),(11,12),0.079713 # DEPENDENCYPART_SIBL
(12,10),(12,13),-0.00335832 # DEPENDENCYPART_SIBL
(12,10),(12,14),0.0230497 # DEPENDENCYPART_SIBL
(12,10),(12,16),-0.00222893 # DEPENDENCYPART_SIBL
(12,10),(12,17),-0.00222732 # DEPENDENCYPART_SIBL
(12,10),(12,20),0.0205695 # DEPENDENCYPART_SIBL
(12,13),(12,14),-0.0281902 # DEPENDENCYPART_SIBL
(12,13),(12,16),-0.0493371 # DEPENDENCYPART_SIBL
(12,13),(12,17),-0.0493413 # DEPENDENCYPART_SIBL
(12,13),(12,20),-0.0372475 # DEPENDENCYPART_SIBL
(12,14),(12,16),-0.00388897 # DEPENDENCYPART_SIBL
(12,14),(12,17),-0.00389318 # DEPENDENCYPART_SIBL
(12,14),(12,20),-0.0231777 # DEPENDENCYPART_SIBL
(12,16),(12,17),-0.0073168 # DEPENDENCYPART_SIBL
(12,16),(12,20),-0.0358673 # DEPENDENCYPART_SIBL
(12,17),(12,20),-0.0367546 # DEPENDENCYPART_SIBL
(13,10),(13,11),-0.0354746 # DEPENDENCYPART_SIBL
(13,10),(13,14),0.185992 # DEPENDENCYPART_SIBL
(13,10),(13,24),0.376225 # DEPENDENCYPART_SIBL
(13,11),(13,14),0.00555259 # DEPENDENCYPART_SIBL
(13,11),(13,24),0.132337 # DEPENDENCYPART_SIBL
(13,14),(13,24),-0.0313205 # DEPENDENCYPART_SIBL
(14,3),(14,4),-0.00439658 # DEPENDENCYPART_SIBL
(14,3),(14,5),0.00351834 # DEPENDENCYPART_SIBL
(14,3),(14,8),-0.00608042 # DEPENDENCYPART_SIBL
(14,3),(14,10),-0.00167123 # DEPENDENCYPART_SIBL
(14,3),(14,11),-0.00647351 # DEPENDENCYPART_SIBL
(14,3),(14,12),-0.00439697 # DEPENDENCYPART_SIBL
(14,3),(14,13),-0.0518421 # DEPENDENCYPART_SIBL
(14,3),(14,15),-0.0739197 # DEPENDENCYPART_SIBL
(14,3),(14,16),0.060292 # DEPENDENCYPART_SIBL
(14,3),(14,17),0.0590857 # DEPENDENCYPART_SIBL
(14,3),(14,20),-0.0783021 # DEPENDENCYPART_SIBL
(14,3),(14,23),-0.11137 # DEPENDENCYPART_SIBL
(14,3),(14,24),-0.0812268 # DEPENDENCYPART_SIBL
(14,4),(14,5),0.00351836 # DEPENDENCYPART_SIBL
(14,4),(14,8),-0.00608011 # DEPENDENCYPART_SIBL
(14,4),(14,10),-0.00167121 # DEPENDENCYPART_SIBL
(14,4),(14,11),-0.00647351 # DEPENDENCYPART_SIBL
(14,4),(14,12),-0.00439666 # DEPENDENCYPART_SIBL
(14,4),(14,13),-0.0518421 # DEPENDENCYPART_SIBL
(14,4),(14,15),-0.0741251 # DEPENDENCYPART_SIBL
(14,4),(14,16),0.0602954 # DEPENDENCYPART_SIBL
(14,4),(14,17),0.0590891 # DEPENDENCYPART_SIBL
(14,4),(14,20),-0.0783019 # DEPENDENCYPART_SIBL
(14,4),(14,23),-0.11137 # DEPENDENCYPART_SIBL
(14,4),(14,24),-0.0812266 # DEPENDENCYPART_SIBL
(14,5),(14,8),-0.242921 # DEPENDENCYPART_SIBL
(14,5),(14,10),-0.0372874 # DEPENDENCYPART_SIBL
(14,5),(14,11),-0.106653 # DEPENDENCYPART_SIBL
(14,5),(14,12),-0.242577 # DEPENDENCYPART_SIBL
(14,5),(14,13),-0.13933 # DEPENDENCYPART_SIBL
(14,5),(14,15),0.0836473 # DEPENDENCYPART_SIBL
(14,5),(14,16),-0.17197 # DEPENDENCYPART_SIBL
(14,5),(14,17),-0.171968 # DEPENDENCYPART_SIBL
(14,5),(14,20),0.0269399 # DEPENDENCYPART_SIBL
(14,5),(14,23),0.0553845 # DEPENDENCYPART_SIBL
(14,5),(14,24),0.0236791 # DEPENDENCYPART_SIBL
(14,8),(14,10),-0.00234726 # DEPENDENCYPART_SIBL
(14,8),(14,11),-0.00648298 # DEPENDENCYPART_SIBL
(14,8),(14,12),-0.00456706 # DEPENDENCYPART_SIBL
(14,8),(14,13),-0.0518421 # DEPENDENCYPART_SIBL
(14,8),(14,15),-0.0744278 # DEPENDENCYPART_SIBL
(14,8),(14,16),0.062763 # DEPENDENCYPART_SIBL
(14,8),(14,17),0.0615567 # DEPENDENCYPART_SIBL
(14,8),(14,20),-0.07933 # DEPENDENCYPART_SIBL
(14,8),(14,23),-0.11137 # DEPENDENCYPART_SIBL
(14,8),(14,24),-0.0822547 # DEPENDENCYPART_SIBL
(14,10),(14,11),-0.0880241 # DEPENDENCYPART_SIBL
(14,10),(14,12),-0.224774 # DEPENDENCYPART_SIBL
(14,10),(14,13),-0.124463 # DEPENDENCYPART_SIBL
(14,10),(14,15),0.124628 # DEPENDENCYPART_SIBL
(14,10),(14,16),-0.13945 # DEPENDENCYPART_SIBL
(14,10),(14,17),-0.139449 # DEPENDENCYPART_SIBL
(14,10),(14,20),0.0756242 # DEPENDENCYPART_SIBL
(14,10),(14,23),0.0648551 # DEPENDENCYPART_SIBL
(14,10),(14,24),0.0723687 # DEPENDENCYPART_SIBL
(14,11),(14,12),-0.0339129 # DEPENDENCYPART_SIBL
(14,11),(14,13),-0.0230394 # DEPENDENCYPART_SIBL
