# _root_ otsailean egindako bileran , arabera , giza_eskubideak urratzen dituen ekintzarik ez babesteko konpromisoa hartu zuten sinatzaileek .
#goldHeads=2,3,14,3,14,5,8,10,8,12,12,13,14,0,14,14,16,
#predictedHeads=2,3,14,3,8,5,8,10,8,12,12,13,14,0,14,14,16,
(3,14),(3,16),0.00246795 # DEPENDENCYPART_SIBL
(4,2),(4,3),-0.00800467 # DEPENDENCYPART_SIBL
(4,2),(4,8),0.377867 # DEPENDENCYPART_SIBL
(4,2),(4,14),0.379587 # DEPENDENCYPART_SIBL
(4,2),(4,16),0.0941475 # DEPENDENCYPART_SIBL
(4,3),(4,8),0.15757 # DEPENDENCYPART_SIBL
(4,3),(4,14),0.162392 # DEPENDENCYPART_SIBL
(4,3),(4,16),0.278051 # DEPENDENCYPART_SIBL
(4,8),(4,14),0.000354621 # DEPENDENCYPART_SIBL
(4,8),(4,16),0.00192054 # DEPENDENCYPART_SIBL
(4,14),(4,16),0.000269277 # DEPENDENCYPART_SIBL
(5,1),(5,2),0.0316255 # DEPENDENCYPART_SIBL
(5,1),(5,3),0.0126592 # DEPENDENCYPART_SIBL
(5,1),(5,4),-0.00475931 # DEPENDENCYPART_SIBL
(5,1),(5,6),0.0277442 # DEPENDENCYPART_SIBL
(5,1),(5,7),0.0233013 # DEPENDENCYPART_SIBL
(5,1),(5,10),0.023468 # DEPENDENCYPART_SIBL
(5,1),(5,13),0.0202425 # DEPENDENCYPART_SIBL
(5,2),(5,3),-0.00468253 # DEPENDENCYPART_SIBL
(5,2),(5,4),-0.0226296 # DEPENDENCYPART_SIBL
(5,2),(5,6),-0.0216143 # DEPENDENCYPART_SIBL
(5,2),(5,7),-0.0303974 # DEPENDENCYPART_SIBL
(5,2),(5,10),-0.0297684 # DEPENDENCYPART_SIBL
(5,2),(5,13),-0.026206 # DEPENDENCYPART_SIBL
(5,3),(5,4),-0.00477817 # DEPENDENCYPART_SIBL
(5,3),(5,6),0.029592 # DEPENDENCYPART_SIBL
(5,3),(5,7),0.0119794 # DEPENDENCYPART_SIBL
(5,3),(5,10),0.012146 # DEPENDENCYPART_SIBL
(5,3),(5,13),0.00892052 # DEPENDENCYPART_SIBL
(5,4),(5,6),0.120348 # DEPENDENCYPART_SIBL
(5,4),(5,7),0.00976806 # DEPENDENCYPART_SIBL
(5,4),(5,10),0.00976806 # DEPENDENCYPART_SIBL
(5,4),(5,13),0.0097654 # DEPENDENCYPART_SIBL
(5,6),(5,7),-0.0686541 # DEPENDENCYPART_SIBL
(5,6),(5,10),-0.0686366 # DEPENDENCYPART_SIBL
(5,6),(5,13),-0.068919 # DEPENDENCYPART_SIBL
(5,7),(5,10),0.00940249 # DEPENDENCYPART_SIBL
(5,7),(5,13),0.00923674 # DEPENDENCYPART_SIBL
(5,10),(5,13),0.00924464 # DEPENDENCYPART_SIBL
(6,2),(6,7),0.0933222 # DEPENDENCYPART_SIBL
(6,2),(6,14),0.379587 # DEPENDENCYPART_SIBL
(6,7),(6,14),-0.0190777 # DEPENDENCYPART_SIBL
(7,1),(7,2),-0.0245073 # DEPENDENCYPART_SIBL
(7,1),(7,3),-0.00784322 # DEPENDENCYPART_SIBL
(7,1),(7,4),-0.0259473 # DEPENDENCYPART_SIBL
(7,1),(7,5),0.0241909 # DEPENDENCYPART_SIBL
(7,1),(7,6),-0.0259473 # DEPENDENCYPART_SIBL
(7,1),(7,8),0.0204492 # DEPENDENCYPART_SIBL
(7,1),(7,9),0.0394677 # DEPENDENCYPART_SIBL
(7,1),(7,12),0.0203612 # DEPENDENCYPART_SIBL
(7,1),(7,17),-0.0274133 # DEPENDENCYPART_SIBL
(7,2),(7,3),0.0370527 # DEPENDENCYPART_SIBL
(7,2),(7,4),-0.0104904 # DEPENDENCYPART_SIBL
(7,2),(7,5),0.0405821 # DEPENDENCYPART_SIBL
(7,2),(7,6),-0.0104904 # DEPENDENCYPART_SIBL
(7,2),(7,8),0.0384506 # DEPENDENCYPART_SIBL
(7,2),(7,9),0.0776256 # DEPENDENCYPART_SIBL
(7,2),(7,12),0.0381897 # DEPENDENCYPART_SIBL
(7,2),(7,17),-0.0108306 # DEPENDENCYPART_SIBL
(7,3),(7,4),-0.0259662 # DEPENDENCYPART_SIBL
(7,3),(7,5),0.023154 # DEPENDENCYPART_SIBL
(7,3),(7,6),-0.0259662 # DEPENDENCYPART_SIBL
(7,3),(7,8),0.0229013 # DEPENDENCYPART_SIBL
(7,3),(7,9),0.0478155 # DEPENDENCYPART_SIBL
(7,3),(7,12),0.0228132 # DEPENDENCYPART_SIBL
(7,3),(7,17),-0.0258433 # DEPENDENCYPART_SIBL
(7,4),(7,5),-0.0486876 # DEPENDENCYPART_SIBL
(7,4),(7,6),-0.0684877 # DEPENDENCYPART_SIBL
(7,4),(7,8),-0.0376729 # DEPENDENCYPART_SIBL
(7,4),(7,9),-0.0168577 # DEPENDENCYPART_SIBL
(7,4),(7,12),-0.0377604 # DEPENDENCYPART_SIBL
(7,4),(7,17),-0.0822579 # DEPENDENCYPART_SIBL
(7,5),(7,6),-0.0159883 # DEPENDENCYPART_SIBL
(7,5),(7,8),0.0160004 # DEPENDENCYPART_SIBL
(7,5),(7,9),0.0137718 # DEPENDENCYPART_SIBL
(7,5),(7,12),0.015914 # DEPENDENCYPART_SIBL
(7,5),(7,17),0.0111562 # DEPENDENCYPART_SIBL
(7,6),(7,8),-0.0376729 # DEPENDENCYPART_SIBL
(7,6),(7,9),-0.0168577 # DEPENDENCYPART_SIBL
(7,6),(7,12),-0.0377604 # DEPENDENCYPART_SIBL
(7,6),(7,17),-0.0822579 # DEPENDENCYPART_SIBL
(7,8),(7,9),0.0319814 # DEPENDENCYPART_SIBL
(7,8),(7,12),-0.0113514 # DEPENDENCYPART_SIBL
(7,8),(7,17),-0.0694 # DEPENDENCYPART_SIBL
(7,9),(7,12),0.0250214 # DEPENDENCYPART_SIBL
(7,9),(7,17),-0.0549777 # DEPENDENCYPART_SIBL
(7,12),(7,17),-0.0694001 # DEPENDENCYPART_SIBL
(8,1),(8,2),-0.00186399 # DEPENDENCYPART_SIBL
(8,1),(8,3),-0.0181282 # DEPENDENCYPART_SIBL
(8,1),(8,4),-0.0719613 # DEPENDENCYPART_SIBL
(8,1),(8,5),-0.0139684 # DEPENDENCYPART_SIBL
(8,1),(8,6),-0.0719613 # DEPENDENCYPART_SIBL
(8,1),(8,7),-0.0273149 # DEPENDENCYPART_SIBL
(8,1),(8,9),0.0245451 # DEPENDENCYPART_SIBL
(8,1),(8,10),-0.0201186 # DEPENDENCYPART_SIBL
(8,1),(8,11),0.00514746 # DEPENDENCYPART_SIBL
(8,1),(8,12),-0.005806 # DEPENDENCYPART_SIBL
(8,1),(8,13),-0.0273899 # DEPENDENCYPART_SIBL
(8,1),(8,14),-0.0229337 # DEPENDENCYPART_SIBL
(8,1),(8,15),0.0209652 # DEPENDENCYPART_SIBL
(8,1),(8,16),-0.0201186 # DEPENDENCYPART_SIBL
(8,2),(8,3),0.00792159 # DEPENDENCYPART_SIBL
(8,2),(8,4),-0.0835014 # DEPENDENCYPART_SIBL
(8,2),(8,5),-0.00836861 # DEPENDENCYPART_SIBL
(8,2),(8,6),-0.0835014 # DEPENDENCYPART_SIBL
(8,2),(8,7),-0.00643106 # DEPENDENCYPART_SIBL
(8,2),(8,9),0.0631851 # DEPENDENCYPART_SIBL
(8,2),(8,10),0.010448 # DEPENDENCYPART_SIBL
(8,2),(8,11),-0.035767 # DEPENDENCYPART_SIBL
(8,2),(8,12),0.00485146 # DEPENDENCYPART_SIBL
(8,2),(8,13),0.0111111 # DEPENDENCYPART_SIBL
(8,2),(8,14),-0.00770413 # DEPENDENCYPART_SIBL
(8,2),(8,15),0.0597959 # DEPENDENCYPART_SIBL
(8,2),(8,16),0.010448 # DEPENDENCYPART_SIBL
(8,3),(8,4),-0.0608017 # DEPENDENCYPART_SIBL
(8,3),(8,5),-0.0038267 # DEPENDENCYPART_SIBL
(8,3),(8,6),-0.0608017 # DEPENDENCYPART_SIBL
(8,3),(8,7),0.00800057 # DEPENDENCYPART_SIBL
(8,3),(8,9),0.0414052 # DEPENDENCYPART_SIBL
(8,3),(8,10),-0.0343157 # DEPENDENCYPART_SIBL
(8,3),(8,11),0.00846923 # DEPENDENCYPART_SIBL
(8,3),(8,12),0.00252533 # DEPENDENCYPART_SIBL
(8,3),(8,13),-0.041587 # DEPENDENCYPART_SIBL
(8,3),(8,14),-0.0146024 # DEPENDENCYPART_SIBL
(8,3),(8,15),0.0497211 # DEPENDENCYPART_SIBL
(8,3),(8,16),-0.0343157 # DEPENDENCYPART_SIBL
(8,4),(8,5),-0.11335 # DEPENDENCYPART_SIBL
(8,4),(8,6),-0.13427 # DEPENDENCYPART_SIBL
(8,4),(8,7),-0.174928 # DEPENDENCYPART_SIBL
(8,4),(8,9),0.00286678 # DEPENDENCYPART_SIBL
(8,4),(8,10),-0.00323158 # DEPENDENCYPART_SIBL
(8,4),(8,11),-0.0158404 # DEPENDENCYPART_SIBL
(8,4),(8,12),-0.015944 # DEPENDENCYPART_SIBL
(8,4),(8,13),-0.00572243 # DEPENDENCYPART_SIBL
(8,4),(8,14),-0.029572 # DEPENDENCYPART_SIBL
(8,4),(8,15),-0.00841405 # DEPENDENCYPART_SIBL
(8,4),(8,16),-0.00323158 # DEPENDENCYPART_SIBL
(8,5),(8,6),-0.0469165 # DEPENDENCYPART_SIBL
(8,5),(8,7),-0.0269177 # DEPENDENCYPART_SIBL
(8,5),(8,9),0.0177767 # DEPENDENCYPART_SIBL
(8,5),(8,10),-0.0146539 # DEPENDENCYPART_SIBL
(8,5),(8,11),-0.051859 # DEPENDENCYPART_SIBL
(8,5),(8,12),-0.00874994 # DEPENDENCYPART_SIBL
(8,5),(8,13),-0.0171415 # DEPENDENCYPART_SIBL
(8,5),(8,14),-0.0208389 # DEPENDENCYPART_SIBL
(8,5),(8,15),0.00780502 # DEPENDENCYPART_SIBL
(8,5),(8,16),-0.0146539 # DEPENDENCYPART_SIBL
(8,6),(8,7),-0.174928 # DEPENDENCYPART_SIBL
(8,6),(8,9),0.00286678 # DEPENDENCYPART_SIBL
(8,6),(8,10),-0.00323158 # DEPENDENCYPART_SIBL
(8,6),(8,11),-0.0158404 # DEPENDENCYPART_SIBL
(8,6),(8,12),-0.015944 # DEPENDENCYPART_SIBL
(8,6),(8,13),-0.00572243 # DEPENDENCYPART_SIBL
(8,6),(8,14),-0.029572 # DEPENDENCYPART_SIBL
(8,6),(8,15),-0.00841405 # DEPENDENCYPART_SIBL
(8,6),(8,16),-0.00323158 # DEPENDENCYPART_SIBL
(8,7),(8,9),0.0293863 # DEPENDENCYPART_SIBL
(8,7),(8,10),-0.0177227 # DEPENDENCYPART_SIBL
(8,7),(8,11),0.00911903 # DEPENDENCYPART_SIBL
(8,7),(8,12),0.00672386 # DEPENDENCYPART_SIBL
(8,7),(8,13),-0.0249941 # DEPENDENCYPART_SIBL
(8,7),(8,14),-0.0104039 # DEPENDENCYPART_SIBL
(8,7),(8,15),0.0258064 # DEPENDENCYPART_SIBL
(8,7),(8,16),-0.0177227 # DEPENDENCYPART_SIBL
(8,9),(8,10),0.0040282 # DEPENDENCYPART_SIBL
(8,9),(8,11),-0.0565661 # DEPENDENCYPART_SIBL
(8,9),(8,12),0.00517087 # DEPENDENCYPART_SIBL
(8,9),(8,13),0.0021515 # DEPENDENCYPART_SIBL
(8,9),(8,14),-0.0105513 # DEPENDENCYPART_SIBL
(8,9),(8,15),-0.183276 # DEPENDENCYPART_SIBL
(8,9),(8,16),0.0040282 # DEPENDENCYPART_SIBL
(8,10),(8,11),-0.00796143 # DEPENDENCYPART_SIBL
(8,10),(8,12),-0.0153158 # DEPENDENCYPART_SIBL
(8,10),(8,13),-0.0163698 # DEPENDENCYPART_SIBL
(8,10),(8,14),-0.031317 # DEPENDENCYPART_SIBL
(8,10),(8,15),-0.0421865 # DEPENDENCYPART_SIBL
(8,10),(8,16),-0.0147462 # DEPENDENCYPART_SIBL
(8,11),(8,12),-0.0100983 # DEPENDENCYPART_SIBL
(8,11),(8,13),-0.00621754 # DEPENDENCYPART_SIBL
(8,11),(8,14),-0.020651 # DEPENDENCYPART_SIBL
(8,11),(8,15),0.0597473 # DEPENDENCYPART_SIBL
(8,11),(8,16),-0.00485697 # DEPENDENCYPART_SIBL
(8,12),(8,13),-0.0471789 # DEPENDENCYPART_SIBL
(8,12),(8,14),-0.0408469 # DEPENDENCYPART_SIBL
(8,12),(8,15),0.00284551 # DEPENDENCYPART_SIBL
(8,12),(8,16),-0.0454226 # DEPENDENCYPART_SIBL
(8,13),(8,14),-0.0319708 # DEPENDENCYPART_SIBL
(8,13),(8,15),-0.0426084 # DEPENDENCYPART_SIBL
(8,13),(8,16),-0.0151663 # DEPENDENCYPART_SIBL
(8,14),(8,15),0.0096504 # DEPENDENCYPART_SIBL
(8,14),(8,16),-0.0526157 # DEPENDENCYPART_SIBL
(8,15),(8,16),-0.0230076 # DEPENDENCYPART_SIBL
(9,1),(9,3),0.0692974 # DEPENDENCYPART_SIBL
(9,1),(9,7),0.0692966 # DEPENDENCYPART_SIBL
(9,1),(9,10),0.0623032 # DEPENDENCYPART_SIBL
(9,1),(9,11),0.037427 # DEPENDENCYPART_SIBL
(9,1),(9,15),0.0592472 # DEPENDENCYPART_SIBL
(9,3),(9,7),0.0811796 # DEPENDENCYPART_SIBL
(9,3),(9,10),0.0509921 # DEPENDENCYPART_SIBL
(9,3),(9,11),0.0374098 # DEPENDENCYPART_SIBL
(9,3),(9,15),0.0735428 # DEPENDENCYPART_SIBL
(9,7),(9,10),0.061028 # DEPENDENCYPART_SIBL
(9,7),(9,11),0.0372062 # DEPENDENCYPART_SIBL
(9,7),(9,15),0.0594612 # DEPENDENCYPART_SIBL
(9,10),(9,11),0.042446 # DEPENDENCYPART_SIBL
(9,10),(9,15),0.000697744 # DEPENDENCYPART_SIBL
(9,11),(9,15),0.01731 # DEPENDENCYPART_SIBL
(10,1),(10,2),-0.0245073 # DEPENDENCYPART_SIBL
(10,1),(10,3),-0.00784322 # DEPENDENCYPART_SIBL
(10,1),(10,4),-0.0259473 # DEPENDENCYPART_SIBL
(10,1),(10,5),0.0241909 # DEPENDENCYPART_SIBL
(10,1),(10,6),-0.0259473 # DEPENDENCYPART_SIBL
(10,1),(10,7),-0.00783212 # DEPENDENCYPART_SIBL
(10,1),(10,8),-0.0131457 # DEPENDENCYPART_SIBL
(10,1),(10,9),-0.00583436 # DEPENDENCYPART_SIBL
(10,1),(10,11),-0.013919 # DEPENDENCYPART_SIBL
(10,1),(10,12),0.0205887 # DEPENDENCYPART_SIBL
(10,1),(10,13),-0.00946337 # DEPENDENCYPART_SIBL
(10,1),(10,14),0.0638571 # DEPENDENCYPART_SIBL
(10,1),(10,15),0.0339433 # DEPENDENCYPART_SIBL
(10,1),(10,17),-0.0274133 # DEPENDENCYPART_SIBL
(10,2),(10,3),0.0370527 # DEPENDENCYPART_SIBL
(10,2),(10,4),-0.0104904 # DEPENDENCYPART_SIBL
(10,2),(10,5),0.0405821 # DEPENDENCYPART_SIBL
(10,2),(10,6),-0.0104904 # DEPENDENCYPART_SIBL
(10,2),(10,7),0.0344868 # DEPENDENCYPART_SIBL
(10,2),(10,8),-0.0426916 # DEPENDENCYPART_SIBL
(10,2),(10,9),-0.00662572 # DEPENDENCYPART_SIBL
(10,2),(10,11),-0.0067331 # DEPENDENCYPART_SIBL
(10,2),(10,12),0.0384177 # DEPENDENCYPART_SIBL
(10,2),(10,13),0.0140955 # DEPENDENCYPART_SIBL
(10,2),(10,14),0.0623471 # DEPENDENCYPART_SIBL
(10,2),(10,15),0.0693968 # DEPENDENCYPART_SIBL
(10,2),(10,17),-0.01083 # DEPENDENCYPART_SIBL
(10,3),(10,4),-0.0259662 # DEPENDENCYPART_SIBL
(10,3),(10,5),0.023154 # DEPENDENCYPART_SIBL
(10,3),(10,6),-0.0259662 # DEPENDENCYPART_SIBL
(10,3),(10,7),0.00405085 # DEPENDENCYPART_SIBL
(10,3),(10,8),-0.0136729 # DEPENDENCYPART_SIBL
(10,3),(10,9),-0.00781543 # DEPENDENCYPART_SIBL
(10,3),(10,11),-0.0139363 # DEPENDENCYPART_SIBL
(10,3),(10,12),0.0230407 # DEPENDENCYPART_SIBL
(10,3),(10,13),-0.0207744 # DEPENDENCYPART_SIBL
(10,3),(10,14),0.0663092 # DEPENDENCYPART_SIBL
(10,3),(10,15),0.0482389 # DEPENDENCYPART_SIBL
(10,3),(10,17),-0.0258432 # DEPENDENCYPART_SIBL
(10,4),(10,5),-0.0486876 # DEPENDENCYPART_SIBL
(10,4),(10,6),-0.0684877 # DEPENDENCYPART_SIBL
(10,4),(10,7),-0.115615 # DEPENDENCYPART_SIBL
(10,4),(10,8),-0.105313 # DEPENDENCYPART_SIBL
(10,4),(10,9),-0.0509015 # DEPENDENCYPART_SIBL
(10,4),(10,11),-0.0523377 # DEPENDENCYPART_SIBL
(10,4),(10,12),-0.0375327 # DEPENDENCYPART_SIBL
(10,4),(10,13),-0.0562433 # DEPENDENCYPART_SIBL
(10,4),(10,14),-0.0207155 # DEPENDENCYPART_SIBL
(10,4),(10,15),-0.0260176 # DEPENDENCYPART_SIBL
(10,4),(10,17),-0.0822575 # DEPENDENCYPART_SIBL
(10,5),(10,6),-0.0159883 # DEPENDENCYPART_SIBL
(10,5),(10,7),0.0362208 # DEPENDENCYPART_SIBL
(10,5),(10,8),-0.0389476 # DEPENDENCYPART_SIBL
(10,5),(10,9),0.00932394 # DEPENDENCYPART_SIBL
(10,5),(10,11),-0.0554145 # DEPENDENCYPART_SIBL
(10,5),(10,12),0.0161415 # DEPENDENCYPART_SIBL
(10,5),(10,13),-0.0324087 # DEPENDENCYPART_SIBL
(10,5),(10,14),0.0336449 # DEPENDENCYPART_SIBL
(10,5),(10,15),0.00541398 # DEPENDENCYPART_SIBL
(10,5),(10,17),0.0111563 # DEPENDENCYPART_SIBL
(10,6),(10,7),-0.115615 # DEPENDENCYPART_SIBL
(10,6),(10,8),-0.105313 # DEPENDENCYPART_SIBL
(10,6),(10,9),-0.0509015 # DEPENDENCYPART_SIBL
(10,6),(10,11),-0.0523377 # DEPENDENCYPART_SIBL
(10,6),(10,12),-0.0375327 # DEPENDENCYPART_SIBL
(10,6),(10,13),-0.0562433 # DEPENDENCYPART_SIBL
(10,6),(10,14),-0.0207155 # DEPENDENCYPART_SIBL
(10,6),(10,15),-0.0260176 # DEPENDENCYPART_SIBL
(10,6),(10,17),-0.0822575 # DEPENDENCYPART_SIBL
(10,7),(10,8),-0.0164959 # DEPENDENCYPART_SIBL
(10,7),(10,9),-0.00583436 # DEPENDENCYPART_SIBL
(10,7),(10,11),-0.013919 # DEPENDENCYPART_SIBL
(10,7),(10,12),0.0248678 # DEPENDENCYPART_SIBL
(10,7),(10,13),-0.0105177 # DEPENDENCYPART_SIBL
(10,7),(10,14),0.0681363 # DEPENDENCYPART_SIBL
(10,7),(10,15),0.034378 # DEPENDENCYPART_SIBL
(10,7),(10,17),-0.0278549 # DEPENDENCYPART_SIBL
(10,8),(10,9),-0.00885558 # DEPENDENCYPART_SIBL
(10,8),(10,11),-0.0207497 # DEPENDENCYPART_SIBL
(10,8),(10,12),0.0207264 # DEPENDENCYPART_SIBL
(10,8),(10,13),0.00288163 # DEPENDENCYPART_SIBL
(10,8),(10,14),0.0446558 # DEPENDENCYPART_SIBL
(10,8),(10,15),0.0568804 # DEPENDENCYPART_SIBL
(10,8),(10,17),-0.0371781 # DEPENDENCYPART_SIBL
(10,9),(10,11),-0.00755548 # DEPENDENCYPART_SIBL
(10,9),(10,12),0.0206666 # DEPENDENCYPART_SIBL
(10,9),(10,13),-0.0318299 # DEPENDENCYPART_SIBL
(10,9),(10,14),0.0470672 # DEPENDENCYPART_SIBL
(10,9),(10,15),-0.0369323 # DEPENDENCYPART_SIBL
(10,9),(10,17),-0.0239505 # DEPENDENCYPART_SIBL
(10,11),(10,12),-0.0368575 # DEPENDENCYPART_SIBL
(10,11),(10,13),-0.000307705 # DEPENDENCYPART_SIBL
(10,11),(10,14),-0.0374353 # DEPENDENCYPART_SIBL
(10,11),(10,15),-0.00184673 # DEPENDENCYPART_SIBL
(10,11),(10,17),-0.0739455 # DEPENDENCYPART_SIBL
(10,12),(10,13),-0.0104233 # DEPENDENCYPART_SIBL
(10,12),(10,14),-0.0171005 # DEPENDENCYPART_SIBL
(10,12),(10,15),0.0171641 # DEPENDENCYPART_SIBL
(10,12),(10,17),-0.0694001 # DEPENDENCYPART_SIBL
(10,13),(10,14),-0.0393517 # DEPENDENCYPART_SIBL
(10,13),(10,15),-0.00761921 # DEPENDENCYPART_SIBL
(10,13),(10,17),-0.0887528 # DEPENDENCYPART_SIBL
(10,14),(10,15),0.0525836 # DEPENDENCYPART_SIBL
(10,14),(10,17),-0.0588159 # DEPENDENCYPART_SIBL
(10,15),(10,17),-0.0582031 # DEPENDENCYPART_SIBL
(11,10),(11,12),0.0375349 # DEPENDENCYPART_SIBL
(11,10),(11,13),0.104896 # DEPENDENCYPART_SIBL
(11,10),(11,16),0.108121 # DEPENDENCYPART_SIBL
(11,12),(11,13),0.028278 # DEPENDENCYPART_SIBL
(11,12),(11,16),0.028673 # DEPENDENCYPART_SIBL
(11,13),(11,16),0.104421 # DEPENDENCYPART_SIBL
(12,1),(12,2),-0.00188898 # DEPENDENCYPART_SIBL
(12,1),(12,3),-0.0182451 # DEPENDENCYPART_SIBL
(12,1),(12,4),-0.0719726 # DEPENDENCYPART_SIBL
(12,1),(12,5),-0.0139796 # DEPENDENCYPART_SIBL
(12,1),(12,6),-0.0719726 # DEPENDENCYPART_SIBL
(12,1),(12,7),-0.0274319 # DEPENDENCYPART_SIBL
(12,1),(12,8),0.000234346 # DEPENDENCYPART_SIBL
(12,1),(12,9),0.00669468 # DEPENDENCYPART_SIBL
(12,1),(12,10),-0.0273198 # DEPENDENCYPART_SIBL
(12,1),(12,11),0.0363477 # DEPENDENCYPART_SIBL
(12,1),(12,13),-0.0273403 # DEPENDENCYPART_SIBL
(12,1),(12,14),-0.0229573 # DEPENDENCYPART_SIBL
(12,1),(12,15),0.021013 # DEPENDENCYPART_SIBL
(12,1),(12,16),-0.020069 # DEPENDENCYPART_SIBL
(12,2),(12,3),0.00781917 # DEPENDENCYPART_SIBL
(12,2),(12,4),-0.0835019 # DEPENDENCYPART_SIBL
(12,2),(12,5),-0.0083691 # DEPENDENCYPART_SIBL
(12,2),(12,6),-0.0835019 # DEPENDENCYPART_SIBL
(12,2),(12,7),-0.00653348 # DEPENDENCYPART_SIBL
(12,2),(12,8),-0.0287663 # DEPENDENCYPART_SIBL
(12,2),(12,9),-0.0150002 # DEPENDENCYPART_SIBL
(12,2),(12,10),-0.00631978 # DEPENDENCYPART_SIBL
(12,2),(12,11),0.0169062 # DEPENDENCYPART_SIBL
(12,2),(12,13),0.0110944 # DEPENDENCYPART_SIBL
(12,2),(12,14),-0.00778004 # DEPENDENCYPART_SIBL
(12,2),(12,15),0.0597777 # DEPENDENCYPART_SIBL
(12,2),(12,16),0.0104313 # DEPENDENCYPART_SIBL
(12,3),(12,4),-0.0608129 # DEPENDENCYPART_SIBL
(12,3),(12,5),-0.00383796 # DEPENDENCYPART_SIBL
(12,3),(12,6),-0.0608129 # DEPENDENCYPART_SIBL
(12,3),(12,7),0.00788362 # DEPENDENCYPART_SIBL
(12,3),(12,8),0.0108836 # DEPENDENCYPART_SIBL
(12,3),(12,9),0.0139112 # DEPENDENCYPART_SIBL
(12,3),(12,10),0.00799569 # DEPENDENCYPART_SIBL
(12,3),(12,11),0.0373251 # DEPENDENCYPART_SIBL
(12,3),(12,13),-0.0415374 # DEPENDENCYPART_SIBL
(12,3),(12,14),-0.014626 # DEPENDENCYPART_SIBL
(12,3),(12,15),0.0497689 # DEPENDENCYPART_SIBL
(12,3),(12,16),-0.0342661 # DEPENDENCYPART_SIBL
(12,4),(12,5),-0.11335 # DEPENDENCYPART_SIBL
(12,4),(12,6),-0.13427 # DEPENDENCYPART_SIBL
(12,4),(12,7),-0.17503 # DEPENDENCYPART_SIBL
(12,4),(12,8),-0.102657 # DEPENDENCYPART_SIBL
(12,4),(12,9),-0.0599506 # DEPENDENCYPART_SIBL
(12,4),(12,10),-0.174919 # DEPENDENCYPART_SIBL
(12,4),(12,11),-0.0770864 # DEPENDENCYPART_SIBL
(12,4),(12,13),-0.00572243 # DEPENDENCYPART_SIBL
(12,4),(12,14),-0.0296214 # DEPENDENCYPART_SIBL
(12,4),(12,15),-0.00841516 # DEPENDENCYPART_SIBL
(12,4),(12,16),-0.00323158 # DEPENDENCYPART_SIBL
(12,5),(12,6),-0.0469165 # DEPENDENCYPART_SIBL
(12,5),(12,7),-0.0270196 # DEPENDENCYPART_SIBL
(12,5),(12,8),0.00392305 # DEPENDENCYPART_SIBL
(12,5),(12,9),0.0221633 # DEPENDENCYPART_SIBL
(12,5),(12,10),-0.0267883 # DEPENDENCYPART_SIBL
(12,5),(12,11),0.0333433 # DEPENDENCYPART_SIBL
(12,5),(12,13),-0.0171415 # DEPENDENCYPART_SIBL
(12,5),(12,14),-0.0208883 # DEPENDENCYPART_SIBL
(12,5),(12,15),0.00780391 # DEPENDENCYPART_SIBL
(12,5),(12,16),-0.0146539 # DEPENDENCYPART_SIBL
(12,6),(12,7),-0.17503 # DEPENDENCYPART_SIBL
(12,6),(12,8),-0.102657 # DEPENDENCYPART_SIBL
(12,6),(12,9),-0.0599506 # DEPENDENCYPART_SIBL
(12,6),(12,10),-0.174919 # DEPENDENCYPART_SIBL
(12,6),(12,11),-0.0770864 # DEPENDENCYPART_SIBL
(12,6),(12,13),-0.00572243 # DEPENDENCYPART_SIBL
(12,6),(12,14),-0.0296214 # DEPENDENCYPART_SIBL
(12,6),(12,15),-0.00841516 # DEPENDENCYPART_SIBL
(12,6),(12,16),-0.00323158 # DEPENDENCYPART_SIBL
(12,7),(12,8),-0.0101432 # DEPENDENCYPART_SIBL
(12,7),(12,9),0.00274692 # DEPENDENCYPART_SIBL
(12,7),(12,10),-0.0313577 # DEPENDENCYPART_SIBL
(12,7),(12,11),0.0323999 # DEPENDENCYPART_SIBL
(12,7),(12,13),-0.0249445 # DEPENDENCYPART_SIBL
(12,7),(12,14),-0.0104275 # DEPENDENCYPART_SIBL
(12,7),(12,15),0.0258542 # DEPENDENCYPART_SIBL
(12,7),(12,16),-0.0176732 # DEPENDENCYPART_SIBL
(12,8),(12,9),-0.0144988 # DEPENDENCYPART_SIBL
(12,8),(12,10),-0.00713848 # DEPENDENCYPART_SIBL
(12,8),(12,11),0.0174096 # DEPENDENCYPART_SIBL
(12,8),(12,13),0.0153044 # DEPENDENCYPART_SIBL
(12,8),(12,14),-0.00687912 # DEPENDENCYPART_SIBL
(12,8),(12,15),0.0632525 # DEPENDENCYPART_SIBL
(12,8),(12,16),0.0146412 # DEPENDENCYPART_SIBL
(12,9),(12,10),-0.0126459 # DEPENDENCYPART_SIBL
(12,9),(12,11),-0.0149449 # DEPENDENCYPART_SIBL
(12,9),(12,13),-0.0212686 # DEPENDENCYPART_SIBL
(12,9),(12,14),0.0326726 # DEPENDENCYPART_SIBL
(12,9),(12,15),-0.0734645 # DEPENDENCYPART_SIBL
(12,9),(12,16),-0.018783 # DEPENDENCYPART_SIBL
(12,10),(12,11),0.0363477 # DEPENDENCYPART_SIBL
(12,10),(12,13),-0.0273403 # DEPENDENCYPART_SIBL
(12,10),(12,14),-0.0229573 # DEPENDENCYPART_SIBL
(12,10),(12,15),0.021013 # DEPENDENCYPART_SIBL
(12,10),(12,16),-0.020069 # DEPENDENCYPART_SIBL
