# _root_ irakaskuntza esparruan hezkuntza sistema propioa eduki beharra azpimarratzen da , eta kultura arloa naziotasuna , euskaltasuna eta herritasunaren_gainean oinarritzeko proposatzen da .
#goldHeads=2,8,4,6,4,8,6,11,8,9,0,13,19,17,14,17,0,17,20,11,20,21,
#predictedHeads=2,6,4,6,4,7,8,11,8,9,0,13,14,17,14,17,19,17,20,11,20,21,
(6,3),(6,7),-0.00144947 # DEPENDENCYPART_SIBL
(6,3),(6,8),0.0230018 # DEPENDENCYPART_SIBL
(6,3),(6,9),0.0237237 # DEPENDENCYPART_SIBL
(6,3),(6,10),0.0149625 # DEPENDENCYPART_SIBL
(6,3),(6,11),-0.014653 # DEPENDENCYPART_SIBL
(6,3),(6,14),-0.01265 # DEPENDENCYPART_SIBL
(6,3),(6,15),0.0149625 # DEPENDENCYPART_SIBL
(6,3),(6,17),-0.014653 # DEPENDENCYPART_SIBL
(6,3),(6,19),0.0207387 # DEPENDENCYPART_SIBL
(6,3),(6,20),0.0139929 # DEPENDENCYPART_SIBL
(6,3),(6,21),0.0237237 # DEPENDENCYPART_SIBL
(6,4),(6,5),-0.0102027 # DEPENDENCYPART_SIBL
(6,4),(6,7),0.0293836 # DEPENDENCYPART_SIBL
(6,4),(6,8),0.0295587 # DEPENDENCYPART_SIBL
(6,4),(6,9),0.0391108 # DEPENDENCYPART_SIBL
(6,4),(6,10),0.021854 # DEPENDENCYPART_SIBL
(6,4),(6,11),0.00364244 # DEPENDENCYPART_SIBL
(6,4),(6,14),0.00966086 # DEPENDENCYPART_SIBL
(6,4),(6,15),0.021854 # DEPENDENCYPART_SIBL
(6,4),(6,17),0.00364244 # DEPENDENCYPART_SIBL
(6,4),(6,19),0.0272956 # DEPENDENCYPART_SIBL
(6,4),(6,20),0.0205497 # DEPENDENCYPART_SIBL
(6,4),(6,21),0.0391108 # DEPENDENCYPART_SIBL
(6,5),(6,7),-0.00863508 # DEPENDENCYPART_SIBL
(6,5),(6,8),0.0130991 # DEPENDENCYPART_SIBL
(6,5),(6,9),0.0516132 # DEPENDENCYPART_SIBL
(6,5),(6,10),0.00290404 # DEPENDENCYPART_SIBL
(6,5),(6,11),-0.00184576 # DEPENDENCYPART_SIBL
(6,5),(6,14),-0.0123781 # DEPENDENCYPART_SIBL
(6,5),(6,15),0.00290404 # DEPENDENCYPART_SIBL
(6,5),(6,17),-0.00184576 # DEPENDENCYPART_SIBL
(6,5),(6,19),0.0120553 # DEPENDENCYPART_SIBL
(6,5),(6,20),0.00930376 # DEPENDENCYPART_SIBL
(6,5),(6,21),0.0516132 # DEPENDENCYPART_SIBL
(6,7),(6,8),-0.0158014 # DEPENDENCYPART_SIBL
(6,7),(6,9),-0.0213066 # DEPENDENCYPART_SIBL
(6,7),(6,10),-0.0291882 # DEPENDENCYPART_SIBL
(6,7),(6,11),-0.0184237 # DEPENDENCYPART_SIBL
(6,7),(6,14),-0.015209 # DEPENDENCYPART_SIBL
(6,7),(6,15),-0.0291882 # DEPENDENCYPART_SIBL
(6,7),(6,17),-0.0184237 # DEPENDENCYPART_SIBL
(6,7),(6,19),-0.0184255 # DEPENDENCYPART_SIBL
(6,7),(6,20),-0.0181259 # DEPENDENCYPART_SIBL
(6,7),(6,21),-0.0213066 # DEPENDENCYPART_SIBL
(6,8),(6,9),0.0175215 # DEPENDENCYPART_SIBL
(6,8),(6,10),-0.0484533 # DEPENDENCYPART_SIBL
(6,8),(6,11),-0.0409935 # DEPENDENCYPART_SIBL
(6,8),(6,14),-0.0453906 # DEPENDENCYPART_SIBL
(6,8),(6,15),-0.0484533 # DEPENDENCYPART_SIBL
(6,8),(6,17),-0.0409935 # DEPENDENCYPART_SIBL
(6,8),(6,19),-0.023456 # DEPENDENCYPART_SIBL
(6,8),(6,20),-0.0260216 # DEPENDENCYPART_SIBL
(6,8),(6,21),0.0175215 # DEPENDENCYPART_SIBL
(6,9),(6,10),0.0141713 # DEPENDENCYPART_SIBL
(6,9),(6,11),0.0104327 # DEPENDENCYPART_SIBL
(6,9),(6,14),0.0913109 # DEPENDENCYPART_SIBL
(6,9),(6,15),0.0141713 # DEPENDENCYPART_SIBL
(6,9),(6,17),0.0104327 # DEPENDENCYPART_SIBL
(6,9),(6,19),0.0797678 # DEPENDENCYPART_SIBL
(6,9),(6,20),0.0790028 # DEPENDENCYPART_SIBL
(6,9),(6,21),-0.134338 # DEPENDENCYPART_SIBL
(6,10),(6,11),-0.0468171 # DEPENDENCYPART_SIBL
(6,10),(6,14),-0.0970364 # DEPENDENCYPART_SIBL
(6,10),(6,15),-0.276255 # DEPENDENCYPART_SIBL
(6,10),(6,17),-0.0468171 # DEPENDENCYPART_SIBL
(6,10),(6,19),-0.0404463 # DEPENDENCYPART_SIBL
(6,10),(6,20),-0.0394304 # DEPENDENCYPART_SIBL
(6,10),(6,21),-0.0893085 # DEPENDENCYPART_SIBL
(6,11),(6,14),0.00258791 # DEPENDENCYPART_SIBL
(6,11),(6,15),-0.0146065 # DEPENDENCYPART_SIBL
(6,11),(6,17),-0.0146909 # DEPENDENCYPART_SIBL
(6,11),(6,19),-0.0268308 # DEPENDENCYPART_SIBL
(6,11),(6,20),-0.0280567 # DEPENDENCYPART_SIBL
(6,11),(6,21),-0.0126713 # DEPENDENCYPART_SIBL
(6,14),(6,15),-0.0287287 # DEPENDENCYPART_SIBL
(6,14),(6,17),-0.0177629 # DEPENDENCYPART_SIBL
(6,14),(6,19),-0.0179399 # DEPENDENCYPART_SIBL
(6,14),(6,20),-0.0176404 # DEPENDENCYPART_SIBL
(6,14),(6,21),-0.0208119 # DEPENDENCYPART_SIBL
(6,15),(6,17),-0.0468171 # DEPENDENCYPART_SIBL
(6,15),(6,19),-0.0404463 # DEPENDENCYPART_SIBL
(6,15),(6,20),-0.0394304 # DEPENDENCYPART_SIBL
(6,15),(6,21),-0.0893085 # DEPENDENCYPART_SIBL
(6,17),(6,19),-0.0268308 # DEPENDENCYPART_SIBL
(6,17),(6,20),-0.0280567 # DEPENDENCYPART_SIBL
(6,17),(6,21),-0.0126713 # DEPENDENCYPART_SIBL
(6,19),(6,20),-0.0260216 # DEPENDENCYPART_SIBL
(6,19),(6,21),0.0175215 # DEPENDENCYPART_SIBL
(6,20),(6,21),0.0168787 # DEPENDENCYPART_SIBL
(7,2),(7,3),-0.00865487 # DEPENDENCYPART_SIBL
(7,2),(7,4),-0.00491393 # DEPENDENCYPART_SIBL
(7,2),(7,5),0.013659 # DEPENDENCYPART_SIBL
(7,2),(7,6),-0.0160377 # DEPENDENCYPART_SIBL
(7,2),(7,8),0.0329179 # DEPENDENCYPART_SIBL
(7,2),(7,9),0.0365074 # DEPENDENCYPART_SIBL
(7,2),(7,10),0.0534364 # DEPENDENCYPART_SIBL
(7,2),(7,12),-0.00771181 # DEPENDENCYPART_SIBL
(7,3),(7,4),-0.00491393 # DEPENDENCYPART_SIBL
(7,3),(7,5),0.013659 # DEPENDENCYPART_SIBL
(7,3),(7,6),-0.0160377 # DEPENDENCYPART_SIBL
(7,3),(7,8),0.0329179 # DEPENDENCYPART_SIBL
(7,3),(7,9),0.0365074 # DEPENDENCYPART_SIBL
(7,3),(7,10),0.0534364 # DEPENDENCYPART_SIBL
(7,3),(7,12),-0.00771181 # DEPENDENCYPART_SIBL
(7,4),(7,5),0.013333 # DEPENDENCYPART_SIBL
(7,4),(7,6),-0.017045 # DEPENDENCYPART_SIBL
(7,4),(7,8),0.0283612 # DEPENDENCYPART_SIBL
(7,4),(7,9),0.0363262 # DEPENDENCYPART_SIBL
(7,4),(7,10),0.0494636 # DEPENDENCYPART_SIBL
(7,4),(7,12),-0.000644443 # DEPENDENCYPART_SIBL
(7,5),(7,6),-0.0705847 # DEPENDENCYPART_SIBL
(7,5),(7,8),-0.015571 # DEPENDENCYPART_SIBL
(7,5),(7,9),0.0078068 # DEPENDENCYPART_SIBL
(7,5),(7,10),-0.0196719 # DEPENDENCYPART_SIBL
(7,5),(7,12),-0.0359558 # DEPENDENCYPART_SIBL
(7,6),(7,8),0.0238405 # DEPENDENCYPART_SIBL
(7,6),(7,9),0.108518 # DEPENDENCYPART_SIBL
(7,6),(7,10),0.00054437 # DEPENDENCYPART_SIBL
(7,6),(7,12),-0.00222585 # DEPENDENCYPART_SIBL
(7,8),(7,9),0.0216082 # DEPENDENCYPART_SIBL
(7,8),(7,10),-0.0764872 # DEPENDENCYPART_SIBL
(7,8),(7,12),-0.00641272 # DEPENDENCYPART_SIBL
(7,9),(7,10),-0.0552178 # DEPENDENCYPART_SIBL
(7,9),(7,12),0.0550357 # DEPENDENCYPART_SIBL
(7,10),(7,12),-0.0501084 # DEPENDENCYPART_SIBL
(8,1),(8,2),-0.0311879 # DEPENDENCYPART_SIBL
(8,1),(8,3),-0.0311879 # DEPENDENCYPART_SIBL
(8,1),(8,4),-0.0335624 # DEPENDENCYPART_SIBL
(8,1),(8,5),-0.0144013 # DEPENDENCYPART_SIBL
(8,1),(8,6),-0.00171903 # DEPENDENCYPART_SIBL
(8,1),(8,7),-0.00476424 # DEPENDENCYPART_SIBL
(8,1),(8,9),0.0132212 # DEPENDENCYPART_SIBL
(8,1),(8,10),0.00319672 # DEPENDENCYPART_SIBL
(8,1),(8,11),-0.0226805 # DEPENDENCYPART_SIBL
(8,1),(8,12),-0.0276212 # DEPENDENCYPART_SIBL
(8,1),(8,13),-0.0224483 # DEPENDENCYPART_SIBL
(8,1),(8,14),-0.0224483 # DEPENDENCYPART_SIBL
(8,1),(8,15),0.00319672 # DEPENDENCYPART_SIBL
(8,1),(8,16),-0.0224483 # DEPENDENCYPART_SIBL
(8,1),(8,17),-0.0226805 # DEPENDENCYPART_SIBL
(8,1),(8,18),-0.0224483 # DEPENDENCYPART_SIBL
(8,1),(8,19),-0.00858257 # DEPENDENCYPART_SIBL
(8,1),(8,20),-0.0153284 # DEPENDENCYPART_SIBL
(8,1),(8,21),0.0132212 # DEPENDENCYPART_SIBL
(8,2),(8,3),-0.0297565 # DEPENDENCYPART_SIBL
(8,2),(8,4),-0.0321309 # DEPENDENCYPART_SIBL
(8,2),(8,5),-0.013708 # DEPENDENCYPART_SIBL
(8,2),(8,6),-0.00116786 # DEPENDENCYPART_SIBL
(8,2),(8,7),-0.00333277 # DEPENDENCYPART_SIBL
(8,2),(8,9),0.0137711 # DEPENDENCYPART_SIBL
(8,2),(8,10),0.00593605 # DEPENDENCYPART_SIBL
(8,2),(8,11),-0.0221216 # DEPENDENCYPART_SIBL
(8,2),(8,12),-0.0252915 # DEPENDENCYPART_SIBL
(8,2),(8,13),-0.0201186 # DEPENDENCYPART_SIBL
(8,2),(8,14),-0.0201186 # DEPENDENCYPART_SIBL
(8,2),(8,15),0.00593605 # DEPENDENCYPART_SIBL
(8,2),(8,16),-0.0201186 # DEPENDENCYPART_SIBL
(8,2),(8,17),-0.0221216 # DEPENDENCYPART_SIBL
(8,2),(8,18),-0.0201186 # DEPENDENCYPART_SIBL
(8,2),(8,19),-0.00803417 # DEPENDENCYPART_SIBL
(8,2),(8,20),-0.01478 # DEPENDENCYPART_SIBL
(8,2),(8,21),0.0137711 # DEPENDENCYPART_SIBL
(8,3),(8,4),-0.0321309 # DEPENDENCYPART_SIBL
(8,3),(8,5),-0.013708 # DEPENDENCYPART_SIBL
(8,3),(8,6),-0.00116786 # DEPENDENCYPART_SIBL
(8,3),(8,7),-0.00333277 # DEPENDENCYPART_SIBL
(8,3),(8,9),0.0137711 # DEPENDENCYPART_SIBL
(8,3),(8,10),0.00593605 # DEPENDENCYPART_SIBL
(8,3),(8,11),-0.0221216 # DEPENDENCYPART_SIBL
(8,3),(8,12),-0.0252915 # DEPENDENCYPART_SIBL
(8,3),(8,13),-0.0201186 # DEPENDENCYPART_SIBL
(8,3),(8,14),-0.0201186 # DEPENDENCYPART_SIBL
(8,3),(8,15),0.00593605 # DEPENDENCYPART_SIBL
(8,3),(8,16),-0.0201186 # DEPENDENCYPART_SIBL
(8,3),(8,17),-0.0221216 # DEPENDENCYPART_SIBL
(8,3),(8,18),-0.0201186 # DEPENDENCYPART_SIBL
(8,3),(8,19),-0.00803417 # DEPENDENCYPART_SIBL
(8,3),(8,20),-0.01478 # DEPENDENCYPART_SIBL
(8,3),(8,21),0.0137711 # DEPENDENCYPART_SIBL
(8,4),(8,5),-0.0162649 # DEPENDENCYPART_SIBL
(8,4),(8,6),-0.00508638 # DEPENDENCYPART_SIBL
(8,4),(8,7),-0.00559774 # DEPENDENCYPART_SIBL
(8,4),(8,9),0.0291582 # DEPENDENCYPART_SIBL
(8,4),(8,10),0.0128275 # DEPENDENCYPART_SIBL
(8,4),(8,11),-0.00382613 # DEPENDENCYPART_SIBL
(8,4),(8,12),-0.00298067 # DEPENDENCYPART_SIBL
(8,4),(8,13),0.00219229 # DEPENDENCYPART_SIBL
(8,4),(8,14),0.00219229 # DEPENDENCYPART_SIBL
(8,4),(8,15),0.0128275 # DEPENDENCYPART_SIBL
(8,4),(8,16),0.00219229 # DEPENDENCYPART_SIBL
(8,4),(8,17),-0.00382613 # DEPENDENCYPART_SIBL
(8,4),(8,18),0.00219229 # DEPENDENCYPART_SIBL
(8,4),(8,19),-0.00147733 # DEPENDENCYPART_SIBL
(8,4),(8,20),-0.00822316 # DEPENDENCYPART_SIBL
(8,4),(8,21),0.0291582 # DEPENDENCYPART_SIBL
(8,5),(8,6),-0.0034206 # DEPENDENCYPART_SIBL
(8,5),(8,7),-0.00107322 # DEPENDENCYPART_SIBL
(8,5),(8,9),0.0443898 # DEPENDENCYPART_SIBL
(8,5),(8,10),-0.00059732 # DEPENDENCYPART_SIBL
(8,5),(8,11),-0.00421548 # DEPENDENCYPART_SIBL
(8,5),(8,12),-0.014925 # DEPENDENCYPART_SIBL
(8,5),(8,13),-0.0147478 # DEPENDENCYPART_SIBL
(8,5),(8,14),-0.0147478 # DEPENDENCYPART_SIBL
(8,5),(8,15),-0.00059732 # DEPENDENCYPART_SIBL
(8,5),(8,16),-0.0147478 # DEPENDENCYPART_SIBL
(8,5),(8,17),-0.00421548 # DEPENDENCYPART_SIBL
(8,5),(8,18),-0.0147478 # DEPENDENCYPART_SIBL
(8,5),(8,19),-0.00518456 # DEPENDENCYPART_SIBL
(8,5),(8,20),-0.00793613 # DEPENDENCYPART_SIBL
(8,5),(8,21),0.0443898 # DEPENDENCYPART_SIBL
(8,6),(8,7),-0.00197992 # DEPENDENCYPART_SIBL
(8,6),(8,9),0.0938564 # DEPENDENCYPART_SIBL
(8,6),(8,10),-0.00334837 # DEPENDENCYPART_SIBL
(8,6),(8,11),0.00512078 # DEPENDENCYPART_SIBL
(8,6),(8,12),0.0151618 # DEPENDENCYPART_SIBL
(8,6),(8,13),0.0154008 # DEPENDENCYPART_SIBL
(8,6),(8,14),0.0154008 # DEPENDENCYPART_SIBL
(8,6),(8,15),-0.00334837 # DEPENDENCYPART_SIBL
(8,6),(8,16),0.0154008 # DEPENDENCYPART_SIBL
(8,6),(8,17),0.00512078 # DEPENDENCYPART_SIBL
(8,6),(8,18),0.0154008 # DEPENDENCYPART_SIBL
(8,6),(8,19),0.00728505 # DEPENDENCYPART_SIBL
(8,6),(8,20),0.00310287 # DEPENDENCYPART_SIBL
(8,6),(8,21),0.0938564 # DEPENDENCYPART_SIBL
(8,7),(8,9),-0.0123988 # DEPENDENCYPART_SIBL
(8,7),(8,10),-0.0181313 # DEPENDENCYPART_SIBL
(8,7),(8,11),-0.0477195 # DEPENDENCYPART_SIBL
(8,7),(8,12),-0.0694715 # DEPENDENCYPART_SIBL
(8,7),(8,13),-0.0642985 # DEPENDENCYPART_SIBL
(8,7),(8,14),-0.0642985 # DEPENDENCYPART_SIBL
(8,7),(8,15),-0.0181313 # DEPENDENCYPART_SIBL
(8,7),(8,16),-0.0642985 # DEPENDENCYPART_SIBL
(8,7),(8,17),-0.0477195 # DEPENDENCYPART_SIBL
(8,7),(8,18),-0.0642985 # DEPENDENCYPART_SIBL
(8,7),(8,19),-0.0304771 # DEPENDENCYPART_SIBL
(8,7),(8,20),-0.0372229 # DEPENDENCYPART_SIBL
(8,7),(8,21),-0.0123988 # DEPENDENCYPART_SIBL
(8,9),(8,10),0.0141713 # DEPENDENCYPART_SIBL
(8,9),(8,11),0.0104327 # DEPENDENCYPART_SIBL
(8,9),(8,12),0.0913109 # DEPENDENCYPART_SIBL
(8,9),(8,13),0.0913109 # DEPENDENCYPART_SIBL
(8,9),(8,14),0.0913109 # DEPENDENCYPART_SIBL
(8,9),(8,15),0.0141713 # DEPENDENCYPART_SIBL
(8,9),(8,16),0.0913109 # DEPENDENCYPART_SIBL
(8,9),(8,17),0.0104327 # DEPENDENCYPART_SIBL
(8,9),(8,18),0.0913109 # DEPENDENCYPART_SIBL
(8,9),(8,19),0.0797678 # DEPENDENCYPART_SIBL
(8,9),(8,20),0.0790028 # DEPENDENCYPART_SIBL
(8,9),(8,21),-0.134299 # DEPENDENCYPART_SIBL
(8,10),(8,11),-0.0468171 # DEPENDENCYPART_SIBL
(8,10),(8,12),-0.097646 # DEPENDENCYPART_SIBL
(8,10),(8,13),-0.0970364 # DEPENDENCYPART_SIBL
(8,10),(8,14),-0.0970364 # DEPENDENCYPART_SIBL
(8,10),(8,15),-0.276255 # DEPENDENCYPART_SIBL
(8,10),(8,16),-0.0970364 # DEPENDENCYPART_SIBL
(8,10),(8,17),-0.0468171 # DEPENDENCYPART_SIBL
(8,10),(8,18),-0.0970364 # DEPENDENCYPART_SIBL
(8,10),(8,19),-0.0404463 # DEPENDENCYPART_SIBL
(8,10),(8,20),-0.0394304 # DEPENDENCYPART_SIBL
(8,10),(8,21),-0.0892699 # DEPENDENCYPART_SIBL
(8,11),(8,12),0.00258793 # DEPENDENCYPART_SIBL
(8,11),(8,13),0.00258793 # DEPENDENCYPART_SIBL
(8,11),(8,14),0.00258793 # DEPENDENCYPART_SIBL
(8,11),(8,15),-0.0146065 # DEPENDENCYPART_SIBL
(8,11),(8,16),0.00258793 # DEPENDENCYPART_SIBL
(8,11),(8,17),-0.0146909 # DEPENDENCYPART_SIBL
(8,11),(8,18),0.00258793 # DEPENDENCYPART_SIBL
(8,11),(8,19),-0.0268307 # DEPENDENCYPART_SIBL
(8,11),(8,20),-0.0280567 # DEPENDENCYPART_SIBL
(8,11),(8,21),-0.0126327 # DEPENDENCYPART_SIBL
(8,12),(8,13),-0.0147495 # DEPENDENCYPART_SIBL
(8,12),(8,14),-0.0147495 # DEPENDENCYPART_SIBL
(8,12),(8,15),-0.0287287 # DEPENDENCYPART_SIBL
(8,12),(8,16),-0.0147495 # DEPENDENCYPART_SIBL
(8,12),(8,17),-0.0177629 # DEPENDENCYPART_SIBL
(8,12),(8,18),-0.0147495 # DEPENDENCYPART_SIBL
(8,12),(8,19),-0.0179399 # DEPENDENCYPART_SIBL
(8,12),(8,20),-0.0176404 # DEPENDENCYPART_SIBL
(8,12),(8,21),-0.0207733 # DEPENDENCYPART_SIBL
(8,13),(8,14),-0.0147462 # DEPENDENCYPART_SIBL
(8,13),(8,15),-0.0287287 # DEPENDENCYPART_SIBL
(8,13),(8,16),-0.0147462 # DEPENDENCYPART_SIBL
(8,13),(8,17),-0.0177629 # DEPENDENCYPART_SIBL
(8,13),(8,18),-0.0147462 # DEPENDENCYPART_SIBL
(8,13),(8,19),-0.0179399 # DEPENDENCYPART_SIBL
(8,13),(8,20),-0.0176404 # DEPENDENCYPART_SIBL
(8,13),(8,21),-0.0207733 # DEPENDENCYPART_SIBL
(8,14),(8,15),-0.0287287 # DEPENDENCYPART_SIBL
(8,14),(8,16),-0.0147462 # DEPENDENCYPART_SIBL
(8,14),(8,17),-0.0177629 # DEPENDENCYPART_SIBL
(8,14),(8,18),-0.0147462 # DEPENDENCYPART_SIBL
(8,14),(8,19),-0.0179399 # DEPENDENCYPART_SIBL
(8,14),(8,20),-0.0176404 # DEPENDENCYPART_SIBL
(8,14),(8,21),-0.0207733 # DEPENDENCYPART_SIBL
(8,15),(8,16),-0.0970364 # DEPENDENCYPART_SIBL
(8,15),(8,17),-0.0468171 # DEPENDENCYPART_SIBL
(8,15),(8,18),-0.0970364 # DEPENDENCYPART_SIBL
(8,15),(8,19),-0.0404463 # DEPENDENCYPART_SIBL
(8,15),(8,20),-0.0394304 # DEPENDENCYPART_SIBL
(8,15),(8,21),-0.0892699 # DEPENDENCYPART_SIBL
(8,16),(8,17),-0.0177629 # DEPENDENCYPART_SIBL
(8,16),(8,18),-0.0147462 # DEPENDENCYPART_SIBL
(8,16),(8,19),-0.0179399 # DEPENDENCYPART_SIBL
(8,16),(8,20),-0.0176404 # DEPENDENCYPART_SIBL
(8,16),(8,21),-0.0207733 # DEPENDENCYPART_SIBL
(8,17),(8,18),0.00258793 # DEPENDENCYPART_SIBL
(8,17),(8,19),-0.0268307 # DEPENDENCYPART_SIBL
(8,17),(8,20),-0.0280567 # DEPENDENCYPART_SIBL
(8,17),(8,21),-0.0126327 # DEPENDENCYPART_SIBL
(8,18),(8,19),-0.0179399 # DEPENDENCYPART_SIBL
(8,18),(8,20),-0.0176404 # DEPENDENCYPART_SIBL
(8,18),(8,21),-0.0207733 # DEPENDENCYPART_SIBL
(8,19),(8,20),-0.0260203 # DEPENDENCYPART_SIBL
(8,19),(8,21),0.0175627 # DEPENDENCYPART_SIBL
(8,20),(8,21),0.0169199 # DEPENDENCYPART_SIBL
(9,7),(9,10),0.0355092 # DEPENDENCYPART_SIBL
(9,7),(9,17),0.0318798 # DEPENDENCYPART_SIBL
(9,7),(9,20),0.05991 # DEPENDENCYPART_SIBL
(9,10),(9,17),-0.0482282 # DEPENDENCYPART_SIBL
(9,10),(9,20),-0.0391318 # DEPENDENCYPART_SIBL
(9,17),(9,20),-0.0370599 # DEPENDENCYPART_SIBL
(10,6),(10,8),-0.0208604 # DEPENDENCYPART_SIBL
(10,6),(10,9),-0.0363368 # DEPENDENCYPART_SIBL
(10,6),(10,11),0.185992 # DEPENDENCYPART_SIBL
(10,6),(10,20),0.377665 # DEPENDENCYPART_SIBL
(10,8),(10,9),-0.0363368 # DEPENDENCYPART_SIBL
(10,8),(10,11),0.185992 # DEPENDENCYPART_SIBL
(10,8),(10,20),0.377665 # DEPENDENCYPART_SIBL
(10,9),(10,11),-0.0229414 # DEPENDENCYPART_SIBL
(10,9),(10,20),0.0971006 # DEPENDENCYPART_SIBL
(10,11),(10,20),-0.0369304 # DEPENDENCYPART_SIBL
(11,1),(11,4),-0.00497076 # DEPENDENCYPART_SIBL
(11,1),(11,6),-0.00153655 # DEPENDENCYPART_SIBL
(11,1),(11,7),0.00390536 # DEPENDENCYPART_SIBL
(11,1),(11,8),-0.00139844 # DEPENDENCYPART_SIBL
(11,1),(11,9),-0.0202906 # DEPENDENCYPART_SIBL
(11,1),(11,10),-0.0536027 # DEPENDENCYPART_SIBL
(11,1),(11,12),0.0421709 # DEPENDENCYPART_SIBL
(11,1),(11,13),0.0513935 # DEPENDENCYPART_SIBL
(11,1),(11,14),0.0513935 # DEPENDENCYPART_SIBL
(11,1),(11,15),-0.0848722 # DEPENDENCYPART_SIBL
(11,1),(11,16),0.0513935 # DEPENDENCYPART_SIBL
(11,1),(11,17),-0.00345902 # DEPENDENCYPART_SIBL
(11,1),(11,18),0.0513935 # DEPENDENCYPART_SIBL
(11,1),(11,19),-0.0802437 # DEPENDENCYPART_SIBL
(11,1),(11,20),-0.0853785 # DEPENDENCYPART_SIBL
(11,4),(11,6),-0.000484299 # DEPENDENCYPART_SIBL
(11,4),(11,7),0.00842461 # DEPENDENCYPART_SIBL
(11,4),(11,8),-0.000346189 # DEPENDENCYPART_SIBL
(11,4),(11,9),-0.0185334 # DEPENDENCYPART_SIBL
(11,4),(11,10),-0.0518455 # DEPENDENCYPART_SIBL
(11,4),(11,12),0.0873457 # DEPENDENCYPART_SIBL
(11,4),(11,13),0.0965683 # DEPENDENCYPART_SIBL
(11,4),(11,14),0.0965683 # DEPENDENCYPART_SIBL
(11,4),(11,15),-0.069312 # DEPENDENCYPART_SIBL
(11,4),(11,16),0.0965683 # DEPENDENCYPART_SIBL
(11,4),(11,17),0.0157081 # DEPENDENCYPART_SIBL
(11,4),(11,18),0.0965683 # DEPENDENCYPART_SIBL
(11,4),(11,19),-0.0670243 # DEPENDENCYPART_SIBL
(11,4),(11,20),-0.0721591 # DEPENDENCYPART_SIBL
(11,6),(11,7),-0.221623 # DEPENDENCYPART_SIBL
(11,6),(11,8),-0.0243826 # DEPENDENCYPART_SIBL
(11,6),(11,9),-0.101124 # DEPENDENCYPART_SIBL
(11,6),(11,10),-0.124463 # DEPENDENCYPART_SIBL
(11,6),(11,12),-0.141601 # DEPENDENCYPART_SIBL
(11,6),(11,13),-0.138392 # DEPENDENCYPART_SIBL
(11,6),(11,14),-0.138392 # DEPENDENCYPART_SIBL
(11,6),(11,15),-0.00200741 # DEPENDENCYPART_SIBL
(11,6),(11,16),-0.138392 # DEPENDENCYPART_SIBL
(11,6),(11,17),-0.00913131 # DEPENDENCYPART_SIBL
(11,6),(11,18),-0.138392 # DEPENDENCYPART_SIBL
(11,6),(11,19),0.083447 # DEPENDENCYPART_SIBL
(11,6),(11,20),0.0747561 # DEPENDENCYPART_SIBL
(11,7),(11,8),0.000285331 # DEPENDENCYPART_SIBL
(11,7),(11,9),-0.0186068 # DEPENDENCYPART_SIBL
(11,7),(11,10),-0.0519189 # DEPENDENCYPART_SIBL
(11,7),(11,12),0.0542002 # DEPENDENCYPART_SIBL
(11,7),(11,13),0.0634228 # DEPENDENCYPART_SIBL
(11,7),(11,14),0.0634228 # DEPENDENCYPART_SIBL
(11,7),(11,15),-0.0770148 # DEPENDENCYPART_SIBL
(11,7),(11,16),0.0634228 # DEPENDENCYPART_SIBL
(11,7),(11,17),0.00343369 # DEPENDENCYPART_SIBL
(11,7),(11,18),0.0634228 # DEPENDENCYPART_SIBL
(11,7),(11,19),-0.0699988 # DEPENDENCYPART_SIBL
(11,7),(11,20),-0.0751336 # DEPENDENCYPART_SIBL
(11,8),(11,9),-0.101124 # DEPENDENCYPART_SIBL
(11,8),(11,10),-0.124463 # DEPENDENCYPART_SIBL
(11,8),(11,12),-0.141601 # DEPENDENCYPART_SIBL
(11,8),(11,13),-0.138392 # DEPENDENCYPART_SIBL
(11,8),(11,14),-0.138392 # DEPENDENCYPART_SIBL
(11,8),(11,15),-0.00493908 # DEPENDENCYPART_SIBL
(11,8),(11,16),-0.138392 # DEPENDENCYPART_SIBL
(11,8),(11,17),-0.00913131 # DEPENDENCYPART_SIBL
(11,8),(11,18),-0.138392 # DEPENDENCYPART_SIBL
(11,8),(11,19),0.083447 # DEPENDENCYPART_SIBL
(11,8),(11,20),0.0747561 # DEPENDENCYPART_SIBL
(11,9),(11,10),-0.0286219 # DEPENDENCYPART_SIBL
(11,9),(11,12),-0.0285157 # DEPENDENCYPART_SIBL
(11,9),(11,13),-0.0260246 # DEPENDENCYPART_SIBL
(11,9),(11,14),-0.0260246 # DEPENDENCYPART_SIBL
(11,9),(11,15),-0.0164209 # DEPENDENCYPART_SIBL
(11,9),(11,16),-0.0260246 # DEPENDENCYPART_SIBL
(11,9),(11,17),-0.0422169 # DEPENDENCYPART_SIBL
(11,9),(11,18),-0.0260246 # DEPENDENCYPART_SIBL
(11,9),(11,19),-0.00707353 # DEPENDENCYPART_SIBL
(11,9),(11,20),-0.0114985 # DEPENDENCYPART_SIBL
(11,10),(11,12),-0.0748748 # DEPENDENCYPART_SIBL
(11,10),(11,13),-0.0723837 # DEPENDENCYPART_SIBL
(11,10),(11,14),-0.0723837 # DEPENDENCYPART_SIBL
(11,10),(11,15),0.0253459 # DEPENDENCYPART_SIBL
(11,10),(11,16),-0.0723837 # DEPENDENCYPART_SIBL
