# _root_ adierazi zuenez , " oso erantzun ona " jaso du orain_arte egindako sinadura bilketak , eta hori oso itxaropentsua da .
#goldHeads=16,1,2,3,7,9,6,7,16,9,12,14,14,9,14,0,20,19,20,16,20,
#predictedHeads=9,1,2,3,7,9,6,7,16,9,12,14,14,9,14,0,20,19,20,16,20,
(9,2),(9,3),-0.0467718 # DEPENDENCYPART_SIBL
(9,2),(9,5),-3.66508e-05 # DEPENDENCYPART_SIBL
(9,2),(9,6),0.000120955 # DEPENDENCYPART_SIBL
(9,2),(9,7),-0.00321161 # DEPENDENCYPART_SIBL
(9,2),(9,10),-0.0557253 # DEPENDENCYPART_SIBL
(9,2),(9,11),-0.0342384 # DEPENDENCYPART_SIBL
(9,2),(9,12),0.0327408 # DEPENDENCYPART_SIBL
(9,2),(9,13),-0.0292554 # DEPENDENCYPART_SIBL
(9,2),(9,14),-0.0289628 # DEPENDENCYPART_SIBL
(9,2),(9,15),0.0551035 # DEPENDENCYPART_SIBL
(9,2),(9,16),-0.0462673 # DEPENDENCYPART_SIBL
(9,2),(9,18),-0.0391527 # DEPENDENCYPART_SIBL
(9,2),(9,19),-0.0239779 # DEPENDENCYPART_SIBL
(9,2),(9,20),0.00387854 # DEPENDENCYPART_SIBL
(9,3),(9,5),-0.119597 # DEPENDENCYPART_SIBL
(9,3),(9,6),-0.162905 # DEPENDENCYPART_SIBL
(9,3),(9,7),-0.0859836 # DEPENDENCYPART_SIBL
(9,3),(9,10),-0.00829687 # DEPENDENCYPART_SIBL
(9,3),(9,11),-0.0209416 # DEPENDENCYPART_SIBL
(9,3),(9,12),-0.0105708 # DEPENDENCYPART_SIBL
(9,3),(9,13),-0.0151159 # DEPENDENCYPART_SIBL
(9,3),(9,14),-0.0147475 # DEPENDENCYPART_SIBL
(9,3),(9,15),0.0044926 # DEPENDENCYPART_SIBL
(9,3),(9,16),-0.0560916 # DEPENDENCYPART_SIBL
(9,3),(9,18),-0.0248688 # DEPENDENCYPART_SIBL
(9,3),(9,19),-0.0210404 # DEPENDENCYPART_SIBL
(9,3),(9,20),-0.0316885 # DEPENDENCYPART_SIBL
(9,5),(9,6),-0.0596709 # DEPENDENCYPART_SIBL
(9,5),(9,7),-0.0321604 # DEPENDENCYPART_SIBL
(9,5),(9,10),-0.0246963 # DEPENDENCYPART_SIBL
(9,5),(9,11),-0.0936788 # DEPENDENCYPART_SIBL
(9,5),(9,12),-0.0534064 # DEPENDENCYPART_SIBL
(9,5),(9,13),-0.0788064 # DEPENDENCYPART_SIBL
(9,5),(9,14),-0.0785139 # DEPENDENCYPART_SIBL
(9,5),(9,15),-0.0510682 # DEPENDENCYPART_SIBL
(9,5),(9,16),-0.0790184 # DEPENDENCYPART_SIBL
(9,5),(9,18),-0.102466 # DEPENDENCYPART_SIBL
(9,5),(9,19),-0.0577833 # DEPENDENCYPART_SIBL
(9,5),(9,20),-0.0426998 # DEPENDENCYPART_SIBL
(9,6),(9,7),0.0116338 # DEPENDENCYPART_SIBL
(9,6),(9,10),0.0121846 # DEPENDENCYPART_SIBL
(9,6),(9,11),-0.0598632 # DEPENDENCYPART_SIBL
(9,6),(9,12),-0.027218 # DEPENDENCYPART_SIBL
(9,6),(9,13),-0.0724742 # DEPENDENCYPART_SIBL
(9,6),(9,14),-0.0714456 # DEPENDENCYPART_SIBL
(9,6),(9,15),0.0192723 # DEPENDENCYPART_SIBL
(9,6),(9,16),-0.0575841 # DEPENDENCYPART_SIBL
(9,6),(9,18),-0.071744 # DEPENDENCYPART_SIBL
(9,6),(9,19),-0.0573236 # DEPENDENCYPART_SIBL
(9,6),(9,20),-0.0317016 # DEPENDENCYPART_SIBL
(9,7),(9,10),0.0460092 # DEPENDENCYPART_SIBL
(9,7),(9,11),0.00608379 # DEPENDENCYPART_SIBL
(9,7),(9,12),0.0233 # DEPENDENCYPART_SIBL
(9,7),(9,13),-0.0134062 # DEPENDENCYPART_SIBL
(9,7),(9,14),-0.0131137 # DEPENDENCYPART_SIBL
(9,7),(9,15),0.0190831 # DEPENDENCYPART_SIBL
(9,7),(9,16),-0.00133569 # DEPENDENCYPART_SIBL
(9,7),(9,18),-0.00119878 # DEPENDENCYPART_SIBL
(9,7),(9,19),0.0754581 # DEPENDENCYPART_SIBL
(9,7),(9,20),0.0294892 # DEPENDENCYPART_SIBL
(9,10),(9,11),0.0342246 # DEPENDENCYPART_SIBL
(9,10),(9,12),0.0713875 # DEPENDENCYPART_SIBL
(9,10),(9,13),0.0445593 # DEPENDENCYPART_SIBL
(9,10),(9,14),0.0458987 # DEPENDENCYPART_SIBL
(9,10),(9,15),-0.0165742 # DEPENDENCYPART_SIBL
(9,10),(9,16),0.0296541 # DEPENDENCYPART_SIBL
(9,10),(9,18),0.0427058 # DEPENDENCYPART_SIBL
(9,10),(9,19),-0.00556465 # DEPENDENCYPART_SIBL
(9,10),(9,20),-0.0169448 # DEPENDENCYPART_SIBL
(9,11),(9,12),-0.0271538 # DEPENDENCYPART_SIBL
(9,11),(9,13),0.0162741 # DEPENDENCYPART_SIBL
(9,11),(9,14),0.0176151 # DEPENDENCYPART_SIBL
(9,11),(9,15),-0.0610545 # DEPENDENCYPART_SIBL
(9,11),(9,16),-0.0232692 # DEPENDENCYPART_SIBL
(9,11),(9,18),-0.0155502 # DEPENDENCYPART_SIBL
(9,11),(9,19),0.00137547 # DEPENDENCYPART_SIBL
(9,11),(9,20),-0.0202111 # DEPENDENCYPART_SIBL
(9,12),(9,13),-0.0524996 # DEPENDENCYPART_SIBL
(9,12),(9,14),-0.0517472 # DEPENDENCYPART_SIBL
(9,12),(9,15),-0.0505777 # DEPENDENCYPART_SIBL
(9,12),(9,16),-0.0519215 # DEPENDENCYPART_SIBL
(9,12),(9,18),-0.0396241 # DEPENDENCYPART_SIBL
(9,12),(9,19),-0.0367023 # DEPENDENCYPART_SIBL
(9,12),(9,20),-0.0516173 # DEPENDENCYPART_SIBL
(9,13),(9,14),-0.0230081 # DEPENDENCYPART_SIBL
(9,13),(9,15),-0.0330422 # DEPENDENCYPART_SIBL
(9,13),(9,16),-0.0308739 # DEPENDENCYPART_SIBL
(9,13),(9,18),-0.0140065 # DEPENDENCYPART_SIBL
(9,13),(9,19),-0.0119816 # DEPENDENCYPART_SIBL
(9,13),(9,20),-0.0604458 # DEPENDENCYPART_SIBL
(9,14),(9,15),-0.0327191 # DEPENDENCYPART_SIBL
(9,14),(9,16),-0.0305508 # DEPENDENCYPART_SIBL
(9,14),(9,18),-0.0136834 # DEPENDENCYPART_SIBL
(9,14),(9,19),-0.0116585 # DEPENDENCYPART_SIBL
(9,14),(9,20),-0.0601227 # DEPENDENCYPART_SIBL
(9,15),(9,16),-0.0549115 # DEPENDENCYPART_SIBL
(9,15),(9,18),-0.193413 # DEPENDENCYPART_SIBL
(9,15),(9,19),-0.0636226 # DEPENDENCYPART_SIBL
(9,15),(9,20),-0.0489733 # DEPENDENCYPART_SIBL
(9,16),(9,18),0.00771738 # DEPENDENCYPART_SIBL
(9,16),(9,19),-0.000397876 # DEPENDENCYPART_SIBL
(9,16),(9,20),-0.0481902 # DEPENDENCYPART_SIBL
(9,18),(9,19),-0.000731161 # DEPENDENCYPART_SIBL
(9,18),(9,20),-0.0171388 # DEPENDENCYPART_SIBL
(9,19),(9,20),-0.0254706 # DEPENDENCYPART_SIBL
(10,11),(10,12),-0.0328574 # DEPENDENCYPART_SIBL
(12,1),(12,2),0.00312266 # DEPENDENCYPART_SIBL
(12,1),(12,3),-0.064847 # DEPENDENCYPART_SIBL
(12,1),(12,5),0.0186428 # DEPENDENCYPART_SIBL
(12,1),(12,6),0.0106688 # DEPENDENCYPART_SIBL
(12,1),(12,7),0.0218744 # DEPENDENCYPART_SIBL
(12,1),(12,9),-0.0127227 # DEPENDENCYPART_SIBL
(12,1),(12,10),0.0388905 # DEPENDENCYPART_SIBL
(12,1),(12,11),0.026649 # DEPENDENCYPART_SIBL
(12,1),(12,13),-0.000298714 # DEPENDENCYPART_SIBL
(12,1),(12,14),5.52077e-05 # DEPENDENCYPART_SIBL
(12,1),(12,15),0.0115774 # DEPENDENCYPART_SIBL
(12,1),(12,16),0.000126042 # DEPENDENCYPART_SIBL
(12,1),(12,18),0.0328921 # DEPENDENCYPART_SIBL
(12,1),(12,19),-0.00706578 # DEPENDENCYPART_SIBL
(12,1),(12,20),0.0823306 # DEPENDENCYPART_SIBL
(12,2),(12,3),-0.0470277 # DEPENDENCYPART_SIBL
(12,2),(12,5),-0.0053796 # DEPENDENCYPART_SIBL
(12,2),(12,6),-0.0104171 # DEPENDENCYPART_SIBL
(12,2),(12,7),-0.00861567 # DEPENDENCYPART_SIBL
(12,2),(12,9),-0.0200501 # DEPENDENCYPART_SIBL
(12,2),(12,10),-0.00372887 # DEPENDENCYPART_SIBL
(12,2),(12,11),0.00488677 # DEPENDENCYPART_SIBL
(12,2),(12,13),-0.0250233 # DEPENDENCYPART_SIBL
(12,2),(12,14),-0.0247307 # DEPENDENCYPART_SIBL
(12,2),(12,15),0.034549 # DEPENDENCYPART_SIBL
(12,2),(12,16),-0.038671 # DEPENDENCYPART_SIBL
(12,2),(12,18),-0.0419778 # DEPENDENCYPART_SIBL
(12,2),(12,19),-0.0280074 # DEPENDENCYPART_SIBL
(12,2),(12,20),0.000989009 # DEPENDENCYPART_SIBL
(12,3),(12,5),-0.124653 # DEPENDENCYPART_SIBL
(12,3),(12,6),-0.172847 # DEPENDENCYPART_SIBL
(12,3),(12,7),-0.0911013 # DEPENDENCYPART_SIBL
(12,3),(12,9),-0.105625 # DEPENDENCYPART_SIBL
(12,3),(12,10),-0.0418593 # DEPENDENCYPART_SIBL
(12,3),(12,11),-0.114658 # DEPENDENCYPART_SIBL
(12,3),(12,13),-0.00899313 # DEPENDENCYPART_SIBL
(12,3),(12,14),-0.00862478 # DEPENDENCYPART_SIBL
(12,3),(12,15),-0.0125569 # DEPENDENCYPART_SIBL
(12,3),(12,16),-0.0458734 # DEPENDENCYPART_SIBL
(12,3),(12,18),-0.025072 # DEPENDENCYPART_SIBL
(12,3),(12,19),-0.0224479 # DEPENDENCYPART_SIBL
(12,3),(12,20),-0.0319561 # DEPENDENCYPART_SIBL
(12,5),(12,6),-0.0640959 # DEPENDENCYPART_SIBL
(12,5),(12,7),-0.0361693 # DEPENDENCYPART_SIBL
(12,5),(12,9),-0.0235552 # DEPENDENCYPART_SIBL
(12,5),(12,10),0.0135087 # DEPENDENCYPART_SIBL
(12,5),(12,11),-0.085046 # DEPENDENCYPART_SIBL
(12,5),(12,13),-0.084641 # DEPENDENCYPART_SIBL
(12,5),(12,14),-0.0843485 # DEPENDENCYPART_SIBL
(12,5),(12,15),-0.0767074 # DEPENDENCYPART_SIBL
(12,5),(12,16),-0.0752816 # DEPENDENCYPART_SIBL
(12,5),(12,18),-0.110262 # DEPENDENCYPART_SIBL
(12,5),(12,19),-0.0673328 # DEPENDENCYPART_SIBL
(12,5),(12,20),-0.0505606 # DEPENDENCYPART_SIBL
(12,6),(12,7),-0.000276974 # DEPENDENCYPART_SIBL
(12,6),(12,9),-0.00182693 # DEPENDENCYPART_SIBL
(12,6),(12,10),0.0264816 # DEPENDENCYPART_SIBL
(12,6),(12,11),-0.0058932 # DEPENDENCYPART_SIBL
(12,6),(12,13),-0.0437019 # DEPENDENCYPART_SIBL
(12,6),(12,14),-0.0426733 # DEPENDENCYPART_SIBL
(12,6),(12,15),0.000441212 # DEPENDENCYPART_SIBL
(12,6),(12,16),-0.0294612 # DEPENDENCYPART_SIBL
(12,6),(12,18),-0.0614921 # DEPENDENCYPART_SIBL
(12,6),(12,19),-0.0487588 # DEPENDENCYPART_SIBL
(12,6),(12,20),-0.0215141 # DEPENDENCYPART_SIBL
(12,7),(12,9),0.000570107 # DEPENDENCYPART_SIBL
(12,7),(12,10),0.0555246 # DEPENDENCYPART_SIBL
(12,7),(12,11),-0.0194443 # DEPENDENCYPART_SIBL
(12,7),(12,13),-0.0127983 # DEPENDENCYPART_SIBL
(12,7),(12,14),-0.0125058 # DEPENDENCYPART_SIBL
(12,7),(12,15),-0.0033988 # DEPENDENCYPART_SIBL
(12,7),(12,16),0.00336767 # DEPENDENCYPART_SIBL
(12,7),(12,18),-0.00692635 # DEPENDENCYPART_SIBL
(12,7),(12,19),0.0685261 # DEPENDENCYPART_SIBL
(12,7),(12,20),0.0236971 # DEPENDENCYPART_SIBL
(12,9),(12,10),0.00203357 # DEPENDENCYPART_SIBL
(12,9),(12,11),-0.0144413 # DEPENDENCYPART_SIBL
(12,9),(12,13),-0.00716227 # DEPENDENCYPART_SIBL
(12,9),(12,14),-0.00680835 # DEPENDENCYPART_SIBL
(12,9),(12,15),-0.0200747 # DEPENDENCYPART_SIBL
(12,9),(12,16),-0.0107536 # DEPENDENCYPART_SIBL
(12,9),(12,18),0.0207086 # DEPENDENCYPART_SIBL
(12,9),(12,19),-0.0190553 # DEPENDENCYPART_SIBL
(12,9),(12,20),0.0523974 # DEPENDENCYPART_SIBL
(12,10),(12,11),0.0175922 # DEPENDENCYPART_SIBL
(12,10),(12,13),-0.0270962 # DEPENDENCYPART_SIBL
(12,10),(12,14),-0.0268037 # DEPENDENCYPART_SIBL
(12,10),(12,15),0.0847396 # DEPENDENCYPART_SIBL
(12,10),(12,16),-0.0410663 # DEPENDENCYPART_SIBL
(12,10),(12,18),-0.0352999 # DEPENDENCYPART_SIBL
(12,10),(12,19),-0.0219688 # DEPENDENCYPART_SIBL
(12,10),(12,20),0.00970258 # DEPENDENCYPART_SIBL
(12,11),(12,13),-0.0210789 # DEPENDENCYPART_SIBL
(12,11),(12,14),-0.0207864 # DEPENDENCYPART_SIBL
(12,11),(12,15),-0.00797931 # DEPENDENCYPART_SIBL
(12,11),(12,16),-0.0199696 # DEPENDENCYPART_SIBL
(12,11),(12,18),-0.0488817 # DEPENDENCYPART_SIBL
(12,11),(12,19),-0.0023478 # DEPENDENCYPART_SIBL
(12,11),(12,20),0.00430674 # DEPENDENCYPART_SIBL
(12,13),(12,14),-0.0165105 # DEPENDENCYPART_SIBL
(12,13),(12,15),-0.0292991 # DEPENDENCYPART_SIBL
(12,13),(12,16),-0.018364 # DEPENDENCYPART_SIBL
(12,13),(12,18),-0.0100809 # DEPENDENCYPART_SIBL
(12,13),(12,19),-0.00823841 # DEPENDENCYPART_SIBL
(12,13),(12,20),-0.056703 # DEPENDENCYPART_SIBL
(12,14),(12,15),-0.028976 # DEPENDENCYPART_SIBL
(12,14),(12,16),-0.0180409 # DEPENDENCYPART_SIBL
(12,14),(12,18),-0.00975785 # DEPENDENCYPART_SIBL
(12,14),(12,19),-0.00791534 # DEPENDENCYPART_SIBL
(12,14),(12,20),-0.0563799 # DEPENDENCYPART_SIBL
(12,15),(12,16),-0.0473344 # DEPENDENCYPART_SIBL
(12,15),(12,18),-0.19442 # DEPENDENCYPART_SIBL
(12,15),(12,19),-0.0648122 # DEPENDENCYPART_SIBL
(12,15),(12,20),-0.0501632 # DEPENDENCYPART_SIBL
(12,16),(12,18),0.0106965 # DEPENDENCYPART_SIBL
(12,16),(12,19),0.00239844 # DEPENDENCYPART_SIBL
(12,16),(12,20),-0.0453942 # DEPENDENCYPART_SIBL
(12,18),(12,19),-0.000698181 # DEPENDENCYPART_SIBL
(12,18),(12,20),-0.0171061 # DEPENDENCYPART_SIBL
(12,19),(12,20),-0.0254709 # DEPENDENCYPART_SIBL
(13,5),(13,7),-0.000898731 # DEPENDENCYPART_SIBL
(13,5),(13,9),-0.038425 # DEPENDENCYPART_SIBL
(13,5),(13,11),-0.00517271 # DEPENDENCYPART_SIBL
(13,5),(13,12),-0.0466726 # DEPENDENCYPART_SIBL
(13,5),(13,14),-0.0602708 # DEPENDENCYPART_SIBL
(13,5),(13,15),-0.0191436 # DEPENDENCYPART_SIBL
(13,5),(13,18),-0.027212 # DEPENDENCYPART_SIBL
(13,5),(13,19),-0.0707913 # DEPENDENCYPART_SIBL
(13,5),(13,20),0.0201827 # DEPENDENCYPART_SIBL
(13,5),(13,21),-0.00716228 # DEPENDENCYPART_SIBL
(13,7),(13,9),-0.0692665 # DEPENDENCYPART_SIBL
(13,7),(13,11),-0.00367545 # DEPENDENCYPART_SIBL
(13,7),(13,12),-0.0785302 # DEPENDENCYPART_SIBL
(13,7),(13,14),-0.0421626 # DEPENDENCYPART_SIBL
(13,7),(13,15),-0.0351556 # DEPENDENCYPART_SIBL
(13,7),(13,18),-0.039046 # DEPENDENCYPART_SIBL
(13,7),(13,19),0.0288036 # DEPENDENCYPART_SIBL
(13,7),(13,20),-0.000961031 # DEPENDENCYPART_SIBL
(13,7),(13,21),-0.115507 # DEPENDENCYPART_SIBL
(13,9),(13,11),0.0416462 # DEPENDENCYPART_SIBL
(13,9),(13,12),-0.0617749 # DEPENDENCYPART_SIBL
(13,9),(13,14),-0.00603203 # DEPENDENCYPART_SIBL
(13,9),(13,15),-0.00502589 # DEPENDENCYPART_SIBL
(13,9),(13,18),-0.000268335 # DEPENDENCYPART_SIBL
(13,9),(13,19),0.0103687 # DEPENDENCYPART_SIBL
(13,9),(13,20),0.164657 # DEPENDENCYPART_SIBL
(13,9),(13,21),-0.0400021 # DEPENDENCYPART_SIBL
(13,11),(13,12),-0.0480341 # DEPENDENCYPART_SIBL
(13,11),(13,14),-0.0346499 # DEPENDENCYPART_SIBL
(13,11),(13,15),0.00958456 # DEPENDENCYPART_SIBL
(13,11),(13,18),-0.00308185 # DEPENDENCYPART_SIBL
(13,11),(13,19),-0.0238585 # DEPENDENCYPART_SIBL
(13,11),(13,20),0.0416805 # DEPENDENCYPART_SIBL
(13,11),(13,21),0.0234413 # DEPENDENCYPART_SIBL
(13,12),(13,14),0.00931576 # DEPENDENCYPART_SIBL
(13,12),(13,15),0.0184073 # DEPENDENCYPART_SIBL
(13,12),(13,18),0.0149064 # DEPENDENCYPART_SIBL
(13,12),(13,19),0.0297308 # DEPENDENCYPART_SIBL
(13,12),(13,20),0.175114 # DEPENDENCYPART_SIBL
(13,12),(13,21),-0.0119002 # DEPENDENCYPART_SIBL
(13,14),(13,15),-0.0816293 # DEPENDENCYPART_SIBL
(13,14),(13,18),0.0187629 # DEPENDENCYPART_SIBL
(13,14),(13,19),-0.00483983 # DEPENDENCYPART_SIBL
(13,14),(13,20),-0.00397051 # DEPENDENCYPART_SIBL
(13,14),(13,21),-0.0887528 # DEPENDENCYPART_SIBL
(13,15),(13,18),-0.141697 # DEPENDENCYPART_SIBL
(13,15),(13,19),-0.028174 # DEPENDENCYPART_SIBL
(13,15),(13,20),-0.0083603 # DEPENDENCYPART_SIBL
(13,15),(13,21),-0.224837 # DEPENDENCYPART_SIBL
(13,18),(13,19),0.0182361 # DEPENDENCYPART_SIBL
(13,18),(13,20),0.033384 # DEPENDENCYPART_SIBL
(13,18),(13,21),-0.0761049 # DEPENDENCYPART_SIBL
(13,19),(13,20),-0.0149095 # DEPENDENCYPART_SIBL
(13,19),(13,21),-0.0776367 # DEPENDENCYPART_SIBL
(13,20),(13,21),-0.0512088 # DEPENDENCYPART_SIBL
(14,5),(14,6),0.0253528 # DEPENDENCYPART_SIBL
(14,5),(14,7),-0.000898728 # DEPENDENCYPART_SIBL
(14,5),(14,9),-0.038425 # DEPENDENCYPART_SIBL
(14,5),(14,11),-0.00517257 # DEPENDENCYPART_SIBL
(14,5),(14,12),-0.0466726 # DEPENDENCYPART_SIBL
(14,5),(14,13),0.0262282 # DEPENDENCYPART_SIBL
(14,5),(14,15),-0.0191436 # DEPENDENCYPART_SIBL
(14,5),(14,16),-0.0003156 # DEPENDENCYPART_SIBL
(14,5),(14,17),-0.00233225 # DEPENDENCYPART_SIBL
(14,5),(14,18),-0.027212 # DEPENDENCYPART_SIBL
(14,5),(14,19),-0.0707913 # DEPENDENCYPART_SIBL
(14,5),(14,20),0.0201827 # DEPENDENCYPART_SIBL
(14,5),(14,21),-0.00716228 # DEPENDENCYPART_SIBL
(14,6),(14,7),0.0215225 # DEPENDENCYPART_SIBL
(14,6),(14,9),-0.0152995 # DEPENDENCYPART_SIBL
(14,6),(14,11),0.0290505 # DEPENDENCYPART_SIBL
(14,6),(14,12),-0.0245136 # DEPENDENCYPART_SIBL
(14,6),(14,13),-0.00635603 # DEPENDENCYPART_SIBL
(14,6),(14,15),0.056053 # DEPENDENCYPART_SIBL
(14,6),(14,16),0.00564791 # DEPENDENCYPART_SIBL
(14,6),(14,17),0.00304488 # DEPENDENCYPART_SIBL
(14,6),(14,18),-0.0453125 # DEPENDENCYPART_SIBL
(14,6),(14,19),-0.0096151 # DEPENDENCYPART_SIBL
(14,6),(14,20),-0.00149156 # DEPENDENCYPART_SIBL
(14,6),(14,21),-0.0265868 # DEPENDENCYPART_SIBL
(14,7),(14,9),-0.0692665 # DEPENDENCYPART_SIBL
(14,7),(14,11),-0.00367531 # DEPENDENCYPART_SIBL
(14,7),(14,12),-0.0785302 # DEPENDENCYPART_SIBL
(14,7),(14,13),0.0152931 # DEPENDENCYPART_SIBL
(14,7),(14,15),-0.0351556 # DEPENDENCYPART_SIBL
(14,7),(14,16),0.0042849 # DEPENDENCYPART_SIBL
(14,7),(14,17),0.0346835 # DEPENDENCYPART_SIBL
(14,7),(14,18),-0.039046 # DEPENDENCYPART_SIBL
(14,7),(14,19),0.0288036 # DEPENDENCYPART_SIBL
(14,7),(14,20),-0.000961031 # DEPENDENCYPART_SIBL
(14,7),(14,21),-0.115507 # DEPENDENCYPART_SIBL
(14,9),(14,11),0.0427644 # DEPENDENCYPART_SIBL
(14,9),(14,12),-0.0606569 # DEPENDENCYPART_SIBL
(14,9),(14,13),0.0264955 # DEPENDENCYPART_SIBL
(14,9),(14,15),-0.00395576 # DEPENDENCYPART_SIBL
(14,9),(14,16),0.0177503 # DEPENDENCYPART_SIBL
(14,9),(14,17),0.0682985 # DEPENDENCYPART_SIBL
(14,9),(14,18),0.000801793 # DEPENDENCYPART_SIBL
(14,9),(14,19),0.0114388 # DEPENDENCYPART_SIBL
(14,9),(14,20),0.165727 # DEPENDENCYPART_SIBL
(14,9),(14,21),-0.038932 # DEPENDENCYPART_SIBL
(14,11),(14,12),-0.0480341 # DEPENDENCYPART_SIBL
(14,11),(14,13),0.0454252 # DEPENDENCYPART_SIBL
(14,11),(14,15),0.00958456 # DEPENDENCYPART_SIBL
(14,11),(14,16),0.0227169 # DEPENDENCYPART_SIBL
(14,11),(14,17),0.0227051 # DEPENDENCYPART_SIBL
(14,11),(14,18),-0.00308185 # DEPENDENCYPART_SIBL
(14,11),(14,19),-0.0238585 # DEPENDENCYPART_SIBL
(14,11),(14,20),0.0416805 # DEPENDENCYPART_SIBL
(14,11),(14,21),0.0234413 # DEPENDENCYPART_SIBL
(14,12),(14,13),0.0343543 # DEPENDENCYPART_SIBL
(14,12),(14,15),0.0194775 # DEPENDENCYPART_SIBL
(14,12),(14,16),0.0344796 # DEPENDENCYPART_SIBL
(14,12),(14,17),0.0983157 # DEPENDENCYPART_SIBL
(14,12),(14,18),0.0159765 # DEPENDENCYPART_SIBL
(14,12),(14,19),0.0308009 # DEPENDENCYPART_SIBL
(14,12),(14,20),0.176184 # DEPENDENCYPART_SIBL
(14,12),(14,21),-0.01083 # DEPENDENCYPART_SIBL
(14,13),(14,15),0.0483478 # DEPENDENCYPART_SIBL
(14,13),(14,16),0.00711494 # DEPENDENCYPART_SIBL
(14,13),(14,17),0.00461661 # DEPENDENCYPART_SIBL
(14,13),(14,18),-0.0429401 # DEPENDENCYPART_SIBL
(14,13),(14,19),-0.0080158 # DEPENDENCYPART_SIBL
(14,13),(14,20),-0.00442661 # DEPENDENCYPART_SIBL
(14,13),(14,21),-0.0274133 # DEPENDENCYPART_SIBL
(14,15),(14,16),-0.0281902 # DEPENDENCYPART_SIBL
(14,15),(14,17),-0.0702749 # DEPENDENCYPART_SIBL
(14,15),(14,18),-0.141697 # DEPENDENCYPART_SIBL
(14,15),(14,19),-0.028174 # DEPENDENCYPART_SIBL
(14,15),(14,20),-0.0083603 # DEPENDENCYPART_SIBL
(14,15),(14,21),-0.224837 # DEPENDENCYPART_SIBL
(14,16),(14,17),0.0724736 # DEPENDENCYPART_SIBL
(14,16),(14,18),0.0322585 # DEPENDENCYPART_SIBL
(14,16),(14,19),0.0171505 # DEPENDENCYPART_SIBL
(14,16),(14,20),-0.0043663 # DEPENDENCYPART_SIBL
(14,16),(14,21),-0.0546885 # DEPENDENCYPART_SIBL
(14,17),(14,18),-0.0146969 # DEPENDENCYPART_SIBL
(14,17),(14,19),-0.112147 # DEPENDENCYPART_SIBL
(14,17),(14,20),-0.0462609 # DEPENDENCYPART_SIBL
(14,17),(14,21),-0.138997 # DEPENDENCYPART_SIBL
(14,18),(14,19),0.0182361 # DEPENDENCYPART_SIBL
(14,18),(14,20),0.033384 # DEPENDENCYPART_SIBL
(14,18),(14,21),-0.0761049 # DEPENDENCYPART_SIBL
(14,19),(14,20),-0.0149095 # DEPENDENCYPART_SIBL
(14,19),(14,21),-0.0776367 # DEPENDENCYPART_SIBL
(14,20),(14,21),-0.0512088 # DEPENDENCYPART_SIBL
(15,10),(15,12),-0.000455296 # DEPENDENCYPART_SIBL
(15,10),(15,13),0.0201324 # DEPENDENCYPART_SIBL
(15,10),(15,16),-0.0036204 # DEPENDENCYPART_SIBL
(15,10),(15,20),0.139489 # DEPENDENCYPART_SIBL
(15,12),(15,13),-0.0107186 # DEPENDENCYPART_SIBL
(15,12),(15,16),0.184417 # DEPENDENCYPART_SIBL
(15,12),(15,20),0.411525 # DEPENDENCYPART_SIBL
(15,13),(15,16),0.0912229 # DEPENDENCYPART_SIBL
(15,13),(15,20),0.203709 # DEPENDENCYPART_SIBL
(15,16),(15,20),-0.0443136 # DEPENDENCYPART_SIBL
(16,5),(16,6),-0.0935218 # DEPENDENCYPART_SIBL
(16,5),(16,9),0.00866766 # DEPENDENCYPART_SIBL
(16,5),(16,10),0.00183095 # DEPENDENCYPART_SIBL
(16,5),(16,12),0.0102913 # DEPENDENCYPART_SIBL
(16,5),(16,13),-0.0892509 # DEPENDENCYPART_SIBL
(16,5),(16,14),-0.0890698 # DEPENDENCYPART_SIBL
(16,5),(16,15),-0.0526873 # DEPENDENCYPART_SIBL
(16,5),(16,17),-0.00601517 # DEPENDENCYPART_SIBL
(16,5),(16,18),0.0960558 # DEPENDENCYPART_SIBL
(16,5),(16,19),-0.0114773 # DEPENDENCYPART_SIBL
(16,5),(16,20),-0.0264997 # DEPENDENCYPART_SIBL
(16,6),(16,9),-0.00400075 # DEPENDENCYPART_SIBL
(16,6),(16,10),-0.00301725 # DEPENDENCYPART_SIBL
(16,6),(16,12),-0.00280844 # DEPENDENCYPART_SIBL
(16,6),(16,13),-0.00292715 # DEPENDENCYPART_SIBL
(16,6),(16,14),-0.0022734 # DEPENDENCYPART_SIBL
(16,6),(16,15),-0.0527182 # DEPENDENCYPART_SIBL
(16,6),(16,17),-0.045762 # DEPENDENCYPART_SIBL
(16,6),(16,18),-0.0287994 # DEPENDENCYPART_SIBL
(16,6),(16,19),0.00339789 # DEPENDENCYPART_SIBL
(16,6),(16,20),-0.0973205 # DEPENDENCYPART_SIBL
(16,9),(16,10),-0.0664372 # DEPENDENCYPART_SIBL
(16,9),(16,12),-0.0178573 # DEPENDENCYPART_SIBL
(16,9),(16,13),-0.219088 # DEPENDENCYPART_SIBL
(16,9),(16,14),-0.218904 # DEPENDENCYPART_SIBL
(16,9),(16,15),-0.119832 # DEPENDENCYPART_SIBL
(16,9),(16,17),-0.0721287 # DEPENDENCYPART_SIBL
(16,9),(16,18),-0.0206149 # DEPENDENCYPART_SIBL
(16,9),(16,19),-0.0737244 # DEPENDENCYPART_SIBL
(16,9),(16,20),0.124479 # DEPENDENCYPART_SIBL
