# _root_ gero pistorius organista zaharrak paperezko pezeta , hogerleko eta bosdurokoak eman zizkidan gordetzeko , baina mesede_baten_truke .
#goldHeads=11,3,11,3,6,9,6,9,11,9,15,11,11,13,0,15,16,
#predictedHeads=11,3,5,3,6,9,6,9,11,11,15,11,11,13,0,15,16,
(6,4),(6,12),-0.0102827 # DEPENDENCYPART_SIBL
(6,4),(6,13),-0.0214021 # DEPENDENCYPART_SIBL
(6,4),(6,15),0.000456517 # DEPENDENCYPART_SIBL
(6,4),(6,16),-0.0291485 # DEPENDENCYPART_SIBL
(6,4),(6,17),-0.0953782 # DEPENDENCYPART_SIBL
(6,5),(6,7),0.0347398 # DEPENDENCYPART_SIBL
(6,5),(6,8),0.00310335 # DEPENDENCYPART_SIBL
(6,5),(6,9),-0.000889018 # DEPENDENCYPART_SIBL
(6,5),(6,11),0.0497475 # DEPENDENCYPART_SIBL
(6,5),(6,12),0.034144 # DEPENDENCYPART_SIBL
(6,5),(6,13),0.0138242 # DEPENDENCYPART_SIBL
(6,5),(6,15),0.00436438 # DEPENDENCYPART_SIBL
(6,5),(6,16),0.00310335 # DEPENDENCYPART_SIBL
(6,5),(6,17),-0.0393661 # DEPENDENCYPART_SIBL
(6,7),(6,8),-0.0503121 # DEPENDENCYPART_SIBL
(6,7),(6,9),-0.0288489 # DEPENDENCYPART_SIBL
(6,7),(6,11),-0.0464914 # DEPENDENCYPART_SIBL
(6,7),(6,12),-0.0644835 # DEPENDENCYPART_SIBL
(6,7),(6,13),-0.0375392 # DEPENDENCYPART_SIBL
(6,7),(6,15),-0.0336753 # DEPENDENCYPART_SIBL
(6,7),(6,16),-0.0503121 # DEPENDENCYPART_SIBL
(6,7),(6,17),-0.225147 # DEPENDENCYPART_SIBL
(6,8),(6,9),-0.00895577 # DEPENDENCYPART_SIBL
(6,8),(6,11),-0.0327782 # DEPENDENCYPART_SIBL
(6,8),(6,12),-0.00155468 # DEPENDENCYPART_SIBL
(6,8),(6,13),-0.0358756 # DEPENDENCYPART_SIBL
(6,8),(6,15),0.000576301 # DEPENDENCYPART_SIBL
(6,8),(6,16),-0.00772643 # DEPENDENCYPART_SIBL
(6,8),(6,17),-0.0887705 # DEPENDENCYPART_SIBL
(6,9),(6,11),-0.023115 # DEPENDENCYPART_SIBL
(6,9),(6,12),0.00339813 # DEPENDENCYPART_SIBL
(6,9),(6,13),-0.0231783 # DEPENDENCYPART_SIBL
(6,9),(6,15),0.0164967 # DEPENDENCYPART_SIBL
(6,9),(6,16),-0.00428779 # DEPENDENCYPART_SIBL
(6,9),(6,17),-0.0546981 # DEPENDENCYPART_SIBL
(6,11),(6,12),0.0441393 # DEPENDENCYPART_SIBL
(6,11),(6,13),-0.00918845 # DEPENDENCYPART_SIBL
(6,11),(6,15),-0.0119285 # DEPENDENCYPART_SIBL
(6,11),(6,16),-0.0060335 # DEPENDENCYPART_SIBL
(6,11),(6,17),-0.0702702 # DEPENDENCYPART_SIBL
(6,12),(6,13),0.0267238 # DEPENDENCYPART_SIBL
(6,12),(6,15),0.0238858 # DEPENDENCYPART_SIBL
(6,12),(6,16),0.0285385 # DEPENDENCYPART_SIBL
(6,12),(6,17),-0.0552192 # DEPENDENCYPART_SIBL
(6,13),(6,15),-0.011514 # DEPENDENCYPART_SIBL
(6,13),(6,16),-0.00682148 # DEPENDENCYPART_SIBL
(6,13),(6,17),-0.069446 # DEPENDENCYPART_SIBL
(6,15),(6,16),-0.0243819 # DEPENDENCYPART_SIBL
(6,15),(6,17),-0.0585834 # DEPENDENCYPART_SIBL
(6,16),(6,17),-0.0887705 # DEPENDENCYPART_SIBL
(7,5),(7,8),0.289362 # DEPENDENCYPART_SIBL
(8,1),(8,3),0.0661049 # DEPENDENCYPART_SIBL
(8,1),(8,4),0.0192549 # DEPENDENCYPART_SIBL
(8,1),(8,5),0.0661049 # DEPENDENCYPART_SIBL
(8,1),(8,6),0.0673084 # DEPENDENCYPART_SIBL
(8,1),(8,7),-0.0160475 # DEPENDENCYPART_SIBL
(8,1),(8,9),0.020338 # DEPENDENCYPART_SIBL
(8,1),(8,11),0.038234 # DEPENDENCYPART_SIBL
(8,1),(8,12),0.0200783 # DEPENDENCYPART_SIBL
(8,1),(8,13),0.0202748 # DEPENDENCYPART_SIBL
(8,1),(8,16),-0.035023 # DEPENDENCYPART_SIBL
(8,1),(8,17),0.0174809 # DEPENDENCYPART_SIBL
(8,3),(8,4),0.0168035 # DEPENDENCYPART_SIBL
(8,3),(8,5),-0.00783131 # DEPENDENCYPART_SIBL
(8,3),(8,6),-0.000548713 # DEPENDENCYPART_SIBL
(8,3),(8,7),-0.0259473 # DEPENDENCYPART_SIBL
(8,3),(8,9),0.00711494 # DEPENDENCYPART_SIBL
(8,3),(8,11),0.0566 # DEPENDENCYPART_SIBL
(8,3),(8,12),0.0386377 # DEPENDENCYPART_SIBL
(8,3),(8,13),0.0206767 # DEPENDENCYPART_SIBL
(8,3),(8,16),-0.00621019 # DEPENDENCYPART_SIBL
(8,3),(8,17),-0.0274133 # DEPENDENCYPART_SIBL
(8,4),(8,5),0.0156237 # DEPENDENCYPART_SIBL
(8,4),(8,6),0.0156118 # DEPENDENCYPART_SIBL
(8,4),(8,7),-0.0260689 # DEPENDENCYPART_SIBL
(8,4),(8,9),0.0100007 # DEPENDENCYPART_SIBL
(8,4),(8,11),-0.00157406 # DEPENDENCYPART_SIBL
(8,4),(8,12),-0.0100024 # DEPENDENCYPART_SIBL
(8,4),(8,13),-0.0197965 # DEPENDENCYPART_SIBL
(8,4),(8,16),-0.0357648 # DEPENDENCYPART_SIBL
(8,4),(8,17),-0.0907793 # DEPENDENCYPART_SIBL
(8,5),(8,6),-0.000548713 # DEPENDENCYPART_SIBL
(8,5),(8,7),-0.0259473 # DEPENDENCYPART_SIBL
(8,5),(8,9),0.00711494 # DEPENDENCYPART_SIBL
(8,5),(8,11),0.0566 # DEPENDENCYPART_SIBL
(8,5),(8,12),0.0386377 # DEPENDENCYPART_SIBL
(8,5),(8,13),0.0206767 # DEPENDENCYPART_SIBL
(8,5),(8,16),-0.00621019 # DEPENDENCYPART_SIBL
(8,5),(8,17),-0.0274133 # DEPENDENCYPART_SIBL
(8,6),(8,7),-0.0259653 # DEPENDENCYPART_SIBL
(8,6),(8,9),0.00450857 # DEPENDENCYPART_SIBL
(8,6),(8,11),0.0666467 # DEPENDENCYPART_SIBL
(8,6),(8,12),0.0466242 # DEPENDENCYPART_SIBL
(8,6),(8,13),0.0307234 # DEPENDENCYPART_SIBL
(8,6),(8,16),-0.00318468 # DEPENDENCYPART_SIBL
(8,6),(8,17),-0.0211806 # DEPENDENCYPART_SIBL
(8,7),(8,9),-0.0342394 # DEPENDENCYPART_SIBL
(8,7),(8,11),-0.0253421 # DEPENDENCYPART_SIBL
(8,7),(8,12),-0.0147614 # DEPENDENCYPART_SIBL
(8,7),(8,13),-0.0374452 # DEPENDENCYPART_SIBL
(8,7),(8,16),-0.0562268 # DEPENDENCYPART_SIBL
(8,7),(8,17),-0.0822575 # DEPENDENCYPART_SIBL
(8,9),(8,11),-0.0231143 # DEPENDENCYPART_SIBL
(8,9),(8,12),0.00342333 # DEPENDENCYPART_SIBL
(8,9),(8,13),-0.0231777 # DEPENDENCYPART_SIBL
(8,9),(8,16),-0.00388583 # DEPENDENCYPART_SIBL
(8,9),(8,17),-0.0546885 # DEPENDENCYPART_SIBL
(8,11),(8,12),0.0442261 # DEPENDENCYPART_SIBL
(8,11),(8,13),-0.00915132 # DEPENDENCYPART_SIBL
(8,11),(8,16),-0.00559508 # DEPENDENCYPART_SIBL
(8,11),(8,17),-0.0702242 # DEPENDENCYPART_SIBL
(8,12),(8,13),0.0270079 # DEPENDENCYPART_SIBL
(8,12),(8,16),0.0293327 # DEPENDENCYPART_SIBL
(8,12),(8,17),-0.0549268 # DEPENDENCYPART_SIBL
(8,13),(8,16),-0.00638306 # DEPENDENCYPART_SIBL
(8,13),(8,17),-0.0694 # DEPENDENCYPART_SIBL
(8,16),(8,17),-0.0887528 # DEPENDENCYPART_SIBL
(9,1),(9,2),-0.0529013 # DEPENDENCYPART_SIBL
(9,1),(9,3),-0.0529013 # DEPENDENCYPART_SIBL
(9,1),(9,5),-0.0529013 # DEPENDENCYPART_SIBL
(9,1),(9,6),-0.0531408 # DEPENDENCYPART_SIBL
(9,1),(9,7),-0.0587043 # DEPENDENCYPART_SIBL
(9,1),(9,8),-0.0529013 # DEPENDENCYPART_SIBL
(9,1),(9,10),0.0304019 # DEPENDENCYPART_SIBL
(9,1),(9,11),0.00211859 # DEPENDENCYPART_SIBL
(9,1),(9,12),-0.000599183 # DEPENDENCYPART_SIBL
(9,1),(9,13),-0.0152899 # DEPENDENCYPART_SIBL
(9,1),(9,14),-0.0415546 # DEPENDENCYPART_SIBL
(9,1),(9,15),0.000777308 # DEPENDENCYPART_SIBL
(9,1),(9,16),-0.00503712 # DEPENDENCYPART_SIBL
(9,2),(9,3),-0.00439628 # DEPENDENCYPART_SIBL
(9,2),(9,5),-0.00439628 # DEPENDENCYPART_SIBL
(9,2),(9,6),-7.17147e-06 # DEPENDENCYPART_SIBL
(9,2),(9,7),-0.0518421 # DEPENDENCYPART_SIBL
(9,2),(9,8),-0.00439628 # DEPENDENCYPART_SIBL
(9,2),(9,10),0.0242002 # DEPENDENCYPART_SIBL
(9,2),(9,11),-0.0610903 # DEPENDENCYPART_SIBL
(9,2),(9,12),-0.0387579 # DEPENDENCYPART_SIBL
(9,2),(9,13),-0.0783019 # DEPENDENCYPART_SIBL
(9,2),(9,14),-0.0802123 # DEPENDENCYPART_SIBL
(9,2),(9,15),0.00823678 # DEPENDENCYPART_SIBL
(9,2),(9,16),0.0603005 # DEPENDENCYPART_SIBL
(9,3),(9,5),-0.00439628 # DEPENDENCYPART_SIBL
(9,3),(9,6),-7.17147e-06 # DEPENDENCYPART_SIBL
(9,3),(9,7),-0.0518421 # DEPENDENCYPART_SIBL
(9,3),(9,8),-0.00439628 # DEPENDENCYPART_SIBL
(9,3),(9,10),0.0242002 # DEPENDENCYPART_SIBL
(9,3),(9,11),-0.0610903 # DEPENDENCYPART_SIBL
(9,3),(9,12),-0.0387579 # DEPENDENCYPART_SIBL
(9,3),(9,13),-0.0783019 # DEPENDENCYPART_SIBL
(9,3),(9,14),-0.0802123 # DEPENDENCYPART_SIBL
(9,3),(9,15),0.00823678 # DEPENDENCYPART_SIBL
(9,3),(9,16),0.0603005 # DEPENDENCYPART_SIBL
(9,5),(9,6),-7.17147e-06 # DEPENDENCYPART_SIBL
(9,5),(9,7),-0.0518421 # DEPENDENCYPART_SIBL
(9,5),(9,8),-0.00439628 # DEPENDENCYPART_SIBL
(9,5),(9,10),0.0242002 # DEPENDENCYPART_SIBL
(9,5),(9,11),-0.0610903 # DEPENDENCYPART_SIBL
(9,5),(9,12),-0.0387579 # DEPENDENCYPART_SIBL
(9,5),(9,13),-0.0783019 # DEPENDENCYPART_SIBL
(9,5),(9,14),-0.0802123 # DEPENDENCYPART_SIBL
(9,5),(9,15),0.00823678 # DEPENDENCYPART_SIBL
(9,5),(9,16),0.0603005 # DEPENDENCYPART_SIBL
(9,6),(9,7),-0.0532229 # DEPENDENCYPART_SIBL
(9,6),(9,8),-0.00926271 # DEPENDENCYPART_SIBL
(9,6),(9,10),0.0183319 # DEPENDENCYPART_SIBL
(9,6),(9,11),-0.0568723 # DEPENDENCYPART_SIBL
(9,6),(9,12),-0.0366017 # DEPENDENCYPART_SIBL
(9,6),(9,13),-0.0740839 # DEPENDENCYPART_SIBL
(9,6),(9,14),-0.0840797 # DEPENDENCYPART_SIBL
(9,6),(9,15),0.00108149 # DEPENDENCYPART_SIBL
(9,6),(9,16),0.0516438 # DEPENDENCYPART_SIBL
(9,7),(9,8),-0.108298 # DEPENDENCYPART_SIBL
(9,7),(9,10),-0.015414 # DEPENDENCYPART_SIBL
(9,7),(9,11),-0.072196 # DEPENDENCYPART_SIBL
(9,7),(9,12),-0.056805 # DEPENDENCYPART_SIBL
(9,7),(9,13),-0.0827801 # DEPENDENCYPART_SIBL
(9,7),(9,14),0.0253459 # DEPENDENCYPART_SIBL
(9,7),(9,15),-0.0588509 # DEPENDENCYPART_SIBL
(9,7),(9,16),-0.0723837 # DEPENDENCYPART_SIBL
(9,8),(9,10),0.0242002 # DEPENDENCYPART_SIBL
(9,8),(9,11),-0.0610903 # DEPENDENCYPART_SIBL
(9,8),(9,12),-0.0387579 # DEPENDENCYPART_SIBL
(9,8),(9,13),-0.0783019 # DEPENDENCYPART_SIBL
(9,8),(9,14),-0.0802123 # DEPENDENCYPART_SIBL
(9,8),(9,15),0.00823678 # DEPENDENCYPART_SIBL
(9,8),(9,16),0.0603005 # DEPENDENCYPART_SIBL
(9,10),(9,11),-0.0785111 # DEPENDENCYPART_SIBL
(9,10),(9,12),-0.010073 # DEPENDENCYPART_SIBL
(9,10),(9,13),-0.0727004 # DEPENDENCYPART_SIBL
(9,10),(9,14),-0.0538808 # DEPENDENCYPART_SIBL
(9,10),(9,15),0.00975801 # DEPENDENCYPART_SIBL
(9,10),(9,16),-0.074176 # DEPENDENCYPART_SIBL
(9,11),(9,12),0.0146712 # DEPENDENCYPART_SIBL
(9,11),(9,13),-0.121197 # DEPENDENCYPART_SIBL
(9,11),(9,14),-0.0729766 # DEPENDENCYPART_SIBL
(9,11),(9,15),0.006183 # DEPENDENCYPART_SIBL
(9,11),(9,16),-0.106393 # DEPENDENCYPART_SIBL
(9,12),(9,13),-0.0399659 # DEPENDENCYPART_SIBL
(9,12),(9,14),-0.0568221 # DEPENDENCYPART_SIBL
(9,12),(9,15),0.027528 # DEPENDENCYPART_SIBL
(9,12),(9,16),-0.0620323 # DEPENDENCYPART_SIBL
(9,13),(9,14),-0.0666458 # DEPENDENCYPART_SIBL
(9,13),(9,15),0.0117343 # DEPENDENCYPART_SIBL
(9,13),(9,16),-0.102556 # DEPENDENCYPART_SIBL
(9,14),(9,15),0.0587561 # DEPENDENCYPART_SIBL
(9,14),(9,16),-0.0273345 # DEPENDENCYPART_SIBL
(9,15),(9,16),-0.083331 # DEPENDENCYPART_SIBL
(11,1),(11,2),0.0672566 # DEPENDENCYPART_SIBL
(11,1),(11,3),0.0672566 # DEPENDENCYPART_SIBL
(11,1),(11,4),0.0506748 # DEPENDENCYPART_SIBL
(11,1),(11,5),0.0672566 # DEPENDENCYPART_SIBL
(11,1),(11,6),0.0814305 # DEPENDENCYPART_SIBL
(11,1),(11,7),-0.0187204 # DEPENDENCYPART_SIBL
(11,1),(11,8),0.0672566 # DEPENDENCYPART_SIBL
(11,1),(11,9),0.0257368 # DEPENDENCYPART_SIBL
(11,1),(11,10),0.0415638 # DEPENDENCYPART_SIBL
(11,1),(11,12),0.0506447 # DEPENDENCYPART_SIBL
(11,1),(11,13),0.0313599 # DEPENDENCYPART_SIBL
(11,1),(11,14),-0.0242884 # DEPENDENCYPART_SIBL
(11,1),(11,15),0.0174586 # DEPENDENCYPART_SIBL
(11,1),(11,16),-0.00523718 # DEPENDENCYPART_SIBL
(11,2),(11,3),-0.0220304 # DEPENDENCYPART_SIBL
(11,2),(11,4),-0.0109369 # DEPENDENCYPART_SIBL
(11,2),(11,5),-0.0220304 # DEPENDENCYPART_SIBL
(11,2),(11,6),0.0044637 # DEPENDENCYPART_SIBL
(11,2),(11,7),-0.0683719 # DEPENDENCYPART_SIBL
(11,2),(11,8),-0.0220304 # DEPENDENCYPART_SIBL
(11,2),(11,9),-0.00293855 # DEPENDENCYPART_SIBL
(11,2),(11,10),-0.00555622 # DEPENDENCYPART_SIBL
(11,2),(11,12),0.0195602 # DEPENDENCYPART_SIBL
(11,2),(11,13),0.025528 # DEPENDENCYPART_SIBL
(11,2),(11,14),-0.00777257 # DEPENDENCYPART_SIBL
(11,2),(11,15),0.0758349 # DEPENDENCYPART_SIBL
(11,2),(11,16),-0.0181748 # DEPENDENCYPART_SIBL
(11,3),(11,4),-0.0109369 # DEPENDENCYPART_SIBL
(11,3),(11,5),-0.0220304 # DEPENDENCYPART_SIBL
(11,3),(11,6),0.0044637 # DEPENDENCYPART_SIBL
(11,3),(11,7),-0.0683719 # DEPENDENCYPART_SIBL
(11,3),(11,8),-0.0220304 # DEPENDENCYPART_SIBL
(11,3),(11,9),-0.00293855 # DEPENDENCYPART_SIBL
(11,3),(11,10),-0.00555622 # DEPENDENCYPART_SIBL
(11,3),(11,12),0.0195602 # DEPENDENCYPART_SIBL
(11,3),(11,13),0.025528 # DEPENDENCYPART_SIBL
(11,3),(11,14),-0.00777257 # DEPENDENCYPART_SIBL
(11,3),(11,15),0.0758349 # DEPENDENCYPART_SIBL
(11,3),(11,16),-0.0181748 # DEPENDENCYPART_SIBL
(11,4),(11,5),0.0102581 # DEPENDENCYPART_SIBL
(11,4),(11,6),0.0213704 # DEPENDENCYPART_SIBL
(11,4),(11,7),-0.0496035 # DEPENDENCYPART_SIBL
(11,4),(11,8),0.0102581 # DEPENDENCYPART_SIBL
(11,4),(11,9),-0.0288283 # DEPENDENCYPART_SIBL
(11,4),(11,10),-0.0015527 # DEPENDENCYPART_SIBL
(11,4),(11,12),0.016449 # DEPENDENCYPART_SIBL
(11,4),(11,13),0.00404519 # DEPENDENCYPART_SIBL
(11,4),(11,14),-0.00768756 # DEPENDENCYPART_SIBL
(11,4),(11,15),0.0198407 # DEPENDENCYPART_SIBL
(11,4),(11,16),-0.014715 # DEPENDENCYPART_SIBL
(11,5),(11,6),0.0044637 # DEPENDENCYPART_SIBL
(11,5),(11,7),-0.0683719 # DEPENDENCYPART_SIBL
(11,5),(11,8),-0.0220304 # DEPENDENCYPART_SIBL
(11,5),(11,9),-0.00293855 # DEPENDENCYPART_SIBL
(11,5),(11,10),-0.00555622 # DEPENDENCYPART_SIBL
(11,5),(11,12),0.0195602 # DEPENDENCYPART_SIBL
(11,5),(11,13),0.025528 # DEPENDENCYPART_SIBL
(11,5),(11,14),-0.00777257 # DEPENDENCYPART_SIBL
(11,5),(11,15),0.0758349 # DEPENDENCYPART_SIBL
(11,5),(11,16),-0.0181748 # DEPENDENCYPART_SIBL
(11,6),(11,7),-0.0691476 # DEPENDENCYPART_SIBL
(11,6),(11,8),-0.0257793 # DEPENDENCYPART_SIBL
(11,6),(11,9),-0.00374144 # DEPENDENCYPART_SIBL
(11,6),(11,10),-0.00633198 # DEPENDENCYPART_SIBL
(11,6),(11,12),0.0457966 # DEPENDENCYPART_SIBL
(11,6),(11,13),0.0498078 # DEPENDENCYPART_SIBL
(11,6),(11,14),0.00286265 # DEPENDENCYPART_SIBL
(11,6),(11,15),0.0834439 # DEPENDENCYPART_SIBL
(11,6),(11,16),-0.00473107 # DEPENDENCYPART_SIBL
(11,7),(11,8),-0.165139 # DEPENDENCYPART_SIBL
(11,7),(11,9),-0.10356 # DEPENDENCYPART_SIBL
(11,7),(11,10),-0.0769271 # DEPENDENCYPART_SIBL
(11,7),(11,12),-0.00196905 # DEPENDENCYPART_SIBL
(11,7),(11,13),-0.00843976 # DEPENDENCYPART_SIBL
(11,7),(11,14),-0.0237218 # DEPENDENCYPART_SIBL
(11,7),(11,15),-0.0138084 # DEPENDENCYPART_SIBL
(11,7),(11,16),-0.0125615 # DEPENDENCYPART_SIBL
(11,8),(11,9),-0.00293855 # DEPENDENCYPART_SIBL
(11,8),(11,10),-0.00555622 # DEPENDENCYPART_SIBL
(11,8),(11,12),0.0195602 # DEPENDENCYPART_SIBL
(11,8),(11,13),0.025528 # DEPENDENCYPART_SIBL
(11,8),(11,14),-0.00777257 # DEPENDENCYPART_SIBL
(11,8),(11,15),0.0758349 # DEPENDENCYPART_SIBL
(11,8),(11,16),-0.0181748 # DEPENDENCYPART_SIBL
(11,9),(11,10),-0.0423324 # DEPENDENCYPART_SIBL
(11,9),(11,12),0.00877296 # DEPENDENCYPART_SIBL
(11,9),(11,13),-0.0307541 # DEPENDENCYPART_SIBL
(11,9),(11,14),-0.0357252 # DEPENDENCYPART_SIBL
(11,9),(11,15),-0.00121998 # DEPENDENCYPART_SIBL
(11,9),(11,16),-0.0278987 # DEPENDENCYPART_SIBL
(11,10),(11,12),0.0318575 # DEPENDENCYPART_SIBL
(11,10),(11,13),0.0233323 # DEPENDENCYPART_SIBL
(11,10),(11,14),0.00463998 # DEPENDENCYPART_SIBL
(11,10),(11,15),0.0394517 # DEPENDENCYPART_SIBL
(11,10),(11,16),0.0171689 # DEPENDENCYPART_SIBL
(11,12),(11,13),0.019653 # DEPENDENCYPART_SIBL
(11,12),(11,14),-0.0265594 # DEPENDENCYPART_SIBL
(11,12),(11,15),0.0459233 # DEPENDENCYPART_SIBL
(11,12),(11,16),0.0373924 # DEPENDENCYPART_SIBL
(11,13),(11,14),-0.0516581 # DEPENDENCYPART_SIBL
(11,13),(11,15),-0.0429124 # DEPENDENCYPART_SIBL
(11,13),(11,16),-0.0448509 # DEPENDENCYPART_SIBL
(11,14),(11,15),-0.0216428 # DEPENDENCYPART_SIBL
(11,14),(11,16),-0.0852862 # DEPENDENCYPART_SIBL
(11,15),(11,16),-0.0166839 # DEPENDENCYPART_SIBL
(12,8),(12,9),0.0406065 # DEPENDENCYPART_SIBL
(12,8),(12,11),0.102117 # DEPENDENCYPART_SIBL
(12,8),(12,13),0.0466397 # DEPENDENCYPART_SIBL
(12,8),(12,15),0.0547903 # DEPENDENCYPART_SIBL
(12,8),(12,16),0.071277 # DEPENDENCYPART_SIBL
(12,9),(12,11),0.0132511 # DEPENDENCYPART_SIBL
(12,9),(12,13),0.0302567 # DEPENDENCYPART_SIBL
(12,9),(12,15),0.0294921 # DEPENDENCYPART_SIBL
(12,9),(12,16),0.0208139 # DEPENDENCYPART_SIBL
(12,11),(12,13),0.0402402 # DEPENDENCYPART_SIBL
(12,11),(12,15),0.0122333 # DEPENDENCYPART_SIBL
(12,11),(12,16),-0.00708515 # DEPENDENCYPART_SIBL
(12,13),(12,15),-0.0117868 # DEPENDENCYPART_SIBL
(12,13),(12,16),0.0390314 # DEPENDENCYPART_SIBL
(12,15),(12,16),-0.00193459 # DEPENDENCYPART_SIBL
(13,1),(13,2),0.0362111 # DEPENDENCYPART_SIBL
(13,1),(13,3),0.0362111 # DEPENDENCYPART_SIBL
(13,1),(13,4),0.0374916 # DEPENDENCYPART_SIBL
(13,1),(13,5),0.0362111 # DEPENDENCYPART_SIBL
(13,1),(13,6),0.050385 # DEPENDENCYPART_SIBL
(13,1),(13,7),-0.0301124 # DEPENDENCYPART_SIBL
(13,1),(13,8),0.0362111 # DEPENDENCYPART_SIBL
(13,1),(13,9),0.0333886 # DEPENDENCYPART_SIBL
(13,1),(13,11),0.00573082 # DEPENDENCYPART_SIBL
(13,1),(13,12),0.0394845 # DEPENDENCYPART_SIBL
(13,1),(13,14),-0.0142691 # DEPENDENCYPART_SIBL
(13,1),(13,15),-0.0127022 # DEPENDENCYPART_SIBL
(13,1),(13,16),-0.00627172 # DEPENDENCYPART_SIBL
(13,2),(13,3),-0.0272028 # DEPENDENCYPART_SIBL
(13,2),(13,4),-0.0112582 # DEPENDENCYPART_SIBL
(13,2),(13,5),-0.0272028 # DEPENDENCYPART_SIBL
(13,2),(13,6),-0.000708704 # DEPENDENCYPART_SIBL
(13,2),(13,7),-0.0719613 # DEPENDENCYPART_SIBL
(13,2),(13,8),-0.0272028 # DEPENDENCYPART_SIBL
(13,2),(13,9),0.0103114 # DEPENDENCYPART_SIBL
(13,2),(13,11),0.0223375 # DEPENDENCYPART_SIBL
(13,2),(13,12),0.00776527 # DEPENDENCYPART_SIBL
(13,2),(13,14),0.00593605 # DEPENDENCYPART_SIBL
(13,2),(13,15),0.0120964 # DEPENDENCYPART_SIBL
(13,2),(13,16),-0.0201186 # DEPENDENCYPART_SIBL
(13,3),(13,4),-0.0112582 # DEPENDENCYPART_SIBL
(13,3),(13,5),-0.0272028 # DEPENDENCYPART_SIBL
(13,3),(13,6),-0.000708704 # DEPENDENCYPART_SIBL
(13,3),(13,7),-0.0719613 # DEPENDENCYPART_SIBL
(13,3),(13,8),-0.0272028 # DEPENDENCYPART_SIBL
(13,3),(13,9),0.0103114 # DEPENDENCYPART_SIBL
(13,3),(13,11),0.0223375 # DEPENDENCYPART_SIBL
(13,3),(13,12),0.00776527 # DEPENDENCYPART_SIBL
(13,3),(13,14),0.00593605 # DEPENDENCYPART_SIBL
(13,3),(13,15),0.0120964 # DEPENDENCYPART_SIBL
(13,3),(13,16),-0.0201186 # DEPENDENCYPART_SIBL
(13,4),(13,5),0.00348266 # DEPENDENCYPART_SIBL
(13,4),(13,6),0.014595 # DEPENDENCYPART_SIBL
(13,4),(13,7),-0.0494266 # DEPENDENCYPART_SIBL
(13,4),(13,8),0.00348266 # DEPENDENCYPART_SIBL
(13,4),(13,9),-0.013302 # DEPENDENCYPART_SIBL
(13,4),(13,11),0.00566 # DEPENDENCYPART_SIBL
(13,4),(13,12),0.0197809 # DEPENDENCYPART_SIBL
(13,4),(13,14),0.00418596 # DEPENDENCYPART_SIBL
(13,4),(13,15),-0.0049123 # DEPENDENCYPART_SIBL
(13,4),(13,16),-0.0123797 # DEPENDENCYPART_SIBL
(13,5),(13,6),-0.000708704 # DEPENDENCYPART_SIBL
(13,5),(13,7),-0.0719613 # DEPENDENCYPART_SIBL
(13,5),(13,8),-0.0272028 # DEPENDENCYPART_SIBL
(13,5),(13,9),0.0103114 # DEPENDENCYPART_SIBL
(13,5),(13,11),0.0223375 # DEPENDENCYPART_SIBL
(13,5),(13,12),0.00776527 # DEPENDENCYPART_SIBL
(13,5),(13,14),0.00593605 # DEPENDENCYPART_SIBL
(13,5),(13,15),0.0120964 # DEPENDENCYPART_SIBL
(13,5),(13,16),-0.0201186 # DEPENDENCYPART_SIBL
(13,6),(13,7),-0.0727371 # DEPENDENCYPART_SIBL
(13,6),(13,8),-0.0309517 # DEPENDENCYPART_SIBL
(13,6),(13,9),0.00950853 # DEPENDENCYPART_SIBL
(13,6),(13,11),0.0208768 # DEPENDENCYPART_SIBL
(13,6),(13,12),0.00685527 # DEPENDENCYPART_SIBL
(13,6),(13,14),0.0165713 # DEPENDENCYPART_SIBL
(13,6),(13,15),0.0197055 # DEPENDENCYPART_SIBL
(13,6),(13,16),-0.00667481 # DEPENDENCYPART_SIBL
(13,7),(13,8),-0.174817 # DEPENDENCYPART_SIBL
(13,7),(13,9),-0.0896274 # DEPENDENCYPART_SIBL
(13,7),(13,11),-0.100801 # DEPENDENCYPART_SIBL
(13,7),(13,12),-0.0598924 # DEPENDENCYPART_SIBL
(13,7),(13,14),-0.00549256 # DEPENDENCYPART_SIBL
(13,7),(13,15),-0.0382848 # DEPENDENCYPART_SIBL
(13,7),(13,16),-0.00323158 # DEPENDENCYPART_SIBL
(13,8),(13,9),0.0103114 # DEPENDENCYPART_SIBL
(13,8),(13,11),0.0223375 # DEPENDENCYPART_SIBL
(13,8),(13,12),0.00776527 # DEPENDENCYPART_SIBL
(13,8),(13,14),0.00593605 # DEPENDENCYPART_SIBL
(13,8),(13,15),0.0120964 # DEPENDENCYPART_SIBL
(13,8),(13,16),-0.0201186 # DEPENDENCYPART_SIBL
(13,9),(13,11),-0.0360102 # DEPENDENCYPART_SIBL
(13,9),(13,12),-0.0445032 # DEPENDENCYPART_SIBL
(13,9),(13,14),0.0109203 # DEPENDENCYPART_SIBL
(13,9),(13,15),0.000588041 # DEPENDENCYPART_SIBL
(13,9),(13,16),0.0165859 # DEPENDENCYPART_SIBL
(13,11),(13,12),-0.0244728 # DEPENDENCYPART_SIBL
(13,11),(13,14),-0.00547519 # DEPENDENCYPART_SIBL
(13,11),(13,15),0.0165869 # DEPENDENCYPART_SIBL
(13,11),(13,16),0.0285086 # DEPENDENCYPART_SIBL
