# _root_ kasu honetan gutuna posta arruntaren_bidez etorri da , eta etako presoek bizi duten egoeraren erantzule egiten gaituzte " , azaldu zuen .
#goldHeads=6,1,6,6,4,9,6,7,20,11,12,14,12,15,16,9,16,17,18,0,0,21,
#predictedHeads=6,1,6,6,4,9,6,7,0,11,12,14,12,15,16,9,16,17,18,0,20,21,
(6,7),(6,8),0.0155375 # DEPENDENCYPART_SIBL
(6,7),(6,9),0.00993802 # DEPENDENCYPART_SIBL
(6,7),(6,10),0.101691 # DEPENDENCYPART_SIBL
(6,7),(6,11),0.106424 # DEPENDENCYPART_SIBL
(6,7),(6,12),0.101166 # DEPENDENCYPART_SIBL
(6,7),(6,13),-0.119458 # DEPENDENCYPART_SIBL
(6,7),(6,14),0.0992557 # DEPENDENCYPART_SIBL
(6,7),(6,15),0.102031 # DEPENDENCYPART_SIBL
(6,7),(6,16),0.0740854 # DEPENDENCYPART_SIBL
(6,7),(6,17),-0.11077 # DEPENDENCYPART_SIBL
(6,7),(6,20),0.0582619 # DEPENDENCYPART_SIBL
(6,7),(6,21),-0.126494 # DEPENDENCYPART_SIBL
(6,8),(6,9),-0.0552601 # DEPENDENCYPART_SIBL
(6,8),(6,10),-0.101442 # DEPENDENCYPART_SIBL
(6,8),(6,11),-0.0998618 # DEPENDENCYPART_SIBL
(6,8),(6,12),-0.104122 # DEPENDENCYPART_SIBL
(6,8),(6,13),-0.105549 # DEPENDENCYPART_SIBL
(6,8),(6,14),-0.10411 # DEPENDENCYPART_SIBL
(6,8),(6,15),-0.101326 # DEPENDENCYPART_SIBL
(6,8),(6,16),-0.0579384 # DEPENDENCYPART_SIBL
(6,8),(6,17),-0.0929055 # DEPENDENCYPART_SIBL
(6,8),(6,20),-0.0445413 # DEPENDENCYPART_SIBL
(6,8),(6,21),-0.126441 # DEPENDENCYPART_SIBL
(6,9),(6,10),0.00651289 # DEPENDENCYPART_SIBL
(6,9),(6,11),0.00809328 # DEPENDENCYPART_SIBL
(6,9),(6,12),0.00315747 # DEPENDENCYPART_SIBL
(6,9),(6,13),-0.0251642 # DEPENDENCYPART_SIBL
(6,9),(6,14),0.00387777 # DEPENDENCYPART_SIBL
(6,9),(6,15),0.00662662 # DEPENDENCYPART_SIBL
(6,9),(6,16),-0.0430589 # DEPENDENCYPART_SIBL
(6,9),(6,17),-0.0164489 # DEPENDENCYPART_SIBL
(6,9),(6,20),-0.0465717 # DEPENDENCYPART_SIBL
(6,9),(6,21),-0.0323363 # DEPENDENCYPART_SIBL
(6,10),(6,11),-0.0100155 # DEPENDENCYPART_SIBL
(6,10),(6,12),-0.0130205 # DEPENDENCYPART_SIBL
(6,10),(6,13),-0.0391216 # DEPENDENCYPART_SIBL
(6,10),(6,14),-0.019699 # DEPENDENCYPART_SIBL
(6,10),(6,15),-0.0114806 # DEPENDENCYPART_SIBL
(6,10),(6,16),-0.0301008 # DEPENDENCYPART_SIBL
(6,10),(6,17),-0.0316313 # DEPENDENCYPART_SIBL
(6,10),(6,20),-0.0323197 # DEPENDENCYPART_SIBL
(6,10),(6,21),-0.0349693 # DEPENDENCYPART_SIBL
(6,11),(6,12),-0.0132045 # DEPENDENCYPART_SIBL
(6,11),(6,13),-0.0397566 # DEPENDENCYPART_SIBL
(6,11),(6,14),-0.0198829 # DEPENDENCYPART_SIBL
(6,11),(6,15),-0.0116645 # DEPENDENCYPART_SIBL
(6,11),(6,16),-0.0307204 # DEPENDENCYPART_SIBL
(6,11),(6,17),-0.0322663 # DEPENDENCYPART_SIBL
(6,11),(6,20),-0.0329394 # DEPENDENCYPART_SIBL
(6,11),(6,21),-0.0356043 # DEPENDENCYPART_SIBL
(6,12),(6,13),-0.0397729 # DEPENDENCYPART_SIBL
(6,12),(6,14),-0.0216108 # DEPENDENCYPART_SIBL
(6,12),(6,15),-0.0133865 # DEPENDENCYPART_SIBL
(6,12),(6,16),-0.0332141 # DEPENDENCYPART_SIBL
(6,12),(6,17),-0.0322721 # DEPENDENCYPART_SIBL
(6,12),(6,20),-0.035433 # DEPENDENCYPART_SIBL
(6,12),(6,21),-0.0356102 # DEPENDENCYPART_SIBL
(6,13),(6,14),-0.0546915 # DEPENDENCYPART_SIBL
(6,13),(6,15),-0.0514272 # DEPENDENCYPART_SIBL
(6,13),(6,16),-0.0374317 # DEPENDENCYPART_SIBL
(6,13),(6,17),-0.184942 # DEPENDENCYPART_SIBL
(6,13),(6,20),-0.0536081 # DEPENDENCYPART_SIBL
(6,13),(6,21),-0.199146 # DEPENDENCYPART_SIBL
(6,14),(6,15),-0.0112961 # DEPENDENCYPART_SIBL
(6,14),(6,16),-0.0298524 # DEPENDENCYPART_SIBL
(6,14),(6,17),-0.0313996 # DEPENDENCYPART_SIBL
(6,14),(6,20),-0.0320713 # DEPENDENCYPART_SIBL
(6,14),(6,21),-0.0347377 # DEPENDENCYPART_SIBL
(6,15),(6,16),-0.0298523 # DEPENDENCYPART_SIBL
(6,15),(6,17),-0.031398 # DEPENDENCYPART_SIBL
(6,15),(6,20),-0.0320712 # DEPENDENCYPART_SIBL
(6,15),(6,21),-0.0347361 # DEPENDENCYPART_SIBL
(6,16),(6,17),0.116494 # DEPENDENCYPART_SIBL
(6,16),(6,20),-0.0196082 # DEPENDENCYPART_SIBL
(6,16),(6,21),0.102742 # DEPENDENCYPART_SIBL
(6,17),(6,20),-0.00073295 # DEPENDENCYPART_SIBL
(6,17),(6,21),-0.152892 # DEPENDENCYPART_SIBL
(6,20),(6,21),-0.025972 # DEPENDENCYPART_SIBL
(7,1),(7,3),0.0507838 # DEPENDENCYPART_SIBL
(7,1),(7,4),0.0507838 # DEPENDENCYPART_SIBL
(7,1),(7,8),0.028733 # DEPENDENCYPART_SIBL
(7,1),(7,9),0.0320354 # DEPENDENCYPART_SIBL
(7,1),(7,13),0.0700989 # DEPENDENCYPART_SIBL
(7,1),(7,16),0.0641006 # DEPENDENCYPART_SIBL
(7,3),(7,4),0.0565731 # DEPENDENCYPART_SIBL
(7,3),(7,8),0.0376373 # DEPENDENCYPART_SIBL
(7,3),(7,9),0.0344165 # DEPENDENCYPART_SIBL
(7,3),(7,13),0.0706076 # DEPENDENCYPART_SIBL
(7,3),(7,16),0.0663177 # DEPENDENCYPART_SIBL
(7,4),(7,8),0.0381674 # DEPENDENCYPART_SIBL
(7,4),(7,9),0.0344165 # DEPENDENCYPART_SIBL
(7,4),(7,13),0.0706076 # DEPENDENCYPART_SIBL
(7,4),(7,16),0.0663177 # DEPENDENCYPART_SIBL
(7,8),(7,9),-0.0482282 # DEPENDENCYPART_SIBL
(7,8),(7,13),-0.0517228 # DEPENDENCYPART_SIBL
(7,8),(7,16),-0.0461703 # DEPENDENCYPART_SIBL
(7,9),(7,13),-0.00619697 # DEPENDENCYPART_SIBL
(7,9),(7,16),-0.0477443 # DEPENDENCYPART_SIBL
(7,13),(7,16),-0.00630994 # DEPENDENCYPART_SIBL
(8,6),(8,7),-0.0363926 # DEPENDENCYPART_SIBL
(8,6),(8,9),0.185621 # DEPENDENCYPART_SIBL
(8,7),(8,9),-0.0229414 # DEPENDENCYPART_SIBL
(9,1),(9,2),-0.0148984 # DEPENDENCYPART_SIBL
(9,1),(9,3),0.00402816 # DEPENDENCYPART_SIBL
(9,1),(9,4),0.00402816 # DEPENDENCYPART_SIBL
(9,1),(9,5),-0.0612548 # DEPENDENCYPART_SIBL
(9,1),(9,6),0.0449248 # DEPENDENCYPART_SIBL
(9,1),(9,7),-0.00397278 # DEPENDENCYPART_SIBL
(9,1),(9,8),-0.0371932 # DEPENDENCYPART_SIBL
(9,1),(9,10),0.0573648 # DEPENDENCYPART_SIBL
(9,1),(9,11),0.0812197 # DEPENDENCYPART_SIBL
(9,1),(9,12),0.0624804 # DEPENDENCYPART_SIBL
(9,1),(9,13),-0.0104274 # DEPENDENCYPART_SIBL
(9,1),(9,14),0.072474 # DEPENDENCYPART_SIBL
(9,1),(9,15),0.0717461 # DEPENDENCYPART_SIBL
(9,1),(9,16),-0.0573603 # DEPENDENCYPART_SIBL
(9,1),(9,20),-0.0725441 # DEPENDENCYPART_SIBL
(9,2),(9,3),-0.033928 # DEPENDENCYPART_SIBL
(9,2),(9,4),-0.0300391 # DEPENDENCYPART_SIBL
(9,2),(9,5),-0.0471689 # DEPENDENCYPART_SIBL
(9,2),(9,6),0.0306939 # DEPENDENCYPART_SIBL
(9,2),(9,7),-0.013552 # DEPENDENCYPART_SIBL
(9,2),(9,8),-0.0640367 # DEPENDENCYPART_SIBL
(9,2),(9,10),-0.00162976 # DEPENDENCYPART_SIBL
(9,2),(9,11),0.00699813 # DEPENDENCYPART_SIBL
(9,2),(9,12),-0.00370849 # DEPENDENCYPART_SIBL
(9,2),(9,13),0.00350711 # DEPENDENCYPART_SIBL
(9,2),(9,14),0.0068185 # DEPENDENCYPART_SIBL
(9,2),(9,15),0.00573087 # DEPENDENCYPART_SIBL
(9,2),(9,16),-0.0100768 # DEPENDENCYPART_SIBL
(9,2),(9,20),-0.0287608 # DEPENDENCYPART_SIBL
(9,3),(9,4),-0.0053097 # DEPENDENCYPART_SIBL
(9,3),(9,5),-0.0785956 # DEPENDENCYPART_SIBL
(9,3),(9,6),0.00518202 # DEPENDENCYPART_SIBL
(9,3),(9,7),-0.01853 # DEPENDENCYPART_SIBL
(9,3),(9,8),-0.0518421 # DEPENDENCYPART_SIBL
(9,3),(9,10),0.0328361 # DEPENDENCYPART_SIBL
(9,3),(9,11),0.056691 # DEPENDENCYPART_SIBL
(9,3),(9,12),0.0379517 # DEPENDENCYPART_SIBL
(9,3),(9,13),-0.0255162 # DEPENDENCYPART_SIBL
(9,3),(9,14),0.0479453 # DEPENDENCYPART_SIBL
(9,3),(9,15),0.0472174 # DEPENDENCYPART_SIBL
(9,3),(9,16),-0.086316 # DEPENDENCYPART_SIBL
(9,3),(9,20),-0.104382 # DEPENDENCYPART_SIBL
(9,4),(9,5),-0.0785956 # DEPENDENCYPART_SIBL
(9,4),(9,6),0.00518202 # DEPENDENCYPART_SIBL
(9,4),(9,7),-0.01853 # DEPENDENCYPART_SIBL
(9,4),(9,8),-0.0518421 # DEPENDENCYPART_SIBL
(9,4),(9,10),0.0427315 # DEPENDENCYPART_SIBL
(9,4),(9,11),0.0665864 # DEPENDENCYPART_SIBL
(9,4),(9,12),0.0478471 # DEPENDENCYPART_SIBL
(9,4),(9,13),-0.0255162 # DEPENDENCYPART_SIBL
(9,4),(9,14),0.0578407 # DEPENDENCYPART_SIBL
(9,4),(9,15),0.0571129 # DEPENDENCYPART_SIBL
(9,4),(9,16),-0.086316 # DEPENDENCYPART_SIBL
(9,4),(9,20),-0.104382 # DEPENDENCYPART_SIBL
(9,5),(9,6),0.00558208 # DEPENDENCYPART_SIBL
(9,5),(9,7),-0.000907928 # DEPENDENCYPART_SIBL
(9,5),(9,8),-0.0308057 # DEPENDENCYPART_SIBL
(9,5),(9,10),-0.00778184 # DEPENDENCYPART_SIBL
(9,5),(9,11),0.000554116 # DEPENDENCYPART_SIBL
(9,5),(9,12),-0.0210152 # DEPENDENCYPART_SIBL
(9,5),(9,13),0.0093376 # DEPENDENCYPART_SIBL
(9,5),(9,14),0.000371731 # DEPENDENCYPART_SIBL
(9,5),(9,15),-0.000717643 # DEPENDENCYPART_SIBL
(9,5),(9,16),-0.0317529 # DEPENDENCYPART_SIBL
(9,5),(9,20),-0.0428895 # DEPENDENCYPART_SIBL
(9,6),(9,7),-0.101831 # DEPENDENCYPART_SIBL
(9,6),(9,8),-0.125169 # DEPENDENCYPART_SIBL
(9,6),(9,10),-0.138944 # DEPENDENCYPART_SIBL
(9,6),(9,11),-0.123326 # DEPENDENCYPART_SIBL
(9,6),(9,12),-0.138267 # DEPENDENCYPART_SIBL
(9,6),(9,13),-0.0229751 # DEPENDENCYPART_SIBL
(9,6),(9,14),-0.127887 # DEPENDENCYPART_SIBL
(9,6),(9,15),-0.128846 # DEPENDENCYPART_SIBL
(9,6),(9,16),0.110171 # DEPENDENCYPART_SIBL
(9,6),(9,20),0.0635243 # DEPENDENCYPART_SIBL
(9,7),(9,8),-0.0286219 # DEPENDENCYPART_SIBL
(9,7),(9,10),-0.0343627 # DEPENDENCYPART_SIBL
(9,7),(9,11),-0.0260246 # DEPENDENCYPART_SIBL
(9,7),(9,12),-0.0366347 # DEPENDENCYPART_SIBL
(9,7),(9,13),-0.0515125 # DEPENDENCYPART_SIBL
(9,7),(9,14),-0.0262089 # DEPENDENCYPART_SIBL
(9,7),(9,15),-0.0272997 # DEPENDENCYPART_SIBL
(9,7),(9,16),-0.0153579 # DEPENDENCYPART_SIBL
(9,7),(9,20),-0.0426205 # DEPENDENCYPART_SIBL
(9,8),(9,10),-0.0807196 # DEPENDENCYPART_SIBL
(9,8),(9,11),-0.0723873 # DEPENDENCYPART_SIBL
(9,8),(9,12),-0.0829938 # DEPENDENCYPART_SIBL
(9,8),(9,13),-0.0683656 # DEPENDENCYPART_SIBL
(9,8),(9,14),-0.0725661 # DEPENDENCYPART_SIBL
(9,8),(9,15),-0.0736537 # DEPENDENCYPART_SIBL
(9,8),(9,16),-0.0949029 # DEPENDENCYPART_SIBL
(9,8),(9,20),-0.105996 # DEPENDENCYPART_SIBL
(9,10),(9,11),-0.219502 # DEPENDENCYPART_SIBL
(9,10),(9,12),-0.224797 # DEPENDENCYPART_SIBL
(9,10),(9,13),-0.059329 # DEPENDENCYPART_SIBL
(9,10),(9,14),-0.222289 # DEPENDENCYPART_SIBL
(9,10),(9,15),-0.219502 # DEPENDENCYPART_SIBL
(9,10),(9,16),-0.157181 # DEPENDENCYPART_SIBL
(9,10),(9,20),-0.158573 # DEPENDENCYPART_SIBL
(9,11),(9,12),-0.222996 # DEPENDENCYPART_SIBL
(9,11),(9,13),-0.0577534 # DEPENDENCYPART_SIBL
(9,11),(9,14),-0.220488 # DEPENDENCYPART_SIBL
(9,11),(9,15),-0.217701 # DEPENDENCYPART_SIBL
(9,11),(9,16),-0.155597 # DEPENDENCYPART_SIBL
(9,11),(9,20),-0.156989 # DEPENDENCYPART_SIBL
(9,12),(9,13),-0.0578007 # DEPENDENCYPART_SIBL
(9,12),(9,14),-0.221415 # DEPENDENCYPART_SIBL
(9,12),(9,15),-0.218622 # DEPENDENCYPART_SIBL
(9,12),(9,16),-0.158122 # DEPENDENCYPART_SIBL
(9,12),(9,20),-0.159513 # DEPENDENCYPART_SIBL
(9,13),(9,14),-0.0839203 # DEPENDENCYPART_SIBL
(9,13),(9,15),-0.0834083 # DEPENDENCYPART_SIBL
(9,13),(9,16),-0.0452244 # DEPENDENCYPART_SIBL
(9,13),(9,20),-0.0527724 # DEPENDENCYPART_SIBL
(9,14),(9,15),-0.218199 # DEPENDENCYPART_SIBL
(9,14),(9,16),-0.155597 # DEPENDENCYPART_SIBL
(9,14),(9,20),-0.156989 # DEPENDENCYPART_SIBL
(9,15),(9,16),-0.155598 # DEPENDENCYPART_SIBL
(9,15),(9,20),-0.156989 # DEPENDENCYPART_SIBL
(9,16),(9,20),-0.142596 # DEPENDENCYPART_SIBL
(10,11),(10,12),-0.0085825 # DEPENDENCYPART_SIBL
(11,2),(11,6),-0.021448 # DEPENDENCYPART_SIBL
(11,2),(11,8),-0.0347519 # DEPENDENCYPART_SIBL
(11,2),(11,9),0.0446793 # DEPENDENCYPART_SIBL
(11,2),(11,10),0.0265879 # DEPENDENCYPART_SIBL
(11,2),(11,12),-0.072636 # DEPENDENCYPART_SIBL
(11,2),(11,13),-0.0347385 # DEPENDENCYPART_SIBL
(11,2),(11,14),-0.0727426 # DEPENDENCYPART_SIBL
(11,2),(11,15),-0.0720892 # DEPENDENCYPART_SIBL
(11,2),(11,17),-0.0326342 # DEPENDENCYPART_SIBL
(11,6),(11,8),-0.0127189 # DEPENDENCYPART_SIBL
(11,6),(11,9),0.0696306 # DEPENDENCYPART_SIBL
(11,6),(11,10),0.0256754 # DEPENDENCYPART_SIBL
(11,6),(11,12),-0.00218705 # DEPENDENCYPART_SIBL
(11,6),(11,13),0.0442121 # DEPENDENCYPART_SIBL
(11,6),(11,14),-0.00237637 # DEPENDENCYPART_SIBL
(11,6),(11,15),-0.00159352 # DEPENDENCYPART_SIBL
(11,6),(11,17),0.0620319 # DEPENDENCYPART_SIBL
(11,8),(11,9),-0.029213 # DEPENDENCYPART_SIBL
(11,8),(11,10),-0.116508 # DEPENDENCYPART_SIBL
(11,8),(11,12),-0.0567411 # DEPENDENCYPART_SIBL
(11,8),(11,13),-0.0221299 # DEPENDENCYPART_SIBL
(11,8),(11,14),-0.0568807 # DEPENDENCYPART_SIBL
(11,8),(11,15),-0.0562273 # DEPENDENCYPART_SIBL
(11,8),(11,17),-0.0148858 # DEPENDENCYPART_SIBL
(11,9),(11,10),-0.108377 # DEPENDENCYPART_SIBL
(11,9),(11,12),-0.0232712 # DEPENDENCYPART_SIBL
(11,9),(11,13),0.0314329 # DEPENDENCYPART_SIBL
(11,9),(11,14),-0.0235003 # DEPENDENCYPART_SIBL
(11,9),(11,15),-0.0227651 # DEPENDENCYPART_SIBL
(11,9),(11,17),0.0217106 # DEPENDENCYPART_SIBL
(11,10),(11,12),-0.0175189 # DEPENDENCYPART_SIBL
(11,10),(11,13),0.0559412 # DEPENDENCYPART_SIBL
(11,10),(11,14),-0.0211355 # DEPENDENCYPART_SIBL
(11,10),(11,15),-0.0183129 # DEPENDENCYPART_SIBL
(11,10),(11,17),0.0301245 # DEPENDENCYPART_SIBL
(11,12),(11,13),-0.00352662 # DEPENDENCYPART_SIBL
(11,12),(11,14),-0.011684 # DEPENDENCYPART_SIBL
(11,12),(11,15),-0.00824288 # DEPENDENCYPART_SIBL
(11,12),(11,17),-0.00156979 # DEPENDENCYPART_SIBL
(11,13),(11,14),0.00664505 # DEPENDENCYPART_SIBL
(11,13),(11,15),0.00780509 # DEPENDENCYPART_SIBL
(11,13),(11,17),-0.0612053 # DEPENDENCYPART_SIBL
(11,14),(11,15),-0.00781239 # DEPENDENCYPART_SIBL
(11,14),(11,17),-0.00152394 # DEPENDENCYPART_SIBL
(11,15),(11,17),-0.00152147 # DEPENDENCYPART_SIBL
(12,1),(12,2),0.0225074 # DEPENDENCYPART_SIBL
(12,1),(12,4),0.0327546 # DEPENDENCYPART_SIBL
(12,1),(12,6),0.0122264 # DEPENDENCYPART_SIBL
(12,1),(12,8),-0.00705002 # DEPENDENCYPART_SIBL
(12,1),(12,9),0.0931895 # DEPENDENCYPART_SIBL
(12,1),(12,10),0.0298811 # DEPENDENCYPART_SIBL
(12,1),(12,11),0.0327349 # DEPENDENCYPART_SIBL
(12,1),(12,13),0.117628 # DEPENDENCYPART_SIBL
(12,1),(12,14),0.0207434 # DEPENDENCYPART_SIBL
(12,1),(12,15),0.026226 # DEPENDENCYPART_SIBL
(12,1),(12,16),0.058376 # DEPENDENCYPART_SIBL
(12,1),(12,17),0.0822561 # DEPENDENCYPART_SIBL
(12,1),(12,20),0.0676274 # DEPENDENCYPART_SIBL
(12,1),(12,22),-0.043814 # DEPENDENCYPART_SIBL
(12,2),(12,4),0.0457999 # DEPENDENCYPART_SIBL
(12,2),(12,6),-0.0215507 # DEPENDENCYPART_SIBL
(12,2),(12,8),-0.0347519 # DEPENDENCYPART_SIBL
(12,2),(12,9),0.0653517 # DEPENDENCYPART_SIBL
(12,2),(12,10),0.0446445 # DEPENDENCYPART_SIBL
(12,2),(12,11),0.0457967 # DEPENDENCYPART_SIBL
(12,2),(12,13),-0.0140928 # DEPENDENCYPART_SIBL
(12,2),(12,14),-0.0648424 # DEPENDENCYPART_SIBL
(12,2),(12,15),-0.062859 # DEPENDENCYPART_SIBL
(12,2),(12,16),-0.0272297 # DEPENDENCYPART_SIBL
(12,2),(12,17),-0.0167659 # DEPENDENCYPART_SIBL
(12,2),(12,20),-0.0243427 # DEPENDENCYPART_SIBL
(12,2),(12,22),-0.0243843 # DEPENDENCYPART_SIBL
(12,4),(12,6),0.00340492 # DEPENDENCYPART_SIBL
(12,4),(12,8),-0.00549733 # DEPENDENCYPART_SIBL
(12,4),(12,9),0.0955077 # DEPENDENCYPART_SIBL
(12,4),(12,10),0.0376582 # DEPENDENCYPART_SIBL
(12,4),(12,11),0.040512 # DEPENDENCYPART_SIBL
(12,4),(12,13),0.125765 # DEPENDENCYPART_SIBL
(12,4),(12,14),0.0293343 # DEPENDENCYPART_SIBL
(12,4),(12,15),0.0348169 # DEPENDENCYPART_SIBL
(12,4),(12,16),0.0673695 # DEPENDENCYPART_SIBL
(12,4),(12,17),0.0903936 # DEPENDENCYPART_SIBL
(12,4),(12,20),0.0737394 # DEPENDENCYPART_SIBL
(12,4),(12,22),-0.00140203 # DEPENDENCYPART_SIBL
(12,6),(12,8),-0.0128473 # DEPENDENCYPART_SIBL
(12,6),(12,9),0.0901747 # DEPENDENCYPART_SIBL
(12,6),(12,10),0.0434753 # DEPENDENCYPART_SIBL
(12,6),(12,11),0.0511152 # DEPENDENCYPART_SIBL
(12,6),(12,13),0.0669148 # DEPENDENCYPART_SIBL
(12,6),(12,14),0.00758046 # DEPENDENCYPART_SIBL
(12,6),(12,15),0.00969332 # DEPENDENCYPART_SIBL
(12,6),(12,16),0.0496571 # DEPENDENCYPART_SIBL
(12,6),(12,17),0.0799572 # DEPENDENCYPART_SIBL
(12,6),(12,20),0.0395225 # DEPENDENCYPART_SIBL
(12,6),(12,22),-0.0351035 # DEPENDENCYPART_SIBL
(12,8),(12,9),-0.0085406 # DEPENDENCYPART_SIBL
(12,8),(12,10),-0.0984511 # DEPENDENCYPART_SIBL
(12,8),(12,11),-0.0975581 # DEPENDENCYPART_SIBL
(12,8),(12,13),-0.000943764 # DEPENDENCYPART_SIBL
(12,8),(12,14),-0.0484401 # DEPENDENCYPART_SIBL
(12,8),(12,15),-0.0464567 # DEPENDENCYPART_SIBL
(12,8),(12,16),-0.0320734 # DEPENDENCYPART_SIBL
(12,8),(12,17),0.00152291 # DEPENDENCYPART_SIBL
(12,8),(12,20),-0.0215221 # DEPENDENCYPART_SIBL
(12,8),(12,22),-0.0818889 # DEPENDENCYPART_SIBL
(12,9),(12,10),-0.0904169 # DEPENDENCYPART_SIBL
(12,9),(12,11),-0.0895234 # DEPENDENCYPART_SIBL
(12,9),(12,13),0.0593882 # DEPENDENCYPART_SIBL
(12,9),(12,14),-0.0082906 # DEPENDENCYPART_SIBL
(12,9),(12,15),-0.00622539 # DEPENDENCYPART_SIBL
(12,9),(12,16),0.0109517 # DEPENDENCYPART_SIBL
(12,9),(12,17),0.0448883 # DEPENDENCYPART_SIBL
(12,9),(12,20),0.031531 # DEPENDENCYPART_SIBL
(12,9),(12,22),-0.0519624 # DEPENDENCYPART_SIBL
(12,10),(12,11),0.0335971 # DEPENDENCYPART_SIBL
(12,10),(12,13),0.118332 # DEPENDENCYPART_SIBL
(12,10),(12,14),0.0178802 # DEPENDENCYPART_SIBL
(12,10),(12,15),0.0233628 # DEPENDENCYPART_SIBL
(12,10),(12,16),0.0585836 # DEPENDENCYPART_SIBL
(12,10),(12,17),0.0829601 # DEPENDENCYPART_SIBL
(12,10),(12,20),0.0649534 # DEPENDENCYPART_SIBL
(12,10),(12,22),-0.0094232 # DEPENDENCYPART_SIBL
(12,11),(12,13),0.123647 # DEPENDENCYPART_SIBL
(12,11),(12,14),0.0274079 # DEPENDENCYPART_SIBL
(12,11),(12,15),0.0328905 # DEPENDENCYPART_SIBL
(12,11),(12,16),0.066725 # DEPENDENCYPART_SIBL
(12,11),(12,17),0.0882755 # DEPENDENCYPART_SIBL
(12,11),(12,20),0.0730948 # DEPENDENCYPART_SIBL
(12,11),(12,22),-0.00142014 # DEPENDENCYPART_SIBL
(12,13),(12,14),0.0210837 # DEPENDENCYPART_SIBL
(12,13),(12,15),0.0227327 # DEPENDENCYPART_SIBL
(12,13),(12,16),0.0274983 # DEPENDENCYPART_SIBL
(12,13),(12,17),-0.0529517 # DEPENDENCYPART_SIBL
(12,13),(12,20),0.0454463 # DEPENDENCYPART_SIBL
(12,13),(12,22),-0.0514726 # DEPENDENCYPART_SIBL
(12,14),(12,15),-0.00175828 # DEPENDENCYPART_SIBL
(12,14),(12,16),-0.0426925 # DEPENDENCYPART_SIBL
(12,14),(12,17),0.00229262 # DEPENDENCYPART_SIBL
(12,14),(12,20),-0.0245723 # DEPENDENCYPART_SIBL
(12,14),(12,22),-0.0896083 # DEPENDENCYPART_SIBL
(12,15),(12,16),-0.0423307 # DEPENDENCYPART_SIBL
(12,15),(12,17),0.00265513 # DEPENDENCYPART_SIBL
(12,15),(12,20),-0.0242106 # DEPENDENCYPART_SIBL
(12,15),(12,22),-0.0892458 # DEPENDENCYPART_SIBL
(12,16),(12,17),0.0882236 # DEPENDENCYPART_SIBL
(12,16),(12,20),0.00255734 # DEPENDENCYPART_SIBL
(12,16),(12,22),-0.0667358 # DEPENDENCYPART_SIBL
(12,17),(12,20),0.050156 # DEPENDENCYPART_SIBL
(12,17),(12,22),-0.0456394 # DEPENDENCYPART_SIBL
(12,20),(12,22),-0.0613244 # DEPENDENCYPART_SIBL
(13,10),(13,11),0.045345 # DEPENDENCYPART_SIBL
(13,10),(13,12),0.0419001 # DEPENDENCYPART_SIBL
(13,10),(13,14),0.0594582 # DEPENDENCYPART_SIBL
(13,10),(13,15),0.0609751 # DEPENDENCYPART_SIBL
(13,10),(13,17),0.0493316 # DEPENDENCYPART_SIBL
(13,10),(13,21),0.0532707 # DEPENDENCYPART_SIBL
(13,11),(13,12),0.0479897 # DEPENDENCYPART_SIBL
(13,11),(13,14),0.0603199 # DEPENDENCYPART_SIBL
(13,11),(13,15),0.0618368 # DEPENDENCYPART_SIBL
(13,11),(13,17),0.049022 # DEPENDENCYPART_SIBL
(13,11),(13,21),0.0512766 # DEPENDENCYPART_SIBL
(13,12),(13,14),0.055067 # DEPENDENCYPART_SIBL
(13,12),(13,15),0.0565839 # DEPENDENCYPART_SIBL
(13,12),(13,17),0.049076 # DEPENDENCYPART_SIBL
(13,12),(13,21),0.0528562 # DEPENDENCYPART_SIBL
(13,14),(13,15),0.0527222 # DEPENDENCYPART_SIBL
(13,14),(13,17),0.0025522 # DEPENDENCYPART_SIBL
(13,14),(13,21),0.00409058 # DEPENDENCYPART_SIBL
(13,15),(13,17),0.00256378 # DEPENDENCYPART_SIBL
(13,15),(13,21),0.00410216 # DEPENDENCYPART_SIBL
(13,17),(13,21),-0.0751558 # DEPENDENCYPART_SIBL
(14,6),(14,8),-0.0127211 # DEPENDENCYPART_SIBL
(14,6),(14,9),0.069285 # DEPENDENCYPART_SIBL
(14,6),(14,10),0.0255897 # DEPENDENCYPART_SIBL
(14,6),(14,11),0.0332296 # DEPENDENCYPART_SIBL
(14,6),(14,12),0.0308671 # DEPENDENCYPART_SIBL
(14,6),(14,13),-0.0155109 # DEPENDENCYPART_SIBL
(14,6),(14,15),-0.00136835 # DEPENDENCYPART_SIBL
(14,6),(14,17),0.0625206 # DEPENDENCYPART_SIBL
(14,6),(14,21),0.0673138 # DEPENDENCYPART_SIBL
(14,8),(14,9),-0.0295565 # DEPENDENCYPART_SIBL
(14,8),(14,10),-0.116591 # DEPENDENCYPART_SIBL
(14,8),(14,11),-0.115698 # DEPENDENCYPART_SIBL
(14,8),(14,12),-0.109802 # DEPENDENCYPART_SIBL
(14,8),(14,13),-0.0549938 # DEPENDENCYPART_SIBL
(14,8),(14,15),-0.0564903 # DEPENDENCYPART_SIBL
(14,8),(14,17),-0.0148858 # DEPENDENCYPART_SIBL
(14,8),(14,21),0.0334705 # DEPENDENCYPART_SIBL
(14,9),(14,10),-0.108461 # DEPENDENCYPART_SIBL
(14,9),(14,11),-0.107567 # DEPENDENCYPART_SIBL
(14,9),(14,12),-0.104243 # DEPENDENCYPART_SIBL
