# _root_ ( ... ) paulinok azken asaltoa bota zuela uste_zuen , baina heriotzaren aurre-salara ailegatzea besterik ez zuen egin , azken asaltoek beti heriotzaren kaudrilateroan jotzen bait dute amaierako kanpanilla .
#goldHeads=0,1,0,9,6,7,9,7,11,9,0,13,14,18,14,15,18,11,18,21,25,25,24,25,18,27,25,29,25,29,
#predictedHeads=0,1,0,7,6,7,9,7,11,9,0,13,14,18,14,15,18,11,18,21,25,25,24,25,0,25,26,29,25,29,
(14,13),(14,23),-0.0201186 # DEPENDENCYPART_SIBL
(14,13),(14,24),-0.0201186 # DEPENDENCYPART_SIBL
(14,13),(14,25),-0.00786384 # DEPENDENCYPART_SIBL
(14,13),(14,26),0.010062 # DEPENDENCYPART_SIBL
(14,13),(14,27),-0.0211763 # DEPENDENCYPART_SIBL
(14,13),(14,28),-0.0201186 # DEPENDENCYPART_SIBL
(14,13),(14,29),-0.0201186 # DEPENDENCYPART_SIBL
(14,15),(14,16),-0.00656882 # DEPENDENCYPART_SIBL
(14,15),(14,17),-0.00405195 # DEPENDENCYPART_SIBL
(14,15),(14,18),-0.00197561 # DEPENDENCYPART_SIBL
(14,15),(14,19),-0.0504495 # DEPENDENCYPART_SIBL
(14,15),(14,21),-0.0129632 # DEPENDENCYPART_SIBL
(14,15),(14,22),0.0135814 # DEPENDENCYPART_SIBL
(14,15),(14,23),-0.0129632 # DEPENDENCYPART_SIBL
(14,15),(14,24),-0.0129632 # DEPENDENCYPART_SIBL
(14,15),(14,25),-0.0154148 # DEPENDENCYPART_SIBL
(14,15),(14,26),0.00416318 # DEPENDENCYPART_SIBL
(14,15),(14,27),-0.00671369 # DEPENDENCYPART_SIBL
(14,15),(14,28),-0.0129632 # DEPENDENCYPART_SIBL
(14,15),(14,29),-0.0129632 # DEPENDENCYPART_SIBL
(14,16),(14,17),0.0643997 # DEPENDENCYPART_SIBL
(14,16),(14,18),0.000236227 # DEPENDENCYPART_SIBL
(14,16),(14,19),-0.00297755 # DEPENDENCYPART_SIBL
(14,16),(14,21),-0.00485697 # DEPENDENCYPART_SIBL
(14,16),(14,22),0.05861 # DEPENDENCYPART_SIBL
(14,16),(14,23),-0.00485697 # DEPENDENCYPART_SIBL
(14,16),(14,24),-0.00485697 # DEPENDENCYPART_SIBL
(14,16),(14,25),-0.0102912 # DEPENDENCYPART_SIBL
(14,16),(14,26),0.0255685 # DEPENDENCYPART_SIBL
(14,16),(14,27),0.0654555 # DEPENDENCYPART_SIBL
(14,16),(14,28),-0.00485697 # DEPENDENCYPART_SIBL
(14,16),(14,29),-0.00485697 # DEPENDENCYPART_SIBL
(14,17),(14,18),0.0288091 # DEPENDENCYPART_SIBL
(14,17),(14,19),-0.0652437 # DEPENDENCYPART_SIBL
(14,17),(14,21),0.0321133 # DEPENDENCYPART_SIBL
(14,17),(14,22),0.0234428 # DEPENDENCYPART_SIBL
(14,17),(14,23),0.0321133 # DEPENDENCYPART_SIBL
(14,17),(14,24),0.0321133 # DEPENDENCYPART_SIBL
(14,17),(14,25),-0.00421039 # DEPENDENCYPART_SIBL
(14,17),(14,26),-0.00856782 # DEPENDENCYPART_SIBL
(14,17),(14,27),-0.150053 # DEPENDENCYPART_SIBL
(14,17),(14,28),0.0321133 # DEPENDENCYPART_SIBL
(14,17),(14,29),0.0321133 # DEPENDENCYPART_SIBL
(14,18),(14,19),-0.000660887 # DEPENDENCYPART_SIBL
(14,18),(14,21),0.0111012 # DEPENDENCYPART_SIBL
(14,18),(14,22),0.0287895 # DEPENDENCYPART_SIBL
(14,18),(14,23),0.0111012 # DEPENDENCYPART_SIBL
(14,18),(14,24),0.0111012 # DEPENDENCYPART_SIBL
(14,18),(14,25),0.0143455 # DEPENDENCYPART_SIBL
(14,18),(14,26),0.0542619 # DEPENDENCYPART_SIBL
(14,18),(14,27),0.214555 # DEPENDENCYPART_SIBL
(14,18),(14,28),0.0111012 # DEPENDENCYPART_SIBL
(14,18),(14,29),0.0111012 # DEPENDENCYPART_SIBL
(14,19),(14,21),-0.0970364 # DEPENDENCYPART_SIBL
(14,19),(14,22),-0.186101 # DEPENDENCYPART_SIBL
(14,19),(14,23),-0.0970364 # DEPENDENCYPART_SIBL
(14,19),(14,24),-0.0970364 # DEPENDENCYPART_SIBL
(14,19),(14,25),-0.0387824 # DEPENDENCYPART_SIBL
(14,19),(14,26),-0.024828 # DEPENDENCYPART_SIBL
(14,19),(14,27),-0.0973635 # DEPENDENCYPART_SIBL
(14,19),(14,28),-0.0970364 # DEPENDENCYPART_SIBL
(14,19),(14,29),-0.0970364 # DEPENDENCYPART_SIBL
(14,21),(14,22),-0.00403499 # DEPENDENCYPART_SIBL
(14,21),(14,23),-0.0147462 # DEPENDENCYPART_SIBL
(14,21),(14,24),-0.0147462 # DEPENDENCYPART_SIBL
(14,21),(14,25),-0.0156313 # DEPENDENCYPART_SIBL
(14,21),(14,26),-0.0216931 # DEPENDENCYPART_SIBL
(14,21),(14,27),-0.0391639 # DEPENDENCYPART_SIBL
(14,21),(14,28),-0.0147468 # DEPENDENCYPART_SIBL
(14,21),(14,29),-0.0147462 # DEPENDENCYPART_SIBL
(14,22),(14,23),0.0150256 # DEPENDENCYPART_SIBL
(14,22),(14,24),0.0150256 # DEPENDENCYPART_SIBL
(14,22),(14,25),-0.0137512 # DEPENDENCYPART_SIBL
(14,22),(14,26),-0.00778851 # DEPENDENCYPART_SIBL
(14,22),(14,27),-0.0508394 # DEPENDENCYPART_SIBL
(14,22),(14,28),0.0150256 # DEPENDENCYPART_SIBL
(14,22),(14,29),0.0150256 # DEPENDENCYPART_SIBL
(14,23),(14,24),-0.0147462 # DEPENDENCYPART_SIBL
(14,23),(14,25),-0.0156313 # DEPENDENCYPART_SIBL
(14,23),(14,26),-0.0216931 # DEPENDENCYPART_SIBL
(14,23),(14,27),-0.0391639 # DEPENDENCYPART_SIBL
(14,23),(14,28),-0.0147468 # DEPENDENCYPART_SIBL
(14,23),(14,29),-0.0147462 # DEPENDENCYPART_SIBL
(14,24),(14,25),-0.0156313 # DEPENDENCYPART_SIBL
(14,24),(14,26),-0.0216931 # DEPENDENCYPART_SIBL
(14,24),(14,27),-0.0391639 # DEPENDENCYPART_SIBL
(14,24),(14,28),-0.0147468 # DEPENDENCYPART_SIBL
(14,24),(14,29),-0.0147462 # DEPENDENCYPART_SIBL
(14,25),(14,26),-0.00967848 # DEPENDENCYPART_SIBL
(14,25),(14,27),0.00145982 # DEPENDENCYPART_SIBL
(14,25),(14,28),-0.045423 # DEPENDENCYPART_SIBL
(14,25),(14,29),-0.045423 # DEPENDENCYPART_SIBL
(14,26),(14,27),-0.0150927 # DEPENDENCYPART_SIBL
(14,26),(14,28),-0.00560127 # DEPENDENCYPART_SIBL
(14,26),(14,29),-0.00560127 # DEPENDENCYPART_SIBL
(14,27),(14,28),0.0529235 # DEPENDENCYPART_SIBL
(14,27),(14,29),0.0529235 # DEPENDENCYPART_SIBL
(14,28),(14,29),-0.0147462 # DEPENDENCYPART_SIBL
(15,13),(15,16),0.0265071 # DEPENDENCYPART_SIBL
(16,12),(16,13),0.00550751 # DEPENDENCYPART_SIBL
(16,12),(16,21),0.108121 # DEPENDENCYPART_SIBL
(16,12),(16,23),0.108121 # DEPENDENCYPART_SIBL
(16,13),(16,21),0.108121 # DEPENDENCYPART_SIBL
(16,13),(16,23),0.108121 # DEPENDENCYPART_SIBL
(16,21),(16,23),0.104422 # DEPENDENCYPART_SIBL
(17,4),(17,14),0.0850428 # DEPENDENCYPART_SIBL
(17,4),(17,16),0.0616868 # DEPENDENCYPART_SIBL
(17,4),(17,22),0.031259 # DEPENDENCYPART_SIBL
(17,14),(17,16),0.0310961 # DEPENDENCYPART_SIBL
(17,14),(17,22),-0.00310003 # DEPENDENCYPART_SIBL
(17,16),(17,22),0.0218605 # DEPENDENCYPART_SIBL
(18,4),(18,6),-0.00165024 # DEPENDENCYPART_SIBL
(18,4),(18,7),-0.0177611 # DEPENDENCYPART_SIBL
(18,4),(18,8),-0.00328022 # DEPENDENCYPART_SIBL
(18,4),(18,9),-0.0142593 # DEPENDENCYPART_SIBL
(18,4),(18,10),-0.0710463 # DEPENDENCYPART_SIBL
(18,4),(18,11),-0.0392968 # DEPENDENCYPART_SIBL
(18,4),(18,12),-0.00165024 # DEPENDENCYPART_SIBL
(18,4),(18,13),-0.00165024 # DEPENDENCYPART_SIBL
(18,4),(18,14),-0.0142592 # DEPENDENCYPART_SIBL
(18,4),(18,15),-0.0169738 # DEPENDENCYPART_SIBL
(18,4),(18,16),0.0168759 # DEPENDENCYPART_SIBL
(18,4),(18,17),0.00130743 # DEPENDENCYPART_SIBL
(18,4),(18,19),-0.00769586 # DEPENDENCYPART_SIBL
(18,4),(18,20),0.000153327 # DEPENDENCYPART_SIBL
(18,4),(18,21),0.0176668 # DEPENDENCYPART_SIBL
(18,4),(18,22),0.067159 # DEPENDENCYPART_SIBL
(18,4),(18,23),0.0176668 # DEPENDENCYPART_SIBL
(18,4),(18,24),0.0176668 # DEPENDENCYPART_SIBL
(18,4),(18,25),0.0382359 # DEPENDENCYPART_SIBL
(18,4),(18,26),0.0461002 # DEPENDENCYPART_SIBL
(18,4),(18,27),0.0234329 # DEPENDENCYPART_SIBL
(18,4),(18,28),0.0176668 # DEPENDENCYPART_SIBL
(18,4),(18,29),0.0176668 # DEPENDENCYPART_SIBL
(18,6),(18,7),-0.0177611 # DEPENDENCYPART_SIBL
(18,6),(18,8),-0.00328022 # DEPENDENCYPART_SIBL
(18,6),(18,9),-0.0142593 # DEPENDENCYPART_SIBL
(18,6),(18,10),-0.0710463 # DEPENDENCYPART_SIBL
(18,6),(18,11),-0.0392968 # DEPENDENCYPART_SIBL
(18,6),(18,12),-0.00165024 # DEPENDENCYPART_SIBL
(18,6),(18,13),-0.00165024 # DEPENDENCYPART_SIBL
(18,6),(18,14),-0.0142592 # DEPENDENCYPART_SIBL
(18,6),(18,15),-0.0169738 # DEPENDENCYPART_SIBL
(18,6),(18,16),0.0168759 # DEPENDENCYPART_SIBL
(18,6),(18,17),0.00130743 # DEPENDENCYPART_SIBL
(18,6),(18,19),-0.00769586 # DEPENDENCYPART_SIBL
(18,6),(18,20),0.000153327 # DEPENDENCYPART_SIBL
(18,6),(18,21),0.0176668 # DEPENDENCYPART_SIBL
(18,6),(18,22),0.067159 # DEPENDENCYPART_SIBL
(18,6),(18,23),0.0176668 # DEPENDENCYPART_SIBL
(18,6),(18,24),0.0176668 # DEPENDENCYPART_SIBL
(18,6),(18,25),0.0382359 # DEPENDENCYPART_SIBL
(18,6),(18,26),0.0461002 # DEPENDENCYPART_SIBL
(18,6),(18,27),0.0234329 # DEPENDENCYPART_SIBL
(18,6),(18,28),0.0176668 # DEPENDENCYPART_SIBL
(18,6),(18,29),0.0176668 # DEPENDENCYPART_SIBL
(18,7),(18,8),-0.00717621 # DEPENDENCYPART_SIBL
(18,7),(18,9),-0.0108812 # DEPENDENCYPART_SIBL
(18,7),(18,10),-0.0573276 # DEPENDENCYPART_SIBL
(18,7),(18,11),0.0043265 # DEPENDENCYPART_SIBL
(18,7),(18,12),0.0782245 # DEPENDENCYPART_SIBL
(18,7),(18,13),0.0782245 # DEPENDENCYPART_SIBL
(18,7),(18,14),-0.0108812 # DEPENDENCYPART_SIBL
(18,7),(18,15),0.0345088 # DEPENDENCYPART_SIBL
(18,7),(18,16),0.021295 # DEPENDENCYPART_SIBL
(18,7),(18,17),-0.0118995 # DEPENDENCYPART_SIBL
(18,7),(18,19),-0.0634114 # DEPENDENCYPART_SIBL
(18,7),(18,20),-0.0480126 # DEPENDENCYPART_SIBL
(18,7),(18,21),-0.00580492 # DEPENDENCYPART_SIBL
(18,7),(18,22),0.0421689 # DEPENDENCYPART_SIBL
(18,7),(18,23),-0.00580492 # DEPENDENCYPART_SIBL
(18,7),(18,24),-0.00580492 # DEPENDENCYPART_SIBL
(18,7),(18,25),-0.027694 # DEPENDENCYPART_SIBL
(18,7),(18,26),0.0510734 # DEPENDENCYPART_SIBL
(18,7),(18,27),0.0235053 # DEPENDENCYPART_SIBL
(18,7),(18,28),-0.00580492 # DEPENDENCYPART_SIBL
(18,7),(18,29),-0.00580492 # DEPENDENCYPART_SIBL
(18,8),(18,9),-0.0284679 # DEPENDENCYPART_SIBL
(18,8),(18,10),-0.0475615 # DEPENDENCYPART_SIBL
(18,8),(18,11),-0.0139515 # DEPENDENCYPART_SIBL
(18,8),(18,12),0.0150242 # DEPENDENCYPART_SIBL
(18,8),(18,13),0.0150242 # DEPENDENCYPART_SIBL
(18,8),(18,14),-0.0283961 # DEPENDENCYPART_SIBL
(18,8),(18,15),-0.0287968 # DEPENDENCYPART_SIBL
(18,8),(18,16),-0.0365148 # DEPENDENCYPART_SIBL
(18,8),(18,17),-0.029782 # DEPENDENCYPART_SIBL
(18,8),(18,19),-0.0110835 # DEPENDENCYPART_SIBL
(18,8),(18,20),-0.0397511 # DEPENDENCYPART_SIBL
(18,8),(18,21),-0.0353946 # DEPENDENCYPART_SIBL
(18,8),(18,22),-0.00435521 # DEPENDENCYPART_SIBL
(18,8),(18,23),-0.0353946 # DEPENDENCYPART_SIBL
(18,8),(18,24),-0.0353946 # DEPENDENCYPART_SIBL
(18,8),(18,25),0.0109508 # DEPENDENCYPART_SIBL
(18,8),(18,26),0.00324809 # DEPENDENCYPART_SIBL
(18,8),(18,27),-0.0689231 # DEPENDENCYPART_SIBL
(18,8),(18,28),-0.0353946 # DEPENDENCYPART_SIBL
(18,8),(18,29),-0.0353946 # DEPENDENCYPART_SIBL
(18,9),(18,10),-0.0617137 # DEPENDENCYPART_SIBL
(18,9),(18,11),-0.000120292 # DEPENDENCYPART_SIBL
(18,9),(18,12),0.0739103 # DEPENDENCYPART_SIBL
(18,9),(18,13),0.0739103 # DEPENDENCYPART_SIBL
(18,9),(18,14),-0.0239194 # DEPENDENCYPART_SIBL
(18,9),(18,15),0.0301031 # DEPENDENCYPART_SIBL
(18,9),(18,16),0.0167577 # DEPENDENCYPART_SIBL
(18,9),(18,17),-0.0163612 # DEPENDENCYPART_SIBL
(18,9),(18,19),-0.0783454 # DEPENDENCYPART_SIBL
(18,9),(18,20),-0.0519737 # DEPENDENCYPART_SIBL
(18,9),(18,21),-0.00624354 # DEPENDENCYPART_SIBL
(18,9),(18,22),0.0396806 # DEPENDENCYPART_SIBL
(18,9),(18,23),-0.00624354 # DEPENDENCYPART_SIBL
(18,9),(18,24),-0.00624354 # DEPENDENCYPART_SIBL
(18,9),(18,25),-0.0312924 # DEPENDENCYPART_SIBL
(18,9),(18,26),0.0471118 # DEPENDENCYPART_SIBL
(18,9),(18,27),0.011912 # DEPENDENCYPART_SIBL
(18,9),(18,28),-0.00624354 # DEPENDENCYPART_SIBL
(18,9),(18,29),-0.00624354 # DEPENDENCYPART_SIBL
(18,10),(18,11),-0.103882 # DEPENDENCYPART_SIBL
(18,10),(18,12),-0.14395 # DEPENDENCYPART_SIBL
(18,10),(18,13),-0.14395 # DEPENDENCYPART_SIBL
(18,10),(18,14),-0.115937 # DEPENDENCYPART_SIBL
(18,10),(18,15),-0.102682 # DEPENDENCYPART_SIBL
(18,10),(18,16),-0.0960737 # DEPENDENCYPART_SIBL
(18,10),(18,17),-0.0741009 # DEPENDENCYPART_SIBL
(18,10),(18,19),-0.042934 # DEPENDENCYPART_SIBL
(18,10),(18,20),-0.0160325 # DEPENDENCYPART_SIBL
(18,10),(18,21),-0.00689963 # DEPENDENCYPART_SIBL
(18,10),(18,22),0.0143803 # DEPENDENCYPART_SIBL
(18,10),(18,23),-0.00689963 # DEPENDENCYPART_SIBL
(18,10),(18,24),-0.00689963 # DEPENDENCYPART_SIBL
(18,10),(18,25),-0.013797 # DEPENDENCYPART_SIBL
(18,10),(18,26),0.00667139 # DEPENDENCYPART_SIBL
(18,10),(18,27),-0.00141317 # DEPENDENCYPART_SIBL
(18,10),(18,28),-0.00689963 # DEPENDENCYPART_SIBL
(18,10),(18,29),-0.00689963 # DEPENDENCYPART_SIBL
(18,11),(18,12),-0.0310787 # DEPENDENCYPART_SIBL
(18,11),(18,13),-0.0310787 # DEPENDENCYPART_SIBL
(18,11),(18,14),-0.0275408 # DEPENDENCYPART_SIBL
(18,11),(18,15),-0.043529 # DEPENDENCYPART_SIBL
(18,11),(18,16),-0.0540405 # DEPENDENCYPART_SIBL
(18,11),(18,17),-0.0457315 # DEPENDENCYPART_SIBL
(18,11),(18,19),-0.029425 # DEPENDENCYPART_SIBL
(18,11),(18,20),0.0299994 # DEPENDENCYPART_SIBL
(18,11),(18,21),0.0737504 # DEPENDENCYPART_SIBL
(18,11),(18,22),0.0362158 # DEPENDENCYPART_SIBL
(18,11),(18,23),0.0737504 # DEPENDENCYPART_SIBL
(18,11),(18,24),0.0737504 # DEPENDENCYPART_SIBL
(18,11),(18,25),0.0216954 # DEPENDENCYPART_SIBL
(18,11),(18,26),0.0818775 # DEPENDENCYPART_SIBL
(18,11),(18,27),0.100621 # DEPENDENCYPART_SIBL
(18,11),(18,28),0.0737504 # DEPENDENCYPART_SIBL
(18,11),(18,29),0.0737504 # DEPENDENCYPART_SIBL
(18,12),(18,13),-0.00165024 # DEPENDENCYPART_SIBL
(18,12),(18,14),-0.0142592 # DEPENDENCYPART_SIBL
(18,12),(18,15),-0.0169738 # DEPENDENCYPART_SIBL
(18,12),(18,16),0.0168759 # DEPENDENCYPART_SIBL
(18,12),(18,17),0.00130743 # DEPENDENCYPART_SIBL
(18,12),(18,19),-0.00769586 # DEPENDENCYPART_SIBL
(18,12),(18,20),0.000153327 # DEPENDENCYPART_SIBL
(18,12),(18,21),0.0176668 # DEPENDENCYPART_SIBL
(18,12),(18,22),0.067159 # DEPENDENCYPART_SIBL
(18,12),(18,23),0.0176668 # DEPENDENCYPART_SIBL
(18,12),(18,24),0.0176668 # DEPENDENCYPART_SIBL
(18,12),(18,25),0.0382359 # DEPENDENCYPART_SIBL
(18,12),(18,26),0.0461002 # DEPENDENCYPART_SIBL
(18,12),(18,27),0.0234329 # DEPENDENCYPART_SIBL
(18,12),(18,28),0.0176668 # DEPENDENCYPART_SIBL
(18,12),(18,29),0.0176668 # DEPENDENCYPART_SIBL
(18,13),(18,14),-0.0142592 # DEPENDENCYPART_SIBL
(18,13),(18,15),-0.0169738 # DEPENDENCYPART_SIBL
(18,13),(18,16),0.0168759 # DEPENDENCYPART_SIBL
(18,13),(18,17),0.00130743 # DEPENDENCYPART_SIBL
(18,13),(18,19),-0.00769586 # DEPENDENCYPART_SIBL
(18,13),(18,20),0.000153327 # DEPENDENCYPART_SIBL
(18,13),(18,21),0.0176668 # DEPENDENCYPART_SIBL
(18,13),(18,22),0.067159 # DEPENDENCYPART_SIBL
(18,13),(18,23),0.0176668 # DEPENDENCYPART_SIBL
(18,13),(18,24),0.0176668 # DEPENDENCYPART_SIBL
(18,13),(18,25),0.0382359 # DEPENDENCYPART_SIBL
(18,13),(18,26),0.0461002 # DEPENDENCYPART_SIBL
(18,13),(18,27),0.0234329 # DEPENDENCYPART_SIBL
(18,13),(18,28),0.0176668 # DEPENDENCYPART_SIBL
(18,13),(18,29),0.0176668 # DEPENDENCYPART_SIBL
(18,14),(18,15),0.0302464 # DEPENDENCYPART_SIBL
(18,14),(18,16),0.0170325 # DEPENDENCYPART_SIBL
(18,14),(18,17),-0.016162 # DEPENDENCYPART_SIBL
(18,14),(18,19),-0.077675 # DEPENDENCYPART_SIBL
(18,14),(18,20),-0.0516979 # DEPENDENCYPART_SIBL
(18,14),(18,21),-0.00590581 # DEPENDENCYPART_SIBL
(18,14),(18,22),0.0399559 # DEPENDENCYPART_SIBL
(18,14),(18,23),-0.00590581 # DEPENDENCYPART_SIBL
(18,14),(18,24),-0.00590581 # DEPENDENCYPART_SIBL
(18,14),(18,25),-0.0295106 # DEPENDENCYPART_SIBL
(18,14),(18,26),0.0473871 # DEPENDENCYPART_SIBL
(18,14),(18,27),0.0124632 # DEPENDENCYPART_SIBL
(18,14),(18,28),-0.00590581 # DEPENDENCYPART_SIBL
(18,14),(18,29),-0.00590581 # DEPENDENCYPART_SIBL
(18,15),(18,16),-0.0594494 # DEPENDENCYPART_SIBL
(18,15),(18,17),-0.0114115 # DEPENDENCYPART_SIBL
(18,15),(18,19),-0.0333845 # DEPENDENCYPART_SIBL
(18,15),(18,20),-0.0206791 # DEPENDENCYPART_SIBL
(18,15),(18,21),-0.0275756 # DEPENDENCYPART_SIBL
(18,15),(18,22),-0.00889703 # DEPENDENCYPART_SIBL
(18,15),(18,23),-0.0275756 # DEPENDENCYPART_SIBL
(18,15),(18,24),-0.0275756 # DEPENDENCYPART_SIBL
(18,15),(18,25),-0.0207295 # DEPENDENCYPART_SIBL
(18,15),(18,26),0.0656603 # DEPENDENCYPART_SIBL
(18,15),(18,27),-0.0074236 # DEPENDENCYPART_SIBL
(18,15),(18,28),-0.0275756 # DEPENDENCYPART_SIBL
(18,15),(18,29),-0.0275756 # DEPENDENCYPART_SIBL
(18,16),(18,17),0.286083 # DEPENDENCYPART_SIBL
(18,16),(18,19),-0.022814 # DEPENDENCYPART_SIBL
(18,16),(18,20),-0.0796143 # DEPENDENCYPART_SIBL
(18,16),(18,21),-0.0524021 # DEPENDENCYPART_SIBL
(18,16),(18,22),-0.0285707 # DEPENDENCYPART_SIBL
(18,16),(18,23),-0.0524021 # DEPENDENCYPART_SIBL
(18,16),(18,24),-0.0524021 # DEPENDENCYPART_SIBL
(18,16),(18,25),0.0118675 # DEPENDENCYPART_SIBL
(18,16),(18,26),0.00836906 # DEPENDENCYPART_SIBL
(18,16),(18,27),-0.264 # DEPENDENCYPART_SIBL
(18,16),(18,28),-0.0524021 # DEPENDENCYPART_SIBL
(18,16),(18,29),-0.0524021 # DEPENDENCYPART_SIBL
(18,17),(18,19),-0.00924341 # DEPENDENCYPART_SIBL
(18,17),(18,20),-0.0448508 # DEPENDENCYPART_SIBL
(18,17),(18,21),-0.0403433 # DEPENDENCYPART_SIBL
(18,17),(18,22),-0.0243707 # DEPENDENCYPART_SIBL
(18,17),(18,23),-0.0403433 # DEPENDENCYPART_SIBL
(18,17),(18,24),-0.0403433 # DEPENDENCYPART_SIBL
(18,17),(18,25),0.00938354 # DEPENDENCYPART_SIBL
(18,17),(18,26),-0.0030097 # DEPENDENCYPART_SIBL
(18,17),(18,27),-0.0839307 # DEPENDENCYPART_SIBL
(18,17),(18,28),-0.0403433 # DEPENDENCYPART_SIBL
(18,17),(18,29),-0.0403433 # DEPENDENCYPART_SIBL
(18,19),(18,20),-0.0857787 # DEPENDENCYPART_SIBL
(18,19),(18,21),-0.0717642 # DEPENDENCYPART_SIBL
(18,19),(18,22),-0.190123 # DEPENDENCYPART_SIBL
(18,19),(18,23),-0.0717642 # DEPENDENCYPART_SIBL
(18,19),(18,24),-0.0717642 # DEPENDENCYPART_SIBL
(18,19),(18,25),-0.0402625 # DEPENDENCYPART_SIBL
(18,19),(18,26),-0.0251689 # DEPENDENCYPART_SIBL
(18,19),(18,27),-0.0900073 # DEPENDENCYPART_SIBL
(18,19),(18,28),-0.0717642 # DEPENDENCYPART_SIBL
(18,19),(18,29),-0.0717642 # DEPENDENCYPART_SIBL
(18,20),(18,21),-0.000315811 # DEPENDENCYPART_SIBL
(18,20),(18,22),0.00127424 # DEPENDENCYPART_SIBL
(18,20),(18,23),-0.000315811 # DEPENDENCYPART_SIBL
(18,20),(18,24),-0.000315811 # DEPENDENCYPART_SIBL
(18,20),(18,25),-0.0286893 # DEPENDENCYPART_SIBL
(18,20),(18,26),-0.00386289 # DEPENDENCYPART_SIBL
(18,20),(18,27),-0.0154954 # DEPENDENCYPART_SIBL
(18,20),(18,28),-0.000315811 # DEPENDENCYPART_SIBL
(18,20),(18,29),-0.000315811 # DEPENDENCYPART_SIBL
(18,21),(18,22),0.00717227 # DEPENDENCYPART_SIBL
(18,21),(18,23),0.0306702 # DEPENDENCYPART_SIBL
(18,21),(18,24),0.0306702 # DEPENDENCYPART_SIBL
(18,21),(18,25),0.00138989 # DEPENDENCYPART_SIBL
(18,21),(18,26),-0.00752657 # DEPENDENCYPART_SIBL
(18,21),(18,27),-0.0175569 # DEPENDENCYPART_SIBL
(18,21),(18,28),0.0306696 # DEPENDENCYPART_SIBL
(18,21),(18,29),0.0306702 # DEPENDENCYPART_SIBL
(18,22),(18,23),0.0410832 # DEPENDENCYPART_SIBL
(18,22),(18,24),0.0410832 # DEPENDENCYPART_SIBL
(18,22),(18,25),-0.0141196 # DEPENDENCYPART_SIBL
(18,22),(18,26),-0.00877835 # DEPENDENCYPART_SIBL
(18,22),(18,27),-0.0441346 # DEPENDENCYPART_SIBL
(18,22),(18,28),0.0410832 # DEPENDENCYPART_SIBL
(18,22),(18,29),0.0410832 # DEPENDENCYPART_SIBL
(18,23),(18,24),0.0306702 # DEPENDENCYPART_SIBL
(18,23),(18,25),0.00138989 # DEPENDENCYPART_SIBL
(18,23),(18,26),-0.00752657 # DEPENDENCYPART_SIBL
(18,23),(18,27),-0.0175569 # DEPENDENCYPART_SIBL
(18,23),(18,28),0.0306696 # DEPENDENCYPART_SIBL
(18,23),(18,29),0.0306702 # DEPENDENCYPART_SIBL
(18,24),(18,25),0.00138989 # DEPENDENCYPART_SIBL
(18,24),(18,26),-0.00752657 # DEPENDENCYPART_SIBL
(18,24),(18,27),-0.0175569 # DEPENDENCYPART_SIBL
(18,24),(18,28),0.0306696 # DEPENDENCYPART_SIBL
(18,24),(18,29),0.0306702 # DEPENDENCYPART_SIBL
(18,25),(18,26),-0.00458563 # DEPENDENCYPART_SIBL
(18,25),(18,27),0.0190065 # DEPENDENCYPART_SIBL
(18,25),(18,28),-0.0154339 # DEPENDENCYPART_SIBL
(18,25),(18,29),-0.0154339 # DEPENDENCYPART_SIBL
(18,26),(18,27),-0.0073956 # DEPENDENCYPART_SIBL
(18,26),(18,28),0.0200122 # DEPENDENCYPART_SIBL
(18,26),(18,29),0.0200122 # DEPENDENCYPART_SIBL
(18,27),(18,28),0.140659 # DEPENDENCYPART_SIBL
(18,27),(18,29),0.140659 # DEPENDENCYPART_SIBL
(18,28),(18,29),0.0306701 # DEPENDENCYPART_SIBL
(19,14),(19,17),-0.0354746 # DEPENDENCYPART_SIBL
(19,14),(19,18),-0.00927517 # DEPENDENCYPART_SIBL
(19,17),(19,18),-0.00707037 # DEPENDENCYPART_SIBL
(20,18),(20,19),-0.0145023 # DEPENDENCYPART_SIBL
(21,11),(21,12),-0.0504075 # DEPENDENCYPART_SIBL
(21,11),(21,14),-0.0831811 # DEPENDENCYPART_SIBL
(21,11),(21,18),-0.0781461 # DEPENDENCYPART_SIBL
(21,11),(21,19),-0.0373503 # DEPENDENCYPART_SIBL
(21,11),(21,20),-0.0112799 # DEPENDENCYPART_SIBL
(21,11),(21,22),-0.0373144 # DEPENDENCYPART_SIBL
(21,11),(21,23),-0.00504978 # DEPENDENCYPART_SIBL
(21,11),(21,24),-0.00504978 # DEPENDENCYPART_SIBL
(21,11),(21,30),-0.0670598 # DEPENDENCYPART_SIBL
(21,12),(21,14),-0.0131457 # DEPENDENCYPART_SIBL
(21,12),(21,18),-0.0363436 # DEPENDENCYPART_SIBL
(21,12),(21,19),-0.0259473 # DEPENDENCYPART_SIBL
(21,12),(21,20),0.0651473 # DEPENDENCYPART_SIBL
(21,12),(21,22),-0.0307259 # DEPENDENCYPART_SIBL
(21,12),(21,23),-0.00621019 # DEPENDENCYPART_SIBL
(21,12),(21,24),-0.00621019 # DEPENDENCYPART_SIBL
(21,12),(21,30),-0.0274133 # DEPENDENCYPART_SIBL
(21,14),(21,18),-0.0374595 # DEPENDENCYPART_SIBL
(21,14),(21,19),-0.012718 # DEPENDENCYPART_SIBL
