# _root_ madrilek aurtengo finantzaketa osatzeko borondatea agertu arren , arazo sakonak konpondu gabe daudela uste_du : diru hori nondik etorriko den , zenbat izango den eta hobetuzen menpekotasuna forcem-ekiko .
#goldHeads=6,3,4,5,6,14,6,7,13,9,13,11,14,0,14,19,16,19,25,19,20,23,25,23,9,27,25,27,28,
#predictedHeads=6,3,4,5,6,14,6,7,11,9,14,13,14,0,14,19,16,19,14,19,20,23,25,23,0,27,25,27,28,
(13,7),(13,10),-0.0445649 # DEPENDENCYPART_SIBL
(13,7),(13,11),0.00987635 # DEPENDENCYPART_SIBL
(13,7),(13,12),0.008234 # DEPENDENCYPART_SIBL
(13,7),(13,14),-0.034191 # DEPENDENCYPART_SIBL
(13,7),(13,16),0.0105578 # DEPENDENCYPART_SIBL
(13,7),(13,19),-0.0336011 # DEPENDENCYPART_SIBL
(13,7),(13,20),0.00459988 # DEPENDENCYPART_SIBL
(13,7),(13,23),-0.0419252 # DEPENDENCYPART_SIBL
(13,7),(13,24),0.00459988 # DEPENDENCYPART_SIBL
(13,7),(13,25),0.0114329 # DEPENDENCYPART_SIBL
(13,7),(13,27),0.0132976 # DEPENDENCYPART_SIBL
(13,8),(13,9),-0.10412 # DEPENDENCYPART_SIBL
(13,8),(13,10),-0.0753005 # DEPENDENCYPART_SIBL
(13,8),(13,11),-0.0484302 # DEPENDENCYPART_SIBL
(13,8),(13,12),-0.0493685 # DEPENDENCYPART_SIBL
(13,8),(13,14),-0.0352071 # DEPENDENCYPART_SIBL
(13,8),(13,16),-0.0505532 # DEPENDENCYPART_SIBL
(13,8),(13,19),-0.0346249 # DEPENDENCYPART_SIBL
(13,8),(13,20),-0.00358428 # DEPENDENCYPART_SIBL
(13,8),(13,23),-0.0390263 # DEPENDENCYPART_SIBL
(13,8),(13,24),-0.00358428 # DEPENDENCYPART_SIBL
(13,8),(13,25),-0.0518001 # DEPENDENCYPART_SIBL
(13,8),(13,27),-0.0481107 # DEPENDENCYPART_SIBL
(13,9),(13,10),-0.0679895 # DEPENDENCYPART_SIBL
(13,9),(13,11),-0.0115018 # DEPENDENCYPART_SIBL
(13,9),(13,12),-0.085271 # DEPENDENCYPART_SIBL
(13,9),(13,14),-0.0102264 # DEPENDENCYPART_SIBL
(13,9),(13,16),-0.00117664 # DEPENDENCYPART_SIBL
(13,9),(13,19),-0.00943909 # DEPENDENCYPART_SIBL
(13,9),(13,20),0.00756835 # DEPENDENCYPART_SIBL
(13,9),(13,23),-0.0308948 # DEPENDENCYPART_SIBL
(13,9),(13,24),0.00756835 # DEPENDENCYPART_SIBL
(13,9),(13,25),-0.00901116 # DEPENDENCYPART_SIBL
(13,9),(13,27),0.00427271 # DEPENDENCYPART_SIBL
(13,10),(13,11),-0.00306923 # DEPENDENCYPART_SIBL
(13,10),(13,12),-0.0010539 # DEPENDENCYPART_SIBL
(13,10),(13,14),-0.00534128 # DEPENDENCYPART_SIBL
(13,10),(13,16),-0.0261111 # DEPENDENCYPART_SIBL
(13,10),(13,19),-0.00355415 # DEPENDENCYPART_SIBL
(13,10),(13,20),-0.0217687 # DEPENDENCYPART_SIBL
(13,10),(13,23),-0.0120651 # DEPENDENCYPART_SIBL
(13,10),(13,24),-0.0217687 # DEPENDENCYPART_SIBL
(13,10),(13,25),-0.0238571 # DEPENDENCYPART_SIBL
(13,10),(13,27),-0.0236873 # DEPENDENCYPART_SIBL
(13,11),(13,12),-0.00139576 # DEPENDENCYPART_SIBL
(13,11),(13,14),-0.00522619 # DEPENDENCYPART_SIBL
(13,11),(13,16),0.00704546 # DEPENDENCYPART_SIBL
(13,11),(13,19),-0.00187332 # DEPENDENCYPART_SIBL
(13,11),(13,20),-0.00798469 # DEPENDENCYPART_SIBL
(13,11),(13,23),0.00717632 # DEPENDENCYPART_SIBL
(13,11),(13,24),-0.00798469 # DEPENDENCYPART_SIBL
(13,11),(13,25),0.0106123 # DEPENDENCYPART_SIBL
(13,11),(13,27),0.0118945 # DEPENDENCYPART_SIBL
(13,12),(13,14),0.0161316 # DEPENDENCYPART_SIBL
(13,12),(13,16),-0.00053672 # DEPENDENCYPART_SIBL
(13,12),(13,19),0.0167183 # DEPENDENCYPART_SIBL
(13,12),(13,20),-0.0276669 # DEPENDENCYPART_SIBL
(13,12),(13,23),0.0178981 # DEPENDENCYPART_SIBL
(13,12),(13,24),-0.0276669 # DEPENDENCYPART_SIBL
(13,12),(13,25),0.00753977 # DEPENDENCYPART_SIBL
(13,12),(13,27),0.00264673 # DEPENDENCYPART_SIBL
(13,14),(13,16),0.00271796 # DEPENDENCYPART_SIBL
(13,14),(13,19),0.00180694 # DEPENDENCYPART_SIBL
(13,14),(13,20),0.0159229 # DEPENDENCYPART_SIBL
(13,14),(13,23),-0.000577448 # DEPENDENCYPART_SIBL
(13,14),(13,24),0.0159229 # DEPENDENCYPART_SIBL
(13,14),(13,25),-0.0321959 # DEPENDENCYPART_SIBL
(13,14),(13,27),0.00272531 # DEPENDENCYPART_SIBL
(13,16),(13,19),-0.00589737 # DEPENDENCYPART_SIBL
(13,16),(13,20),-0.00909304 # DEPENDENCYPART_SIBL
(13,16),(13,23),-0.00493616 # DEPENDENCYPART_SIBL
(13,16),(13,24),-0.00909304 # DEPENDENCYPART_SIBL
(13,16),(13,25),-0.0239309 # DEPENDENCYPART_SIBL
(13,16),(13,27),-0.00810521 # DEPENDENCYPART_SIBL
(13,19),(13,20),0.0164442 # DEPENDENCYPART_SIBL
(13,19),(13,23),-0.00163301 # DEPENDENCYPART_SIBL
(13,19),(13,24),0.0164442 # DEPENDENCYPART_SIBL
(13,19),(13,25),-0.0319151 # DEPENDENCYPART_SIBL
(13,19),(13,27),0.00369099 # DEPENDENCYPART_SIBL
(13,20),(13,23),-0.0189461 # DEPENDENCYPART_SIBL
(13,20),(13,24),-0.0926435 # DEPENDENCYPART_SIBL
(13,20),(13,25),-0.0257835 # DEPENDENCYPART_SIBL
(13,20),(13,27),-0.0236046 # DEPENDENCYPART_SIBL
(13,23),(13,24),0.0329779 # DEPENDENCYPART_SIBL
(13,23),(13,25),-0.0325181 # DEPENDENCYPART_SIBL
(13,23),(13,27),-0.00172739 # DEPENDENCYPART_SIBL
(13,24),(13,25),-0.0257835 # DEPENDENCYPART_SIBL
(13,24),(13,27),-0.0236046 # DEPENDENCYPART_SIBL
(13,25),(13,27),-0.0196086 # DEPENDENCYPART_SIBL
(14,3),(14,4),-0.0189891 # DEPENDENCYPART_SIBL
(14,3),(14,5),-0.0561811 # DEPENDENCYPART_SIBL
(14,3),(14,6),-0.0219092 # DEPENDENCYPART_SIBL
(14,3),(14,9),-0.0233904 # DEPENDENCYPART_SIBL
(14,3),(14,10),-0.0248385 # DEPENDENCYPART_SIBL
(14,3),(14,11),-0.0274744 # DEPENDENCYPART_SIBL
(14,3),(14,12),-0.185531 # DEPENDENCYPART_SIBL
(14,3),(14,13),-0.0208239 # DEPENDENCYPART_SIBL
(14,3),(14,15),-0.011184 # DEPENDENCYPART_SIBL
(14,3),(14,16),-0.0472449 # DEPENDENCYPART_SIBL
(14,3),(14,17),-0.0769636 # DEPENDENCYPART_SIBL
(14,3),(14,19),-0.0192641 # DEPENDENCYPART_SIBL
(14,3),(14,20),0.00205325 # DEPENDENCYPART_SIBL
(14,3),(14,23),-0.0207523 # DEPENDENCYPART_SIBL
(14,3),(14,24),0.00205325 # DEPENDENCYPART_SIBL
(14,3),(14,25),-0.0333786 # DEPENDENCYPART_SIBL
(14,3),(14,27),-0.0432358 # DEPENDENCYPART_SIBL
(14,4),(14,5),-0.0226356 # DEPENDENCYPART_SIBL
(14,4),(14,6),-0.0427066 # DEPENDENCYPART_SIBL
(14,4),(14,9),-0.0015136 # DEPENDENCYPART_SIBL
(14,4),(14,10),-0.00403764 # DEPENDENCYPART_SIBL
(14,4),(14,11),-0.044001 # DEPENDENCYPART_SIBL
(14,4),(14,12),-0.110743 # DEPENDENCYPART_SIBL
(14,4),(14,13),-0.0285466 # DEPENDENCYPART_SIBL
(14,4),(14,15),0.0270166 # DEPENDENCYPART_SIBL
(14,4),(14,16),0.0152211 # DEPENDENCYPART_SIBL
(14,4),(14,17),-0.0144997 # DEPENDENCYPART_SIBL
(14,4),(14,19),0.00398097 # DEPENDENCYPART_SIBL
(14,4),(14,20),0.0173714 # DEPENDENCYPART_SIBL
(14,4),(14,23),0.034898 # DEPENDENCYPART_SIBL
(14,4),(14,24),0.0173714 # DEPENDENCYPART_SIBL
(14,4),(14,25),0.0116707 # DEPENDENCYPART_SIBL
(14,4),(14,27),0.0184859 # DEPENDENCYPART_SIBL
(14,5),(14,6),-0.0222697 # DEPENDENCYPART_SIBL
(14,5),(14,9),-0.0298268 # DEPENDENCYPART_SIBL
(14,5),(14,10),-0.0288584 # DEPENDENCYPART_SIBL
(14,5),(14,11),-0.027835 # DEPENDENCYPART_SIBL
(14,5),(14,12),-0.188511 # DEPENDENCYPART_SIBL
(14,5),(14,13),-0.0238038 # DEPENDENCYPART_SIBL
(14,5),(14,15),-0.0166776 # DEPENDENCYPART_SIBL
(14,5),(14,16),-0.0566007 # DEPENDENCYPART_SIBL
(14,5),(14,17),-0.0866754 # DEPENDENCYPART_SIBL
(14,5),(14,19),-0.0312443 # DEPENDENCYPART_SIBL
(14,5),(14,20),-0.0255543 # DEPENDENCYPART_SIBL
(14,5),(14,23),-0.0327326 # DEPENDENCYPART_SIBL
(14,5),(14,24),-0.0255543 # DEPENDENCYPART_SIBL
(14,5),(14,25),-0.0430923 # DEPENDENCYPART_SIBL
(14,5),(14,27),-0.0525916 # DEPENDENCYPART_SIBL
(14,6),(14,9),-0.00562937 # DEPENDENCYPART_SIBL
(14,6),(14,10),-0.00555492 # DEPENDENCYPART_SIBL
(14,6),(14,11),-0.0368512 # DEPENDENCYPART_SIBL
(14,6),(14,12),-0.10711 # DEPENDENCYPART_SIBL
(14,6),(14,13),-0.0300595 # DEPENDENCYPART_SIBL
(14,6),(14,15),0.0266522 # DEPENDENCYPART_SIBL
(14,6),(14,16),0.0173573 # DEPENDENCYPART_SIBL
(14,6),(14,17),-0.0116321 # DEPENDENCYPART_SIBL
(14,6),(14,19),0.0167505 # DEPENDENCYPART_SIBL
(14,6),(14,20),0.0276861 # DEPENDENCYPART_SIBL
(14,6),(14,23),0.0476676 # DEPENDENCYPART_SIBL
(14,6),(14,24),0.0276861 # DEPENDENCYPART_SIBL
(14,6),(14,25),0.0133357 # DEPENDENCYPART_SIBL
(14,6),(14,27),0.0206221 # DEPENDENCYPART_SIBL
(14,9),(14,10),-0.0282136 # DEPENDENCYPART_SIBL
(14,9),(14,11),-0.0302787 # DEPENDENCYPART_SIBL
(14,9),(14,12),-0.183817 # DEPENDENCYPART_SIBL
(14,9),(14,13),-0.0226251 # DEPENDENCYPART_SIBL
(14,9),(14,15),-0.00486412 # DEPENDENCYPART_SIBL
(14,9),(14,16),-0.0242849 # DEPENDENCYPART_SIBL
(14,9),(14,17),-0.0636153 # DEPENDENCYPART_SIBL
(14,9),(14,19),-0.0110938 # DEPENDENCYPART_SIBL
(14,9),(14,20),0.0166558 # DEPENDENCYPART_SIBL
(14,9),(14,23),-0.012582 # DEPENDENCYPART_SIBL
(14,9),(14,24),0.0166558 # DEPENDENCYPART_SIBL
(14,9),(14,25),-0.024884 # DEPENDENCYPART_SIBL
(14,9),(14,27),-0.0202758 # DEPENDENCYPART_SIBL
(14,10),(14,11),-0.00975993 # DEPENDENCYPART_SIBL
(14,10),(14,12),-0.0938096 # DEPENDENCYPART_SIBL
(14,10),(14,13),-0.0118383 # DEPENDENCYPART_SIBL
(14,10),(14,15),0.0251863 # DEPENDENCYPART_SIBL
(14,10),(14,16),-0.0223603 # DEPENDENCYPART_SIBL
(14,10),(14,17),0.000563213 # DEPENDENCYPART_SIBL
(14,10),(14,19),-0.00593567 # DEPENDENCYPART_SIBL
(14,10),(14,20),-0.0107899 # DEPENDENCYPART_SIBL
(14,10),(14,23),0.00450872 # DEPENDENCYPART_SIBL
(14,10),(14,24),-0.0107899 # DEPENDENCYPART_SIBL
(14,10),(14,25),-0.00609304 # DEPENDENCYPART_SIBL
(14,10),(14,27),-0.0205717 # DEPENDENCYPART_SIBL
(14,11),(14,12),-0.111366 # DEPENDENCYPART_SIBL
(14,11),(14,13),-0.0307652 # DEPENDENCYPART_SIBL
(14,11),(14,15),0.0167437 # DEPENDENCYPART_SIBL
(14,11),(14,16),0.0137374 # DEPENDENCYPART_SIBL
(14,11),(14,17),-0.013176 # DEPENDENCYPART_SIBL
(14,11),(14,19),0.00437078 # DEPENDENCYPART_SIBL
(14,11),(14,20),0.0140338 # DEPENDENCYPART_SIBL
(14,11),(14,23),0.0352878 # DEPENDENCYPART_SIBL
(14,11),(14,24),0.0140338 # DEPENDENCYPART_SIBL
(14,11),(14,25),0.00993798 # DEPENDENCYPART_SIBL
(14,11),(14,27),0.0170021 # DEPENDENCYPART_SIBL
(14,12),(14,13),-0.0141106 # DEPENDENCYPART_SIBL
(14,12),(14,15),-0.0448193 # DEPENDENCYPART_SIBL
(14,12),(14,16),-0.105622 # DEPENDENCYPART_SIBL
(14,12),(14,17),-0.0849298 # DEPENDENCYPART_SIBL
(14,12),(14,19),-0.0761341 # DEPENDENCYPART_SIBL
(14,12),(14,20),-0.138511 # DEPENDENCYPART_SIBL
(14,12),(14,23),-0.0482011 # DEPENDENCYPART_SIBL
(14,12),(14,24),-0.138511 # DEPENDENCYPART_SIBL
(14,12),(14,25),-0.0978026 # DEPENDENCYPART_SIBL
(14,12),(14,27),-0.103392 # DEPENDENCYPART_SIBL
(14,13),(14,15),0.0500402 # DEPENDENCYPART_SIBL
(14,13),(14,16),-0.00301284 # DEPENDENCYPART_SIBL
(14,13),(14,17),-0.0190749 # DEPENDENCYPART_SIBL
(14,13),(14,19),0.00504263 # DEPENDENCYPART_SIBL
(14,13),(14,20),0.00212419 # DEPENDENCYPART_SIBL
(14,13),(14,23),0.0183822 # DEPENDENCYPART_SIBL
(14,13),(14,24),0.00212419 # DEPENDENCYPART_SIBL
(14,13),(14,25),-0.0234263 # DEPENDENCYPART_SIBL
(14,13),(14,27),-0.000346937 # DEPENDENCYPART_SIBL
(14,15),(14,16),-0.0903095 # DEPENDENCYPART_SIBL
(14,15),(14,17),-0.0563462 # DEPENDENCYPART_SIBL
(14,15),(14,19),0.0289305 # DEPENDENCYPART_SIBL
(14,15),(14,20),-0.0098559 # DEPENDENCYPART_SIBL
(14,15),(14,23),0.022094 # DEPENDENCYPART_SIBL
(14,15),(14,24),-0.0098559 # DEPENDENCYPART_SIBL
(14,15),(14,25),-0.0373503 # DEPENDENCYPART_SIBL
(14,15),(14,27),-0.0898186 # DEPENDENCYPART_SIBL
(14,16),(14,17),-0.00402942 # DEPENDENCYPART_SIBL
(14,16),(14,19),-0.0267791 # DEPENDENCYPART_SIBL
(14,16),(14,20),-0.0107836 # DEPENDENCYPART_SIBL
(14,16),(14,23),-0.0235403 # DEPENDENCYPART_SIBL
(14,16),(14,24),-0.0107836 # DEPENDENCYPART_SIBL
(14,16),(14,25),-0.0166953 # DEPENDENCYPART_SIBL
(14,16),(14,27),-0.021775 # DEPENDENCYPART_SIBL
(14,17),(14,19),-0.0230889 # DEPENDENCYPART_SIBL
(14,17),(14,20),0.0059579 # DEPENDENCYPART_SIBL
(14,17),(14,23),-0.0266628 # DEPENDENCYPART_SIBL
(14,17),(14,24),0.0059579 # DEPENDENCYPART_SIBL
(14,17),(14,25),0.015594 # DEPENDENCYPART_SIBL
(14,17),(14,27),-0.0194208 # DEPENDENCYPART_SIBL
(14,19),(14,20),0.0293498 # DEPENDENCYPART_SIBL
(14,19),(14,23),-0.0290762 # DEPENDENCYPART_SIBL
(14,19),(14,24),0.0293498 # DEPENDENCYPART_SIBL
(14,19),(14,25),-0.0402209 # DEPENDENCYPART_SIBL
(14,19),(14,27),-0.048618 # DEPENDENCYPART_SIBL
(14,20),(14,23),-0.0702522 # DEPENDENCYPART_SIBL
(14,20),(14,24),-0.179055 # DEPENDENCYPART_SIBL
(14,20),(14,25),-0.0579906 # DEPENDENCYPART_SIBL
(14,20),(14,27),-0.064439 # DEPENDENCYPART_SIBL
(14,23),(14,24),0.0411353 # DEPENDENCYPART_SIBL
(14,23),(14,25),-0.0438714 # DEPENDENCYPART_SIBL
(14,23),(14,27),-0.0570285 # DEPENDENCYPART_SIBL
(14,24),(14,25),-0.0579906 # DEPENDENCYPART_SIBL
(14,24),(14,27),-0.064439 # DEPENDENCYPART_SIBL
(14,25),(14,27),-0.00119938 # DEPENDENCYPART_SIBL
(15,19),(15,26),0.0190661 # DEPENDENCYPART_SIBL
(15,19),(15,28),0.0190661 # DEPENDENCYPART_SIBL
(15,26),(15,28),0.0896261 # DEPENDENCYPART_SIBL
(16,2),(16,7),0.0176404 # DEPENDENCYPART_SIBL
(16,2),(16,13),0.0305887 # DEPENDENCYPART_SIBL
(16,2),(16,14),-0.0507153 # DEPENDENCYPART_SIBL
(16,2),(16,17),0.0382133 # DEPENDENCYPART_SIBL
(16,2),(16,20),-0.0288005 # DEPENDENCYPART_SIBL
(16,7),(16,13),-0.0147005 # DEPENDENCYPART_SIBL
(16,7),(16,14),-0.0769413 # DEPENDENCYPART_SIBL
(16,7),(16,17),0.0644316 # DEPENDENCYPART_SIBL
(16,7),(16,20),0.0244918 # DEPENDENCYPART_SIBL
(16,13),(16,14),-0.0452718 # DEPENDENCYPART_SIBL
(16,13),(16,17),0.0338011 # DEPENDENCYPART_SIBL
(16,13),(16,20),0.0179367 # DEPENDENCYPART_SIBL
(16,14),(16,17),0.0760979 # DEPENDENCYPART_SIBL
(16,14),(16,20),0.0358752 # DEPENDENCYPART_SIBL
(16,17),(16,20),-0.0482771 # DEPENDENCYPART_SIBL
(17,19),(17,23),-0.0183191 # DEPENDENCYPART_SIBL
(17,19),(17,27),0.0167464 # DEPENDENCYPART_SIBL
(17,23),(17,27),0.0114517 # DEPENDENCYPART_SIBL
(19,1),(19,3),-0.00393108 # DEPENDENCYPART_SIBL
(19,1),(19,4),0.0181205 # DEPENDENCYPART_SIBL
(19,1),(19,5),-0.0220251 # DEPENDENCYPART_SIBL
(19,1),(19,6),0.0152005 # DEPENDENCYPART_SIBL
(19,1),(19,8),-0.0625626 # DEPENDENCYPART_SIBL
(19,1),(19,9),0.0107657 # DEPENDENCYPART_SIBL
(19,1),(19,10),0.00344452 # DEPENDENCYPART_SIBL
(19,1),(19,11),0.00963523 # DEPENDENCYPART_SIBL
(19,1),(19,12),-0.162204 # DEPENDENCYPART_SIBL
(19,1),(19,13),-0.00378398 # DEPENDENCYPART_SIBL
(19,1),(19,14),0.00806148 # DEPENDENCYPART_SIBL
(19,1),(19,16),0.0279992 # DEPENDENCYPART_SIBL
(19,1),(19,17),-0.0177855 # DEPENDENCYPART_SIBL
(19,1),(19,18),-0.000891302 # DEPENDENCYPART_SIBL
(19,1),(19,20),0.0552025 # DEPENDENCYPART_SIBL
(19,1),(19,21),0.0115231 # DEPENDENCYPART_SIBL
(19,1),(19,23),-0.00278811 # DEPENDENCYPART_SIBL
(19,1),(19,24),0.0552025 # DEPENDENCYPART_SIBL
(19,1),(19,25),-0.0116286 # DEPENDENCYPART_SIBL
(19,1),(19,27),-0.00962555 # DEPENDENCYPART_SIBL
(19,1),(19,28),-0.00962555 # DEPENDENCYPART_SIBL
(19,3),(19,4),0.0157943 # DEPENDENCYPART_SIBL
(19,3),(19,5),-0.0252342 # DEPENDENCYPART_SIBL
(19,3),(19,6),0.0128742 # DEPENDENCYPART_SIBL
(19,3),(19,8),-0.0648237 # DEPENDENCYPART_SIBL
(19,3),(19,9),0.00755652 # DEPENDENCYPART_SIBL
(19,3),(19,10),0.00118339 # DEPENDENCYPART_SIBL
(19,3),(19,11),0.00730895 # DEPENDENCYPART_SIBL
(19,3),(19,12),-0.16804 # DEPENDENCYPART_SIBL
(19,3),(19,13),-0.00604511 # DEPENDENCYPART_SIBL
(19,3),(19,14),0.0057352 # DEPENDENCYPART_SIBL
(19,3),(19,16),0.0247901 # DEPENDENCYPART_SIBL
(19,3),(19,17),-0.0200467 # DEPENDENCYPART_SIBL
(19,3),(19,18),-0.00672669 # DEPENDENCYPART_SIBL
(19,3),(19,20),0.0532799 # DEPENDENCYPART_SIBL
(19,3),(19,21),0.00913207 # DEPENDENCYPART_SIBL
(19,3),(19,23),-0.00424955 # DEPENDENCYPART_SIBL
(19,3),(19,24),0.0532799 # DEPENDENCYPART_SIBL
(19,3),(19,25),-0.0135512 # DEPENDENCYPART_SIBL
(19,3),(19,27),-0.0119082 # DEPENDENCYPART_SIBL
(19,3),(19,28),-0.0119082 # DEPENDENCYPART_SIBL
(19,4),(19,5),-0.00670054 # DEPENDENCYPART_SIBL
(19,4),(19,6),-0.0279095 # DEPENDENCYPART_SIBL
(19,4),(19,8),-0.0817528 # DEPENDENCYPART_SIBL
(19,4),(19,9),0.0144214 # DEPENDENCYPART_SIBL
(19,4),(19,10),0.0051857 # DEPENDENCYPART_SIBL
(19,4),(19,11),-0.0292039 # DEPENDENCYPART_SIBL
(19,4),(19,12),-0.105347 # DEPENDENCYPART_SIBL
(19,4),(19,13),-0.0245246 # DEPENDENCYPART_SIBL
(19,4),(19,14),-0.0297384 # DEPENDENCYPART_SIBL
(19,4),(19,16),0.0204973 # DEPENDENCYPART_SIBL
(19,4),(19,17),-0.0251932 # DEPENDENCYPART_SIBL
(19,4),(19,18),-0.00639496 # DEPENDENCYPART_SIBL
(19,4),(19,20),0.0371803 # DEPENDENCYPART_SIBL
(19,4),(19,21),0.000428931 # DEPENDENCYPART_SIBL
(19,4),(19,23),0.0361608 # DEPENDENCYPART_SIBL
(19,4),(19,24),0.0371803 # DEPENDENCYPART_SIBL
(19,4),(19,25),0.00513267 # DEPENDENCYPART_SIBL
(19,4),(19,27),0.0145361 # DEPENDENCYPART_SIBL
(19,4),(19,28),0.0145361 # DEPENDENCYPART_SIBL
(19,5),(19,6),0.0125137 # DEPENDENCYPART_SIBL
(19,5),(19,8),-0.0678037 # DEPENDENCYPART_SIBL
(19,5),(19,9),0.00112007 # DEPENDENCYPART_SIBL
(19,5),(19,10),-0.00283649 # DEPENDENCYPART_SIBL
(19,5),(19,11),0.00694843 # DEPENDENCYPART_SIBL
(19,5),(19,12),-0.17102 # DEPENDENCYPART_SIBL
(19,5),(19,13),-0.00902509 # DEPENDENCYPART_SIBL
(19,5),(19,14),0.00537468 # DEPENDENCYPART_SIBL
(19,5),(19,16),0.0183536 # DEPENDENCYPART_SIBL
(19,5),(19,17),-0.0230266 # DEPENDENCYPART_SIBL
(19,5),(19,18),-0.00970666 # DEPENDENCYPART_SIBL
(19,5),(19,20),0.0256724 # DEPENDENCYPART_SIBL
(19,5),(19,21),0.00839066 # DEPENDENCYPART_SIBL
(19,5),(19,23),-0.0162298 # DEPENDENCYPART_SIBL
(19,5),(19,24),0.0256724 # DEPENDENCYPART_SIBL
(19,5),(19,25),-0.0232648 # DEPENDENCYPART_SIBL
(19,5),(19,27),-0.0212639 # DEPENDENCYPART_SIBL
(19,5),(19,28),-0.0212639 # DEPENDENCYPART_SIBL
(19,6),(19,8),-0.0832657 # DEPENDENCYPART_SIBL
(19,6),(19,9),0.0103056 # DEPENDENCYPART_SIBL
(19,6),(19,10),0.00366842 # DEPENDENCYPART_SIBL
(19,6),(19,11),-0.0220541 # DEPENDENCYPART_SIBL
(19,6),(19,12),-0.101714 # DEPENDENCYPART_SIBL
(19,6),(19,13),-0.0260375 # DEPENDENCYPART_SIBL
(19,6),(19,14),-0.0225886 # DEPENDENCYPART_SIBL
(19,6),(19,16),0.0163816 # DEPENDENCYPART_SIBL
(19,6),(19,17),-0.0272257 # DEPENDENCYPART_SIBL
(19,6),(19,18),-0.00276194 # DEPENDENCYPART_SIBL
(19,6),(19,20),0.0474951 # DEPENDENCYPART_SIBL
(19,6),(19,21),-0.000648127 # DEPENDENCYPART_SIBL
(19,6),(19,23),0.0489304 # DEPENDENCYPART_SIBL
(19,6),(19,24),0.0474951 # DEPENDENCYPART_SIBL
(19,6),(19,25),0.00679768 # DEPENDENCYPART_SIBL
(19,6),(19,27),0.0166723 # DEPENDENCYPART_SIBL
(19,6),(19,28),0.0166723 # DEPENDENCYPART_SIBL
(19,8),(19,9),-0.160537 # DEPENDENCYPART_SIBL
(19,8),(19,10),-0.0901998 # DEPENDENCYPART_SIBL
(19,8),(19,11),-0.10265 # DEPENDENCYPART_SIBL
(19,8),(19,12),-0.187277 # DEPENDENCYPART_SIBL
(19,8),(19,13),-0.0809729 # DEPENDENCYPART_SIBL
(19,8),(19,14),-0.103244 # DEPENDENCYPART_SIBL
(19,8),(19,16),-0.1528 # DEPENDENCYPART_SIBL
(19,8),(19,17),-0.120545 # DEPENDENCYPART_SIBL
(19,8),(19,18),-0.113999 # DEPENDENCYPART_SIBL
(19,8),(19,20),0.0478222 # DEPENDENCYPART_SIBL
(19,8),(19,21),-0.007888 # DEPENDENCYPART_SIBL
(19,8),(19,23),-0.00185676 # DEPENDENCYPART_SIBL
(19,8),(19,24),0.0478222 # DEPENDENCYPART_SIBL
(19,8),(19,25),-0.0452097 # DEPENDENCYPART_SIBL
(19,8),(19,27),-0.00323158 # DEPENDENCYPART_SIBL
(19,8),(19,28),-0.00323158 # DEPENDENCYPART_SIBL
(19,9),(19,10),-0.0021917 # DEPENDENCYPART_SIBL
(19,9),(19,11),0.00450469 # DEPENDENCYPART_SIBL
(19,9),(19,12),-0.166326 # DEPENDENCYPART_SIBL
(19,9),(19,13),-0.0078464 # DEPENDENCYPART_SIBL
(19,9),(19,14),0.00293094 # DEPENDENCYPART_SIBL
(19,9),(19,16),0.0245183 # DEPENDENCYPART_SIBL
(19,9),(19,17),-0.0264904 # DEPENDENCYPART_SIBL
(19,9),(19,18),-0.00501294 # DEPENDENCYPART_SIBL
(19,9),(19,20),0.0678825 # DEPENDENCYPART_SIBL
(19,9),(19,21),0.0200082 # DEPENDENCYPART_SIBL
(19,9),(19,23),0.00392072 # DEPENDENCYPART_SIBL
(19,9),(19,24),0.0678825 # DEPENDENCYPART_SIBL
(19,9),(19,25),-0.00505649 # DEPENDENCYPART_SIBL
(19,9),(19,27),0.0110519 # DEPENDENCYPART_SIBL
(19,9),(19,28),0.0110519 # DEPENDENCYPART_SIBL
(19,10),(19,11),0.00418676 # DEPENDENCYPART_SIBL
(19,10),(19,12),-0.0915657 # DEPENDENCYPART_SIBL
(19,10),(19,13),-0.0109567 # DEPENDENCYPART_SIBL
(19,10),(19,14),0.0035795 # DEPENDENCYPART_SIBL
(19,10),(19,16),0.0254808 # DEPENDENCYPART_SIBL
(19,10),(19,17),-0.049528 # DEPENDENCYPART_SIBL
(19,10),(19,18),-0.0181563 # DEPENDENCYPART_SIBL
(19,10),(19,20),0.020816 # DEPENDENCYPART_SIBL
(19,10),(19,21),0.0034041 # DEPENDENCYPART_SIBL
(19,10),(19,23),0.0108193 # DEPENDENCYPART_SIBL
(19,10),(19,24),0.020816 # DEPENDENCYPART_SIBL
(19,10),(19,25),0.00218138 # DEPENDENCYPART_SIBL
(19,10),(19,27),-0.008401 # DEPENDENCYPART_SIBL
(19,10),(19,28),-0.008401 # DEPENDENCYPART_SIBL
(19,11),(19,12),-0.10597 # DEPENDENCYPART_SIBL
(19,11),(19,13),-0.0267432 # DEPENDENCYPART_SIBL
(19,11),(19,14),-0.031662 # DEPENDENCYPART_SIBL
(19,11),(19,16),0.0118362 # DEPENDENCYPART_SIBL
(19,11),(19,17),-0.0275111 # DEPENDENCYPART_SIBL
(19,11),(19,18),-0.00701732 # DEPENDENCYPART_SIBL
(19,11),(19,20),0.0338428 # DEPENDENCYPART_SIBL
