# _root_ Some traders said that the closely watched Major Market Index , whose 20 stocks mimic the Dow industrials , did n't lead yesterday 's big rally .
#goldHeads=2,3,0,3,10,7,10,10,10,20,10,14,14,15,10,18,18,15,10,4,20,20,26,23,26,22,3,
#predictedHeads=2,3,0,3,10,7,10,10,10,20,10,14,14,15,4,18,18,15,10,4,20,20,26,23,26,22,3,
(19,15),-1.78121 # DEPENDENCYPART_ARC
(19,16),-0.489588 # DEPENDENCYPART_ARC
(19,17),-1.36149 # DEPENDENCYPART_ARC
(19,18),-0.924322 # DEPENDENCYPART_ARC
(19,20),-0.0829552 # DEPENDENCYPART_ARC
(19,21),-1.32969 # DEPENDENCYPART_ARC
(19,22),-1.12726 # DEPENDENCYPART_ARC
(19,23),-1.90313 # DEPENDENCYPART_ARC
(19,24),-1.96365 # DEPENDENCYPART_ARC
(19,25),-2.19648 # DEPENDENCYPART_ARC
(19,26),-2.55308 # DEPENDENCYPART_ARC
(19,27),-1.76145 # DEPENDENCYPART_ARC
(20,1),-0.38541 # DEPENDENCYPART_ARC
(20,2),0.289652 # DEPENDENCYPART_ARC
(20,3),-0.901113 # DEPENDENCYPART_ARC
(20,4),-0.364647 # DEPENDENCYPART_ARC
(20,5),-1.86449 # DEPENDENCYPART_ARC
(20,6),0.350463 # DEPENDENCYPART_ARC
(20,7),0.241107 # DEPENDENCYPART_ARC
(20,8),0.0767975 # DEPENDENCYPART_ARC
(20,9),0.304638 # DEPENDENCYPART_ARC
(20,10),1.35138 # DEPENDENCYPART_ARC
(20,11),0.489402 # DEPENDENCYPART_ARC
(20,12),0.0435196 # DEPENDENCYPART_ARC
(20,13),-0.0779404 # DEPENDENCYPART_ARC
(20,14),0.587159 # DEPENDENCYPART_ARC
(20,15),-0.30539 # DEPENDENCYPART_ARC
(20,16),0.216205 # DEPENDENCYPART_ARC
(20,17),1.43477 # DEPENDENCYPART_ARC
(20,18),1.56858 # DEPENDENCYPART_ARC
(20,19),1.89478 # DEPENDENCYPART_ARC
(20,21),4.04085 # DEPENDENCYPART_ARC
(20,22),3.43661 # DEPENDENCYPART_ARC
(20,23),1.88351 # DEPENDENCYPART_ARC
(20,24),0.71832 # DEPENDENCYPART_ARC
(20,25),0.737818 # DEPENDENCYPART_ARC
(20,26),0.901154 # DEPENDENCYPART_ARC
(20,27),5.01525 # DEPENDENCYPART_ARC
(21,1),-2.23575 # DEPENDENCYPART_ARC
(21,2),-3.25589 # DEPENDENCYPART_ARC
(21,3),-2.71186 # DEPENDENCYPART_ARC
(21,4),-2.06749 # DEPENDENCYPART_ARC
(21,5),-1.63994 # DEPENDENCYPART_ARC
(21,6),-2.05609 # DEPENDENCYPART_ARC
(21,7),-2.14653 # DEPENDENCYPART_ARC
(21,8),-2.37088 # DEPENDENCYPART_ARC
(21,9),-2.395 # DEPENDENCYPART_ARC
(21,10),-2.21172 # DEPENDENCYPART_ARC
(21,11),-1.65416 # DEPENDENCYPART_ARC
(21,12),-1.25295 # DEPENDENCYPART_ARC
(21,13),-1.50591 # DEPENDENCYPART_ARC
(21,14),-1.49213 # DEPENDENCYPART_ARC
(21,15),-1.56733 # DEPENDENCYPART_ARC
(21,16),-0.352201 # DEPENDENCYPART_ARC
(21,17),-1.24774 # DEPENDENCYPART_ARC
(21,18),-1.06298 # DEPENDENCYPART_ARC
(21,19),-0.126122 # DEPENDENCYPART_ARC
(21,20),0.124377 # DEPENDENCYPART_ARC
(21,22),0.117624 # DEPENDENCYPART_ARC
(21,23),-0.320443 # DEPENDENCYPART_ARC
(21,24),-1.42462 # DEPENDENCYPART_ARC
(21,25),-1.26424 # DEPENDENCYPART_ARC
(21,26),-1.08629 # DEPENDENCYPART_ARC
(21,27),-1.50647 # DEPENDENCYPART_ARC
(22,1),-1.31877 # DEPENDENCYPART_ARC
(22,2),-0.511882 # DEPENDENCYPART_ARC
(22,3),-1.23167 # DEPENDENCYPART_ARC
(22,4),0.395127 # DEPENDENCYPART_ARC
(22,5),-0.643303 # DEPENDENCYPART_ARC
(22,6),-0.232167 # DEPENDENCYPART_ARC
(22,7),-0.946351 # DEPENDENCYPART_ARC
(22,8),-0.462371 # DEPENDENCYPART_ARC
(22,9),-0.540209 # DEPENDENCYPART_ARC
(22,10),-0.607163 # DEPENDENCYPART_ARC
(22,11),1.28123 # DEPENDENCYPART_ARC
(22,12),0.241852 # DEPENDENCYPART_ARC
(22,13),0.0067942 # DEPENDENCYPART_ARC
(22,14),0.382087 # DEPENDENCYPART_ARC
(22,15),0.108578 # DEPENDENCYPART_ARC
(22,16),0.626436 # DEPENDENCYPART_ARC
(22,17),0.578424 # DEPENDENCYPART_ARC
(22,18),0.667225 # DEPENDENCYPART_ARC
(22,19),1.02382 # DEPENDENCYPART_ARC
(22,20),0.546015 # DEPENDENCYPART_ARC
(22,21),1.51108 # DEPENDENCYPART_ARC
(22,23),2.62029 # DEPENDENCYPART_ARC
(22,24),1.47936 # DEPENDENCYPART_ARC
(22,25),0.7348 # DEPENDENCYPART_ARC
(22,26),1.88175 # DEPENDENCYPART_ARC
(22,27),1.27722 # DEPENDENCYPART_ARC
(23,1),-7.46737 # DEPENDENCYPART_ARC
(23,2),-6.47569 # DEPENDENCYPART_ARC
(23,3),-4.98851 # DEPENDENCYPART_ARC
(23,4),-3.79355 # DEPENDENCYPART_ARC
(23,5),-5.09255 # DEPENDENCYPART_ARC
(23,6),-6.08438 # DEPENDENCYPART_ARC
(23,7),-4.27122 # DEPENDENCYPART_ARC
(23,8),-6.48001 # DEPENDENCYPART_ARC
(23,9),-6.90609 # DEPENDENCYPART_ARC
(23,10),-7.46393 # DEPENDENCYPART_ARC
(23,11),-3.6517 # DEPENDENCYPART_ARC
(23,12),-2.06861 # DEPENDENCYPART_ARC
(23,13),-3.9275 # DEPENDENCYPART_ARC
(23,14),-4.03888 # DEPENDENCYPART_ARC
(23,15),-3.79584 # DEPENDENCYPART_ARC
(23,16),-1.89141 # DEPENDENCYPART_ARC
(23,17),-3.39062 # DEPENDENCYPART_ARC
(23,18),-3.0878 # DEPENDENCYPART_ARC
(23,19),-2.50344 # DEPENDENCYPART_ARC
(23,20),-2.19401 # DEPENDENCYPART_ARC
(23,21),-1.38374 # DEPENDENCYPART_ARC
(23,22),-0.74383 # DEPENDENCYPART_ARC
(23,24),4.09679 # DEPENDENCYPART_ARC
(23,25),1.21495 # DEPENDENCYPART_ARC
(23,26),0.145095 # DEPENDENCYPART_ARC
(23,27),-0.094532 # DEPENDENCYPART_ARC
(24,1),-2.8057 # DEPENDENCYPART_ARC
(24,2),-2.93406 # DEPENDENCYPART_ARC
(24,3),-2.83535 # DEPENDENCYPART_ARC
(24,4),-3.64896 # DEPENDENCYPART_ARC
(24,5),-1.78043 # DEPENDENCYPART_ARC
(24,6),-3.40564 # DEPENDENCYPART_ARC
(24,7),-1.75832 # DEPENDENCYPART_ARC
(24,8),-1.81628 # DEPENDENCYPART_ARC
(24,9),-1.74961 # DEPENDENCYPART_ARC
(24,10),-1.83137 # DEPENDENCYPART_ARC
(24,11),-1.52741 # DEPENDENCYPART_ARC
(24,12),-1.27342 # DEPENDENCYPART_ARC
(24,13),-1.65495 # DEPENDENCYPART_ARC
(24,14),-1.39044 # DEPENDENCYPART_ARC
(24,15),-1.17707 # DEPENDENCYPART_ARC
(24,16),-0.242542 # DEPENDENCYPART_ARC
(24,17),-0.876861 # DEPENDENCYPART_ARC
(24,18),-0.893535 # DEPENDENCYPART_ARC
(24,19),-0.244195 # DEPENDENCYPART_ARC
(24,20),-0.720271 # DEPENDENCYPART_ARC
(24,21),-0.227211 # DEPENDENCYPART_ARC
(24,22),0.258974 # DEPENDENCYPART_ARC
(24,23),0.350316 # DEPENDENCYPART_ARC
(24,25),0.329693 # DEPENDENCYPART_ARC
(24,26),-0.543357 # DEPENDENCYPART_ARC
(24,27),-0.600439 # DEPENDENCYPART_ARC
(25,1),-3.16122 # DEPENDENCYPART_ARC
(25,2),-3.43636 # DEPENDENCYPART_ARC
(25,3),-3.26132 # DEPENDENCYPART_ARC
(25,4),-2.92711 # DEPENDENCYPART_ARC
(25,5),-2.02024 # DEPENDENCYPART_ARC
(25,6),-2.4384 # DEPENDENCYPART_ARC
(25,7),-2.46759 # DEPENDENCYPART_ARC
(25,8),-1.82833 # DEPENDENCYPART_ARC
(25,9),-1.84325 # DEPENDENCYPART_ARC
(25,10),-2.46065 # DEPENDENCYPART_ARC
(25,11),-1.60544 # DEPENDENCYPART_ARC
(25,12),-1.24039 # DEPENDENCYPART_ARC
(25,13),-1.42798 # DEPENDENCYPART_ARC
(25,14),-1.57985 # DEPENDENCYPART_ARC
(25,15),-1.90027 # DEPENDENCYPART_ARC
(25,16),-0.593323 # DEPENDENCYPART_ARC
(25,17),-0.517808 # DEPENDENCYPART_ARC
(25,18),-1.33303 # DEPENDENCYPART_ARC
(25,19),-0.729338 # DEPENDENCYPART_ARC
(25,20),-1.35345 # DEPENDENCYPART_ARC
(25,21),-0.51637 # DEPENDENCYPART_ARC
(25,22),-0.140964 # DEPENDENCYPART_ARC
(25,23),0.133159 # DEPENDENCYPART_ARC
(25,24),0.829289 # DEPENDENCYPART_ARC
(25,26),1.55486 # DEPENDENCYPART_ARC
(25,27),-0.113788 # DEPENDENCYPART_ARC
(26,1),-4.48269 # DEPENDENCYPART_ARC
(26,2),-2.66002 # DEPENDENCYPART_ARC
(26,3),-2.2655 # DEPENDENCYPART_ARC
(26,4),-2.3909 # DEPENDENCYPART_ARC
(26,5),-1.93608 # DEPENDENCYPART_ARC
(26,6),-3.58227 # DEPENDENCYPART_ARC
(26,7),-1.3519 # DEPENDENCYPART_ARC
(26,8),-2.32479 # DEPENDENCYPART_ARC
(26,9),-3.00695 # DEPENDENCYPART_ARC
(26,10),-3.88379 # DEPENDENCYPART_ARC
(26,11),-0.83863 # DEPENDENCYPART_ARC
(26,12),0.825545 # DEPENDENCYPART_ARC
(26,13),-1.45373 # DEPENDENCYPART_ARC
(26,14),-0.414419 # DEPENDENCYPART_ARC
(26,15),-1.01917 # DEPENDENCYPART_ARC
(26,16),0.814172 # DEPENDENCYPART_ARC
(26,17),0.371238 # DEPENDENCYPART_ARC
(26,18),0.218017 # DEPENDENCYPART_ARC
(26,19),-0.12316 # DEPENDENCYPART_ARC
(26,20),0.192776 # DEPENDENCYPART_ARC
(26,21),0.513233 # DEPENDENCYPART_ARC
(26,22),0.571113 # DEPENDENCYPART_ARC
(26,23),4.71108 # DEPENDENCYPART_ARC
(26,24),1.71732 # DEPENDENCYPART_ARC
(26,25),4.46512 # DEPENDENCYPART_ARC
(26,27),0.643699 # DEPENDENCYPART_ARC
(27,1),-3.18667 # DEPENDENCYPART_ARC
(27,2),-3.25907 # DEPENDENCYPART_ARC
(27,3),-2.5654 # DEPENDENCYPART_ARC
(27,4),-3.26949 # DEPENDENCYPART_ARC
(27,5),-2.71677 # DEPENDENCYPART_ARC
(27,6),-2.73744 # DEPENDENCYPART_ARC
(27,7),-2.32502 # DEPENDENCYPART_ARC
(27,8),-2.4436 # DEPENDENCYPART_ARC
(27,9),-2.40309 # DEPENDENCYPART_ARC
(27,10),-2.53222 # DEPENDENCYPART_ARC
(27,11),-1.24815 # DEPENDENCYPART_ARC
(27,12),-1.69734 # DEPENDENCYPART_ARC
(27,13),-2.50746 # DEPENDENCYPART_ARC
(27,14),-2.28351 # DEPENDENCYPART_ARC
(27,15),-1.47341 # DEPENDENCYPART_ARC
(27,16),-1.57914 # DEPENDENCYPART_ARC
(27,17),-1.70388 # DEPENDENCYPART_ARC
(27,18),-1.98982 # DEPENDENCYPART_ARC
(27,19),-0.654853 # DEPENDENCYPART_ARC
(27,20),-0.804197 # DEPENDENCYPART_ARC
(27,21),-1.42263 # DEPENDENCYPART_ARC
(27,22),-1.58904 # DEPENDENCYPART_ARC
(27,23),-1.46109 # DEPENDENCYPART_ARC
(27,24),-0.951433 # DEPENDENCYPART_ARC
(27,25),-1.50551 # DEPENDENCYPART_ARC
(27,26),-1.64445 # DEPENDENCYPART_ARC
