# _root_ While profitable , it `` was n't growing and was n't providing a satisfactory return on invested capital , '' he says .
#goldHeads=6,1,6,6,6,22,6,6,6,9,10,10,15,15,12,15,18,16,6,6,22,0,22,
#predictedHeads=6,1,6,6,6,22,6,6,6,9,10,10,15,15,12,15,18,16,22,22,22,0,22,
(23,5),-2.60357 # DEPENDENCYPART_ARC
(23,6),-2.34079 # DEPENDENCYPART_ARC
(23,7),-2.58948 # DEPENDENCYPART_ARC
(23,8),-2.1346 # DEPENDENCYPART_ARC
(23,9),-2.71496 # DEPENDENCYPART_ARC
(23,10),-1.93476 # DEPENDENCYPART_ARC
(23,11),-2.10331 # DEPENDENCYPART_ARC
(23,12),-1.66115 # DEPENDENCYPART_ARC
(23,13),-1.8963 # DEPENDENCYPART_ARC
(23,14),-2.27153 # DEPENDENCYPART_ARC
(23,15),-1.99845 # DEPENDENCYPART_ARC
(23,16),-1.85992 # DEPENDENCYPART_ARC
(23,17),-1.492 # DEPENDENCYPART_ARC
(23,18),-2.02567 # DEPENDENCYPART_ARC
(23,19),-0.542596 # DEPENDENCYPART_ARC
(23,20),-1.25415 # DEPENDENCYPART_ARC
(23,21),-1.10805 # DEPENDENCYPART_ARC
(23,22),-0.662933 # DEPENDENCYPART_ARC
