# _root_ Burmah Oil PLC , a British independent oil and specialty chemicals marketing concern , said SHV Holdings N.V. of the Netherlands has built up a 6.7 % stake in the company .
#goldHeads=3,3,15,3,8,8,8,3,8,13,13,13,9,3,0,17,22,17,17,21,19,15,22,23,28,27,28,23,28,31,29,15,
#predictedHeads=3,3,15,3,8,8,8,3,8,13,13,13,9,3,0,17,22,17,17,21,19,15,22,23,28,27,28,23,28,31,29,15,
(16,10),-2.06585 # DEPENDENCYPART_ARC
(16,11),-1.92924 # DEPENDENCYPART_ARC
(16,12),-1.38802 # DEPENDENCYPART_ARC
(16,13),-2.72048 # DEPENDENCYPART_ARC
(16,14),-1.50903 # DEPENDENCYPART_ARC
(16,15),-1.0958 # DEPENDENCYPART_ARC
(16,17),1.02615 # DEPENDENCYPART_ARC
(16,18),1.18759 # DEPENDENCYPART_ARC
(16,19),0.072292 # DEPENDENCYPART_ARC
(16,20),-0.955489 # DEPENDENCYPART_ARC
(16,21),-0.581886 # DEPENDENCYPART_ARC
(16,22),-1.49433 # DEPENDENCYPART_ARC
(16,23),-1.62406 # DEPENDENCYPART_ARC
(16,24),-1.87404 # DEPENDENCYPART_ARC
(16,25),-1.48843 # DEPENDENCYPART_ARC
(16,26),-2.0907 # DEPENDENCYPART_ARC
(16,27),-2.56621 # DEPENDENCYPART_ARC
(16,28),-2.74311 # DEPENDENCYPART_ARC
(16,29),-2.98845 # DEPENDENCYPART_ARC
(16,30),-1.93984 # DEPENDENCYPART_ARC
(16,31),-3.09914 # DEPENDENCYPART_ARC
(16,32),-0.56562 # DEPENDENCYPART_ARC
(17,1),-3.39944 # DEPENDENCYPART_ARC
(17,2),-3.54539 # DEPENDENCYPART_ARC
(17,3),-4.21633 # DEPENDENCYPART_ARC
(17,4),-2.03155 # DEPENDENCYPART_ARC
(17,5),-2.3477 # DEPENDENCYPART_ARC
(17,6),-2.39131 # DEPENDENCYPART_ARC
(17,7),-0.45805 # DEPENDENCYPART_ARC
(17,8),-1.664 # DEPENDENCYPART_ARC
(17,9),-2.48486 # DEPENDENCYPART_ARC
(17,10),0.00145625 # DEPENDENCYPART_ARC
(17,11),-0.501043 # DEPENDENCYPART_ARC
(17,12),0.712399 # DEPENDENCYPART_ARC
(17,13),-1.5049 # DEPENDENCYPART_ARC
(17,14),-0.625127 # DEPENDENCYPART_ARC
(17,15),0.0988441 # DEPENDENCYPART_ARC
(17,16),3.99993 # DEPENDENCYPART_ARC
(17,18),4.04697 # DEPENDENCYPART_ARC
(17,19),2.22206 # DEPENDENCYPART_ARC
(17,20),0.89864 # DEPENDENCYPART_ARC
(17,21),1.50018 # DEPENDENCYPART_ARC
(17,22),0.395035 # DEPENDENCYPART_ARC
(17,23),0.278294 # DEPENDENCYPART_ARC
(17,24),0.00820102 # DEPENDENCYPART_ARC
(17,25),0.182936 # DEPENDENCYPART_ARC
(17,26),-0.330257 # DEPENDENCYPART_ARC
(17,27),-0.473941 # DEPENDENCYPART_ARC
(17,28),-0.529677 # DEPENDENCYPART_ARC
(17,29),-1.30052 # DEPENDENCYPART_ARC
(17,30),-0.237688 # DEPENDENCYPART_ARC
(17,31),-1.38032 # DEPENDENCYPART_ARC
(17,32),1.06459 # DEPENDENCYPART_ARC
(18,1),-4.52626 # DEPENDENCYPART_ARC
(18,2),-4.40488 # DEPENDENCYPART_ARC
(18,3),-5.16242 # DEPENDENCYPART_ARC
(18,4),-1.71642 # DEPENDENCYPART_ARC
(18,5),-1.24367 # DEPENDENCYPART_ARC
(18,6),-2.79523 # DEPENDENCYPART_ARC
(18,7),-0.67058 # DEPENDENCYPART_ARC
(18,8),-1.14738 # DEPENDENCYPART_ARC
(18,9),-2.15129 # DEPENDENCYPART_ARC
(18,10),0.428995 # DEPENDENCYPART_ARC
(18,11),-0.141118 # DEPENDENCYPART_ARC
(18,12),0.494231 # DEPENDENCYPART_ARC
(18,13),-1.09913 # DEPENDENCYPART_ARC
(18,14),-0.421898 # DEPENDENCYPART_ARC
(18,15),-0.103062 # DEPENDENCYPART_ARC
(18,16),2.95472 # DEPENDENCYPART_ARC
(18,17),2.73556 # DEPENDENCYPART_ARC
(18,19),1.62406 # DEPENDENCYPART_ARC
(18,20),0.431936 # DEPENDENCYPART_ARC
(18,21),0.729638 # DEPENDENCYPART_ARC
(18,22),0.32844 # DEPENDENCYPART_ARC
(18,23),-0.177672 # DEPENDENCYPART_ARC
(18,24),-0.549766 # DEPENDENCYPART_ARC
(18,25),-0.436641 # DEPENDENCYPART_ARC
(18,26),-0.94436 # DEPENDENCYPART_ARC
(18,27),-0.68836 # DEPENDENCYPART_ARC
(18,28),-0.462396 # DEPENDENCYPART_ARC
(18,29),-1.69011 # DEPENDENCYPART_ARC
(18,30),-0.959793 # DEPENDENCYPART_ARC
(18,31),-1.79046 # DEPENDENCYPART_ARC
(18,32),0.291391 # DEPENDENCYPART_ARC
(19,1),-2.23115 # DEPENDENCYPART_ARC
(19,2),-2.31249 # DEPENDENCYPART_ARC
(19,3),-2.39414 # DEPENDENCYPART_ARC
(19,4),-2.51719 # DEPENDENCYPART_ARC
(19,5),-2.50362 # DEPENDENCYPART_ARC
(19,6),-1.74496 # DEPENDENCYPART_ARC
(19,7),-2.06751 # DEPENDENCYPART_ARC
(19,8),-2.16739 # DEPENDENCYPART_ARC
(19,9),-2.26637 # DEPENDENCYPART_ARC
(19,10),-1.51633 # DEPENDENCYPART_ARC
(19,11),-1.95865 # DEPENDENCYPART_ARC
(19,12),-1.49592 # DEPENDENCYPART_ARC
(19,13),-1.70537 # DEPENDENCYPART_ARC
(19,14),-0.994951 # DEPENDENCYPART_ARC
(19,15),-1.06465 # DEPENDENCYPART_ARC
(19,16),-0.12584 # DEPENDENCYPART_ARC
(19,17),-0.301445 # DEPENDENCYPART_ARC
(19,18),0.139752 # DEPENDENCYPART_ARC
(19,20),0.607623 # DEPENDENCYPART_ARC
(19,21),4.20642 # DEPENDENCYPART_ARC
(19,22),1.18496 # DEPENDENCYPART_ARC
(19,23),0.280172 # DEPENDENCYPART_ARC
(19,24),0.296425 # DEPENDENCYPART_ARC
(19,25),-1.30547 # DEPENDENCYPART_ARC
(19,26),-0.677218 # DEPENDENCYPART_ARC
(19,27),-2.11742 # DEPENDENCYPART_ARC
(19,28),0.6712 # DEPENDENCYPART_ARC
(19,29),-0.238829 # DEPENDENCYPART_ARC
(19,30),-2.32845 # DEPENDENCYPART_ARC
(19,31),-1.8331 # DEPENDENCYPART_ARC
(19,32),-0.0989794 # DEPENDENCYPART_ARC
(20,1),-4.12073 # DEPENDENCYPART_ARC
(20,2),-3.9658 # DEPENDENCYPART_ARC
(20,3),-3.89393 # DEPENDENCYPART_ARC
(20,4),-3.53204 # DEPENDENCYPART_ARC
(20,5),-3.21886 # DEPENDENCYPART_ARC
(20,6),-3.6104 # DEPENDENCYPART_ARC
(20,7),-3.33436 # DEPENDENCYPART_ARC
(20,8),-3.7137 # DEPENDENCYPART_ARC
(20,9),-3.486 # DEPENDENCYPART_ARC
(20,10),-3.32236 # DEPENDENCYPART_ARC
(20,11),-3.04529 # DEPENDENCYPART_ARC
(20,12),-3.14632 # DEPENDENCYPART_ARC
(20,13),-3.03529 # DEPENDENCYPART_ARC
(20,14),-2.443 # DEPENDENCYPART_ARC
(20,15),-2.48276 # DEPENDENCYPART_ARC
(20,16),-2.16201 # DEPENDENCYPART_ARC
(20,17),-1.82547 # DEPENDENCYPART_ARC
(20,18),-1.69133 # DEPENDENCYPART_ARC
(20,19),-0.785524 # DEPENDENCYPART_ARC
(20,21),-0.63509 # DEPENDENCYPART_ARC
(20,22),0.0311014 # DEPENDENCYPART_ARC
(20,23),-0.83509 # DEPENDENCYPART_ARC
(20,24),-1.20577 # DEPENDENCYPART_ARC
(20,25),-2.24847 # DEPENDENCYPART_ARC
(20,26),-1.50687 # DEPENDENCYPART_ARC
(20,27),-1.66844 # DEPENDENCYPART_ARC
(20,28),-1.71312 # DEPENDENCYPART_ARC
(20,29),-2.09385 # DEPENDENCYPART_ARC
(20,30),-2.64508 # DEPENDENCYPART_ARC
(20,31),-2.06328 # DEPENDENCYPART_ARC
(20,32),-1.62252 # DEPENDENCYPART_ARC
(21,1),-5.21244 # DEPENDENCYPART_ARC
(21,2),-5.09734 # DEPENDENCYPART_ARC
(21,3),-6.13453 # DEPENDENCYPART_ARC
(21,4),-3.22793 # DEPENDENCYPART_ARC
(21,5),-2.61507 # DEPENDENCYPART_ARC
(21,6),-3.82193 # DEPENDENCYPART_ARC
(21,7),-2.12345 # DEPENDENCYPART_ARC
(21,8),-2.86308 # DEPENDENCYPART_ARC
(21,9),-3.39071 # DEPENDENCYPART_ARC
(21,10),-1.80149 # DEPENDENCYPART_ARC
(21,11),-1.81296 # DEPENDENCYPART_ARC
(21,12),-1.43746 # DEPENDENCYPART_ARC
(21,13),-3.04938 # DEPENDENCYPART_ARC
(21,14),-2.17077 # DEPENDENCYPART_ARC
(21,15),-1.94321 # DEPENDENCYPART_ARC
(21,16),0.781647 # DEPENDENCYPART_ARC
(21,17),0.513369 # DEPENDENCYPART_ARC
(21,18),0.0465338 # DEPENDENCYPART_ARC
(21,19),0.502368 # DEPENDENCYPART_ARC
(21,20),4.06452 # DEPENDENCYPART_ARC
(21,22),0.686881 # DEPENDENCYPART_ARC
(21,23),-0.0490315 # DEPENDENCYPART_ARC
(21,24),-0.556714 # DEPENDENCYPART_ARC
(21,25),-0.878775 # DEPENDENCYPART_ARC
(21,26),-0.621741 # DEPENDENCYPART_ARC
(21,27),-1.49113 # DEPENDENCYPART_ARC
(21,28),-1.71119 # DEPENDENCYPART_ARC
(21,29),-1.2014 # DEPENDENCYPART_ARC
(21,30),-1.08516 # DEPENDENCYPART_ARC
(21,31),-2.70254 # DEPENDENCYPART_ARC
(21,32),-0.229945 # DEPENDENCYPART_ARC
(22,1),0.961745 # DEPENDENCYPART_ARC
(22,2),0.501885 # DEPENDENCYPART_ARC
(22,3),-0.389422 # DEPENDENCYPART_ARC
(22,4),1.96185 # DEPENDENCYPART_ARC
(22,5),-2.10438 # DEPENDENCYPART_ARC
(22,6),0.904681 # DEPENDENCYPART_ARC
(22,7),0.0937622 # DEPENDENCYPART_ARC
(22,8),-0.203055 # DEPENDENCYPART_ARC
(22,9),0.220416 # DEPENDENCYPART_ARC
(22,10),0.679616 # DEPENDENCYPART_ARC
(22,11),-0.814169 # DEPENDENCYPART_ARC
(22,12),-0.0814027 # DEPENDENCYPART_ARC
(22,13),-0.49915 # DEPENDENCYPART_ARC
(22,14),0.741359 # DEPENDENCYPART_ARC
(22,15),-0.324019 # DEPENDENCYPART_ARC
(22,16),1.79439 # DEPENDENCYPART_ARC
(22,17),1.50153 # DEPENDENCYPART_ARC
(22,18),1.49741 # DEPENDENCYPART_ARC
(22,19),0.441011 # DEPENDENCYPART_ARC
(22,20),0.318835 # DEPENDENCYPART_ARC
(22,21),3.28459 # DEPENDENCYPART_ARC
(22,23),4.38854 # DEPENDENCYPART_ARC
(22,24),1.56945 # DEPENDENCYPART_ARC
(22,25),-0.335356 # DEPENDENCYPART_ARC
(22,26),-0.209764 # DEPENDENCYPART_ARC
(22,27),-0.334774 # DEPENDENCYPART_ARC
(22,28),-0.108011 # DEPENDENCYPART_ARC
(22,29),0.731625 # DEPENDENCYPART_ARC
(22,30),-1.36624 # DEPENDENCYPART_ARC
(22,31),-0.897263 # DEPENDENCYPART_ARC
(22,32),4.21952 # DEPENDENCYPART_ARC
(23,1),-0.140202 # DEPENDENCYPART_ARC
(23,2),-0.179341 # DEPENDENCYPART_ARC
(23,3),-0.372385 # DEPENDENCYPART_ARC
(23,4),0.0243571 # DEPENDENCYPART_ARC
(23,5),-0.856759 # DEPENDENCYPART_ARC
(23,6),0.0564067 # DEPENDENCYPART_ARC
(23,7),-0.633195 # DEPENDENCYPART_ARC
(23,8),-0.542486 # DEPENDENCYPART_ARC
(23,9),-1.39739 # DEPENDENCYPART_ARC
(23,10),-0.488905 # DEPENDENCYPART_ARC
(23,11),-0.306099 # DEPENDENCYPART_ARC
(23,12),-0.469087 # DEPENDENCYPART_ARC
(23,13),-0.882565 # DEPENDENCYPART_ARC
(23,14),0.433116 # DEPENDENCYPART_ARC
(23,15),-0.264894 # DEPENDENCYPART_ARC
(23,16),0.4342 # DEPENDENCYPART_ARC
(23,17),0.330901 # DEPENDENCYPART_ARC
(23,18),0.286173 # DEPENDENCYPART_ARC
(23,19),0.459665 # DEPENDENCYPART_ARC
(23,20),1.29278 # DEPENDENCYPART_ARC
(23,21),0.806022 # DEPENDENCYPART_ARC
(23,22),1.08663 # DEPENDENCYPART_ARC
(23,24),3.72213 # DEPENDENCYPART_ARC
(23,25),1.06045 # DEPENDENCYPART_ARC
(23,26),1.13814 # DEPENDENCYPART_ARC
(23,27),1.94536 # DEPENDENCYPART_ARC
(23,28),2.33182 # DEPENDENCYPART_ARC
(23,29),2.75406 # DEPENDENCYPART_ARC
(23,30),0.0641327 # DEPENDENCYPART_ARC
(23,31),0.62141 # DEPENDENCYPART_ARC
(23,32),1.66853 # DEPENDENCYPART_ARC
(24,1),-2.73435 # DEPENDENCYPART_ARC
(24,2),-2.51401 # DEPENDENCYPART_ARC
(24,3),-2.48768 # DEPENDENCYPART_ARC
(24,4),-2.10844 # DEPENDENCYPART_ARC
(24,5),-1.70242 # DEPENDENCYPART_ARC
(24,6),-1.99345 # DEPENDENCYPART_ARC
(24,7),-1.76489 # DEPENDENCYPART_ARC
(24,8),-2.17739 # DEPENDENCYPART_ARC
(24,9),-1.78761 # DEPENDENCYPART_ARC
(24,10),-1.98922 # DEPENDENCYPART_ARC
(24,11),-1.70608 # DEPENDENCYPART_ARC
(24,12),-1.75993 # DEPENDENCYPART_ARC
(24,13),-1.67131 # DEPENDENCYPART_ARC
(24,14),-1.0165 # DEPENDENCYPART_ARC
(24,15),-1.15399 # DEPENDENCYPART_ARC
(24,16),-0.843577 # DEPENDENCYPART_ARC
(24,17),-0.703807 # DEPENDENCYPART_ARC
(24,18),-0.562346 # DEPENDENCYPART_ARC
(24,19),0.180064 # DEPENDENCYPART_ARC
(24,20),0.386729 # DEPENDENCYPART_ARC
(24,21),0.103441 # DEPENDENCYPART_ARC
(24,22),-0.128566 # DEPENDENCYPART_ARC
(24,23),0.658447 # DEPENDENCYPART_ARC
(24,25),0.17403 # DEPENDENCYPART_ARC
(24,26),0.0360387 # DEPENDENCYPART_ARC
(24,27),0.947114 # DEPENDENCYPART_ARC
(24,28),0.404444 # DEPENDENCYPART_ARC
(24,29),0.141026 # DEPENDENCYPART_ARC
(24,30),-1.10411 # DEPENDENCYPART_ARC
(24,31),-0.917905 # DEPENDENCYPART_ARC
(24,32),-0.368149 # DEPENDENCYPART_ARC
(25,1),-3.27853 # DEPENDENCYPART_ARC
(25,2),-3.26005 # DEPENDENCYPART_ARC
(25,3),-3.13498 # DEPENDENCYPART_ARC
(25,4),-3.22212 # DEPENDENCYPART_ARC
(25,5),-2.29681 # DEPENDENCYPART_ARC
(25,6),-2.8456 # DEPENDENCYPART_ARC
(25,7),-2.95681 # DEPENDENCYPART_ARC
(25,8),-3.32379 # DEPENDENCYPART_ARC
(25,9),-3.14241 # DEPENDENCYPART_ARC
(25,10),-3.12187 # DEPENDENCYPART_ARC
(25,11),-2.78091 # DEPENDENCYPART_ARC
(25,12),-2.88109 # DEPENDENCYPART_ARC
(25,13),-2.83415 # DEPENDENCYPART_ARC
(25,14),-2.18122 # DEPENDENCYPART_ARC
(25,15),-2.06057 # DEPENDENCYPART_ARC
(25,16),-1.80114 # DEPENDENCYPART_ARC
(25,17),-1.81933 # DEPENDENCYPART_ARC
(25,18),-1.77483 # DEPENDENCYPART_ARC
(25,19),-0.828731 # DEPENDENCYPART_ARC
(25,20),-0.392591 # DEPENDENCYPART_ARC
(25,21),-1.33969 # DEPENDENCYPART_ARC
(25,22),-1.05651 # DEPENDENCYPART_ARC
(25,23),-0.757842 # DEPENDENCYPART_ARC
(25,24),0.161312 # DEPENDENCYPART_ARC
(25,26),1.73967 # DEPENDENCYPART_ARC
(25,27),0.244705 # DEPENDENCYPART_ARC
(25,28),-0.030325 # DEPENDENCYPART_ARC
(25,29),-0.548073 # DEPENDENCYPART_ARC
(25,30),-1.34025 # DEPENDENCYPART_ARC
(25,31),-0.824889 # DEPENDENCYPART_ARC
(25,32),-0.601374 # DEPENDENCYPART_ARC
(26,1),-3.80222 # DEPENDENCYPART_ARC
(26,2),-3.83212 # DEPENDENCYPART_ARC
(26,3),-3.75769 # DEPENDENCYPART_ARC
(26,4),-3.38707 # DEPENDENCYPART_ARC
(26,5),-2.76144 # DEPENDENCYPART_ARC
(26,6),-3.04806 # DEPENDENCYPART_ARC
(26,7),-2.57585 # DEPENDENCYPART_ARC
(26,8),-3.34224 # DEPENDENCYPART_ARC
(26,9),-3.24788 # DEPENDENCYPART_ARC
(26,10),-3.15091 # DEPENDENCYPART_ARC
(26,11),-2.64865 # DEPENDENCYPART_ARC
(26,12),-2.95896 # DEPENDENCYPART_ARC
(26,13),-2.87351 # DEPENDENCYPART_ARC
(26,14),-2.54048 # DEPENDENCYPART_ARC
(26,15),-2.18903 # DEPENDENCYPART_ARC
(26,16),-1.70217 # DEPENDENCYPART_ARC
(26,17),-1.64889 # DEPENDENCYPART_ARC
(26,18),-1.56089 # DEPENDENCYPART_ARC
(26,19),-1.14099 # DEPENDENCYPART_ARC
(26,20),-0.341 # DEPENDENCYPART_ARC
(26,21),-0.804543 # DEPENDENCYPART_ARC
(26,22),-1.14685 # DEPENDENCYPART_ARC
(26,23),-0.446911 # DEPENDENCYPART_ARC
(26,24),0.620656 # DEPENDENCYPART_ARC
(26,25),1.67737 # DEPENDENCYPART_ARC
(26,27),1.75732 # DEPENDENCYPART_ARC
(26,28),0.424731 # DEPENDENCYPART_ARC
(26,29),0.718241 # DEPENDENCYPART_ARC
(26,30),-0.660884 # DEPENDENCYPART_ARC
(26,31),-0.486841 # DEPENDENCYPART_ARC
(26,32),0.182066 # DEPENDENCYPART_ARC
(27,1),-10.1152 # DEPENDENCYPART_ARC
(27,2),-10.0463 # DEPENDENCYPART_ARC
(27,3),-11.1591 # DEPENDENCYPART_ARC
(27,4),-4.49747 # DEPENDENCYPART_ARC
(27,5),-6.16753 # DEPENDENCYPART_ARC
(27,6),-7.67921 # DEPENDENCYPART_ARC
(27,7),-5.13388 # DEPENDENCYPART_ARC
(27,8),-7.90548 # DEPENDENCYPART_ARC
(27,9),-3.06801 # DEPENDENCYPART_ARC
(27,10),-6.24343 # DEPENDENCYPART_ARC
(27,11),-4.20798 # DEPENDENCYPART_ARC
(27,12),-6.64292 # DEPENDENCYPART_ARC
(27,13),-7.95686 # DEPENDENCYPART_ARC
(27,14),-3.12361 # DEPENDENCYPART_ARC
(27,15),-2.78152 # DEPENDENCYPART_ARC
(27,16),-5.32711 # DEPENDENCYPART_ARC
(27,17),-5.38364 # DEPENDENCYPART_ARC
(27,18),-5.67988 # DEPENDENCYPART_ARC
(27,19),-0.609921 # DEPENDENCYPART_ARC
(27,20),-1.72954 # DEPENDENCYPART_ARC
(27,21),-2.86174 # DEPENDENCYPART_ARC
(27,22),-1.31593 # DEPENDENCYPART_ARC
(27,23),-0.609732 # DEPENDENCYPART_ARC
(27,24),-1.10323 # DEPENDENCYPART_ARC
(27,25),2.1622 # DEPENDENCYPART_ARC
(27,26),4.59877 # DEPENDENCYPART_ARC
(27,28),1.07268 # DEPENDENCYPART_ARC
(27,29),-0.256486 # DEPENDENCYPART_ARC
(27,30),-0.743559 # DEPENDENCYPART_ARC
(27,31),-0.581227 # DEPENDENCYPART_ARC
(27,32),-0.623186 # DEPENDENCYPART_ARC
(28,1),-6.8957 # DEPENDENCYPART_ARC
(28,2),-7.04211 # DEPENDENCYPART_ARC
(28,3),-8.20929 # DEPENDENCYPART_ARC
(28,4),-3.6821 # DEPENDENCYPART_ARC
(28,5),-2.4348 # DEPENDENCYPART_ARC
(28,6),-4.35918 # DEPENDENCYPART_ARC
(28,7),-1.50183 # DEPENDENCYPART_ARC
(28,8),-4.65578 # DEPENDENCYPART_ARC
(28,9),-1.85075 # DEPENDENCYPART_ARC
(28,10),-2.74129 # DEPENDENCYPART_ARC
(28,11),-1.40687 # DEPENDENCYPART_ARC
(28,12),-3.2503 # DEPENDENCYPART_ARC
(28,13),-5.12274 # DEPENDENCYPART_ARC
(28,14),-1.90542 # DEPENDENCYPART_ARC
(28,15),-1.16379 # DEPENDENCYPART_ARC
(28,16),-2.15735 # DEPENDENCYPART_ARC
(28,17),-2.77222 # DEPENDENCYPART_ARC
(28,18),-2.83178 # DEPENDENCYPART_ARC
(28,19),0.464099 # DEPENDENCYPART_ARC
(28,20),1.20826 # DEPENDENCYPART_ARC
(28,21),0.235681 # DEPENDENCYPART_ARC
(28,22),-0.0976191 # DEPENDENCYPART_ARC
(28,23),1.32562 # DEPENDENCYPART_ARC
(28,24),0.559323 # DEPENDENCYPART_ARC
(28,25),4.37965 # DEPENDENCYPART_ARC
(28,26),3.05297 # DEPENDENCYPART_ARC
(28,27),4.23496 # DEPENDENCYPART_ARC
(28,29),3.78814 # DEPENDENCYPART_ARC
(28,30),0.281213 # DEPENDENCYPART_ARC
(28,31),0.442843 # DEPENDENCYPART_ARC
(28,32),0.985886 # DEPENDENCYPART_ARC
(29,1),-3.73801 # DEPENDENCYPART_ARC
(29,2),-3.70031 # DEPENDENCYPART_ARC
(29,3),-3.82066 # DEPENDENCYPART_ARC
(29,4),-3.24633 # DEPENDENCYPART_ARC
(29,5),-2.63635 # DEPENDENCYPART_ARC
(29,6),-3.37064 # DEPENDENCYPART_ARC
(29,7),-3.02822 # DEPENDENCYPART_ARC
(29,8),-3.12271 # DEPENDENCYPART_ARC
(29,9),-3.59579 # DEPENDENCYPART_ARC
(29,10),-2.47485 # DEPENDENCYPART_ARC
(29,11),-2.45416 # DEPENDENCYPART_ARC
(29,12),-2.63748 # DEPENDENCYPART_ARC
(29,13),-2.88456 # DEPENDENCYPART_ARC
(29,14),-2.08361 # DEPENDENCYPART_ARC
(29,15),-2.12891 # DEPENDENCYPART_ARC
(29,16),-2.01819 # DEPENDENCYPART_ARC
(29,17),-2.05177 # DEPENDENCYPART_ARC
(29,18),-2.11913 # DEPENDENCYPART_ARC
(29,19),-1.53326 # DEPENDENCYPART_ARC
(29,20),-0.954523 # DEPENDENCYPART_ARC
(29,21),-1.32705 # DEPENDENCYPART_ARC
(29,22),-1.06273 # DEPENDENCYPART_ARC
(29,23),-0.89787 # DEPENDENCYPART_ARC
(29,24),-0.869277 # DEPENDENCYPART_ARC
(29,25),-0.299055 # DEPENDENCYPART_ARC
(29,26),0.0018582 # DEPENDENCYPART_ARC
(29,27),-0.529893 # DEPENDENCYPART_ARC
(29,28),-0.00420478 # DEPENDENCYPART_ARC
(29,30),0.548991 # DEPENDENCYPART_ARC
(29,31),3.45756 # DEPENDENCYPART_ARC
(29,32),-0.612774 # DEPENDENCYPART_ARC
(30,1),-5.73298 # DEPENDENCYPART_ARC
(30,2),-5.65317 # DEPENDENCYPART_ARC
(30,3),-5.5241 # DEPENDENCYPART_ARC
(30,4),-5.05001 # DEPENDENCYPART_ARC
(30,5),-4.81087 # DEPENDENCYPART_ARC
(30,6),-5.34933 # DEPENDENCYPART_ARC
(30,7),-5.02555 # DEPENDENCYPART_ARC
(30,8),-5.36059 # DEPENDENCYPART_ARC
(30,9),-4.96327 # DEPENDENCYPART_ARC
(30,10),-5.11773 # DEPENDENCYPART_ARC
(30,11),-4.69672 # DEPENDENCYPART_ARC
(30,12),-4.83165 # DEPENDENCYPART_ARC
(30,13),-4.80757 # DEPENDENCYPART_ARC
(30,14),-4.04613 # DEPENDENCYPART_ARC
(30,15),-4.01066 # DEPENDENCYPART_ARC
(30,16),-4.14504 # DEPENDENCYPART_ARC
(30,17),-3.99965 # DEPENDENCYPART_ARC
(30,18),-3.92882 # DEPENDENCYPART_ARC
(30,19),-3.36215 # DEPENDENCYPART_ARC
(30,20),-2.87007 # DEPENDENCYPART_ARC
(30,21),-3.4587 # DEPENDENCYPART_ARC
(30,22),-3.38092 # DEPENDENCYPART_ARC
(30,23),-3.19979 # DEPENDENCYPART_ARC
(30,24),-3.03934 # DEPENDENCYPART_ARC
(30,25),-2.26614 # DEPENDENCYPART_ARC
(30,26),-2.27354 # DEPENDENCYPART_ARC
(30,27),-2.53826 # DEPENDENCYPART_ARC
(30,28),-2.59846 # DEPENDENCYPART_ARC
(30,29),-1.29588 # DEPENDENCYPART_ARC
(30,31),-0.440332 # DEPENDENCYPART_ARC
(30,32),-2.51422 # DEPENDENCYPART_ARC
(31,1),-10.768 # DEPENDENCYPART_ARC
(31,2),-10.8166 # DEPENDENCYPART_ARC
(31,3),-11.4308 # DEPENDENCYPART_ARC
(31,4),-4.78048 # DEPENDENCYPART_ARC
(31,5),-5.94867 # DEPENDENCYPART_ARC
(31,6),-7.66552 # DEPENDENCYPART_ARC
(31,7),-4.64007 # DEPENDENCYPART_ARC
(31,8),-8.49716 # DEPENDENCYPART_ARC
(31,9),-2.64006 # DEPENDENCYPART_ARC
(31,10),-6.90442 # DEPENDENCYPART_ARC
(31,11),-3.42027 # DEPENDENCYPART_ARC
(31,12),-7.07166 # DEPENDENCYPART_ARC
(31,13),-7.96345 # DEPENDENCYPART_ARC
(31,14),-3.53786 # DEPENDENCYPART_ARC
(31,15),-2.37195 # DEPENDENCYPART_ARC
(31,16),-6.05391 # DEPENDENCYPART_ARC
(31,17),-6.29724 # DEPENDENCYPART_ARC
(31,18),-6.33826 # DEPENDENCYPART_ARC
(31,19),-1.5361 # DEPENDENCYPART_ARC
(31,20),-2.55721 # DEPENDENCYPART_ARC
(31,21),-3.14605 # DEPENDENCYPART_ARC
(31,22),-1.24051 # DEPENDENCYPART_ARC
(31,23),-1.33143 # DEPENDENCYPART_ARC
(31,24),-1.61432 # DEPENDENCYPART_ARC
(31,25),0.427684 # DEPENDENCYPART_ARC
(31,26),-0.201691 # DEPENDENCYPART_ARC
(31,27),0.0536451 # DEPENDENCYPART_ARC
(31,28),-1.1629 # DEPENDENCYPART_ARC
(31,29),0.776022 # DEPENDENCYPART_ARC
(31,30),5.46535 # DEPENDENCYPART_ARC
(31,32),0.19679 # DEPENDENCYPART_ARC
(32,1),-3.48733 # DEPENDENCYPART_ARC
(32,2),-3.05396 # DEPENDENCYPART_ARC
(32,3),-3.31195 # DEPENDENCYPART_ARC
(32,4),-2.19418 # DEPENDENCYPART_ARC
(32,5),-3.54818 # DEPENDENCYPART_ARC
(32,6),-3.04773 # DEPENDENCYPART_ARC
(32,7),-3.32754 # DEPENDENCYPART_ARC
(32,8),-2.52464 # DEPENDENCYPART_ARC
(32,9),-2.753 # DEPENDENCYPART_ARC
(32,10),-2.25396 # DEPENDENCYPART_ARC
(32,11),-2.57439 # DEPENDENCYPART_ARC
(32,12),-2.11463 # DEPENDENCYPART_ARC
(32,13),-2.04208 # DEPENDENCYPART_ARC
(32,14),-1.38735 # DEPENDENCYPART_ARC
(32,15),-1.70687 # DEPENDENCYPART_ARC
(32,16),-2.02718 # DEPENDENCYPART_ARC
(32,17),-2.01929 # DEPENDENCYPART_ARC
(32,18),-2.07273 # DEPENDENCYPART_ARC
(32,19),-2.21275 # DEPENDENCYPART_ARC
(32,20),-1.55142 # DEPENDENCYPART_ARC
(32,21),-1.72647 # DEPENDENCYPART_ARC
(32,22),-1.5738 # DEPENDENCYPART_ARC
(32,23),-1.28354 # DEPENDENCYPART_ARC
(32,24),-1.34564 # DEPENDENCYPART_ARC
(32,25),-0.989279 # DEPENDENCYPART_ARC
(32,26),-1.42461 # DEPENDENCYPART_ARC
(32,27),-1.19096 # DEPENDENCYPART_ARC
