# _root_ On the screens , only two forlorn blue figures remained , but the index had recovered a few points and was off about 140 .
#goldHeads=10,3,1,10,9,9,9,9,10,0,10,10,14,15,12,15,19,19,16,15,20,21,22,23,10,
#predictedHeads=10,3,1,10,9,5,9,9,10,0,10,10,14,15,12,15,19,19,16,15,20,21,21,23,15,
(21,7),-1.14521 # DEPENDENCYPART_ARC
(21,8),-1.32447 # DEPENDENCYPART_ARC
(21,9),-2.42988 # DEPENDENCYPART_ARC
(21,10),-1.64375 # DEPENDENCYPART_ARC
(21,11),-2.30268 # DEPENDENCYPART_ARC
(21,12),-1.33585 # DEPENDENCYPART_ARC
(21,13),-1.35521 # DEPENDENCYPART_ARC
(21,14),0.34424 # DEPENDENCYPART_ARC
(21,15),-1.33297 # DEPENDENCYPART_ARC
(21,16),-0.707335 # DEPENDENCYPART_ARC
(21,17),0.078481 # DEPENDENCYPART_ARC
(21,18),-0.0242743 # DEPENDENCYPART_ARC
(21,19),-0.785743 # DEPENDENCYPART_ARC
(21,20),0.634901 # DEPENDENCYPART_ARC
(21,22),3.96364 # DEPENDENCYPART_ARC
(21,23),1.524 # DEPENDENCYPART_ARC
(21,24),0.169878 # DEPENDENCYPART_ARC
(21,25),2.93409 # DEPENDENCYPART_ARC
(22,1),-2.84927 # DEPENDENCYPART_ARC
(22,2),-1.86522 # DEPENDENCYPART_ARC
(22,3),-2.50112 # DEPENDENCYPART_ARC
(22,4),-1.36566 # DEPENDENCYPART_ARC
(22,5),-1.73936 # DEPENDENCYPART_ARC
(22,6),-1.84298 # DEPENDENCYPART_ARC
(22,7),-1.07061 # DEPENDENCYPART_ARC
(22,8),-1.13016 # DEPENDENCYPART_ARC
(22,9),-1.67249 # DEPENDENCYPART_ARC
(22,10),-1.67082 # DEPENDENCYPART_ARC
(22,11),-0.306965 # DEPENDENCYPART_ARC
(22,12),-1.3237 # DEPENDENCYPART_ARC
(22,13),-0.360222 # DEPENDENCYPART_ARC
(22,14),-1.21669 # DEPENDENCYPART_ARC
(22,15),-1.10071 # DEPENDENCYPART_ARC
(22,16),-0.746446 # DEPENDENCYPART_ARC
(22,17),0.181295 # DEPENDENCYPART_ARC
(22,18),-0.15127 # DEPENDENCYPART_ARC
(22,19),-0.332609 # DEPENDENCYPART_ARC
(22,20),0.223165 # DEPENDENCYPART_ARC
(22,21),0.436257 # DEPENDENCYPART_ARC
(22,23),1.46504 # DEPENDENCYPART_ARC
(22,24),1.43249 # DEPENDENCYPART_ARC
(22,25),0.818885 # DEPENDENCYPART_ARC
(23,1),-2.92256 # DEPENDENCYPART_ARC
(23,2),-2.29914 # DEPENDENCYPART_ARC
(23,3),-3.19126 # DEPENDENCYPART_ARC
(23,4),-2.23783 # DEPENDENCYPART_ARC
(23,5),-1.63978 # DEPENDENCYPART_ARC
(23,6),-2.33021 # DEPENDENCYPART_ARC
(23,7),-1.66594 # DEPENDENCYPART_ARC
(23,8),-1.70789 # DEPENDENCYPART_ARC
(23,9),-2.38815 # DEPENDENCYPART_ARC
(23,10),-2.22203 # DEPENDENCYPART_ARC
(23,11),-1.14954 # DEPENDENCYPART_ARC
(23,12),-1.82284 # DEPENDENCYPART_ARC
(23,13),-0.810173 # DEPENDENCYPART_ARC
(23,14),-2.07997 # DEPENDENCYPART_ARC
(23,15),-1.71506 # DEPENDENCYPART_ARC
(23,16),-1.40101 # DEPENDENCYPART_ARC
(23,17),-0.224441 # DEPENDENCYPART_ARC
(23,18),-0.836804 # DEPENDENCYPART_ARC
(23,19),-1.23371 # DEPENDENCYPART_ARC
(23,20),-0.836223 # DEPENDENCYPART_ARC
(23,21),-0.767502 # DEPENDENCYPART_ARC
(23,22),1.90096 # DEPENDENCYPART_ARC
(23,24),3.66824 # DEPENDENCYPART_ARC
(23,25),0.47098 # DEPENDENCYPART_ARC
(24,1),-4.33898 # DEPENDENCYPART_ARC
(24,2),-0.835049 # DEPENDENCYPART_ARC
(24,3),-3.0342 # DEPENDENCYPART_ARC
(24,4),-1.51228 # DEPENDENCYPART_ARC
(24,5),-1.38232 # DEPENDENCYPART_ARC
(24,6),-2.33352 # DEPENDENCYPART_ARC
(24,7),-1.59738 # DEPENDENCYPART_ARC
(24,8),-1.54342 # DEPENDENCYPART_ARC
(24,9),-2.20184 # DEPENDENCYPART_ARC
(24,10),-1.97418 # DEPENDENCYPART_ARC
(24,11),-0.771853 # DEPENDENCYPART_ARC
(24,12),-2.16144 # DEPENDENCYPART_ARC
(24,13),-0.0252767 # DEPENDENCYPART_ARC
(24,14),-1.78073 # DEPENDENCYPART_ARC
(24,15),-1.34991 # DEPENDENCYPART_ARC
(24,16),-1.08708 # DEPENDENCYPART_ARC
(24,17),0.844735 # DEPENDENCYPART_ARC
(24,18),-0.081504 # DEPENDENCYPART_ARC
(24,19),-0.733505 # DEPENDENCYPART_ARC
(24,20),-0.893432 # DEPENDENCYPART_ARC
(24,21),-0.201362 # DEPENDENCYPART_ARC
(24,22),0.698357 # DEPENDENCYPART_ARC
(24,23),2.69762 # DEPENDENCYPART_ARC
(24,25),0.17228 # DEPENDENCYPART_ARC
(25,1),-3.69533 # DEPENDENCYPART_ARC
(25,2),-2.84187 # DEPENDENCYPART_ARC
(25,3),-2.6783 # DEPENDENCYPART_ARC
(25,4),-2.05073 # DEPENDENCYPART_ARC
(25,5),-2.30064 # DEPENDENCYPART_ARC
(25,6),-2.94375 # DEPENDENCYPART_ARC
(25,7),-2.60478 # DEPENDENCYPART_ARC
(25,8),-2.54308 # DEPENDENCYPART_ARC
(25,9),-2.17954 # DEPENDENCYPART_ARC
(25,10),-1.4166 # DEPENDENCYPART_ARC
(25,11),-1.21435 # DEPENDENCYPART_ARC
(25,12),-1.619 # DEPENDENCYPART_ARC
(25,13),-1.58912 # DEPENDENCYPART_ARC
(25,14),-1.86083 # DEPENDENCYPART_ARC
(25,15),-1.11914 # DEPENDENCYPART_ARC
(25,16),-1.38985 # DEPENDENCYPART_ARC
(25,17),-1.14842 # DEPENDENCYPART_ARC
(25,18),-1.49711 # DEPENDENCYPART_ARC
(25,19),-1.27171 # DEPENDENCYPART_ARC
(25,20),-1.60189 # DEPENDENCYPART_ARC
(25,21),-1.05259 # DEPENDENCYPART_ARC
(25,22),-0.932695 # DEPENDENCYPART_ARC
(25,23),-1.14093 # DEPENDENCYPART_ARC
(25,24),-0.934176 # DEPENDENCYPART_ARC
