# _root_ Dr. Novello , an expert on pediatric kidney diseases , is deputy director of the National Institute of Child Health and Human Development .
#goldHeads=2,11,2,5,2,5,9,9,6,2,0,13,11,13,17,17,14,17,20,18,20,23,21,11,
#predictedHeads=2,11,2,5,2,5,9,9,6,2,0,13,11,13,17,17,14,17,20,18,20,23,21,11,
(22,5),-6.44989 # DEPENDENCYPART_ARC
(22,6),-5.50932 # DEPENDENCYPART_ARC
(22,7),-4.11908 # DEPENDENCYPART_ARC
(22,8),-5.26116 # DEPENDENCYPART_ARC
(22,9),-4.91791 # DEPENDENCYPART_ARC
(22,10),-5.06506 # DEPENDENCYPART_ARC
(22,11),-5.06176 # DEPENDENCYPART_ARC
(22,12),-2.93835 # DEPENDENCYPART_ARC
(22,13),-4.69294 # DEPENDENCYPART_ARC
(22,14),-3.96289 # DEPENDENCYPART_ARC
(22,15),-1.76024 # DEPENDENCYPART_ARC
(22,16),-2.59832 # DEPENDENCYPART_ARC
(22,17),-2.84895 # DEPENDENCYPART_ARC
(22,18),-2.80485 # DEPENDENCYPART_ARC
(22,19),-0.779874 # DEPENDENCYPART_ARC
(22,20),-1.47462 # DEPENDENCYPART_ARC
(22,21),-1.32987 # DEPENDENCYPART_ARC
(22,23),2.09218 # DEPENDENCYPART_ARC
(22,24),-0.362694 # DEPENDENCYPART_ARC
(23,1),-3.76163 # DEPENDENCYPART_ARC
(23,2),-5.99837 # DEPENDENCYPART_ARC
(23,3),-2.71767 # DEPENDENCYPART_ARC
(23,4),-2.57878 # DEPENDENCYPART_ARC
(23,5),-3.78158 # DEPENDENCYPART_ARC
(23,6),-3.1105 # DEPENDENCYPART_ARC
(23,7),-1.29564 # DEPENDENCYPART_ARC
(23,8),-2.10015 # DEPENDENCYPART_ARC
(23,9),-2.63577 # DEPENDENCYPART_ARC
(23,10),-2.5517 # DEPENDENCYPART_ARC
(23,11),-2.86451 # DEPENDENCYPART_ARC
(23,12),-0.304007 # DEPENDENCYPART_ARC
(23,13),-1.91818 # DEPENDENCYPART_ARC
(23,14),-1.38664 # DEPENDENCYPART_ARC
(23,15),1.49365 # DEPENDENCYPART_ARC
(23,16),1.4065 # DEPENDENCYPART_ARC
(23,17),0.394849 # DEPENDENCYPART_ARC
(23,18),0.0405507 # DEPENDENCYPART_ARC
(23,19),2.70209 # DEPENDENCYPART_ARC
(23,20),1.34344 # DEPENDENCYPART_ARC
(23,21),0.380201 # DEPENDENCYPART_ARC
(23,22),4.5436 # DEPENDENCYPART_ARC
(23,24),0.710951 # DEPENDENCYPART_ARC
(24,1),-2.60986 # DEPENDENCYPART_ARC
(24,2),-2.8968 # DEPENDENCYPART_ARC
(24,3),-1.77765 # DEPENDENCYPART_ARC
(24,4),-2.36532 # DEPENDENCYPART_ARC
(24,5),-2.39134 # DEPENDENCYPART_ARC
(24,6),-2.20656 # DEPENDENCYPART_ARC
(24,7),-2.46019 # DEPENDENCYPART_ARC
(24,8),-2.00109 # DEPENDENCYPART_ARC
(24,9),-2.24804 # DEPENDENCYPART_ARC
(24,10),-1.54775 # DEPENDENCYPART_ARC
(24,11),-1.56194 # DEPENDENCYPART_ARC
(24,12),-1.94346 # DEPENDENCYPART_ARC
(24,13),-1.50213 # DEPENDENCYPART_ARC
(24,14),-1.33245 # DEPENDENCYPART_ARC
(24,15),-1.07108 # DEPENDENCYPART_ARC
(24,16),-1.18479 # DEPENDENCYPART_ARC
(24,17),-1.24139 # DEPENDENCYPART_ARC
(24,18),-0.855934 # DEPENDENCYPART_ARC
(24,19),-1.30103 # DEPENDENCYPART_ARC
(24,20),-1.29605 # DEPENDENCYPART_ARC
(24,21),-0.739818 # DEPENDENCYPART_ARC
(24,22),-1.21903 # DEPENDENCYPART_ARC
(24,23),-1.13808 # DEPENDENCYPART_ARC
