# _root_ In Merrill Lynch & Co. 's Tokyo trading room , some 40 traders and assistants sat quietly , with few orders to process .
#goldHeads=16,3,9,3,4,5,9,9,1,16,13,11,16,13,14,0,16,16,16,21,19,21,22,16,
#predictedHeads=16,3,1,3,4,5,9,9,4,16,13,11,16,13,14,0,16,16,16,21,19,21,22,16,
(22,5),-1.6176 # DEPENDENCYPART_ARC
(22,6),-1.65609 # DEPENDENCYPART_ARC
(22,7),-1.52464 # DEPENDENCYPART_ARC
(22,8),-1.72465 # DEPENDENCYPART_ARC
(22,9),-1.76027 # DEPENDENCYPART_ARC
(22,10),-1.13593 # DEPENDENCYPART_ARC
(22,11),-1.46103 # DEPENDENCYPART_ARC
(22,12),-0.470642 # DEPENDENCYPART_ARC
(22,13),-0.708665 # DEPENDENCYPART_ARC
(22,14),-1.18205 # DEPENDENCYPART_ARC
(22,15),-1.06599 # DEPENDENCYPART_ARC
(22,16),-0.673612 # DEPENDENCYPART_ARC
(22,17),-0.737005 # DEPENDENCYPART_ARC
(22,18),0.0525534 # DEPENDENCYPART_ARC
(22,19),-0.0124707 # DEPENDENCYPART_ARC
(22,20),0.1462 # DEPENDENCYPART_ARC
(22,21),0.269599 # DEPENDENCYPART_ARC
(22,23),3.52196 # DEPENDENCYPART_ARC
(22,24),0.140309 # DEPENDENCYPART_ARC
(23,1),-3.84029 # DEPENDENCYPART_ARC
(23,2),-4.70602 # DEPENDENCYPART_ARC
(23,3),-5.39115 # DEPENDENCYPART_ARC
(23,4),-2.06576 # DEPENDENCYPART_ARC
(23,5),-3.43131 # DEPENDENCYPART_ARC
(23,6),-1.70291 # DEPENDENCYPART_ARC
(23,7),-4.61468 # DEPENDENCYPART_ARC
(23,8),-3.35852 # DEPENDENCYPART_ARC
(23,9),-4.39969 # DEPENDENCYPART_ARC
(23,10),-1.38607 # DEPENDENCYPART_ARC
(23,11),-1.26584 # DEPENDENCYPART_ARC
(23,12),-1.90014 # DEPENDENCYPART_ARC
(23,13),-1.49549 # DEPENDENCYPART_ARC
(23,14),-1.28289 # DEPENDENCYPART_ARC
(23,15),-1.0433 # DEPENDENCYPART_ARC
(23,16),-0.684645 # DEPENDENCYPART_ARC
(23,17),-1.60488 # DEPENDENCYPART_ARC
(23,18),-0.126707 # DEPENDENCYPART_ARC
(23,19),0.094499 # DEPENDENCYPART_ARC
(23,20),1.52718 # DEPENDENCYPART_ARC
(23,21),0.92791 # DEPENDENCYPART_ARC
(23,22),1.06743 # DEPENDENCYPART_ARC
(23,24),-0.0145033 # DEPENDENCYPART_ARC
(24,1),-3.37933 # DEPENDENCYPART_ARC
(24,2),-2.8316 # DEPENDENCYPART_ARC
(24,3),-2.97664 # DEPENDENCYPART_ARC
(24,4),-2.32443 # DEPENDENCYPART_ARC
(24,5),-2.54885 # DEPENDENCYPART_ARC
(24,6),-2.48424 # DEPENDENCYPART_ARC
(24,7),-2.30605 # DEPENDENCYPART_ARC
(24,8),-2.27615 # DEPENDENCYPART_ARC
(24,9),-2.22441 # DEPENDENCYPART_ARC
(24,10),-0.648754 # DEPENDENCYPART_ARC
(24,11),-1.61387 # DEPENDENCYPART_ARC
(24,12),-2.08836 # DEPENDENCYPART_ARC
(24,13),-1.68713 # DEPENDENCYPART_ARC
(24,14),-1.65955 # DEPENDENCYPART_ARC
(24,15),-1.43129 # DEPENDENCYPART_ARC
(24,16),-0.789716 # DEPENDENCYPART_ARC
(24,17),-1.01722 # DEPENDENCYPART_ARC
(24,18),-0.125252 # DEPENDENCYPART_ARC
(24,19),-1.53665 # DEPENDENCYPART_ARC
(24,20),-1.24582 # DEPENDENCYPART_ARC
(24,21),-1.08173 # DEPENDENCYPART_ARC
(24,22),-1.07532 # DEPENDENCYPART_ARC
(24,23),-1.3917 # DEPENDENCYPART_ARC
