# _root_ The multibillion-dollar prospects , where the bidder must line up a consortium of banks and / or issue billions in high-yield debt , were where the damage was concentrated .
#goldHeads=3,3,24,3,9,7,8,3,8,9,12,9,12,13,9,15,15,15,18,19,22,20,3,0,29,27,28,24,28,24,
#predictedHeads=3,3,24,3,9,7,8,3,8,9,12,9,12,13,9,15,16,19,24,12,22,20,24,0,29,27,28,24,28,24,
(17,15),-1.24168 # DEPENDENCYPART_ARC
(17,16),-0.515424 # DEPENDENCYPART_ARC
(17,18),1.65655 # DEPENDENCYPART_ARC
(17,19),1.58845 # DEPENDENCYPART_ARC
(17,20),-0.456268 # DEPENDENCYPART_ARC
(17,21),-0.603198 # DEPENDENCYPART_ARC
(17,22),-0.177967 # DEPENDENCYPART_ARC
(17,23),-1.07063 # DEPENDENCYPART_ARC
(17,24),-0.582071 # DEPENDENCYPART_ARC
(17,25),-1.65718 # DEPENDENCYPART_ARC
(17,26),-2.0302 # DEPENDENCYPART_ARC
(17,27),-2.68692 # DEPENDENCYPART_ARC
(17,28),-2.34072 # DEPENDENCYPART_ARC
(17,29),-0.870647 # DEPENDENCYPART_ARC
(17,30),-1.27465 # DEPENDENCYPART_ARC
(18,1),-6.88577 # DEPENDENCYPART_ARC
(18,2),-4.0191 # DEPENDENCYPART_ARC
(18,3),-4.32781 # DEPENDENCYPART_ARC
(18,4),-4.4614 # DEPENDENCYPART_ARC
(18,5),-3.11195 # DEPENDENCYPART_ARC
(18,6),-5.10309 # DEPENDENCYPART_ARC
(18,7),-3.9718 # DEPENDENCYPART_ARC
(18,8),-2.85163 # DEPENDENCYPART_ARC
(18,9),-2.62071 # DEPENDENCYPART_ARC
(18,10),-2.71367 # DEPENDENCYPART_ARC
(18,11),-1.36393 # DEPENDENCYPART_ARC
(18,12),-2.26606 # DEPENDENCYPART_ARC
(18,13),-1.66352 # DEPENDENCYPART_ARC
(18,14),-1.78234 # DEPENDENCYPART_ARC
(18,15),-1.52815 # DEPENDENCYPART_ARC
(18,16),-0.448175 # DEPENDENCYPART_ARC
(18,17),0.63951 # DEPENDENCYPART_ARC
(18,19),1.8874 # DEPENDENCYPART_ARC
(18,20),-0.278773 # DEPENDENCYPART_ARC
(18,21),-0.132228 # DEPENDENCYPART_ARC
(18,22),-0.0777575 # DEPENDENCYPART_ARC
(18,23),0.397868 # DEPENDENCYPART_ARC
(18,24),-0.481749 # DEPENDENCYPART_ARC
(18,25),-1.91867 # DEPENDENCYPART_ARC
(18,26),-1.40132 # DEPENDENCYPART_ARC
(18,27),-1.77976 # DEPENDENCYPART_ARC
(18,28),-1.18415 # DEPENDENCYPART_ARC
(18,29),-1.62584 # DEPENDENCYPART_ARC
(18,30),-0.419732 # DEPENDENCYPART_ARC
(19,1),-2.83707 # DEPENDENCYPART_ARC
(19,2),-2.40383 # DEPENDENCYPART_ARC
(19,3),-3.57236 # DEPENDENCYPART_ARC
(19,4),-2.82345 # DEPENDENCYPART_ARC
(19,5),-0.771412 # DEPENDENCYPART_ARC
(19,6),-2.2925 # DEPENDENCYPART_ARC
(19,7),-1.50672 # DEPENDENCYPART_ARC
(19,8),-1.4548 # DEPENDENCYPART_ARC
(19,9),-0.541606 # DEPENDENCYPART_ARC
(19,10),-1.03683 # DEPENDENCYPART_ARC
(19,11),-0.622723 # DEPENDENCYPART_ARC
(19,12),-0.187573 # DEPENDENCYPART_ARC
(19,13),-0.435099 # DEPENDENCYPART_ARC
(19,14),-0.015746 # DEPENDENCYPART_ARC
(19,15),-0.389907 # DEPENDENCYPART_ARC
(19,16),0.242316 # DEPENDENCYPART_ARC
(19,17),0.83231 # DEPENDENCYPART_ARC
(19,18),4.19626 # DEPENDENCYPART_ARC
(19,20),1.65899 # DEPENDENCYPART_ARC
(19,21),0.248128 # DEPENDENCYPART_ARC
(19,22),0.239677 # DEPENDENCYPART_ARC
(19,23),0.511898 # DEPENDENCYPART_ARC
(19,24),0.0681269 # DEPENDENCYPART_ARC
(19,25),-1.31755 # DEPENDENCYPART_ARC
(19,26),-1.20131 # DEPENDENCYPART_ARC
(19,27),-0.95554 # DEPENDENCYPART_ARC
(19,28),-1.09858 # DEPENDENCYPART_ARC
(19,29),-1.39318 # DEPENDENCYPART_ARC
(19,30),-0.401263 # DEPENDENCYPART_ARC
(20,1),-2.62222 # DEPENDENCYPART_ARC
(20,2),-2.20854 # DEPENDENCYPART_ARC
(20,3),-1.52465 # DEPENDENCYPART_ARC
(20,4),-1.90992 # DEPENDENCYPART_ARC
(20,5),-0.532395 # DEPENDENCYPART_ARC
(20,6),-1.99441 # DEPENDENCYPART_ARC
(20,7),-1.77447 # DEPENDENCYPART_ARC
(20,8),-2.3345 # DEPENDENCYPART_ARC
(20,9),-1.71687 # DEPENDENCYPART_ARC
(20,10),-1.34454 # DEPENDENCYPART_ARC
(20,11),-1.07954 # DEPENDENCYPART_ARC
(20,12),-0.642654 # DEPENDENCYPART_ARC
(20,13),-1.18079 # DEPENDENCYPART_ARC
(20,14),-0.0357868 # DEPENDENCYPART_ARC
(20,15),-1.07797 # DEPENDENCYPART_ARC
(20,16),-0.813121 # DEPENDENCYPART_ARC
(20,17),-0.61298 # DEPENDENCYPART_ARC
(20,18),-0.391399 # DEPENDENCYPART_ARC
(20,19),0.282429 # DEPENDENCYPART_ARC
(20,21),1.49133 # DEPENDENCYPART_ARC
(20,22),4.6688 # DEPENDENCYPART_ARC
(20,23),1.05265 # DEPENDENCYPART_ARC
(20,24),-0.154234 # DEPENDENCYPART_ARC
(20,25),-0.626917 # DEPENDENCYPART_ARC
(20,26),-1.6926 # DEPENDENCYPART_ARC
(20,27),-1.69181 # DEPENDENCYPART_ARC
(20,28),-1.69345 # DEPENDENCYPART_ARC
(20,29),-0.749365 # DEPENDENCYPART_ARC
(20,30),0.785691 # DEPENDENCYPART_ARC
(21,1),-3.39258 # DEPENDENCYPART_ARC
(21,2),-3.09762 # DEPENDENCYPART_ARC
(21,3),-3.70871 # DEPENDENCYPART_ARC
(21,4),-3.13768 # DEPENDENCYPART_ARC
(21,5),-2.93707 # DEPENDENCYPART_ARC
(21,6),-2.66433 # DEPENDENCYPART_ARC
(21,7),-2.71071 # DEPENDENCYPART_ARC
(21,8),-3.33211 # DEPENDENCYPART_ARC
(21,9),-2.83282 # DEPENDENCYPART_ARC
(21,10),-2.62988 # DEPENDENCYPART_ARC
(21,11),-1.29839 # DEPENDENCYPART_ARC
(21,12),-2.02733 # DEPENDENCYPART_ARC
(21,13),-2.16695 # DEPENDENCYPART_ARC
(21,14),-2.15766 # DEPENDENCYPART_ARC
(21,15),-2.48159 # DEPENDENCYPART_ARC
(21,16),-2.12102 # DEPENDENCYPART_ARC
(21,17),-1.96485 # DEPENDENCYPART_ARC
(21,18),-0.977607 # DEPENDENCYPART_ARC
(21,19),-1.03036 # DEPENDENCYPART_ARC
(21,20),-0.287614 # DEPENDENCYPART_ARC
(21,22),1.24829 # DEPENDENCYPART_ARC
(21,23),-0.323999 # DEPENDENCYPART_ARC
(21,24),-0.361837 # DEPENDENCYPART_ARC
(21,25),-1.39583 # DEPENDENCYPART_ARC
(21,26),-1.53967 # DEPENDENCYPART_ARC
(21,27),-1.23674 # DEPENDENCYPART_ARC
(21,28),-0.6174 # DEPENDENCYPART_ARC
(21,29),-1.12432 # DEPENDENCYPART_ARC
(21,30),-0.903907 # DEPENDENCYPART_ARC
(22,1),-7.04387 # DEPENDENCYPART_ARC
(22,2),-3.56466 # DEPENDENCYPART_ARC
(22,3),-3.42156 # DEPENDENCYPART_ARC
(22,4),-4.28811 # DEPENDENCYPART_ARC
(22,5),-2.16329 # DEPENDENCYPART_ARC
(22,6),-5.20689 # DEPENDENCYPART_ARC
(22,7),-2.99466 # DEPENDENCYPART_ARC
(22,8),-2.22902 # DEPENDENCYPART_ARC
(22,9),-1.91609 # DEPENDENCYPART_ARC
(22,10),-2.0681 # DEPENDENCYPART_ARC
(22,11),-1.27444 # DEPENDENCYPART_ARC
(22,12),-1.56687 # DEPENDENCYPART_ARC
(22,13),-1.92919 # DEPENDENCYPART_ARC
(22,14),-1.05752 # DEPENDENCYPART_ARC
(22,15),-1.55371 # DEPENDENCYPART_ARC
(22,16),-1.06287 # DEPENDENCYPART_ARC
(22,17),-0.442312 # DEPENDENCYPART_ARC
(22,18),1.44144 # DEPENDENCYPART_ARC
(22,19),0.00690485 # DEPENDENCYPART_ARC
(22,20),0.855107 # DEPENDENCYPART_ARC
(22,21),4.21538 # DEPENDENCYPART_ARC
(22,23),0.864397 # DEPENDENCYPART_ARC
(22,24),-0.0356675 # DEPENDENCYPART_ARC
(22,25),-1.73967 # DEPENDENCYPART_ARC
(22,26),-1.40874 # DEPENDENCYPART_ARC
(22,27),-1.8679 # DEPENDENCYPART_ARC
(22,28),-0.735039 # DEPENDENCYPART_ARC
(22,29),-1.32162 # DEPENDENCYPART_ARC
(22,30),-0.678531 # DEPENDENCYPART_ARC
(23,1),-2.85199 # DEPENDENCYPART_ARC
(23,2),-3.17653 # DEPENDENCYPART_ARC
(23,3),-2.6241 # DEPENDENCYPART_ARC
(23,4),-0.605577 # DEPENDENCYPART_ARC
(23,5),-1.89815 # DEPENDENCYPART_ARC
(23,6),-2.32451 # DEPENDENCYPART_ARC
(23,7),-2.2219 # DEPENDENCYPART_ARC
(23,8),-2.53665 # DEPENDENCYPART_ARC
(23,9),-2.28911 # DEPENDENCYPART_ARC
(23,10),-2.15017 # DEPENDENCYPART_ARC
(23,11),-1.81905 # DEPENDENCYPART_ARC
(23,12),-1.90342 # DEPENDENCYPART_ARC
(23,13),-1.71497 # DEPENDENCYPART_ARC
(23,14),-1.72052 # DEPENDENCYPART_ARC
(23,15),-1.92094 # DEPENDENCYPART_ARC
(23,16),-1.76607 # DEPENDENCYPART_ARC
(23,17),-1.62479 # DEPENDENCYPART_ARC
(23,18),-1.22823 # DEPENDENCYPART_ARC
(23,19),-1.15644 # DEPENDENCYPART_ARC
(23,20),-0.853116 # DEPENDENCYPART_ARC
(23,21),-0.979613 # DEPENDENCYPART_ARC
(23,22),-0.696171 # DEPENDENCYPART_ARC
(23,24),-0.303584 # DEPENDENCYPART_ARC
(23,25),-1.86021 # DEPENDENCYPART_ARC
(23,26),-1.88788 # DEPENDENCYPART_ARC
(23,27),-2.15408 # DEPENDENCYPART_ARC
(23,28),-1.74872 # DEPENDENCYPART_ARC
(23,29),-2.158 # DEPENDENCYPART_ARC
(23,30),-1.84277 # DEPENDENCYPART_ARC
(24,1),-2.06823 # DEPENDENCYPART_ARC
(24,2),-0.233243 # DEPENDENCYPART_ARC
(24,3),0.193342 # DEPENDENCYPART_ARC
(24,4),-0.613374 # DEPENDENCYPART_ARC
(24,5),1.44256 # DEPENDENCYPART_ARC
(24,6),-0.976905 # DEPENDENCYPART_ARC
(24,7),1.01841 # DEPENDENCYPART_ARC
(24,8),-0.611547 # DEPENDENCYPART_ARC
(24,9),0.0390096 # DEPENDENCYPART_ARC
(24,10),-0.797949 # DEPENDENCYPART_ARC
(24,11),0.424175 # DEPENDENCYPART_ARC
(24,12),1.39201 # DEPENDENCYPART_ARC
(24,13),-1.10621 # DEPENDENCYPART_ARC
(24,14),1.92616 # DEPENDENCYPART_ARC
(24,15),-0.65385 # DEPENDENCYPART_ARC
(24,16),-0.0775231 # DEPENDENCYPART_ARC
(24,17),-0.0309113 # DEPENDENCYPART_ARC
(24,18),1.13901 # DEPENDENCYPART_ARC
(24,19),2.19691 # DEPENDENCYPART_ARC
(24,20),0.822752 # DEPENDENCYPART_ARC
(24,21),1.59629 # DEPENDENCYPART_ARC
(24,22),1.24446 # DEPENDENCYPART_ARC
(24,23),2.1398 # DEPENDENCYPART_ARC
(24,25),1.86614 # DEPENDENCYPART_ARC
(24,26),1.46391 # DEPENDENCYPART_ARC
(24,27),1.41951 # DEPENDENCYPART_ARC
(24,28),2.99762 # DEPENDENCYPART_ARC
(24,29),2.33081 # DEPENDENCYPART_ARC
(24,30),6.77361 # DEPENDENCYPART_ARC
(25,1),-3.38674 # DEPENDENCYPART_ARC
(25,2),-3.55729 # DEPENDENCYPART_ARC
(25,3),-3.67408 # DEPENDENCYPART_ARC
(25,4),-2.73275 # DEPENDENCYPART_ARC
(25,5),-2.49526 # DEPENDENCYPART_ARC
(25,6),-2.78276 # DEPENDENCYPART_ARC
(25,7),-3.26534 # DEPENDENCYPART_ARC
(25,8),-2.9468 # DEPENDENCYPART_ARC
(25,9),-2.78363 # DEPENDENCYPART_ARC
(25,10),-2.66631 # DEPENDENCYPART_ARC
(25,11),-2.29222 # DEPENDENCYPART_ARC
(25,12),-2.76333 # DEPENDENCYPART_ARC
(25,13),-1.39908 # DEPENDENCYPART_ARC
(25,14),-2.45511 # DEPENDENCYPART_ARC
(25,15),-2.29794 # DEPENDENCYPART_ARC
(25,16),-2.21188 # DEPENDENCYPART_ARC
(25,17),-2.1225 # DEPENDENCYPART_ARC
(25,18),-1.9768 # DEPENDENCYPART_ARC
(25,19),-1.81585 # DEPENDENCYPART_ARC
(25,20),-0.724574 # DEPENDENCYPART_ARC
(25,21),-1.10109 # DEPENDENCYPART_ARC
(25,22),-1.03326 # DEPENDENCYPART_ARC
(25,23),-0.348259 # DEPENDENCYPART_ARC
(25,24),-0.383502 # DEPENDENCYPART_ARC
(25,26),0.407149 # DEPENDENCYPART_ARC
(25,27),0.786653 # DEPENDENCYPART_ARC
(25,28),0.03891 # DEPENDENCYPART_ARC
(25,29),-0.468117 # DEPENDENCYPART_ARC
(25,30),0.0591779 # DEPENDENCYPART_ARC
(26,1),-4.33331 # DEPENDENCYPART_ARC
(26,2),-4.66604 # DEPENDENCYPART_ARC
(26,3),-4.84393 # DEPENDENCYPART_ARC
(26,4),-4.08461 # DEPENDENCYPART_ARC
(26,5),-3.62955 # DEPENDENCYPART_ARC
(26,6),-3.8216 # DEPENDENCYPART_ARC
(26,7),-4.50163 # DEPENDENCYPART_ARC
(26,8),-4.07287 # DEPENDENCYPART_ARC
(26,9),-3.57722 # DEPENDENCYPART_ARC
(26,10),-3.7099 # DEPENDENCYPART_ARC
(26,11),-3.33556 # DEPENDENCYPART_ARC
(26,12),-4.02086 # DEPENDENCYPART_ARC
(26,13),-3.12409 # DEPENDENCYPART_ARC
(26,14),-3.49491 # DEPENDENCYPART_ARC
(26,15),-3.53489 # DEPENDENCYPART_ARC
(26,16),-3.45833 # DEPENDENCYPART_ARC
(26,17),-3.37474 # DEPENDENCYPART_ARC
(26,18),-3.20234 # DEPENDENCYPART_ARC
(26,19),-2.86568 # DEPENDENCYPART_ARC
(26,20),-2.2245 # DEPENDENCYPART_ARC
(26,21),-2.28159 # DEPENDENCYPART_ARC
(26,22),-2.42328 # DEPENDENCYPART_ARC
(26,23),-1.66976 # DEPENDENCYPART_ARC
(26,24),-1.84864 # DEPENDENCYPART_ARC
(26,25),-0.13234 # DEPENDENCYPART_ARC
(26,27),-0.434322 # DEPENDENCYPART_ARC
(26,28),-0.649514 # DEPENDENCYPART_ARC
(26,29),-1.45936 # DEPENDENCYPART_ARC
(26,30),-1.79204 # DEPENDENCYPART_ARC
(27,1),-9.60437 # DEPENDENCYPART_ARC
(27,2),-5.60245 # DEPENDENCYPART_ARC
(27,3),-5.50831 # DEPENDENCYPART_ARC
(27,4),-5.14692 # DEPENDENCYPART_ARC
(27,5),-4.08243 # DEPENDENCYPART_ARC
(27,6),-7.86307 # DEPENDENCYPART_ARC
(27,7),-6.39413 # DEPENDENCYPART_ARC
(27,8),-3.59781 # DEPENDENCYPART_ARC
(27,9),-3.6685 # DEPENDENCYPART_ARC
(27,10),-3.65996 # DEPENDENCYPART_ARC
(27,11),-3.70917 # DEPENDENCYPART_ARC
(27,12),-5.04822 # DEPENDENCYPART_ARC
(27,13),-3.15505 # DEPENDENCYPART_ARC
(27,14),-3.49233 # DEPENDENCYPART_ARC
(27,15),-2.53682 # DEPENDENCYPART_ARC
(27,16),-2.19011 # DEPENDENCYPART_ARC
(27,17),-1.68004 # DEPENDENCYPART_ARC
(27,18),-2.51928 # DEPENDENCYPART_ARC
(27,19),-2.57294 # DEPENDENCYPART_ARC
(27,20),-1.22946 # DEPENDENCYPART_ARC
(27,21),-0.465286 # DEPENDENCYPART_ARC
(27,22),-2.12183 # DEPENDENCYPART_ARC
(27,23),-0.618567 # DEPENDENCYPART_ARC
(27,24),-0.554481 # DEPENDENCYPART_ARC
(27,25),0.602633 # DEPENDENCYPART_ARC
(27,26),3.67578 # DEPENDENCYPART_ARC
(27,28),1.04975 # DEPENDENCYPART_ARC
(27,29),0.708168 # DEPENDENCYPART_ARC
(27,30),0.130793 # DEPENDENCYPART_ARC
(28,1),-3.36783 # DEPENDENCYPART_ARC
(28,2),-1.50352 # DEPENDENCYPART_ARC
(28,3),-3.63257 # DEPENDENCYPART_ARC
(28,4),-3.23949 # DEPENDENCYPART_ARC
(28,5),0.334847 # DEPENDENCYPART_ARC
(28,6),-2.41942 # DEPENDENCYPART_ARC
(28,7),-1.06352 # DEPENDENCYPART_ARC
(28,8),-0.969923 # DEPENDENCYPART_ARC
(28,9),-0.38679 # DEPENDENCYPART_ARC
(28,10),-1.62527 # DEPENDENCYPART_ARC
(28,11),-1.22561 # DEPENDENCYPART_ARC
(28,12),-0.310307 # DEPENDENCYPART_ARC
(28,13),-2.38522 # DEPENDENCYPART_ARC
(28,14),-0.913286 # DEPENDENCYPART_ARC
(28,15),-1.18603 # DEPENDENCYPART_ARC
(28,16),-0.703022 # DEPENDENCYPART_ARC
(28,17),-0.906814 # DEPENDENCYPART_ARC
(28,18),0.431422 # DEPENDENCYPART_ARC
(28,19),-0.603476 # DEPENDENCYPART_ARC
(28,20),-0.334988 # DEPENDENCYPART_ARC
(28,21),0.396658 # DEPENDENCYPART_ARC
(28,22),-0.32423 # DEPENDENCYPART_ARC
(28,23),0.20194 # DEPENDENCYPART_ARC
(28,24),0.18424 # DEPENDENCYPART_ARC
(28,25),2.71543 # DEPENDENCYPART_ARC
(28,26),0.881281 # DEPENDENCYPART_ARC
(28,27),3.08277 # DEPENDENCYPART_ARC
(28,29),3.25752 # DEPENDENCYPART_ARC
(28,30),3.4861 # DEPENDENCYPART_ARC
(29,1),-1.62818 # DEPENDENCYPART_ARC
(29,2),-1.0504 # DEPENDENCYPART_ARC
(29,3),-1.87524 # DEPENDENCYPART_ARC
(29,4),-1.05921 # DEPENDENCYPART_ARC
(29,5),1.69071 # DEPENDENCYPART_ARC
(29,6),-1.28897 # DEPENDENCYPART_ARC
(29,7),-1.48728 # DEPENDENCYPART_ARC
(29,8),-1.30115 # DEPENDENCYPART_ARC
(29,9),-1.81284 # DEPENDENCYPART_ARC
(29,10),-1.19656 # DEPENDENCYPART_ARC
(29,11),-0.792454 # DEPENDENCYPART_ARC
(29,12),-0.814566 # DEPENDENCYPART_ARC
(29,13),-0.107803 # DEPENDENCYPART_ARC
(29,14),-0.564494 # DEPENDENCYPART_ARC
(29,15),-1.26152 # DEPENDENCYPART_ARC
(29,16),-0.783231 # DEPENDENCYPART_ARC
(29,17),-0.684921 # DEPENDENCYPART_ARC
(29,18),-0.40609 # DEPENDENCYPART_ARC
(29,19),-0.273257 # DEPENDENCYPART_ARC
(29,20),0.391173 # DEPENDENCYPART_ARC
(29,21),0.389943 # DEPENDENCYPART_ARC
(29,22),-0.483878 # DEPENDENCYPART_ARC
(29,23),0.299923 # DEPENDENCYPART_ARC
(29,24),-0.0855917 # DEPENDENCYPART_ARC
(29,25),4.36723 # DEPENDENCYPART_ARC
(29,26),1.42082 # DEPENDENCYPART_ARC
(29,27),1.09268 # DEPENDENCYPART_ARC
(29,28),1.12836 # DEPENDENCYPART_ARC
(29,30),0.421514 # DEPENDENCYPART_ARC
(30,1),-3.38574 # DEPENDENCYPART_ARC
(30,2),-3.82049 # DEPENDENCYPART_ARC
(30,3),-3.32314 # DEPENDENCYPART_ARC
(30,4),-2.29518 # DEPENDENCYPART_ARC
(30,5),-2.72109 # DEPENDENCYPART_ARC
(30,6),-3.02188 # DEPENDENCYPART_ARC
(30,7),-2.91206 # DEPENDENCYPART_ARC
(30,8),-2.57993 # DEPENDENCYPART_ARC
(30,9),-2.81844 # DEPENDENCYPART_ARC
(30,10),-2.69674 # DEPENDENCYPART_ARC
(30,11),-2.69424 # DEPENDENCYPART_ARC
(30,12),-2.38594 # DEPENDENCYPART_ARC
(30,13),-2.69605 # DEPENDENCYPART_ARC
(30,14),-2.43949 # DEPENDENCYPART_ARC
(30,15),-2.41356 # DEPENDENCYPART_ARC
(30,16),-2.07908 # DEPENDENCYPART_ARC
(30,17),-1.89073 # DEPENDENCYPART_ARC
(30,18),-1.88452 # DEPENDENCYPART_ARC
(30,19),-1.93905 # DEPENDENCYPART_ARC
(30,20),-1.9505 # DEPENDENCYPART_ARC
(30,21),-1.82702 # DEPENDENCYPART_ARC
(30,22),-1.48355 # DEPENDENCYPART_ARC
(30,23),-0.475804 # DEPENDENCYPART_ARC
(30,24),-0.873248 # DEPENDENCYPART_ARC
(30,25),-0.749471 # DEPENDENCYPART_ARC
(30,26),-0.81057 # DEPENDENCYPART_ARC
(30,27),-1.223 # DEPENDENCYPART_ARC
(30,28),-1.38878 # DEPENDENCYPART_ARC
(30,29),-0.38327 # DEPENDENCYPART_ARC
