# _root_ The average discount rate was 7.42 % on new six-month bills , the lowest since the average of 7.35 % at the auction on July 31 , 1989 .
#goldHeads=4,4,4,5,0,7,5,7,11,11,8,7,14,7,14,17,15,17,20,18,20,23,21,23,24,25,25,25,5,
#predictedHeads=4,4,4,5,0,7,5,5,11,11,8,11,14,11,14,17,15,17,20,18,17,23,21,23,24,25,25,25,5,
(18,3),-3.3705 # DEPENDENCYPART_ARC
(18,4),-3.35667 # DEPENDENCYPART_ARC
(18,5),-2.52839 # DEPENDENCYPART_ARC
(18,6),-2.20801 # DEPENDENCYPART_ARC
(18,7),-2.91043 # DEPENDENCYPART_ARC
(18,8),-1.34475 # DEPENDENCYPART_ARC
(18,9),-1.75418 # DEPENDENCYPART_ARC
(18,10),-1.61779 # DEPENDENCYPART_ARC
(18,11),-1.92436 # DEPENDENCYPART_ARC
(18,12),-1.60363 # DEPENDENCYPART_ARC
(18,13),-1.20733 # DEPENDENCYPART_ARC
(18,14),-1.3518 # DEPENDENCYPART_ARC
(18,15),-0.381239 # DEPENDENCYPART_ARC
(18,16),-0.572759 # DEPENDENCYPART_ARC
(18,17),0.0362928 # DEPENDENCYPART_ARC
(18,19),1.85513 # DEPENDENCYPART_ARC
(18,20),3.13294 # DEPENDENCYPART_ARC
(18,21),1.44847 # DEPENDENCYPART_ARC
(18,22),-1.0348 # DEPENDENCYPART_ARC
(18,23),0.863818 # DEPENDENCYPART_ARC
(18,24),0.713069 # DEPENDENCYPART_ARC
(18,25),-1.21466 # DEPENDENCYPART_ARC
(18,26),-0.684742 # DEPENDENCYPART_ARC
(18,27),0.4307 # DEPENDENCYPART_ARC
(18,28),-0.56535 # DEPENDENCYPART_ARC
(18,29),-0.23062 # DEPENDENCYPART_ARC
(19,1),-2.0576 # DEPENDENCYPART_ARC
(19,2),-2.74062 # DEPENDENCYPART_ARC
(19,3),-3.64209 # DEPENDENCYPART_ARC
(19,4),-3.51672 # DEPENDENCYPART_ARC
(19,5),-3.09441 # DEPENDENCYPART_ARC
(19,6),-2.31699 # DEPENDENCYPART_ARC
(19,7),-3.16017 # DEPENDENCYPART_ARC
(19,8),-2.88756 # DEPENDENCYPART_ARC
(19,9),-1.81505 # DEPENDENCYPART_ARC
(19,10),-1.93236 # DEPENDENCYPART_ARC
(19,11),-2.31774 # DEPENDENCYPART_ARC
(19,12),-2.13232 # DEPENDENCYPART_ARC
(19,13),-0.8063 # DEPENDENCYPART_ARC
(19,14),-0.928982 # DEPENDENCYPART_ARC
(19,15),-1.02463 # DEPENDENCYPART_ARC
(19,16),-0.0169156 # DEPENDENCYPART_ARC
(19,17),-0.799482 # DEPENDENCYPART_ARC
(19,18),0.717221 # DEPENDENCYPART_ARC
(19,20),0.611613 # DEPENDENCYPART_ARC
(19,21),-0.673596 # DEPENDENCYPART_ARC
(19,22),-0.969569 # DEPENDENCYPART_ARC
(19,23),-0.661017 # DEPENDENCYPART_ARC
(19,24),-0.825061 # DEPENDENCYPART_ARC
(19,25),-0.898888 # DEPENDENCYPART_ARC
(19,26),-1.16648 # DEPENDENCYPART_ARC
(19,27),-0.580064 # DEPENDENCYPART_ARC
(19,28),-1.51752 # DEPENDENCYPART_ARC
(19,29),-0.74588 # DEPENDENCYPART_ARC
(20,1),-5.35949 # DEPENDENCYPART_ARC
(20,2),-3.27698 # DEPENDENCYPART_ARC
(20,3),-5.62407 # DEPENDENCYPART_ARC
(20,4),-7.71072 # DEPENDENCYPART_ARC
(20,5),-1.57699 # DEPENDENCYPART_ARC
(20,6),-2.16729 # DEPENDENCYPART_ARC
(20,7),-5.31987 # DEPENDENCYPART_ARC
(20,8),-1.16104 # DEPENDENCYPART_ARC
(20,9),-1.52598 # DEPENDENCYPART_ARC
(20,10),-1.68912 # DEPENDENCYPART_ARC
(20,11),-1.76834 # DEPENDENCYPART_ARC
(20,12),-1.41957 # DEPENDENCYPART_ARC
(20,13),-1.2275 # DEPENDENCYPART_ARC
(20,14),-0.174218 # DEPENDENCYPART_ARC
(20,15),0.387354 # DEPENDENCYPART_ARC
(20,16),1.85272 # DEPENDENCYPART_ARC
(20,17),0.630693 # DEPENDENCYPART_ARC
(20,18),0.882443 # DEPENDENCYPART_ARC
(20,19),3.67867 # DEPENDENCYPART_ARC
(20,21),1.42588 # DEPENDENCYPART_ARC
(20,22),0.105245 # DEPENDENCYPART_ARC
(20,23),0.988568 # DEPENDENCYPART_ARC
(20,24),0.626481 # DEPENDENCYPART_ARC
(20,25),-0.340879 # DEPENDENCYPART_ARC
(20,26),-0.326447 # DEPENDENCYPART_ARC
(20,27),1.75206 # DEPENDENCYPART_ARC
(20,28),-0.896605 # DEPENDENCYPART_ARC
(20,29),0.111162 # DEPENDENCYPART_ARC
(21,1),-3.13554 # DEPENDENCYPART_ARC
(21,2),-2.64025 # DEPENDENCYPART_ARC
(21,3),-3.33091 # DEPENDENCYPART_ARC
(21,4),-3.28858 # DEPENDENCYPART_ARC
(21,5),-2.58124 # DEPENDENCYPART_ARC
(21,6),-2.16134 # DEPENDENCYPART_ARC
(21,7),-2.83958 # DEPENDENCYPART_ARC
(21,8),-1.56463 # DEPENDENCYPART_ARC
(21,9),-1.87184 # DEPENDENCYPART_ARC
(21,10),-1.65827 # DEPENDENCYPART_ARC
(21,11),-1.96332 # DEPENDENCYPART_ARC
(21,12),-1.32358 # DEPENDENCYPART_ARC
(21,13),-1.23955 # DEPENDENCYPART_ARC
(21,14),-1.48781 # DEPENDENCYPART_ARC
(21,15),-0.684281 # DEPENDENCYPART_ARC
(21,16),-0.816744 # DEPENDENCYPART_ARC
(21,17),-0.397781 # DEPENDENCYPART_ARC
(21,18),-0.158179 # DEPENDENCYPART_ARC
(21,19),-0.410085 # DEPENDENCYPART_ARC
(21,20),0.390875 # DEPENDENCYPART_ARC
(21,22),0.527653 # DEPENDENCYPART_ARC
(21,23),3.82752 # DEPENDENCYPART_ARC
(21,24),0.55266 # DEPENDENCYPART_ARC
(21,25),0.503058 # DEPENDENCYPART_ARC
(21,26),0.0632361 # DEPENDENCYPART_ARC
(21,27),0.806982 # DEPENDENCYPART_ARC
(21,28),-0.560256 # DEPENDENCYPART_ARC
(21,29),-0.924013 # DEPENDENCYPART_ARC
(22,1),-4.43699 # DEPENDENCYPART_ARC
(22,2),-4.55605 # DEPENDENCYPART_ARC
(22,3),-4.91664 # DEPENDENCYPART_ARC
(22,4),-4.79165 # DEPENDENCYPART_ARC
(22,5),-4.12951 # DEPENDENCYPART_ARC
(22,6),-3.74494 # DEPENDENCYPART_ARC
(22,7),-4.51181 # DEPENDENCYPART_ARC
(22,8),-3.49175 # DEPENDENCYPART_ARC
(22,9),-3.76435 # DEPENDENCYPART_ARC
(22,10),-3.68705 # DEPENDENCYPART_ARC
(22,11),-3.78104 # DEPENDENCYPART_ARC
(22,12),-3.34875 # DEPENDENCYPART_ARC
(22,13),-2.75899 # DEPENDENCYPART_ARC
(22,14),-2.76937 # DEPENDENCYPART_ARC
(22,15),-2.55796 # DEPENDENCYPART_ARC
(22,16),-2.33076 # DEPENDENCYPART_ARC
(22,17),-3.05839 # DEPENDENCYPART_ARC
(22,18),-2.11243 # DEPENDENCYPART_ARC
(22,19),-1.72865 # DEPENDENCYPART_ARC
(22,20),-2.46805 # DEPENDENCYPART_ARC
(22,21),-1.02346 # DEPENDENCYPART_ARC
(22,23),-0.0348518 # DEPENDENCYPART_ARC
(22,24),-1.31125 # DEPENDENCYPART_ARC
(22,25),-1.7952 # DEPENDENCYPART_ARC
(22,26),-1.57906 # DEPENDENCYPART_ARC
(22,27),-1.67007 # DEPENDENCYPART_ARC
(22,28),-2.25045 # DEPENDENCYPART_ARC
(22,29),-2.02748 # DEPENDENCYPART_ARC
(23,1),-6.78498 # DEPENDENCYPART_ARC
(23,2),-5.22073 # DEPENDENCYPART_ARC
(23,3),-6.29032 # DEPENDENCYPART_ARC
(23,4),-7.97565 # DEPENDENCYPART_ARC
(23,5),-2.02842 # DEPENDENCYPART_ARC
(23,6),-4.76621 # DEPENDENCYPART_ARC
(23,7),-6.1524 # DEPENDENCYPART_ARC
(23,8),-1.8583 # DEPENDENCYPART_ARC
(23,9),-3.44767 # DEPENDENCYPART_ARC
(23,10),-4.0269 # DEPENDENCYPART_ARC
(23,11),-2.84686 # DEPENDENCYPART_ARC
(23,12),-2.38231 # DEPENDENCYPART_ARC
(23,13),-3.40193 # DEPENDENCYPART_ARC
(23,14),-1.61851 # DEPENDENCYPART_ARC
(23,15),-0.788278 # DEPENDENCYPART_ARC
(23,16),-0.360726 # DEPENDENCYPART_ARC
(23,17),-2.33074 # DEPENDENCYPART_ARC
(23,18),-0.459902 # DEPENDENCYPART_ARC
(23,19),-0.219413 # DEPENDENCYPART_ARC
(23,20),-0.409462 # DEPENDENCYPART_ARC
(23,21),0.941067 # DEPENDENCYPART_ARC
(23,22),4.91291 # DEPENDENCYPART_ARC
(23,24),2.67698 # DEPENDENCYPART_ARC
(23,25),0.774067 # DEPENDENCYPART_ARC
(23,26),0.468728 # DEPENDENCYPART_ARC
(23,27),1.05201 # DEPENDENCYPART_ARC
(23,28),-0.195291 # DEPENDENCYPART_ARC
(23,29),0.112156 # DEPENDENCYPART_ARC
(24,1),-3.57747 # DEPENDENCYPART_ARC
(24,2),-2.60328 # DEPENDENCYPART_ARC
(24,3),-4.03576 # DEPENDENCYPART_ARC
(24,4),-3.86711 # DEPENDENCYPART_ARC
(24,5),-3.01549 # DEPENDENCYPART_ARC
(24,6),-2.6315 # DEPENDENCYPART_ARC
(24,7),-3.53313 # DEPENDENCYPART_ARC
(24,8),-2.31277 # DEPENDENCYPART_ARC
(24,9),-1.73576 # DEPENDENCYPART_ARC
(24,10),-1.72326 # DEPENDENCYPART_ARC
(24,11),-2.39766 # DEPENDENCYPART_ARC
(24,12),-2.24204 # DEPENDENCYPART_ARC
(24,13),-1.90735 # DEPENDENCYPART_ARC
(24,14),-1.80125 # DEPENDENCYPART_ARC
(24,15),-1.2839 # DEPENDENCYPART_ARC
(24,16),-1.2788 # DEPENDENCYPART_ARC
(24,17),-1.13022 # DEPENDENCYPART_ARC
(24,18),-0.945348 # DEPENDENCYPART_ARC
(24,19),-1.08699 # DEPENDENCYPART_ARC
(24,20),-1.00012 # DEPENDENCYPART_ARC
(24,21),0.0135222 # DEPENDENCYPART_ARC
(24,22),-0.0478239 # DEPENDENCYPART_ARC
(24,23),0.370325 # DEPENDENCYPART_ARC
(24,25),3.61458 # DEPENDENCYPART_ARC
(24,26),1.25113 # DEPENDENCYPART_ARC
(24,27),0.274953 # DEPENDENCYPART_ARC
(24,28),0.325764 # DEPENDENCYPART_ARC
(24,29),-1.33818 # DEPENDENCYPART_ARC
(25,1),-7.34442 # DEPENDENCYPART_ARC
(25,2),-6.46979 # DEPENDENCYPART_ARC
(25,3),-6.61746 # DEPENDENCYPART_ARC
(25,4),-7.85686 # DEPENDENCYPART_ARC
(25,5),-5.38398 # DEPENDENCYPART_ARC
(25,6),-4.71026 # DEPENDENCYPART_ARC
(25,7),-7.82881 # DEPENDENCYPART_ARC
(25,8),-3.96772 # DEPENDENCYPART_ARC
(25,9),-5.07622 # DEPENDENCYPART_ARC
(25,10),-5.67414 # DEPENDENCYPART_ARC
(25,11),-5.19417 # DEPENDENCYPART_ARC
(25,12),-4.91307 # DEPENDENCYPART_ARC
(25,13),-4.95554 # DEPENDENCYPART_ARC
(25,14),-3.92214 # DEPENDENCYPART_ARC
(25,15),-2.89678 # DEPENDENCYPART_ARC
(25,16),-3.07629 # DEPENDENCYPART_ARC
(25,17),-4.69204 # DEPENDENCYPART_ARC
(25,18),-2.2171 # DEPENDENCYPART_ARC
(25,19),-2.0991 # DEPENDENCYPART_ARC
(25,20),-3.39122 # DEPENDENCYPART_ARC
(25,21),-1.93271 # DEPENDENCYPART_ARC
(25,22),-0.0679205 # DEPENDENCYPART_ARC
(25,23),-1.86173 # DEPENDENCYPART_ARC
(25,24),0.0383523 # DEPENDENCYPART_ARC
(25,26),4.40923 # DEPENDENCYPART_ARC
(25,27),3.35114 # DEPENDENCYPART_ARC
(25,28),2.9934 # DEPENDENCYPART_ARC
(25,29),0.213825 # DEPENDENCYPART_ARC
(26,1),-1.81433 # DEPENDENCYPART_ARC
(26,2),-2.58638 # DEPENDENCYPART_ARC
(26,3),-3.8034 # DEPENDENCYPART_ARC
(26,4),-3.53216 # DEPENDENCYPART_ARC
(26,5),-3.03264 # DEPENDENCYPART_ARC
(26,6),-3.17722 # DEPENDENCYPART_ARC
(26,7),-3.15059 # DEPENDENCYPART_ARC
(26,8),-3.43106 # DEPENDENCYPART_ARC
(26,9),-1.71109 # DEPENDENCYPART_ARC
(26,10),-1.91385 # DEPENDENCYPART_ARC
(26,11),-2.35687 # DEPENDENCYPART_ARC
(26,12),-2.25667 # DEPENDENCYPART_ARC
(26,13),-1.13014 # DEPENDENCYPART_ARC
(26,14),-1.51028 # DEPENDENCYPART_ARC
(26,15),-2.08793 # DEPENDENCYPART_ARC
(26,16),-0.449579 # DEPENDENCYPART_ARC
(26,17),-1.80289 # DEPENDENCYPART_ARC
(26,18),-1.00225 # DEPENDENCYPART_ARC
(26,19),-1.04612 # DEPENDENCYPART_ARC
(26,20),-1.42568 # DEPENDENCYPART_ARC
(26,21),-1.25394 # DEPENDENCYPART_ARC
(26,22),0.890364 # DEPENDENCYPART_ARC
(26,23),-0.392759 # DEPENDENCYPART_ARC
(26,24),0.0959608 # DEPENDENCYPART_ARC
(26,25),1.79737 # DEPENDENCYPART_ARC
(26,27),1.41481 # DEPENDENCYPART_ARC
(26,28),0.2253 # DEPENDENCYPART_ARC
(26,29),-0.0309916 # DEPENDENCYPART_ARC
(27,1),-3.99902 # DEPENDENCYPART_ARC
(27,2),-4.18319 # DEPENDENCYPART_ARC
(27,3),-2.97195 # DEPENDENCYPART_ARC
(27,4),-2.91545 # DEPENDENCYPART_ARC
(27,5),-3.26141 # DEPENDENCYPART_ARC
(27,6),-3.81052 # DEPENDENCYPART_ARC
(27,7),-1.24146 # DEPENDENCYPART_ARC
(27,8),-3.45559 # DEPENDENCYPART_ARC
(27,9),-3.39232 # DEPENDENCYPART_ARC
(27,10),-3.32045 # DEPENDENCYPART_ARC
(27,11),-2.81489 # DEPENDENCYPART_ARC
(27,12),-1.04977 # DEPENDENCYPART_ARC
(27,13),-2.72605 # DEPENDENCYPART_ARC
(27,14),-2.84543 # DEPENDENCYPART_ARC
(27,15),-2.6704 # DEPENDENCYPART_ARC
(27,16),-2.40215 # DEPENDENCYPART_ARC
(27,17),-2.04154 # DEPENDENCYPART_ARC
(27,18),-2.27788 # DEPENDENCYPART_ARC
(27,19),-2.40862 # DEPENDENCYPART_ARC
(27,20),-1.27344 # DEPENDENCYPART_ARC
(27,21),-1.87295 # DEPENDENCYPART_ARC
(27,22),-1.6213 # DEPENDENCYPART_ARC
(27,23),-1.83852 # DEPENDENCYPART_ARC
(27,24),-1.43836 # DEPENDENCYPART_ARC
(27,25),-1.91343 # DEPENDENCYPART_ARC
(27,26),-0.935227 # DEPENDENCYPART_ARC
(27,28),-0.401014 # DEPENDENCYPART_ARC
(27,29),-1.08457 # DEPENDENCYPART_ARC
(28,1),-2.72402 # DEPENDENCYPART_ARC
(28,2),-3.06684 # DEPENDENCYPART_ARC
(28,3),-4.48332 # DEPENDENCYPART_ARC
(28,4),-4.49966 # DEPENDENCYPART_ARC
(28,5),-3.7782 # DEPENDENCYPART_ARC
(28,6),-3.62379 # DEPENDENCYPART_ARC
(28,7),-4.11681 # DEPENDENCYPART_ARC
(28,8),-4.16504 # DEPENDENCYPART_ARC
(28,9),-2.33227 # DEPENDENCYPART_ARC
(28,10),-2.47996 # DEPENDENCYPART_ARC
(28,11),-3.06938 # DEPENDENCYPART_ARC
(28,12),-2.71991 # DEPENDENCYPART_ARC
(28,13),-1.99316 # DEPENDENCYPART_ARC
(28,14),-2.05946 # DEPENDENCYPART_ARC
(28,15),-2.62943 # DEPENDENCYPART_ARC
(28,16),-1.66656 # DEPENDENCYPART_ARC
(28,17),-2.80105 # DEPENDENCYPART_ARC
(28,18),-1.51424 # DEPENDENCYPART_ARC
(28,19),-1.52977 # DEPENDENCYPART_ARC
(28,20),-2.30022 # DEPENDENCYPART_ARC
(28,21),-2.09711 # DEPENDENCYPART_ARC
(28,22),-0.398307 # DEPENDENCYPART_ARC
(28,23),-1.55697 # DEPENDENCYPART_ARC
(28,24),-1.1865 # DEPENDENCYPART_ARC
(28,25),-0.638069 # DEPENDENCYPART_ARC
(28,26),0.542827 # DEPENDENCYPART_ARC
(28,27),0.870154 # DEPENDENCYPART_ARC
(28,29),-0.167857 # DEPENDENCYPART_ARC
(29,1),-3.18135 # DEPENDENCYPART_ARC
(29,2),-3.54486 # DEPENDENCYPART_ARC
(29,3),-3.17583 # DEPENDENCYPART_ARC
(29,4),-3.33154 # DEPENDENCYPART_ARC
(29,5),-2.46689 # DEPENDENCYPART_ARC
(29,6),-3.3459 # DEPENDENCYPART_ARC
(29,7),-2.79131 # DEPENDENCYPART_ARC
(29,8),-3.17883 # DEPENDENCYPART_ARC
(29,9),-2.87399 # DEPENDENCYPART_ARC
(29,10),-2.7344 # DEPENDENCYPART_ARC
(29,11),-1.36172 # DEPENDENCYPART_ARC
(29,12),-0.985991 # DEPENDENCYPART_ARC
(29,13),-1.96929 # DEPENDENCYPART_ARC
(29,14),-2.14636 # DEPENDENCYPART_ARC
(29,15),-2.33588 # DEPENDENCYPART_ARC
(29,16),-1.64809 # DEPENDENCYPART_ARC
(29,17),-2.05325 # DEPENDENCYPART_ARC
(29,18),-1.81955 # DEPENDENCYPART_ARC
(29,19),-1.97638 # DEPENDENCYPART_ARC
(29,20),-1.60511 # DEPENDENCYPART_ARC
(29,21),-1.53103 # DEPENDENCYPART_ARC
(29,22),-0.892851 # DEPENDENCYPART_ARC
(29,23),-1.67642 # DEPENDENCYPART_ARC
(29,24),-1.392 # DEPENDENCYPART_ARC
(29,25),-1.31932 # DEPENDENCYPART_ARC
(29,26),-1.05899 # DEPENDENCYPART_ARC
(29,27),-0.455646 # DEPENDENCYPART_ARC
(29,28),-0.91728 # DEPENDENCYPART_ARC
