# _root_ It also recommends better retirement and day-care benefits , and basing pay on education , experience and nurses ' demanding work schedules .
#goldHeads=3,3,0,5,3,5,8,6,8,8,10,11,11,13,14,14,16,22,18,22,22,17,3,
#predictedHeads=3,3,0,5,3,5,8,6,3,3,10,11,11,13,14,14,16,22,18,22,22,17,3,
(23,5),-2.18002 # DEPENDENCYPART_ARC
(23,6),-2.8286 # DEPENDENCYPART_ARC
(23,7),-2.21104 # DEPENDENCYPART_ARC
(23,8),-2.50135 # DEPENDENCYPART_ARC
(23,9),-0.990591 # DEPENDENCYPART_ARC
(23,10),-2.21439 # DEPENDENCYPART_ARC
(23,11),-1.12065 # DEPENDENCYPART_ARC
(23,12),-1.81445 # DEPENDENCYPART_ARC
(23,13),-2.01341 # DEPENDENCYPART_ARC
(23,14),-1.73554 # DEPENDENCYPART_ARC
(23,15),-0.59083 # DEPENDENCYPART_ARC
(23,16),-1.20459 # DEPENDENCYPART_ARC
(23,17),-1.39156 # DEPENDENCYPART_ARC
(23,18),-1.88233 # DEPENDENCYPART_ARC
(23,19),-1.29759 # DEPENDENCYPART_ARC
(23,20),-1.15516 # DEPENDENCYPART_ARC
(23,21),-1.72808 # DEPENDENCYPART_ARC
(23,22),-1.59904 # DEPENDENCYPART_ARC
