# _root_ And the chain is testing products that are n't fried , such as `` char-grilled '' chicken , to try to win health-conscious consumers .
#goldHeads=4,3,4,0,4,5,8,6,8,8,6,13,6,17,17,17,13,6,5,19,20,21,24,22,4,
#predictedHeads=4,3,4,0,4,5,8,6,8,8,10,13,6,17,17,17,13,17,15,19,20,21,24,22,4,
(21,7),-1.35691 # DEPENDENCYPART_ARC
(21,8),-1.39031 # DEPENDENCYPART_ARC
(21,9),-2.15675 # DEPENDENCYPART_ARC
(21,10),-1.58977 # DEPENDENCYPART_ARC
(21,11),-0.377019 # DEPENDENCYPART_ARC
(21,12),-1.01432 # DEPENDENCYPART_ARC
(21,13),-0.400592 # DEPENDENCYPART_ARC
(21,14),-0.500812 # DEPENDENCYPART_ARC
(21,15),-0.515526 # DEPENDENCYPART_ARC
(21,16),-0.477578 # DEPENDENCYPART_ARC
(21,17),-0.522336 # DEPENDENCYPART_ARC
(21,18),0.163768 # DEPENDENCYPART_ARC
(21,19),1.03007 # DEPENDENCYPART_ARC
(21,20),1.10362 # DEPENDENCYPART_ARC
(21,22),3.7694 # DEPENDENCYPART_ARC
(21,23),0.90857 # DEPENDENCYPART_ARC
(21,24),1.3096 # DEPENDENCYPART_ARC
(21,25),0.186629 # DEPENDENCYPART_ARC
(22,1),-2.26775 # DEPENDENCYPART_ARC
(22,2),-2.0353 # DEPENDENCYPART_ARC
(22,3),-2.19409 # DEPENDENCYPART_ARC
(22,4),-1.81578 # DEPENDENCYPART_ARC
(22,5),-1.49157 # DEPENDENCYPART_ARC
(22,6),-1.41646 # DEPENDENCYPART_ARC
(22,7),-0.014187 # DEPENDENCYPART_ARC
(22,8),-1.38272 # DEPENDENCYPART_ARC
(22,9),-1.13053 # DEPENDENCYPART_ARC
(22,10),-1.22977 # DEPENDENCYPART_ARC
(22,11),-0.799755 # DEPENDENCYPART_ARC
(22,12),-0.627574 # DEPENDENCYPART_ARC
(22,13),-0.719496 # DEPENDENCYPART_ARC
(22,14),-0.498557 # DEPENDENCYPART_ARC
(22,15),-0.290456 # DEPENDENCYPART_ARC
(22,16),-0.161196 # DEPENDENCYPART_ARC
(22,17),-0.308002 # DEPENDENCYPART_ARC
(22,18),-0.45234 # DEPENDENCYPART_ARC
(22,19),0.156578 # DEPENDENCYPART_ARC
(22,20),0.567542 # DEPENDENCYPART_ARC
(22,21),1.15981 # DEPENDENCYPART_ARC
(22,23),1.69721 # DEPENDENCYPART_ARC
(22,24),3.6911 # DEPENDENCYPART_ARC
(22,25),0.151535 # DEPENDENCYPART_ARC
(23,1),-3.50183 # DEPENDENCYPART_ARC
(23,2),-2.52468 # DEPENDENCYPART_ARC
(23,3),-2.70161 # DEPENDENCYPART_ARC
(23,4),-2.37901 # DEPENDENCYPART_ARC
(23,5),-2.60113 # DEPENDENCYPART_ARC
(23,6),-2.56283 # DEPENDENCYPART_ARC
(23,7),-1.69726 # DEPENDENCYPART_ARC
(23,8),-2.5714 # DEPENDENCYPART_ARC
(23,9),-2.86441 # DEPENDENCYPART_ARC
(23,10),-2.06823 # DEPENDENCYPART_ARC
(23,11),-1.39238 # DEPENDENCYPART_ARC
(23,12),-1.1943 # DEPENDENCYPART_ARC
(23,13),-0.928498 # DEPENDENCYPART_ARC
(23,14),-1.09425 # DEPENDENCYPART_ARC
(23,15),-0.445984 # DEPENDENCYPART_ARC
(23,16),-1.24137 # DEPENDENCYPART_ARC
(23,17),-1.16531 # DEPENDENCYPART_ARC
(23,18),-0.420315 # DEPENDENCYPART_ARC
(23,19),-0.561736 # DEPENDENCYPART_ARC
(23,20),-0.148941 # DEPENDENCYPART_ARC
(23,21),0.338004 # DEPENDENCYPART_ARC
(23,22),1.06435 # DEPENDENCYPART_ARC
(23,24),0.858386 # DEPENDENCYPART_ARC
(23,25),-0.0972848 # DEPENDENCYPART_ARC
(24,1),-2.75374 # DEPENDENCYPART_ARC
(24,2),-4.53875 # DEPENDENCYPART_ARC
(24,3),-4.64212 # DEPENDENCYPART_ARC
(24,4),-1.57127 # DEPENDENCYPART_ARC
(24,5),-1.94689 # DEPENDENCYPART_ARC
(24,6),-2.98617 # DEPENDENCYPART_ARC
(24,7),-3.09857 # DEPENDENCYPART_ARC
(24,8),-2.06466 # DEPENDENCYPART_ARC
(24,9),-3.44757 # DEPENDENCYPART_ARC
(24,10),-1.51031 # DEPENDENCYPART_ARC
(24,11),-0.816315 # DEPENDENCYPART_ARC
(24,12),-2.7316 # DEPENDENCYPART_ARC
(24,13),-0.73697 # DEPENDENCYPART_ARC
(24,14),1.02353 # DEPENDENCYPART_ARC
(24,15),-0.623517 # DEPENDENCYPART_ARC
(24,16),0.276511 # DEPENDENCYPART_ARC
(24,17),-1.55328 # DEPENDENCYPART_ARC
(24,18),-0.830085 # DEPENDENCYPART_ARC
(24,19),-0.33721 # DEPENDENCYPART_ARC
(24,20),0.281981 # DEPENDENCYPART_ARC
(24,21),0.271495 # DEPENDENCYPART_ARC
(24,22),1.21779 # DEPENDENCYPART_ARC
(24,23),4.35526 # DEPENDENCYPART_ARC
(24,25),0.0827963 # DEPENDENCYPART_ARC
(25,1),-3.04792 # DEPENDENCYPART_ARC
(25,2),-2.91256 # DEPENDENCYPART_ARC
(25,3),-3.17996 # DEPENDENCYPART_ARC
(25,4),-3.24376 # DEPENDENCYPART_ARC
(25,5),-2.18703 # DEPENDENCYPART_ARC
(25,6),-2.90393 # DEPENDENCYPART_ARC
(25,7),-1.92876 # DEPENDENCYPART_ARC
(25,8),-2.15409 # DEPENDENCYPART_ARC
(25,9),-1.8857 # DEPENDENCYPART_ARC
(25,10),-1.98301 # DEPENDENCYPART_ARC
(25,11),-1.07972 # DEPENDENCYPART_ARC
(25,12),-2.1993 # DEPENDENCYPART_ARC
(25,13),-1.68971 # DEPENDENCYPART_ARC
(25,14),-1.44141 # DEPENDENCYPART_ARC
(25,15),-1.91602 # DEPENDENCYPART_ARC
(25,16),-1.62869 # DEPENDENCYPART_ARC
(25,17),-1.6166 # DEPENDENCYPART_ARC
(25,18),-0.783085 # DEPENDENCYPART_ARC
(25,19),-1.24368 # DEPENDENCYPART_ARC
(25,20),-1.58833 # DEPENDENCYPART_ARC
(25,21),-1.35344 # DEPENDENCYPART_ARC
(25,22),-1.01291 # DEPENDENCYPART_ARC
(25,23),-1.52416 # DEPENDENCYPART_ARC
(25,24),-1.55939 # DEPENDENCYPART_ARC
