# _root_ Grinned Griffith Peck , a trader in Shearson Lehman Hutton Inc. 's OTC department : `` I tell you , this market acts healthy . ''
#goldHeads=0,3,1,3,6,3,6,11,11,11,14,11,14,7,1,1,18,1,18,18,22,23,18,23,1,1,
#predictedHeads=0,3,1,3,6,3,6,11,11,11,14,11,14,7,1,1,18,14,18,23,22,23,18,23,1,1,
(20,9),-3.32204 # DEPENDENCYPART_ARC
(20,10),-3.11065 # DEPENDENCYPART_ARC
(20,11),-3.024 # DEPENDENCYPART_ARC
(20,12),-2.71587 # DEPENDENCYPART_ARC
(20,13),-2.77105 # DEPENDENCYPART_ARC
(20,14),-2.50247 # DEPENDENCYPART_ARC
(20,15),-2.12739 # DEPENDENCYPART_ARC
(20,16),-1.89737 # DEPENDENCYPART_ARC
(20,17),-1.98181 # DEPENDENCYPART_ARC
(20,18),-2.30693 # DEPENDENCYPART_ARC
(20,19),-0.900252 # DEPENDENCYPART_ARC
(20,21),-0.441441 # DEPENDENCYPART_ARC
(20,22),-1.09667 # DEPENDENCYPART_ARC
(20,23),-0.792331 # DEPENDENCYPART_ARC
(20,24),-1.52447 # DEPENDENCYPART_ARC
(20,25),-1.45599 # DEPENDENCYPART_ARC
(20,26),-1.08704 # DEPENDENCYPART_ARC
(21,1),-3.41711 # DEPENDENCYPART_ARC
(21,2),-3.52135 # DEPENDENCYPART_ARC
(21,3),-3.39192 # DEPENDENCYPART_ARC
(21,4),-3.03433 # DEPENDENCYPART_ARC
(21,5),-2.54288 # DEPENDENCYPART_ARC
(21,6),-3.48162 # DEPENDENCYPART_ARC
(21,7),-2.74346 # DEPENDENCYPART_ARC
(21,8),-2.87234 # DEPENDENCYPART_ARC
(21,9),-2.81459 # DEPENDENCYPART_ARC
(21,10),-2.71112 # DEPENDENCYPART_ARC
(21,11),-2.4442 # DEPENDENCYPART_ARC
(21,12),-2.27032 # DEPENDENCYPART_ARC
(21,13),-2.25509 # DEPENDENCYPART_ARC
(21,14),-2.43531 # DEPENDENCYPART_ARC
(21,15),-1.32183 # DEPENDENCYPART_ARC
(21,16),-1.86206 # DEPENDENCYPART_ARC
(21,17),-1.13913 # DEPENDENCYPART_ARC
(21,18),-1.47496 # DEPENDENCYPART_ARC
(21,19),-0.242994 # DEPENDENCYPART_ARC
(21,20),-0.185405 # DEPENDENCYPART_ARC
(21,22),0.497434 # DEPENDENCYPART_ARC
(21,23),0.762476 # DEPENDENCYPART_ARC
(21,24),-0.633221 # DEPENDENCYPART_ARC
(21,25),-0.863203 # DEPENDENCYPART_ARC
(21,26),-0.502461 # DEPENDENCYPART_ARC
(22,1),-3.31888 # DEPENDENCYPART_ARC
(22,2),-4.40947 # DEPENDENCYPART_ARC
(22,3),-5.46091 # DEPENDENCYPART_ARC
(22,4),-2.67821 # DEPENDENCYPART_ARC
(22,5),-1.85589 # DEPENDENCYPART_ARC
(22,6),-4.44333 # DEPENDENCYPART_ARC
(22,7),-2.12827 # DEPENDENCYPART_ARC
(22,8),-1.25011 # DEPENDENCYPART_ARC
(22,9),-1.65998 # DEPENDENCYPART_ARC
(22,10),-2.08379 # DEPENDENCYPART_ARC
(22,11),-0.889611 # DEPENDENCYPART_ARC
(22,12),-1.41538 # DEPENDENCYPART_ARC
(22,13),-1.5422 # DEPENDENCYPART_ARC
(22,14),-2.37196 # DEPENDENCYPART_ARC
(22,15),-1.08038 # DEPENDENCYPART_ARC
(22,16),-0.740484 # DEPENDENCYPART_ARC
(22,17),-0.544004 # DEPENDENCYPART_ARC
(22,18),-0.945772 # DEPENDENCYPART_ARC
(22,19),-0.0416538 # DEPENDENCYPART_ARC
(22,20),0.722966 # DEPENDENCYPART_ARC
(22,21),3.67036 # DEPENDENCYPART_ARC
(22,23),1.2348 # DEPENDENCYPART_ARC
(22,24),0.211058 # DEPENDENCYPART_ARC
(22,25),-0.223353 # DEPENDENCYPART_ARC
(22,26),-0.749943 # DEPENDENCYPART_ARC
(23,1),1.10089 # DEPENDENCYPART_ARC
(23,2),-0.0998218 # DEPENDENCYPART_ARC
(23,3),-0.683055 # DEPENDENCYPART_ARC
(23,4),2.27723 # DEPENDENCYPART_ARC
(23,5),-1.13451 # DEPENDENCYPART_ARC
(23,6),0.996657 # DEPENDENCYPART_ARC
(23,7),-0.230537 # DEPENDENCYPART_ARC
(23,8),0.17581 # DEPENDENCYPART_ARC
(23,9),0.0587638 # DEPENDENCYPART_ARC
(23,10),0.109525 # DEPENDENCYPART_ARC
(23,11),-0.702689 # DEPENDENCYPART_ARC
(23,12),-0.535849 # DEPENDENCYPART_ARC
(23,13),0.32348 # DEPENDENCYPART_ARC
(23,14),0.0453058 # DEPENDENCYPART_ARC
(23,15),0.422361 # DEPENDENCYPART_ARC
(23,16),1.32743 # DEPENDENCYPART_ARC
(23,17),0.145085 # DEPENDENCYPART_ARC
(23,18),0.926507 # DEPENDENCYPART_ARC
(23,19),0.236013 # DEPENDENCYPART_ARC
(23,20),3.3667 # DEPENDENCYPART_ARC
(23,21),1.41033 # DEPENDENCYPART_ARC
(23,22),3.26423 # DEPENDENCYPART_ARC
(23,24),2.83389 # DEPENDENCYPART_ARC
(23,25),2.43929 # DEPENDENCYPART_ARC
(23,26),2.42313 # DEPENDENCYPART_ARC
(24,1),-3.02417 # DEPENDENCYPART_ARC
(24,2),-2.11456 # DEPENDENCYPART_ARC
(24,3),-2.79153 # DEPENDENCYPART_ARC
(24,4),-1.65689 # DEPENDENCYPART_ARC
(24,5),-0.373539 # DEPENDENCYPART_ARC
(24,6),-1.89637 # DEPENDENCYPART_ARC
(24,7),-2.13951 # DEPENDENCYPART_ARC
(24,8),-1.16186 # DEPENDENCYPART_ARC
(24,9),-1.53438 # DEPENDENCYPART_ARC
(24,10),-1.56362 # DEPENDENCYPART_ARC
(24,11),-1.81985 # DEPENDENCYPART_ARC
(24,12),-1.12132 # DEPENDENCYPART_ARC
(24,13),-1.40379 # DEPENDENCYPART_ARC
(24,14),-1.16652 # DEPENDENCYPART_ARC
(24,15),-0.583857 # DEPENDENCYPART_ARC
(24,16),-0.672363 # DEPENDENCYPART_ARC
(24,17),-1.12269 # DEPENDENCYPART_ARC
(24,18),-0.962472 # DEPENDENCYPART_ARC
(24,19),-0.492971 # DEPENDENCYPART_ARC
(24,20),-0.0889424 # DEPENDENCYPART_ARC
(24,21),0.899554 # DEPENDENCYPART_ARC
(24,22),1.11526 # DEPENDENCYPART_ARC
(24,23),0.891746 # DEPENDENCYPART_ARC
(24,25),0.22649 # DEPENDENCYPART_ARC
(24,26),0.0278941 # DEPENDENCYPART_ARC
(25,1),-2.9337 # DEPENDENCYPART_ARC
(25,2),-3.05946 # DEPENDENCYPART_ARC
(25,3),-3.00097 # DEPENDENCYPART_ARC
(25,4),-1.88114 # DEPENDENCYPART_ARC
(25,5),-3.0003 # DEPENDENCYPART_ARC
(25,6),-2.69509 # DEPENDENCYPART_ARC
(25,7),-2.60358 # DEPENDENCYPART_ARC
(25,8),-2.37136 # DEPENDENCYPART_ARC
(25,9),-2.36475 # DEPENDENCYPART_ARC
(25,10),-2.33131 # DEPENDENCYPART_ARC
(25,11),-2.34884 # DEPENDENCYPART_ARC
(25,12),-2.20713 # DEPENDENCYPART_ARC
(25,13),-2.11667 # DEPENDENCYPART_ARC
(25,14),-2.04594 # DEPENDENCYPART_ARC
(25,15),-0.699287 # DEPENDENCYPART_ARC
(25,16),-1.49227 # DEPENDENCYPART_ARC
(25,17),-1.36892 # DEPENDENCYPART_ARC
(25,18),-1.27217 # DEPENDENCYPART_ARC
(25,19),-1.13591 # DEPENDENCYPART_ARC
(25,20),-0.431199 # DEPENDENCYPART_ARC
(25,21),-0.934056 # DEPENDENCYPART_ARC
(25,22),-1.34586 # DEPENDENCYPART_ARC
(25,23),-1.24909 # DEPENDENCYPART_ARC
(25,24),-1.06811 # DEPENDENCYPART_ARC
(25,26),-0.598628 # DEPENDENCYPART_ARC
(26,1),-3.33468 # DEPENDENCYPART_ARC
(26,2),-3.84361 # DEPENDENCYPART_ARC
(26,3),-3.75055 # DEPENDENCYPART_ARC
(26,4),-2.63556 # DEPENDENCYPART_ARC
(26,5),-2.68452 # DEPENDENCYPART_ARC
(26,6),-3.48117 # DEPENDENCYPART_ARC
(26,7),-2.75652 # DEPENDENCYPART_ARC
(26,8),-2.97833 # DEPENDENCYPART_ARC
(26,9),-2.91118 # DEPENDENCYPART_ARC
(26,10),-2.81626 # DEPENDENCYPART_ARC
(26,11),-2.71536 # DEPENDENCYPART_ARC
(26,12),-2.46539 # DEPENDENCYPART_ARC
(26,13),-2.46726 # DEPENDENCYPART_ARC
(26,14),-2.62015 # DEPENDENCYPART_ARC
(26,15),-1.59794 # DEPENDENCYPART_ARC
(26,16),-0.090173 # DEPENDENCYPART_ARC
(26,17),-1.94193 # DEPENDENCYPART_ARC
(26,18),-1.78153 # DEPENDENCYPART_ARC
(26,19),-1.70784 # DEPENDENCYPART_ARC
(26,20),-1.04788 # DEPENDENCYPART_ARC
(26,21),-0.65478 # DEPENDENCYPART_ARC
(26,22),-1.3709 # DEPENDENCYPART_ARC
(26,23),-0.490922 # DEPENDENCYPART_ARC
(26,24),-0.996017 # DEPENDENCYPART_ARC
(26,25),-0.228886 # DEPENDENCYPART_ARC
