# _root_ Around Wall Street , trading desks were relieved that they could at least play the market yesterday , in contrast to Friday 's gridlock .
#goldHeads=7,3,1,7,6,7,0,7,8,11,9,11,12,11,16,14,14,14,14,19,20,24,22,21,7,
#predictedHeads=7,3,1,7,6,7,0,7,8,11,9,14,12,11,16,14,14,14,14,19,20,24,22,21,7,
(21,5),-1.49959 # DEPENDENCYPART_ARC
(21,6),-2.01216 # DEPENDENCYPART_ARC
(21,7),-1.52186 # DEPENDENCYPART_ARC
(21,8),-1.72074 # DEPENDENCYPART_ARC
(21,9),-1.05597 # DEPENDENCYPART_ARC
(21,10),-1.22785 # DEPENDENCYPART_ARC
(21,11),-1.30805 # DEPENDENCYPART_ARC
(21,12),-0.385265 # DEPENDENCYPART_ARC
(21,13),-0.540777 # DEPENDENCYPART_ARC
(21,14),-0.618796 # DEPENDENCYPART_ARC
(21,15),-0.183846 # DEPENDENCYPART_ARC
(21,16),-0.126216 # DEPENDENCYPART_ARC
(21,17),-0.361995 # DEPENDENCYPART_ARC
(21,18),0.726003 # DEPENDENCYPART_ARC
(21,19),0.890228 # DEPENDENCYPART_ARC
(21,20),1.12691 # DEPENDENCYPART_ARC
(21,22),2.17735 # DEPENDENCYPART_ARC
(21,23),1.63569 # DEPENDENCYPART_ARC
(21,24),3.15823 # DEPENDENCYPART_ARC
(21,25),0.0330148 # DEPENDENCYPART_ARC
(22,1),-5.18577 # DEPENDENCYPART_ARC
(22,2),-7.41276 # DEPENDENCYPART_ARC
(22,3),-9.63291 # DEPENDENCYPART_ARC
(22,4),-5.55904 # DEPENDENCYPART_ARC
(22,5),-6.96317 # DEPENDENCYPART_ARC
(22,6),-5.14237 # DEPENDENCYPART_ARC
(22,7),-4.92149 # DEPENDENCYPART_ARC
(22,8),-4.86188 # DEPENDENCYPART_ARC
(22,9),-4.38148 # DEPENDENCYPART_ARC
(22,10),-3.97111 # DEPENDENCYPART_ARC
(22,11),-4.37479 # DEPENDENCYPART_ARC
(22,12),-3.5541 # DEPENDENCYPART_ARC
(22,13),-3.50193 # DEPENDENCYPART_ARC
(22,14),-3.21153 # DEPENDENCYPART_ARC
(22,15),-2.20261 # DEPENDENCYPART_ARC
(22,16),-3.31501 # DEPENDENCYPART_ARC
(22,17),-4.10739 # DEPENDENCYPART_ARC
(22,18),-2.77671 # DEPENDENCYPART_ARC
(22,19),-1.96503 # DEPENDENCYPART_ARC
(22,20),-1.35723 # DEPENDENCYPART_ARC
(22,21),-1.16165 # DEPENDENCYPART_ARC
(22,23),4.20263 # DEPENDENCYPART_ARC
(22,24),0.137646 # DEPENDENCYPART_ARC
(22,25),-0.47365 # DEPENDENCYPART_ARC
(23,1),-3.16553 # DEPENDENCYPART_ARC
(23,2),-2.06986 # DEPENDENCYPART_ARC
(23,3),-2.01196 # DEPENDENCYPART_ARC
(23,4),-2.17793 # DEPENDENCYPART_ARC
(23,5),-3.03872 # DEPENDENCYPART_ARC
(23,6),-1.95858 # DEPENDENCYPART_ARC
(23,7),-1.91486 # DEPENDENCYPART_ARC
(23,8),-1.29001 # DEPENDENCYPART_ARC
(23,9),-2.50822 # DEPENDENCYPART_ARC
(23,10),-1.16438 # DEPENDENCYPART_ARC
(23,11),-1.59245 # DEPENDENCYPART_ARC
(23,12),-1.50326 # DEPENDENCYPART_ARC
(23,13),-0.702682 # DEPENDENCYPART_ARC
(23,14),-0.514595 # DEPENDENCYPART_ARC
(23,15),0.0144974 # DEPENDENCYPART_ARC
(23,16),-1.39719 # DEPENDENCYPART_ARC
(23,17),-1.21123 # DEPENDENCYPART_ARC
(23,18),-0.245685 # DEPENDENCYPART_ARC
(23,19),-0.361793 # DEPENDENCYPART_ARC
(23,20),-0.0970042 # DEPENDENCYPART_ARC
(23,21),0.4573 # DEPENDENCYPART_ARC
(23,22),1.66142 # DEPENDENCYPART_ARC
(23,24),-0.457751 # DEPENDENCYPART_ARC
(23,25),-1.27737 # DEPENDENCYPART_ARC
(24,1),-2.44743 # DEPENDENCYPART_ARC
(24,2),-6.11392 # DEPENDENCYPART_ARC
(24,3),-6.79095 # DEPENDENCYPART_ARC
(24,4),-2.47766 # DEPENDENCYPART_ARC
(24,5),-5.00284 # DEPENDENCYPART_ARC
(24,6),-1.9414 # DEPENDENCYPART_ARC
(24,7),-1.89935 # DEPENDENCYPART_ARC
(24,8),-2.48452 # DEPENDENCYPART_ARC
(24,9),-1.5569 # DEPENDENCYPART_ARC
(24,10),-1.42198 # DEPENDENCYPART_ARC
(24,11),-1.41372 # DEPENDENCYPART_ARC
(24,12),-0.0340488 # DEPENDENCYPART_ARC
(24,13),-1.12824 # DEPENDENCYPART_ARC
(24,14),-1.07414 # DEPENDENCYPART_ARC
(24,15),-0.0117436 # DEPENDENCYPART_ARC
(24,16),-0.298342 # DEPENDENCYPART_ARC
(24,17),-1.05076 # DEPENDENCYPART_ARC
(24,18),-0.321184 # DEPENDENCYPART_ARC
(24,19),0.336346 # DEPENDENCYPART_ARC
(24,20),1.23844 # DEPENDENCYPART_ARC
(24,21),0.411229 # DEPENDENCYPART_ARC
(24,22),4.50826 # DEPENDENCYPART_ARC
(24,23),1.52735 # DEPENDENCYPART_ARC
(24,25),0.33563 # DEPENDENCYPART_ARC
(25,1),-3.49697 # DEPENDENCYPART_ARC
(25,2),-2.86721 # DEPENDENCYPART_ARC
(25,3),-2.86406 # DEPENDENCYPART_ARC
(25,4),-1.62161 # DEPENDENCYPART_ARC
(25,5),-2.16673 # DEPENDENCYPART_ARC
(25,6),-2.27871 # DEPENDENCYPART_ARC
(25,7),-1.37807 # DEPENDENCYPART_ARC
(25,8),-1.86466 # DEPENDENCYPART_ARC
(25,9),-2.35367 # DEPENDENCYPART_ARC
(25,10),-1.2102 # DEPENDENCYPART_ARC
(25,11),-1.65804 # DEPENDENCYPART_ARC
(25,12),-1.99036 # DEPENDENCYPART_ARC
(25,13),-1.71798 # DEPENDENCYPART_ARC
(25,14),-1.64457 # DEPENDENCYPART_ARC
(25,15),-1.14709 # DEPENDENCYPART_ARC
(25,16),-1.65706 # DEPENDENCYPART_ARC
(25,17),-1.37147 # DEPENDENCYPART_ARC
(25,18),-0.392512 # DEPENDENCYPART_ARC
(25,19),-1.2281 # DEPENDENCYPART_ARC
(25,20),-1.45848 # DEPENDENCYPART_ARC
(25,21),-1.1688 # DEPENDENCYPART_ARC
(25,22),-0.83741 # DEPENDENCYPART_ARC
(25,23),-1.09013 # DEPENDENCYPART_ARC
(25,24),-1.34998 # DEPENDENCYPART_ARC
