# _root_ Guber-Peters 's net income in the latest quarter compared with a net loss of $ 6.9 million , or 62 cents a share , in the year-earlier period .
#goldHeads=4,1,4,9,4,8,8,5,0,9,13,13,10,13,14,15,15,15,15,21,19,23,21,15,13,28,28,25,9,
#predictedHeads=4,1,4,9,4,8,8,5,0,9,13,13,10,13,14,15,15,15,15,21,19,23,21,15,13,28,28,25,9,
(18,4),-1.74618 # DEPENDENCYPART_ARC
(18,5),-2.10736 # DEPENDENCYPART_ARC
(18,6),-1.87067 # DEPENDENCYPART_ARC
(18,7),-2.03618 # DEPENDENCYPART_ARC
(18,8),-1.32582 # DEPENDENCYPART_ARC
(18,9),-0.268913 # DEPENDENCYPART_ARC
(18,10),-1.53493 # DEPENDENCYPART_ARC
(18,11),-1.1279 # DEPENDENCYPART_ARC
(18,12),-1.44178 # DEPENDENCYPART_ARC
(18,13),-1.37156 # DEPENDENCYPART_ARC
(18,14),-1.12838 # DEPENDENCYPART_ARC
(18,15),-0.577118 # DEPENDENCYPART_ARC
(18,16),-0.973684 # DEPENDENCYPART_ARC
(18,17),-0.290978 # DEPENDENCYPART_ARC
(18,19),0.149477 # DEPENDENCYPART_ARC
(18,20),-0.380785 # DEPENDENCYPART_ARC
(18,21),-0.755485 # DEPENDENCYPART_ARC
(18,22),-1.19657 # DEPENDENCYPART_ARC
(18,23),-1.38523 # DEPENDENCYPART_ARC
(18,24),0.471897 # DEPENDENCYPART_ARC
(18,25),-1.09239 # DEPENDENCYPART_ARC
(18,26),-1.61665 # DEPENDENCYPART_ARC
(18,27),-1.75613 # DEPENDENCYPART_ARC
(18,28),-2.2431 # DEPENDENCYPART_ARC
(18,29),-1.12029 # DEPENDENCYPART_ARC
(19,1),-2.59047 # DEPENDENCYPART_ARC
(19,2),-2.75767 # DEPENDENCYPART_ARC
(19,3),-2.66648 # DEPENDENCYPART_ARC
(19,4),-2.80846 # DEPENDENCYPART_ARC
(19,5),-2.04814 # DEPENDENCYPART_ARC
(19,6),-2.14942 # DEPENDENCYPART_ARC
(19,7),-2.13709 # DEPENDENCYPART_ARC
(19,8),-2.22155 # DEPENDENCYPART_ARC
(19,9),-1.97088 # DEPENDENCYPART_ARC
(19,10),-1.32367 # DEPENDENCYPART_ARC
(19,11),-1.42179 # DEPENDENCYPART_ARC
(19,12),-1.58445 # DEPENDENCYPART_ARC
(19,13),-1.55146 # DEPENDENCYPART_ARC
(19,14),-1.10143 # DEPENDENCYPART_ARC
(19,15),-0.976515 # DEPENDENCYPART_ARC
(19,16),-0.849393 # DEPENDENCYPART_ARC
(19,17),-0.941245 # DEPENDENCYPART_ARC
(19,18),-0.504138 # DEPENDENCYPART_ARC
(19,20),1.97294 # DEPENDENCYPART_ARC
(19,21),2.88539 # DEPENDENCYPART_ARC
(19,22),0.407789 # DEPENDENCYPART_ARC
(19,23),0.996396 # DEPENDENCYPART_ARC
(19,24),0.287399 # DEPENDENCYPART_ARC
(19,25),-0.491838 # DEPENDENCYPART_ARC
(19,26),-0.994212 # DEPENDENCYPART_ARC
(19,27),-1.00496 # DEPENDENCYPART_ARC
(19,28),-0.900609 # DEPENDENCYPART_ARC
(19,29),0.0446546 # DEPENDENCYPART_ARC
(20,1),-2.80022 # DEPENDENCYPART_ARC
(20,2),-2.69325 # DEPENDENCYPART_ARC
(20,3),-2.02323 # DEPENDENCYPART_ARC
(20,4),-2.86448 # DEPENDENCYPART_ARC
(20,5),-2.97203 # DEPENDENCYPART_ARC
(20,6),-1.33837 # DEPENDENCYPART_ARC
(20,7),-1.32791 # DEPENDENCYPART_ARC
(20,8),-2.43975 # DEPENDENCYPART_ARC
(20,9),-1.58746 # DEPENDENCYPART_ARC
(20,10),-1.43806 # DEPENDENCYPART_ARC
(20,11),-0.645759 # DEPENDENCYPART_ARC
(20,12),-0.790285 # DEPENDENCYPART_ARC
(20,13),-1.68518 # DEPENDENCYPART_ARC
(20,14),-0.376136 # DEPENDENCYPART_ARC
(20,15),-0.775569 # DEPENDENCYPART_ARC
(20,16),0.990618 # DEPENDENCYPART_ARC
(20,17),1.06079 # DEPENDENCYPART_ARC
(20,18),1.06566 # DEPENDENCYPART_ARC
(20,19),0.880088 # DEPENDENCYPART_ARC
(20,21),0.366447 # DEPENDENCYPART_ARC
(20,22),-0.556478 # DEPENDENCYPART_ARC
(20,23),-0.158912 # DEPENDENCYPART_ARC
(20,24),-0.242569 # DEPENDENCYPART_ARC
(20,25),-0.977038 # DEPENDENCYPART_ARC
(20,26),-1.33202 # DEPENDENCYPART_ARC
(20,27),-1.09892 # DEPENDENCYPART_ARC
(20,28),-0.995107 # DEPENDENCYPART_ARC
(20,29),-0.904527 # DEPENDENCYPART_ARC
(21,1),-2.14872 # DEPENDENCYPART_ARC
(21,2),-1.83816 # DEPENDENCYPART_ARC
(21,3),-3.64556 # DEPENDENCYPART_ARC
(21,4),-4.52255 # DEPENDENCYPART_ARC
(21,5),-1.67134 # DEPENDENCYPART_ARC
(21,6),-2.3104 # DEPENDENCYPART_ARC
(21,7),-1.01361 # DEPENDENCYPART_ARC
(21,8),-2.48725 # DEPENDENCYPART_ARC
(21,9),-2.17875 # DEPENDENCYPART_ARC
(21,10),-1.11237 # DEPENDENCYPART_ARC
(21,11),0.469582 # DEPENDENCYPART_ARC
(21,12),-0.0635063 # DEPENDENCYPART_ARC
(21,13),-1.27443 # DEPENDENCYPART_ARC
(21,14),0.131359 # DEPENDENCYPART_ARC
(21,15),-0.203097 # DEPENDENCYPART_ARC
(21,16),0.375628 # DEPENDENCYPART_ARC
(21,17),1.17095 # DEPENDENCYPART_ARC
(21,18),0.151107 # DEPENDENCYPART_ARC
(21,19),1.29585 # DEPENDENCYPART_ARC
(21,20),4.2451 # DEPENDENCYPART_ARC
(21,22),1.42816 # DEPENDENCYPART_ARC
(21,23),3.41118 # DEPENDENCYPART_ARC
(21,24),0.881931 # DEPENDENCYPART_ARC
(21,25),-0.271489 # DEPENDENCYPART_ARC
(21,26),-0.172863 # DEPENDENCYPART_ARC
(21,27),-0.131487 # DEPENDENCYPART_ARC
(21,28),-0.342422 # DEPENDENCYPART_ARC
(21,29),0.749997 # DEPENDENCYPART_ARC
(22,1),-3.81671 # DEPENDENCYPART_ARC
(22,2),-3.42286 # DEPENDENCYPART_ARC
(22,3),-3.28023 # DEPENDENCYPART_ARC
(22,4),-3.55642 # DEPENDENCYPART_ARC
(22,5),-2.37798 # DEPENDENCYPART_ARC
(22,6),-2.23905 # DEPENDENCYPART_ARC
(22,7),-2.59585 # DEPENDENCYPART_ARC
(22,8),-3.1833 # DEPENDENCYPART_ARC
(22,9),-2.61192 # DEPENDENCYPART_ARC
(22,10),-1.56994 # DEPENDENCYPART_ARC
(22,11),-1.98284 # DEPENDENCYPART_ARC
(22,12),-2.22899 # DEPENDENCYPART_ARC
(22,13),-2.48786 # DEPENDENCYPART_ARC
(22,14),-1.2636 # DEPENDENCYPART_ARC
(22,15),-1.72099 # DEPENDENCYPART_ARC
(22,16),-1.69279 # DEPENDENCYPART_ARC
(22,17),-1.42969 # DEPENDENCYPART_ARC
(22,18),-1.28939 # DEPENDENCYPART_ARC
(22,19),-1.55599 # DEPENDENCYPART_ARC
(22,20),-0.698612 # DEPENDENCYPART_ARC
(22,21),-0.491671 # DEPENDENCYPART_ARC
(22,23),0.281973 # DEPENDENCYPART_ARC
(22,24),-0.635777 # DEPENDENCYPART_ARC
(22,25),-0.976346 # DEPENDENCYPART_ARC
(22,26),-1.91184 # DEPENDENCYPART_ARC
(22,27),-1.43072 # DEPENDENCYPART_ARC
(22,28),-1.44601 # DEPENDENCYPART_ARC
(22,29),-1.38241 # DEPENDENCYPART_ARC
(23,1),-2.25627 # DEPENDENCYPART_ARC
(23,2),-2.21249 # DEPENDENCYPART_ARC
(23,3),-4.43319 # DEPENDENCYPART_ARC
(23,4),-7.22924 # DEPENDENCYPART_ARC
(23,5),-1.82172 # DEPENDENCYPART_ARC
(23,6),-3.58419 # DEPENDENCYPART_ARC
(23,7),-1.63781 # DEPENDENCYPART_ARC
(23,8),-4.35771 # DEPENDENCYPART_ARC
(23,9),-2.67545 # DEPENDENCYPART_ARC
(23,10),-1.87478 # DEPENDENCYPART_ARC
(23,11),0.546402 # DEPENDENCYPART_ARC
(23,12),-1.0788 # DEPENDENCYPART_ARC
(23,13),-2.70437 # DEPENDENCYPART_ARC
(23,14),-0.388121 # DEPENDENCYPART_ARC
(23,15),-1.17281 # DEPENDENCYPART_ARC
(23,16),-1.24593 # DEPENDENCYPART_ARC
(23,17),-1.84826 # DEPENDENCYPART_ARC
(23,18),0.0618824 # DEPENDENCYPART_ARC
(23,19),0.175717 # DEPENDENCYPART_ARC
(23,20),0.496109 # DEPENDENCYPART_ARC
(23,21),0.764973 # DEPENDENCYPART_ARC
(23,22),5.12182 # DEPENDENCYPART_ARC
(23,24),0.378027 # DEPENDENCYPART_ARC
(23,25),0.0311736 # DEPENDENCYPART_ARC
(23,26),-1.10139 # DEPENDENCYPART_ARC
(23,27),-0.805344 # DEPENDENCYPART_ARC
(23,28),-0.408755 # DEPENDENCYPART_ARC
(23,29),-1.05166 # DEPENDENCYPART_ARC
(24,1),-3.14237 # DEPENDENCYPART_ARC
(24,2),-3.45959 # DEPENDENCYPART_ARC
(24,3),-3.58154 # DEPENDENCYPART_ARC
(24,4),-2.56866 # DEPENDENCYPART_ARC
(24,5),-3.20539 # DEPENDENCYPART_ARC
(24,6),-2.81025 # DEPENDENCYPART_ARC
(24,7),-3.00737 # DEPENDENCYPART_ARC
(24,8),-2.19113 # DEPENDENCYPART_ARC
(24,9),-0.899887 # DEPENDENCYPART_ARC
(24,10),-2.57456 # DEPENDENCYPART_ARC
(24,11),-2.30375 # DEPENDENCYPART_ARC
(24,12),-2.5423 # DEPENDENCYPART_ARC
(24,13),-2.17675 # DEPENDENCYPART_ARC
(24,14),-2.08083 # DEPENDENCYPART_ARC
(24,15),-1.98935 # DEPENDENCYPART_ARC
(24,16),-2.11154 # DEPENDENCYPART_ARC
(24,17),-1.99019 # DEPENDENCYPART_ARC
(24,18),-0.333703 # DEPENDENCYPART_ARC
(24,19),-2.136 # DEPENDENCYPART_ARC
(24,20),-1.5527 # DEPENDENCYPART_ARC
(24,21),-1.27952 # DEPENDENCYPART_ARC
(24,22),-0.782125 # DEPENDENCYPART_ARC
(24,23),-1.25723 # DEPENDENCYPART_ARC
(24,25),-0.46232 # DEPENDENCYPART_ARC
(24,26),-0.759659 # DEPENDENCYPART_ARC
(24,27),-0.941281 # DEPENDENCYPART_ARC
(24,28),-1.46003 # DEPENDENCYPART_ARC
(24,29),-1.18041 # DEPENDENCYPART_ARC
(25,1),-2.27601 # DEPENDENCYPART_ARC
(25,2),-2.96978 # DEPENDENCYPART_ARC
(25,3),-2.94392 # DEPENDENCYPART_ARC
(25,4),-4.21715 # DEPENDENCYPART_ARC
(25,5),-3.54309 # DEPENDENCYPART_ARC
(25,6),-2.98197 # DEPENDENCYPART_ARC
(25,7),-3.04186 # DEPENDENCYPART_ARC
(25,8),-3.53965 # DEPENDENCYPART_ARC
(25,9),-2.08638 # DEPENDENCYPART_ARC
(25,10),-2.92315 # DEPENDENCYPART_ARC
(25,11),-2.48164 # DEPENDENCYPART_ARC
(25,12),-2.05428 # DEPENDENCYPART_ARC
(25,13),-2.95835 # DEPENDENCYPART_ARC
(25,14),-2.54455 # DEPENDENCYPART_ARC
(25,15),-1.41263 # DEPENDENCYPART_ARC
(25,16),-0.895029 # DEPENDENCYPART_ARC
(25,17),-1.00436 # DEPENDENCYPART_ARC
(25,18),-1.0528 # DEPENDENCYPART_ARC
(25,19),-1.35917 # DEPENDENCYPART_ARC
(25,20),-0.717316 # DEPENDENCYPART_ARC
(25,21),-0.950899 # DEPENDENCYPART_ARC
(25,22),-0.187887 # DEPENDENCYPART_ARC
(25,23),-1.10255 # DEPENDENCYPART_ARC
(25,24),0.738518 # DEPENDENCYPART_ARC
(25,26),0.3951 # DEPENDENCYPART_ARC
(25,27),1.2975 # DEPENDENCYPART_ARC
(25,28),3.59387 # DEPENDENCYPART_ARC
(25,29),0.10956 # DEPENDENCYPART_ARC
(26,1),-5.08404 # DEPENDENCYPART_ARC
(26,2),-4.73755 # DEPENDENCYPART_ARC
(26,3),-4.74154 # DEPENDENCYPART_ARC
(26,4),-5.10145 # DEPENDENCYPART_ARC
(26,5),-4.72565 # DEPENDENCYPART_ARC
(26,6),-3.98349 # DEPENDENCYPART_ARC
(26,7),-4.00288 # DEPENDENCYPART_ARC
(26,8),-4.55304 # DEPENDENCYPART_ARC
(26,9),-3.93688 # DEPENDENCYPART_ARC
(26,10),-3.78177 # DEPENDENCYPART_ARC
(26,11),-3.49281 # DEPENDENCYPART_ARC
(26,12),-3.73467 # DEPENDENCYPART_ARC
(26,13),-4.05908 # DEPENDENCYPART_ARC
(26,14),-3.31896 # DEPENDENCYPART_ARC
(26,15),-3.23637 # DEPENDENCYPART_ARC
(26,16),-2.93292 # DEPENDENCYPART_ARC
(26,17),-2.8663 # DEPENDENCYPART_ARC
(26,18),-2.94959 # DEPENDENCYPART_ARC
(26,19),-3.33024 # DEPENDENCYPART_ARC
(26,20),-2.4709 # DEPENDENCYPART_ARC
(26,21),-2.76269 # DEPENDENCYPART_ARC
(26,22),-1.70796 # DEPENDENCYPART_ARC
(26,23),-2.26689 # DEPENDENCYPART_ARC
(26,24),-1.71374 # DEPENDENCYPART_ARC
(26,25),-1.39848 # DEPENDENCYPART_ARC
(26,27),-0.198277 # DEPENDENCYPART_ARC
(26,28),-0.910413 # DEPENDENCYPART_ARC
(26,29),-1.81392 # DEPENDENCYPART_ARC
(27,1),-4.19585 # DEPENDENCYPART_ARC
(27,2),-3.71584 # DEPENDENCYPART_ARC
(27,3),-3.86123 # DEPENDENCYPART_ARC
(27,4),-3.50518 # DEPENDENCYPART_ARC
(27,5),-3.80447 # DEPENDENCYPART_ARC
(27,6),-2.85861 # DEPENDENCYPART_ARC
(27,7),-2.64587 # DEPENDENCYPART_ARC
(27,8),-2.99308 # DEPENDENCYPART_ARC
(27,9),-3.09444 # DEPENDENCYPART_ARC
(27,10),-2.99207 # DEPENDENCYPART_ARC
(27,11),-0.402897 # DEPENDENCYPART_ARC
(27,12),-2.26159 # DEPENDENCYPART_ARC
(27,13),-2.72305 # DEPENDENCYPART_ARC
(27,14),-1.8902 # DEPENDENCYPART_ARC
(27,15),-1.85357 # DEPENDENCYPART_ARC
(27,16),-1.57232 # DEPENDENCYPART_ARC
(27,17),-1.76453 # DEPENDENCYPART_ARC
(27,18),-1.9078 # DEPENDENCYPART_ARC
(27,19),-2.43081 # DEPENDENCYPART_ARC
(27,20),-1.3119 # DEPENDENCYPART_ARC
(27,21),-1.29106 # DEPENDENCYPART_ARC
(27,22),-0.0356498 # DEPENDENCYPART_ARC
(27,23),-1.04974 # DEPENDENCYPART_ARC
(27,24),-0.430346 # DEPENDENCYPART_ARC
(27,25),-0.362302 # DEPENDENCYPART_ARC
(27,26),1.89043 # DEPENDENCYPART_ARC
(27,28),1.16376 # DEPENDENCYPART_ARC
(27,29),-0.250681 # DEPENDENCYPART_ARC
(28,1),-2.48909 # DEPENDENCYPART_ARC
(28,2),-2.30322 # DEPENDENCYPART_ARC
(28,3),-5.2253 # DEPENDENCYPART_ARC
(28,4),-8.66473 # DEPENDENCYPART_ARC
(28,5),-2.95032 # DEPENDENCYPART_ARC
(28,6),-5.33984 # DEPENDENCYPART_ARC
(28,7),-2.02566 # DEPENDENCYPART_ARC
(28,8),-5.95355 # DEPENDENCYPART_ARC
(28,9),-3.0789 # DEPENDENCYPART_ARC
(28,10),-2.7872 # DEPENDENCYPART_ARC
(28,11),-0.515848 # DEPENDENCYPART_ARC
(28,12),-1.83396 # DEPENDENCYPART_ARC
(28,13),-4.42895 # DEPENDENCYPART_ARC
(28,14),-1.50333 # DEPENDENCYPART_ARC
(28,15),-3.12394 # DEPENDENCYPART_ARC
(28,16),-2.49904 # DEPENDENCYPART_ARC
(28,17),-3.19653 # DEPENDENCYPART_ARC
(28,18),-1.01128 # DEPENDENCYPART_ARC
(28,19),-0.283751 # DEPENDENCYPART_ARC
(28,20),-1.79491 # DEPENDENCYPART_ARC
(28,21),-0.817333 # DEPENDENCYPART_ARC
(28,22),0.919727 # DEPENDENCYPART_ARC
(28,23),-0.439848 # DEPENDENCYPART_ARC
(28,24),0.0507922 # DEPENDENCYPART_ARC
(28,25),0.555396 # DEPENDENCYPART_ARC
(28,26),4.85904 # DEPENDENCYPART_ARC
(28,27),4.28597 # DEPENDENCYPART_ARC
(28,29),0.193664 # DEPENDENCYPART_ARC
(29,1),-2.77528 # DEPENDENCYPART_ARC
(29,2),-3.85171 # DEPENDENCYPART_ARC
(29,3),-3.81161 # DEPENDENCYPART_ARC
(29,4),-3.39588 # DEPENDENCYPART_ARC
(29,5),-4.30497 # DEPENDENCYPART_ARC
(29,6),-3.10798 # DEPENDENCYPART_ARC
(29,7),-3.06089 # DEPENDENCYPART_ARC
(29,8),-3.2969 # DEPENDENCYPART_ARC
(29,9),-2.77112 # DEPENDENCYPART_ARC
(29,10),-3.92375 # DEPENDENCYPART_ARC
(29,11),-2.74323 # DEPENDENCYPART_ARC
(29,12),-2.82752 # DEPENDENCYPART_ARC
(29,13),-2.86094 # DEPENDENCYPART_ARC
(29,14),-2.73628 # DEPENDENCYPART_ARC
(29,15),-2.82144 # DEPENDENCYPART_ARC
(29,16),-2.47491 # DEPENDENCYPART_ARC
(29,17),-2.4142 # DEPENDENCYPART_ARC
(29,18),-0.783747 # DEPENDENCYPART_ARC
(29,19),-1.79264 # DEPENDENCYPART_ARC
(29,20),-2.13367 # DEPENDENCYPART_ARC
(29,21),-1.85071 # DEPENDENCYPART_ARC
(29,22),-1.32085 # DEPENDENCYPART_ARC
(29,23),-1.71769 # DEPENDENCYPART_ARC
(29,24),-0.621468 # DEPENDENCYPART_ARC
(29,25),-1.6749 # DEPENDENCYPART_ARC
(29,26),-0.659028 # DEPENDENCYPART_ARC
(29,27),-1.70503 # DEPENDENCYPART_ARC
(29,28),-1.70017 # DEPENDENCYPART_ARC
