# _root_ The plan had been to make one of Shearson 's easy-to-film , black-and-white `` Where We Stand '' commercials , which have been running occasionally in response to news events since 1985 .
#goldHeads=2,3,0,3,4,5,6,7,19,9,19,19,19,19,17,17,19,19,8,19,22,19,22,23,24,24,26,27,30,28,24,31,3,
#predictedHeads=2,3,0,3,4,5,6,7,19,9,19,11,19,19,17,17,6,19,17,19,22,19,22,23,24,24,26,27,30,28,24,31,3,
(15,28),-1.38685 # DEPENDENCYPART_ARC
(15,29),-1.08348 # DEPENDENCYPART_ARC
(15,30),-1.82137 # DEPENDENCYPART_ARC
(15,31),-1.2644 # DEPENDENCYPART_ARC
(15,32),-2.16327 # DEPENDENCYPART_ARC
(15,33),-0.42405 # DEPENDENCYPART_ARC
(16,1),-2.58237 # DEPENDENCYPART_ARC
(16,2),-3.54584 # DEPENDENCYPART_ARC
(16,3),-2.56018 # DEPENDENCYPART_ARC
(16,4),-2.69315 # DEPENDENCYPART_ARC
(16,5),-2.6663 # DEPENDENCYPART_ARC
(16,6),-2.59283 # DEPENDENCYPART_ARC
(16,7),-2.40743 # DEPENDENCYPART_ARC
(16,8),-2.06466 # DEPENDENCYPART_ARC
(16,9),-2.25677 # DEPENDENCYPART_ARC
(16,10),-2.13188 # DEPENDENCYPART_ARC
(16,11),-1.72849 # DEPENDENCYPART_ARC
(16,12),-0.957972 # DEPENDENCYPART_ARC
(16,13),-1.15307 # DEPENDENCYPART_ARC
(16,14),-1.12464 # DEPENDENCYPART_ARC
(16,15),0.286827 # DEPENDENCYPART_ARC
(16,17),0.741031 # DEPENDENCYPART_ARC
(16,18),-0.0107264 # DEPENDENCYPART_ARC
(16,19),0.0356384 # DEPENDENCYPART_ARC
(16,20),0.242526 # DEPENDENCYPART_ARC
(16,21),-1.60989 # DEPENDENCYPART_ARC
(16,22),-0.82614 # DEPENDENCYPART_ARC
(16,23),-1.25511 # DEPENDENCYPART_ARC
(16,24),-0.909708 # DEPENDENCYPART_ARC
(16,25),-1.20445 # DEPENDENCYPART_ARC
(16,26),-0.827462 # DEPENDENCYPART_ARC
(16,27),-1.42535 # DEPENDENCYPART_ARC
(16,28),-1.58769 # DEPENDENCYPART_ARC
(16,29),-1.58488 # DEPENDENCYPART_ARC
(16,30),-1.81225 # DEPENDENCYPART_ARC
(16,31),-1.37201 # DEPENDENCYPART_ARC
(16,32),-2.52036 # DEPENDENCYPART_ARC
(16,33),-1.32067 # DEPENDENCYPART_ARC
(17,1),-0.848249 # DEPENDENCYPART_ARC
(17,2),-0.824068 # DEPENDENCYPART_ARC
(17,3),-0.117515 # DEPENDENCYPART_ARC
(17,4),-0.239355 # DEPENDENCYPART_ARC
(17,5),0.442518 # DEPENDENCYPART_ARC
(17,6),-0.543426 # DEPENDENCYPART_ARC
(17,7),-0.197002 # DEPENDENCYPART_ARC
(17,8),-0.00854401 # DEPENDENCYPART_ARC
(17,9),0.286885 # DEPENDENCYPART_ARC
(17,10),0.248248 # DEPENDENCYPART_ARC
(17,11),-0.0847627 # DEPENDENCYPART_ARC
(17,12),1.15867 # DEPENDENCYPART_ARC
(17,13),0.355135 # DEPENDENCYPART_ARC
(17,14),1.39763 # DEPENDENCYPART_ARC
(17,15),3.27341 # DEPENDENCYPART_ARC
(17,16),4.04829 # DEPENDENCYPART_ARC
(17,18),2.39978 # DEPENDENCYPART_ARC
(17,19),2.48483 # DEPENDENCYPART_ARC
(17,20),0.981217 # DEPENDENCYPART_ARC
(17,21),-0.40744 # DEPENDENCYPART_ARC
(17,22),1.09108 # DEPENDENCYPART_ARC
(17,23),0.705548 # DEPENDENCYPART_ARC
(17,24),0.835557 # DEPENDENCYPART_ARC
(17,25),-0.138851 # DEPENDENCYPART_ARC
(17,26),0.667384 # DEPENDENCYPART_ARC
(17,27),-0.861621 # DEPENDENCYPART_ARC
(17,28),0.31081 # DEPENDENCYPART_ARC
(17,29),-1.81188 # DEPENDENCYPART_ARC
(17,30),-1.26322 # DEPENDENCYPART_ARC
(17,31),0.766154 # DEPENDENCYPART_ARC
(17,32),-1.21485 # DEPENDENCYPART_ARC
(17,33),2.71021 # DEPENDENCYPART_ARC
(18,1),-2.34859 # DEPENDENCYPART_ARC
(18,2),-3.46182 # DEPENDENCYPART_ARC
(18,3),-2.81943 # DEPENDENCYPART_ARC
(18,4),-2.76639 # DEPENDENCYPART_ARC
(18,5),-2.5007 # DEPENDENCYPART_ARC
(18,6),-2.57579 # DEPENDENCYPART_ARC
(18,7),-2.52477 # DEPENDENCYPART_ARC
(18,8),-2.04906 # DEPENDENCYPART_ARC
(18,9),-2.35522 # DEPENDENCYPART_ARC
(18,10),-2.2243 # DEPENDENCYPART_ARC
(18,11),-2.20282 # DEPENDENCYPART_ARC
(18,12),-1.49067 # DEPENDENCYPART_ARC
(18,13),-1.90886 # DEPENDENCYPART_ARC
(18,14),-0.193042 # DEPENDENCYPART_ARC
(18,15),-0.323143 # DEPENDENCYPART_ARC
(18,16),-0.740614 # DEPENDENCYPART_ARC
(18,17),-0.658735 # DEPENDENCYPART_ARC
(18,19),-0.0383153 # DEPENDENCYPART_ARC
(18,20),-0.800253 # DEPENDENCYPART_ARC
(18,21),-1.90822 # DEPENDENCYPART_ARC
(18,22),-1.1431 # DEPENDENCYPART_ARC
(18,23),-1.57713 # DEPENDENCYPART_ARC
(18,24),-1.58567 # DEPENDENCYPART_ARC
(18,25),-1.84672 # DEPENDENCYPART_ARC
(18,26),-1.63219 # DEPENDENCYPART_ARC
(18,27),-2.13033 # DEPENDENCYPART_ARC
(18,28),-1.87149 # DEPENDENCYPART_ARC
(18,29),-2.27869 # DEPENDENCYPART_ARC
(18,30),-2.54028 # DEPENDENCYPART_ARC
(18,31),-2.28147 # DEPENDENCYPART_ARC
(18,32),-3.13545 # DEPENDENCYPART_ARC
(18,33),-1.79548 # DEPENDENCYPART_ARC
(19,1),-2.22059 # DEPENDENCYPART_ARC
(19,2),-1.82875 # DEPENDENCYPART_ARC
(19,3),-0.535241 # DEPENDENCYPART_ARC
(19,4),-1.00458 # DEPENDENCYPART_ARC
(19,5),-0.721138 # DEPENDENCYPART_ARC
(19,6),-0.415562 # DEPENDENCYPART_ARC
(19,7),-0.774311 # DEPENDENCYPART_ARC
(19,8),-0.232405 # DEPENDENCYPART_ARC
(19,9),2.3392 # DEPENDENCYPART_ARC
(19,10),0.283006 # DEPENDENCYPART_ARC
(19,11),1.99773 # DEPENDENCYPART_ARC
(19,12),1.82521 # DEPENDENCYPART_ARC
(19,13),1.89059 # DEPENDENCYPART_ARC
(19,14),3.69358 # DEPENDENCYPART_ARC
(19,15),2.25679 # DEPENDENCYPART_ARC
(19,16),1.61588 # DEPENDENCYPART_ARC
(19,17),1.60893 # DEPENDENCYPART_ARC
(19,18),3.58442 # DEPENDENCYPART_ARC
(19,20),2.85548 # DEPENDENCYPART_ARC
(19,21),0.0371719 # DEPENDENCYPART_ARC
(19,22),3.54529 # DEPENDENCYPART_ARC
(19,23),0.781105 # DEPENDENCYPART_ARC
(19,24),1.01404 # DEPENDENCYPART_ARC
(19,25),0.337068 # DEPENDENCYPART_ARC
(19,26),0.128503 # DEPENDENCYPART_ARC
(19,27),0.164383 # DEPENDENCYPART_ARC
(19,28),0.078609 # DEPENDENCYPART_ARC
(19,29),0.0588049 # DEPENDENCYPART_ARC
(19,30),0.0657066 # DEPENDENCYPART_ARC
(19,31),0.31716 # DEPENDENCYPART_ARC
(19,32),-0.494387 # DEPENDENCYPART_ARC
(19,33),0.964086 # DEPENDENCYPART_ARC
(20,1),-2.90296 # DEPENDENCYPART_ARC
(20,2),-2.72458 # DEPENDENCYPART_ARC
(20,3),-2.45976 # DEPENDENCYPART_ARC
(20,4),-2.37151 # DEPENDENCYPART_ARC
(20,5),-2.26305 # DEPENDENCYPART_ARC
(20,6),-2.65192 # DEPENDENCYPART_ARC
(20,7),-2.5737 # DEPENDENCYPART_ARC
(20,8),-2.23981 # DEPENDENCYPART_ARC
(20,9),-2.63999 # DEPENDENCYPART_ARC
(20,10),-2.22873 # DEPENDENCYPART_ARC
(20,11),-2.16313 # DEPENDENCYPART_ARC
(20,12),-0.548412 # DEPENDENCYPART_ARC
(20,13),-1.89915 # DEPENDENCYPART_ARC
(20,14),-1.45812 # DEPENDENCYPART_ARC
(20,15),-0.83487 # DEPENDENCYPART_ARC
(20,16),-1.65584 # DEPENDENCYPART_ARC
(20,17),-1.61301 # DEPENDENCYPART_ARC
(20,18),-1.15486 # DEPENDENCYPART_ARC
(20,19),-1.16252 # DEPENDENCYPART_ARC
(20,21),-0.866176 # DEPENDENCYPART_ARC
(20,22),-0.613159 # DEPENDENCYPART_ARC
(20,23),-1.29732 # DEPENDENCYPART_ARC
(20,24),-1.52393 # DEPENDENCYPART_ARC
(20,25),-1.84489 # DEPENDENCYPART_ARC
(20,26),-1.65891 # DEPENDENCYPART_ARC
(20,27),-2.32558 # DEPENDENCYPART_ARC
(20,28),-1.99502 # DEPENDENCYPART_ARC
(20,29),-2.5407 # DEPENDENCYPART_ARC
(20,30),-2.62327 # DEPENDENCYPART_ARC
(20,31),-1.93467 # DEPENDENCYPART_ARC
(20,32),-3.00687 # DEPENDENCYPART_ARC
(20,33),-1.88247 # DEPENDENCYPART_ARC
(21,1),-2.36799 # DEPENDENCYPART_ARC
(21,2),-3.01981 # DEPENDENCYPART_ARC
(21,3),-2.54507 # DEPENDENCYPART_ARC
(21,4),-2.41733 # DEPENDENCYPART_ARC
(21,5),-2.34373 # DEPENDENCYPART_ARC
(21,6),-2.35908 # DEPENDENCYPART_ARC
(21,7),-2.22445 # DEPENDENCYPART_ARC
(21,8),-1.70997 # DEPENDENCYPART_ARC
(21,9),-2.10126 # DEPENDENCYPART_ARC
(21,10),-1.97921 # DEPENDENCYPART_ARC
(21,11),-1.53742 # DEPENDENCYPART_ARC
(21,12),-1.60868 # DEPENDENCYPART_ARC
(21,13),-1.36139 # DEPENDENCYPART_ARC
(21,14),-1.23857 # DEPENDENCYPART_ARC
(21,15),-0.524469 # DEPENDENCYPART_ARC
(21,16),-1.20009 # DEPENDENCYPART_ARC
(21,17),-1.18711 # DEPENDENCYPART_ARC
(21,18),-0.851474 # DEPENDENCYPART_ARC
(21,19),-0.635867 # DEPENDENCYPART_ARC
(21,20),0.372936 # DEPENDENCYPART_ARC
(21,22),0.689642 # DEPENDENCYPART_ARC
(21,23),-0.318109 # DEPENDENCYPART_ARC
(21,24),-0.76768 # DEPENDENCYPART_ARC
(21,25),-1.30538 # DEPENDENCYPART_ARC
(21,26),-1.37124 # DEPENDENCYPART_ARC
(21,27),-1.14327 # DEPENDENCYPART_ARC
(21,28),-1.36783 # DEPENDENCYPART_ARC
(21,29),-1.44654 # DEPENDENCYPART_ARC
(21,30),-2.01614 # DEPENDENCYPART_ARC
(21,31),-1.71738 # DEPENDENCYPART_ARC
(21,32),-2.45778 # DEPENDENCYPART_ARC
(21,33),-1.46595 # DEPENDENCYPART_ARC
(22,1),-2.65839 # DEPENDENCYPART_ARC
(22,2),-2.73318 # DEPENDENCYPART_ARC
(22,3),-2.51691 # DEPENDENCYPART_ARC
(22,4),-2.07636 # DEPENDENCYPART_ARC
(22,5),-1.23332 # DEPENDENCYPART_ARC
(22,6),-2.54392 # DEPENDENCYPART_ARC
(22,7),-1.95059 # DEPENDENCYPART_ARC
(22,8),-1.86678 # DEPENDENCYPART_ARC
(22,9),-1.58252 # DEPENDENCYPART_ARC
(22,10),-1.6619 # DEPENDENCYPART_ARC
(22,11),-1.77249 # DEPENDENCYPART_ARC
(22,12),-1.03987 # DEPENDENCYPART_ARC
(22,13),-1.41941 # DEPENDENCYPART_ARC
(22,14),0.00955227 # DEPENDENCYPART_ARC
(22,15),-0.0551527 # DEPENDENCYPART_ARC
(22,16),-0.0458184 # DEPENDENCYPART_ARC
(22,17),-1.27326 # DEPENDENCYPART_ARC
(22,18),0.246838 # DEPENDENCYPART_ARC
(22,19),-0.127722 # DEPENDENCYPART_ARC
(22,20),-0.395492 # DEPENDENCYPART_ARC
(22,21),3.1494 # DEPENDENCYPART_ARC
(22,23),4.57873 # DEPENDENCYPART_ARC
(22,24),1.42711 # DEPENDENCYPART_ARC
(22,25),0.349593 # DEPENDENCYPART_ARC
(22,26),0.532841 # DEPENDENCYPART_ARC
(22,27),0.635975 # DEPENDENCYPART_ARC
(22,28),0.942993 # DEPENDENCYPART_ARC
(22,29),-0.900936 # DEPENDENCYPART_ARC
(22,30),-1.18842 # DEPENDENCYPART_ARC
(22,31),0.638467 # DEPENDENCYPART_ARC
(22,32),-0.954085 # DEPENDENCYPART_ARC
(22,33),2.63307 # DEPENDENCYPART_ARC
(23,1),-2.24191 # DEPENDENCYPART_ARC
(23,2),-2.58496 # DEPENDENCYPART_ARC
(23,3),-0.975293 # DEPENDENCYPART_ARC
(23,4),-2.23697 # DEPENDENCYPART_ARC
(23,5),-2.07191 # DEPENDENCYPART_ARC
(23,6),-2.29433 # DEPENDENCYPART_ARC
(23,7),-2.27831 # DEPENDENCYPART_ARC
(23,8),-1.38475 # DEPENDENCYPART_ARC
(23,9),-1.35649 # DEPENDENCYPART_ARC
(23,10),-1.50815 # DEPENDENCYPART_ARC
(23,11),-1.14411 # DEPENDENCYPART_ARC
(23,12),-0.852701 # DEPENDENCYPART_ARC
(23,13),-0.771302 # DEPENDENCYPART_ARC
(23,14),-0.92919 # DEPENDENCYPART_ARC
(23,15),1.69211 # DEPENDENCYPART_ARC
(23,16),-0.617537 # DEPENDENCYPART_ARC
(23,17),-0.592511 # DEPENDENCYPART_ARC
(23,18),-0.98263 # DEPENDENCYPART_ARC
(23,19),-0.336447 # DEPENDENCYPART_ARC
(23,20),0.247241 # DEPENDENCYPART_ARC
(23,21),1.17012 # DEPENDENCYPART_ARC
(23,22),0.600342 # DEPENDENCYPART_ARC
(23,24),3.73544 # DEPENDENCYPART_ARC
(23,25),1.32654 # DEPENDENCYPART_ARC
(23,26),1.81173 # DEPENDENCYPART_ARC
(23,27),0.291444 # DEPENDENCYPART_ARC
(23,28),0.669276 # DEPENDENCYPART_ARC
(23,29),-0.486243 # DEPENDENCYPART_ARC
(23,30),0.12823 # DEPENDENCYPART_ARC
(23,31),2.23475 # DEPENDENCYPART_ARC
(23,32),-0.31726 # DEPENDENCYPART_ARC
(23,33),1.39283 # DEPENDENCYPART_ARC
(24,1),-1.72112 # DEPENDENCYPART_ARC
(24,2),-2.87117 # DEPENDENCYPART_ARC
(24,3),-1.4662 # DEPENDENCYPART_ARC
(24,4),-1.4067 # DEPENDENCYPART_ARC
(24,5),-1.46032 # DEPENDENCYPART_ARC
(24,6),-1.43875 # DEPENDENCYPART_ARC
(24,7),-1.2444 # DEPENDENCYPART_ARC
(24,8),-1.02198 # DEPENDENCYPART_ARC
(24,9),-0.387988 # DEPENDENCYPART_ARC
(24,10),-0.75443 # DEPENDENCYPART_ARC
(24,11),-1.26057 # DEPENDENCYPART_ARC
(24,12),-0.518835 # DEPENDENCYPART_ARC
(24,13),-1.01166 # DEPENDENCYPART_ARC
(24,14),-0.698257 # DEPENDENCYPART_ARC
(24,15),1.74574 # DEPENDENCYPART_ARC
(24,16),-0.267039 # DEPENDENCYPART_ARC
(24,17),-0.118407 # DEPENDENCYPART_ARC
(24,18),-0.49159 # DEPENDENCYPART_ARC
(24,19),0.233715 # DEPENDENCYPART_ARC
(24,20),0.565024 # DEPENDENCYPART_ARC
(24,21),2.05067 # DEPENDENCYPART_ARC
(24,22),0.44779 # DEPENDENCYPART_ARC
(24,23),1.65077 # DEPENDENCYPART_ARC
(24,25),3.58218 # DEPENDENCYPART_ARC
(24,26),3.86865 # DEPENDENCYPART_ARC
(24,27),2.58829 # DEPENDENCYPART_ARC
(24,28),2.97007 # DEPENDENCYPART_ARC
(24,29),1.36498 # DEPENDENCYPART_ARC
(24,30),0.971056 # DEPENDENCYPART_ARC
(24,31),3.29215 # DEPENDENCYPART_ARC
(24,32),0.561662 # DEPENDENCYPART_ARC
(24,33),1.63592 # DEPENDENCYPART_ARC
(25,1),-2.47538 # DEPENDENCYPART_ARC
(25,2),-3.41764 # DEPENDENCYPART_ARC
(25,3),-2.82127 # DEPENDENCYPART_ARC
(25,4),-2.69438 # DEPENDENCYPART_ARC
(25,5),-2.65557 # DEPENDENCYPART_ARC
(25,6),-2.62016 # DEPENDENCYPART_ARC
(25,7),-2.4501 # DEPENDENCYPART_ARC
(25,8),-1.72079 # DEPENDENCYPART_ARC
(25,9),-2.45081 # DEPENDENCYPART_ARC
(25,10),-2.1713 # DEPENDENCYPART_ARC
(25,11),-1.59573 # DEPENDENCYPART_ARC
(25,12),-1.53464 # DEPENDENCYPART_ARC
(25,13),-1.5407 # DEPENDENCYPART_ARC
(25,14),-1.63578 # DEPENDENCYPART_ARC
(25,15),-0.480772 # DEPENDENCYPART_ARC
(25,16),-1.87105 # DEPENDENCYPART_ARC
(25,17),-1.60542 # DEPENDENCYPART_ARC
(25,18),-1.69171 # DEPENDENCYPART_ARC
(25,19),-1.23576 # DEPENDENCYPART_ARC
(25,20),-0.834383 # DEPENDENCYPART_ARC
(25,21),-0.450743 # DEPENDENCYPART_ARC
(25,22),-0.8989 # DEPENDENCYPART_ARC
(25,23),-0.115888 # DEPENDENCYPART_ARC
(25,24),0.230349 # DEPENDENCYPART_ARC
(25,26),1.53824 # DEPENDENCYPART_ARC
(25,27),1.30876 # DEPENDENCYPART_ARC
(25,28),0.961859 # DEPENDENCYPART_ARC
(25,29),0.676266 # DEPENDENCYPART_ARC
(25,30),0.123225 # DEPENDENCYPART_ARC
(25,31),0.487401 # DEPENDENCYPART_ARC
(25,32),-0.571517 # DEPENDENCYPART_ARC
(25,33),-0.172376 # DEPENDENCYPART_ARC
(26,1),-3.00696 # DEPENDENCYPART_ARC
(26,2),-3.77115 # DEPENDENCYPART_ARC
(26,3),-2.02742 # DEPENDENCYPART_ARC
(26,4),-2.39751 # DEPENDENCYPART_ARC
(26,5),-2.27975 # DEPENDENCYPART_ARC
(26,6),-2.41351 # DEPENDENCYPART_ARC
(26,7),-1.97852 # DEPENDENCYPART_ARC
(26,8),-1.59238 # DEPENDENCYPART_ARC
(26,9),-2.26849 # DEPENDENCYPART_ARC
(26,10),-1.60346 # DEPENDENCYPART_ARC
(26,11),-1.76173 # DEPENDENCYPART_ARC
(26,12),-1.44392 # DEPENDENCYPART_ARC
(26,13),-1.57423 # DEPENDENCYPART_ARC
(26,14),-0.564776 # DEPENDENCYPART_ARC
(26,15),0.135051 # DEPENDENCYPART_ARC
(26,16),-1.3959 # DEPENDENCYPART_ARC
(26,17),-1.2368 # DEPENDENCYPART_ARC
(26,18),-0.917944 # DEPENDENCYPART_ARC
(26,19),-0.961971 # DEPENDENCYPART_ARC
(26,20),-0.353008 # DEPENDENCYPART_ARC
(26,21),0.484452 # DEPENDENCYPART_ARC
(26,22),-0.738826 # DEPENDENCYPART_ARC
(26,23),-0.065744 # DEPENDENCYPART_ARC
(26,24),-0.290125 # DEPENDENCYPART_ARC
(26,25),1.54771 # DEPENDENCYPART_ARC
(26,27),3.2804 # DEPENDENCYPART_ARC
(26,28),1.29481 # DEPENDENCYPART_ARC
(26,29),0.377135 # DEPENDENCYPART_ARC
(26,30),1.18028 # DEPENDENCYPART_ARC
(26,31),-0.153742 # DEPENDENCYPART_ARC
(26,32),-0.574032 # DEPENDENCYPART_ARC
(26,33),-0.193397 # DEPENDENCYPART_ARC
(27,1),-6.50551 # DEPENDENCYPART_ARC
(27,2),-6.83978 # DEPENDENCYPART_ARC
(27,3),-4.12941 # DEPENDENCYPART_ARC
(27,4),-4.5432 # DEPENDENCYPART_ARC
(27,5),-4.36415 # DEPENDENCYPART_ARC
(27,6),-3.74136 # DEPENDENCYPART_ARC
(27,7),-4.06559 # DEPENDENCYPART_ARC
(27,8),-3.27781 # DEPENDENCYPART_ARC
(27,9),-2.88439 # DEPENDENCYPART_ARC
(27,10),-2.49792 # DEPENDENCYPART_ARC
(27,11),-2.76791 # DEPENDENCYPART_ARC
(27,12),-1.33203 # DEPENDENCYPART_ARC
(27,13),-2.92233 # DEPENDENCYPART_ARC
(27,14),-1.76893 # DEPENDENCYPART_ARC
(27,15),-1.96954 # DEPENDENCYPART_ARC
(27,16),-2.57302 # DEPENDENCYPART_ARC
(27,17),-2.28844 # DEPENDENCYPART_ARC
(27,18),-1.70737 # DEPENDENCYPART_ARC
(27,19),-1.95204 # DEPENDENCYPART_ARC
(27,20),-2.02021 # DEPENDENCYPART_ARC
(27,21),-1.35888 # DEPENDENCYPART_ARC
(27,22),-1.66943 # DEPENDENCYPART_ARC
(27,23),-0.729542 # DEPENDENCYPART_ARC
(27,24),-0.665697 # DEPENDENCYPART_ARC
(27,25),0.960805 # DEPENDENCYPART_ARC
(27,26),0.785053 # DEPENDENCYPART_ARC
(27,28),3.25479 # DEPENDENCYPART_ARC
(27,29),1.20911 # DEPENDENCYPART_ARC
(27,30),1.02533 # DEPENDENCYPART_ARC
(27,31),1.20082 # DEPENDENCYPART_ARC
(27,32),0.716993 # DEPENDENCYPART_ARC
(27,33),0.252932 # DEPENDENCYPART_ARC
(28,1),-2.8853 # DEPENDENCYPART_ARC
(28,2),-3.75693 # DEPENDENCYPART_ARC
(28,3),-3.16818 # DEPENDENCYPART_ARC
(28,4),-3.32845 # DEPENDENCYPART_ARC
(28,5),-2.74121 # DEPENDENCYPART_ARC
(28,6),-2.44005 # DEPENDENCYPART_ARC
(28,7),-2.20786 # DEPENDENCYPART_ARC
(28,8),-2.81177 # DEPENDENCYPART_ARC
(28,9),-1.7709 # DEPENDENCYPART_ARC
(28,10),-1.66336 # DEPENDENCYPART_ARC
(28,11),-1.91897 # DEPENDENCYPART_ARC
(28,12),-1.41858 # DEPENDENCYPART_ARC
(28,13),-1.81658 # DEPENDENCYPART_ARC
(28,14),-1.68659 # DEPENDENCYPART_ARC
(28,15),-0.0859963 # DEPENDENCYPART_ARC
(28,16),-1.76034 # DEPENDENCYPART_ARC
(28,17),-1.45205 # DEPENDENCYPART_ARC
(28,18),-1.46076 # DEPENDENCYPART_ARC
(28,19),-1.47857 # DEPENDENCYPART_ARC
(28,20),-0.687161 # DEPENDENCYPART_ARC
(28,21),-0.568573 # DEPENDENCYPART_ARC
(28,22),-0.78994 # DEPENDENCYPART_ARC
(28,23),-1.04039 # DEPENDENCYPART_ARC
(28,24),-0.596514 # DEPENDENCYPART_ARC
(28,25),-0.40308 # DEPENDENCYPART_ARC
(28,26),0.736154 # DEPENDENCYPART_ARC
(28,27),1.1195 # DEPENDENCYPART_ARC
(28,29),3.25996 # DEPENDENCYPART_ARC
(28,30),3.1959 # DEPENDENCYPART_ARC
(28,31),0.889353 # DEPENDENCYPART_ARC
(28,32),0.292248 # DEPENDENCYPART_ARC
(28,33),-0.289169 # DEPENDENCYPART_ARC
(29,1),-7.82432 # DEPENDENCYPART_ARC
(29,2),-8.1284 # DEPENDENCYPART_ARC
(29,3),-4.98013 # DEPENDENCYPART_ARC
(29,4),-5.45987 # DEPENDENCYPART_ARC
(29,5),-5.49915 # DEPENDENCYPART_ARC
(29,6),-4.79977 # DEPENDENCYPART_ARC
(29,7),-4.60725 # DEPENDENCYPART_ARC
(29,8),-3.2815 # DEPENDENCYPART_ARC
(29,9),-4.56092 # DEPENDENCYPART_ARC
(29,10),-3.3246 # DEPENDENCYPART_ARC
(29,11),-4.27752 # DEPENDENCYPART_ARC
(29,12),-2.19803 # DEPENDENCYPART_ARC
(29,13),-4.36073 # DEPENDENCYPART_ARC
(29,14),-2.762 # DEPENDENCYPART_ARC
(29,15),-2.98772 # DEPENDENCYPART_ARC
(29,16),-3.36206 # DEPENDENCYPART_ARC
(29,17),-3.31089 # DEPENDENCYPART_ARC
(29,18),-2.60889 # DEPENDENCYPART_ARC
(29,19),-3.10557 # DEPENDENCYPART_ARC
(29,20),-3.01402 # DEPENDENCYPART_ARC
(29,21),-2.23351 # DEPENDENCYPART_ARC
(29,22),-2.75802 # DEPENDENCYPART_ARC
(29,23),-2.32315 # DEPENDENCYPART_ARC
(29,24),-1.91217 # DEPENDENCYPART_ARC
(29,25),-1.09016 # DEPENDENCYPART_ARC
(29,26),-0.330622 # DEPENDENCYPART_ARC
(29,27),-0.000424114 # DEPENDENCYPART_ARC
(29,28),0.314502 # DEPENDENCYPART_ARC
(29,30),2.38427 # DEPENDENCYPART_ARC
(29,31),0.464726 # DEPENDENCYPART_ARC
(29,32),0.00713197 # DEPENDENCYPART_ARC
(29,33),0.00251653 # DEPENDENCYPART_ARC
(30,1),-6.22535 # DEPENDENCYPART_ARC
(30,2),-5.91828 # DEPENDENCYPART_ARC
(30,3),-2.25603 # DEPENDENCYPART_ARC
(30,4),-3.37705 # DEPENDENCYPART_ARC
(30,5),-2.81137 # DEPENDENCYPART_ARC
(30,6),-2.50014 # DEPENDENCYPART_ARC
(30,7),-3.90247 # DEPENDENCYPART_ARC
(30,8),-1.87197 # DEPENDENCYPART_ARC
(30,9),-2.31093 # DEPENDENCYPART_ARC
(30,10),-1.85601 # DEPENDENCYPART_ARC
(30,11),-2.10048 # DEPENDENCYPART_ARC
(30,12),0.060749 # DEPENDENCYPART_ARC
(30,13),-2.64311 # DEPENDENCYPART_ARC
(30,14),0.0840621 # DEPENDENCYPART_ARC
(30,15),-0.333094 # DEPENDENCYPART_ARC
(30,16),-1.64199 # DEPENDENCYPART_ARC
(30,17),-1.61741 # DEPENDENCYPART_ARC
(30,18),-0.790122 # DEPENDENCYPART_ARC
(30,19),-1.80321 # DEPENDENCYPART_ARC
(30,20),-0.997036 # DEPENDENCYPART_ARC
(30,21),-0.737556 # DEPENDENCYPART_ARC
(30,22),-1.16325 # DEPENDENCYPART_ARC
(30,23),-0.213149 # DEPENDENCYPART_ARC
(30,24),-0.324293 # DEPENDENCYPART_ARC
(30,25),0.0562088 # DEPENDENCYPART_ARC
(30,26),-0.0338914 # DEPENDENCYPART_ARC
(30,27),1.43758 # DEPENDENCYPART_ARC
(30,28),0.850535 # DEPENDENCYPART_ARC
(30,29),4.92317 # DEPENDENCYPART_ARC
(30,31),1.77443 # DEPENDENCYPART_ARC
(30,32),0.329779 # DEPENDENCYPART_ARC
(30,33),0.659844 # DEPENDENCYPART_ARC
(31,1),-4.01435 # DEPENDENCYPART_ARC
(31,2),-4.59599 # DEPENDENCYPART_ARC
(31,3),-3.33579 # DEPENDENCYPART_ARC
(31,4),-3.18348 # DEPENDENCYPART_ARC
(31,5),-3.22573 # DEPENDENCYPART_ARC
(31,6),-3.34356 # DEPENDENCYPART_ARC
(31,7),-3.34681 # DEPENDENCYPART_ARC
(31,8),-3.32892 # DEPENDENCYPART_ARC
(31,9),-3.51783 # DEPENDENCYPART_ARC
(31,10),-2.74556 # DEPENDENCYPART_ARC
(31,11),-2.70824 # DEPENDENCYPART_ARC
(31,12),-2.93337 # DEPENDENCYPART_ARC
(31,13),-2.53112 # DEPENDENCYPART_ARC
(31,14),-1.35457 # DEPENDENCYPART_ARC
(31,15),-0.873665 # DEPENDENCYPART_ARC
(31,16),-2.69266 # DEPENDENCYPART_ARC
(31,17),-2.48511 # DEPENDENCYPART_ARC
(31,18),-2.26094 # DEPENDENCYPART_ARC
(31,19),-2.2793 # DEPENDENCYPART_ARC
(31,20),-2.10357 # DEPENDENCYPART_ARC
(31,21),-0.273904 # DEPENDENCYPART_ARC
(31,22),-1.8291 # DEPENDENCYPART_ARC
(31,23),-1.17101 # DEPENDENCYPART_ARC
(31,24),-1.62049 # DEPENDENCYPART_ARC
(31,25),-0.93191 # DEPENDENCYPART_ARC
(31,26),-0.641598 # DEPENDENCYPART_ARC
(31,27),-1.0353 # DEPENDENCYPART_ARC
(31,28),-0.518984 # DEPENDENCYPART_ARC
