# _root_ The number of U.S. temporary workers fell about 1 % in the 12 months ending Aug. 31 , after sliding nearly 3.5 % in July , said Kidder Peabody 's Mr. Arthur .
#goldHeads=2,7,2,6,6,3,27,10,8,7,7,14,14,11,14,15,16,7,7,19,23,21,20,20,24,27,0,29,32,29,32,27,27,
#predictedHeads=2,7,2,6,6,3,27,10,8,7,7,14,14,11,14,15,16,7,7,19,23,21,20,20,24,27,0,29,32,29,32,27,27,
(15,27),-0.726162 # DEPENDENCYPART_ARC
(15,28),-1.5425 # DEPENDENCYPART_ARC
(15,29),-1.19984 # DEPENDENCYPART_ARC
(15,30),-1.67726 # DEPENDENCYPART_ARC
(15,31),-1.47472 # DEPENDENCYPART_ARC
(15,32),-0.793389 # DEPENDENCYPART_ARC
(15,33),0.244433 # DEPENDENCYPART_ARC
(16,1),-3.48075 # DEPENDENCYPART_ARC
(16,2),-4.29389 # DEPENDENCYPART_ARC
(16,3),-2.31107 # DEPENDENCYPART_ARC
(16,4),-3.55602 # DEPENDENCYPART_ARC
(16,5),-3.01833 # DEPENDENCYPART_ARC
(16,6),-2.64594 # DEPENDENCYPART_ARC
(16,7),-2.79802 # DEPENDENCYPART_ARC
(16,8),-1.83807 # DEPENDENCYPART_ARC
(16,9),-1.3131 # DEPENDENCYPART_ARC
(16,10),-2.85231 # DEPENDENCYPART_ARC
(16,11),-1.06977 # DEPENDENCYPART_ARC
(16,12),0.9665 # DEPENDENCYPART_ARC
(16,13),0.122188 # DEPENDENCYPART_ARC
(16,14),-0.210361 # DEPENDENCYPART_ARC
(16,15),0.715998 # DEPENDENCYPART_ARC
(16,17),4.06647 # DEPENDENCYPART_ARC
(16,18),1.7435 # DEPENDENCYPART_ARC
(16,19),0.400385 # DEPENDENCYPART_ARC
(16,20),0.564882 # DEPENDENCYPART_ARC
(16,21),0.374849 # DEPENDENCYPART_ARC
(16,22),0.364119 # DEPENDENCYPART_ARC
(16,23),0.0320834 # DEPENDENCYPART_ARC
(16,24),0.316433 # DEPENDENCYPART_ARC
(16,25),-0.516476 # DEPENDENCYPART_ARC
(16,26),0.836211 # DEPENDENCYPART_ARC
(16,27),0.21754 # DEPENDENCYPART_ARC
(16,28),-1.35405 # DEPENDENCYPART_ARC
(16,29),-1.6355 # DEPENDENCYPART_ARC
(16,30),-0.0159224 # DEPENDENCYPART_ARC
(16,31),-1.46318 # DEPENDENCYPART_ARC
(16,32),-1.27303 # DEPENDENCYPART_ARC
(16,33),0.497894 # DEPENDENCYPART_ARC
(17,1),-1.4544 # DEPENDENCYPART_ARC
(17,2),-2.76969 # DEPENDENCYPART_ARC
(17,3),-1.72907 # DEPENDENCYPART_ARC
(17,4),-1.82668 # DEPENDENCYPART_ARC
(17,5),-1.45756 # DEPENDENCYPART_ARC
(17,6),-1.96575 # DEPENDENCYPART_ARC
(17,7),-1.67171 # DEPENDENCYPART_ARC
(17,8),-0.0437073 # DEPENDENCYPART_ARC
(17,9),-1.36009 # DEPENDENCYPART_ARC
(17,10),-1.68027 # DEPENDENCYPART_ARC
(17,11),-1.57106 # DEPENDENCYPART_ARC
(17,12),0.836541 # DEPENDENCYPART_ARC
(17,13),-0.180273 # DEPENDENCYPART_ARC
(17,14),-0.22935 # DEPENDENCYPART_ARC
(17,15),0.242647 # DEPENDENCYPART_ARC
(17,16),1.27019 # DEPENDENCYPART_ARC
(17,18),0.295361 # DEPENDENCYPART_ARC
(17,19),-0.654952 # DEPENDENCYPART_ARC
(17,20),-0.0248122 # DEPENDENCYPART_ARC
(17,21),-0.483341 # DEPENDENCYPART_ARC
(17,22),-0.793619 # DEPENDENCYPART_ARC
(17,23),-0.632573 # DEPENDENCYPART_ARC
(17,24),-0.563619 # DEPENDENCYPART_ARC
(17,25),-1.1721 # DEPENDENCYPART_ARC
(17,26),0.00530404 # DEPENDENCYPART_ARC
(17,27),-0.900765 # DEPENDENCYPART_ARC
(17,28),-1.58232 # DEPENDENCYPART_ARC
(17,29),-1.64799 # DEPENDENCYPART_ARC
(17,30),-0.953739 # DEPENDENCYPART_ARC
(17,31),-1.87606 # DEPENDENCYPART_ARC
(17,32),-1.80431 # DEPENDENCYPART_ARC
(17,33),-1.24912 # DEPENDENCYPART_ARC
(18,1),-2.54995 # DEPENDENCYPART_ARC
(18,2),-2.33713 # DEPENDENCYPART_ARC
(18,3),-2.46763 # DEPENDENCYPART_ARC
(18,4),-2.86047 # DEPENDENCYPART_ARC
(18,5),-2.43355 # DEPENDENCYPART_ARC
(18,6),-2.42756 # DEPENDENCYPART_ARC
(18,7),-1.83486 # DEPENDENCYPART_ARC
(18,8),-2.57293 # DEPENDENCYPART_ARC
(18,9),-2.05362 # DEPENDENCYPART_ARC
(18,10),-1.06208 # DEPENDENCYPART_ARC
(18,11),-1.62093 # DEPENDENCYPART_ARC
(18,12),-1.16931 # DEPENDENCYPART_ARC
(18,13),-1.62452 # DEPENDENCYPART_ARC
(18,14),-1.66892 # DEPENDENCYPART_ARC
(18,15),-0.967963 # DEPENDENCYPART_ARC
(18,16),-1.45666 # DEPENDENCYPART_ARC
(18,17),-0.493409 # DEPENDENCYPART_ARC
(18,19),-0.705616 # DEPENDENCYPART_ARC
(18,20),-0.914038 # DEPENDENCYPART_ARC
(18,21),-1.45951 # DEPENDENCYPART_ARC
(18,22),-1.86413 # DEPENDENCYPART_ARC
(18,23),-2.06793 # DEPENDENCYPART_ARC
(18,24),-1.60244 # DEPENDENCYPART_ARC
(18,25),-2.20726 # DEPENDENCYPART_ARC
(18,26),-0.735403 # DEPENDENCYPART_ARC
(18,27),-1.89964 # DEPENDENCYPART_ARC
(18,28),-2.51032 # DEPENDENCYPART_ARC
(18,29),-2.65851 # DEPENDENCYPART_ARC
(18,30),-2.68242 # DEPENDENCYPART_ARC
(18,31),-2.8771 # DEPENDENCYPART_ARC
(18,32),-3.02576 # DEPENDENCYPART_ARC
(18,33),-2.08593 # DEPENDENCYPART_ARC
(19,1),-2.25879 # DEPENDENCYPART_ARC
(19,2),-2.2993 # DEPENDENCYPART_ARC
(19,3),-2.26019 # DEPENDENCYPART_ARC
(19,4),-2.17885 # DEPENDENCYPART_ARC
(19,5),-1.57079 # DEPENDENCYPART_ARC
(19,6),-1.28688 # DEPENDENCYPART_ARC
(19,7),-1.62543 # DEPENDENCYPART_ARC
(19,8),-1.15794 # DEPENDENCYPART_ARC
(19,9),-0.991175 # DEPENDENCYPART_ARC
(19,10),-1.5467 # DEPENDENCYPART_ARC
(19,11),-1.17676 # DEPENDENCYPART_ARC
(19,12),-0.597748 # DEPENDENCYPART_ARC
(19,13),-0.537525 # DEPENDENCYPART_ARC
(19,14),0.288866 # DEPENDENCYPART_ARC
(19,15),-0.841233 # DEPENDENCYPART_ARC
(19,16),-0.322391 # DEPENDENCYPART_ARC
(19,17),0.00331718 # DEPENDENCYPART_ARC
(19,18),0.457408 # DEPENDENCYPART_ARC
(19,20),3.26837 # DEPENDENCYPART_ARC
(19,21),0.463632 # DEPENDENCYPART_ARC
(19,22),-0.429253 # DEPENDENCYPART_ARC
(19,23),-0.0831329 # DEPENDENCYPART_ARC
(19,24),-0.499458 # DEPENDENCYPART_ARC
(19,25),-1.97757 # DEPENDENCYPART_ARC
(19,26),1.07658 # DEPENDENCYPART_ARC
(19,27),1.28511 # DEPENDENCYPART_ARC
(19,28),-4.78783 # DEPENDENCYPART_ARC
(19,29),-5.18766 # DEPENDENCYPART_ARC
(19,30),-1.92449 # DEPENDENCYPART_ARC
(19,31),-5.14493 # DEPENDENCYPART_ARC
(19,32),-5.14992 # DEPENDENCYPART_ARC
(19,33),0.784187 # DEPENDENCYPART_ARC
(20,1),-2.09919 # DEPENDENCYPART_ARC
(20,2),-1.87599 # DEPENDENCYPART_ARC
(20,3),-2.201 # DEPENDENCYPART_ARC
(20,4),-1.59913 # DEPENDENCYPART_ARC
(20,5),-2.33647 # DEPENDENCYPART_ARC
(20,6),-1.12673 # DEPENDENCYPART_ARC
(20,7),-1.68174 # DEPENDENCYPART_ARC
(20,8),-2.22475 # DEPENDENCYPART_ARC
(20,9),-1.51102 # DEPENDENCYPART_ARC
(20,10),-0.396481 # DEPENDENCYPART_ARC
(20,11),-1.12164 # DEPENDENCYPART_ARC
(20,12),-0.604567 # DEPENDENCYPART_ARC
(20,13),-1.02866 # DEPENDENCYPART_ARC
(20,14),-0.632185 # DEPENDENCYPART_ARC
(20,15),-0.718115 # DEPENDENCYPART_ARC
(20,16),-0.393029 # DEPENDENCYPART_ARC
(20,17),-0.0734037 # DEPENDENCYPART_ARC
(20,18),-0.229268 # DEPENDENCYPART_ARC
(20,19),0.284064 # DEPENDENCYPART_ARC
(20,21),2.74053 # DEPENDENCYPART_ARC
(20,22),1.65905 # DEPENDENCYPART_ARC
(20,23),2.96493 # DEPENDENCYPART_ARC
(20,24),2.62383 # DEPENDENCYPART_ARC
(20,25),1.24964 # DEPENDENCYPART_ARC
(20,26),1.54801 # DEPENDENCYPART_ARC
(20,27),0.67577 # DEPENDENCYPART_ARC
(20,28),-0.3271 # DEPENDENCYPART_ARC
(20,29),-0.0723516 # DEPENDENCYPART_ARC
(20,30),-0.511005 # DEPENDENCYPART_ARC
(20,31),-0.369092 # DEPENDENCYPART_ARC
(20,32),-0.0792567 # DEPENDENCYPART_ARC
(20,33),1.01407 # DEPENDENCYPART_ARC
(21,1),-1.71341 # DEPENDENCYPART_ARC
(21,2),-3.04384 # DEPENDENCYPART_ARC
(21,3),-1.85632 # DEPENDENCYPART_ARC
(21,4),-2.61669 # DEPENDENCYPART_ARC
(21,5),-1.7056 # DEPENDENCYPART_ARC
(21,6),-2.33912 # DEPENDENCYPART_ARC
(21,7),-2.10193 # DEPENDENCYPART_ARC
(21,8),-0.521145 # DEPENDENCYPART_ARC
(21,9),-1.56037 # DEPENDENCYPART_ARC
(21,10),-1.88264 # DEPENDENCYPART_ARC
(21,11),-1.42935 # DEPENDENCYPART_ARC
(21,12),-0.414708 # DEPENDENCYPART_ARC
(21,13),-1.21141 # DEPENDENCYPART_ARC
(21,14),-0.960608 # DEPENDENCYPART_ARC
(21,15),-1.23335 # DEPENDENCYPART_ARC
(21,16),-1.20299 # DEPENDENCYPART_ARC
(21,17),-0.639226 # DEPENDENCYPART_ARC
(21,18),-0.3708 # DEPENDENCYPART_ARC
(21,19),0.171307 # DEPENDENCYPART_ARC
(21,20),0.269155 # DEPENDENCYPART_ARC
(21,22),4.77658 # DEPENDENCYPART_ARC
(21,23),1.75759 # DEPENDENCYPART_ARC
(21,24),0.758266 # DEPENDENCYPART_ARC
(21,25),0.407969 # DEPENDENCYPART_ARC
(21,26),0.924543 # DEPENDENCYPART_ARC
(21,27),0.137626 # DEPENDENCYPART_ARC
(21,28),-0.556217 # DEPENDENCYPART_ARC
(21,29),-0.695491 # DEPENDENCYPART_ARC
(21,30),-0.567722 # DEPENDENCYPART_ARC
(21,31),-0.873762 # DEPENDENCYPART_ARC
(21,32),-0.990176 # DEPENDENCYPART_ARC
(21,33),-0.207354 # DEPENDENCYPART_ARC
(22,1),-2.63479 # DEPENDENCYPART_ARC
(22,2),-3.50815 # DEPENDENCYPART_ARC
(22,3),-1.81605 # DEPENDENCYPART_ARC
(22,4),-2.60698 # DEPENDENCYPART_ARC
(22,5),-2.37228 # DEPENDENCYPART_ARC
(22,6),-2.75315 # DEPENDENCYPART_ARC
(22,7),-2.51618 # DEPENDENCYPART_ARC
(22,8),-1.23157 # DEPENDENCYPART_ARC
(22,9),-1.96142 # DEPENDENCYPART_ARC
(22,10),-2.63108 # DEPENDENCYPART_ARC
(22,11),-2.39227 # DEPENDENCYPART_ARC
(22,12),-1.09658 # DEPENDENCYPART_ARC
(22,13),-1.00991 # DEPENDENCYPART_ARC
(22,14),-1.63758 # DEPENDENCYPART_ARC
(22,15),-1.31079 # DEPENDENCYPART_ARC
(22,16),-1.03039 # DEPENDENCYPART_ARC
(22,17),-0.35498 # DEPENDENCYPART_ARC
(22,18),-0.54785 # DEPENDENCYPART_ARC
(22,19),-0.0953252 # DEPENDENCYPART_ARC
(22,20),0.0113388 # DEPENDENCYPART_ARC
(22,21),1.04705 # DEPENDENCYPART_ARC
(22,23),0.492515 # DEPENDENCYPART_ARC
(22,24),-0.138343 # DEPENDENCYPART_ARC
(22,25),-0.559044 # DEPENDENCYPART_ARC
(22,26),-0.138407 # DEPENDENCYPART_ARC
(22,27),-0.665763 # DEPENDENCYPART_ARC
(22,28),-1.1387 # DEPENDENCYPART_ARC
(22,29),-1.23181 # DEPENDENCYPART_ARC
(22,30),-0.659932 # DEPENDENCYPART_ARC
(22,31),-1.43081 # DEPENDENCYPART_ARC
(22,32),-1.44695 # DEPENDENCYPART_ARC
(22,33),-1.53946 # DEPENDENCYPART_ARC
(23,1),-5.19994 # DEPENDENCYPART_ARC
(23,2),-7.69364 # DEPENDENCYPART_ARC
(23,3),-2.37062 # DEPENDENCYPART_ARC
(23,4),-7.61793 # DEPENDENCYPART_ARC
(23,5),-2.76569 # DEPENDENCYPART_ARC
(23,6),-3.07256 # DEPENDENCYPART_ARC
(23,7),-1.95922 # DEPENDENCYPART_ARC
(23,8),-0.921762 # DEPENDENCYPART_ARC
(23,9),-0.615911 # DEPENDENCYPART_ARC
(23,10),-4.59419 # DEPENDENCYPART_ARC
(23,11),-2.21787 # DEPENDENCYPART_ARC
(23,12),-0.407711 # DEPENDENCYPART_ARC
(23,13),-0.209324 # DEPENDENCYPART_ARC
(23,14),-1.38433 # DEPENDENCYPART_ARC
(23,15),-0.548763 # DEPENDENCYPART_ARC
(23,16),-2.04403 # DEPENDENCYPART_ARC
(23,17),-0.414086 # DEPENDENCYPART_ARC
(23,18),-0.372482 # DEPENDENCYPART_ARC
(23,19),0.17862 # DEPENDENCYPART_ARC
(23,20),1.02145 # DEPENDENCYPART_ARC
(23,21),4.42338 # DEPENDENCYPART_ARC
(23,22),3.79279 # DEPENDENCYPART_ARC
(23,24),1.78267 # DEPENDENCYPART_ARC
(23,25),0.604279 # DEPENDENCYPART_ARC
(23,26),1.63145 # DEPENDENCYPART_ARC
(23,27),0.748811 # DEPENDENCYPART_ARC
(23,28),-0.558512 # DEPENDENCYPART_ARC
(23,29),-0.520777 # DEPENDENCYPART_ARC
(23,30),-0.0804176 # DEPENDENCYPART_ARC
(23,31),-0.684655 # DEPENDENCYPART_ARC
(23,32),-0.64822 # DEPENDENCYPART_ARC
(23,33),0.130403 # DEPENDENCYPART_ARC
(24,1),-3.33748 # DEPENDENCYPART_ARC
(24,2),-3.19141 # DEPENDENCYPART_ARC
(24,3),-3.69962 # DEPENDENCYPART_ARC
(24,4),-3.27335 # DEPENDENCYPART_ARC
(24,5),-2.68373 # DEPENDENCYPART_ARC
(24,6),-2.60996 # DEPENDENCYPART_ARC
(24,7),-2.58561 # DEPENDENCYPART_ARC
(24,8),-2.37887 # DEPENDENCYPART_ARC
(24,9),-1.81056 # DEPENDENCYPART_ARC
(24,10),-3.10705 # DEPENDENCYPART_ARC
(24,11),-2.54521 # DEPENDENCYPART_ARC
(24,12),-2.08348 # DEPENDENCYPART_ARC
(24,13),-1.47584 # DEPENDENCYPART_ARC
(24,14),-1.30955 # DEPENDENCYPART_ARC
(24,15),-1.90905 # DEPENDENCYPART_ARC
(24,16),-1.70852 # DEPENDENCYPART_ARC
(24,17),-1.00775 # DEPENDENCYPART_ARC
(24,18),-0.890724 # DEPENDENCYPART_ARC
(24,19),-0.61511 # DEPENDENCYPART_ARC
(24,20),-1.3449 # DEPENDENCYPART_ARC
(24,21),-0.17947 # DEPENDENCYPART_ARC
(24,22),-0.370934 # DEPENDENCYPART_ARC
(24,23),0.0311007 # DEPENDENCYPART_ARC
(24,25),4.02487 # DEPENDENCYPART_ARC
(24,26),0.371388 # DEPENDENCYPART_ARC
(24,27),0.534736 # DEPENDENCYPART_ARC
(24,28),-0.841675 # DEPENDENCYPART_ARC
(24,29),-1.40201 # DEPENDENCYPART_ARC
(24,30),-1.4251 # DEPENDENCYPART_ARC
(24,31),-1.40296 # DEPENDENCYPART_ARC
(24,32),-0.894339 # DEPENDENCYPART_ARC
(24,33),-0.785072 # DEPENDENCYPART_ARC
(25,1),-5.99499 # DEPENDENCYPART_ARC
(25,2),-6.96698 # DEPENDENCYPART_ARC
(25,3),-3.43667 # DEPENDENCYPART_ARC
(25,4),-7.47772 # DEPENDENCYPART_ARC
(25,5),-5.35251 # DEPENDENCYPART_ARC
(25,6),-4.90085 # DEPENDENCYPART_ARC
(25,7),-4.49625 # DEPENDENCYPART_ARC
(25,8),-3.44491 # DEPENDENCYPART_ARC
(25,9),-3.11732 # DEPENDENCYPART_ARC
(25,10),-6.02933 # DEPENDENCYPART_ARC
(25,11),-3.12835 # DEPENDENCYPART_ARC
(25,12),-2.84785 # DEPENDENCYPART_ARC
(25,13),-2.83316 # DEPENDENCYPART_ARC
(25,14),-3.92095 # DEPENDENCYPART_ARC
(25,15),-2.53588 # DEPENDENCYPART_ARC
(25,16),-3.40773 # DEPENDENCYPART_ARC
(25,17),-2.27574 # DEPENDENCYPART_ARC
(25,18),-3.1114 # DEPENDENCYPART_ARC
(25,19),-2.22301 # DEPENDENCYPART_ARC
(25,20),-1.41919 # DEPENDENCYPART_ARC
(25,21),-1.18957 # DEPENDENCYPART_ARC
(25,22),-0.311887 # DEPENDENCYPART_ARC
(25,23),-1.43604 # DEPENDENCYPART_ARC
(25,24),0.157891 # DEPENDENCYPART_ARC
(25,26),0.400976 # DEPENDENCYPART_ARC
(25,27),-0.164853 # DEPENDENCYPART_ARC
(25,28),-1.04799 # DEPENDENCYPART_ARC
(25,29),-1.18839 # DEPENDENCYPART_ARC
(25,30),-0.188467 # DEPENDENCYPART_ARC
(25,31),-1.55956 # DEPENDENCYPART_ARC
(25,32),-1.26777 # DEPENDENCYPART_ARC
(25,33),-1.68244 # DEPENDENCYPART_ARC
(26,1),-2.9176 # DEPENDENCYPART_ARC
(26,2),-2.52327 # DEPENDENCYPART_ARC
(26,3),-3.04195 # DEPENDENCYPART_ARC
(26,4),-3.3705 # DEPENDENCYPART_ARC
(26,5),-2.93933 # DEPENDENCYPART_ARC
(26,6),-2.57248 # DEPENDENCYPART_ARC
(26,7),-2.21486 # DEPENDENCYPART_ARC
(26,8),-2.91083 # DEPENDENCYPART_ARC
(26,9),-2.40553 # DEPENDENCYPART_ARC
(26,10),-0.568517 # DEPENDENCYPART_ARC
(26,11),-2.05659 # DEPENDENCYPART_ARC
(26,12),-1.82 # DEPENDENCYPART_ARC
(26,13),-1.9585 # DEPENDENCYPART_ARC
(26,14),-1.80888 # DEPENDENCYPART_ARC
(26,15),-1.23297 # DEPENDENCYPART_ARC
(26,16),-1.88361 # DEPENDENCYPART_ARC
(26,17),-1.5782 # DEPENDENCYPART_ARC
(26,18),-0.155128 # DEPENDENCYPART_ARC
(26,19),-1.09207 # DEPENDENCYPART_ARC
(26,20),-0.69812 # DEPENDENCYPART_ARC
(26,21),-1.55747 # DEPENDENCYPART_ARC
(26,22),-0.907007 # DEPENDENCYPART_ARC
(26,23),-0.201205 # DEPENDENCYPART_ARC
(26,24),-0.641367 # DEPENDENCYPART_ARC
(26,25),-0.435132 # DEPENDENCYPART_ARC
(26,27),-0.204885 # DEPENDENCYPART_ARC
(26,28),-1.13139 # DEPENDENCYPART_ARC
(26,29),-1.39372 # DEPENDENCYPART_ARC
(26,30),-1.8921 # DEPENDENCYPART_ARC
(26,31),-1.83879 # DEPENDENCYPART_ARC
(26,32),-2.29086 # DEPENDENCYPART_ARC
(26,33),-1.62932 # DEPENDENCYPART_ARC
(27,1),-4.16528 # DEPENDENCYPART_ARC
(27,2),-1.412 # DEPENDENCYPART_ARC
(27,3),-5.06762 # DEPENDENCYPART_ARC
(27,4),-1.70042 # DEPENDENCYPART_ARC
(27,5),-2.04826 # DEPENDENCYPART_ARC
(27,6),-2.42989 # DEPENDENCYPART_ARC
(27,7),1.87177 # DEPENDENCYPART_ARC
(27,8),-1.00653 # DEPENDENCYPART_ARC
(27,9),-1.11093 # DEPENDENCYPART_ARC
(27,10),-1.64438 # DEPENDENCYPART_ARC
(27,11),-0.275183 # DEPENDENCYPART_ARC
(27,12),-2.24872 # DEPENDENCYPART_ARC
(27,13),-0.569512 # DEPENDENCYPART_ARC
(27,14),-2.10801 # DEPENDENCYPART_ARC
(27,15),-0.319357 # DEPENDENCYPART_ARC
(27,16),1.11658 # DEPENDENCYPART_ARC
(27,17),-0.934707 # DEPENDENCYPART_ARC
(27,18),2.03998 # DEPENDENCYPART_ARC
(27,19),1.77577 # DEPENDENCYPART_ARC
(27,20),0.908995 # DEPENDENCYPART_ARC
(27,21),0.425521 # DEPENDENCYPART_ARC
(27,22),0.0368939 # DEPENDENCYPART_ARC
(27,23),0.46018 # DEPENDENCYPART_ARC
(27,24),0.595842 # DEPENDENCYPART_ARC
(27,25),1.30841 # DEPENDENCYPART_ARC
(27,26),2.65221 # DEPENDENCYPART_ARC
(27,28),0.995306 # DEPENDENCYPART_ARC
(27,29),1.03294 # DEPENDENCYPART_ARC
(27,30),0.299459 # DEPENDENCYPART_ARC
(27,31),0.33108 # DEPENDENCYPART_ARC
(27,32),1.19396 # DEPENDENCYPART_ARC
(27,33),7.09769 # DEPENDENCYPART_ARC
(28,1),-8.40291 # DEPENDENCYPART_ARC
(28,2),-9.40485 # DEPENDENCYPART_ARC
(28,3),-5.6003 # DEPENDENCYPART_ARC
(28,4),-11.0969 # DEPENDENCYPART_ARC
(28,5),-7.98703 # DEPENDENCYPART_ARC
(28,6),-7.03322 # DEPENDENCYPART_ARC
(28,7),-6.34492 # DEPENDENCYPART_ARC
(28,8),-5.51743 # DEPENDENCYPART_ARC
(28,9),-5.0421 # DEPENDENCYPART_ARC
(28,10),-8.4577 # DEPENDENCYPART_ARC
(28,11),-5.16899 # DEPENDENCYPART_ARC
(28,12),-5.48235 # DEPENDENCYPART_ARC
(28,13),-4.88473 # DEPENDENCYPART_ARC
(28,14),-5.92464 # DEPENDENCYPART_ARC
(28,15),-4.7813 # DEPENDENCYPART_ARC
(28,16),-7.66467 # DEPENDENCYPART_ARC
(28,17),-4.63189 # DEPENDENCYPART_ARC
(28,18),-5.06955 # DEPENDENCYPART_ARC
(28,19),-4.30973 # DEPENDENCYPART_ARC
(28,20),-3.77051 # DEPENDENCYPART_ARC
(28,21),-4.11284 # DEPENDENCYPART_ARC
(28,22),-3.36985 # DEPENDENCYPART_ARC
(28,23),-4.46575 # DEPENDENCYPART_ARC
(28,24),-3.47133 # DEPENDENCYPART_ARC
(28,25),-2.45156 # DEPENDENCYPART_ARC
(28,26),-1.7357 # DEPENDENCYPART_ARC
(28,27),-1.85555 # DEPENDENCYPART_ARC
(28,29),-0.510542 # DEPENDENCYPART_ARC
(28,30),0.878892 # DEPENDENCYPART_ARC
(28,31),-0.738661 # DEPENDENCYPART_ARC
(28,32),-0.732368 # DEPENDENCYPART_ARC
(28,33),-1.35274 # DEPENDENCYPART_ARC
(29,1),-5.37306 # DEPENDENCYPART_ARC
(29,2),-6.93531 # DEPENDENCYPART_ARC
(29,3),-3.02957 # DEPENDENCYPART_ARC
(29,4),-6.97717 # DEPENDENCYPART_ARC
(29,5),-5.22076 # DEPENDENCYPART_ARC
(29,6),-4.37788 # DEPENDENCYPART_ARC
(29,7),-3.57015 # DEPENDENCYPART_ARC
(29,8),-3.00165 # DEPENDENCYPART_ARC
(29,9),-2.44164 # DEPENDENCYPART_ARC
(29,10),-6.10758 # DEPENDENCYPART_ARC
(29,11),-2.49488 # DEPENDENCYPART_ARC
(29,12),-2.2268 # DEPENDENCYPART_ARC
(29,13),-2.25839 # DEPENDENCYPART_ARC
(29,14),-3.12585 # DEPENDENCYPART_ARC
(29,15),-2.05247 # DEPENDENCYPART_ARC
(29,16),-3.93313 # DEPENDENCYPART_ARC
(29,17),-2.2162 # DEPENDENCYPART_ARC
(29,18),-2.91999 # DEPENDENCYPART_ARC
(29,19),-1.72376 # DEPENDENCYPART_ARC
(29,20),-0.980122 # DEPENDENCYPART_ARC
(29,21),-1.63671 # DEPENDENCYPART_ARC
(29,22),-0.85756 # DEPENDENCYPART_ARC
(29,23),-2.81361 # DEPENDENCYPART_ARC
(29,24),-1.04852 # DEPENDENCYPART_ARC
(29,25),0.630618 # DEPENDENCYPART_ARC
(29,26),0.368055 # DEPENDENCYPART_ARC
(29,27),0.172434 # DEPENDENCYPART_ARC
(29,28),6.71363 # DEPENDENCYPART_ARC
(29,30),4.55987 # DEPENDENCYPART_ARC
(29,31),1.18722 # DEPENDENCYPART_ARC
(29,32),1.11759 # DEPENDENCYPART_ARC
(29,33),0.206743 # DEPENDENCYPART_ARC
(30,1),-3.54738 # DEPENDENCYPART_ARC
(30,2),-5.03758 # DEPENDENCYPART_ARC
(30,3),-3.6215 # DEPENDENCYPART_ARC
(30,4),-2.83325 # DEPENDENCYPART_ARC
(30,5),-3.09414 # DEPENDENCYPART_ARC
(30,6),-3.36349 # DEPENDENCYPART_ARC
(30,7),-3.18244 # DEPENDENCYPART_ARC
(30,8),-3.75056 # DEPENDENCYPART_ARC
(30,9),-2.84758 # DEPENDENCYPART_ARC
(30,10),-3.90561 # DEPENDENCYPART_ARC
(30,11),-2.94859 # DEPENDENCYPART_ARC
(30,12),-1.99976 # DEPENDENCYPART_ARC
(30,13),-2.37946 # DEPENDENCYPART_ARC
(30,14),-2.28324 # DEPENDENCYPART_ARC
(30,15),-1.93585 # DEPENDENCYPART_ARC
(30,16),-1.47193 # DEPENDENCYPART_ARC
(30,17),-1.93612 # DEPENDENCYPART_ARC
(30,18),-1.9514 # DEPENDENCYPART_ARC
(30,19),-1.93543 # DEPENDENCYPART_ARC
(30,20),-1.19199 # DEPENDENCYPART_ARC
(30,21),-2.08457 # DEPENDENCYPART_ARC
(30,22),-1.34603 # DEPENDENCYPART_ARC
(30,23),-1.83371 # DEPENDENCYPART_ARC
(30,24),-1.07397 # DEPENDENCYPART_ARC
(30,25),-0.138249 # DEPENDENCYPART_ARC
(30,26),-0.718962 # DEPENDENCYPART_ARC
(30,27),-0.398962 # DEPENDENCYPART_ARC
(30,28),0.521811 # DEPENDENCYPART_ARC
(30,29),1.12743 # DEPENDENCYPART_ARC
(30,31),-0.241666 # DEPENDENCYPART_ARC
(30,32),-0.811664 # DEPENDENCYPART_ARC
(30,33),-1.19282 # DEPENDENCYPART_ARC
(31,1),-6.40386 # DEPENDENCYPART_ARC
(31,2),-6.5806 # DEPENDENCYPART_ARC
(31,3),-3.85898 # DEPENDENCYPART_ARC
(31,4),-8.39321 # DEPENDENCYPART_ARC
(31,5),-5.64577 # DEPENDENCYPART_ARC
(31,6),-4.76745 # DEPENDENCYPART_ARC
(31,7),-4.27076 # DEPENDENCYPART_ARC
(31,8),-3.33992 # DEPENDENCYPART_ARC
(31,9),-2.93148 # DEPENDENCYPART_ARC
(31,10),-6.0786 # DEPENDENCYPART_ARC
(31,11),-3.63284 # DEPENDENCYPART_ARC
(31,12),-3.57153 # DEPENDENCYPART_ARC
(31,13),-2.87385 # DEPENDENCYPART_ARC
(31,14),-3.65966 # DEPENDENCYPART_ARC
(31,15),-2.71527 # DEPENDENCYPART_ARC
(31,16),-5.29265 # DEPENDENCYPART_ARC
(31,17),-2.70264 # DEPENDENCYPART_ARC
(31,18),-3.6424 # DEPENDENCYPART_ARC
(31,19),-3.06511 # DEPENDENCYPART_ARC
(31,20),-2.07796 # DEPENDENCYPART_ARC
(31,21),-1.9574 # DEPENDENCYPART_ARC
(31,22),-1.50185 # DEPENDENCYPART_ARC
(31,23),-2.66022 # DEPENDENCYPART_ARC
(31,24),-2.4585 # DEPENDENCYPART_ARC
(31,25),-1.19666 # DEPENDENCYPART_ARC
(31,26),-0.931092 # DEPENDENCYPART_ARC
