# _root_ Richard Chenevix-Trench , a director at Hong Kong-based Baring International Fund Managers Ltd. , said the market probably has n't hit bottom yet but is close .
#goldHeads=2,15,2,5,2,5,8,12,12,12,12,6,12,2,0,17,19,19,15,19,19,21,21,19,24,25,15,
#predictedHeads=2,15,2,5,2,5,8,12,12,12,12,6,12,2,0,17,19,19,15,19,19,21,21,19,24,25,15,
(19,15),0.22853 # DEPENDENCYPART_ARC
(19,16),1.05382 # DEPENDENCYPART_ARC
(19,17),2.63315 # DEPENDENCYPART_ARC
(19,18),3.08866 # DEPENDENCYPART_ARC
(19,20),3.91764 # DEPENDENCYPART_ARC
(19,21),3.56568 # DEPENDENCYPART_ARC
(19,22),1.98769 # DEPENDENCYPART_ARC
(19,23),2.05484 # DEPENDENCYPART_ARC
(19,24),3.93923 # DEPENDENCYPART_ARC
(19,25),1.0221 # DEPENDENCYPART_ARC
(19,26),-0.314099 # DEPENDENCYPART_ARC
(19,27),5.9232 # DEPENDENCYPART_ARC
(20,1),-3.05606 # DEPENDENCYPART_ARC
(20,2),-2.8876 # DEPENDENCYPART_ARC
(20,3),-2.2805 # DEPENDENCYPART_ARC
(20,4),-1.20975 # DEPENDENCYPART_ARC
(20,5),-2.48962 # DEPENDENCYPART_ARC
(20,6),-1.83489 # DEPENDENCYPART_ARC
(20,7),-2.37933 # DEPENDENCYPART_ARC
(20,8),-1.41828 # DEPENDENCYPART_ARC
(20,9),-2.20503 # DEPENDENCYPART_ARC
(20,10),-1.97918 # DEPENDENCYPART_ARC
(20,11),-1.89522 # DEPENDENCYPART_ARC
(20,12),-1.80589 # DEPENDENCYPART_ARC
(20,13),-1.60714 # DEPENDENCYPART_ARC
(20,14),-1.13878 # DEPENDENCYPART_ARC
(20,15),-1.4358 # DEPENDENCYPART_ARC
(20,16),-0.0496134 # DEPENDENCYPART_ARC
(20,17),-0.988318 # DEPENDENCYPART_ARC
(20,18),0.0802809 # DEPENDENCYPART_ARC
(20,19),-0.126307 # DEPENDENCYPART_ARC
(20,21),0.468044 # DEPENDENCYPART_ARC
(20,22),-0.437414 # DEPENDENCYPART_ARC
(20,23),-1.49009 # DEPENDENCYPART_ARC
(20,24),-0.904196 # DEPENDENCYPART_ARC
(20,25),-0.536517 # DEPENDENCYPART_ARC
(20,26),-1.50918 # DEPENDENCYPART_ARC
(20,27),0.481812 # DEPENDENCYPART_ARC
(21,1),-0.910063 # DEPENDENCYPART_ARC
(21,2),-0.625446 # DEPENDENCYPART_ARC
(21,3),-0.380726 # DEPENDENCYPART_ARC
(21,4),-1.79803 # DEPENDENCYPART_ARC
(21,5),-0.477629 # DEPENDENCYPART_ARC
(21,6),-1.78866 # DEPENDENCYPART_ARC
(21,7),-0.567493 # DEPENDENCYPART_ARC
(21,8),-0.78534 # DEPENDENCYPART_ARC
(21,9),-0.603101 # DEPENDENCYPART_ARC
(21,10),-0.601007 # DEPENDENCYPART_ARC
(21,11),-0.224667 # DEPENDENCYPART_ARC
(21,12),-0.25446 # DEPENDENCYPART_ARC
(21,13),-0.809561 # DEPENDENCYPART_ARC
(21,14),-1.51241 # DEPENDENCYPART_ARC
(21,15),-0.654083 # DEPENDENCYPART_ARC
(21,16),-0.436699 # DEPENDENCYPART_ARC
(21,17),1.59997 # DEPENDENCYPART_ARC
(21,18),0.67588 # DEPENDENCYPART_ARC
(21,19),-0.188327 # DEPENDENCYPART_ARC
(21,20),1.82966 # DEPENDENCYPART_ARC
(21,22),2.64616 # DEPENDENCYPART_ARC
(21,23),2.34523 # DEPENDENCYPART_ARC
(21,24),2.62542 # DEPENDENCYPART_ARC
(21,25),1.17263 # DEPENDENCYPART_ARC
(21,26),0.509387 # DEPENDENCYPART_ARC
(21,27),4.10975 # DEPENDENCYPART_ARC
(22,1),-6.5418 # DEPENDENCYPART_ARC
(22,2),-6.97742 # DEPENDENCYPART_ARC
(22,3),-3.12559 # DEPENDENCYPART_ARC
(22,4),-2.20704 # DEPENDENCYPART_ARC
(22,5),-5.41041 # DEPENDENCYPART_ARC
(22,6),-2.63824 # DEPENDENCYPART_ARC
(22,7),-2.60672 # DEPENDENCYPART_ARC
(22,8),-1.39215 # DEPENDENCYPART_ARC
(22,9),-3.33605 # DEPENDENCYPART_ARC
(22,10),-3.75767 # DEPENDENCYPART_ARC
(22,11),-4.12002 # DEPENDENCYPART_ARC
(22,12),-3.47571 # DEPENDENCYPART_ARC
(22,13),-4.1231 # DEPENDENCYPART_ARC
(22,14),-1.21646 # DEPENDENCYPART_ARC
(22,15),-1.35965 # DEPENDENCYPART_ARC
(22,16),1.00681 # DEPENDENCYPART_ARC
(22,17),-0.00784074 # DEPENDENCYPART_ARC
(22,18),0.186555 # DEPENDENCYPART_ARC
(22,19),-0.0555643 # DEPENDENCYPART_ARC
(22,20),1.07749 # DEPENDENCYPART_ARC
(22,21),0.980027 # DEPENDENCYPART_ARC
(22,23),1.23877 # DEPENDENCYPART_ARC
(22,24),0.708216 # DEPENDENCYPART_ARC
(22,25),0.464419 # DEPENDENCYPART_ARC
(22,26),0.280737 # DEPENDENCYPART_ARC
(22,27),0.731298 # DEPENDENCYPART_ARC
(23,1),-3.14974 # DEPENDENCYPART_ARC
(23,2),-3.09064 # DEPENDENCYPART_ARC
(23,3),-2.51153 # DEPENDENCYPART_ARC
(23,4),-1.4667 # DEPENDENCYPART_ARC
(23,5),-2.4953 # DEPENDENCYPART_ARC
(23,6),-1.94963 # DEPENDENCYPART_ARC
(23,7),-2.42735 # DEPENDENCYPART_ARC
(23,8),-1.37 # DEPENDENCYPART_ARC
(23,9),-2.24511 # DEPENDENCYPART_ARC
(23,10),-2.14257 # DEPENDENCYPART_ARC
(23,11),-2.07444 # DEPENDENCYPART_ARC
(23,12),-1.97102 # DEPENDENCYPART_ARC
(23,13),-1.62396 # DEPENDENCYPART_ARC
(23,14),-1.4124 # DEPENDENCYPART_ARC
(23,15),-1.26494 # DEPENDENCYPART_ARC
(23,16),-0.398974 # DEPENDENCYPART_ARC
(23,17),-1.4478 # DEPENDENCYPART_ARC
(23,18),-0.777181 # DEPENDENCYPART_ARC
(23,19),-1.10312 # DEPENDENCYPART_ARC
(23,20),0.021534 # DEPENDENCYPART_ARC
(23,21),-0.392007 # DEPENDENCYPART_ARC
(23,22),0.233935 # DEPENDENCYPART_ARC
(23,24),0.482226 # DEPENDENCYPART_ARC
(23,25),0.552632 # DEPENDENCYPART_ARC
(23,26),0.0401575 # DEPENDENCYPART_ARC
(23,27),0.125927 # DEPENDENCYPART_ARC
(24,1),-3.85242 # DEPENDENCYPART_ARC
(24,2),-3.60287 # DEPENDENCYPART_ARC
(24,3),-3.71775 # DEPENDENCYPART_ARC
(24,4),-3.3798 # DEPENDENCYPART_ARC
(24,5),-3.93974 # DEPENDENCYPART_ARC
(24,6),-3.04302 # DEPENDENCYPART_ARC
(24,7),-3.03994 # DEPENDENCYPART_ARC
(24,8),-3.06645 # DEPENDENCYPART_ARC
(24,9),-2.78257 # DEPENDENCYPART_ARC
(24,10),-2.77471 # DEPENDENCYPART_ARC
(24,11),-2.56083 # DEPENDENCYPART_ARC
(24,12),-2.4811 # DEPENDENCYPART_ARC
(24,13),-2.31395 # DEPENDENCYPART_ARC
(24,14),-2.62656 # DEPENDENCYPART_ARC
(24,15),-1.08346 # DEPENDENCYPART_ARC
(24,16),-1.85423 # DEPENDENCYPART_ARC
(24,17),-2.14942 # DEPENDENCYPART_ARC
(24,18),-2.29555 # DEPENDENCYPART_ARC
(24,19),-1.76406 # DEPENDENCYPART_ARC
(24,20),-1.86448 # DEPENDENCYPART_ARC
(24,21),-0.828034 # DEPENDENCYPART_ARC
(24,22),-1.38391 # DEPENDENCYPART_ARC
(24,23),-0.733997 # DEPENDENCYPART_ARC
(24,25),3.29898 # DEPENDENCYPART_ARC
(24,26),0.488532 # DEPENDENCYPART_ARC
(24,27),-0.614993 # DEPENDENCYPART_ARC
(25,1),-1.52921 # DEPENDENCYPART_ARC
(25,2),-1.79836 # DEPENDENCYPART_ARC
(25,3),-1.04953 # DEPENDENCYPART_ARC
(25,4),-2.87005 # DEPENDENCYPART_ARC
(25,5),-1.59734 # DEPENDENCYPART_ARC
(25,6),-2.88827 # DEPENDENCYPART_ARC
(25,7),-1.06393 # DEPENDENCYPART_ARC
(25,8),-1.20532 # DEPENDENCYPART_ARC
(25,9),-0.936869 # DEPENDENCYPART_ARC
(25,10),-0.45144 # DEPENDENCYPART_ARC
(25,11),-0.636693 # DEPENDENCYPART_ARC
(25,12),-0.949097 # DEPENDENCYPART_ARC
(25,13),-1.50706 # DEPENDENCYPART_ARC
(25,14),-1.70035 # DEPENDENCYPART_ARC
(25,15),-1.33939 # DEPENDENCYPART_ARC
(25,16),-1.41679 # DEPENDENCYPART_ARC
(25,17),-0.456332 # DEPENDENCYPART_ARC
(25,18),-1.41762 # DEPENDENCYPART_ARC
(25,19),-1.03665 # DEPENDENCYPART_ARC
(25,20),-0.981244 # DEPENDENCYPART_ARC
(25,21),-0.674271 # DEPENDENCYPART_ARC
(25,22),0.492616 # DEPENDENCYPART_ARC
(25,23),0.176809 # DEPENDENCYPART_ARC
(25,24),1.77115 # DEPENDENCYPART_ARC
(25,26),2.38466 # DEPENDENCYPART_ARC
(25,27),2.55636 # DEPENDENCYPART_ARC
(26,1),-3.1665 # DEPENDENCYPART_ARC
(26,2),-3.86042 # DEPENDENCYPART_ARC
(26,3),-2.16602 # DEPENDENCYPART_ARC
(26,4),-1.81843 # DEPENDENCYPART_ARC
(26,5),-2.5196 # DEPENDENCYPART_ARC
(26,6),-2.63769 # DEPENDENCYPART_ARC
(26,7),-2.46353 # DEPENDENCYPART_ARC
(26,8),-2.58032 # DEPENDENCYPART_ARC
(26,9),-2.17586 # DEPENDENCYPART_ARC
(26,10),-2.50785 # DEPENDENCYPART_ARC
(26,11),-2.51587 # DEPENDENCYPART_ARC
(26,12),-2.54534 # DEPENDENCYPART_ARC
(26,13),-2.84083 # DEPENDENCYPART_ARC
(26,14),-1.61465 # DEPENDENCYPART_ARC
(26,15),-2.42481 # DEPENDENCYPART_ARC
(26,16),-0.877045 # DEPENDENCYPART_ARC
(26,17),-0.980344 # DEPENDENCYPART_ARC
(26,18),-1.64877 # DEPENDENCYPART_ARC
(26,19),-1.55525 # DEPENDENCYPART_ARC
(26,20),-1.75843 # DEPENDENCYPART_ARC
(26,21),-1.57949 # DEPENDENCYPART_ARC
(26,22),-0.462551 # DEPENDENCYPART_ARC
(26,23),-0.227435 # DEPENDENCYPART_ARC
(26,24),-0.0836709 # DEPENDENCYPART_ARC
(26,25),0.269194 # DEPENDENCYPART_ARC
(26,27),0.404771 # DEPENDENCYPART_ARC
(27,1),-3.08736 # DEPENDENCYPART_ARC
(27,2),-3.2761 # DEPENDENCYPART_ARC
(27,3),-2.4134 # DEPENDENCYPART_ARC
(27,4),-3.38404 # DEPENDENCYPART_ARC
(27,5),-2.64292 # DEPENDENCYPART_ARC
(27,6),-2.96132 # DEPENDENCYPART_ARC
(27,7),-2.70583 # DEPENDENCYPART_ARC
(27,8),-2.97005 # DEPENDENCYPART_ARC
(27,9),-2.39994 # DEPENDENCYPART_ARC
(27,10),-2.40796 # DEPENDENCYPART_ARC
(27,11),-2.43502 # DEPENDENCYPART_ARC
(27,12),-2.34705 # DEPENDENCYPART_ARC
(27,13),-2.47571 # DEPENDENCYPART_ARC
(27,14),-0.801089 # DEPENDENCYPART_ARC
(27,15),-1.26718 # DEPENDENCYPART_ARC
(27,16),-1.6553 # DEPENDENCYPART_ARC
(27,17),-1.4463 # DEPENDENCYPART_ARC
(27,18),-1.92136 # DEPENDENCYPART_ARC
(27,19),-1.25377 # DEPENDENCYPART_ARC
(27,20),-1.65943 # DEPENDENCYPART_ARC
(27,21),-0.922022 # DEPENDENCYPART_ARC
(27,22),-1.45861 # DEPENDENCYPART_ARC
(27,23),-1.44946 # DEPENDENCYPART_ARC
(27,24),-0.818098 # DEPENDENCYPART_ARC
(27,25),-0.967065 # DEPENDENCYPART_ARC
(27,26),-1.07933 # DEPENDENCYPART_ARC
