# _root_ MRA Staffing Systems signs up nurses for paid travel , promising annual income up to $ 50,000 and free or subsidized housing .
#goldHeads=3,3,4,0,4,4,4,9,7,4,4,13,11,13,14,15,16,13,22,19,20,18,4,
#predictedHeads=3,3,4,0,4,4,6,9,7,4,4,13,11,16,16,11,16,11,18,19,20,20,4,
(23,5),-2.27784 # DEPENDENCYPART_ARC
(23,6),-2.15257 # DEPENDENCYPART_ARC
(23,7),-2.66919 # DEPENDENCYPART_ARC
(23,8),-1.77023 # DEPENDENCYPART_ARC
(23,9),-2.11635 # DEPENDENCYPART_ARC
(23,10),-1.13973 # DEPENDENCYPART_ARC
(23,11),-1.17973 # DEPENDENCYPART_ARC
(23,12),-1.8943 # DEPENDENCYPART_ARC
(23,13),-1.85168 # DEPENDENCYPART_ARC
(23,14),-1.57489 # DEPENDENCYPART_ARC
(23,15),-1.36092 # DEPENDENCYPART_ARC
(23,16),-1.42244 # DEPENDENCYPART_ARC
(23,17),-1.44892 # DEPENDENCYPART_ARC
(23,18),-1.54816 # DEPENDENCYPART_ARC
(23,19),-1.26941 # DEPENDENCYPART_ARC
(23,20),-0.834843 # DEPENDENCYPART_ARC
(23,21),-0.958049 # DEPENDENCYPART_ARC
(23,22),-1.42475 # DEPENDENCYPART_ARC
