# _root_ That should stop a lot of account-churning , and produce a stock market driven only by professional concern , careful thought and good sense .
#goldHeads=2,0,2,5,3,5,6,3,3,9,13,13,10,13,14,14,18,16,18,21,18,21,24,22,2,
#predictedHeads=2,0,2,5,3,5,6,2,3,9,13,13,10,13,14,14,18,16,18,21,18,21,24,22,2,
(21,7),-2.09829 # DEPENDENCYPART_ARC
(21,8),-1.62086 # DEPENDENCYPART_ARC
(21,9),-1.11759 # DEPENDENCYPART_ARC
(21,10),-1.67104 # DEPENDENCYPART_ARC
(21,11),1.73339 # DEPENDENCYPART_ARC
(21,12),0.735792 # DEPENDENCYPART_ARC
(21,13),-1.21913 # DEPENDENCYPART_ARC
(21,14),-0.495612 # DEPENDENCYPART_ARC
(21,15),0.379846 # DEPENDENCYPART_ARC
(21,16),0.219481 # DEPENDENCYPART_ARC
(21,17),2.77428 # DEPENDENCYPART_ARC
(21,18),0.992986 # DEPENDENCYPART_ARC
(21,19),1.12923 # DEPENDENCYPART_ARC
(21,20),3.68059 # DEPENDENCYPART_ARC
(21,22),3.37221 # DEPENDENCYPART_ARC
(21,23),1.17625 # DEPENDENCYPART_ARC
(21,24),0.497191 # DEPENDENCYPART_ARC
(21,25),0.580745 # DEPENDENCYPART_ARC
(22,1),-2.7948 # DEPENDENCYPART_ARC
(22,2),-2.82806 # DEPENDENCYPART_ARC
(22,3),-2.59391 # DEPENDENCYPART_ARC
(22,4),-2.42336 # DEPENDENCYPART_ARC
(22,5),-2.36407 # DEPENDENCYPART_ARC
(22,6),-1.51092 # DEPENDENCYPART_ARC
(22,7),-1.92248 # DEPENDENCYPART_ARC
(22,8),-2.35 # DEPENDENCYPART_ARC
(22,9),-2.17295 # DEPENDENCYPART_ARC
(22,10),-1.87407 # DEPENDENCYPART_ARC
(22,11),-1.72111 # DEPENDENCYPART_ARC
(22,12),-1.51086 # DEPENDENCYPART_ARC
(22,13),-1.2694 # DEPENDENCYPART_ARC
(22,14),-1.4874 # DEPENDENCYPART_ARC
(22,15),-1.73067 # DEPENDENCYPART_ARC
(22,16),-0.696965 # DEPENDENCYPART_ARC
(22,17),-1.06876 # DEPENDENCYPART_ARC
(22,18),-0.466184 # DEPENDENCYPART_ARC
(22,19),-0.714599 # DEPENDENCYPART_ARC
(22,20),-0.625898 # DEPENDENCYPART_ARC
(22,21),0.078235 # DEPENDENCYPART_ARC
(22,23),2.34872 # DEPENDENCYPART_ARC
(22,24),2.82497 # DEPENDENCYPART_ARC
(22,25),0.303966 # DEPENDENCYPART_ARC
(23,1),-3.88934 # DEPENDENCYPART_ARC
(23,2),-4.01762 # DEPENDENCYPART_ARC
(23,3),-3.52278 # DEPENDENCYPART_ARC
(23,4),-1.54133 # DEPENDENCYPART_ARC
(23,5),-2.371 # DEPENDENCYPART_ARC
(23,6),-3.50759 # DEPENDENCYPART_ARC
(23,7),-2.58591 # DEPENDENCYPART_ARC
(23,8),-2.68354 # DEPENDENCYPART_ARC
(23,9),-3.26813 # DEPENDENCYPART_ARC
(23,10),-2.71902 # DEPENDENCYPART_ARC
(23,11),-0.998563 # DEPENDENCYPART_ARC
(23,12),-2.01534 # DEPENDENCYPART_ARC
(23,13),-1.56331 # DEPENDENCYPART_ARC
(23,14),-2.42489 # DEPENDENCYPART_ARC
(23,15),-2.64837 # DEPENDENCYPART_ARC
(23,16),-2.03869 # DEPENDENCYPART_ARC
(23,17),-1.28022 # DEPENDENCYPART_ARC
(23,18),-1.31368 # DEPENDENCYPART_ARC
(23,19),-1.09322 # DEPENDENCYPART_ARC
(23,20),-0.447952 # DEPENDENCYPART_ARC
(23,21),-0.5938 # DEPENDENCYPART_ARC
(23,22),0.14751 # DEPENDENCYPART_ARC
(23,24),1.61088 # DEPENDENCYPART_ARC
(23,25),0.669532 # DEPENDENCYPART_ARC
(24,1),-8.06893 # DEPENDENCYPART_ARC
(24,2),-2.52171 # DEPENDENCYPART_ARC
(24,3),-2.80787 # DEPENDENCYPART_ARC
(24,4),-1.68969 # DEPENDENCYPART_ARC
(24,5),-3.42818 # DEPENDENCYPART_ARC
(24,6),-2.4228 # DEPENDENCYPART_ARC
(24,7),-1.73398 # DEPENDENCYPART_ARC
(24,8),-1.57173 # DEPENDENCYPART_ARC
(24,9),-1.46908 # DEPENDENCYPART_ARC
(24,10),-1.73637 # DEPENDENCYPART_ARC
(24,11),1.0564 # DEPENDENCYPART_ARC
(24,12),0.68483 # DEPENDENCYPART_ARC
(24,13),-1.53182 # DEPENDENCYPART_ARC
(24,14),-0.354498 # DEPENDENCYPART_ARC
(24,15),0.120221 # DEPENDENCYPART_ARC
(24,16),-0.138819 # DEPENDENCYPART_ARC
(24,17),2.16773 # DEPENDENCYPART_ARC
(24,18),0.681532 # DEPENDENCYPART_ARC
(24,19),0.857667 # DEPENDENCYPART_ARC
(24,20),2.20658 # DEPENDENCYPART_ARC
(24,21),1.72799 # DEPENDENCYPART_ARC
(24,22),0.889721 # DEPENDENCYPART_ARC
(24,23),3.77857 # DEPENDENCYPART_ARC
(24,25),-0.280344 # DEPENDENCYPART_ARC
(25,1),-3.14385 # DEPENDENCYPART_ARC
(25,2),-3.18602 # DEPENDENCYPART_ARC
(25,3),-2.91494 # DEPENDENCYPART_ARC
(25,4),-3.12527 # DEPENDENCYPART_ARC
(25,5),-2.676 # DEPENDENCYPART_ARC
(25,6),-3.42594 # DEPENDENCYPART_ARC
(25,7),-2.23163 # DEPENDENCYPART_ARC
(25,8),-1.56443 # DEPENDENCYPART_ARC
(25,9),-2.50191 # DEPENDENCYPART_ARC
(25,10),-2.31584 # DEPENDENCYPART_ARC
(25,11),-2.28043 # DEPENDENCYPART_ARC
(25,12),-2.25837 # DEPENDENCYPART_ARC
(25,13),-2.17643 # DEPENDENCYPART_ARC
(25,14),-1.55985 # DEPENDENCYPART_ARC
(25,15),-1.71382 # DEPENDENCYPART_ARC
(25,16),-1.91987 # DEPENDENCYPART_ARC
(25,17),-1.79774 # DEPENDENCYPART_ARC
(25,18),-1.65401 # DEPENDENCYPART_ARC
(25,19),-0.462098 # DEPENDENCYPART_ARC
(25,20),-1.69385 # DEPENDENCYPART_ARC
(25,21),-1.56772 # DEPENDENCYPART_ARC
(25,22),-1.09232 # DEPENDENCYPART_ARC
(25,23),-1.57875 # DEPENDENCYPART_ARC
(25,24),-1.7177 # DEPENDENCYPART_ARC
