# _root_ `` All the things that we set up to slow down the process , to let people know that the market was in an extreme position , worked extremely well . ''
#goldHeads=28,4,4,28,7,7,4,7,7,9,10,13,10,9,9,15,16,16,18,21,22,19,22,26,26,23,28,0,28,29,28,28,
#predictedHeads=22,4,4,7,10,7,0,7,7,9,10,13,10,10,10,15,16,16,18,21,22,19,22,26,26,23,22,19,28,28,22,28,
(16,12),0.0709543 # DEPENDENCYPART_ARC
(16,13),0.0786673 # DEPENDENCYPART_ARC
(16,14),0.714341 # DEPENDENCYPART_ARC
(16,15),1.31852 # DEPENDENCYPART_ARC
(16,17),3.8981 # DEPENDENCYPART_ARC
(16,18),2.94045 # DEPENDENCYPART_ARC
(16,19),1.27747 # DEPENDENCYPART_ARC
(16,20),-0.560763 # DEPENDENCYPART_ARC
(16,21),1.155 # DEPENDENCYPART_ARC
(16,22),0.937388 # DEPENDENCYPART_ARC
(16,23),0.523974 # DEPENDENCYPART_ARC
(16,24),-0.7976 # DEPENDENCYPART_ARC
(16,25),-0.934674 # DEPENDENCYPART_ARC
(16,26),-0.327718 # DEPENDENCYPART_ARC
(16,27),0.78506 # DEPENDENCYPART_ARC
(16,28),-0.148211 # DEPENDENCYPART_ARC
(16,29),-0.657381 # DEPENDENCYPART_ARC
(16,30),-0.890786 # DEPENDENCYPART_ARC
(16,31),2.38401 # DEPENDENCYPART_ARC
(16,32),0.561609 # DEPENDENCYPART_ARC
(17,1),-3.05608 # DEPENDENCYPART_ARC
(17,2),-4.47892 # DEPENDENCYPART_ARC
(17,3),-5.05966 # DEPENDENCYPART_ARC
(17,4),-3.44157 # DEPENDENCYPART_ARC
(17,5),-1.56309 # DEPENDENCYPART_ARC
(17,6),-1.92391 # DEPENDENCYPART_ARC
(17,7),-1.7076 # DEPENDENCYPART_ARC
(17,8),-1.50359 # DEPENDENCYPART_ARC
(17,9),-1.54343 # DEPENDENCYPART_ARC
(17,10),-0.74341 # DEPENDENCYPART_ARC
(17,11),-1.47217 # DEPENDENCYPART_ARC
(17,12),0.699923 # DEPENDENCYPART_ARC
(17,13),-0.500421 # DEPENDENCYPART_ARC
(17,14),0.138454 # DEPENDENCYPART_ARC
(17,15),0.452183 # DEPENDENCYPART_ARC
(17,16),2.02921 # DEPENDENCYPART_ARC
(17,18),0.590861 # DEPENDENCYPART_ARC
(17,19),0.0476443 # DEPENDENCYPART_ARC
(17,20),-0.647093 # DEPENDENCYPART_ARC
(17,21),-0.200244 # DEPENDENCYPART_ARC
(17,22),0.204939 # DEPENDENCYPART_ARC
(17,23),-0.329243 # DEPENDENCYPART_ARC
(17,24),-0.982668 # DEPENDENCYPART_ARC
(17,25),-1.01479 # DEPENDENCYPART_ARC
(17,26),-1.08748 # DEPENDENCYPART_ARC
(17,27),-0.0242251 # DEPENDENCYPART_ARC
(17,28),-1.03955 # DEPENDENCYPART_ARC
(17,29),-1.75769 # DEPENDENCYPART_ARC
(17,30),-1.28636 # DEPENDENCYPART_ARC
(17,31),0.501283 # DEPENDENCYPART_ARC
(17,32),-1.0036 # DEPENDENCYPART_ARC
(18,1),-0.0446951 # DEPENDENCYPART_ARC
(18,2),-0.758845 # DEPENDENCYPART_ARC
(18,3),-0.617351 # DEPENDENCYPART_ARC
(18,4),-0.929259 # DEPENDENCYPART_ARC
(18,5),1.27948 # DEPENDENCYPART_ARC
(18,6),-0.446992 # DEPENDENCYPART_ARC
(18,7),-0.367037 # DEPENDENCYPART_ARC
(18,8),-0.0239889 # DEPENDENCYPART_ARC
(18,9),-0.165564 # DEPENDENCYPART_ARC
(18,10),0.422442 # DEPENDENCYPART_ARC
(18,11),0.294854 # DEPENDENCYPART_ARC
(18,12),0.723011 # DEPENDENCYPART_ARC
(18,13),0.716106 # DEPENDENCYPART_ARC
(18,14),1.35261 # DEPENDENCYPART_ARC
(18,15),0.879283 # DEPENDENCYPART_ARC
(18,16),1.29297 # DEPENDENCYPART_ARC
(18,17),2.26541 # DEPENDENCYPART_ARC
(18,19),2.93812 # DEPENDENCYPART_ARC
(18,20),0.0825431 # DEPENDENCYPART_ARC
(18,21),0.569996 # DEPENDENCYPART_ARC
(18,22),1.78613 # DEPENDENCYPART_ARC
(18,23),1.03035 # DEPENDENCYPART_ARC
(18,24),-0.638481 # DEPENDENCYPART_ARC
(18,25),-0.919345 # DEPENDENCYPART_ARC
(18,26),-1.20843 # DEPENDENCYPART_ARC
(18,27),1.27918 # DEPENDENCYPART_ARC
(18,28),0.306059 # DEPENDENCYPART_ARC
(18,29),-0.378919 # DEPENDENCYPART_ARC
(18,30),-0.845458 # DEPENDENCYPART_ARC
(18,31),3.73974 # DEPENDENCYPART_ARC
(18,32),0.695144 # DEPENDENCYPART_ARC
(19,1),-0.396801 # DEPENDENCYPART_ARC
(19,2),-1.78205 # DEPENDENCYPART_ARC
(19,3),-2.06153 # DEPENDENCYPART_ARC
(19,4),-2.03517 # DEPENDENCYPART_ARC
(19,5),-0.268803 # DEPENDENCYPART_ARC
(19,6),-1.82264 # DEPENDENCYPART_ARC
(19,7),-1.40695 # DEPENDENCYPART_ARC
(19,8),-1.36899 # DEPENDENCYPART_ARC
(19,9),-1.20168 # DEPENDENCYPART_ARC
(19,10),-0.785526 # DEPENDENCYPART_ARC
(19,11),-0.872812 # DEPENDENCYPART_ARC
(19,12),-0.553871 # DEPENDENCYPART_ARC
(19,13),-1.25565 # DEPENDENCYPART_ARC
(19,14),0.0408202 # DEPENDENCYPART_ARC
(19,15),-0.478926 # DEPENDENCYPART_ARC
(19,16),0.19412 # DEPENDENCYPART_ARC
(19,17),-0.169359 # DEPENDENCYPART_ARC
(19,18),1.10122 # DEPENDENCYPART_ARC
(19,20),-0.815392 # DEPENDENCYPART_ARC
(19,21),0.455347 # DEPENDENCYPART_ARC
(19,22),4.01762 # DEPENDENCYPART_ARC
(19,23),-0.48996 # DEPENDENCYPART_ARC
(19,24),-2.22743 # DEPENDENCYPART_ARC
(19,25),-0.92443 # DEPENDENCYPART_ARC
(19,26),-2.79003 # DEPENDENCYPART_ARC
(19,27),1.56403 # DEPENDENCYPART_ARC
(19,28),1.96621 # DEPENDENCYPART_ARC
(19,29),-1.21318 # DEPENDENCYPART_ARC
(19,30),-1.79221 # DEPENDENCYPART_ARC
(19,31),2.3542 # DEPENDENCYPART_ARC
(19,32),0.492273 # DEPENDENCYPART_ARC
(20,1),-4.03 # DEPENDENCYPART_ARC
(20,2),-3.34446 # DEPENDENCYPART_ARC
(20,3),-3.28009 # DEPENDENCYPART_ARC
(20,4),-3.65631 # DEPENDENCYPART_ARC
(20,5),-3.0314 # DEPENDENCYPART_ARC
(20,6),-3.1208 # DEPENDENCYPART_ARC
(20,7),-3.03407 # DEPENDENCYPART_ARC
(20,8),-3.03195 # DEPENDENCYPART_ARC
(20,9),-2.8458 # DEPENDENCYPART_ARC
(20,10),-2.52954 # DEPENDENCYPART_ARC
(20,11),-2.6769 # DEPENDENCYPART_ARC
(20,12),-2.03757 # DEPENDENCYPART_ARC
(20,13),-2.82725 # DEPENDENCYPART_ARC
(20,14),-2.23015 # DEPENDENCYPART_ARC
(20,15),-2.2211 # DEPENDENCYPART_ARC
(20,16),-1.69128 # DEPENDENCYPART_ARC
(20,17),-1.70508 # DEPENDENCYPART_ARC
(20,18),-1.09347 # DEPENDENCYPART_ARC
(20,19),-0.410258 # DEPENDENCYPART_ARC
(20,21),0.179031 # DEPENDENCYPART_ARC
(20,22),-0.581434 # DEPENDENCYPART_ARC
(20,23),-1.51184 # DEPENDENCYPART_ARC
(20,24),-2.51739 # DEPENDENCYPART_ARC
(20,25),-1.8299 # DEPENDENCYPART_ARC
(20,26),-1.93698 # DEPENDENCYPART_ARC
(20,27),-1.8099 # DEPENDENCYPART_ARC
(20,28),-2.45645 # DEPENDENCYPART_ARC
(20,29),-2.31947 # DEPENDENCYPART_ARC
(20,30),-2.36394 # DEPENDENCYPART_ARC
(20,31),-1.88718 # DEPENDENCYPART_ARC
(20,32),-1.8217 # DEPENDENCYPART_ARC
(21,1),-4.80033 # DEPENDENCYPART_ARC
(21,2),-7.03363 # DEPENDENCYPART_ARC
(21,3),-7.11704 # DEPENDENCYPART_ARC
(21,4),-3.62998 # DEPENDENCYPART_ARC
(21,5),-2.20882 # DEPENDENCYPART_ARC
(21,6),-2.75959 # DEPENDENCYPART_ARC
(21,7),-1.78198 # DEPENDENCYPART_ARC
(21,8),-2.56043 # DEPENDENCYPART_ARC
(21,9),-2.95236 # DEPENDENCYPART_ARC
(21,10),-2.36127 # DEPENDENCYPART_ARC
(21,11),-2.28103 # DEPENDENCYPART_ARC
(21,12),-1.44429 # DEPENDENCYPART_ARC
(21,13),-3.79663 # DEPENDENCYPART_ARC
(21,14),-1.89142 # DEPENDENCYPART_ARC
(21,15),-2.00304 # DEPENDENCYPART_ARC
(21,16),-0.900946 # DEPENDENCYPART_ARC
(21,17),-0.37921 # DEPENDENCYPART_ARC
(21,18),-0.389355 # DEPENDENCYPART_ARC
(21,19),0.743382 # DEPENDENCYPART_ARC
(21,20),4.75963 # DEPENDENCYPART_ARC
(21,22),0.164271 # DEPENDENCYPART_ARC
(21,23),-0.126009 # DEPENDENCYPART_ARC
(21,24),-1.12823 # DEPENDENCYPART_ARC
(21,25),-1.09805 # DEPENDENCYPART_ARC
(21,26),-1.04904 # DEPENDENCYPART_ARC
(21,27),-0.614531 # DEPENDENCYPART_ARC
(21,28),-1.19281 # DEPENDENCYPART_ARC
(21,29),-1.93012 # DEPENDENCYPART_ARC
(21,30),-1.19077 # DEPENDENCYPART_ARC
(21,31),-0.158912 # DEPENDENCYPART_ARC
(21,32),-1.56408 # DEPENDENCYPART_ARC
(22,1),1.6707 # DEPENDENCYPART_ARC
(22,2),-0.491758 # DEPENDENCYPART_ARC
(22,3),-1.73076 # DEPENDENCYPART_ARC
(22,4),-0.862682 # DEPENDENCYPART_ARC
(22,5),-1.20462 # DEPENDENCYPART_ARC
(22,6),-0.634993 # DEPENDENCYPART_ARC
(22,7),0.471912 # DEPENDENCYPART_ARC
(22,8),-0.950549 # DEPENDENCYPART_ARC
(22,9),-0.021299 # DEPENDENCYPART_ARC
(22,10),0.821758 # DEPENDENCYPART_ARC
(22,11),-0.446791 # DEPENDENCYPART_ARC
(22,12),-0.752789 # DEPENDENCYPART_ARC
(22,13),0.878112 # DEPENDENCYPART_ARC
(22,14),1.41045 # DEPENDENCYPART_ARC
(22,15),0.292288 # DEPENDENCYPART_ARC
(22,16),0.599021 # DEPENDENCYPART_ARC
(22,17),0.635144 # DEPENDENCYPART_ARC
(22,18),0.348283 # DEPENDENCYPART_ARC
(22,19),1.17764 # DEPENDENCYPART_ARC
(22,20),0.816531 # DEPENDENCYPART_ARC
(22,21),3.52673 # DEPENDENCYPART_ARC
(22,23),3.29225 # DEPENDENCYPART_ARC
(22,24),0.107055 # DEPENDENCYPART_ARC
(22,25),0.491282 # DEPENDENCYPART_ARC
(22,26),1.58226 # DEPENDENCYPART_ARC
(22,27),2.11314 # DEPENDENCYPART_ARC
(22,28),0.984244 # DEPENDENCYPART_ARC
(22,29),0.1914 # DEPENDENCYPART_ARC
(22,30),0.0956911 # DEPENDENCYPART_ARC
(22,31),3.8587 # DEPENDENCYPART_ARC
(22,32),2.99686 # DEPENDENCYPART_ARC
(23,1),-1.50306 # DEPENDENCYPART_ARC
(23,2),-2.54235 # DEPENDENCYPART_ARC
(23,3),-2.93136 # DEPENDENCYPART_ARC
(23,4),-2.39665 # DEPENDENCYPART_ARC
(23,5),-1.41942 # DEPENDENCYPART_ARC
(23,6),-2.9007 # DEPENDENCYPART_ARC
(23,7),-2.49353 # DEPENDENCYPART_ARC
(23,8),-2.30614 # DEPENDENCYPART_ARC
(23,9),-2.5004 # DEPENDENCYPART_ARC
(23,10),-2.11573 # DEPENDENCYPART_ARC
(23,11),-1.97877 # DEPENDENCYPART_ARC
(23,12),-1.86085 # DEPENDENCYPART_ARC
(23,13),-2.29881 # DEPENDENCYPART_ARC
(23,14),-1.33415 # DEPENDENCYPART_ARC
(23,15),-1.58168 # DEPENDENCYPART_ARC
(23,16),-1.25285 # DEPENDENCYPART_ARC
(23,17),-0.91163 # DEPENDENCYPART_ARC
(23,18),-1.07671 # DEPENDENCYPART_ARC
(23,19),-0.387651 # DEPENDENCYPART_ARC
(23,20),-0.0602411 # DEPENDENCYPART_ARC
(23,21),-0.332542 # DEPENDENCYPART_ARC
(23,22),0.00716571 # DEPENDENCYPART_ARC
(23,24),0.885606 # DEPENDENCYPART_ARC
(23,25),1.63209 # DEPENDENCYPART_ARC
(23,26),3.89836 # DEPENDENCYPART_ARC
(23,27),0.83397 # DEPENDENCYPART_ARC
(23,28),0.455061 # DEPENDENCYPART_ARC
(23,29),0.0189801 # DEPENDENCYPART_ARC
(23,30),-0.620359 # DEPENDENCYPART_ARC
(23,31),0.589923 # DEPENDENCYPART_ARC
(23,32),-0.119145 # DEPENDENCYPART_ARC
(24,1),-4.49231 # DEPENDENCYPART_ARC
(24,2),-3.77037 # DEPENDENCYPART_ARC
(24,3),-3.86627 # DEPENDENCYPART_ARC
(24,4),-4.23129 # DEPENDENCYPART_ARC
(24,5),-3.84124 # DEPENDENCYPART_ARC
(24,6),-3.65096 # DEPENDENCYPART_ARC
(24,7),-3.63729 # DEPENDENCYPART_ARC
(24,8),-3.62037 # DEPENDENCYPART_ARC
(24,9),-3.42291 # DEPENDENCYPART_ARC
(24,10),-3.16055 # DEPENDENCYPART_ARC
(24,11),-3.27967 # DEPENDENCYPART_ARC
(24,12),-2.82567 # DEPENDENCYPART_ARC
(24,13),-3.62319 # DEPENDENCYPART_ARC
(24,14),-2.84607 # DEPENDENCYPART_ARC
(24,15),-2.82312 # DEPENDENCYPART_ARC
(24,16),-2.44886 # DEPENDENCYPART_ARC
(24,17),-2.7201 # DEPENDENCYPART_ARC
(24,18),-2.16318 # DEPENDENCYPART_ARC
(24,19),-2.36134 # DEPENDENCYPART_ARC
(24,20),-1.2692 # DEPENDENCYPART_ARC
(24,21),-1.99647 # DEPENDENCYPART_ARC
(24,22),-1.76227 # DEPENDENCYPART_ARC
(24,23),-0.774086 # DEPENDENCYPART_ARC
(24,25),0.330556 # DEPENDENCYPART_ARC
(24,26),-0.360167 # DEPENDENCYPART_ARC
(24,27),-0.95208 # DEPENDENCYPART_ARC
(24,28),-0.624333 # DEPENDENCYPART_ARC
(24,29),-1.34649 # DEPENDENCYPART_ARC
(24,30),-1.27423 # DEPENDENCYPART_ARC
(24,31),-1.07915 # DEPENDENCYPART_ARC
(24,32),-0.905986 # DEPENDENCYPART_ARC
(25,1),-3.29322 # DEPENDENCYPART_ARC
(25,2),-3.73564 # DEPENDENCYPART_ARC
(25,3),-3.06227 # DEPENDENCYPART_ARC
(25,4),-3.34039 # DEPENDENCYPART_ARC
(25,5),-2.8098 # DEPENDENCYPART_ARC
(25,6),-3.26053 # DEPENDENCYPART_ARC
(25,7),-3.19569 # DEPENDENCYPART_ARC
(25,8),-2.31329 # DEPENDENCYPART_ARC
(25,9),-1.64239 # DEPENDENCYPART_ARC
(25,10),-2.40876 # DEPENDENCYPART_ARC
(25,11),-2.3337 # DEPENDENCYPART_ARC
(25,12),-1.83825 # DEPENDENCYPART_ARC
(25,13),-2.29447 # DEPENDENCYPART_ARC
(25,14),-1.8754 # DEPENDENCYPART_ARC
(25,15),-0.965427 # DEPENDENCYPART_ARC
(25,16),-1.46587 # DEPENDENCYPART_ARC
(25,17),-1.69973 # DEPENDENCYPART_ARC
(25,18),-1.45827 # DEPENDENCYPART_ARC
(25,19),-0.980558 # DEPENDENCYPART_ARC
(25,20),0.0477018 # DEPENDENCYPART_ARC
(25,21),-0.489095 # DEPENDENCYPART_ARC
(25,22),-1.22075 # DEPENDENCYPART_ARC
(25,23),-0.00143833 # DEPENDENCYPART_ARC
(25,24),1.71601 # DEPENDENCYPART_ARC
(25,26),0.786094 # DEPENDENCYPART_ARC
(25,27),-0.228944 # DEPENDENCYPART_ARC
(25,28),-0.0112063 # DEPENDENCYPART_ARC
(25,29),-0.821585 # DEPENDENCYPART_ARC
(25,30),-0.989507 # DEPENDENCYPART_ARC
(25,31),-0.538305 # DEPENDENCYPART_ARC
(25,32),-1.32657 # DEPENDENCYPART_ARC
(26,1),-3.53727 # DEPENDENCYPART_ARC
(26,2),-8.53386 # DEPENDENCYPART_ARC
(26,3),-9.6328 # DEPENDENCYPART_ARC
(26,4),-3.88939 # DEPENDENCYPART_ARC
(26,5),-2.71394 # DEPENDENCYPART_ARC
(26,6),-2.09472 # DEPENDENCYPART_ARC
(26,7),-1.41046 # DEPENDENCYPART_ARC
(26,8),-2.30177 # DEPENDENCYPART_ARC
(26,9),-2.8839 # DEPENDENCYPART_ARC
(26,10),-2.10108 # DEPENDENCYPART_ARC
(26,11),-2.18854 # DEPENDENCYPART_ARC
(26,12),-4.77768 # DEPENDENCYPART_ARC
(26,13),-4.96721 # DEPENDENCYPART_ARC
(26,14),-2.4595 # DEPENDENCYPART_ARC
(26,15),-2.15892 # DEPENDENCYPART_ARC
(26,16),-1.02194 # DEPENDENCYPART_ARC
(26,17),-0.787489 # DEPENDENCYPART_ARC
(26,18),-0.913423 # DEPENDENCYPART_ARC
(26,19),-0.714154 # DEPENDENCYPART_ARC
(26,20),0.38882 # DEPENDENCYPART_ARC
(26,21),-0.645042 # DEPENDENCYPART_ARC
(26,22),0.0341117 # DEPENDENCYPART_ARC
(26,23),0.769197 # DEPENDENCYPART_ARC
(26,24),4.76436 # DEPENDENCYPART_ARC
(26,25),4.51055 # DEPENDENCYPART_ARC
(26,27),1.46867 # DEPENDENCYPART_ARC
(26,28),0.956684 # DEPENDENCYPART_ARC
(26,29),-0.194031 # DEPENDENCYPART_ARC
(26,30),-0.0328267 # DEPENDENCYPART_ARC
(26,31),0.740468 # DEPENDENCYPART_ARC
(26,32),0.449752 # DEPENDENCYPART_ARC
(27,1),-3.39965 # DEPENDENCYPART_ARC
(27,2),-3.51137 # DEPENDENCYPART_ARC
(27,3),-3.50464 # DEPENDENCYPART_ARC
(27,4),-3.18095 # DEPENDENCYPART_ARC
(27,5),-3.38474 # DEPENDENCYPART_ARC
(27,6),-3.47979 # DEPENDENCYPART_ARC
(27,7),-2.53829 # DEPENDENCYPART_ARC
(27,8),-3.1203 # DEPENDENCYPART_ARC
(27,9),-2.3644 # DEPENDENCYPART_ARC
(27,10),-2.88389 # DEPENDENCYPART_ARC
(27,11),-2.81199 # DEPENDENCYPART_ARC
(27,12),-2.45178 # DEPENDENCYPART_ARC
(27,13),-2.31729 # DEPENDENCYPART_ARC
(27,14),-0.32685 # DEPENDENCYPART_ARC
(27,15),-1.73299 # DEPENDENCYPART_ARC
(27,16),-2.27496 # DEPENDENCYPART_ARC
(27,17),-1.87295 # DEPENDENCYPART_ARC
(27,18),-2.05785 # DEPENDENCYPART_ARC
(27,19),-1.8562 # DEPENDENCYPART_ARC
(27,20),-1.40627 # DEPENDENCYPART_ARC
(27,21),-1.60944 # DEPENDENCYPART_ARC
(27,22),-1.73974 # DEPENDENCYPART_ARC
(27,23),-1.5259 # DEPENDENCYPART_ARC
(27,24),-0.689298 # DEPENDENCYPART_ARC
(27,25),-1.30073 # DEPENDENCYPART_ARC
(27,26),-1.01729 # DEPENDENCYPART_ARC
(27,28),0.0473002 # DEPENDENCYPART_ARC
(27,29),-1.19853 # DEPENDENCYPART_ARC
(27,30),-1.43426 # DEPENDENCYPART_ARC
(27,31),-1.32782 # DEPENDENCYPART_ARC
(27,32),-1.28566 # DEPENDENCYPART_ARC
(28,1),1.47085 # DEPENDENCYPART_ARC
(28,2),-1.69088 # DEPENDENCYPART_ARC
(28,3),-2.59441 # DEPENDENCYPART_ARC
(28,4),-0.716017 # DEPENDENCYPART_ARC
(28,5),-2.1962 # DEPENDENCYPART_ARC
(28,6),-0.84613 # DEPENDENCYPART_ARC
(28,7),-0.0856931 # DEPENDENCYPART_ARC
(28,8),-1.69113 # DEPENDENCYPART_ARC
(28,9),-0.592625 # DEPENDENCYPART_ARC
(28,10),0.452497 # DEPENDENCYPART_ARC
(28,11),-1.18582 # DEPENDENCYPART_ARC
(28,12),-1.68578 # DEPENDENCYPART_ARC
(28,13),0.30424 # DEPENDENCYPART_ARC
(28,14),0.900272 # DEPENDENCYPART_ARC
(28,15),0.0906022 # DEPENDENCYPART_ARC
(28,16),0.375731 # DEPENDENCYPART_ARC
(28,17),0.587496 # DEPENDENCYPART_ARC
(28,18),-0.0104969 # DEPENDENCYPART_ARC
(28,19),0.574723 # DEPENDENCYPART_ARC
(28,20),-0.472659 # DEPENDENCYPART_ARC
(28,21),0.790396 # DEPENDENCYPART_ARC
(28,22),0.183218 # DEPENDENCYPART_ARC
(28,23),1.04644 # DEPENDENCYPART_ARC
(28,24),0.627743 # DEPENDENCYPART_ARC
(28,25),1.08973 # DEPENDENCYPART_ARC
(28,26),1.48815 # DEPENDENCYPART_ARC
(28,27),1.90557 # DEPENDENCYPART_ARC
(28,29),2.87595 # DEPENDENCYPART_ARC
(28,30),2.11758 # DEPENDENCYPART_ARC
(28,31),3.26056 # DEPENDENCYPART_ARC
(28,32),3.83891 # DEPENDENCYPART_ARC
(29,1),-3.00321 # DEPENDENCYPART_ARC
(29,2),-1.51241 # DEPENDENCYPART_ARC
(29,3),-2.04786 # DEPENDENCYPART_ARC
(29,4),-3.01986 # DEPENDENCYPART_ARC
(29,5),-2.99805 # DEPENDENCYPART_ARC
(29,6),-3.16361 # DEPENDENCYPART_ARC
(29,7),-2.60197 # DEPENDENCYPART_ARC
(29,8),-2.13895 # DEPENDENCYPART_ARC
(29,9),-2.63456 # DEPENDENCYPART_ARC
(29,10),-2.41549 # DEPENDENCYPART_ARC
(29,11),-1.9239 # DEPENDENCYPART_ARC
(29,12),-1.27796 # DEPENDENCYPART_ARC
(29,13),-2.42164 # DEPENDENCYPART_ARC
(29,14),-1.47281 # DEPENDENCYPART_ARC
(29,15),-1.88785 # DEPENDENCYPART_ARC
(29,16),-1.59098 # DEPENDENCYPART_ARC
(29,17),-1.72298 # DEPENDENCYPART_ARC
(29,18),-1.57928 # DEPENDENCYPART_ARC
(29,19),-1.10846 # DEPENDENCYPART_ARC
(29,20),-0.286668 # DEPENDENCYPART_ARC
(29,21),-1.41513 # DEPENDENCYPART_ARC
(29,22),-1.0818 # DEPENDENCYPART_ARC
(29,23),-0.708067 # DEPENDENCYPART_ARC
(29,24),-0.17474 # DEPENDENCYPART_ARC
(29,25),-0.0930108 # DEPENDENCYPART_ARC
(29,26),-0.45132 # DEPENDENCYPART_ARC
(29,27),0.391325 # DEPENDENCYPART_ARC
(29,28),0.609697 # DEPENDENCYPART_ARC
(29,30),2.11638 # DEPENDENCYPART_ARC
(29,31),0.288618 # DEPENDENCYPART_ARC
(29,32),0.553993 # DEPENDENCYPART_ARC
(30,1),-2.68911 # DEPENDENCYPART_ARC
(30,2),-0.963763 # DEPENDENCYPART_ARC
(30,3),-1.4243 # DEPENDENCYPART_ARC
(30,4),-2.68866 # DEPENDENCYPART_ARC
(30,5),-2.03133 # DEPENDENCYPART_ARC
(30,6),-2.9236 # DEPENDENCYPART_ARC
(30,7),-2.4246 # DEPENDENCYPART_ARC
(30,8),-1.79785 # DEPENDENCYPART_ARC
(30,9),-2.38941 # DEPENDENCYPART_ARC
(30,10),-2.16837 # DEPENDENCYPART_ARC
(30,11),-1.68869 # DEPENDENCYPART_ARC
(30,12),-0.72382 # DEPENDENCYPART_ARC
(30,13),-2.15129 # DEPENDENCYPART_ARC
(30,14),-1.28014 # DEPENDENCYPART_ARC
(30,15),-1.64795 # DEPENDENCYPART_ARC
(30,16),-1.35877 # DEPENDENCYPART_ARC
(30,17),-1.30598 # DEPENDENCYPART_ARC
(30,18),-1.29207 # DEPENDENCYPART_ARC
(30,19),-0.344096 # DEPENDENCYPART_ARC
(30,20),0.223355 # DEPENDENCYPART_ARC
(30,21),-1.12407 # DEPENDENCYPART_ARC
(30,22),-0.812924 # DEPENDENCYPART_ARC
(30,23),0.103104 # DEPENDENCYPART_ARC
(30,24),0.296588 # DEPENDENCYPART_ARC
(30,25),0.187383 # DEPENDENCYPART_ARC
(30,26),-0.556678 # DEPENDENCYPART_ARC
(30,27),0.29418 # DEPENDENCYPART_ARC
(30,28),0.182738 # DEPENDENCYPART_ARC
(30,29),1.09996 # DEPENDENCYPART_ARC
(30,31),0.100464 # DEPENDENCYPART_ARC
(30,32),0.22357 # DEPENDENCYPART_ARC
(31,1),-3.38867 # DEPENDENCYPART_ARC
(31,2),-3.66376 # DEPENDENCYPART_ARC
(31,3),-3.56071 # DEPENDENCYPART_ARC
(31,4),-3.24161 # DEPENDENCYPART_ARC
(31,5),-4.06095 # DEPENDENCYPART_ARC
(31,6),-2.096 # DEPENDENCYPART_ARC
(31,7),-1.94899 # DEPENDENCYPART_ARC
(31,8),-3.24517 # DEPENDENCYPART_ARC
(31,9),-3.16407 # DEPENDENCYPART_ARC
(31,10),-3.05141 # DEPENDENCYPART_ARC
(31,11),-2.96227 # DEPENDENCYPART_ARC
(31,12),-2.65697 # DEPENDENCYPART_ARC
(31,13),-2.31102 # DEPENDENCYPART_ARC
(31,14),-1.61516 # DEPENDENCYPART_ARC
(31,15),-2.56457 # DEPENDENCYPART_ARC
(31,16),-2.4805 # DEPENDENCYPART_ARC
(31,17),-2.27659 # DEPENDENCYPART_ARC
(31,18),-2.30665 # DEPENDENCYPART_ARC
(31,19),-2.3906 # DEPENDENCYPART_ARC
(31,20),-1.84341 # DEPENDENCYPART_ARC
(31,21),-1.85921 # DEPENDENCYPART_ARC
(31,22),-1.46433 # DEPENDENCYPART_ARC
(31,23),-1.90827 # DEPENDENCYPART_ARC
(31,24),-1.26247 # DEPENDENCYPART_ARC
(31,25),-1.66083 # DEPENDENCYPART_ARC
(31,26),-1.69393 # DEPENDENCYPART_ARC
(31,27),-0.672605 # DEPENDENCYPART_ARC
(31,28),-1.05509 # DEPENDENCYPART_ARC
(31,29),-1.57555 # DEPENDENCYPART_ARC
(31,30),-1.13425 # DEPENDENCYPART_ARC
(31,32),-1.30857 # DEPENDENCYPART_ARC
(32,1),-1.53107 # DEPENDENCYPART_ARC
(32,2),-3.76772 # DEPENDENCYPART_ARC
(32,3),-3.57829 # DEPENDENCYPART_ARC
(32,4),-3.75156 # DEPENDENCYPART_ARC
(32,5),-3.81224 # DEPENDENCYPART_ARC
(32,6),-3.6746 # DEPENDENCYPART_ARC
(32,7),-3.35282 # DEPENDENCYPART_ARC
(32,8),-3.46899 # DEPENDENCYPART_ARC
(32,9),-3.18907 # DEPENDENCYPART_ARC
(32,10),-3.06113 # DEPENDENCYPART_ARC
(32,11),-3.11132 # DEPENDENCYPART_ARC
(32,12),-2.64007 # DEPENDENCYPART_ARC
(32,13),-3.35855 # DEPENDENCYPART_ARC
(32,14),-2.25698 # DEPENDENCYPART_ARC
(32,15),-2.51676 # DEPENDENCYPART_ARC
(32,16),-2.56875 # DEPENDENCYPART_ARC
(32,17),-2.42524 # DEPENDENCYPART_ARC
(32,18),-2.38747 # DEPENDENCYPART_ARC
(32,19),-2.14491 # DEPENDENCYPART_ARC
(32,20),-1.61888 # DEPENDENCYPART_ARC
(32,21),-2.53075 # DEPENDENCYPART_ARC
(32,22),-1.87169 # DEPENDENCYPART_ARC
(32,23),-1.60726 # DEPENDENCYPART_ARC
(32,24),-1.0998 # DEPENDENCYPART_ARC
(32,25),-1.81917 # DEPENDENCYPART_ARC
(32,26),-1.83841 # DEPENDENCYPART_ARC
(32,27),-0.871297 # DEPENDENCYPART_ARC
(32,28),-1.27003 # DEPENDENCYPART_ARC
(32,29),-1.04352 # DEPENDENCYPART_ARC
(32,30),-0.828451 # DEPENDENCYPART_ARC
