# _root_ At Shearson Lehman , executives created potential new commercials Friday night and throughout the weekend , then had to regroup yesterday afternoon .
#goldHeads=6,3,1,6,6,0,9,9,6,11,6,11,12,15,13,6,18,6,18,19,22,20,6,
#predictedHeads=6,3,1,6,6,0,9,9,6,11,6,6,12,15,13,18,18,12,18,19,22,20,6,
(23,5),-2.45559 # DEPENDENCYPART_ARC
(23,6),-1.25999 # DEPENDENCYPART_ARC
(23,7),-2.44537 # DEPENDENCYPART_ARC
(23,8),-2.34768 # DEPENDENCYPART_ARC
(23,9),-2.16229 # DEPENDENCYPART_ARC
(23,10),-1.85287 # DEPENDENCYPART_ARC
(23,11),-1.50892 # DEPENDENCYPART_ARC
(23,12),-1.67976 # DEPENDENCYPART_ARC
(23,13),-1.91882 # DEPENDENCYPART_ARC
(23,14),-1.15513 # DEPENDENCYPART_ARC
(23,15),-1.48615 # DEPENDENCYPART_ARC
(23,16),-0.535798 # DEPENDENCYPART_ARC
(23,17),-1.36774 # DEPENDENCYPART_ARC
(23,18),-0.979493 # DEPENDENCYPART_ARC
(23,19),-1.27684 # DEPENDENCYPART_ARC
(23,20),-0.914924 # DEPENDENCYPART_ARC
(23,21),-1.57667 # DEPENDENCYPART_ARC
(23,22),-1.75161 # DEPENDENCYPART_ARC
