# _root_ Nobuto Yasuda , a director at Yamaichi Investment Trust & Management Co. , called yesterday 's session `` a good scenario '' for Japan .
#goldHeads=2,14,2,5,2,5,9,9,6,9,10,11,2,0,17,15,14,21,21,21,14,21,21,23,14,
#predictedHeads=2,14,2,5,2,5,9,9,6,9,10,11,2,0,17,15,14,21,21,21,14,21,14,23,14,
(21,6),-1.96644 # DEPENDENCYPART_ARC
(21,7),-1.20118 # DEPENDENCYPART_ARC
(21,8),-1.53 # DEPENDENCYPART_ARC
(21,9),-2.73432 # DEPENDENCYPART_ARC
(21,10),-0.843473 # DEPENDENCYPART_ARC
(21,11),-0.473652 # DEPENDENCYPART_ARC
(21,12),-1.655 # DEPENDENCYPART_ARC
(21,13),-0.34823 # DEPENDENCYPART_ARC
(21,14),-0.491837 # DEPENDENCYPART_ARC
(21,15),2.29608 # DEPENDENCYPART_ARC
(21,16),0.504935 # DEPENDENCYPART_ARC
(21,17),1.16809 # DEPENDENCYPART_ARC
(21,18),2.98745 # DEPENDENCYPART_ARC
(21,19),4.79629 # DEPENDENCYPART_ARC
(21,20),4.49939 # DEPENDENCYPART_ARC
(21,22),2.9899 # DEPENDENCYPART_ARC
(21,23),2.26624 # DEPENDENCYPART_ARC
(21,24),0.673816 # DEPENDENCYPART_ARC
(21,25),0.622751 # DEPENDENCYPART_ARC
(22,1),-3.14221 # DEPENDENCYPART_ARC
(22,2),-2.91164 # DEPENDENCYPART_ARC
(22,3),-2.06123 # DEPENDENCYPART_ARC
(22,4),-1.97058 # DEPENDENCYPART_ARC
(22,5),-2.87725 # DEPENDENCYPART_ARC
(22,6),-2.15027 # DEPENDENCYPART_ARC
(22,7),-2.36889 # DEPENDENCYPART_ARC
(22,8),-2.27458 # DEPENDENCYPART_ARC
(22,9),-2.11513 # DEPENDENCYPART_ARC
(22,10),-1.98066 # DEPENDENCYPART_ARC
(22,11),-1.94238 # DEPENDENCYPART_ARC
(22,12),-1.69601 # DEPENDENCYPART_ARC
(22,13),-1.07416 # DEPENDENCYPART_ARC
(22,14),-1.3719 # DEPENDENCYPART_ARC
(22,15),-1.69064 # DEPENDENCYPART_ARC
(22,16),-1.19684 # DEPENDENCYPART_ARC
(22,17),-1.35645 # DEPENDENCYPART_ARC
(22,18),0.541618 # DEPENDENCYPART_ARC
(22,19),0.296897 # DEPENDENCYPART_ARC
(22,20),-0.642974 # DEPENDENCYPART_ARC
(22,21),-0.405502 # DEPENDENCYPART_ARC
(22,23),-0.0975363 # DEPENDENCYPART_ARC
(22,24),-0.513806 # DEPENDENCYPART_ARC
(22,25),-0.555651 # DEPENDENCYPART_ARC
(23,1),-2.81119 # DEPENDENCYPART_ARC
(23,2),-3.02387 # DEPENDENCYPART_ARC
(23,3),-2.02788 # DEPENDENCYPART_ARC
(23,4),-1.90537 # DEPENDENCYPART_ARC
(23,5),-2.54518 # DEPENDENCYPART_ARC
(23,6),-1.78984 # DEPENDENCYPART_ARC
(23,7),-2.00224 # DEPENDENCYPART_ARC
(23,8),-2.13782 # DEPENDENCYPART_ARC
(23,9),-2.08845 # DEPENDENCYPART_ARC
(23,10),-1.92301 # DEPENDENCYPART_ARC
(23,11),-1.8265 # DEPENDENCYPART_ARC
(23,12),-1.95482 # DEPENDENCYPART_ARC
(23,13),-0.909914 # DEPENDENCYPART_ARC
(23,14),-1.23552 # DEPENDENCYPART_ARC
(23,15),-1.41623 # DEPENDENCYPART_ARC
(23,16),-0.510075 # DEPENDENCYPART_ARC
(23,17),-1.39361 # DEPENDENCYPART_ARC
(23,18),0.418775 # DEPENDENCYPART_ARC
(23,19),0.218299 # DEPENDENCYPART_ARC
(23,20),-0.177038 # DEPENDENCYPART_ARC
(23,21),-0.740811 # DEPENDENCYPART_ARC
(23,22),0.416844 # DEPENDENCYPART_ARC
(23,24),2.53331 # DEPENDENCYPART_ARC
(23,25),0.314525 # DEPENDENCYPART_ARC
(24,1),-7.16895 # DEPENDENCYPART_ARC
(24,2),-7.95616 # DEPENDENCYPART_ARC
(24,3),-4.86207 # DEPENDENCYPART_ARC
(24,4),-3.90633 # DEPENDENCYPART_ARC
(24,5),-3.95926 # DEPENDENCYPART_ARC
(24,6),-4.80369 # DEPENDENCYPART_ARC
(24,7),-4.29136 # DEPENDENCYPART_ARC
(24,8),-4.3723 # DEPENDENCYPART_ARC
(24,9),-5.77574 # DEPENDENCYPART_ARC
(24,10),-3.84562 # DEPENDENCYPART_ARC
(24,11),-2.80663 # DEPENDENCYPART_ARC
(24,12),-3.80944 # DEPENDENCYPART_ARC
(24,13),-2.79781 # DEPENDENCYPART_ARC
(24,14),-3.08997 # DEPENDENCYPART_ARC
(24,15),-0.89041 # DEPENDENCYPART_ARC
(24,16),-2.57413 # DEPENDENCYPART_ARC
(24,17),-1.82781 # DEPENDENCYPART_ARC
(24,18),-1.00802 # DEPENDENCYPART_ARC
(24,19),0.209348 # DEPENDENCYPART_ARC
(24,20),-0.024955 # DEPENDENCYPART_ARC
(24,21),-0.538242 # DEPENDENCYPART_ARC
(24,22),-0.296838 # DEPENDENCYPART_ARC
(24,23),0.858767 # DEPENDENCYPART_ARC
(24,25),-0.0505912 # DEPENDENCYPART_ARC
(25,1),-2.57491 # DEPENDENCYPART_ARC
(25,2),-2.98085 # DEPENDENCYPART_ARC
(25,3),-1.64363 # DEPENDENCYPART_ARC
(25,4),-2.83727 # DEPENDENCYPART_ARC
(25,5),-2.49877 # DEPENDENCYPART_ARC
(25,6),-2.37721 # DEPENDENCYPART_ARC
(25,7),-2.04277 # DEPENDENCYPART_ARC
(25,8),-2.0472 # DEPENDENCYPART_ARC
(25,9),-2.16998 # DEPENDENCYPART_ARC
(25,10),-1.68437 # DEPENDENCYPART_ARC
(25,11),-1.819 # DEPENDENCYPART_ARC
(25,12),-1.97831 # DEPENDENCYPART_ARC
(25,13),-0.274842 # DEPENDENCYPART_ARC
(25,14),-0.995655 # DEPENDENCYPART_ARC
(25,15),-1.40104 # DEPENDENCYPART_ARC
(25,16),-1.5647 # DEPENDENCYPART_ARC
(25,17),-1.30434 # DEPENDENCYPART_ARC
(25,18),-0.943639 # DEPENDENCYPART_ARC
(25,19),-0.775171 # DEPENDENCYPART_ARC
(25,20),-1.44425 # DEPENDENCYPART_ARC
(25,21),-1.14729 # DEPENDENCYPART_ARC
(25,22),-0.613957 # DEPENDENCYPART_ARC
(25,23),-1.1983 # DEPENDENCYPART_ARC
(25,24),-0.899203 # DEPENDENCYPART_ARC
