# _root_ Gitano , which makes budget-priced apparel sold mainly through mass merchandisers like K mart and Wal-Mart , said the Regatta acquisition will enhance its strategy to expand into department stores .
#goldHeads=18,1,4,1,6,4,6,7,7,11,9,11,14,12,14,15,1,0,21,21,22,18,22,25,23,25,26,27,30,28,18,
#predictedHeads=18,1,4,1,6,4,6,9,7,11,9,11,14,12,14,15,1,0,21,21,22,18,22,25,23,25,26,27,30,28,18,
(16,28),-2.96573 # DEPENDENCYPART_ARC
(16,29),-4.3845 # DEPENDENCYPART_ARC
(16,30),-2.78209 # DEPENDENCYPART_ARC
(16,31),-1.2363 # DEPENDENCYPART_ARC
(17,1),-2.98101 # DEPENDENCYPART_ARC
(17,2),-0.967779 # DEPENDENCYPART_ARC
(17,3),-1.82273 # DEPENDENCYPART_ARC
(17,4),-2.10674 # DEPENDENCYPART_ARC
(17,5),-2.15112 # DEPENDENCYPART_ARC
(17,6),-1.93298 # DEPENDENCYPART_ARC
(17,7),-0.970316 # DEPENDENCYPART_ARC
(17,8),-2.26407 # DEPENDENCYPART_ARC
(17,9),-1.52176 # DEPENDENCYPART_ARC
(17,10),-1.46008 # DEPENDENCYPART_ARC
(17,11),-1.60776 # DEPENDENCYPART_ARC
(17,12),-1.35908 # DEPENDENCYPART_ARC
(17,13),-1.53354 # DEPENDENCYPART_ARC
(17,14),-1.22737 # DEPENDENCYPART_ARC
(17,15),-0.916796 # DEPENDENCYPART_ARC
(17,16),-0.693794 # DEPENDENCYPART_ARC
(17,18),-0.127525 # DEPENDENCYPART_ARC
(17,19),-1.41274 # DEPENDENCYPART_ARC
(17,20),-1.31002 # DEPENDENCYPART_ARC
(17,21),-2.01535 # DEPENDENCYPART_ARC
(17,22),-1.74822 # DEPENDENCYPART_ARC
(17,23),-1.78577 # DEPENDENCYPART_ARC
(17,24),-2.5371 # DEPENDENCYPART_ARC
(17,25),-2.70773 # DEPENDENCYPART_ARC
(17,26),-2.24191 # DEPENDENCYPART_ARC
(17,27),-2.21257 # DEPENDENCYPART_ARC
(17,28),-2.23559 # DEPENDENCYPART_ARC
(17,29),-3.07393 # DEPENDENCYPART_ARC
(17,30),-3.11121 # DEPENDENCYPART_ARC
(17,31),-2.2432 # DEPENDENCYPART_ARC
(18,1),1.73676 # DEPENDENCYPART_ARC
(18,2),-1.01383 # DEPENDENCYPART_ARC
(18,3),-1.64272 # DEPENDENCYPART_ARC
(18,4),-0.310247 # DEPENDENCYPART_ARC
(18,5),-0.986453 # DEPENDENCYPART_ARC
(18,6),0.492198 # DEPENDENCYPART_ARC
(18,7),0.0152403 # DEPENDENCYPART_ARC
(18,8),-0.00170218 # DEPENDENCYPART_ARC
(18,9),-0.126874 # DEPENDENCYPART_ARC
(18,10),0.707478 # DEPENDENCYPART_ARC
(18,11),0.569554 # DEPENDENCYPART_ARC
(18,12),-0.558662 # DEPENDENCYPART_ARC
(18,13),-0.0282481 # DEPENDENCYPART_ARC
(18,14),1.42178 # DEPENDENCYPART_ARC
(18,15),0.535644 # DEPENDENCYPART_ARC
(18,16),1.1779 # DEPENDENCYPART_ARC
(18,17),1.99775 # DEPENDENCYPART_ARC
(18,19),0.550806 # DEPENDENCYPART_ARC
(18,20),0.86942 # DEPENDENCYPART_ARC
(18,21),-0.479897 # DEPENDENCYPART_ARC
(18,22),2.66157 # DEPENDENCYPART_ARC
(18,23),1.00078 # DEPENDENCYPART_ARC
(18,24),-0.922168 # DEPENDENCYPART_ARC
(18,25),-1.25649 # DEPENDENCYPART_ARC
(18,26),-1.09326 # DEPENDENCYPART_ARC
(18,27),-0.0901089 # DEPENDENCYPART_ARC
(18,28),-1.16433 # DEPENDENCYPART_ARC
(18,29),-2.62844 # DEPENDENCYPART_ARC
(18,30),-2.91986 # DEPENDENCYPART_ARC
(18,31),6.95066 # DEPENDENCYPART_ARC
(19,1),-3.86069 # DEPENDENCYPART_ARC
(19,2),-3.49371 # DEPENDENCYPART_ARC
(19,3),-2.75336 # DEPENDENCYPART_ARC
(19,4),-3.49245 # DEPENDENCYPART_ARC
(19,5),-3.3753 # DEPENDENCYPART_ARC
(19,6),-3.66523 # DEPENDENCYPART_ARC
(19,7),-3.07924 # DEPENDENCYPART_ARC
(19,8),-3.19283 # DEPENDENCYPART_ARC
(19,9),-2.6143 # DEPENDENCYPART_ARC
(19,10),-3.10664 # DEPENDENCYPART_ARC
(19,11),-2.8407 # DEPENDENCYPART_ARC
(19,12),-2.22806 # DEPENDENCYPART_ARC
(19,13),-2.43118 # DEPENDENCYPART_ARC
(19,14),-2.28336 # DEPENDENCYPART_ARC
(19,15),-2.45698 # DEPENDENCYPART_ARC
(19,16),-1.7069 # DEPENDENCYPART_ARC
(19,17),-1.35728 # DEPENDENCYPART_ARC
(19,18),-0.967253 # DEPENDENCYPART_ARC
(19,20),0.0413118 # DEPENDENCYPART_ARC
(19,21),0.0788948 # DEPENDENCYPART_ARC
(19,22),0.30549 # DEPENDENCYPART_ARC
(19,23),-0.633881 # DEPENDENCYPART_ARC
(19,24),-1.42732 # DEPENDENCYPART_ARC
(19,25),-1.07183 # DEPENDENCYPART_ARC
(19,26),-0.958921 # DEPENDENCYPART_ARC
(19,27),-1.33077 # DEPENDENCYPART_ARC
(19,28),-1.74375 # DEPENDENCYPART_ARC
(19,29),-1.41336 # DEPENDENCYPART_ARC
(19,30),-1.8885 # DEPENDENCYPART_ARC
(19,31),-0.49974 # DEPENDENCYPART_ARC
(20,1),-8.65386 # DEPENDENCYPART_ARC
(20,2),-3.75174 # DEPENDENCYPART_ARC
(20,3),-4.44822 # DEPENDENCYPART_ARC
(20,4),-4.40469 # DEPENDENCYPART_ARC
(20,5),-3.92384 # DEPENDENCYPART_ARC
(20,6),-5.09395 # DEPENDENCYPART_ARC
(20,7),-3.26224 # DEPENDENCYPART_ARC
(20,8),-3.68938 # DEPENDENCYPART_ARC
(20,9),-3.47789 # DEPENDENCYPART_ARC
(20,10),-2.97349 # DEPENDENCYPART_ARC
(20,11),-3.20389 # DEPENDENCYPART_ARC
(20,12),-2.85374 # DEPENDENCYPART_ARC
(20,13),-3.43291 # DEPENDENCYPART_ARC
(20,14),-4.51658 # DEPENDENCYPART_ARC
(20,15),-2.52194 # DEPENDENCYPART_ARC
(20,16),-1.72542 # DEPENDENCYPART_ARC
(20,17),-0.42375 # DEPENDENCYPART_ARC
(20,18),-1.13262 # DEPENDENCYPART_ARC
(20,19),2.10568 # DEPENDENCYPART_ARC
(20,21),0.954707 # DEPENDENCYPART_ARC
(20,22),0.402328 # DEPENDENCYPART_ARC
(20,23),-0.717274 # DEPENDENCYPART_ARC
(20,24),-1.13763 # DEPENDENCYPART_ARC
(20,25),-1.53701 # DEPENDENCYPART_ARC
(20,26),-0.661884 # DEPENDENCYPART_ARC
(20,27),-1.43275 # DEPENDENCYPART_ARC
(20,28),-1.39946 # DEPENDENCYPART_ARC
(20,29),-2.94368 # DEPENDENCYPART_ARC
(20,30),-1.68452 # DEPENDENCYPART_ARC
(20,31),-0.30732 # DEPENDENCYPART_ARC
(21,1),-6.12464 # DEPENDENCYPART_ARC
(21,2),-2.56219 # DEPENDENCYPART_ARC
(21,3),-2.20817 # DEPENDENCYPART_ARC
(21,4),-2.11051 # DEPENDENCYPART_ARC
(21,5),-1.84313 # DEPENDENCYPART_ARC
(21,6),-4.30625 # DEPENDENCYPART_ARC
(21,7),-2.10112 # DEPENDENCYPART_ARC
(21,8),-3.61194 # DEPENDENCYPART_ARC
(21,9),-1.55676 # DEPENDENCYPART_ARC
(21,10),-2.38447 # DEPENDENCYPART_ARC
(21,11),-2.0317 # DEPENDENCYPART_ARC
(21,12),-0.893339 # DEPENDENCYPART_ARC
(21,13),-0.44182 # DEPENDENCYPART_ARC
(21,14),-2.01848 # DEPENDENCYPART_ARC
(21,15),-0.528798 # DEPENDENCYPART_ARC
(21,16),-0.721261 # DEPENDENCYPART_ARC
(21,17),0.328929 # DEPENDENCYPART_ARC
(21,18),0.0375835 # DEPENDENCYPART_ARC
(21,19),4.8686 # DEPENDENCYPART_ARC
(21,20),4.35451 # DEPENDENCYPART_ARC
(21,22),0.187898 # DEPENDENCYPART_ARC
(21,23),0.262016 # DEPENDENCYPART_ARC
(21,24),-0.920595 # DEPENDENCYPART_ARC
(21,25),-0.257013 # DEPENDENCYPART_ARC
(21,26),0.0978935 # DEPENDENCYPART_ARC
(21,27),-0.337462 # DEPENDENCYPART_ARC
(21,28),-1.06895 # DEPENDENCYPART_ARC
(21,29),-0.938728 # DEPENDENCYPART_ARC
(21,30),-0.861213 # DEPENDENCYPART_ARC
(21,31),0.284169 # DEPENDENCYPART_ARC
(22,1),-0.401894 # DEPENDENCYPART_ARC
(22,2),-1.57217 # DEPENDENCYPART_ARC
(22,3),-0.231506 # DEPENDENCYPART_ARC
(22,4),-0.0400046 # DEPENDENCYPART_ARC
(22,5),-1.06901 # DEPENDENCYPART_ARC
(22,6),0.857245 # DEPENDENCYPART_ARC
(22,7),0.611237 # DEPENDENCYPART_ARC
(22,8),-0.271652 # DEPENDENCYPART_ARC
(22,9),0.24426 # DEPENDENCYPART_ARC
(22,10),0.537525 # DEPENDENCYPART_ARC
(22,11),0.759078 # DEPENDENCYPART_ARC
(22,12),0.0258087 # DEPENDENCYPART_ARC
(22,13),0.490147 # DEPENDENCYPART_ARC
(22,14),0.635332 # DEPENDENCYPART_ARC
(22,15),0.263843 # DEPENDENCYPART_ARC
(22,16),0.297442 # DEPENDENCYPART_ARC
(22,17),1.19519 # DEPENDENCYPART_ARC
(22,18),0.281986 # DEPENDENCYPART_ARC
(22,19),0.511863 # DEPENDENCYPART_ARC
(22,20),1.51375 # DEPENDENCYPART_ARC
(22,21),3.20429 # DEPENDENCYPART_ARC
(22,23),3.94143 # DEPENDENCYPART_ARC
(22,24),0.513448 # DEPENDENCYPART_ARC
(22,25),0.455184 # DEPENDENCYPART_ARC
(22,26),0.58283 # DEPENDENCYPART_ARC
(22,27),0.296408 # DEPENDENCYPART_ARC
(22,28),-0.443742 # DEPENDENCYPART_ARC
(22,29),-0.585535 # DEPENDENCYPART_ARC
(22,30),-0.462594 # DEPENDENCYPART_ARC
(22,31),3.43562 # DEPENDENCYPART_ARC
(23,1),-1.95052 # DEPENDENCYPART_ARC
(23,2),-1.22168 # DEPENDENCYPART_ARC
(23,3),-0.264586 # DEPENDENCYPART_ARC
(23,4),-2.15481 # DEPENDENCYPART_ARC
(23,5),-0.820095 # DEPENDENCYPART_ARC
(23,6),-1.19605 # DEPENDENCYPART_ARC
(23,7),-1.58105 # DEPENDENCYPART_ARC
(23,8),-1.08734 # DEPENDENCYPART_ARC
(23,9),-1.16135 # DEPENDENCYPART_ARC
(23,10),-0.759092 # DEPENDENCYPART_ARC
(23,11),-0.818666 # DEPENDENCYPART_ARC
(23,12),-0.704357 # DEPENDENCYPART_ARC
(23,13),-0.259152 # DEPENDENCYPART_ARC
(23,14),-0.422562 # DEPENDENCYPART_ARC
(23,15),-1.09595 # DEPENDENCYPART_ARC
(23,16),-0.365399 # DEPENDENCYPART_ARC
(23,17),-0.0331584 # DEPENDENCYPART_ARC
(23,18),-0.449469 # DEPENDENCYPART_ARC
(23,19),0.716556 # DEPENDENCYPART_ARC
(23,20),0.535777 # DEPENDENCYPART_ARC
(23,21),0.392252 # DEPENDENCYPART_ARC
(23,22),0.955479 # DEPENDENCYPART_ARC
(23,24),0.973694 # DEPENDENCYPART_ARC
(23,25),2.87916 # DEPENDENCYPART_ARC
(23,26),2.32151 # DEPENDENCYPART_ARC
(23,27),1.18613 # DEPENDENCYPART_ARC
(23,28),1.56521 # DEPENDENCYPART_ARC
(23,29),-0.20841 # DEPENDENCYPART_ARC
(23,30),0.561967 # DEPENDENCYPART_ARC
(23,31),0.409981 # DEPENDENCYPART_ARC
(24,1),-3.83894 # DEPENDENCYPART_ARC
(24,2),-3.1823 # DEPENDENCYPART_ARC
(24,3),-3.13709 # DEPENDENCYPART_ARC
(24,4),-3.42912 # DEPENDENCYPART_ARC
(24,5),-3.13795 # DEPENDENCYPART_ARC
(24,6),-3.28158 # DEPENDENCYPART_ARC
(24,7),-2.97811 # DEPENDENCYPART_ARC
(24,8),-3.25109 # DEPENDENCYPART_ARC
(24,9),-2.63975 # DEPENDENCYPART_ARC
(24,10),-2.93354 # DEPENDENCYPART_ARC
(24,11),-2.58253 # DEPENDENCYPART_ARC
(24,12),-2.31026 # DEPENDENCYPART_ARC
(24,13),-2.37486 # DEPENDENCYPART_ARC
(24,14),-2.1182 # DEPENDENCYPART_ARC
(24,15),-2.50312 # DEPENDENCYPART_ARC
(24,16),-1.94217 # DEPENDENCYPART_ARC
(24,17),-1.72714 # DEPENDENCYPART_ARC
(24,18),-1.80055 # DEPENDENCYPART_ARC
(24,19),-1.11128 # DEPENDENCYPART_ARC
(24,20),-1.27508 # DEPENDENCYPART_ARC
(24,21),-1.0369 # DEPENDENCYPART_ARC
(24,22),-1.01233 # DEPENDENCYPART_ARC
(24,23),-0.286449 # DEPENDENCYPART_ARC
(24,25),0.333793 # DEPENDENCYPART_ARC
(24,26),-0.0216337 # DEPENDENCYPART_ARC
(24,27),-0.580026 # DEPENDENCYPART_ARC
(24,28),-0.778371 # DEPENDENCYPART_ARC
(24,29),-1.15632 # DEPENDENCYPART_ARC
(24,30),-1.05733 # DEPENDENCYPART_ARC
(24,31),-1.07695 # DEPENDENCYPART_ARC
(25,1),-8.65357 # DEPENDENCYPART_ARC
(25,2),-3.72644 # DEPENDENCYPART_ARC
(25,3),-3.01603 # DEPENDENCYPART_ARC
(25,4),-3.0612 # DEPENDENCYPART_ARC
(25,5),-2.84434 # DEPENDENCYPART_ARC
(25,6),-5.61096 # DEPENDENCYPART_ARC
(25,7),-3.19502 # DEPENDENCYPART_ARC
(25,8),-4.75612 # DEPENDENCYPART_ARC
(25,9),-2.20913 # DEPENDENCYPART_ARC
(25,10),-3.56556 # DEPENDENCYPART_ARC
(25,11),-3.60218 # DEPENDENCYPART_ARC
(25,12),-1.80382 # DEPENDENCYPART_ARC
(25,13),-3.31951 # DEPENDENCYPART_ARC
(25,14),-4.49423 # DEPENDENCYPART_ARC
(25,15),-1.40911 # DEPENDENCYPART_ARC
(25,16),-3.54412 # DEPENDENCYPART_ARC
(25,17),-1.25708 # DEPENDENCYPART_ARC
(25,18),-1.43317 # DEPENDENCYPART_ARC
(25,19),0.696288 # DEPENDENCYPART_ARC
(25,20),0.551641 # DEPENDENCYPART_ARC
(25,21),0.205008 # DEPENDENCYPART_ARC
(25,22),-0.181232 # DEPENDENCYPART_ARC
(25,23),0.755484 # DEPENDENCYPART_ARC
(25,24),4.61228 # DEPENDENCYPART_ARC
(25,26),2.72242 # DEPENDENCYPART_ARC
(25,27),1.0188 # DEPENDENCYPART_ARC
(25,28),0.430055 # DEPENDENCYPART_ARC
(25,29),0.443254 # DEPENDENCYPART_ARC
(25,30),0.171612 # DEPENDENCYPART_ARC
(25,31),0.689786 # DEPENDENCYPART_ARC
(26,1),-1.77444 # DEPENDENCYPART_ARC
(26,2),-2.4947 # DEPENDENCYPART_ARC
(26,3),-2.27447 # DEPENDENCYPART_ARC
(26,4),-2.21268 # DEPENDENCYPART_ARC
(26,5),-2.73779 # DEPENDENCYPART_ARC
(26,6),-2.42372 # DEPENDENCYPART_ARC
(26,7),-2.38385 # DEPENDENCYPART_ARC
(26,8),-2.9406 # DEPENDENCYPART_ARC
(26,9),-1.47519 # DEPENDENCYPART_ARC
(26,10),-1.58625 # DEPENDENCYPART_ARC
(26,11),-0.822396 # DEPENDENCYPART_ARC
(26,12),-1.09016 # DEPENDENCYPART_ARC
(26,13),-0.429957 # DEPENDENCYPART_ARC
(26,14),-0.612153 # DEPENDENCYPART_ARC
(26,15),-1.60142 # DEPENDENCYPART_ARC
(26,16),-0.509842 # DEPENDENCYPART_ARC
(26,17),-0.970971 # DEPENDENCYPART_ARC
(26,18),-0.604679 # DEPENDENCYPART_ARC
(26,19),-0.185209 # DEPENDENCYPART_ARC
(26,20),0.0981614 # DEPENDENCYPART_ARC
(26,21),-0.354741 # DEPENDENCYPART_ARC
(26,22),-0.522039 # DEPENDENCYPART_ARC
(26,23),0.262335 # DEPENDENCYPART_ARC
(26,24),1.10006 # DEPENDENCYPART_ARC
(26,25),1.179 # DEPENDENCYPART_ARC
(26,27),4.13657 # DEPENDENCYPART_ARC
(26,28),1.08065 # DEPENDENCYPART_ARC
(26,29),0.563351 # DEPENDENCYPART_ARC
(26,30),0.601362 # DEPENDENCYPART_ARC
(26,31),0.2743 # DEPENDENCYPART_ARC
(27,1),-2.82293 # DEPENDENCYPART_ARC
(27,2),-2.04319 # DEPENDENCYPART_ARC
(27,3),-0.318295 # DEPENDENCYPART_ARC
(27,4),-3.01144 # DEPENDENCYPART_ARC
(27,5),-1.53402 # DEPENDENCYPART_ARC
(27,6),-2.18098 # DEPENDENCYPART_ARC
(27,7),-2.31728 # DEPENDENCYPART_ARC
(27,8),-1.39077 # DEPENDENCYPART_ARC
(27,9),-1.81531 # DEPENDENCYPART_ARC
(27,10),-1.45985 # DEPENDENCYPART_ARC
(27,11),-1.3676 # DEPENDENCYPART_ARC
(27,12),-1.28936 # DEPENDENCYPART_ARC
(27,13),-1.23776 # DEPENDENCYPART_ARC
(27,14),-1.27801 # DEPENDENCYPART_ARC
(27,15),-1.68229 # DEPENDENCYPART_ARC
(27,16),-1.31084 # DEPENDENCYPART_ARC
(27,17),-1.03277 # DEPENDENCYPART_ARC
(27,18),-0.928888 # DEPENDENCYPART_ARC
(27,19),-0.10574 # DEPENDENCYPART_ARC
(27,20),-0.63185 # DEPENDENCYPART_ARC
(27,21),-0.530511 # DEPENDENCYPART_ARC
(27,22),-0.613947 # DEPENDENCYPART_ARC
(27,23),0.100786 # DEPENDENCYPART_ARC
(27,24),0.907548 # DEPENDENCYPART_ARC
(27,25),0.486371 # DEPENDENCYPART_ARC
(27,26),1.17947 # DEPENDENCYPART_ARC
(27,28),3.68955 # DEPENDENCYPART_ARC
(27,29),1.43985 # DEPENDENCYPART_ARC
(27,30),1.7632 # DEPENDENCYPART_ARC
(27,31),0.241077 # DEPENDENCYPART_ARC
(28,1),-3.43517 # DEPENDENCYPART_ARC
(28,2),-2.83451 # DEPENDENCYPART_ARC
(28,3),-0.0963722 # DEPENDENCYPART_ARC
(28,4),-2.86209 # DEPENDENCYPART_ARC
(28,5),-2.75139 # DEPENDENCYPART_ARC
(28,6),-3.30727 # DEPENDENCYPART_ARC
(28,7),-2.19318 # DEPENDENCYPART_ARC
(28,8),-2.0418 # DEPENDENCYPART_ARC
(28,9),-2.48042 # DEPENDENCYPART_ARC
(28,10),-2.61581 # DEPENDENCYPART_ARC
(28,11),-2.47128 # DEPENDENCYPART_ARC
(28,12),-1.87806 # DEPENDENCYPART_ARC
(28,13),-1.86264 # DEPENDENCYPART_ARC
(28,14),-1.98378 # DEPENDENCYPART_ARC
(28,15),-1.90303 # DEPENDENCYPART_ARC
(28,16),-1.82887 # DEPENDENCYPART_ARC
(28,17),-1.26695 # DEPENDENCYPART_ARC
(28,18),-1.31639 # DEPENDENCYPART_ARC
(28,19),-0.712152 # DEPENDENCYPART_ARC
(28,20),-1.01185 # DEPENDENCYPART_ARC
(28,21),-1.05036 # DEPENDENCYPART_ARC
(28,22),-1.27941 # DEPENDENCYPART_ARC
(28,23),-0.621949 # DEPENDENCYPART_ARC
(28,24),0.235711 # DEPENDENCYPART_ARC
(28,25),-0.182644 # DEPENDENCYPART_ARC
(28,26),-0.0425014 # DEPENDENCYPART_ARC
(28,27),0.892356 # DEPENDENCYPART_ARC
(28,29),3.08623 # DEPENDENCYPART_ARC
(28,30),3.87344 # DEPENDENCYPART_ARC
(28,31),0.449753 # DEPENDENCYPART_ARC
(29,1),-12.6933 # DEPENDENCYPART_ARC
(29,2),-6.45011 # DEPENDENCYPART_ARC
(29,3),-5.2726 # DEPENDENCYPART_ARC
(29,4),-5.1649 # DEPENDENCYPART_ARC
(29,5),-7.05752 # DEPENDENCYPART_ARC
(29,6),-9.89118 # DEPENDENCYPART_ARC
(29,7),-5.89434 # DEPENDENCYPART_ARC
(29,8),-7.43828 # DEPENDENCYPART_ARC
(29,9),-4.32374 # DEPENDENCYPART_ARC
(29,10),-7.39665 # DEPENDENCYPART_ARC
(29,11),-5.96865 # DEPENDENCYPART_ARC
(29,12),-3.74741 # DEPENDENCYPART_ARC
(29,13),-7.60509 # DEPENDENCYPART_ARC
(29,14),-8.43725 # DEPENDENCYPART_ARC
(29,15),-3.64222 # DEPENDENCYPART_ARC
(29,16),-7.77409 # DEPENDENCYPART_ARC
(29,17),-4.32121 # DEPENDENCYPART_ARC
(29,18),-3.66767 # DEPENDENCYPART_ARC
(29,19),-2.9856 # DEPENDENCYPART_ARC
(29,20),-3.70312 # DEPENDENCYPART_ARC
(29,21),-4.37131 # DEPENDENCYPART_ARC
(29,22),-3.17095 # DEPENDENCYPART_ARC
(29,23),-2.66795 # DEPENDENCYPART_ARC
(29,24),-0.869254 # DEPENDENCYPART_ARC
(29,25),-2.35087 # DEPENDENCYPART_ARC
(29,26),-1.64009 # DEPENDENCYPART_ARC
(29,27),-0.954161 # DEPENDENCYPART_ARC
(29,28),0.777235 # DEPENDENCYPART_ARC
(29,30),1.90314 # DEPENDENCYPART_ARC
(29,31),-0.940389 # DEPENDENCYPART_ARC
(30,1),-8.30402 # DEPENDENCYPART_ARC
(30,2),-3.02787 # DEPENDENCYPART_ARC
(30,3),-3.9323 # DEPENDENCYPART_ARC
(30,4),-2.87806 # DEPENDENCYPART_ARC
(30,5),-5.26371 # DEPENDENCYPART_ARC
(30,6),-4.32136 # DEPENDENCYPART_ARC
(30,7),-3.41697 # DEPENDENCYPART_ARC
(30,8),-4.72685 # DEPENDENCYPART_ARC
(30,9),-2.27943 # DEPENDENCYPART_ARC
(30,10),-2.09902 # DEPENDENCYPART_ARC
(30,11),-4.11696 # DEPENDENCYPART_ARC
(30,12),-0.91748 # DEPENDENCYPART_ARC
(30,13),-3.22265 # DEPENDENCYPART_ARC
(30,14),-5.09769 # DEPENDENCYPART_ARC
(30,15),-1.63352 # DEPENDENCYPART_ARC
(30,16),-3.89938 # DEPENDENCYPART_ARC
(30,17),-1.5039 # DEPENDENCYPART_ARC
(30,18),-1.7499 # DEPENDENCYPART_ARC
(30,19),-2.15628 # DEPENDENCYPART_ARC
(30,20),-0.619585 # DEPENDENCYPART_ARC
(30,21),-1.28685 # DEPENDENCYPART_ARC
(30,22),-1.12481 # DEPENDENCYPART_ARC
(30,23),-0.614511 # DEPENDENCYPART_ARC
(30,24),1.35932 # DEPENDENCYPART_ARC
(30,25),-0.266799 # DEPENDENCYPART_ARC
(30,26),-0.402085 # DEPENDENCYPART_ARC
(30,27),0.606796 # DEPENDENCYPART_ARC
(30,28),0.819083 # DEPENDENCYPART_ARC
(30,29),5.1234 # DEPENDENCYPART_ARC
(30,31),0.481712 # DEPENDENCYPART_ARC
(31,1),-3.465 # DEPENDENCYPART_ARC
(31,2),-2.84623 # DEPENDENCYPART_ARC
(31,3),-2.91627 # DEPENDENCYPART_ARC
(31,4),-3.39962 # DEPENDENCYPART_ARC
(31,5),-3.64894 # DEPENDENCYPART_ARC
(31,6),-2.52779 # DEPENDENCYPART_ARC
(31,7),-3.28482 # DEPENDENCYPART_ARC
(31,8),-3.17344 # DEPENDENCYPART_ARC
(31,9),-3.1452 # DEPENDENCYPART_ARC
(31,10),-2.60066 # DEPENDENCYPART_ARC
(31,11),-2.91549 # DEPENDENCYPART_ARC
(31,12),-2.71563 # DEPENDENCYPART_ARC
(31,13),-2.34924 # DEPENDENCYPART_ARC
(31,14),-2.44855 # DEPENDENCYPART_ARC
(31,15),-2.17495 # DEPENDENCYPART_ARC
(31,16),-2.28686 # DEPENDENCYPART_ARC
(31,17),-1.0318 # DEPENDENCYPART_ARC
(31,18),-1.08522 # DEPENDENCYPART_ARC
(31,19),-1.69163 # DEPENDENCYPART_ARC
(31,20),-1.76429 # DEPENDENCYPART_ARC
(31,21),-1.51805 # DEPENDENCYPART_ARC
(31,22),-1.35559 # DEPENDENCYPART_ARC
(31,23),-1.58322 # DEPENDENCYPART_ARC
(31,24),-0.845561 # DEPENDENCYPART_ARC
(31,25),-1.12499 # DEPENDENCYPART_ARC
(31,26),-1.64414 # DEPENDENCYPART_ARC
(31,27),-1.36913 # DEPENDENCYPART_ARC
(31,28),-1.06688 # DEPENDENCYPART_ARC
(31,29),-1.70841 # DEPENDENCYPART_ARC
(31,30),-1.51241 # DEPENDENCYPART_ARC
