# _root_ It 's that last set of numbers , as much as anything else , that gives the Giants hope in the Series games to come .
#goldHeads=5,5,5,5,0,5,6,9,5,9,9,11,12,9,16,5,18,16,16,19,23,23,20,23,24,5,
#predictedHeads=2,3,5,5,0,5,6,5,10,7,10,11,12,16,16,10,19,19,16,16,23,23,20,23,24,16,
(20,10),-1.65578 # DEPENDENCYPART_ARC
(20,11),-1.06792 # DEPENDENCYPART_ARC
(20,12),-1.69565 # DEPENDENCYPART_ARC
(20,13),-1.59625 # DEPENDENCYPART_ARC
(20,14),-1.07316 # DEPENDENCYPART_ARC
(20,15),0.186118 # DEPENDENCYPART_ARC
(20,16),-0.641643 # DEPENDENCYPART_ARC
(20,17),0.285166 # DEPENDENCYPART_ARC
(20,18),-0.428131 # DEPENDENCYPART_ARC
(20,19),0.0632258 # DEPENDENCYPART_ARC
(20,21),0.55249 # DEPENDENCYPART_ARC
(20,22),2.60603 # DEPENDENCYPART_ARC
(20,23),3.06708 # DEPENDENCYPART_ARC
(20,24),-0.36275 # DEPENDENCYPART_ARC
(20,25),0.512163 # DEPENDENCYPART_ARC
(20,26),-0.19598 # DEPENDENCYPART_ARC
(21,1),-4.4874 # DEPENDENCYPART_ARC
(21,2),-4.57639 # DEPENDENCYPART_ARC
(21,3),-4.33266 # DEPENDENCYPART_ARC
(21,4),-4.3833 # DEPENDENCYPART_ARC
(21,5),-4.78362 # DEPENDENCYPART_ARC
(21,6),-4.02458 # DEPENDENCYPART_ARC
(21,7),-4.2948 # DEPENDENCYPART_ARC
(21,8),-3.79324 # DEPENDENCYPART_ARC
(21,9),-4.12851 # DEPENDENCYPART_ARC
(21,10),-3.76877 # DEPENDENCYPART_ARC
(21,11),-3.44061 # DEPENDENCYPART_ARC
(21,12),-3.84442 # DEPENDENCYPART_ARC
(21,13),-3.58519 # DEPENDENCYPART_ARC
(21,14),-3.19732 # DEPENDENCYPART_ARC
(21,15),-2.43986 # DEPENDENCYPART_ARC
(21,16),-3.1265 # DEPENDENCYPART_ARC
(21,17),-1.95828 # DEPENDENCYPART_ARC
(21,18),-2.42681 # DEPENDENCYPART_ARC
(21,19),-2.64182 # DEPENDENCYPART_ARC
(21,20),-1.499 # DEPENDENCYPART_ARC
(21,22),-0.725786 # DEPENDENCYPART_ARC
(21,23),-0.830794 # DEPENDENCYPART_ARC
(21,24),-1.18072 # DEPENDENCYPART_ARC
(21,25),-1.43568 # DEPENDENCYPART_ARC
(21,26),-1.51405 # DEPENDENCYPART_ARC
(22,1),-4.07427 # DEPENDENCYPART_ARC
(22,2),-4.05913 # DEPENDENCYPART_ARC
(22,3),-6.34863 # DEPENDENCYPART_ARC
(22,4),-5.52129 # DEPENDENCYPART_ARC
(22,5),-6.15059 # DEPENDENCYPART_ARC
(22,6),-2.59689 # DEPENDENCYPART_ARC
(22,7),-4.37872 # DEPENDENCYPART_ARC
(22,8),-3.07745 # DEPENDENCYPART_ARC
(22,9),-3.29235 # DEPENDENCYPART_ARC
(22,10),-4.46845 # DEPENDENCYPART_ARC
(22,11),-2.88139 # DEPENDENCYPART_ARC
(22,12),-3.06724 # DEPENDENCYPART_ARC
(22,13),-2.907 # DEPENDENCYPART_ARC
(22,14),-2.71908 # DEPENDENCYPART_ARC
(22,15),-2.96412 # DEPENDENCYPART_ARC
(22,16),-2.22534 # DEPENDENCYPART_ARC
(22,17),0.071546 # DEPENDENCYPART_ARC
(22,18),-0.368778 # DEPENDENCYPART_ARC
(22,19),-1.0659 # DEPENDENCYPART_ARC
(22,20),-0.262597 # DEPENDENCYPART_ARC
(22,21),2.9755 # DEPENDENCYPART_ARC
(22,23),0.172809 # DEPENDENCYPART_ARC
(22,24),0.0417882 # DEPENDENCYPART_ARC
(22,25),-0.889454 # DEPENDENCYPART_ARC
(22,26),-0.63463 # DEPENDENCYPART_ARC
(23,1),-2.57451 # DEPENDENCYPART_ARC
(23,2),-1.9739 # DEPENDENCYPART_ARC
(23,3),-6.57797 # DEPENDENCYPART_ARC
(23,4),-4.37082 # DEPENDENCYPART_ARC
(23,5),-4.38331 # DEPENDENCYPART_ARC
(23,6),-0.665854 # DEPENDENCYPART_ARC
(23,7),-2.6799 # DEPENDENCYPART_ARC
(23,8),-0.43983 # DEPENDENCYPART_ARC
(23,9),-2.11715 # DEPENDENCYPART_ARC
(23,10),-2.65359 # DEPENDENCYPART_ARC
(23,11),-0.343469 # DEPENDENCYPART_ARC
(23,12),-1.67347 # DEPENDENCYPART_ARC
(23,13),-1.54681 # DEPENDENCYPART_ARC
(23,14),-0.069651 # DEPENDENCYPART_ARC
(23,15),-0.992895 # DEPENDENCYPART_ARC
(23,16),-0.267247 # DEPENDENCYPART_ARC
(23,17),0.370397 # DEPENDENCYPART_ARC
(23,18),1.47703 # DEPENDENCYPART_ARC
(23,19),0.0170244 # DEPENDENCYPART_ARC
(23,20),0.637334 # DEPENDENCYPART_ARC
(23,21),4.20166 # DEPENDENCYPART_ARC
(23,22),4.59819 # DEPENDENCYPART_ARC
(23,24),1.55309 # DEPENDENCYPART_ARC
(23,25),0.591967 # DEPENDENCYPART_ARC
(23,26),1.22793 # DEPENDENCYPART_ARC
(24,1),-1.67233 # DEPENDENCYPART_ARC
(24,2),-1.1295 # DEPENDENCYPART_ARC
(24,3),-0.880432 # DEPENDENCYPART_ARC
(24,4),-1.56682 # DEPENDENCYPART_ARC
(24,5),-1.2496 # DEPENDENCYPART_ARC
(24,6),-1.3434 # DEPENDENCYPART_ARC
(24,7),0.115385 # DEPENDENCYPART_ARC
(24,8),-0.411709 # DEPENDENCYPART_ARC
(24,9),-1.7225 # DEPENDENCYPART_ARC
(24,10),-1.30593 # DEPENDENCYPART_ARC
(24,11),-0.424109 # DEPENDENCYPART_ARC
(24,12),-0.416141 # DEPENDENCYPART_ARC
(24,13),-1.33169 # DEPENDENCYPART_ARC
(24,14),-0.347252 # DEPENDENCYPART_ARC
(24,15),0.564187 # DEPENDENCYPART_ARC
(24,16),0.0646109 # DEPENDENCYPART_ARC
(24,17),0.792714 # DEPENDENCYPART_ARC
(24,18),0.687685 # DEPENDENCYPART_ARC
(24,19),0.813564 # DEPENDENCYPART_ARC
(24,20),1.16124 # DEPENDENCYPART_ARC
(24,21),1.57881 # DEPENDENCYPART_ARC
(24,22),1.1246 # DEPENDENCYPART_ARC
(24,23),1.62524 # DEPENDENCYPART_ARC
(24,25),3.98623 # DEPENDENCYPART_ARC
(24,26),0.833648 # DEPENDENCYPART_ARC
(25,1),-2.7655 # DEPENDENCYPART_ARC
(25,2),-2.65602 # DEPENDENCYPART_ARC
(25,3),-1.69689 # DEPENDENCYPART_ARC
(25,4),-1.83447 # DEPENDENCYPART_ARC
(25,5),-1.24985 # DEPENDENCYPART_ARC
(25,6),-0.785229 # DEPENDENCYPART_ARC
(25,7),-1.09621 # DEPENDENCYPART_ARC
(25,8),-0.127456 # DEPENDENCYPART_ARC
(25,9),-1.38243 # DEPENDENCYPART_ARC
(25,10),0.616349 # DEPENDENCYPART_ARC
(25,11),-0.529296 # DEPENDENCYPART_ARC
(25,12),-0.722405 # DEPENDENCYPART_ARC
(25,13),-0.892605 # DEPENDENCYPART_ARC
(25,14),-0.142043 # DEPENDENCYPART_ARC
(25,15),1.4596 # DEPENDENCYPART_ARC
(25,16),-0.987821 # DEPENDENCYPART_ARC
(25,17),0.0411623 # DEPENDENCYPART_ARC
(25,18),-0.334421 # DEPENDENCYPART_ARC
(25,19),0.0312047 # DEPENDENCYPART_ARC
(25,20),1.19522 # DEPENDENCYPART_ARC
(25,21),0.605128 # DEPENDENCYPART_ARC
(25,22),0.486332 # DEPENDENCYPART_ARC
(25,23),0.909379 # DEPENDENCYPART_ARC
(25,24),1.2356 # DEPENDENCYPART_ARC
(25,26),-0.127787 # DEPENDENCYPART_ARC
(26,1),-1.30167 # DEPENDENCYPART_ARC
(26,2),-3.63368 # DEPENDENCYPART_ARC
(26,3),-3.18348 # DEPENDENCYPART_ARC
(26,4),-3.38733 # DEPENDENCYPART_ARC
(26,5),-2.59279 # DEPENDENCYPART_ARC
(26,6),-3.14642 # DEPENDENCYPART_ARC
(26,7),-2.65417 # DEPENDENCYPART_ARC
(26,8),-1.65944 # DEPENDENCYPART_ARC
(26,9),-1.98602 # DEPENDENCYPART_ARC
(26,10),-2.72197 # DEPENDENCYPART_ARC
(26,11),-2.19717 # DEPENDENCYPART_ARC
(26,12),-1.88055 # DEPENDENCYPART_ARC
(26,13),-1.92558 # DEPENDENCYPART_ARC
(26,14),-1.02397 # DEPENDENCYPART_ARC
(26,15),-1.45702 # DEPENDENCYPART_ARC
(26,16),-1.53702 # DEPENDENCYPART_ARC
(26,17),-1.43804 # DEPENDENCYPART_ARC
(26,18),-1.69574 # DEPENDENCYPART_ARC
(26,19),-1.5209 # DEPENDENCYPART_ARC
(26,20),-1.4402 # DEPENDENCYPART_ARC
(26,21),-1.26089 # DEPENDENCYPART_ARC
(26,22),-1.62712 # DEPENDENCYPART_ARC
(26,23),-1.39431 # DEPENDENCYPART_ARC
(26,24),-1.46963 # DEPENDENCYPART_ARC
(26,25),-0.856639 # DEPENDENCYPART_ARC
