# _root_ Dataproducts , which had been seeking a buyer for several months , announced a restructuring plan in September and took itself off the auction block .
#goldHeads=13,1,4,1,4,5,8,6,6,11,9,1,0,16,16,13,13,17,13,19,20,20,25,25,22,13,
#predictedHeads=13,1,4,1,4,5,8,6,8,11,9,1,0,16,16,13,16,17,13,19,20,20,25,25,22,13,
(20,10),-0.769729 # DEPENDENCYPART_ARC
(20,11),-1.72047 # DEPENDENCYPART_ARC
(20,12),-1.50509 # DEPENDENCYPART_ARC
(20,13),-0.56661 # DEPENDENCYPART_ARC
(20,14),-0.508463 # DEPENDENCYPART_ARC
(20,15),0.00669644 # DEPENDENCYPART_ARC
(20,16),-0.103698 # DEPENDENCYPART_ARC
(20,17),-0.654993 # DEPENDENCYPART_ARC
(20,18),0.0741156 # DEPENDENCYPART_ARC
(20,19),0.545174 # DEPENDENCYPART_ARC
(20,21),3.27613 # DEPENDENCYPART_ARC
(20,22),3.60519 # DEPENDENCYPART_ARC
(20,23),0.119011 # DEPENDENCYPART_ARC
(20,24),1.26444 # DEPENDENCYPART_ARC
(20,25),1.43002 # DEPENDENCYPART_ARC
(20,26),2.27014 # DEPENDENCYPART_ARC
(21,1),-3.25707 # DEPENDENCYPART_ARC
(21,2),-2.14826 # DEPENDENCYPART_ARC
(21,3),-1.70531 # DEPENDENCYPART_ARC
(21,4),-2.43418 # DEPENDENCYPART_ARC
(21,5),-2.50376 # DEPENDENCYPART_ARC
(21,6),-2.47081 # DEPENDENCYPART_ARC
(21,7),-1.76354 # DEPENDENCYPART_ARC
(21,8),-2.78899 # DEPENDENCYPART_ARC
(21,9),-1.90474 # DEPENDENCYPART_ARC
(21,10),-2.04155 # DEPENDENCYPART_ARC
(21,11),-2.19114 # DEPENDENCYPART_ARC
(21,12),-1.14668 # DEPENDENCYPART_ARC
(21,13),-1.53747 # DEPENDENCYPART_ARC
(21,14),-0.717707 # DEPENDENCYPART_ARC
(21,15),-1.85126 # DEPENDENCYPART_ARC
(21,16),-1.57727 # DEPENDENCYPART_ARC
(21,17),-0.829065 # DEPENDENCYPART_ARC
(21,18),-0.795971 # DEPENDENCYPART_ARC
(21,19),-0.350927 # DEPENDENCYPART_ARC
(21,20),0.0680266 # DEPENDENCYPART_ARC
(21,22),0.129535 # DEPENDENCYPART_ARC
(21,23),-0.26373 # DEPENDENCYPART_ARC
(21,24),-0.328081 # DEPENDENCYPART_ARC
(21,25),-0.592227 # DEPENDENCYPART_ARC
(21,26),-0.856205 # DEPENDENCYPART_ARC
(22,1),-3.15842 # DEPENDENCYPART_ARC
(22,2),-2.50949 # DEPENDENCYPART_ARC
(22,3),-1.09164 # DEPENDENCYPART_ARC
(22,4),-2.2004 # DEPENDENCYPART_ARC
(22,5),-1.86433 # DEPENDENCYPART_ARC
(22,6),-2.51181 # DEPENDENCYPART_ARC
(22,7),-2.00447 # DEPENDENCYPART_ARC
(22,8),-1.62507 # DEPENDENCYPART_ARC
(22,9),-1.75706 # DEPENDENCYPART_ARC
(22,10),-1.54018 # DEPENDENCYPART_ARC
(22,11),-1.56259 # DEPENDENCYPART_ARC
(22,12),-1.19939 # DEPENDENCYPART_ARC
(22,13),-1.34058 # DEPENDENCYPART_ARC
(22,14),-0.806786 # DEPENDENCYPART_ARC
(22,15),-0.424762 # DEPENDENCYPART_ARC
(22,16),-0.784043 # DEPENDENCYPART_ARC
(22,17),-0.51118 # DEPENDENCYPART_ARC
(22,18),-0.366769 # DEPENDENCYPART_ARC
(22,19),-0.235252 # DEPENDENCYPART_ARC
(22,20),-0.333374 # DEPENDENCYPART_ARC
(22,21),0.399957 # DEPENDENCYPART_ARC
(22,23),0.662076 # DEPENDENCYPART_ARC
(22,24),2.68486 # DEPENDENCYPART_ARC
(22,25),3.35955 # DEPENDENCYPART_ARC
(22,26),0.0392609 # DEPENDENCYPART_ARC
(23,1),-4.77475 # DEPENDENCYPART_ARC
(23,2),-4.26701 # DEPENDENCYPART_ARC
(23,3),-3.58682 # DEPENDENCYPART_ARC
(23,4),-4.15805 # DEPENDENCYPART_ARC
(23,5),-4.03153 # DEPENDENCYPART_ARC
(23,6),-3.97229 # DEPENDENCYPART_ARC
(23,7),-3.68784 # DEPENDENCYPART_ARC
(23,8),-4.34456 # DEPENDENCYPART_ARC
(23,9),-3.49729 # DEPENDENCYPART_ARC
(23,10),-3.59827 # DEPENDENCYPART_ARC
(23,11),-3.71458 # DEPENDENCYPART_ARC
(23,12),-3.25914 # DEPENDENCYPART_ARC
(23,13),-3.19522 # DEPENDENCYPART_ARC
(23,14),-2.6695 # DEPENDENCYPART_ARC
(23,15),-3.43728 # DEPENDENCYPART_ARC
(23,16),-3.33541 # DEPENDENCYPART_ARC
(23,17),-2.46304 # DEPENDENCYPART_ARC
(23,18),-2.66533 # DEPENDENCYPART_ARC
(23,19),-2.83194 # DEPENDENCYPART_ARC
(23,20),-2.16676 # DEPENDENCYPART_ARC
(23,21),-1.1493 # DEPENDENCYPART_ARC
(23,22),-0.718779 # DEPENDENCYPART_ARC
(23,24),0.208114 # DEPENDENCYPART_ARC
(23,25),-0.735517 # DEPENDENCYPART_ARC
(23,26),-1.83622 # DEPENDENCYPART_ARC
(24,1),-13.475 # DEPENDENCYPART_ARC
(24,2),-5.60087 # DEPENDENCYPART_ARC
(24,3),-4.73176 # DEPENDENCYPART_ARC
(24,4),-4.37231 # DEPENDENCYPART_ARC
(24,5),-5.52857 # DEPENDENCYPART_ARC
(24,6),-4.00748 # DEPENDENCYPART_ARC
(24,7),-5.72468 # DEPENDENCYPART_ARC
(24,8),-7.90123 # DEPENDENCYPART_ARC
(24,9),-2.91009 # DEPENDENCYPART_ARC
(24,10),-5.23097 # DEPENDENCYPART_ARC
(24,11),-4.99113 # DEPENDENCYPART_ARC
(24,12),-4.30796 # DEPENDENCYPART_ARC
(24,13),-3.28747 # DEPENDENCYPART_ARC
(24,14),-2.68725 # DEPENDENCYPART_ARC
(24,15),-4.5208 # DEPENDENCYPART_ARC
(24,16),-5.57855 # DEPENDENCYPART_ARC
(24,17),-1.82627 # DEPENDENCYPART_ARC
(24,18),-3.7757 # DEPENDENCYPART_ARC
(24,19),-1.74253 # DEPENDENCYPART_ARC
(24,20),-1.73595 # DEPENDENCYPART_ARC
(24,21),-1.15498 # DEPENDENCYPART_ARC
(24,22),-0.245959 # DEPENDENCYPART_ARC
(24,23),3.00653 # DEPENDENCYPART_ARC
(24,25),0.858044 # DEPENDENCYPART_ARC
(24,26),-0.912958 # DEPENDENCYPART_ARC
(25,1),-11.2867 # DEPENDENCYPART_ARC
(25,2),-3.82416 # DEPENDENCYPART_ARC
(25,3),-2.43063 # DEPENDENCYPART_ARC
(25,4),-2.51107 # DEPENDENCYPART_ARC
(25,5),-3.10257 # DEPENDENCYPART_ARC
(25,6),-1.96072 # DEPENDENCYPART_ARC
(25,7),-3.76972 # DEPENDENCYPART_ARC
(25,8),-5.22937 # DEPENDENCYPART_ARC
(25,9),-1.20521 # DEPENDENCYPART_ARC
(25,10),-2.71834 # DEPENDENCYPART_ARC
(25,11),-2.378 # DEPENDENCYPART_ARC
(25,12),-2.28662 # DEPENDENCYPART_ARC
(25,13),-1.31111 # DEPENDENCYPART_ARC
(25,14),-1.27973 # DEPENDENCYPART_ARC
(25,15),-1.54177 # DEPENDENCYPART_ARC
(25,16),-3.28028 # DEPENDENCYPART_ARC
(25,17),-0.192885 # DEPENDENCYPART_ARC
(25,18),-1.49706 # DEPENDENCYPART_ARC
(25,19),-0.217013 # DEPENDENCYPART_ARC
(25,20),0.0507225 # DEPENDENCYPART_ARC
(25,21),0.762375 # DEPENDENCYPART_ARC
(25,22),1.12046 # DEPENDENCYPART_ARC
(25,23),4.63456 # DEPENDENCYPART_ARC
(25,24),4.39976 # DEPENDENCYPART_ARC
(25,26),0.459346 # DEPENDENCYPART_ARC
(26,1),-3.07436 # DEPENDENCYPART_ARC
(26,2),-1.62066 # DEPENDENCYPART_ARC
(26,3),-2.25165 # DEPENDENCYPART_ARC
(26,4),-1.50553 # DEPENDENCYPART_ARC
(26,5),-2.30064 # DEPENDENCYPART_ARC
(26,6),-1.28086 # DEPENDENCYPART_ARC
(26,7),-2.48443 # DEPENDENCYPART_ARC
(26,8),-2.05443 # DEPENDENCYPART_ARC
(26,9),-2.75923 # DEPENDENCYPART_ARC
(26,10),-2.29346 # DEPENDENCYPART_ARC
(26,11),-1.92692 # DEPENDENCYPART_ARC
(26,12),-0.797126 # DEPENDENCYPART_ARC
(26,13),-0.948611 # DEPENDENCYPART_ARC
(26,14),-1.63714 # DEPENDENCYPART_ARC
(26,15),-1.50146 # DEPENDENCYPART_ARC
(26,16),-1.3124 # DEPENDENCYPART_ARC
(26,17),-1.58896 # DEPENDENCYPART_ARC
(26,18),-1.41792 # DEPENDENCYPART_ARC
(26,19),-1.16108 # DEPENDENCYPART_ARC
(26,20),-0.378168 # DEPENDENCYPART_ARC
(26,21),-0.718797 # DEPENDENCYPART_ARC
(26,22),-1.28785 # DEPENDENCYPART_ARC
(26,23),-0.221136 # DEPENDENCYPART_ARC
(26,24),-1.6701 # DEPENDENCYPART_ARC
(26,25),-1.59637 # DEPENDENCYPART_ARC
