# _root_ Security Pacific 's loan-loss provision was down 22 % , or $ 30.4 million , because it added to its foreign-debt reserve the year before .
#goldHeads=2,5,2,5,6,0,6,9,7,9,9,11,12,12,9,6,18,16,18,22,22,19,24,25,18,6,
#predictedHeads=2,5,2,5,6,0,6,9,7,6,9,11,12,12,9,6,18,16,18,22,22,19,24,25,22,6,
(20,9),-2.73411 # DEPENDENCYPART_ARC
(20,10),-2.16934 # DEPENDENCYPART_ARC
(20,11),-2.62869 # DEPENDENCYPART_ARC
(20,12),-2.05022 # DEPENDENCYPART_ARC
(20,13),-1.98978 # DEPENDENCYPART_ARC
(20,14),-1.8485 # DEPENDENCYPART_ARC
(20,15),-1.48529 # DEPENDENCYPART_ARC
(20,16),-1.44208 # DEPENDENCYPART_ARC
(20,17),-1.27959 # DEPENDENCYPART_ARC
(20,18),-1.28405 # DEPENDENCYPART_ARC
(20,19),-0.370457 # DEPENDENCYPART_ARC
(20,21),0.690583 # DEPENDENCYPART_ARC
(20,22),-0.0164866 # DEPENDENCYPART_ARC
(20,23),-0.794107 # DEPENDENCYPART_ARC
(20,24),-0.736152 # DEPENDENCYPART_ARC
(20,25),-0.849446 # DEPENDENCYPART_ARC
(20,26),-0.657724 # DEPENDENCYPART_ARC
(21,1),-3.22728 # DEPENDENCYPART_ARC
(21,2),-3.74722 # DEPENDENCYPART_ARC
(21,3),-3.12736 # DEPENDENCYPART_ARC
(21,4),-2.3463 # DEPENDENCYPART_ARC
(21,5),-3.12884 # DEPENDENCYPART_ARC
(21,6),-3.32387 # DEPENDENCYPART_ARC
(21,7),-2.63363 # DEPENDENCYPART_ARC
(21,8),-1.83131 # DEPENDENCYPART_ARC
(21,9),-2.30454 # DEPENDENCYPART_ARC
(21,10),-2.01277 # DEPENDENCYPART_ARC
(21,11),-2.56746 # DEPENDENCYPART_ARC
(21,12),-1.3175 # DEPENDENCYPART_ARC
(21,13),-1.30155 # DEPENDENCYPART_ARC
(21,14),-1.60148 # DEPENDENCYPART_ARC
(21,15),-1.23938 # DEPENDENCYPART_ARC
(21,16),-1.16175 # DEPENDENCYPART_ARC
(21,17),-1.51597 # DEPENDENCYPART_ARC
(21,18),-1.41203 # DEPENDENCYPART_ARC
(21,19),0.0142492 # DEPENDENCYPART_ARC
(21,20),1.21835 # DEPENDENCYPART_ARC
(21,22),1.05762 # DEPENDENCYPART_ARC
(21,23),-0.459909 # DEPENDENCYPART_ARC
(21,24),-0.258028 # DEPENDENCYPART_ARC
(21,25),-1.21879 # DEPENDENCYPART_ARC
(21,26),-0.709399 # DEPENDENCYPART_ARC
(22,1),-4.84689 # DEPENDENCYPART_ARC
(22,2),-3.8605 # DEPENDENCYPART_ARC
(22,3),-1.34236 # DEPENDENCYPART_ARC
(22,4),-1.80899 # DEPENDENCYPART_ARC
(22,5),-3.85072 # DEPENDENCYPART_ARC
(22,6),-1.36753 # DEPENDENCYPART_ARC
(22,7),-3.47646 # DEPENDENCYPART_ARC
(22,8),-1.84557 # DEPENDENCYPART_ARC
(22,9),-2.46581 # DEPENDENCYPART_ARC
(22,10),-0.955086 # DEPENDENCYPART_ARC
(22,11),-1.00721 # DEPENDENCYPART_ARC
(22,12),-0.739745 # DEPENDENCYPART_ARC
(22,13),-0.650689 # DEPENDENCYPART_ARC
(22,14),-1.41087 # DEPENDENCYPART_ARC
(22,15),-0.755569 # DEPENDENCYPART_ARC
(22,16),0.305813 # DEPENDENCYPART_ARC
(22,17),0.700342 # DEPENDENCYPART_ARC
(22,18),0.218181 # DEPENDENCYPART_ARC
(22,19),0.0735729 # DEPENDENCYPART_ARC
(22,20),3.94802 # DEPENDENCYPART_ARC
(22,21),4.00469 # DEPENDENCYPART_ARC
(22,23),1.42777 # DEPENDENCYPART_ARC
(22,24),1.41812 # DEPENDENCYPART_ARC
(22,25),1.49833 # DEPENDENCYPART_ARC
(22,26),0.920014 # DEPENDENCYPART_ARC
(23,1),-3.97259 # DEPENDENCYPART_ARC
(23,2),-3.93974 # DEPENDENCYPART_ARC
(23,3),-3.56651 # DEPENDENCYPART_ARC
(23,4),-3.43864 # DEPENDENCYPART_ARC
(23,5),-3.81234 # DEPENDENCYPART_ARC
(23,6),-3.16325 # DEPENDENCYPART_ARC
(23,7),-3.07746 # DEPENDENCYPART_ARC
(23,8),-2.84321 # DEPENDENCYPART_ARC
(23,9),-3.45774 # DEPENDENCYPART_ARC
(23,10),-2.64043 # DEPENDENCYPART_ARC
(23,11),-3.04781 # DEPENDENCYPART_ARC
(23,12),-2.46187 # DEPENDENCYPART_ARC
(23,13),-2.23026 # DEPENDENCYPART_ARC
(23,14),-2.17159 # DEPENDENCYPART_ARC
(23,15),-2.17977 # DEPENDENCYPART_ARC
(23,16),-1.74714 # DEPENDENCYPART_ARC
(23,17),-1.70805 # DEPENDENCYPART_ARC
(23,18),-1.94001 # DEPENDENCYPART_ARC
(23,19),-1.64687 # DEPENDENCYPART_ARC
(23,20),-0.55859 # DEPENDENCYPART_ARC
(23,21),-1.01742 # DEPENDENCYPART_ARC
(23,22),-0.920569 # DEPENDENCYPART_ARC
(23,24),-0.224617 # DEPENDENCYPART_ARC
(23,25),-1.35102 # DEPENDENCYPART_ARC
(23,26),-1.58873 # DEPENDENCYPART_ARC
(24,1),-8.55174 # DEPENDENCYPART_ARC
(24,2),-7.90814 # DEPENDENCYPART_ARC
(24,3),-2.62239 # DEPENDENCYPART_ARC
(24,4),-3.66067 # DEPENDENCYPART_ARC
(24,5),-6.44853 # DEPENDENCYPART_ARC
(24,6),-2.30273 # DEPENDENCYPART_ARC
(24,7),-4.39784 # DEPENDENCYPART_ARC
(24,8),-2.90044 # DEPENDENCYPART_ARC
(24,9),-5.32628 # DEPENDENCYPART_ARC
(24,10),-1.9747 # DEPENDENCYPART_ARC
(24,11),-1.84594 # DEPENDENCYPART_ARC
(24,12),-4.15695 # DEPENDENCYPART_ARC
(24,13),-2.62592 # DEPENDENCYPART_ARC
(24,14),-2.92855 # DEPENDENCYPART_ARC
(24,15),-1.85562 # DEPENDENCYPART_ARC
(24,16),-0.422127 # DEPENDENCYPART_ARC
(24,17),-1.09249 # DEPENDENCYPART_ARC
(24,18),-1.17931 # DEPENDENCYPART_ARC
(24,19),-1.44262 # DEPENDENCYPART_ARC
(24,20),1.33129 # DEPENDENCYPART_ARC
(24,21),1.35751 # DEPENDENCYPART_ARC
(24,22),-0.209402 # DEPENDENCYPART_ARC
(24,23),4.19651 # DEPENDENCYPART_ARC
(24,25),1.68225 # DEPENDENCYPART_ARC
(24,26),0.15266 # DEPENDENCYPART_ARC
(25,1),-3.38114 # DEPENDENCYPART_ARC
(25,2),-3.28894 # DEPENDENCYPART_ARC
(25,3),-2.59356 # DEPENDENCYPART_ARC
(25,4),-1.67608 # DEPENDENCYPART_ARC
(25,5),-3.02241 # DEPENDENCYPART_ARC
(25,6),-2.41027 # DEPENDENCYPART_ARC
(25,7),-1.73603 # DEPENDENCYPART_ARC
(25,8),-1.98767 # DEPENDENCYPART_ARC
(25,9),-1.46456 # DEPENDENCYPART_ARC
(25,10),-1.19696 # DEPENDENCYPART_ARC
(25,11),-1.70468 # DEPENDENCYPART_ARC
(25,12),-1.50898 # DEPENDENCYPART_ARC
(25,13),-1.60489 # DEPENDENCYPART_ARC
(25,14),-1.56814 # DEPENDENCYPART_ARC
(25,15),-1.10523 # DEPENDENCYPART_ARC
(25,16),-1.02112 # DEPENDENCYPART_ARC
(25,17),-1.57756 # DEPENDENCYPART_ARC
(25,18),-1.05536 # DEPENDENCYPART_ARC
(25,19),-0.815431 # DEPENDENCYPART_ARC
(25,20),-0.429398 # DEPENDENCYPART_ARC
(25,21),0.121316 # DEPENDENCYPART_ARC
(25,22),-0.627184 # DEPENDENCYPART_ARC
(25,23),1.01515 # DEPENDENCYPART_ARC
(25,24),1.99532 # DEPENDENCYPART_ARC
(25,26),0.467701 # DEPENDENCYPART_ARC
(26,1),-3.4893 # DEPENDENCYPART_ARC
(26,2),-3.79553 # DEPENDENCYPART_ARC
(26,3),-3.6075 # DEPENDENCYPART_ARC
(26,4),-3.46775 # DEPENDENCYPART_ARC
(26,5),-3.35444 # DEPENDENCYPART_ARC
(26,6),-2.37156 # DEPENDENCYPART_ARC
(26,7),-2.89628 # DEPENDENCYPART_ARC
(26,8),-3.16218 # DEPENDENCYPART_ARC
(26,9),-2.81366 # DEPENDENCYPART_ARC
(26,10),-1.57654 # DEPENDENCYPART_ARC
(26,11),-2.27238 # DEPENDENCYPART_ARC
(26,12),-2.7989 # DEPENDENCYPART_ARC
(26,13),-2.65034 # DEPENDENCYPART_ARC
(26,14),-2.58963 # DEPENDENCYPART_ARC
(26,15),-0.799694 # DEPENDENCYPART_ARC
(26,16),-2.18784 # DEPENDENCYPART_ARC
(26,17),-0.825042 # DEPENDENCYPART_ARC
(26,18),-1.13616 # DEPENDENCYPART_ARC
(26,19),-1.68996 # DEPENDENCYPART_ARC
(26,20),-1.00513 # DEPENDENCYPART_ARC
(26,21),-1.93717 # DEPENDENCYPART_ARC
(26,22),-1.39425 # DEPENDENCYPART_ARC
(26,23),-0.780116 # DEPENDENCYPART_ARC
(26,24),-1.96859 # DEPENDENCYPART_ARC
(26,25),-1.40223 # DEPENDENCYPART_ARC
