# _root_ `` They all went in the wrong direction , '' said Andreas Insam , an investment adviser for the Bank in Liechtenstein 's Frankfurt branch .
#goldHeads=11,4,2,11,4,8,8,5,11,11,0,13,11,13,17,17,13,17,20,18,17,25,22,25,21,11,
#predictedHeads=11,4,4,11,4,8,8,5,11,11,0,13,11,13,17,17,13,17,20,25,20,25,20,25,18,11,
(20,8),-4.42088 # DEPENDENCYPART_ARC
(20,9),-2.65996 # DEPENDENCYPART_ARC
(20,10),-1.93196 # DEPENDENCYPART_ARC
(20,11),-2.19114 # DEPENDENCYPART_ARC
(20,12),-1.17469 # DEPENDENCYPART_ARC
(20,13),-1.98582 # DEPENDENCYPART_ARC
(20,14),-1.30602 # DEPENDENCYPART_ARC
(20,15),-0.0448286 # DEPENDENCYPART_ARC
(20,16),0.367855 # DEPENDENCYPART_ARC
(20,17),-0.590734 # DEPENDENCYPART_ARC
(20,18),0.591061 # DEPENDENCYPART_ARC
(20,19),3.72747 # DEPENDENCYPART_ARC
(20,21),2.82606 # DEPENDENCYPART_ARC
(20,22),1.01344 # DEPENDENCYPART_ARC
(20,23),4.31296 # DEPENDENCYPART_ARC
(20,24),0.690075 # DEPENDENCYPART_ARC
(20,25),1.63686 # DEPENDENCYPART_ARC
(20,26),0.425129 # DEPENDENCYPART_ARC
(21,1),-1.02262 # DEPENDENCYPART_ARC
(21,2),-2.84622 # DEPENDENCYPART_ARC
(21,3),-1.49114 # DEPENDENCYPART_ARC
(21,4),-2.26697 # DEPENDENCYPART_ARC
(21,5),-2.98362 # DEPENDENCYPART_ARC
(21,6),-1.80581 # DEPENDENCYPART_ARC
(21,7),-2.18786 # DEPENDENCYPART_ARC
(21,8),-2.92917 # DEPENDENCYPART_ARC
(21,9),-1.41917 # DEPENDENCYPART_ARC
(21,10),-1.76467 # DEPENDENCYPART_ARC
(21,11),-1.40578 # DEPENDENCYPART_ARC
(21,12),-1.33148 # DEPENDENCYPART_ARC
(21,13),-1.55775 # DEPENDENCYPART_ARC
(21,14),-0.776985 # DEPENDENCYPART_ARC
(21,15),-0.43474 # DEPENDENCYPART_ARC
(21,16),-0.710209 # DEPENDENCYPART_ARC
(21,17),-0.844919 # DEPENDENCYPART_ARC
(21,18),-0.121038 # DEPENDENCYPART_ARC
(21,19),0.298551 # DEPENDENCYPART_ARC
(21,20),0.545488 # DEPENDENCYPART_ARC
(21,22),4.27793 # DEPENDENCYPART_ARC
(21,23),1.1522 # DEPENDENCYPART_ARC
(21,24),2.94456 # DEPENDENCYPART_ARC
(21,25),2.87011 # DEPENDENCYPART_ARC
(21,26),-0.577466 # DEPENDENCYPART_ARC
(22,1),-2.9696 # DEPENDENCYPART_ARC
(22,2),-3.61417 # DEPENDENCYPART_ARC
(22,3),-5.4816 # DEPENDENCYPART_ARC
(22,4),-4.10865 # DEPENDENCYPART_ARC
(22,5),-3.59395 # DEPENDENCYPART_ARC
(22,6),-3.91275 # DEPENDENCYPART_ARC
(22,7),-3.49092 # DEPENDENCYPART_ARC
(22,8),-5.70701 # DEPENDENCYPART_ARC
(22,9),-4.38112 # DEPENDENCYPART_ARC
(22,10),-3.35734 # DEPENDENCYPART_ARC
(22,11),-3.54348 # DEPENDENCYPART_ARC
(22,12),-1.29947 # DEPENDENCYPART_ARC
(22,13),-3.53968 # DEPENDENCYPART_ARC
(22,14),-2.89986 # DEPENDENCYPART_ARC
(22,15),-1.59326 # DEPENDENCYPART_ARC
(22,16),-1.81576 # DEPENDENCYPART_ARC
(22,17),-2.48952 # DEPENDENCYPART_ARC
(22,18),-1.06277 # DEPENDENCYPART_ARC
(22,19),1.70727 # DEPENDENCYPART_ARC
(22,20),1.33887 # DEPENDENCYPART_ARC
(22,21),0.689347 # DEPENDENCYPART_ARC
(22,23),3.83691 # DEPENDENCYPART_ARC
(22,24),0.794718 # DEPENDENCYPART_ARC
(22,25),0.39555 # DEPENDENCYPART_ARC
(22,26),-0.86932 # DEPENDENCYPART_ARC
(23,1),-1.99861 # DEPENDENCYPART_ARC
(23,2),-2.57614 # DEPENDENCYPART_ARC
(23,3),-3.08384 # DEPENDENCYPART_ARC
(23,4),-2.80378 # DEPENDENCYPART_ARC
(23,5),-3.34065 # DEPENDENCYPART_ARC
(23,6),-2.02985 # DEPENDENCYPART_ARC
(23,7),-2.20719 # DEPENDENCYPART_ARC
(23,8),-3.31897 # DEPENDENCYPART_ARC
(23,9),-2.36504 # DEPENDENCYPART_ARC
(23,10),-1.52116 # DEPENDENCYPART_ARC
(23,11),-1.99189 # DEPENDENCYPART_ARC
(23,12),-1.11052 # DEPENDENCYPART_ARC
(23,13),-0.861795 # DEPENDENCYPART_ARC
(23,14),-1.5743 # DEPENDENCYPART_ARC
(23,15),-0.925609 # DEPENDENCYPART_ARC
(23,16),-1.96157 # DEPENDENCYPART_ARC
(23,17),-1.74121 # DEPENDENCYPART_ARC
(23,18),-1.35577 # DEPENDENCYPART_ARC
(23,19),0.372201 # DEPENDENCYPART_ARC
(23,20),0.610493 # DEPENDENCYPART_ARC
(23,21),-0.075482 # DEPENDENCYPART_ARC
(23,22),1.09731 # DEPENDENCYPART_ARC
(23,24),-0.0483532 # DEPENDENCYPART_ARC
(23,25),-0.650006 # DEPENDENCYPART_ARC
(23,26),-0.988417 # DEPENDENCYPART_ARC
(24,1),-2.36152 # DEPENDENCYPART_ARC
(24,2),-3.02613 # DEPENDENCYPART_ARC
(24,3),-5.50268 # DEPENDENCYPART_ARC
(24,4),-3.69977 # DEPENDENCYPART_ARC
(24,5),-3.45298 # DEPENDENCYPART_ARC
(24,6),-3.73178 # DEPENDENCYPART_ARC
(24,7),-2.80636 # DEPENDENCYPART_ARC
(24,8),-4.48825 # DEPENDENCYPART_ARC
(24,9),-3.78786 # DEPENDENCYPART_ARC
(24,10),-2.89092 # DEPENDENCYPART_ARC
(24,11),-3.08112 # DEPENDENCYPART_ARC
(24,12),-3.20436 # DEPENDENCYPART_ARC
(24,13),-3.6177 # DEPENDENCYPART_ARC
(24,14),-1.98071 # DEPENDENCYPART_ARC
(24,15),-1.58922 # DEPENDENCYPART_ARC
(24,16),-0.710672 # DEPENDENCYPART_ARC
(24,17),-1.97337 # DEPENDENCYPART_ARC
(24,18),-1.44508 # DEPENDENCYPART_ARC
(24,19),0.861716 # DEPENDENCYPART_ARC
(24,20),1.64568 # DEPENDENCYPART_ARC
(24,21),-0.2567 # DEPENDENCYPART_ARC
(24,22),2.70745 # DEPENDENCYPART_ARC
(24,23),0.749463 # DEPENDENCYPART_ARC
(24,25),1.32623 # DEPENDENCYPART_ARC
(24,26),0.000907786 # DEPENDENCYPART_ARC
(25,1),-1.71312 # DEPENDENCYPART_ARC
(25,2),-2.73887 # DEPENDENCYPART_ARC
(25,3),-6.62492 # DEPENDENCYPART_ARC
(25,4),-2.63822 # DEPENDENCYPART_ARC
(25,5),-1.76944 # DEPENDENCYPART_ARC
(25,6),-3.96098 # DEPENDENCYPART_ARC
(25,7),-2.22137 # DEPENDENCYPART_ARC
(25,8),-4.60213 # DEPENDENCYPART_ARC
(25,9),-1.5394 # DEPENDENCYPART_ARC
(25,10),-0.612942 # DEPENDENCYPART_ARC
(25,11),-1.77408 # DEPENDENCYPART_ARC
(25,12),-2.50608 # DEPENDENCYPART_ARC
(25,13),-3.73357 # DEPENDENCYPART_ARC
(25,14),-1.49266 # DEPENDENCYPART_ARC
(25,15),-1.03613 # DEPENDENCYPART_ARC
(25,16),-0.951204 # DEPENDENCYPART_ARC
(25,17),-2.6547 # DEPENDENCYPART_ARC
(25,18),-0.150888 # DEPENDENCYPART_ARC
(25,19),1.1747 # DEPENDENCYPART_ARC
(25,20),3.34277 # DEPENDENCYPART_ARC
(25,21),0.485013 # DEPENDENCYPART_ARC
(25,22),4.41452 # DEPENDENCYPART_ARC
(25,23),1.62075 # DEPENDENCYPART_ARC
(25,24),4.02547 # DEPENDENCYPART_ARC
(25,26),0.708932 # DEPENDENCYPART_ARC
(26,1),-2.72458 # DEPENDENCYPART_ARC
(26,2),-1.91086 # DEPENDENCYPART_ARC
(26,3),-2.84153 # DEPENDENCYPART_ARC
(26,4),-2.2047 # DEPENDENCYPART_ARC
(26,5),-3.29541 # DEPENDENCYPART_ARC
(26,6),-2.45992 # DEPENDENCYPART_ARC
(26,7),-2.81315 # DEPENDENCYPART_ARC
(26,8),-2.07677 # DEPENDENCYPART_ARC
(26,9),-1.29142 # DEPENDENCYPART_ARC
(26,10),-2.14263 # DEPENDENCYPART_ARC
(26,11),-1.7379 # DEPENDENCYPART_ARC
(26,12),-1.78452 # DEPENDENCYPART_ARC
(26,13),-1.86259 # DEPENDENCYPART_ARC
(26,14),-0.448096 # DEPENDENCYPART_ARC
(26,15),-1.47355 # DEPENDENCYPART_ARC
(26,16),-1.68524 # DEPENDENCYPART_ARC
(26,17),-1.49745 # DEPENDENCYPART_ARC
(26,18),-1.48762 # DEPENDENCYPART_ARC
(26,19),-0.912105 # DEPENDENCYPART_ARC
(26,20),-1.09004 # DEPENDENCYPART_ARC
(26,21),-1.3772 # DEPENDENCYPART_ARC
(26,22),-1.1873 # DEPENDENCYPART_ARC
(26,23),-0.852083 # DEPENDENCYPART_ARC
(26,24),-1.24851 # DEPENDENCYPART_ARC
(26,25),-1.4759 # DEPENDENCYPART_ARC
