# _root_ The new expiration date is the date on which DIG 's financing commitments , which total about $ 240 million , are to expire .
#goldHeads=4,4,4,5,0,7,5,24,8,13,10,13,22,13,16,13,18,16,18,18,13,7,22,23,5,
#predictedHeads=4,4,4,5,0,7,5,24,8,13,10,13,8,7,16,13,18,16,18,18,13,7,22,23,5,
(21,7),-2.18463 # DEPENDENCYPART_ARC
(21,8),-1.88949 # DEPENDENCYPART_ARC
(21,9),-1.54657 # DEPENDENCYPART_ARC
(21,10),-2.24289 # DEPENDENCYPART_ARC
(21,11),-1.83162 # DEPENDENCYPART_ARC
(21,12),-1.34419 # DEPENDENCYPART_ARC
(21,13),-2.04622 # DEPENDENCYPART_ARC
(21,14),-0.327338 # DEPENDENCYPART_ARC
(21,15),-0.818449 # DEPENDENCYPART_ARC
(21,16),-1.79668 # DEPENDENCYPART_ARC
(21,17),-1.53012 # DEPENDENCYPART_ARC
(21,18),-0.498503 # DEPENDENCYPART_ARC
(21,19),-0.897892 # DEPENDENCYPART_ARC
(21,20),-0.215186 # DEPENDENCYPART_ARC
(21,22),-0.341373 # DEPENDENCYPART_ARC
(21,23),-1.38623 # DEPENDENCYPART_ARC
(21,24),-1.28736 # DEPENDENCYPART_ARC
(21,25),-1.6412 # DEPENDENCYPART_ARC
(22,1),-2.21973 # DEPENDENCYPART_ARC
(22,2),-0.976325 # DEPENDENCYPART_ARC
(22,3),-2.10321 # DEPENDENCYPART_ARC
(22,4),-2.17932 # DEPENDENCYPART_ARC
(22,5),-1.48057 # DEPENDENCYPART_ARC
(22,6),-1.63047 # DEPENDENCYPART_ARC
(22,7),-1.28702 # DEPENDENCYPART_ARC
(22,8),-0.2267 # DEPENDENCYPART_ARC
(22,9),-0.269571 # DEPENDENCYPART_ARC
(22,10),-0.240628 # DEPENDENCYPART_ARC
(22,11),-0.475472 # DEPENDENCYPART_ARC
(22,12),0.277892 # DEPENDENCYPART_ARC
(22,13),1.24957 # DEPENDENCYPART_ARC
(22,14),0.212249 # DEPENDENCYPART_ARC
(22,15),1.31768 # DEPENDENCYPART_ARC
(22,16),0.0103103 # DEPENDENCYPART_ARC
(22,17),0.421677 # DEPENDENCYPART_ARC
(22,18),0.726769 # DEPENDENCYPART_ARC
(22,19),1.00004 # DEPENDENCYPART_ARC
(22,20),1.00914 # DEPENDENCYPART_ARC
(22,21),1.82664 # DEPENDENCYPART_ARC
(22,23),2.99327 # DEPENDENCYPART_ARC
(22,24),1.83011 # DEPENDENCYPART_ARC
(22,25),3.79224 # DEPENDENCYPART_ARC
(23,1),-1.87478 # DEPENDENCYPART_ARC
(23,2),-2.33858 # DEPENDENCYPART_ARC
(23,3),-2.59734 # DEPENDENCYPART_ARC
(23,4),-2.31206 # DEPENDENCYPART_ARC
(23,5),-1.89504 # DEPENDENCYPART_ARC
(23,6),-1.40088 # DEPENDENCYPART_ARC
(23,7),-1.78241 # DEPENDENCYPART_ARC
(23,8),-1.66774 # DEPENDENCYPART_ARC
(23,9),-1.226 # DEPENDENCYPART_ARC
(23,10),-1.53646 # DEPENDENCYPART_ARC
(23,11),-0.852439 # DEPENDENCYPART_ARC
(23,12),-1.37034 # DEPENDENCYPART_ARC
(23,13),-1.48352 # DEPENDENCYPART_ARC
(23,14),-0.226913 # DEPENDENCYPART_ARC
(23,15),-0.3725 # DEPENDENCYPART_ARC
(23,16),-0.593641 # DEPENDENCYPART_ARC
(23,17),-1.28559 # DEPENDENCYPART_ARC
(23,18),-0.183624 # DEPENDENCYPART_ARC
(23,19),0.155627 # DEPENDENCYPART_ARC
(23,20),0.326038 # DEPENDENCYPART_ARC
(23,21),0.43743 # DEPENDENCYPART_ARC
(23,22),0.909046 # DEPENDENCYPART_ARC
(23,24),3.75448 # DEPENDENCYPART_ARC
(23,25),0.615193 # DEPENDENCYPART_ARC
(24,1),-1.69281 # DEPENDENCYPART_ARC
(24,2),-1.48877 # DEPENDENCYPART_ARC
(24,3),-1.80662 # DEPENDENCYPART_ARC
(24,4),-1.52489 # DEPENDENCYPART_ARC
(24,5),-1.38953 # DEPENDENCYPART_ARC
(24,6),-0.962488 # DEPENDENCYPART_ARC
(24,7),-1.36476 # DEPENDENCYPART_ARC
(24,8),2.36334 # DEPENDENCYPART_ARC
(24,9),0.659805 # DEPENDENCYPART_ARC
(24,10),-1.02363 # DEPENDENCYPART_ARC
(24,11),-0.762708 # DEPENDENCYPART_ARC
(24,12),-0.377641 # DEPENDENCYPART_ARC
(24,13),-0.414565 # DEPENDENCYPART_ARC
(24,14),0.307773 # DEPENDENCYPART_ARC
(24,15),1.28652 # DEPENDENCYPART_ARC
(24,16),0.144941 # DEPENDENCYPART_ARC
(24,17),0.217534 # DEPENDENCYPART_ARC
(24,18),0.280416 # DEPENDENCYPART_ARC
(24,19),0.415402 # DEPENDENCYPART_ARC
(24,20),0.647121 # DEPENDENCYPART_ARC
(24,21),1.02302 # DEPENDENCYPART_ARC
(24,22),0.856602 # DEPENDENCYPART_ARC
(24,23),1.77714 # DEPENDENCYPART_ARC
(24,25),-0.301579 # DEPENDENCYPART_ARC
(25,1),-3.20581 # DEPENDENCYPART_ARC
(25,2),-3.58545 # DEPENDENCYPART_ARC
(25,3),-3.05852 # DEPENDENCYPART_ARC
(25,4),-3.20664 # DEPENDENCYPART_ARC
(25,5),-2.87988 # DEPENDENCYPART_ARC
(25,6),-2.59283 # DEPENDENCYPART_ARC
(25,7),-3.04051 # DEPENDENCYPART_ARC
(25,8),-2.43964 # DEPENDENCYPART_ARC
(25,9),-1.92237 # DEPENDENCYPART_ARC
(25,10),-2.57823 # DEPENDENCYPART_ARC
(25,11),-2.31909 # DEPENDENCYPART_ARC
(25,12),-1.6118 # DEPENDENCYPART_ARC
(25,13),-1.99794 # DEPENDENCYPART_ARC
(25,14),-1.41048 # DEPENDENCYPART_ARC
(25,15),-1.30308 # DEPENDENCYPART_ARC
(25,16),-1.81459 # DEPENDENCYPART_ARC
(25,17),-1.80695 # DEPENDENCYPART_ARC
(25,18),-1.85705 # DEPENDENCYPART_ARC
(25,19),-1.75899 # DEPENDENCYPART_ARC
(25,20),-1.90675 # DEPENDENCYPART_ARC
(25,21),-0.77487 # DEPENDENCYPART_ARC
(25,22),-1.36731 # DEPENDENCYPART_ARC
(25,23),-1.44756 # DEPENDENCYPART_ARC
(25,24),-0.834573 # DEPENDENCYPART_ARC
