# _root_ Church 's Fried Chicken Inc. and Popeye 's Famous Fried Chicken Inc. , which have merged , are still troubled by overlapping restaurant locations .
#goldHeads=4,1,4,18,4,4,11,7,11,11,6,11,4,15,4,15,4,0,18,18,20,24,24,21,18,
#predictedHeads=4,1,4,18,4,4,6,7,11,11,6,11,11,15,11,15,11,0,18,18,20,24,24,21,18,
(21,6),-2.4598 # DEPENDENCYPART_ARC
(21,7),-2.20257 # DEPENDENCYPART_ARC
(21,8),-1.62753 # DEPENDENCYPART_ARC
(21,9),-1.97983 # DEPENDENCYPART_ARC
(21,10),-2.0165 # DEPENDENCYPART_ARC
(21,11),-1.6509 # DEPENDENCYPART_ARC
(21,12),-1.68529 # DEPENDENCYPART_ARC
(21,13),-1.08253 # DEPENDENCYPART_ARC
(21,14),0.288165 # DEPENDENCYPART_ARC
(21,15),-1.18327 # DEPENDENCYPART_ARC
(21,16),-0.993707 # DEPENDENCYPART_ARC
(21,17),-0.218337 # DEPENDENCYPART_ARC
(21,18),-0.743868 # DEPENDENCYPART_ARC
(21,19),-0.10725 # DEPENDENCYPART_ARC
(21,20),0.379818 # DEPENDENCYPART_ARC
(21,22),1.17047 # DEPENDENCYPART_ARC
(21,23),2.51278 # DEPENDENCYPART_ARC
(21,24),3.86473 # DEPENDENCYPART_ARC
(21,25),-0.57208 # DEPENDENCYPART_ARC
(22,1),-2.66379 # DEPENDENCYPART_ARC
(22,2),-3.27188 # DEPENDENCYPART_ARC
(22,3),-1.7764 # DEPENDENCYPART_ARC
(22,4),-2.12876 # DEPENDENCYPART_ARC
(22,5),-2.60423 # DEPENDENCYPART_ARC
(22,6),-3.38509 # DEPENDENCYPART_ARC
(22,7),-2.14793 # DEPENDENCYPART_ARC
(22,8),-2.63777 # DEPENDENCYPART_ARC
(22,9),-1.50411 # DEPENDENCYPART_ARC
(22,10),-1.91744 # DEPENDENCYPART_ARC
(22,11),-1.92553 # DEPENDENCYPART_ARC
(22,12),-2.08189 # DEPENDENCYPART_ARC
(22,13),-1.32694 # DEPENDENCYPART_ARC
(22,14),-0.95998 # DEPENDENCYPART_ARC
(22,15),-2.17663 # DEPENDENCYPART_ARC
(22,16),-1.78761 # DEPENDENCYPART_ARC
(22,17),-0.737565 # DEPENDENCYPART_ARC
(22,18),-1.80955 # DEPENDENCYPART_ARC
(22,19),-0.781009 # DEPENDENCYPART_ARC
(22,20),-0.576966 # DEPENDENCYPART_ARC
(22,21),0.800477 # DEPENDENCYPART_ARC
(22,23),1.40254 # DEPENDENCYPART_ARC
(22,24),0.743526 # DEPENDENCYPART_ARC
(22,25),-0.201399 # DEPENDENCYPART_ARC
(23,1),-4.1374 # DEPENDENCYPART_ARC
(23,2),-4.23119 # DEPENDENCYPART_ARC
(23,3),-4.16295 # DEPENDENCYPART_ARC
(23,4),-4.53857 # DEPENDENCYPART_ARC
(23,5),-4.62428 # DEPENDENCYPART_ARC
(23,6),-3.90875 # DEPENDENCYPART_ARC
(23,7),-2.93728 # DEPENDENCYPART_ARC
(23,8),-3.30982 # DEPENDENCYPART_ARC
(23,9),-3.97422 # DEPENDENCYPART_ARC
(23,10),-4.33753 # DEPENDENCYPART_ARC
(23,11),-4.43811 # DEPENDENCYPART_ARC
(23,12),-5.14842 # DEPENDENCYPART_ARC
(23,13),-2.13063 # DEPENDENCYPART_ARC
(23,14),-2.42745 # DEPENDENCYPART_ARC
(23,15),-2.93227 # DEPENDENCYPART_ARC
(23,16),-2.20041 # DEPENDENCYPART_ARC
(23,17),-1.82736 # DEPENDENCYPART_ARC
(23,18),-2.276 # DEPENDENCYPART_ARC
(23,19),-1.36971 # DEPENDENCYPART_ARC
(23,20),-1.05389 # DEPENDENCYPART_ARC
(23,21),-0.115472 # DEPENDENCYPART_ARC
(23,22),1.71936 # DEPENDENCYPART_ARC
(23,24),0.963947 # DEPENDENCYPART_ARC
(23,25),-0.658144 # DEPENDENCYPART_ARC
(24,1),-1.0726 # DEPENDENCYPART_ARC
(24,2),-1.35932 # DEPENDENCYPART_ARC
(24,3),-1.76262 # DEPENDENCYPART_ARC
(24,4),-1.82687 # DEPENDENCYPART_ARC
(24,5),-3.00022 # DEPENDENCYPART_ARC
(24,6),-1.01736 # DEPENDENCYPART_ARC
(24,7),-0.3699 # DEPENDENCYPART_ARC
(24,8),-0.888889 # DEPENDENCYPART_ARC
(24,9),-1.45804 # DEPENDENCYPART_ARC
(24,10),-1.70082 # DEPENDENCYPART_ARC
(24,11),-1.66149 # DEPENDENCYPART_ARC
(24,12),-2.76426 # DEPENDENCYPART_ARC
(24,13),-0.443292 # DEPENDENCYPART_ARC
(24,14),-0.358072 # DEPENDENCYPART_ARC
(24,15),-0.842222 # DEPENDENCYPART_ARC
(24,16),0.207038 # DEPENDENCYPART_ARC
(24,17),0.0718194 # DEPENDENCYPART_ARC
(24,18),-0.18524 # DEPENDENCYPART_ARC
(24,19),0.956524 # DEPENDENCYPART_ARC
(24,20),1.12515 # DEPENDENCYPART_ARC
(24,21),1.0151 # DEPENDENCYPART_ARC
(24,22),4.04488 # DEPENDENCYPART_ARC
(24,23),4.81646 # DEPENDENCYPART_ARC
(24,25),0.439268 # DEPENDENCYPART_ARC
(25,1),-3.0517 # DEPENDENCYPART_ARC
(25,2),-3.25448 # DEPENDENCYPART_ARC
(25,3),-2.83862 # DEPENDENCYPART_ARC
(25,4),-2.90451 # DEPENDENCYPART_ARC
(25,5),-2.82591 # DEPENDENCYPART_ARC
(25,6),-2.74077 # DEPENDENCYPART_ARC
(25,7),-2.49425 # DEPENDENCYPART_ARC
(25,8),-2.56754 # DEPENDENCYPART_ARC
(25,9),-2.31585 # DEPENDENCYPART_ARC
(25,10),-2.30796 # DEPENDENCYPART_ARC
(25,11),-2.29212 # DEPENDENCYPART_ARC
(25,12),-2.34462 # DEPENDENCYPART_ARC
(25,13),-1.05055 # DEPENDENCYPART_ARC
(25,14),-1.32563 # DEPENDENCYPART_ARC
(25,15),-1.89707 # DEPENDENCYPART_ARC
(25,16),-1.55938 # DEPENDENCYPART_ARC
(25,17),-0.68695 # DEPENDENCYPART_ARC
(25,18),-1.53335 # DEPENDENCYPART_ARC
(25,19),-1.36895 # DEPENDENCYPART_ARC
(25,20),-1.54265 # DEPENDENCYPART_ARC
(25,21),-1.39235 # DEPENDENCYPART_ARC
(25,22),-1.16766 # DEPENDENCYPART_ARC
(25,23),-1.7344 # DEPENDENCYPART_ARC
(25,24),-1.60535 # DEPENDENCYPART_ARC
