# _root_ `` In the U.S. market , the recognition of the Manpower name is infinitely stronger than Blue Arrow , '' Mr. Fromstein said .
#goldHeads=13,13,5,5,2,13,8,13,8,12,12,9,23,15,13,15,18,16,13,13,22,23,0,23,
#predictedHeads=23,13,5,5,2,13,8,13,8,12,12,9,23,15,13,15,18,16,23,23,22,23,0,23,
(22,4),-4.70241 # DEPENDENCYPART_ARC
(22,5),-4.67427 # DEPENDENCYPART_ARC
(22,6),-3.23243 # DEPENDENCYPART_ARC
(22,7),-2.6187 # DEPENDENCYPART_ARC
(22,8),-4.46417 # DEPENDENCYPART_ARC
(22,9),-2.47528 # DEPENDENCYPART_ARC
(22,10),-0.875117 # DEPENDENCYPART_ARC
(22,11),-1.70902 # DEPENDENCYPART_ARC
(22,12),-1.7161 # DEPENDENCYPART_ARC
(22,13),-2.49285 # DEPENDENCYPART_ARC
(22,14),-1.82927 # DEPENDENCYPART_ARC
(22,15),-1.60174 # DEPENDENCYPART_ARC
(22,16),-1.74803 # DEPENDENCYPART_ARC
(22,17),2.01383 # DEPENDENCYPART_ARC
(22,18),0.3718 # DEPENDENCYPART_ARC
(22,19),0.766776 # DEPENDENCYPART_ARC
(22,20),0.435328 # DEPENDENCYPART_ARC
(22,21),5.17358 # DEPENDENCYPART_ARC
(22,23),0.633819 # DEPENDENCYPART_ARC
(22,24),-0.120628 # DEPENDENCYPART_ARC
(23,1),4.18958 # DEPENDENCYPART_ARC
(23,2),-0.463556 # DEPENDENCYPART_ARC
(23,3),-3.96784 # DEPENDENCYPART_ARC
(23,4),-0.794332 # DEPENDENCYPART_ARC
(23,5),-1.92944 # DEPENDENCYPART_ARC
(23,6),1.8963 # DEPENDENCYPART_ARC
(23,7),-2.64136 # DEPENDENCYPART_ARC
(23,8),-0.479612 # DEPENDENCYPART_ARC
(23,9),-2.45875 # DEPENDENCYPART_ARC
(23,10),-2.19082 # DEPENDENCYPART_ARC
(23,11),0.795486 # DEPENDENCYPART_ARC
(23,12),-0.679045 # DEPENDENCYPART_ARC
(23,13),1.15466 # DEPENDENCYPART_ARC
(23,14),0.257206 # DEPENDENCYPART_ARC
(23,15),-0.96478 # DEPENDENCYPART_ARC
(23,16),0.226894 # DEPENDENCYPART_ARC
(23,17),1.17973 # DEPENDENCYPART_ARC
(23,18),0.42818 # DEPENDENCYPART_ARC
(23,19),4.0484 # DEPENDENCYPART_ARC
(23,20),3.93326 # DEPENDENCYPART_ARC
(23,21),1.42034 # DEPENDENCYPART_ARC
(23,22),2.86999 # DEPENDENCYPART_ARC
(23,24),8.32795 # DEPENDENCYPART_ARC
(24,1),-3.04973 # DEPENDENCYPART_ARC
(24,2),-3.68422 # DEPENDENCYPART_ARC
(24,3),-2.99825 # DEPENDENCYPART_ARC
(24,4),-2.77526 # DEPENDENCYPART_ARC
(24,5),-2.423 # DEPENDENCYPART_ARC
(24,6),-1.32069 # DEPENDENCYPART_ARC
(24,7),-2.50907 # DEPENDENCYPART_ARC
(24,8),-2.45421 # DEPENDENCYPART_ARC
(24,9),-2.42805 # DEPENDENCYPART_ARC
(24,10),-2.25241 # DEPENDENCYPART_ARC
(24,11),-2.0962 # DEPENDENCYPART_ARC
(24,12),-2.18863 # DEPENDENCYPART_ARC
(24,13),-1.68507 # DEPENDENCYPART_ARC
(24,14),-2.31702 # DEPENDENCYPART_ARC
(24,15),-2.05833 # DEPENDENCYPART_ARC
(24,16),-1.61764 # DEPENDENCYPART_ARC
(24,17),-1.53651 # DEPENDENCYPART_ARC
(24,18),-1.61736 # DEPENDENCYPART_ARC
(24,19),-1.08873 # DEPENDENCYPART_ARC
(24,20),-1.46874 # DEPENDENCYPART_ARC
(24,21),-1.24491 # DEPENDENCYPART_ARC
(24,22),-1.83932 # DEPENDENCYPART_ARC
(24,23),-0.970935 # DEPENDENCYPART_ARC
