# _root_ But analysts , while applauding the acquisition , say Applied 's chief executive faces a tough challenge in integrating the two companies .
#goldHeads=9,9,9,9,4,7,5,9,0,13,10,13,14,9,17,17,14,17,18,22,22,19,9,
#predictedHeads=9,9,9,14,4,7,5,9,0,13,10,13,14,9,17,17,14,14,18,22,22,19,9,
(23,5),-1.52367 # DEPENDENCYPART_ARC
(23,6),-2.24572 # DEPENDENCYPART_ARC
(23,7),-2.36913 # DEPENDENCYPART_ARC
(23,8),-0.724702 # DEPENDENCYPART_ARC
(23,9),-1.67499 # DEPENDENCYPART_ARC
(23,10),-2.20662 # DEPENDENCYPART_ARC
(23,11),-2.09005 # DEPENDENCYPART_ARC
(23,12),-2.0975 # DEPENDENCYPART_ARC
(23,13),-1.51964 # DEPENDENCYPART_ARC
(23,14),-1.47188 # DEPENDENCYPART_ARC
(23,15),-1.34245 # DEPENDENCYPART_ARC
(23,16),-1.65909 # DEPENDENCYPART_ARC
(23,17),-1.13672 # DEPENDENCYPART_ARC
(23,18),-1.61666 # DEPENDENCYPART_ARC
(23,19),-0.899004 # DEPENDENCYPART_ARC
(23,20),-0.517864 # DEPENDENCYPART_ARC
(23,21),-1.61431 # DEPENDENCYPART_ARC
(23,22),-1.61463 # DEPENDENCYPART_ARC
