# _root_ The decline in the German Stock Index of 203.56 points , or 12.8 % , to 1385.72 was the Frankfurt market 's steepest fall ever .
#goldHeads=2,18,2,7,7,7,3,2,10,8,10,10,14,12,10,2,16,0,21,21,24,21,24,18,24,18,
#predictedHeads=2,18,2,7,7,7,3,7,10,8,10,10,14,12,18,2,16,0,21,21,24,21,24,18,24,18,
(20,9),-2.96846 # DEPENDENCYPART_ARC
(20,10),-3.69509 # DEPENDENCYPART_ARC
(20,11),-2.73481 # DEPENDENCYPART_ARC
(20,12),-2.97333 # DEPENDENCYPART_ARC
(20,13),-1.88073 # DEPENDENCYPART_ARC
(20,14),-3.83965 # DEPENDENCYPART_ARC
(20,15),-1.61564 # DEPENDENCYPART_ARC
(20,16),-2.13787 # DEPENDENCYPART_ARC
(20,17),-0.48506 # DEPENDENCYPART_ARC
(20,18),-1.16699 # DEPENDENCYPART_ARC
(20,19),2.00191 # DEPENDENCYPART_ARC
(20,21),1.05607 # DEPENDENCYPART_ARC
(20,22),2.08856 # DEPENDENCYPART_ARC
(20,23),-0.392562 # DEPENDENCYPART_ARC
(20,24),-0.237047 # DEPENDENCYPART_ARC
(20,25),-0.998651 # DEPENDENCYPART_ARC
(20,26),-0.682133 # DEPENDENCYPART_ARC
(21,1),-2.99724 # DEPENDENCYPART_ARC
(21,2),-5.52563 # DEPENDENCYPART_ARC
(21,3),-2.95791 # DEPENDENCYPART_ARC
(21,4),-0.64055 # DEPENDENCYPART_ARC
(21,5),-1.10099 # DEPENDENCYPART_ARC
(21,6),-3.01984 # DEPENDENCYPART_ARC
(21,7),-4.01627 # DEPENDENCYPART_ARC
(21,8),-1.40423 # DEPENDENCYPART_ARC
(21,9),-1.52045 # DEPENDENCYPART_ARC
(21,10),-1.64953 # DEPENDENCYPART_ARC
(21,11),-1.42724 # DEPENDENCYPART_ARC
(21,12),-0.843833 # DEPENDENCYPART_ARC
(21,13),-0.116302 # DEPENDENCYPART_ARC
(21,14),-1.59404 # DEPENDENCYPART_ARC
(21,15),-0.967321 # DEPENDENCYPART_ARC
(21,16),-0.743735 # DEPENDENCYPART_ARC
(21,17),0.341987 # DEPENDENCYPART_ARC
(21,18),-0.088123 # DEPENDENCYPART_ARC
(21,19),4.61573 # DEPENDENCYPART_ARC
(21,20),5.00296 # DEPENDENCYPART_ARC
(21,22),3.99306 # DEPENDENCYPART_ARC
(21,23),0.310511 # DEPENDENCYPART_ARC
(21,24),0.380329 # DEPENDENCYPART_ARC
(21,25),0.20478 # DEPENDENCYPART_ARC
(21,26),-0.241189 # DEPENDENCYPART_ARC
(22,1),-2.3799 # DEPENDENCYPART_ARC
(22,2),-3.75956 # DEPENDENCYPART_ARC
(22,3),-2.74385 # DEPENDENCYPART_ARC
(22,4),-1.82212 # DEPENDENCYPART_ARC
(22,5),-2.10553 # DEPENDENCYPART_ARC
(22,6),-2.0475 # DEPENDENCYPART_ARC
(22,7),-1.96322 # DEPENDENCYPART_ARC
(22,8),-1.81859 # DEPENDENCYPART_ARC
(22,9),-1.77998 # DEPENDENCYPART_ARC
(22,10),-1.66073 # DEPENDENCYPART_ARC
(22,11),-1.23216 # DEPENDENCYPART_ARC
(22,12),-1.60313 # DEPENDENCYPART_ARC
(22,13),-1.28091 # DEPENDENCYPART_ARC
(22,14),-1.74021 # DEPENDENCYPART_ARC
(22,15),-0.809047 # DEPENDENCYPART_ARC
(22,16),-0.843886 # DEPENDENCYPART_ARC
(22,17),-0.582829 # DEPENDENCYPART_ARC
(22,18),-0.69936 # DEPENDENCYPART_ARC
(22,19),0.975291 # DEPENDENCYPART_ARC
(22,20),0.397488 # DEPENDENCYPART_ARC
(22,21),0.425993 # DEPENDENCYPART_ARC
(22,23),-0.334441 # DEPENDENCYPART_ARC
(22,24),-0.614757 # DEPENDENCYPART_ARC
(22,25),-0.963051 # DEPENDENCYPART_ARC
(22,26),-1.23751 # DEPENDENCYPART_ARC
(23,1),-2.05151 # DEPENDENCYPART_ARC
(23,2),-3.06337 # DEPENDENCYPART_ARC
(23,3),-2.28294 # DEPENDENCYPART_ARC
(23,4),-1.62009 # DEPENDENCYPART_ARC
(23,5),-2.16423 # DEPENDENCYPART_ARC
(23,6),-2.00935 # DEPENDENCYPART_ARC
(23,7),-1.92079 # DEPENDENCYPART_ARC
(23,8),-1.69805 # DEPENDENCYPART_ARC
(23,9),-1.88077 # DEPENDENCYPART_ARC
(23,10),-1.77658 # DEPENDENCYPART_ARC
(23,11),-1.43773 # DEPENDENCYPART_ARC
(23,12),-1.75326 # DEPENDENCYPART_ARC
(23,13),-1.3509 # DEPENDENCYPART_ARC
(23,14),-1.44556 # DEPENDENCYPART_ARC
(23,15),-1.04848 # DEPENDENCYPART_ARC
(23,16),-0.862998 # DEPENDENCYPART_ARC
(23,17),-0.888889 # DEPENDENCYPART_ARC
(23,18),-0.798777 # DEPENDENCYPART_ARC
(23,19),0.860156 # DEPENDENCYPART_ARC
(23,20),0.0356604 # DEPENDENCYPART_ARC
(23,21),-0.0801214 # DEPENDENCYPART_ARC
(23,22),0.861035 # DEPENDENCYPART_ARC
(23,24),1.08187 # DEPENDENCYPART_ARC
(23,25),0.0520494 # DEPENDENCYPART_ARC
(23,26),-0.0463787 # DEPENDENCYPART_ARC
(24,1),-5.46206 # DEPENDENCYPART_ARC
(24,2),-6.016 # DEPENDENCYPART_ARC
(24,3),-2.67233 # DEPENDENCYPART_ARC
(24,4),-2.59818 # DEPENDENCYPART_ARC
(24,5),-2.07095 # DEPENDENCYPART_ARC
(24,6),-3.686 # DEPENDENCYPART_ARC
(24,7),-4.77701 # DEPENDENCYPART_ARC
(24,8),-1.31255 # DEPENDENCYPART_ARC
(24,9),-1.87797 # DEPENDENCYPART_ARC
(24,10),-1.4813 # DEPENDENCYPART_ARC
(24,11),-1.59923 # DEPENDENCYPART_ARC
(24,12),-1.30941 # DEPENDENCYPART_ARC
(24,13),-0.618986 # DEPENDENCYPART_ARC
(24,14),-1.41855 # DEPENDENCYPART_ARC
(24,15),-0.999415 # DEPENDENCYPART_ARC
(24,16),-1.35473 # DEPENDENCYPART_ARC
(24,17),-0.630952 # DEPENDENCYPART_ARC
(24,18),-1.02736 # DEPENDENCYPART_ARC
(24,19),1.91977 # DEPENDENCYPART_ARC
(24,20),2.79648 # DEPENDENCYPART_ARC
(24,21),3.27573 # DEPENDENCYPART_ARC
(24,22),1.28372 # DEPENDENCYPART_ARC
(24,23),3.09927 # DEPENDENCYPART_ARC
(24,25),1.94366 # DEPENDENCYPART_ARC
(24,26),0.694093 # DEPENDENCYPART_ARC
(25,1),-2.12775 # DEPENDENCYPART_ARC
(25,2),-3.06699 # DEPENDENCYPART_ARC
(25,3),-3.19538 # DEPENDENCYPART_ARC
(25,4),-1.81876 # DEPENDENCYPART_ARC
(25,5),-1.88728 # DEPENDENCYPART_ARC
(25,6),-2.70112 # DEPENDENCYPART_ARC
(25,7),-2.61268 # DEPENDENCYPART_ARC
(25,8),-1.94261 # DEPENDENCYPART_ARC
(25,9),-2.0541 # DEPENDENCYPART_ARC
(25,10),-1.97015 # DEPENDENCYPART_ARC
(25,11),-1.19145 # DEPENDENCYPART_ARC
(25,12),-1.36404 # DEPENDENCYPART_ARC
(25,13),-1.69695 # DEPENDENCYPART_ARC
(25,14),-1.35227 # DEPENDENCYPART_ARC
(25,15),-1.15122 # DEPENDENCYPART_ARC
(25,16),-1.30292 # DEPENDENCYPART_ARC
(25,17),-1.27968 # DEPENDENCYPART_ARC
(25,18),-1.1424 # DEPENDENCYPART_ARC
(25,19),0.0198504 # DEPENDENCYPART_ARC
(25,20),-1.18856 # DEPENDENCYPART_ARC
(25,21),-0.963683 # DEPENDENCYPART_ARC
(25,22),-0.365005 # DEPENDENCYPART_ARC
(25,23),0.17767 # DEPENDENCYPART_ARC
(25,24),0.479186 # DEPENDENCYPART_ARC
(25,26),0.59517 # DEPENDENCYPART_ARC
(26,1),-3.24522 # DEPENDENCYPART_ARC
(26,2),-3.79373 # DEPENDENCYPART_ARC
(26,3),-3.80709 # DEPENDENCYPART_ARC
(26,4),-2.9619 # DEPENDENCYPART_ARC
(26,5),-3.39882 # DEPENDENCYPART_ARC
(26,6),-2.94757 # DEPENDENCYPART_ARC
(26,7),-2.95234 # DEPENDENCYPART_ARC
(26,8),-2.94457 # DEPENDENCYPART_ARC
(26,9),-3.04075 # DEPENDENCYPART_ARC
(26,10),-2.48721 # DEPENDENCYPART_ARC
(26,11),-1.78784 # DEPENDENCYPART_ARC
(26,12),-2.07772 # DEPENDENCYPART_ARC
(26,13),-2.59265 # DEPENDENCYPART_ARC
(26,14),-2.01957 # DEPENDENCYPART_ARC
(26,15),-1.12114 # DEPENDENCYPART_ARC
(26,16),-1.96806 # DEPENDENCYPART_ARC
(26,17),-2.26392 # DEPENDENCYPART_ARC
(26,18),-1.46027 # DEPENDENCYPART_ARC
(26,19),-1.25671 # DEPENDENCYPART_ARC
(26,20),-1.40244 # DEPENDENCYPART_ARC
(26,21),-1.69665 # DEPENDENCYPART_ARC
(26,22),-1.55307 # DEPENDENCYPART_ARC
(26,23),-0.927363 # DEPENDENCYPART_ARC
(26,24),-1.73191 # DEPENDENCYPART_ARC
(26,25),-1.34084 # DEPENDENCYPART_ARC
