# _root_ He said the third-quarter estimate indicates profit for the nine months of $ 4.65 a share , `` almost equal to the full-year 1988 earnings '' of $ 108.6 million , or $ 4.81 a share .
#goldHeads=2,0,5,5,6,2,6,7,11,11,8,7,12,13,16,13,7,20,20,7,20,25,25,25,21,25,25,27,28,28,28,28,32,33,36,33,2,
#predictedHeads=2,0,5,5,6,2,6,7,11,11,8,11,12,13,16,13,13,20,20,13,20,25,25,25,21,25,25,27,28,28,28,28,32,33,36,33,2,
(13,36),-1.10548 # DEPENDENCYPART_ARC
(13,37),-0.671287 # DEPENDENCYPART_ARC
(14,1),-2.54933 # DEPENDENCYPART_ARC
(14,2),-2.19782 # DEPENDENCYPART_ARC
(14,3),-1.06157 # DEPENDENCYPART_ARC
(14,4),-1.18185 # DEPENDENCYPART_ARC
(14,5),-2.09524 # DEPENDENCYPART_ARC
(14,6),-1.84177 # DEPENDENCYPART_ARC
(14,7),-1.83209 # DEPENDENCYPART_ARC
(14,8),-1.61053 # DEPENDENCYPART_ARC
(14,9),0.231269 # DEPENDENCYPART_ARC
(14,10),-0.102279 # DEPENDENCYPART_ARC
(14,11),-0.475068 # DEPENDENCYPART_ARC
(14,12),0.631286 # DEPENDENCYPART_ARC
(14,13),0.623073 # DEPENDENCYPART_ARC
(14,15),0.364147 # DEPENDENCYPART_ARC
(14,16),0.508536 # DEPENDENCYPART_ARC
(14,17),0.615587 # DEPENDENCYPART_ARC
(14,18),-0.738293 # DEPENDENCYPART_ARC
(14,19),-0.71054 # DEPENDENCYPART_ARC
(14,20),-0.472785 # DEPENDENCYPART_ARC
(14,21),-0.740322 # DEPENDENCYPART_ARC
(14,22),-1.24028 # DEPENDENCYPART_ARC
(14,23),-0.87354 # DEPENDENCYPART_ARC
(14,24),-0.958057 # DEPENDENCYPART_ARC
(14,25),-1.27317 # DEPENDENCYPART_ARC
(14,26),-0.641392 # DEPENDENCYPART_ARC
(14,27),-1.85666 # DEPENDENCYPART_ARC
(14,28),-1.52968 # DEPENDENCYPART_ARC
(14,29),-1.45934 # DEPENDENCYPART_ARC
(14,30),-1.01354 # DEPENDENCYPART_ARC
(14,31),-1.39926 # DEPENDENCYPART_ARC
(14,32),-1.09684 # DEPENDENCYPART_ARC
(14,33),-2.16575 # DEPENDENCYPART_ARC
(14,34),-1.96618 # DEPENDENCYPART_ARC
(14,35),-2.52282 # DEPENDENCYPART_ARC
(14,36),-2.86733 # DEPENDENCYPART_ARC
(14,37),-1.10063 # DEPENDENCYPART_ARC
(15,1),-2.27233 # DEPENDENCYPART_ARC
(15,2),-2.13861 # DEPENDENCYPART_ARC
(15,3),-1.4839 # DEPENDENCYPART_ARC
(15,4),-2.03952 # DEPENDENCYPART_ARC
(15,5),-2.1698 # DEPENDENCYPART_ARC
(15,6),-1.83945 # DEPENDENCYPART_ARC
(15,7),-1.98916 # DEPENDENCYPART_ARC
(15,8),-0.614297 # DEPENDENCYPART_ARC
(15,9),-0.588981 # DEPENDENCYPART_ARC
(15,10),-0.978382 # DEPENDENCYPART_ARC
(15,11),-1.14341 # DEPENDENCYPART_ARC
(15,12),0.301945 # DEPENDENCYPART_ARC
(15,13),-0.04096 # DEPENDENCYPART_ARC
(15,14),0.273439 # DEPENDENCYPART_ARC
(15,16),0.220357 # DEPENDENCYPART_ARC
(15,17),-0.672695 # DEPENDENCYPART_ARC
(15,18),-1.13156 # DEPENDENCYPART_ARC
(15,19),-1.28054 # DEPENDENCYPART_ARC
(15,20),-1.36698 # DEPENDENCYPART_ARC
(15,21),-1.17662 # DEPENDENCYPART_ARC
(15,22),-2.22903 # DEPENDENCYPART_ARC
(15,23),-1.94287 # DEPENDENCYPART_ARC
(15,24),-1.7652 # DEPENDENCYPART_ARC
(15,25),-1.90863 # DEPENDENCYPART_ARC
(15,26),-1.62255 # DEPENDENCYPART_ARC
(15,27),-2.29103 # DEPENDENCYPART_ARC
(15,28),-3.36842 # DEPENDENCYPART_ARC
(15,29),-2.47042 # DEPENDENCYPART_ARC
(15,30),-2.2705 # DEPENDENCYPART_ARC
(15,31),-1.58328 # DEPENDENCYPART_ARC
(15,32),-2.40454 # DEPENDENCYPART_ARC
(15,33),-3.89481 # DEPENDENCYPART_ARC
(15,34),-3.02795 # DEPENDENCYPART_ARC
(15,35),-3.79182 # DEPENDENCYPART_ARC
(15,36),-3.23487 # DEPENDENCYPART_ARC
(15,37),-2.28786 # DEPENDENCYPART_ARC
(16,1),-1.93459 # DEPENDENCYPART_ARC
(16,2),-2.10996 # DEPENDENCYPART_ARC
(16,3),-3.57288 # DEPENDENCYPART_ARC
(16,4),-2.36288 # DEPENDENCYPART_ARC
(16,5),-4.34105 # DEPENDENCYPART_ARC
(16,6),-1.36625 # DEPENDENCYPART_ARC
(16,7),-3.61078 # DEPENDENCYPART_ARC
(16,8),-0.635378 # DEPENDENCYPART_ARC
(16,9),0.293885 # DEPENDENCYPART_ARC
(16,10),-0.630175 # DEPENDENCYPART_ARC
(16,11),-0.638826 # DEPENDENCYPART_ARC
(16,12),0.682172 # DEPENDENCYPART_ARC
(16,13),0.68747 # DEPENDENCYPART_ARC
(16,14),0.859019 # DEPENDENCYPART_ARC
(16,15),5.55245 # DEPENDENCYPART_ARC
(16,17),0.228177 # DEPENDENCYPART_ARC
(16,18),-0.0667195 # DEPENDENCYPART_ARC
(16,19),-1.21437 # DEPENDENCYPART_ARC
(16,20),-0.285968 # DEPENDENCYPART_ARC
(16,21),-1.08618 # DEPENDENCYPART_ARC
(16,22),-1.65289 # DEPENDENCYPART_ARC
(16,23),-1.55566 # DEPENDENCYPART_ARC
(16,24),-1.14617 # DEPENDENCYPART_ARC
(16,25),-1.12358 # DEPENDENCYPART_ARC
(16,26),0.0188119 # DEPENDENCYPART_ARC
(16,27),-1.6818 # DEPENDENCYPART_ARC
(16,28),-2.14606 # DEPENDENCYPART_ARC
(16,29),-1.65364 # DEPENDENCYPART_ARC
(16,30),-2.12572 # DEPENDENCYPART_ARC
(16,31),-0.968744 # DEPENDENCYPART_ARC
(16,32),-1.26318 # DEPENDENCYPART_ARC
(16,33),-2.39018 # DEPENDENCYPART_ARC
(16,34),-2.14104 # DEPENDENCYPART_ARC
(16,35),-2.64387 # DEPENDENCYPART_ARC
(16,36),-1.94845 # DEPENDENCYPART_ARC
(16,37),-1.34172 # DEPENDENCYPART_ARC
(17,1),-3.12185 # DEPENDENCYPART_ARC
(17,2),-2.42899 # DEPENDENCYPART_ARC
(17,3),-2.52112 # DEPENDENCYPART_ARC
(17,4),-2.68089 # DEPENDENCYPART_ARC
(17,5),-2.19686 # DEPENDENCYPART_ARC
(17,6),-2.3914 # DEPENDENCYPART_ARC
(17,7),-1.88467 # DEPENDENCYPART_ARC
(17,8),-2.07164 # DEPENDENCYPART_ARC
(17,9),-1.70263 # DEPENDENCYPART_ARC
(17,10),-2.03112 # DEPENDENCYPART_ARC
(17,11),-1.66058 # DEPENDENCYPART_ARC
(17,12),-1.8253 # DEPENDENCYPART_ARC
(17,13),-1.33411 # DEPENDENCYPART_ARC
(17,14),-1.27308 # DEPENDENCYPART_ARC
(17,15),-0.849894 # DEPENDENCYPART_ARC
(17,16),-1.19302 # DEPENDENCYPART_ARC
(17,18),0.596308 # DEPENDENCYPART_ARC
(17,19),-0.640554 # DEPENDENCYPART_ARC
(17,20),-0.82983 # DEPENDENCYPART_ARC
(17,21),-0.995112 # DEPENDENCYPART_ARC
(17,22),-1.42008 # DEPENDENCYPART_ARC
(17,23),-1.50141 # DEPENDENCYPART_ARC
(17,24),-1.91133 # DEPENDENCYPART_ARC
(17,25),-1.93594 # DEPENDENCYPART_ARC
(17,26),-0.967387 # DEPENDENCYPART_ARC
(17,27),-1.43649 # DEPENDENCYPART_ARC
(17,28),-2.24885 # DEPENDENCYPART_ARC
(17,29),-2.44996 # DEPENDENCYPART_ARC
(17,30),-2.5211 # DEPENDENCYPART_ARC
(17,31),-0.466519 # DEPENDENCYPART_ARC
(17,32),-2.02445 # DEPENDENCYPART_ARC
(17,33),-2.75428 # DEPENDENCYPART_ARC
(17,34),-2.92559 # DEPENDENCYPART_ARC
(17,35),-2.72731 # DEPENDENCYPART_ARC
(17,36),-3.22662 # DEPENDENCYPART_ARC
(17,37),-2.09414 # DEPENDENCYPART_ARC
(18,1),-3.37247 # DEPENDENCYPART_ARC
(18,2),-2.84948 # DEPENDENCYPART_ARC
(18,3),-2.67881 # DEPENDENCYPART_ARC
(18,4),-2.6836 # DEPENDENCYPART_ARC
(18,5),-2.72988 # DEPENDENCYPART_ARC
(18,6),-2.52345 # DEPENDENCYPART_ARC
(18,7),-2.55383 # DEPENDENCYPART_ARC
(18,8),-2.13014 # DEPENDENCYPART_ARC
(18,9),-1.80343 # DEPENDENCYPART_ARC
(18,10),-1.94207 # DEPENDENCYPART_ARC
(18,11),-1.22999 # DEPENDENCYPART_ARC
(18,12),-1.60937 # DEPENDENCYPART_ARC
(18,13),-1.31496 # DEPENDENCYPART_ARC
(18,14),-1.2199 # DEPENDENCYPART_ARC
(18,15),-0.748119 # DEPENDENCYPART_ARC
(18,16),-1.1071 # DEPENDENCYPART_ARC
(18,17),-0.150797 # DEPENDENCYPART_ARC
(18,19),0.283594 # DEPENDENCYPART_ARC
(18,20),0.0663012 # DEPENDENCYPART_ARC
(18,21),-0.87749 # DEPENDENCYPART_ARC
(18,22),-1.60921 # DEPENDENCYPART_ARC
(18,23),-0.838552 # DEPENDENCYPART_ARC
(18,24),-1.73731 # DEPENDENCYPART_ARC
(18,25),-1.94136 # DEPENDENCYPART_ARC
(18,26),0.260267 # DEPENDENCYPART_ARC
(18,27),-1.57583 # DEPENDENCYPART_ARC
(18,28),-1.63888 # DEPENDENCYPART_ARC
(18,29),-2.23974 # DEPENDENCYPART_ARC
(18,30),-2.38027 # DEPENDENCYPART_ARC
(18,31),-1.37008 # DEPENDENCYPART_ARC
(18,32),-2.14506 # DEPENDENCYPART_ARC
(18,33),-2.05221 # DEPENDENCYPART_ARC
(18,34),-2.74517 # DEPENDENCYPART_ARC
(18,35),-2.91176 # DEPENDENCYPART_ARC
(18,36),-2.30737 # DEPENDENCYPART_ARC
(18,37),-1.80194 # DEPENDENCYPART_ARC
(19,1),-3.10086 # DEPENDENCYPART_ARC
(19,2),-2.68634 # DEPENDENCYPART_ARC
(19,3),-1.61861 # DEPENDENCYPART_ARC
(19,4),-1.80472 # DEPENDENCYPART_ARC
(19,5),-3.06551 # DEPENDENCYPART_ARC
(19,6),-2.42671 # DEPENDENCYPART_ARC
(19,7),-2.66585 # DEPENDENCYPART_ARC
(19,8),-2.00081 # DEPENDENCYPART_ARC
(19,9),-0.923869 # DEPENDENCYPART_ARC
(19,10),-1.68056 # DEPENDENCYPART_ARC
(19,11),-1.26763 # DEPENDENCYPART_ARC
(19,12),-1.21582 # DEPENDENCYPART_ARC
(19,13),-1.0831 # DEPENDENCYPART_ARC
(19,14),-1.24101 # DEPENDENCYPART_ARC
(19,15),-0.0077382 # DEPENDENCYPART_ARC
(19,16),-0.821155 # DEPENDENCYPART_ARC
(19,17),-0.250327 # DEPENDENCYPART_ARC
(19,18),0.229404 # DEPENDENCYPART_ARC
(19,20),1.44832 # DEPENDENCYPART_ARC
(19,21),1.43972 # DEPENDENCYPART_ARC
(19,22),0.360345 # DEPENDENCYPART_ARC
(19,23),0.362095 # DEPENDENCYPART_ARC
(19,24),1.49446 # DEPENDENCYPART_ARC
(19,25),-0.925339 # DEPENDENCYPART_ARC
(19,26),0.492549 # DEPENDENCYPART_ARC
(19,27),0.916538 # DEPENDENCYPART_ARC
(19,28),-1.33438 # DEPENDENCYPART_ARC
(19,29),-0.105014 # DEPENDENCYPART_ARC
(19,30),-0.0445526 # DEPENDENCYPART_ARC
(19,31),0.217495 # DEPENDENCYPART_ARC
(19,32),0.024318 # DEPENDENCYPART_ARC
(19,33),-1.57776 # DEPENDENCYPART_ARC
(19,34),-1.31281 # DEPENDENCYPART_ARC
(19,35),-0.664709 # DEPENDENCYPART_ARC
(19,36),-1.96166 # DEPENDENCYPART_ARC
(19,37),0.479237 # DEPENDENCYPART_ARC
(20,1),-2.47013 # DEPENDENCYPART_ARC
(20,2),-2.50523 # DEPENDENCYPART_ARC
(20,3),-1.10523 # DEPENDENCYPART_ARC
(20,4),-1.43491 # DEPENDENCYPART_ARC
(20,5),-1.67674 # DEPENDENCYPART_ARC
(20,6),-1.80997 # DEPENDENCYPART_ARC
(20,7),-1.54412 # DEPENDENCYPART_ARC
(20,8),-1.20844 # DEPENDENCYPART_ARC
(20,9),-0.27209 # DEPENDENCYPART_ARC
(20,10),-0.522917 # DEPENDENCYPART_ARC
(20,11),-0.720807 # DEPENDENCYPART_ARC
(20,12),-0.27054 # DEPENDENCYPART_ARC
(20,13),-0.0867455 # DEPENDENCYPART_ARC
(20,14),-0.142718 # DEPENDENCYPART_ARC
(20,15),0.822315 # DEPENDENCYPART_ARC
(20,16),-0.13523 # DEPENDENCYPART_ARC
(20,17),0.355886 # DEPENDENCYPART_ARC
(20,18),1.27848 # DEPENDENCYPART_ARC
(20,19),3.34029 # DEPENDENCYPART_ARC
(20,21),3.88884 # DEPENDENCYPART_ARC
(20,22),0.562555 # DEPENDENCYPART_ARC
(20,23),0.809984 # DEPENDENCYPART_ARC
(20,24),0.775862 # DEPENDENCYPART_ARC
(20,25),0.628445 # DEPENDENCYPART_ARC
(20,26),1.14098 # DEPENDENCYPART_ARC
(20,27),0.936901 # DEPENDENCYPART_ARC
(20,28),-0.804328 # DEPENDENCYPART_ARC
(20,29),-0.437828 # DEPENDENCYPART_ARC
(20,30),-0.167981 # DEPENDENCYPART_ARC
(20,31),0.140331 # DEPENDENCYPART_ARC
(20,32),0.167498 # DEPENDENCYPART_ARC
(20,33),-1.16486 # DEPENDENCYPART_ARC
(20,34),-1.02909 # DEPENDENCYPART_ARC
(20,35),-1.22066 # DEPENDENCYPART_ARC
(20,36),-1.19469 # DEPENDENCYPART_ARC
(20,37),1.16588 # DEPENDENCYPART_ARC
(21,1),-3.02911 # DEPENDENCYPART_ARC
(21,2),-2.81356 # DEPENDENCYPART_ARC
(21,3),-2.28467 # DEPENDENCYPART_ARC
(21,4),-2.40749 # DEPENDENCYPART_ARC
(21,5),-2.41336 # DEPENDENCYPART_ARC
(21,6),-2.29607 # DEPENDENCYPART_ARC
(21,7),-2.06199 # DEPENDENCYPART_ARC
(21,8),-2.23474 # DEPENDENCYPART_ARC
(21,9),-1.78182 # DEPENDENCYPART_ARC
(21,10),-1.63675 # DEPENDENCYPART_ARC
(21,11),-1.74285 # DEPENDENCYPART_ARC
(21,12),-1.35301 # DEPENDENCYPART_ARC
(21,13),-1.47121 # DEPENDENCYPART_ARC
(21,14),-1.17267 # DEPENDENCYPART_ARC
(21,15),-0.85112 # DEPENDENCYPART_ARC
(21,16),-1.16769 # DEPENDENCYPART_ARC
(21,17),-0.625738 # DEPENDENCYPART_ARC
(21,18),-0.146364 # DEPENDENCYPART_ARC
(21,19),0.36941 # DEPENDENCYPART_ARC
(21,20),0.186376 # DEPENDENCYPART_ARC
(21,22),1.00134 # DEPENDENCYPART_ARC
(21,23),1.88295 # DEPENDENCYPART_ARC
(21,24),1.36802 # DEPENDENCYPART_ARC
(21,25),2.09499 # DEPENDENCYPART_ARC
(21,26),1.04804 # DEPENDENCYPART_ARC
(21,27),0.407632 # DEPENDENCYPART_ARC
(21,28),0.207743 # DEPENDENCYPART_ARC
(21,29),-0.183281 # DEPENDENCYPART_ARC
(21,30),0.00314374 # DEPENDENCYPART_ARC
(21,31),1.42377 # DEPENDENCYPART_ARC
(21,32),0.0109547 # DEPENDENCYPART_ARC
(21,33),-1.15155 # DEPENDENCYPART_ARC
(21,34),-0.421131 # DEPENDENCYPART_ARC
(21,35),-1.00875 # DEPENDENCYPART_ARC
(21,36),-2.00005 # DEPENDENCYPART_ARC
(21,37),0.0365423 # DEPENDENCYPART_ARC
(22,1),-3.94842 # DEPENDENCYPART_ARC
(22,2),-4.01118 # DEPENDENCYPART_ARC
(22,3),-3.60253 # DEPENDENCYPART_ARC
(22,4),-3.81877 # DEPENDENCYPART_ARC
(22,5),-4.18986 # DEPENDENCYPART_ARC
(22,6),-3.68505 # DEPENDENCYPART_ARC
(22,7),-3.99771 # DEPENDENCYPART_ARC
(22,8),-3.46442 # DEPENDENCYPART_ARC
(22,9),-2.87905 # DEPENDENCYPART_ARC
(22,10),-3.01598 # DEPENDENCYPART_ARC
(22,11),-3.30399 # DEPENDENCYPART_ARC
(22,12),-2.77193 # DEPENDENCYPART_ARC
(22,13),-2.60973 # DEPENDENCYPART_ARC
(22,14),-2.61635 # DEPENDENCYPART_ARC
(22,15),-2.06866 # DEPENDENCYPART_ARC
(22,16),-2.83382 # DEPENDENCYPART_ARC
(22,17),-2.16272 # DEPENDENCYPART_ARC
(22,18),-2.20649 # DEPENDENCYPART_ARC
(22,19),-1.54117 # DEPENDENCYPART_ARC
(22,20),-1.53447 # DEPENDENCYPART_ARC
(22,21),-0.808589 # DEPENDENCYPART_ARC
(22,23),0.0378863 # DEPENDENCYPART_ARC
(22,24),-0.0948691 # DEPENDENCYPART_ARC
(22,25),-0.986795 # DEPENDENCYPART_ARC
(22,26),-1.03906 # DEPENDENCYPART_ARC
(22,27),-1.09332 # DEPENDENCYPART_ARC
(22,28),-2.54437 # DEPENDENCYPART_ARC
(22,29),-1.47592 # DEPENDENCYPART_ARC
(22,30),-1.45956 # DEPENDENCYPART_ARC
(22,31),-1.09205 # DEPENDENCYPART_ARC
(22,32),-1.31435 # DEPENDENCYPART_ARC
(22,33),-3.17071 # DEPENDENCYPART_ARC
(22,34),-2.22265 # DEPENDENCYPART_ARC
(22,35),-3.08026 # DEPENDENCYPART_ARC
(22,36),-2.68189 # DEPENDENCYPART_ARC
(22,37),-1.71145 # DEPENDENCYPART_ARC
(23,1),-3.02157 # DEPENDENCYPART_ARC
(23,2),-3.16684 # DEPENDENCYPART_ARC
(23,3),-2.29528 # DEPENDENCYPART_ARC
(23,4),-2.29953 # DEPENDENCYPART_ARC
(23,5),-2.13041 # DEPENDENCYPART_ARC
(23,6),-2.43754 # DEPENDENCYPART_ARC
(23,7),-2.1273 # DEPENDENCYPART_ARC
(23,8),-1.5525 # DEPENDENCYPART_ARC
(23,9),-1.28722 # DEPENDENCYPART_ARC
(23,10),-1.25639 # DEPENDENCYPART_ARC
(23,11),-1.47947 # DEPENDENCYPART_ARC
(23,12),-0.646324 # DEPENDENCYPART_ARC
(23,13),-0.879216 # DEPENDENCYPART_ARC
(23,14),-0.863162 # DEPENDENCYPART_ARC
(23,15),-0.0809533 # DEPENDENCYPART_ARC
(23,16),-1.15621 # DEPENDENCYPART_ARC
(23,17),-0.775733 # DEPENDENCYPART_ARC
(23,18),0.000888663 # DEPENDENCYPART_ARC
(23,19),0.754801 # DEPENDENCYPART_ARC
(23,20),0.500023 # DEPENDENCYPART_ARC
(23,21),1.25682 # DEPENDENCYPART_ARC
(23,22),2.20865 # DEPENDENCYPART_ARC
(23,24),1.44194 # DEPENDENCYPART_ARC
(23,25),0.756444 # DEPENDENCYPART_ARC
(23,26),0.813012 # DEPENDENCYPART_ARC
(23,27),0.465263 # DEPENDENCYPART_ARC
(23,28),-0.609736 # DEPENDENCYPART_ARC
(23,29),-0.788511 # DEPENDENCYPART_ARC
(23,30),-0.516966 # DEPENDENCYPART_ARC
(23,31),-0.0968673 # DEPENDENCYPART_ARC
(23,32),-0.184278 # DEPENDENCYPART_ARC
(23,33),-1.46864 # DEPENDENCYPART_ARC
(23,34),-1.38826 # DEPENDENCYPART_ARC
(23,35),-1.53816 # DEPENDENCYPART_ARC
(23,36),-1.4461 # DEPENDENCYPART_ARC
(23,37),0.0816057 # DEPENDENCYPART_ARC
(24,1),-3.22557 # DEPENDENCYPART_ARC
(24,2),-2.68502 # DEPENDENCYPART_ARC
(24,3),-1.40616 # DEPENDENCYPART_ARC
(24,4),-1.81502 # DEPENDENCYPART_ARC
(24,5),-3.07466 # DEPENDENCYPART_ARC
(24,6),-2.55685 # DEPENDENCYPART_ARC
(24,7),-2.80973 # DEPENDENCYPART_ARC
(24,8),-3.25316 # DEPENDENCYPART_ARC
(24,9),-0.798491 # DEPENDENCYPART_ARC
(24,10),-1.56522 # DEPENDENCYPART_ARC
(24,11),-2.0055 # DEPENDENCYPART_ARC
(24,12),-1.46747 # DEPENDENCYPART_ARC
(24,13),-1.93368 # DEPENDENCYPART_ARC
(24,14),-1.12925 # DEPENDENCYPART_ARC
(24,15),0.132609 # DEPENDENCYPART_ARC
(24,16),-1.75013 # DEPENDENCYPART_ARC
(24,17),-1.18296 # DEPENDENCYPART_ARC
(24,18),-0.706108 # DEPENDENCYPART_ARC
(24,19),-0.00678913 # DEPENDENCYPART_ARC
(24,20),0.363738 # DEPENDENCYPART_ARC
(24,21),0.0460093 # DEPENDENCYPART_ARC
(24,22),2.17025 # DEPENDENCYPART_ARC
(24,23),2.01264 # DEPENDENCYPART_ARC
(24,25),0.344394 # DEPENDENCYPART_ARC
(24,26),0.111263 # DEPENDENCYPART_ARC
(24,27),-0.0654914 # DEPENDENCYPART_ARC
(24,28),-0.843383 # DEPENDENCYPART_ARC
(24,29),-1.1281 # DEPENDENCYPART_ARC
(24,30),-0.993547 # DEPENDENCYPART_ARC
(24,31),-0.555874 # DEPENDENCYPART_ARC
(24,32),-0.875939 # DEPENDENCYPART_ARC
(24,33),-1.6418 # DEPENDENCYPART_ARC
(24,34),-1.67003 # DEPENDENCYPART_ARC
(24,35),-1.86604 # DEPENDENCYPART_ARC
(24,36),-2.21063 # DEPENDENCYPART_ARC
(24,37),-0.763243 # DEPENDENCYPART_ARC
(25,1),-2.08331 # DEPENDENCYPART_ARC
(25,2),-2.09715 # DEPENDENCYPART_ARC
(25,3),-4.43137 # DEPENDENCYPART_ARC
(25,4),-3.28695 # DEPENDENCYPART_ARC
(25,5),-4.58155 # DEPENDENCYPART_ARC
(25,6),-1.32884 # DEPENDENCYPART_ARC
(25,7),-4.1171 # DEPENDENCYPART_ARC
(25,8),-0.963727 # DEPENDENCYPART_ARC
(25,9),-1.30002 # DEPENDENCYPART_ARC
(25,10),-1.13875 # DEPENDENCYPART_ARC
(25,11),-1.77859 # DEPENDENCYPART_ARC
(25,12),0.0518526 # DEPENDENCYPART_ARC
(25,13),-0.165582 # DEPENDENCYPART_ARC
(25,14),-0.534705 # DEPENDENCYPART_ARC
(25,15),0.441335 # DEPENDENCYPART_ARC
(25,16),-0.746013 # DEPENDENCYPART_ARC
(25,17),-0.000235484 # DEPENDENCYPART_ARC
(25,18),0.899493 # DEPENDENCYPART_ARC
(25,19),1.78175 # DEPENDENCYPART_ARC
(25,20),1.25918 # DEPENDENCYPART_ARC
(25,21),0.777985 # DEPENDENCYPART_ARC
(25,22),3.74216 # DEPENDENCYPART_ARC
(25,23),3.85552 # DEPENDENCYPART_ARC
(25,24),4.06576 # DEPENDENCYPART_ARC
(25,26),1.7556 # DEPENDENCYPART_ARC
(25,27),2.11747 # DEPENDENCYPART_ARC
(25,28),0.306555 # DEPENDENCYPART_ARC
(25,29),0.445034 # DEPENDENCYPART_ARC
(25,30),0.375978 # DEPENDENCYPART_ARC
(25,31),0.864032 # DEPENDENCYPART_ARC
(25,32),0.386674 # DEPENDENCYPART_ARC
(25,33),-0.681654 # DEPENDENCYPART_ARC
(25,34),-0.259816 # DEPENDENCYPART_ARC
(25,35),0.0993762 # DEPENDENCYPART_ARC
(25,36),0.348984 # DEPENDENCYPART_ARC
(25,37),0.961075 # DEPENDENCYPART_ARC
(26,1),-3.27137 # DEPENDENCYPART_ARC
(26,2),-3.14314 # DEPENDENCYPART_ARC
(26,3),-2.54066 # DEPENDENCYPART_ARC
(26,4),-3.22675 # DEPENDENCYPART_ARC
(26,5),-3.51592 # DEPENDENCYPART_ARC
(26,6),-2.06983 # DEPENDENCYPART_ARC
(26,7),-3.12982 # DEPENDENCYPART_ARC
(26,8),-2.32756 # DEPENDENCYPART_ARC
(26,9),-1.69386 # DEPENDENCYPART_ARC
(26,10),-2.35679 # DEPENDENCYPART_ARC
(26,11),-2.26479 # DEPENDENCYPART_ARC
(26,12),-1.93497 # DEPENDENCYPART_ARC
(26,13),-1.8892 # DEPENDENCYPART_ARC
(26,14),-1.94527 # DEPENDENCYPART_ARC
(26,15),-1.34984 # DEPENDENCYPART_ARC
(26,16),-2.07514 # DEPENDENCYPART_ARC
(26,17),-1.08794 # DEPENDENCYPART_ARC
(26,18),-0.0674522 # DEPENDENCYPART_ARC
(26,19),-1.68041 # DEPENDENCYPART_ARC
(26,20),-1.43969 # DEPENDENCYPART_ARC
(26,21),-1.16231 # DEPENDENCYPART_ARC
(26,22),0.056942 # DEPENDENCYPART_ARC
(26,23),-0.691918 # DEPENDENCYPART_ARC
(26,24),-0.423322 # DEPENDENCYPART_ARC
(26,25),-0.0819361 # DEPENDENCYPART_ARC
(26,27),0.0931907 # DEPENDENCYPART_ARC
(26,28),-0.393081 # DEPENDENCYPART_ARC
(26,29),-0.957336 # DEPENDENCYPART_ARC
(26,30),-1.23202 # DEPENDENCYPART_ARC
(26,31),-0.674517 # DEPENDENCYPART_ARC
(26,32),-0.981319 # DEPENDENCYPART_ARC
(26,33),-1.72158 # DEPENDENCYPART_ARC
(26,34),-2.04131 # DEPENDENCYPART_ARC
(26,35),-1.84418 # DEPENDENCYPART_ARC
(26,36),-1.73915 # DEPENDENCYPART_ARC
(26,37),-0.890607 # DEPENDENCYPART_ARC
(27,1),-3.50946 # DEPENDENCYPART_ARC
(27,2),-3.36699 # DEPENDENCYPART_ARC
(27,3),-3.65715 # DEPENDENCYPART_ARC
(27,4),-3.21822 # DEPENDENCYPART_ARC
(27,5),-3.86132 # DEPENDENCYPART_ARC
(27,6),-2.65454 # DEPENDENCYPART_ARC
(27,7),-3.26409 # DEPENDENCYPART_ARC
(27,8),-2.88697 # DEPENDENCYPART_ARC
(27,9),-2.78999 # DEPENDENCYPART_ARC
(27,10),-2.1031 # DEPENDENCYPART_ARC
(27,11),-1.92165 # DEPENDENCYPART_ARC
(27,12),-2.246 # DEPENDENCYPART_ARC
(27,13),-2.17552 # DEPENDENCYPART_ARC
(27,14),-1.79498 # DEPENDENCYPART_ARC
(27,15),-2.11615 # DEPENDENCYPART_ARC
(27,16),-2.37501 # DEPENDENCYPART_ARC
(27,17),-1.66505 # DEPENDENCYPART_ARC
(27,18),-0.378091 # DEPENDENCYPART_ARC
(27,19),-0.574176 # DEPENDENCYPART_ARC
(27,20),-1.18905 # DEPENDENCYPART_ARC
(27,21),-0.627557 # DEPENDENCYPART_ARC
(27,22),-0.705944 # DEPENDENCYPART_ARC
(27,23),-0.748986 # DEPENDENCYPART_ARC
(27,24),-0.0365927 # DEPENDENCYPART_ARC
(27,25),-0.62273 # DEPENDENCYPART_ARC
(27,26),0.416372 # DEPENDENCYPART_ARC
(27,28),3.17224 # DEPENDENCYPART_ARC
(27,29),1.49548 # DEPENDENCYPART_ARC
(27,30),1.47111 # DEPENDENCYPART_ARC
(27,31),0.948936 # DEPENDENCYPART_ARC
(27,32),-0.761583 # DEPENDENCYPART_ARC
(27,33),-0.990437 # DEPENDENCYPART_ARC
(27,34),0.0914107 # DEPENDENCYPART_ARC
(27,35),-1.65946 # DEPENDENCYPART_ARC
(27,36),-1.69596 # DEPENDENCYPART_ARC
(27,37),1.0325 # DEPENDENCYPART_ARC
(28,1),-2.84157 # DEPENDENCYPART_ARC
(28,2),-3.07628 # DEPENDENCYPART_ARC
(28,3),-2.5867 # DEPENDENCYPART_ARC
(28,4),-3.51178 # DEPENDENCYPART_ARC
(28,5),-3.28476 # DEPENDENCYPART_ARC
(28,6),-2.72438 # DEPENDENCYPART_ARC
